context: What the hell is this? response:	Work, damn sensors!
context: Y-Your Honor?\Objection.\Futaro may look like a criminal, but he's innocent.\What do you mean, I look like a criminal?\I let him in over the intercom.\There's a recording, too.\This was an unforeseen accident.\Miku! response:	You're still taking his side?
context: Objection.\Futaro may look like a criminal, but he's innocent.\What do you mean, I look like a criminal?\I let him in over the intercom.\There's a recording, too.\This was an unforeseen accident.\Miku!\You're still taking his side? response:	This guy said it himself!
context: Futaro may look like a criminal, but he's innocent.\What do you mean, I look like a criminal?\I let him in over the intercom.\There's a recording, too.\This was an unforeseen accident.\Miku!\You're still taking his side?\This guy said it himself! response:	That he's here to take something!
context: What do you mean, I look like a criminal?\I let him in over the intercom.\There's a recording, too.\This was an unforeseen accident.\Miku!\You're still taking his side?\This guy said it himself!\That he's here to take something! response:	Take
context: I let him in over the intercom.\There's a recording, too.\This was an unforeseen accident.\Miku!\You're still taking his side?\This guy said it himself!\That he's here to take something!\Take response:	To take sneak shots!
context: There's a recording, too.\This was an unforeseen accident.\Miku!\You're still taking his side?\This guy said it himself!\That he's here to take something!\Take\To take sneak shots! response:	You mean he forgot something, and he came to get it.
context: This was an unforeseen accident.\Miku!\You're still taking his side?\This guy said it himself!\That he's here to take something!\Take\To take sneak shots!\You mean he forgot something, and he came to get it. response:	Get
context: Miku!\You're still taking his side?\This guy said it himself!\That he's here to take something!\Take\To take sneak shots!\You mean he forgot something, and he came to get it.\Get response:	Your Honor, Miku is defending him due to her feelings for him.
context: You're still taking his side?\This guy said it himself!\That he's here to take something!\Take\To take sneak shots!\You mean he forgot something, and he came to get it.\Get\Your Honor, Miku is defending him due to her feelings for him. response:	N-No.
context: This guy said it himself!\That he's here to take something!\Take\To take sneak shots!\You mean he forgot something, and he came to get it.\Get\Your Honor, Miku is defending him due to her feelings for him.\N-No. response:	I knew you would believe in me, Miku.
context: That he's here to take something!\Take\To take sneak shots!\You mean he forgot something, and he came to get it.\Get\Your Honor, Miku is defending him due to her feelings for him.\N-No.\I knew you would believe in me, Miku. response:	Don't come any closer.
context: Take\To take sneak shots!\You mean he forgot something, and he came to get it.\Get\Your Honor, Miku is defending him due to her feelings for him.\N-No.\I knew you would believe in me, Miku.\Don't come any closer. response:	Huh?!
context: To take sneak shots!\You mean he forgot something, and he came to get it.\Get\Your Honor, Miku is defending him due to her feelings for him.\N-No.\I knew you would believe in me, Miku.\Don't come any closer.\Huh?! response:	Are you acting like that because you're wary of him?
context: You mean he forgot something, and he came to get it.\Get\Your Honor, Miku is defending him due to her feelings for him.\N-No.\I knew you would believe in me, Miku.\Don't come any closer.\Huh?!\Are you acting like that because you're wary of him? response:	I'm not.
context: Get\Your Honor, Miku is defending him due to her feelings for him.\N-No.\I knew you would believe in me, Miku.\Don't come any closer.\Huh?!\Are you acting like that because you're wary of him?\I'm not. response:	You're imagining things.
context: Your Honor, Miku is defending him due to her feelings for him.\N-No.\I knew you would believe in me, Miku.\Don't come any closer.\Huh?!\Are you acting like that because you're wary of him?\I'm not.\You're imagining things. response:	Just so you know, he saw me naked.
context: N-No.\I knew you would believe in me, Miku.\Don't come any closer.\Huh?!\Are you acting like that because you're wary of him?\I'm not.\You're imagining things.\Just so you know, he saw me naked. response:	It's not like there's much to see.
context: I knew you would believe in me, Miku.\Don't come any closer.\Huh?!\Are you acting like that because you're wary of him?\I'm not.\You're imagining things.\Just so you know, he saw me naked.\It's not like there's much to see. response:	Maybe not for you, but there is for me.
context: Don't come any closer.\Huh?!\Are you acting like that because you're wary of him?\I'm not.\You're imagining things.\Just so you know, he saw me naked.\It's not like there's much to see.\Maybe not for you, but there is for me. response:	Our bodies are about the same.
context: Huh?!\Are you acting like that because you're wary of him?\I'm not.\You're imagining things.\Just so you know, he saw me naked.\It's not like there's much to see.\Maybe not for you, but there is for me.\Our bodies are about the same. response:	N-Now's not the time to be arguing.
context: Are you acting like that because you're wary of him?\I'm not.\You're imagining things.\Just so you know, he saw me naked.\It's not like there's much to see.\Maybe not for you, but there is for me.\Our bodies are about the same.\N-Now's not the time to be arguing. response:	Shut up, Itsuki.
context: I'm not.\You're imagining things.\Just so you know, he saw me naked.\It's not like there's much to see.\Maybe not for you, but there is for me.\Our bodies are about the same.\N-Now's not the time to be arguing.\Shut up, Itsuki. response:	Also, delete that photo already.
context: You're imagining things.\Just so you know, he saw me naked.\It's not like there's much to see.\Maybe not for you, but there is for me.\Our bodies are about the same.\N-Now's not the time to be arguing.\Shut up, Itsuki.\Also, delete that photo already. response:	Your Honor!
context: Just so you know, he saw me naked.\It's not like there's much to see.\Maybe not for you, but there is for me.\Our bodies are about the same.\N-Now's not the time to be arguing.\Shut up, Itsuki.\Also, delete that photo already.\Your Honor! response:	There, there.
context: It's not like there's much to see.\Maybe not for you, but there is for me.\Our bodies are about the same.\N-Now's not the time to be arguing.\Shut up, Itsuki.\Also, delete that photo already.\Your Honor!\There, there. response:	Even if Miku were right, would you really end up in this position?
context: Maybe not for you, but there is for me.\Our bodies are about the same.\N-Now's not the time to be arguing.\Shut up, Itsuki.\Also, delete that photo already.\Your Honor!\There, there.\Even if Miku were right, would you really end up in this position? response:	Ichika!
context: Our bodies are about the same.\N-Now's not the time to be arguing.\Shut up, Itsuki.\Also, delete that photo already.\Your Honor!\There, there.\Even if Miku were right, would you really end up in this position?\Ichika! response:	I knew you would understand.
context: N-Now's not the time to be arguing.\Shut up, Itsuki.\Also, delete that photo already.\Your Honor!\There, there.\Even if Miku were right, would you really end up in this position?\Ichika!\I knew you would understand. response:	This guy threw himself onto me out of nowhere.
context: Shut up, Itsuki.\Also, delete that photo already.\Your Honor!\There, there.\Even if Miku were right, would you really end up in this position?\Ichika!\I knew you would understand.\This guy threw himself onto me out of nowhere. response:	No, I was...
context: Also, delete that photo already.\Your Honor!\There, there.\Even if Miku were right, would you really end up in this position?\Ichika!\I knew you would understand.\This guy threw himself onto me out of nowhere.\No, I was... response:	Futaro, is that true?
context: Your Honor!\There, there.\Even if Miku were right, would you really end up in this position?\Ichika!\I knew you would understand.\This guy threw himself onto me out of nowhere.\No, I was...\Futaro, is that true? response:	Y-Yeah, but that was...
context: There, there.\Even if Miku were right, would you really end up in this position?\Ichika!\I knew you would understand.\This guy threw himself onto me out of nowhere.\No, I was...\Futaro, is that true?\Y-Yeah, but that was... response:	You're guilty.
context: Even if Miku were right, would you really end up in this position?\Ichika!\I knew you would understand.\This guy threw himself onto me out of nowhere.\No, I was...\Futaro, is that true?\Y-Yeah, but that was...\You're guilty. response:	Commit seppuku.
context: Ichika!\I knew you would understand.\This guy threw himself onto me out of nowhere.\No, I was...\Futaro, is that true?\Y-Yeah, but that was...\You're guilty.\Commit seppuku. response:	M-Miku-san?!
context: I knew you would understand.\This guy threw himself onto me out of nowhere.\No, I was...\Futaro, is that true?\Y-Yeah, but that was...\You're guilty.\Commit seppuku.\M-Miku-san?! response:	Shoot, I need to fight back.
context: This guy threw himself onto me out of nowhere.\No, I was...\Futaro, is that true?\Y-Yeah, but that was...\You're guilty.\Commit seppuku.\M-Miku-san?!\Shoot, I need to fight back. response:	I'm going to lose my tutoring job.
context: No, I was...\Futaro, is that true?\Y-Yeah, but that was...\You're guilty.\Commit seppuku.\M-Miku-san?!\Shoot, I need to fight back.\I'm going to lose my tutoring job. response:	But can I get them to believe me?
context: Futaro, is that true?\Y-Yeah, but that was...\You're guilty.\Commit seppuku.\M-Miku-san?!\Shoot, I need to fight back.\I'm going to lose my tutoring job.\But can I get them to believe me? response:	The shelves...
context: Y-Yeah, but that was...\You're guilty.\Commit seppuku.\M-Miku-san?!\Shoot, I need to fight back.\I'm going to lose my tutoring job.\But can I get them to believe me?\The shelves... response:	Some books fell off the the shelves,
context: You're guilty.\Commit seppuku.\M-Miku-san?!\Shoot, I need to fight back.\I'm going to lose my tutoring job.\But can I get them to believe me?\The shelves...\Some books fell off the the shelves, response:	and he shielded Nino from them?
context: Commit seppuku.\M-Miku-san?!\Shoot, I need to fight back.\I'm going to lose my tutoring job.\But can I get them to believe me?\The shelves...\Some books fell off the the shelves,\and he shielded Nino from them? response:	If you look carefully, you could see it that way.
context: M-Miku-san?!\Shoot, I need to fight back.\I'm going to lose my tutoring job.\But can I get them to believe me?\The shelves...\Some books fell off the the shelves,\and he shielded Nino from them?\If you look carefully, you could see it that way. response:	Is that not it?
context: Shoot, I need to fight back.\I'm going to lose my tutoring job.\But can I get them to believe me?\The shelves...\Some books fell off the the shelves,\and he shielded Nino from them?\If you look carefully, you could see it that way.\Is that not it? response:	Th-That's exactly it!
context: I'm going to lose my tutoring job.\But can I get them to believe me?\The shelves...\Some books fell off the the shelves,\and he shielded Nino from them?\If you look carefully, you could see it that way.\Is that not it?\Th-That's exactly it! response:	Thanks, Itsuki.
context: But can I get them to believe me?\The shelves...\Some books fell off the the shelves,\and he shielded Nino from them?\If you look carefully, you could see it that way.\Is that not it?\Th-That's exactly it!\Thanks, Itsuki. response:	I haven't done anything for you to thank me.
context: The shelves...\Some books fell off the the shelves,\and he shielded Nino from them?\If you look carefully, you could see it that way.\Is that not it?\Th-That's exactly it!\Thanks, Itsuki.\I haven't done anything for you to thank me. response:	I'm just proposing a possible explanation.
context: Some books fell off the the shelves,\and he shielded Nino from them?\If you look carefully, you could see it that way.\Is that not it?\Th-That's exactly it!\Thanks, Itsuki.\I haven't done anything for you to thank me.\I'm just proposing a possible explanation. response:	True.
context: and he shielded Nino from them?\If you look carefully, you could see it that way.\Is that not it?\Th-That's exactly it!\Thanks, Itsuki.\I haven't done anything for you to thank me.\I'm just proposing a possible explanation.\True. response:	Yeah, there's no way Futaro-kun would have the balls.
context: If you look carefully, you could see it that way.\Is that not it?\Th-That's exactly it!\Thanks, Itsuki.\I haven't done anything for you to thank me.\I'm just proposing a possible explanation.\True.\Yeah, there's no way Futaro-kun would have the balls. response:	H-Hey!
context: Is that not it?\Th-That's exactly it!\Thanks, Itsuki.\I haven't done anything for you to thank me.\I'm just proposing a possible explanation.\True.\Yeah, there's no way Futaro-kun would have the balls.\H-Hey! response:	Why are you talking like it's been resolved now?
context: Th-That's exactly it!\Thanks, Itsuki.\I haven't done anything for you to thank me.\I'm just proposing a possible explanation.\True.\Yeah, there's no way Futaro-kun would have the balls.\H-Hey!\Why are you talking like it's been resolved now? response:	Quit talking out of your ass!
context: Thanks, Itsuki.\I haven't done anything for you to thank me.\I'm just proposing a possible explanation.\True.\Yeah, there's no way Futaro-kun would have the balls.\H-Hey!\Why are you talking like it's been resolved now?\Quit talking out of your ass! response:	Stop it, Nino.
context: I haven't done anything for you to thank me.\I'm just proposing a possible explanation.\True.\Yeah, there's no way Futaro-kun would have the balls.\H-Hey!\Why are you talking like it's been resolved now?\Quit talking out of your ass!\Stop it, Nino. response:	How dare you?
context: I'm just proposing a possible explanation.\True.\Yeah, there's no way Futaro-kun would have the balls.\H-Hey!\Why are you talking like it's been resolved now?\Quit talking out of your ass!\Stop it, Nino.\How dare you? response:	Come on, don't get so heated.
context: True.\Yeah, there's no way Futaro-kun would have the balls.\H-Hey!\Why are you talking like it's been resolved now?\Quit talking out of your ass!\Stop it, Nino.\How dare you?\Come on, don't get so heated. response:	We sisters used to get along so well, remember?
context: Yeah, there's no way Futaro-kun would have the balls.\H-Hey!\Why are you talking like it's been resolved now?\Quit talking out of your ass!\Stop it, Nino.\How dare you?\Come on, don't get so heated.\We sisters used to get along so well, remember? response:	That said, this happened because I was being careless.
context: H-Hey!\Why are you talking like it's been resolved now?\Quit talking out of your ass!\Stop it, Nino.\How dare you?\Come on, don't get so heated.\We sisters used to get along so well, remember?\That said, this happened because I was being careless. response:	Sorry.
context: Why are you talking like it's been resolved now?\Quit talking out of your ass!\Stop it, Nino.\How dare you?\Come on, don't get so heated.\We sisters used to get along so well, remember?\That said, this happened because I was being careless.\Sorry. response:	We used to?
context: Quit talking out of your ass!\Stop it, Nino.\How dare you?\Come on, don't get so heated.\We sisters used to get along so well, remember?\That said, this happened because I was being careless.\Sorry.\We used to? response:	Hey, Nino?
context: Stop it, Nino.\How dare you?\Come on, don't get so heated.\We sisters used to get along so well, remember?\That said, this happened because I was being careless.\Sorry.\We used to?\Hey, Nino? response:	She just left.
context: How dare you?\Come on, don't get so heated.\We sisters used to get along so well, remember?\That said, this happened because I was being careless.\Sorry.\We used to?\Hey, Nino?\She just left. response:	Shouldn't we get her?
context: Come on, don't get so heated.\We sisters used to get along so well, remember?\That said, this happened because I was being careless.\Sorry.\We used to?\Hey, Nino?\She just left.\Shouldn't we get her? response:	Let her be.
context: We sisters used to get along so well, remember?\That said, this happened because I was being careless.\Sorry.\We used to?\Hey, Nino?\She just left.\Shouldn't we get her?\Let her be. response:	I can finally go home and study.
context: That said, this happened because I was being careless.\Sorry.\We used to?\Hey, Nino?\She just left.\Shouldn't we get her?\Let her be.\I can finally go home and study. response:	Hey! Dinner's ready!
context: Sorry.\We used to?\Hey, Nino?\She just left.\Shouldn't we get her?\Let her be.\I can finally go home and study.\Hey! Dinner's ready! response:	Uesugi Raiha Hello
context: We used to?\Hey, Nino?\She just left.\Shouldn't we get her?\Let her be.\I can finally go home and study.\Hey! Dinner's ready!\Uesugi Raiha Hello response:	Inbox
context: Hey, Nino?\She just left.\Shouldn't we get her?\Let her be.\I can finally go home and study.\Hey! Dinner's ready!\Uesugi Raiha Hello\Inbox response:	Get this, we're having your favorite: curry udon!
context: She just left.\Shouldn't we get her?\Let her be.\I can finally go home and study.\Hey! Dinner's ready!\Uesugi Raiha Hello\Inbox\Get this, we're having your favorite: curry udon! response:	Are they really okay with things as they are?
context: Shouldn't we get her?\Let her be.\I can finally go home and study.\Hey! Dinner's ready!\Uesugi Raiha Hello\Inbox\Get this, we're having your favorite: curry udon!\Are they really okay with things as they are? response:	Guess I shouldn't meddle too much in another family's issues.
context: Let her be.\I can finally go home and study.\Hey! Dinner's ready!\Uesugi Raiha Hello\Inbox\Get this, we're having your favorite: curry udon!\Are they really okay with things as they are?\Guess I shouldn't meddle too much in another family's issues. response:	God, you're so useless.
context: I can finally go home and study.\Hey! Dinner's ready!\Uesugi Raiha Hello\Inbox\Get this, we're having your favorite: curry udon!\Are they really okay with things as they are?\Guess I shouldn't meddle too much in another family's issues.\God, you're so useless. response:	What?
context: Hey! Dinner's ready!\Uesugi Raiha Hello\Inbox\Get this, we're having your favorite: curry udon!\Are they really okay with things as they are?\Guess I shouldn't meddle too much in another family's issues.\God, you're so useless.\What? response:	She didn't bring her key,
context: Uesugi Raiha Hello\Inbox\Get this, we're having your favorite: curry udon!\Are they really okay with things as they are?\Guess I shouldn't meddle too much in another family's issues.\God, you're so useless.\What?\She didn't bring her key, response:	but she can't bring herself to ask the three girls inside?
context: Inbox\Get this, we're having your favorite: curry udon!\Are they really okay with things as they are?\Guess I shouldn't meddle too much in another family's issues.\God, you're so useless.\What?\She didn't bring her key,\but she can't bring herself to ask the three girls inside? response:	What are you looking at?
context: Get this, we're having your favorite: curry udon!\Are they really okay with things as they are?\Guess I shouldn't meddle too much in another family's issues.\God, you're so useless.\What?\She didn't bring her key,\but she can't bring herself to ask the three girls inside?\What are you looking at? response:	I don't want to see your face anymore.
context: Are they really okay with things as they are?\Guess I shouldn't meddle too much in another family's issues.\God, you're so useless.\What?\She didn't bring her key,\but she can't bring herself to ask the three girls inside?\What are you looking at?\I don't want to see your face anymore. response:	I see.
context: Guess I shouldn't meddle too much in another family's issues.\God, you're so useless.\What?\She didn't bring her key,\but she can't bring herself to ask the three girls inside?\What are you looking at?\I don't want to see your face anymore.\I see. response:	Well, sorry.
context: God, you're so useless.\What?\She didn't bring her key,\but she can't bring herself to ask the three girls inside?\What are you looking at?\I don't want to see your face anymore.\I see.\Well, sorry. response:	She'd probably lash out if I helped her.
context: What?\She didn't bring her key,\but she can't bring herself to ask the three girls inside?\What are you looking at?\I don't want to see your face anymore.\I see.\Well, sorry.\She'd probably lash out if I helped her. response:	Go ahead and wait by yourself.
context: She didn't bring her key,\but she can't bring herself to ask the three girls inside?\What are you looking at?\I don't want to see your face anymore.\I see.\Well, sorry.\She'd probably lash out if I helped her.\Go ahead and wait by yourself. response:	What are you doing?
context: but she can't bring herself to ask the three girls inside?\What are you looking at?\I don't want to see your face anymore.\I see.\Well, sorry.\She'd probably lash out if I helped her.\Go ahead and wait by yourself.\What are you doing? response:	There's a problem I just couldn't solve.
context: What are you looking at?\I don't want to see your face anymore.\I see.\Well, sorry.\She'd probably lash out if I helped her.\Go ahead and wait by yourself.\What are you doing?\There's a problem I just couldn't solve. response:	I don't feel like going home until I solve it.
context: I don't want to see your face anymore.\I see.\Well, sorry.\She'd probably lash out if I helped her.\Go ahead and wait by yourself.\What are you doing?\There's a problem I just couldn't solve.\I don't feel like going home until I solve it. response:	I see.
context: I see.\Well, sorry.\She'd probably lash out if I helped her.\Go ahead and wait by yourself.\What are you doing?\There's a problem I just couldn't solve.\I don't feel like going home until I solve it.\I see. response:	All you ever care about is studying. So stupid.
context: Well, sorry.\She'd probably lash out if I helped her.\Go ahead and wait by yourself.\What are you doing?\There's a problem I just couldn't solve.\I don't feel like going home until I solve it.\I see.\All you ever care about is studying. So stupid. response:	Studying is stupid? That's a paradox.
context: She'd probably lash out if I helped her.\Go ahead and wait by yourself.\What are you doing?\There's a problem I just couldn't solve.\I don't feel like going home until I solve it.\I see.\All you ever care about is studying. So stupid.\Studying is stupid? That's a paradox. response:	Wait, I guess you could say I'm studying because I'm stupid.
context: Go ahead and wait by yourself.\What are you doing?\There's a problem I just couldn't solve.\I don't feel like going home until I solve it.\I see.\All you ever care about is studying. So stupid.\Studying is stupid? That's a paradox.\Wait, I guess you could say I'm studying because I'm stupid. response:	Shut up.
context: What are you doing?\There's a problem I just couldn't solve.\I don't feel like going home until I solve it.\I see.\All you ever care about is studying. So stupid.\Studying is stupid? That's a paradox.\Wait, I guess you could say I'm studying because I'm stupid.\Shut up. response:	Everyone's so stupid. I hate them all.
context: There's a problem I just couldn't solve.\I don't feel like going home until I solve it.\I see.\All you ever care about is studying. So stupid.\Studying is stupid? That's a paradox.\Wait, I guess you could say I'm studying because I'm stupid.\Shut up.\Everyone's so stupid. I hate them all. response:	Everyone? Including your sisters?
context: I don't feel like going home until I solve it.\I see.\All you ever care about is studying. So stupid.\Studying is stupid? That's a paradox.\Wait, I guess you could say I'm studying because I'm stupid.\Shut up.\Everyone's so stupid. I hate them all.\Everyone? Including your sisters? response:	You're lying.
context: I see.\All you ever care about is studying. So stupid.\Studying is stupid? That's a paradox.\Wait, I guess you could say I'm studying because I'm stupid.\Shut up.\Everyone's so stupid. I hate them all.\Everyone? Including your sisters?\You're lying. response:	I'm not.
context: All you ever care about is studying. So stupid.\Studying is stupid? That's a paradox.\Wait, I guess you could say I'm studying because I'm stupid.\Shut up.\Everyone's so stupid. I hate them all.\Everyone? Including your sisters?\You're lying.\I'm not. response:	They've got to be crazy to let a creepy guy like you inside.
context: Studying is stupid? That's a paradox.\Wait, I guess you could say I'm studying because I'm stupid.\Shut up.\Everyone's so stupid. I hate them all.\Everyone? Including your sisters?\You're lying.\I'm not.\They've got to be crazy to let a creepy guy like you inside. response:	Our home...
context: Wait, I guess you could say I'm studying because I'm stupid.\Shut up.\Everyone's so stupid. I hate them all.\Everyone? Including your sisters?\You're lying.\I'm not.\They've got to be crazy to let a creepy guy like you inside.\Our home... response:	This home is for us five. There's no place for him here.
context: Shut up.\Everyone's so stupid. I hate them all.\Everyone? Including your sisters?\You're lying.\I'm not.\They've got to be crazy to let a creepy guy like you inside.\Our home...\This home is for us five. There's no place for him here. response:	That's what you said.
context: Everyone's so stupid. I hate them all.\Everyone? Including your sisters?\You're lying.\I'm not.\They've got to be crazy to let a creepy guy like you inside.\Our home...\This home is for us five. There's no place for him here.\That's what you said. response:	Just shut up already.
context: Everyone? Including your sisters?\You're lying.\I'm not.\They've got to be crazy to let a creepy guy like you inside.\Our home...\This home is for us five. There's no place for him here.\That's what you said.\Just shut up already. response:	It can't be just because you hate me.
context: You're lying.\I'm not.\They've got to be crazy to let a creepy guy like you inside.\Our home...\This home is for us five. There's no place for him here.\That's what you said.\Just shut up already.\It can't be just because you hate me. response:	You hate your sisters?
context: I'm not.\They've got to be crazy to let a creepy guy like you inside.\Our home...\This home is for us five. There's no place for him here.\That's what you said.\Just shut up already.\It can't be just because you hate me.\You hate your sisters? response:	Are you sure it's not the opposite?
context: They've got to be crazy to let a creepy guy like you inside.\Our home...\This home is for us five. There's no place for him here.\That's what you said.\Just shut up already.\It can't be just because you hate me.\You hate your sisters?\Are you sure it's not the opposite? response:	You love your four sisters, don't you?
context: Our home...\This home is for us five. There's no place for him here.\That's what you said.\Just shut up already.\It can't be just because you hate me.\You hate your sisters?\Are you sure it's not the opposite?\You love your four sisters, don't you? response:	That's why you don't like an outsider like me.
context: This home is for us five. There's no place for him here.\That's what you said.\Just shut up already.\It can't be just because you hate me.\You hate your sisters?\Are you sure it's not the opposite?\You love your four sisters, don't you?\That's why you don't like an outsider like me. response:	What?
context: That's what you said.\Just shut up already.\It can't be just because you hate me.\You hate your sisters?\Are you sure it's not the opposite?\You love your four sisters, don't you?\That's why you don't like an outsider like me.\What? response:	You're so incredibly wrong.
context: Just shut up already.\It can't be just because you hate me.\You hate your sisters?\Are you sure it's not the opposite?\You love your four sisters, don't you?\That's why you don't like an outsider like me.\What?\You're so incredibly wrong. response:	You think you understand me.
context: It can't be just because you hate me.\You hate your sisters?\Are you sure it's not the opposite?\You love your four sisters, don't you?\That's why you don't like an outsider like me.\What?\You're so incredibly wrong.\You think you understand me. response:	That could never happen.
context: You hate your sisters?\Are you sure it's not the opposite?\You love your four sisters, don't you?\That's why you don't like an outsider like me.\What?\You're so incredibly wrong.\You think you understand me.\That could never happen. response:	Creep.
context: Are you sure it's not the opposite?\You love your four sisters, don't you?\That's why you don't like an outsider like me.\What?\You're so incredibly wrong.\You think you understand me.\That could never happen.\Creep. response:	What? What's wrong with that?
context: You love your four sisters, don't you?\That's why you don't like an outsider like me.\What?\You're so incredibly wrong.\You think you understand me.\That could never happen.\Creep.\What? What's wrong with that? response:	I just...
context: That's why you don't like an outsider like me.\What?\You're so incredibly wrong.\You think you understand me.\That could never happen.\Creep.\What? What's wrong with that?\I just... response:	Nino, I know how you feel.
context: What?\You're so incredibly wrong.\You think you understand me.\That could never happen.\Creep.\What? What's wrong with that?\I just...\Nino, I know how you feel. response:	I have a sister.
context: You're so incredibly wrong.\You think you understand me.\That could never happen.\Creep.\What? What's wrong with that?\I just...\Nino, I know how you feel.\I have a sister. response:	Yeah.
context: You think you understand me.\That could never happen.\Creep.\What? What's wrong with that?\I just...\Nino, I know how you feel.\I have a sister.\Yeah. response:	I didn't do anything wrong, did I?
context: That could never happen.\Creep.\What? What's wrong with that?\I just...\Nino, I know how you feel.\I have a sister.\Yeah.\I didn't do anything wrong, did I? response:	This is so stupid. Why should I have to beat myself up over this?
context: Creep.\What? What's wrong with that?\I just...\Nino, I know how you feel.\I have a sister.\Yeah.\I didn't do anything wrong, did I?\This is so stupid. Why should I have to beat myself up over this? response:	I've made up my mind.
context: What? What's wrong with that?\I just...\Nino, I know how you feel.\I have a sister.\Yeah.\I didn't do anything wrong, did I?\This is so stupid. Why should I have to beat myself up over this?\I've made up my mind. response:	I'm not going to accept you.
context: I just...\Nino, I know how you feel.\I have a sister.\Yeah.\I didn't do anything wrong, did I?\This is so stupid. Why should I have to beat myself up over this?\I've made up my mind.\I'm not going to accept you. response:	Even if that makes the other girls hate me.
context: Nino, I know how you feel.\I have a sister.\Yeah.\I didn't do anything wrong, did I?\This is so stupid. Why should I have to beat myself up over this?\I've made up my mind.\I'm not going to accept you.\Even if that makes the other girls hate me. response:	Nino, how long are you going to sit here?
context: I have a sister.\Yeah.\I didn't do anything wrong, did I?\This is so stupid. Why should I have to beat myself up over this?\I've made up my mind.\I'm not going to accept you.\Even if that makes the other girls hate me.\Nino, how long are you going to sit here? response:	Hurry up and get back inside.
context: Yeah.\I didn't do anything wrong, did I?\This is so stupid. Why should I have to beat myself up over this?\I've made up my mind.\I'm not going to accept you.\Even if that makes the other girls hate me.\Nino, how long are you going to sit here?\Hurry up and get back inside. response:	Miku?
context: I didn't do anything wrong, did I?\This is so stupid. Why should I have to beat myself up over this?\I've made up my mind.\I'm not going to accept you.\Even if that makes the other girls hate me.\Nino, how long are you going to sit here?\Hurry up and get back inside.\Miku? response:	You're here too, Futaro?
context: This is so stupid. Why should I have to beat myself up over this?\I've made up my mind.\I'm not going to accept you.\Even if that makes the other girls hate me.\Nino, how long are you going to sit here?\Hurry up and get back inside.\Miku?\You're here too, Futaro? response:	Perfect.
context: I've made up my mind.\I'm not going to accept you.\Even if that makes the other girls hate me.\Nino, how long are you going to sit here?\Hurry up and get back inside.\Miku?\You're here too, Futaro?\Perfect. response:	About tomorrow...
context: I'm not going to accept you.\Even if that makes the other girls hate me.\Nino, how long are you going to sit here?\Hurry up and get back inside.\Miku?\You're here too, Futaro?\Perfect.\About tomorrow... response:	Let's head back, Miku.
context: Even if that makes the other girls hate me.\Nino, how long are you going to sit here?\Hurry up and get back inside.\Miku?\You're here too, Futaro?\Perfect.\About tomorrow...\Let's head back, Miku. response:	But I still need to talk to him.
context: Nino, how long are you going to sit here?\Hurry up and get back inside.\Miku?\You're here too, Futaro?\Perfect.\About tomorrow...\Let's head back, Miku.\But I still need to talk to him. response:	Forget it.
context: Hurry up and get back inside.\Miku?\You're here too, Futaro?\Perfect.\About tomorrow...\Let's head back, Miku.\But I still need to talk to him.\Forget it. response:	It looks like it's going to get even harder.
context: Miku?\You're here too, Futaro?\Perfect.\About tomorrow...\Let's head back, Miku.\But I still need to talk to him.\Forget it.\It looks like it's going to get even harder. response:	This is why I hate meddling too much.
context: You're here too, Futaro?\Perfect.\About tomorrow...\Let's head back, Miku.\But I still need to talk to him.\Forget it.\It looks like it's going to get even harder.\This is why I hate meddling too much. response:	Next Time on The Quintessential Quintuplets
context: Perfect.\About tomorrow...\Let's head back, Miku.\But I still need to talk to him.\Forget it.\It looks like it's going to get even harder.\This is why I hate meddling too much.\Next Time on The Quintessential Quintuplets response:	Quintuplet Trivia!
context: About tomorrow...\Let's head back, Miku.\But I still need to talk to him.\Forget it.\It looks like it's going to get even harder.\This is why I hate meddling too much.\Next Time on The Quintessential Quintuplets\Quintuplet Trivia! response:	Nino's in charge of the chores.
context: Let's head back, Miku.\But I still need to talk to him.\Forget it.\It looks like it's going to get even harder.\This is why I hate meddling too much.\Next Time on The Quintessential Quintuplets\Quintuplet Trivia!\Nino's in charge of the chores. response:	We're taking turns cooking from now on, though.
context: But I still need to talk to him.\Forget it.\It looks like it's going to get even harder.\This is why I hate meddling too much.\Next Time on The Quintessential Quintuplets\Quintuplet Trivia!\Nino's in charge of the chores.\We're taking turns cooking from now on, though. response:	Okay!
context: Forget it.\It looks like it's going to get even harder.\This is why I hate meddling too much.\Next Time on The Quintessential Quintuplets\Quintuplet Trivia!\Nino's in charge of the chores.\We're taking turns cooking from now on, though.\Okay! response:	How much water?
context: It looks like it's going to get even harder.\This is why I hate meddling too much.\Next Time on The Quintessential Quintuplets\Quintuplet Trivia!\Nino's in charge of the chores.\We're taking turns cooking from now on, though.\Okay!\How much water? response:	Eyeball it!
context: This is why I hate meddling too much.\Next Time on The Quintessential Quintuplets\Quintuplet Trivia!\Nino's in charge of the chores.\We're taking turns cooking from now on, though.\Okay!\How much water?\Eyeball it! response:	You're fired!
context: Next Time on The Quintessential Quintuplets\Quintuplet Trivia!\Nino's in charge of the chores.\We're taking turns cooking from now on, though.\Okay!\How much water?\Eyeball it!\You're fired! response:	Five cups of rice each.
context: Quintuplet Trivia!\Nino's in charge of the chores.\We're taking turns cooking from now on, though.\Okay!\How much water?\Eyeball it!\You're fired!\Five cups of rice each. response:	You're fired!
