context: Phil? response:	I'm playing hide-and-seek with Naila and Eugene.
context: Okay.\All this to make sure you two don't get killed.\I see. You're amazing, Ray.\I stole them, just like you wanted.\Detergent and herbicide.\What are you going to use these for?\They'll come in handy for our investigation.\By investigation, you mean we'll go past the fence to climb the wall and look outside, right? response:	What about the tracking devices?
context: All this to make sure you two don't get killed.\I see. You're amazing, Ray.\I stole them, just like you wanted.\Detergent and herbicide.\What are you going to use these for?\They'll come in handy for our investigation.\By investigation, you mean we'll go past the fence to climb the wall and look outside, right?\What about the tracking devices? response:	We just have to make sure they don't check them.
context: I see. You're amazing, Ray.\I stole them, just like you wanted.\Detergent and herbicide.\What are you going to use these for?\They'll come in handy for our investigation.\By investigation, you mean we'll go past the fence to climb the wall and look outside, right?\What about the tracking devices?\We just have to make sure they don't check them. response:	We'll have both Mom and Sister looking somewhere else,
context: I stole them, just like you wanted.\Detergent and herbicide.\What are you going to use these for?\They'll come in handy for our investigation.\By investigation, you mean we'll go past the fence to climb the wall and look outside, right?\What about the tracking devices?\We just have to make sure they don't check them.\We'll have both Mom and Sister looking somewhere else, response:	and create a situation where they won't look at their trackers.
context: Detergent and herbicide.\What are you going to use these for?\They'll come in handy for our investigation.\By investigation, you mean we'll go past the fence to climb the wall and look outside, right?\What about the tracking devices?\We just have to make sure they don't check them.\We'll have both Mom and Sister looking somewhere else,\and create a situation where they won't look at their trackers. response:	But how?
context: What are you going to use these for?\They'll come in handy for our investigation.\By investigation, you mean we'll go past the fence to climb the wall and look outside, right?\What about the tracking devices?\We just have to make sure they don't check them.\We'll have both Mom and Sister looking somewhere else,\and create a situation where they won't look at their trackers.\But how? response:	I'll have Ray stall Mom.
context: They'll come in handy for our investigation.\By investigation, you mean we'll go past the fence to climb the wall and look outside, right?\What about the tracking devices?\We just have to make sure they don't check them.\We'll have both Mom and Sister looking somewhere else,\and create a situation where they won't look at their trackers.\But how?\I'll have Ray stall Mom. response:	I'm having him give her false information.
context: By investigation, you mean we'll go past the fence to climb the wall and look outside, right?\What about the tracking devices?\We just have to make sure they don't check them.\We'll have both Mom and Sister looking somewhere else,\and create a situation where they won't look at their trackers.\But how?\I'll have Ray stall Mom.\I'm having him give her false information. response:	So you had a fight with that Norman?
context: What about the tracking devices?\We just have to make sure they don't check them.\We'll have both Mom and Sister looking somewhere else,\and create a situation where they won't look at their trackers.\But how?\I'll have Ray stall Mom.\I'm having him give her false information.\So you had a fight with that Norman? response:	We had a difference of opinion.
context: We just have to make sure they don't check them.\We'll have both Mom and Sister looking somewhere else,\and create a situation where they won't look at their trackers.\But how?\I'll have Ray stall Mom.\I'm having him give her false information.\So you had a fight with that Norman?\We had a difference of opinion. response:	So what did you want to tell me?
context: We'll have both Mom and Sister looking somewhere else,\and create a situation where they won't look at their trackers.\But how?\I'll have Ray stall Mom.\I'm having him give her false information.\So you had a fight with that Norman?\We had a difference of opinion.\So what did you want to tell me? response:	Norman is trying to kill you.
context: and create a situation where they won't look at their trackers.\But how?\I'll have Ray stall Mom.\I'm having him give her false information.\So you had a fight with that Norman?\We had a difference of opinion.\So what did you want to tell me?\Norman is trying to kill you. response:	If he wants to escape with everyone, that's something he would think of.
context: But how?\I'll have Ray stall Mom.\I'm having him give her false information.\So you had a fight with that Norman?\We had a difference of opinion.\So what did you want to tell me?\Norman is trying to kill you.\If he wants to escape with everyone, that's something he would think of. response:	And?
context: I'll have Ray stall Mom.\I'm having him give her false information.\So you had a fight with that Norman?\We had a difference of opinion.\So what did you want to tell me?\Norman is trying to kill you.\If he wants to escape with everyone, that's something he would think of.\And? response:	He's collecting items.
context: I'm having him give her false information.\So you had a fight with that Norman?\We had a difference of opinion.\So what did you want to tell me?\Norman is trying to kill you.\If he wants to escape with everyone, that's something he would think of.\And?\He's collecting items. response:	A hammer, detergent, herbicide, or anything else that he thinks he can use.
context: So you had a fight with that Norman?\We had a difference of opinion.\So what did you want to tell me?\Norman is trying to kill you.\If he wants to escape with everyone, that's something he would think of.\And?\He's collecting items.\A hammer, detergent, herbicide, or anything else that he thinks he can use. response:	Including that rope that's too short?
context: We had a difference of opinion.\So what did you want to tell me?\Norman is trying to kill you.\If he wants to escape with everyone, that's something he would think of.\And?\He's collecting items.\A hammer, detergent, herbicide, or anything else that he thinks he can use.\Including that rope that's too short? response:	Yeah. I tried to stop him, you know.
context: So what did you want to tell me?\Norman is trying to kill you.\If he wants to escape with everyone, that's something he would think of.\And?\He's collecting items.\A hammer, detergent, herbicide, or anything else that he thinks he can use.\Including that rope that's too short?\Yeah. I tried to stop him, you know. response:	I told him it's too risky and wrong.
context: Norman is trying to kill you.\If he wants to escape with everyone, that's something he would think of.\And?\He's collecting items.\A hammer, detergent, herbicide, or anything else that he thinks he can use.\Including that rope that's too short?\Yeah. I tried to stop him, you know.\I told him it's too risky and wrong. response:	And that's how you got that bruise.
context: If he wants to escape with everyone, that's something he would think of.\And?\He's collecting items.\A hammer, detergent, herbicide, or anything else that he thinks he can use.\Including that rope that's too short?\Yeah. I tried to stop him, you know.\I told him it's too risky and wrong.\And that's how you got that bruise. response:	Murder by poison. Chemicals can be troublesome.
context: And?\He's collecting items.\A hammer, detergent, herbicide, or anything else that he thinks he can use.\Including that rope that's too short?\Yeah. I tried to stop him, you know.\I told him it's too risky and wrong.\And that's how you got that bruise.\Murder by poison. Chemicals can be troublesome. response:	Yeah. You'd better not ship them out early.
context: He's collecting items.\A hammer, detergent, herbicide, or anything else that he thinks he can use.\Including that rope that's too short?\Yeah. I tried to stop him, you know.\I told him it's too risky and wrong.\And that's how you got that bruise.\Murder by poison. Chemicals can be troublesome.\Yeah. You'd better not ship them out early. response:	I want them to live to the end, until 12 years old.
context: A hammer, detergent, herbicide, or anything else that he thinks he can use.\Including that rope that's too short?\Yeah. I tried to stop him, you know.\I told him it's too risky and wrong.\And that's how you got that bruise.\Murder by poison. Chemicals can be troublesome.\Yeah. You'd better not ship them out early.\I want them to live to the end, until 12 years old. response:	In this House, without any discomforts.
context: Including that rope that's too short?\Yeah. I tried to stop him, you know.\I told him it's too risky and wrong.\And that's how you got that bruise.\Murder by poison. Chemicals can be troublesome.\Yeah. You'd better not ship them out early.\I want them to live to the end, until 12 years old.\In this House, without any discomforts. response:	So let's replace the chemicals with something else.
context: Yeah. I tried to stop him, you know.\I told him it's too risky and wrong.\And that's how you got that bruise.\Murder by poison. Chemicals can be troublesome.\Yeah. You'd better not ship them out early.\I want them to live to the end, until 12 years old.\In this House, without any discomforts.\So let's replace the chemicals with something else. response:	Put fake stuff in the containers.
context: I told him it's too risky and wrong.\And that's how you got that bruise.\Murder by poison. Chemicals can be troublesome.\Yeah. You'd better not ship them out early.\I want them to live to the end, until 12 years old.\In this House, without any discomforts.\So let's replace the chemicals with something else.\Put fake stuff in the containers. response:	Do you know where it is?
context: And that's how you got that bruise.\Murder by poison. Chemicals can be troublesome.\Yeah. You'd better not ship them out early.\I want them to live to the end, until 12 years old.\In this House, without any discomforts.\So let's replace the chemicals with something else.\Put fake stuff in the containers.\Do you know where it is? response:	- Yeah. - Then let's deal with this tomorrow.
context: Murder by poison. Chemicals can be troublesome.\Yeah. You'd better not ship them out early.\I want them to live to the end, until 12 years old.\In this House, without any discomforts.\So let's replace the chemicals with something else.\Put fake stuff in the containers.\Do you know where it is?\- Yeah. - Then let's deal with this tomorrow. response:	Is that all you have to report?
context: Yeah. You'd better not ship them out early.\I want them to live to the end, until 12 years old.\In this House, without any discomforts.\So let's replace the chemicals with something else.\Put fake stuff in the containers.\Do you know where it is?\- Yeah. - Then let's deal with this tomorrow.\Is that all you have to report? response:	Yeah. Do you have something else that's bothering you?
context: I want them to live to the end, until 12 years old.\In this House, without any discomforts.\So let's replace the chemicals with something else.\Put fake stuff in the containers.\Do you know where it is?\- Yeah. - Then let's deal with this tomorrow.\Is that all you have to report?\Yeah. Do you have something else that's bothering you? response:	Not at all.
context: In this House, without any discomforts.\So let's replace the chemicals with something else.\Put fake stuff in the containers.\Do you know where it is?\- Yeah. - Then let's deal with this tomorrow.\Is that all you have to report?\Yeah. Do you have something else that's bothering you?\Not at all. response:	Oh, right.
context: So let's replace the chemicals with something else.\Put fake stuff in the containers.\Do you know where it is?\- Yeah. - Then let's deal with this tomorrow.\Is that all you have to report?\Yeah. Do you have something else that's bothering you?\Not at all.\Oh, right. response:	I'm letting you know a little early.
context: Put fake stuff in the containers.\Do you know where it is?\- Yeah. - Then let's deal with this tomorrow.\Is that all you have to report?\Yeah. Do you have something else that's bothering you?\Not at all.\Oh, right.\I'm letting you know a little early. response:	I received a notification from the top at yesterday's scheduled check-in.
context: Do you know where it is?\- Yeah. - Then let's deal with this tomorrow.\Is that all you have to report?\Yeah. Do you have something else that's bothering you?\Not at all.\Oh, right.\I'm letting you know a little early.\I received a notification from the top at yesterday's scheduled check-in. response:	The next shipment has been set.
context: - Yeah. - Then let's deal with this tomorrow.\Is that all you have to report?\Yeah. Do you have something else that's bothering you?\Not at all.\Oh, right.\I'm letting you know a little early.\I received a notification from the top at yesterday's scheduled check-in.\The next shipment has been set. response:	There will be no regular shipment for next month.
context: Is that all you have to report?\Yeah. Do you have something else that's bothering you?\Not at all.\Oh, right.\I'm letting you know a little early.\I received a notification from the top at yesterday's scheduled check-in.\The next shipment has been set.\There will be no regular shipment for next month. response:	Then the next one will be in January.
context: Yeah. Do you have something else that's bothering you?\Not at all.\Oh, right.\I'm letting you know a little early.\I received a notification from the top at yesterday's scheduled check-in.\The next shipment has been set.\There will be no regular shipment for next month.\Then the next one will be in January. response:	My 12th birthday.
context: Not at all.\Oh, right.\I'm letting you know a little early.\I received a notification from the top at yesterday's scheduled check-in.\The next shipment has been set.\There will be no regular shipment for next month.\Then the next one will be in January.\My 12th birthday. response:	So the next shipment will finally be me, huh?
context: Oh, right.\I'm letting you know a little early.\I received a notification from the top at yesterday's scheduled check-in.\The next shipment has been set.\There will be no regular shipment for next month.\Then the next one will be in January.\My 12th birthday.\So the next shipment will finally be me, huh? response:	But even if we leave Ray to deal with Mom, what about Sister?
context: I'm letting you know a little early.\I received a notification from the top at yesterday's scheduled check-in.\The next shipment has been set.\There will be no regular shipment for next month.\Then the next one will be in January.\My 12th birthday.\So the next shipment will finally be me, huh?\But even if we leave Ray to deal with Mom, what about Sister? response:	Yeah, if she finds out, we'll be shipped out immediately, right?
context: I received a notification from the top at yesterday's scheduled check-in.\The next shipment has been set.\There will be no regular shipment for next month.\Then the next one will be in January.\My 12th birthday.\So the next shipment will finally be me, huh?\But even if we leave Ray to deal with Mom, what about Sister?\Yeah, if she finds out, we'll be shipped out immediately, right? response:	Don't worry, I have an idea.
context: The next shipment has been set.\There will be no regular shipment for next month.\Then the next one will be in January.\My 12th birthday.\So the next shipment will finally be me, huh?\But even if we leave Ray to deal with Mom, what about Sister?\Yeah, if she finds out, we'll be shipped out immediately, right?\Don't worry, I have an idea. response:	Do you need something?
context: There will be no regular shipment for next month.\Then the next one will be in January.\My 12th birthday.\So the next shipment will finally be me, huh?\But even if we leave Ray to deal with Mom, what about Sister?\Yeah, if she finds out, we'll be shipped out immediately, right?\Don't worry, I have an idea.\Do you need something? response:	I saw it.
context: Then the next one will be in January.\My 12th birthday.\So the next shipment will finally be me, huh?\But even if we leave Ray to deal with Mom, what about Sister?\Yeah, if she finds out, we'll be shipped out immediately, right?\Don't worry, I have an idea.\Do you need something?\I saw it. response:	I was watching the whole thing!
context: My 12th birthday.\So the next shipment will finally be me, huh?\But even if we leave Ray to deal with Mom, what about Sister?\Yeah, if she finds out, we'll be shipped out immediately, right?\Don't worry, I have an idea.\Do you need something?\I saw it.\I was watching the whole thing! response:	Talking in the dining hall last night, all of you!
context: So the next shipment will finally be me, huh?\But even if we leave Ray to deal with Mom, what about Sister?\Yeah, if she finds out, we'll be shipped out immediately, right?\Don't worry, I have an idea.\Do you need something?\I saw it.\I was watching the whole thing!\Talking in the dining hall last night, all of you! response:	The ones who know the secret about this House
context: But even if we leave Ray to deal with Mom, what about Sister?\Yeah, if she finds out, we'll be shipped out immediately, right?\Don't worry, I have an idea.\Do you need something?\I saw it.\I was watching the whole thing!\Talking in the dining hall last night, all of you!\The ones who know the secret about this House response:	is Norman, Emma, Ray, Gilda, and Don. The five of you.
context: Yeah, if she finds out, we'll be shipped out immediately, right?\Don't worry, I have an idea.\Do you need something?\I saw it.\I was watching the whole thing!\Talking in the dining hall last night, all of you!\The ones who know the secret about this House\is Norman, Emma, Ray, Gilda, and Don. The five of you. response:	So...
context: Don't worry, I have an idea.\Do you need something?\I saw it.\I was watching the whole thing!\Talking in the dining hall last night, all of you!\The ones who know the secret about this House\is Norman, Emma, Ray, Gilda, and Don. The five of you.\So... response:	would you like to join forces?
