context: It's okay. response:	Bell-kun is alive.
context: Me and you, Bell-kun...\We're inseparable, right?!\I-I'm sorry!\So that's how it is, Wallenwhatsit!\You won't run off with him without my permission!\And I'll never let you go on a date with him!\A date?\N-No! response:	You misunderstand, Goddess!
context: We're inseparable, right?!\I-I'm sorry!\So that's how it is, Wallenwhatsit!\You won't run off with him without my permission!\And I'll never let you go on a date with him!\A date?\N-No!\You misunderstand, Goddess! response:	You're going on a date, Bell-sama?!
context: I-I'm sorry!\So that's how it is, Wallenwhatsit!\You won't run off with him without my permission!\And I'll never let you go on a date with him!\A date?\N-No!\You misunderstand, Goddess!\You're going on a date, Bell-sama?! response:	Butt out, thief!
context: So that's how it is, Wallenwhatsit!\You won't run off with him without my permission!\And I'll never let you go on a date with him!\A date?\N-No!\You misunderstand, Goddess!\You're going on a date, Bell-sama?!\Butt out, thief! response:	I will never make another magic item.
context: You won't run off with him without my permission!\And I'll never let you go on a date with him!\A date?\N-No!\You misunderstand, Goddess!\You're going on a date, Bell-sama?!\Butt out, thief!\I will never make another magic item. response:	I see.
context: And I'll never let you go on a date with him!\A date?\N-No!\You misunderstand, Goddess!\You're going on a date, Bell-sama?!\Butt out, thief!\I will never make another magic item.\I see. response:	For now, that's fine.
context: A date?\N-No!\You misunderstand, Goddess!\You're going on a date, Bell-sama?!\Butt out, thief!\I will never make another magic item.\I see.\For now, that's fine. response:	But if you ever want to devote your life to something greater,
context: N-No!\You misunderstand, Goddess!\You're going on a date, Bell-sama?!\Butt out, thief!\I will never make another magic item.\I see.\For now, that's fine.\But if you ever want to devote your life to something greater, response:	you'll regret throwing that power away.
context: You misunderstand, Goddess!\You're going on a date, Bell-sama?!\Butt out, thief!\I will never make another magic item.\I see.\For now, that's fine.\But if you ever want to devote your life to something greater,\you'll regret throwing that power away. response:	Don't make yourself weigh your pride against your friends.
context: You're going on a date, Bell-sama?!\Butt out, thief!\I will never make another magic item.\I see.\For now, that's fine.\But if you ever want to devote your life to something greater,\you'll regret throwing that power away.\Don't make yourself weigh your pride against your friends. response:	Damn it!
context: Butt out, thief!\I will never make another magic item.\I see.\For now, that's fine.\But if you ever want to devote your life to something greater,\you'll regret throwing that power away.\Don't make yourself weigh your pride against your friends.\Damn it! response:	Show Evil Intentions
context: I will never make another magic item.\I see.\For now, that's fine.\But if you ever want to devote your life to something greater,\you'll regret throwing that power away.\Don't make yourself weigh your pride against your friends.\Damn it!\Show Evil Intentions response:	Next Time
context: I see.\For now, that's fine.\But if you ever want to devote your life to something greater,\you'll regret throwing that power away.\Don't make yourself weigh your pride against your friends.\Damn it!\Show Evil Intentions\Next Time response:	Next time: Show.
