context: When we were kids, there was a time that Manaka and I got lost. response:	We had gone to the outskirts of the village,
context: For you, the Ofunehiki was really recent.\Well, yeah...\But you haven't changed either.\You're just the normal Chisaki.\You think so?\I thought I had changed quite a bit...\Nah, not at all.\You still look like you're listening and yet not listening at all. response:	That's not true!
context: Well, yeah...\But you haven't changed either.\You're just the normal Chisaki.\You think so?\I thought I had changed quite a bit...\Nah, not at all.\You still look like you're listening and yet not listening at all.\That's not true! response:	Also, the fact that you get pissed off when I tease you a little.
context: But you haven't changed either.\You're just the normal Chisaki.\You think so?\I thought I had changed quite a bit...\Nah, not at all.\You still look like you're listening and yet not listening at all.\That's not true!\Also, the fact that you get pissed off when I tease you a little. response:	What about you, Hikari?
context: You're just the normal Chisaki.\You think so?\I thought I had changed quite a bit...\Nah, not at all.\You still look like you're listening and yet not listening at all.\That's not true!\Also, the fact that you get pissed off when I tease you a little.\What about you, Hikari? response:	What are you doing here so early in the morning?
context: You think so?\I thought I had changed quite a bit...\Nah, not at all.\You still look like you're listening and yet not listening at all.\That's not true!\Also, the fact that you get pissed off when I tease you a little.\What about you, Hikari?\What are you doing here so early in the morning? response:	Yeah...
context: I thought I had changed quite a bit...\Nah, not at all.\You still look like you're listening and yet not listening at all.\That's not true!\Also, the fact that you get pissed off when I tease you a little.\What about you, Hikari?\What are you doing here so early in the morning?\Yeah... response:	I just couldn't stay put.
context: Nah, not at all.\You still look like you're listening and yet not listening at all.\That's not true!\Also, the fact that you get pissed off when I tease you a little.\What about you, Hikari?\What are you doing here so early in the morning?\Yeah...\I just couldn't stay put. response:	I keep wondering why
context: You still look like you're listening and yet not listening at all.\That's not true!\Also, the fact that you get pissed off when I tease you a little.\What about you, Hikari?\What are you doing here so early in the morning?\Yeah...\I just couldn't stay put.\I keep wondering why response:	Manaka's Ena's disappearing.
context: That's not true!\Also, the fact that you get pissed off when I tease you a little.\What about you, Hikari?\What are you doing here so early in the morning?\Yeah...\I just couldn't stay put.\I keep wondering why\Manaka's Ena's disappearing. response:	I thought I might figure something out if I went back to where we found her.
context: Also, the fact that you get pissed off when I tease you a little.\What about you, Hikari?\What are you doing here so early in the morning?\Yeah...\I just couldn't stay put.\I keep wondering why\Manaka's Ena's disappearing.\I thought I might figure something out if I went back to where we found her. response:	I see...
context: What about you, Hikari?\What are you doing here so early in the morning?\Yeah...\I just couldn't stay put.\I keep wondering why\Manaka's Ena's disappearing.\I thought I might figure something out if I went back to where we found her.\I see... response:	I don't know if this will help or not,
context: What are you doing here so early in the morning?\Yeah...\I just couldn't stay put.\I keep wondering why\Manaka's Ena's disappearing.\I thought I might figure something out if I went back to where we found her.\I see...\I don't know if this will help or not, response:	but Tsumugu's grandfather told me a story.
context: Yeah...\I just couldn't stay put.\I keep wondering why\Manaka's Ena's disappearing.\I thought I might figure something out if I went back to where we found her.\I see...\I don't know if this will help or not,\but Tsumugu's grandfather told me a story. response:	The continuation of the story about the Sea God and Ojoshi-sama.
context: I just couldn't stay put.\I keep wondering why\Manaka's Ena's disappearing.\I thought I might figure something out if I went back to where we found her.\I see...\I don't know if this will help or not,\but Tsumugu's grandfather told me a story.\The continuation of the story about the Sea God and Ojoshi-sama. response:	Continuation?
context: I keep wondering why\Manaka's Ena's disappearing.\I thought I might figure something out if I went back to where we found her.\I see...\I don't know if this will help or not,\but Tsumugu's grandfather told me a story.\The continuation of the story about the Sea God and Ojoshi-sama.\Continuation? response:	The girl that married the Sea God eventually had children,
context: Manaka's Ena's disappearing.\I thought I might figure something out if I went back to where we found her.\I see...\I don't know if this will help or not,\but Tsumugu's grandfather told me a story.\The continuation of the story about the Sea God and Ojoshi-sama.\Continuation?\The girl that married the Sea God eventually had children, response:	and their descendants flourished.
context: I thought I might figure something out if I went back to where we found her.\I see...\I don't know if this will help or not,\but Tsumugu's grandfather told me a story.\The continuation of the story about the Sea God and Ojoshi-sama.\Continuation?\The girl that married the Sea God eventually had children,\and their descendants flourished. response:	However, as more time passed,
context: I see...\I don't know if this will help or not,\but Tsumugu's grandfather told me a story.\The continuation of the story about the Sea God and Ojoshi-sama.\Continuation?\The girl that married the Sea God eventually had children,\and their descendants flourished.\However, as more time passed, response:	it's said that the girl became more and more depressed.
context: I don't know if this will help or not,\but Tsumugu's grandfather told me a story.\The continuation of the story about the Sea God and Ojoshi-sama.\Continuation?\The girl that married the Sea God eventually had children,\and their descendants flourished.\However, as more time passed,\it's said that the girl became more and more depressed. response:	Because the girl had left behind someone she loved on the surface.
context: but Tsumugu's grandfather told me a story.\The continuation of the story about the Sea God and Ojoshi-sama.\Continuation?\The girl that married the Sea God eventually had children,\and their descendants flourished.\However, as more time passed,\it's said that the girl became more and more depressed.\Because the girl had left behind someone she loved on the surface. response:	Because of the man she loved,
context: The continuation of the story about the Sea God and Ojoshi-sama.\Continuation?\The girl that married the Sea God eventually had children,\and their descendants flourished.\However, as more time passed,\it's said that the girl became more and more depressed.\Because the girl had left behind someone she loved on the surface.\Because of the man she loved, response:	she was never able to forget about the surface.
context: Continuation?\The girl that married the Sea God eventually had children,\and their descendants flourished.\However, as more time passed,\it's said that the girl became more and more depressed.\Because the girl had left behind someone she loved on the surface.\Because of the man she loved,\she was never able to forget about the surface. response:	After finding that out, the Sea God
context: The girl that married the Sea God eventually had children,\and their descendants flourished.\However, as more time passed,\it's said that the girl became more and more depressed.\Because the girl had left behind someone she loved on the surface.\Because of the man she loved,\she was never able to forget about the surface.\After finding that out, the Sea God response:	did everything he could to make her happy.
context: and their descendants flourished.\However, as more time passed,\it's said that the girl became more and more depressed.\Because the girl had left behind someone she loved on the surface.\Because of the man she loved,\she was never able to forget about the surface.\After finding that out, the Sea God\did everything he could to make her happy. response:	But in the end, she wasn't able to forget about the surface,
context: However, as more time passed,\it's said that the girl became more and more depressed.\Because the girl had left behind someone she loved on the surface.\Because of the man she loved,\she was never able to forget about the surface.\After finding that out, the Sea God\did everything he could to make her happy.\But in the end, she wasn't able to forget about the surface, response:	so the Sea God had no choice
context: it's said that the girl became more and more depressed.\Because the girl had left behind someone she loved on the surface.\Because of the man she loved,\she was never able to forget about the surface.\After finding that out, the Sea God\did everything he could to make her happy.\But in the end, she wasn't able to forget about the surface,\so the Sea God had no choice response:	but to let her go back to the surface...
context: Because the girl had left behind someone she loved on the surface.\Because of the man she loved,\she was never able to forget about the surface.\After finding that out, the Sea God\did everything he could to make her happy.\But in the end, she wasn't able to forget about the surface,\so the Sea God had no choice\but to let her go back to the surface... response:	Taking something in return.
context: Because of the man she loved,\she was never able to forget about the surface.\After finding that out, the Sea God\did everything he could to make her happy.\But in the end, she wasn't able to forget about the surface,\so the Sea God had no choice\but to let her go back to the surface...\Taking something in return. response:	Something?
context: she was never able to forget about the surface.\After finding that out, the Sea God\did everything he could to make her happy.\But in the end, she wasn't able to forget about the surface,\so the Sea God had no choice\but to let her go back to the surface...\Taking something in return.\Something? response:	I've been thinking about it... but that might be Ena.
context: After finding that out, the Sea God\did everything he could to make her happy.\But in the end, she wasn't able to forget about the surface,\so the Sea God had no choice\but to let her go back to the surface...\Taking something in return.\Something?\I've been thinking about it... but that might be Ena. response:	Hikari?
context: did everything he could to make her happy.\But in the end, she wasn't able to forget about the surface,\so the Sea God had no choice\but to let her go back to the surface...\Taking something in return.\Something?\I've been thinking about it... but that might be Ena.\Hikari? response:	Ojoshi-sama...
context: But in the end, she wasn't able to forget about the surface,\so the Sea God had no choice\but to let her go back to the surface...\Taking something in return.\Something?\I've been thinking about it... but that might be Ena.\Hikari?\Ojoshi-sama... response:	in return for going to the surface...
context: so the Sea God had no choice\but to let her go back to the surface...\Taking something in return.\Something?\I've been thinking about it... but that might be Ena.\Hikari?\Ojoshi-sama...\in return for going to the surface... response:	Oh, sorry...
context: but to let her go back to the surface...\Taking something in return.\Something?\I've been thinking about it... but that might be Ena.\Hikari?\Ojoshi-sama...\in return for going to the surface...\Oh, sorry... response:	It was just a thought.
context: Taking something in return.\Something?\I've been thinking about it... but that might be Ena.\Hikari?\Ojoshi-sama...\in return for going to the surface...\Oh, sorry...\It was just a thought. response:	Grandpa also said that this was just oral lore,
context: Something?\I've been thinking about it... but that might be Ena.\Hikari?\Ojoshi-sama...\in return for going to the surface...\Oh, sorry...\It was just a thought.\Grandpa also said that this was just oral lore, response:	so he's not sure if it's true or not.
context: I've been thinking about it... but that might be Ena.\Hikari?\Ojoshi-sama...\in return for going to the surface...\Oh, sorry...\It was just a thought.\Grandpa also said that this was just oral lore,\so he's not sure if it's true or not. response:	All right!
context: Hikari?\Ojoshi-sama...\in return for going to the surface...\Oh, sorry...\It was just a thought.\Grandpa also said that this was just oral lore,\so he's not sure if it's true or not.\All right! response:	Huh?
context: Ojoshi-sama...\in return for going to the surface...\Oh, sorry...\It was just a thought.\Grandpa also said that this was just oral lore,\so he's not sure if it's true or not.\All right!\Huh? response:	It's decided!
context: in return for going to the surface...\Oh, sorry...\It was just a thought.\Grandpa also said that this was just oral lore,\so he's not sure if it's true or not.\All right!\Huh?\It's decided! response:	Huh?
context: Oh, sorry...\It was just a thought.\Grandpa also said that this was just oral lore,\so he's not sure if it's true or not.\All right!\Huh?\It's decided!\Huh? response:	Uroko-sama!
context: It was just a thought.\Grandpa also said that this was just oral lore,\so he's not sure if it's true or not.\All right!\Huh?\It's decided!\Huh?\Uroko-sama! response:	I'm going to find him and catch him.
context: Grandpa also said that this was just oral lore,\so he's not sure if it's true or not.\All right!\Huh?\It's decided!\Huh?\Uroko-sama!\I'm going to find him and catch him. response:	Catch him?
context: so he's not sure if it's true or not.\All right!\Huh?\It's decided!\Huh?\Uroko-sama!\I'm going to find him and catch him.\Catch him? response:	I'm sure he knows whether this story is true or not.
context: All right!\Huh?\It's decided!\Huh?\Uroko-sama!\I'm going to find him and catch him.\Catch him?\I'm sure he knows whether this story is true or not. response:	And if it's true, he may know what needs to be done!
context: Huh?\It's decided!\Huh?\Uroko-sama!\I'm going to find him and catch him.\Catch him?\I'm sure he knows whether this story is true or not.\And if it's true, he may know what needs to be done! response:	To tell you the truth,
context: It's decided!\Huh?\Uroko-sama!\I'm going to find him and catch him.\Catch him?\I'm sure he knows whether this story is true or not.\And if it's true, he may know what needs to be done!\To tell you the truth, response:	I was at a loss,
context: Huh?\Uroko-sama!\I'm going to find him and catch him.\Catch him?\I'm sure he knows whether this story is true or not.\And if it's true, he may know what needs to be done!\To tell you the truth,\I was at a loss, response:	but now I know what I need to do.
context: Uroko-sama!\I'm going to find him and catch him.\Catch him?\I'm sure he knows whether this story is true or not.\And if it's true, he may know what needs to be done!\To tell you the truth,\I was at a loss,\but now I know what I need to do. response:	Thanks, Chisaki!
context: I'm going to find him and catch him.\Catch him?\I'm sure he knows whether this story is true or not.\And if it's true, he may know what needs to be done!\To tell you the truth,\I was at a loss,\but now I know what I need to do.\Thanks, Chisaki! response:	But man, the Sea God is such a selfish jerk.
context: Catch him?\I'm sure he knows whether this story is true or not.\And if it's true, he may know what needs to be done!\To tell you the truth,\I was at a loss,\but now I know what I need to do.\Thanks, Chisaki!\But man, the Sea God is such a selfish jerk. response:	Taking people's Ena because they don't obey him
context: I'm sure he knows whether this story is true or not.\And if it's true, he may know what needs to be done!\To tell you the truth,\I was at a loss,\but now I know what I need to do.\Thanks, Chisaki!\But man, the Sea God is such a selfish jerk.\Taking people's Ena because they don't obey him response:	and randomly giving people Ena...
context: And if it's true, he may know what needs to be done!\To tell you the truth,\I was at a loss,\but now I know what I need to do.\Thanks, Chisaki!\But man, the Sea God is such a selfish jerk.\Taking people's Ena because they don't obey him\and randomly giving people Ena... response:	What is he, a kid?
context: To tell you the truth,\I was at a loss,\but now I know what I need to do.\Thanks, Chisaki!\But man, the Sea God is such a selfish jerk.\Taking people's Ena because they don't obey him\and randomly giving people Ena...\What is he, a kid? response:	That might be...
context: I was at a loss,\but now I know what I need to do.\Thanks, Chisaki!\But man, the Sea God is such a selfish jerk.\Taking people's Ena because they don't obey him\and randomly giving people Ena...\What is he, a kid?\That might be... response:	Even after living hundreds and thousands of years,
context: but now I know what I need to do.\Thanks, Chisaki!\But man, the Sea God is such a selfish jerk.\Taking people's Ena because they don't obey him\and randomly giving people Ena...\What is he, a kid?\That might be...\Even after living hundreds and thousands of years, response:	he might not have changed at all...
context: Thanks, Chisaki!\But man, the Sea God is such a selfish jerk.\Taking people's Ena because they don't obey him\and randomly giving people Ena...\What is he, a kid?\That might be...\Even after living hundreds and thousands of years,\he might not have changed at all... response:	Well, that probably has nothing to do with it.
context: But man, the Sea God is such a selfish jerk.\Taking people's Ena because they don't obey him\and randomly giving people Ena...\What is he, a kid?\That might be...\Even after living hundreds and thousands of years,\he might not have changed at all...\Well, that probably has nothing to do with it. response:	It's not about position or age, but how you feel.
context: Taking people's Ena because they don't obey him\and randomly giving people Ena...\What is he, a kid?\That might be...\Even after living hundreds and thousands of years,\he might not have changed at all...\Well, that probably has nothing to do with it.\It's not about position or age, but how you feel. response:	Feel...
context: and randomly giving people Ena...\What is he, a kid?\That might be...\Even after living hundreds and thousands of years,\he might not have changed at all...\Well, that probably has nothing to do with it.\It's not about position or age, but how you feel.\Feel... response:	I'm excited for Manaka to wake up.
context: What is he, a kid?\That might be...\Even after living hundreds and thousands of years,\he might not have changed at all...\Well, that probably has nothing to do with it.\It's not about position or age, but how you feel.\Feel...\I'm excited for Manaka to wake up. response:	I'll do something about her Ena no matter what,
context: That might be...\Even after living hundreds and thousands of years,\he might not have changed at all...\Well, that probably has nothing to do with it.\It's not about position or age, but how you feel.\Feel...\I'm excited for Manaka to wake up.\I'll do something about her Ena no matter what, response:	and then help Tsumugu with the surface...
context: Even after living hundreds and thousands of years,\he might not have changed at all...\Well, that probably has nothing to do with it.\It's not about position or age, but how you feel.\Feel...\I'm excited for Manaka to wake up.\I'll do something about her Ena no matter what,\and then help Tsumugu with the surface... response:	I'm not going to give up!
context: he might not have changed at all...\Well, that probably has nothing to do with it.\It's not about position or age, but how you feel.\Feel...\I'm excited for Manaka to wake up.\I'll do something about her Ena no matter what,\and then help Tsumugu with the surface...\I'm not going to give up! response:	Oh... that's right.
context: Well, that probably has nothing to do with it.\It's not about position or age, but how you feel.\Feel...\I'm excited for Manaka to wake up.\I'll do something about her Ena no matter what,\and then help Tsumugu with the surface...\I'm not going to give up!\Oh... that's right. response:	I still do like Hikari after all.
context: It's not about position or age, but how you feel.\Feel...\I'm excited for Manaka to wake up.\I'll do something about her Ena no matter what,\and then help Tsumugu with the surface...\I'm not going to give up!\Oh... that's right.\I still do like Hikari after all. response:	And so, now that Manaka has returned,
context: Feel...\I'm excited for Manaka to wake up.\I'll do something about her Ena no matter what,\and then help Tsumugu with the surface...\I'm not going to give up!\Oh... that's right.\I still do like Hikari after all.\And so, now that Manaka has returned, response:	our time that was frozen for the last five years finally started moving...
context: I'm excited for Manaka to wake up.\I'll do something about her Ena no matter what,\and then help Tsumugu with the surface...\I'm not going to give up!\Oh... that's right.\I still do like Hikari after all.\And so, now that Manaka has returned,\our time that was frozen for the last five years finally started moving... response:	That's what I thought at the time...
context: I'll do something about her Ena no matter what,\and then help Tsumugu with the surface...\I'm not going to give up!\Oh... that's right.\I still do like Hikari after all.\And so, now that Manaka has returned,\our time that was frozen for the last five years finally started moving...\That's what I thought at the time... response:	But...
context: and then help Tsumugu with the surface...\I'm not going to give up!\Oh... that's right.\I still do like Hikari after all.\And so, now that Manaka has returned,\our time that was frozen for the last five years finally started moving...\That's what I thought at the time...\But... response:	Even after a week had passed,
context: I'm not going to give up!\Oh... that's right.\I still do like Hikari after all.\And so, now that Manaka has returned,\our time that was frozen for the last five years finally started moving...\That's what I thought at the time...\But...\Even after a week had passed, response:	there were no signs that Manaka would awaken at all.
context: Oh... that's right.\I still do like Hikari after all.\And so, now that Manaka has returned,\our time that was frozen for the last five years finally started moving...\That's what I thought at the time...\But...\Even after a week had passed,\there were no signs that Manaka would awaken at all. response:	Manaka!
context: I still do like Hikari after all.\And so, now that Manaka has returned,\our time that was frozen for the last five years finally started moving...\That's what I thought at the time...\But...\Even after a week had passed,\there were no signs that Manaka would awaken at all.\Manaka! response:	Don't princes do that often? Kiss the sleeping princess?
context: And so, now that Manaka has returned,\our time that was frozen for the last five years finally started moving...\That's what I thought at the time...\But...\Even after a week had passed,\there were no signs that Manaka would awaken at all.\Manaka!\Don't princes do that often? Kiss the sleeping princess? response:	How dull...
context: our time that was frozen for the last five years finally started moving...\That's what I thought at the time...\But...\Even after a week had passed,\there were no signs that Manaka would awaken at all.\Manaka!\Don't princes do that often? Kiss the sleeping princess?\How dull... response:	What do you mean by that?
context: That's what I thought at the time...\But...\Even after a week had passed,\there were no signs that Manaka would awaken at all.\Manaka!\Don't princes do that often? Kiss the sleeping princess?\How dull...\What do you mean by that? response:	Maybe they don't want her to wake up?
context: But...\Even after a week had passed,\there were no signs that Manaka would awaken at all.\Manaka!\Don't princes do that often? Kiss the sleeping princess?\How dull...\What do you mean by that?\Maybe they don't want her to wake up? response:	Episode Twenty: The Sleeping Princess
