context: Feelings (Continued) response:	A-Anti-bullying measures?!
context: Hey, Nikaidou! Are you here?\Oh! What is it, best friend?\I need to practice. Would you play me?\Of course, my best friend!\BEST FRIEND\I'm happy for you, Nikaidou!\GOOD\Is my place okay? response:	Anywhere works for me!
context: Oh! What is it, best friend?\I need to practice. Would you play me?\Of course, my best friend!\BEST FRIEND\I'm happy for you, Nikaidou!\GOOD\Is my place okay?\Anywhere works for me! response:	Wherever there's a board and pieces, that's our battlefield, Kiriyama!
context: I need to practice. Would you play me?\Of course, my best friend!\BEST FRIEND\I'm happy for you, Nikaidou!\GOOD\Is my place okay?\Anywhere works for me!\Wherever there's a board and pieces, that's our battlefield, Kiriyama! response:	Ten matches with a 30-minute time limit per move.
context: Of course, my best friend!\BEST FRIEND\I'm happy for you, Nikaidou!\GOOD\Is my place okay?\Anywhere works for me!\Wherever there's a board and pieces, that's our battlefield, Kiriyama!\Ten matches with a 30-minute time limit per move. response:	Don't fall behind, Nikaidou!
context: BEST FRIEND\I'm happy for you, Nikaidou!\GOOD\Is my place okay?\Anywhere works for me!\Wherever there's a board and pieces, that's our battlefield, Kiriyama!\Ten matches with a 30-minute time limit per move.\Don't fall behind, Nikaidou! response:	I can't lose at the next Kishousen Tournament.
context: I'm happy for you, Nikaidou!\GOOD\Is my place okay?\Anywhere works for me!\Wherever there's a board and pieces, that's our battlefield, Kiriyama!\Ten matches with a 30-minute time limit per move.\Don't fall behind, Nikaidou!\I can't lose at the next Kishousen Tournament. response:	MONEY DEBT MONEY MONEY SHOGI MONEY
context: GOOD\Is my place okay?\Anywhere works for me!\Wherever there's a board and pieces, that's our battlefield, Kiriyama!\Ten matches with a 30-minute time limit per move.\Don't fall behind, Nikaidou!\I can't lose at the next Kishousen Tournament.\MONEY DEBT MONEY MONEY SHOGI MONEY response:	Inside Kiriyama's Brain
context: Is my place okay?\Anywhere works for me!\Wherever there's a board and pieces, that's our battlefield, Kiriyama!\Ten matches with a 30-minute time limit per move.\Don't fall behind, Nikaidou!\I can't lose at the next Kishousen Tournament.\MONEY DEBT MONEY MONEY SHOGI MONEY\Inside Kiriyama's Brain response:	In fact, I can't lose a single match!
context: Anywhere works for me!\Wherever there's a board and pieces, that's our battlefield, Kiriyama!\Ten matches with a 30-minute time limit per move.\Don't fall behind, Nikaidou!\I can't lose at the next Kishousen Tournament.\MONEY DEBT MONEY MONEY SHOGI MONEY\Inside Kiriyama's Brain\In fact, I can't lose a single match! response:	BEST FRIENDS BEST FRIENDS BEST FRIENDS SHOGI BEST FRIENDS
context: Wherever there's a board and pieces, that's our battlefield, Kiriyama!\Ten matches with a 30-minute time limit per move.\Don't fall behind, Nikaidou!\I can't lose at the next Kishousen Tournament.\MONEY DEBT MONEY MONEY SHOGI MONEY\Inside Kiriyama's Brain\In fact, I can't lose a single match!\BEST FRIENDS BEST FRIENDS BEST FRIENDS SHOGI BEST FRIENDS response:	Inside Nikaidou's Brain
context: Ten matches with a 30-minute time limit per move.\Don't fall behind, Nikaidou!\I can't lose at the next Kishousen Tournament.\MONEY DEBT MONEY MONEY SHOGI MONEY\Inside Kiriyama's Brain\In fact, I can't lose a single match!\BEST FRIENDS BEST FRIENDS BEST FRIENDS SHOGI BEST FRIENDS\Inside Nikaidou's Brain response:	Kiriyama, those words are music to my ears!
context: Don't fall behind, Nikaidou!\I can't lose at the next Kishousen Tournament.\MONEY DEBT MONEY MONEY SHOGI MONEY\Inside Kiriyama's Brain\In fact, I can't lose a single match!\BEST FRIENDS BEST FRIENDS BEST FRIENDS SHOGI BEST FRIENDS\Inside Nikaidou's Brain\Kiriyama, those words are music to my ears! response:	It's tough. Everything is tough.
context: I can't lose at the next Kishousen Tournament.\MONEY DEBT MONEY MONEY SHOGI MONEY\Inside Kiriyama's Brain\In fact, I can't lose a single match!\BEST FRIENDS BEST FRIENDS BEST FRIENDS SHOGI BEST FRIENDS\Inside Nikaidou's Brain\Kiriyama, those words are music to my ears!\It's tough. Everything is tough. response:	Reality is tough.
context: MONEY DEBT MONEY MONEY SHOGI MONEY\Inside Kiriyama's Brain\In fact, I can't lose a single match!\BEST FRIENDS BEST FRIENDS BEST FRIENDS SHOGI BEST FRIENDS\Inside Nikaidou's Brain\Kiriyama, those words are music to my ears!\It's tough. Everything is tough.\Reality is tough. response:	But that doesn't mean I can give up!
context: Inside Kiriyama's Brain\In fact, I can't lose a single match!\BEST FRIENDS BEST FRIENDS BEST FRIENDS SHOGI BEST FRIENDS\Inside Nikaidou's Brain\Kiriyama, those words are music to my ears!\It's tough. Everything is tough.\Reality is tough.\But that doesn't mean I can give up! response:	That's how it's been up to now, and, of course, that's how it'll always be.
context: In fact, I can't lose a single match!\BEST FRIENDS BEST FRIENDS BEST FRIENDS SHOGI BEST FRIENDS\Inside Nikaidou's Brain\Kiriyama, those words are music to my ears!\It's tough. Everything is tough.\Reality is tough.\But that doesn't mean I can give up!\That's how it's been up to now, and, of course, that's how it'll always be. response:	But right now, I'm doing it for Hina!
context: BEST FRIENDS BEST FRIENDS BEST FRIENDS SHOGI BEST FRIENDS\Inside Nikaidou's Brain\Kiriyama, those words are music to my ears!\It's tough. Everything is tough.\Reality is tough.\But that doesn't mean I can give up!\That's how it's been up to now, and, of course, that's how it'll always be.\But right now, I'm doing it for Hina! response:	That Sunday, I got a text from Akari.
context: Inside Nikaidou's Brain\Kiriyama, those words are music to my ears!\It's tough. Everything is tough.\Reality is tough.\But that doesn't mean I can give up!\That's how it's been up to now, and, of course, that's how it'll always be.\But right now, I'm doing it for Hina!\That Sunday, I got a text from Akari. response:	POTATOES ONIONS
context: Kiriyama, those words are music to my ears!\It's tough. Everything is tough.\Reality is tough.\But that doesn't mean I can give up!\That's how it's been up to now, and, of course, that's how it'll always be.\But right now, I'm doing it for Hina!\That Sunday, I got a text from Akari.\POTATOES ONIONS response:	Thanks, Kiriyama. This is a big help.
context: It's tough. Everything is tough.\Reality is tough.\But that doesn't mean I can give up!\That's how it's been up to now, and, of course, that's how it'll always be.\But right now, I'm doing it for Hina!\That Sunday, I got a text from Akari.\POTATOES ONIONS\Thanks, Kiriyama. This is a big help. response:	No, not at all. This is nothing.
context: Reality is tough.\But that doesn't mean I can give up!\That's how it's been up to now, and, of course, that's how it'll always be.\But right now, I'm doing it for Hina!\That Sunday, I got a text from Akari.\POTATOES ONIONS\Thanks, Kiriyama. This is a big help.\No, not at all. This is nothing. response:	They had so many special sales to celebrate their remodeling.
context: But that doesn't mean I can give up!\That's how it's been up to now, and, of course, that's how it'll always be.\But right now, I'm doing it for Hina!\That Sunday, I got a text from Akari.\POTATOES ONIONS\Thanks, Kiriyama. This is a big help.\No, not at all. This is nothing.\They had so many special sales to celebrate their remodeling. response:	HEAVY
context: That's how it's been up to now, and, of course, that's how it'll always be.\But right now, I'm doing it for Hina!\That Sunday, I got a text from Akari.\POTATOES ONIONS\Thanks, Kiriyama. This is a big help.\No, not at all. This is nothing.\They had so many special sales to celebrate their remodeling.\HEAVY response:	WOBBLE WOBBLE...
context: But right now, I'm doing it for Hina!\That Sunday, I got a text from Akari.\POTATOES ONIONS\Thanks, Kiriyama. This is a big help.\No, not at all. This is nothing.\They had so many special sales to celebrate their remodeling.\HEAVY\WOBBLE WOBBLE... response:	I mean, just 200 yen for a box of potatoes or onions.
context: That Sunday, I got a text from Akari.\POTATOES ONIONS\Thanks, Kiriyama. This is a big help.\No, not at all. This is nothing.\They had so many special sales to celebrate their remodeling.\HEAVY\WOBBLE WOBBLE...\I mean, just 200 yen for a box of potatoes or onions. response:	I couldn't pass that up, right?
context: POTATOES ONIONS\Thanks, Kiriyama. This is a big help.\No, not at all. This is nothing.\They had so many special sales to celebrate their remodeling.\HEAVY\WOBBLE WOBBLE...\I mean, just 200 yen for a box of potatoes or onions.\I couldn't pass that up, right? response:	And then there was 100 grams of chicken thigh for 48 yen,
context: Thanks, Kiriyama. This is a big help.\No, not at all. This is nothing.\They had so many special sales to celebrate their remodeling.\HEAVY\WOBBLE WOBBLE...\I mean, just 200 yen for a box of potatoes or onions.\I couldn't pass that up, right?\And then there was 100 grams of chicken thigh for 48 yen, response:	MARU S SPECIAL SALE TODAY
context: No, not at all. This is nothing.\They had so many special sales to celebrate their remodeling.\HEAVY\WOBBLE WOBBLE...\I mean, just 200 yen for a box of potatoes or onions.\I couldn't pass that up, right?\And then there was 100 grams of chicken thigh for 48 yen,\MARU S SPECIAL SALE TODAY response:	99 yen for a tub of margarine,
context: They had so many special sales to celebrate their remodeling.\HEAVY\WOBBLE WOBBLE...\I mean, just 200 yen for a box of potatoes or onions.\I couldn't pass that up, right?\And then there was 100 grams of chicken thigh for 48 yen,\MARU S SPECIAL SALE TODAY\99 yen for a tub of margarine, response:	100 grams of pork for 126 yen,
context: HEAVY\WOBBLE WOBBLE...\I mean, just 200 yen for a box of potatoes or onions.\I couldn't pass that up, right?\And then there was 100 grams of chicken thigh for 48 yen,\MARU S SPECIAL SALE TODAY\99 yen for a tub of margarine,\100 grams of pork for 126 yen, response:	99 yen for a carton of milk...
context: WOBBLE WOBBLE...\I mean, just 200 yen for a box of potatoes or onions.\I couldn't pass that up, right?\And then there was 100 grams of chicken thigh for 48 yen,\MARU S SPECIAL SALE TODAY\99 yen for a tub of margarine,\100 grams of pork for 126 yen,\99 yen for a carton of milk... response:	Oh, I'm overjoyed!
context: I mean, just 200 yen for a box of potatoes or onions.\I couldn't pass that up, right?\And then there was 100 grams of chicken thigh for 48 yen,\MARU S SPECIAL SALE TODAY\99 yen for a tub of margarine,\100 grams of pork for 126 yen,\99 yen for a carton of milk...\Oh, I'm overjoyed! response:	Where's Hina today?
context: I couldn't pass that up, right?\And then there was 100 grams of chicken thigh for 48 yen,\MARU S SPECIAL SALE TODAY\99 yen for a tub of margarine,\100 grams of pork for 126 yen,\99 yen for a carton of milk...\Oh, I'm overjoyed!\Where's Hina today? response:	She's at the amusement park in Asakusa with Grandpa and Momo.
context: And then there was 100 grams of chicken thigh for 48 yen,\MARU S SPECIAL SALE TODAY\99 yen for a tub of margarine,\100 grams of pork for 126 yen,\99 yen for a carton of milk...\Oh, I'm overjoyed!\Where's Hina today?\She's at the amusement park in Asakusa with Grandpa and Momo. response:	THREE LITTLE PIGS
context: MARU S SPECIAL SALE TODAY\99 yen for a tub of margarine,\100 grams of pork for 126 yen,\99 yen for a carton of milk...\Oh, I'm overjoyed!\Where's Hina today?\She's at the amusement park in Asakusa with Grandpa and Momo.\THREE LITTLE PIGS response:	She's still feeling a little down.
context: 99 yen for a tub of margarine,\100 grams of pork for 126 yen,\99 yen for a carton of milk...\Oh, I'm overjoyed!\Where's Hina today?\She's at the amusement park in Asakusa with Grandpa and Momo.\THREE LITTLE PIGS\She's still feeling a little down. response:	Go!
context: 100 grams of pork for 126 yen,\99 yen for a carton of milk...\Oh, I'm overjoyed!\Where's Hina today?\She's at the amusement park in Asakusa with Grandpa and Momo.\THREE LITTLE PIGS\She's still feeling a little down.\Go! response:	So Grandpa took her there.
context: 99 yen for a carton of milk...\Oh, I'm overjoyed!\Where's Hina today?\She's at the amusement park in Asakusa with Grandpa and Momo.\THREE LITTLE PIGS\She's still feeling a little down.\Go!\So Grandpa took her there. response:	I hope this will help her to feel better.
context: Oh, I'm overjoyed!\Where's Hina today?\She's at the amusement park in Asakusa with Grandpa and Momo.\THREE LITTLE PIGS\She's still feeling a little down.\Go!\So Grandpa took her there.\I hope this will help her to feel better. response:	Panda!
context: Where's Hina today?\She's at the amusement park in Asakusa with Grandpa and Momo.\THREE LITTLE PIGS\She's still feeling a little down.\Go!\So Grandpa took her there.\I hope this will help her to feel better.\Panda! response:	Hey, Kiriyama, are you okay with those?
context: She's at the amusement park in Asakusa with Grandpa and Momo.\THREE LITTLE PIGS\She's still feeling a little down.\Go!\So Grandpa took her there.\I hope this will help her to feel better.\Panda!\Hey, Kiriyama, are you okay with those? response:	Want me to take one?
context: THREE LITTLE PIGS\She's still feeling a little down.\Go!\So Grandpa took her there.\I hope this will help her to feel better.\Panda!\Hey, Kiriyama, are you okay with those?\Want me to take one? response:	I'm fine.
context: She's still feeling a little down.\Go!\So Grandpa took her there.\I hope this will help her to feel better.\Panda!\Hey, Kiriyama, are you okay with those?\Want me to take one?\I'm fine. response:	No problem.
context: Go!\So Grandpa took her there.\I hope this will help her to feel better.\Panda!\Hey, Kiriyama, are you okay with those?\Want me to take one?\I'm fine.\No problem. response:	Really? Are you sure they're not too heavy? Don't overdo it.
context: So Grandpa took her there.\I hope this will help her to feel better.\Panda!\Hey, Kiriyama, are you okay with those?\Want me to take one?\I'm fine.\No problem.\Really? Are you sure they're not too heavy? Don't overdo it. response:	It's okay. I am a guy, after all.
context: I hope this will help her to feel better.\Panda!\Hey, Kiriyama, are you okay with those?\Want me to take one?\I'm fine.\No problem.\Really? Are you sure they're not too heavy? Don't overdo it.\It's okay. I am a guy, after all. response:	Rei doesn't seem to be getting fluffy at all.
context: Panda!\Hey, Kiriyama, are you okay with those?\Want me to take one?\I'm fine.\No problem.\Really? Are you sure they're not too heavy? Don't overdo it.\It's okay. I am a guy, after all.\Rei doesn't seem to be getting fluffy at all. response:	I worry about you. How many kilos are you now?
context: Hey, Kiriyama, are you okay with those?\Want me to take one?\I'm fine.\No problem.\Really? Are you sure they're not too heavy? Don't overdo it.\It's okay. I am a guy, after all.\Rei doesn't seem to be getting fluffy at all.\I worry about you. How many kilos are you now? response:	My weight?
context: Want me to take one?\I'm fine.\No problem.\Really? Are you sure they're not too heavy? Don't overdo it.\It's okay. I am a guy, after all.\Rei doesn't seem to be getting fluffy at all.\I worry about you. How many kilos are you now?\My weight? response:	Um...
context: I'm fine.\No problem.\Really? Are you sure they're not too heavy? Don't overdo it.\It's okay. I am a guy, after all.\Rei doesn't seem to be getting fluffy at all.\I worry about you. How many kilos are you now?\My weight?\Um... response:	52 kg...
context: No problem.\Really? Are you sure they're not too heavy? Don't overdo it.\It's okay. I am a guy, after all.\Rei doesn't seem to be getting fluffy at all.\I worry about you. How many kilos are you now?\My weight?\Um...\52 kg... response:	FREEZE
context: Really? Are you sure they're not too heavy? Don't overdo it.\It's okay. I am a guy, after all.\Rei doesn't seem to be getting fluffy at all.\I worry about you. How many kilos are you now?\My weight?\Um...\52 kg...\FREEZE response:	A-Akari?
context: It's okay. I am a guy, after all.\Rei doesn't seem to be getting fluffy at all.\I worry about you. How many kilos are you now?\My weight?\Um...\52 kg...\FREEZE\A-Akari? response:	Um, please wait...
context: Rei doesn't seem to be getting fluffy at all.\I worry about you. How many kilos are you now?\My weight?\Um...\52 kg...\FREEZE\A-Akari?\Um, please wait... response:	Thank you, Kiriyama.
context: I worry about you. How many kilos are you now?\My weight?\Um...\52 kg...\FREEZE\A-Akari?\Um, please wait...\Thank you, Kiriyama. response:	Okay, then...
context: My weight?\Um...\52 kg...\FREEZE\A-Akari?\Um, please wait...\Thank you, Kiriyama.\Okay, then... response:	Well, I'll be on my way...
context: Um...\52 kg...\FREEZE\A-Akari?\Um, please wait...\Thank you, Kiriyama.\Okay, then...\Well, I'll be on my way... response:	What are you talking about?
context: 52 kg...\FREEZE\A-Akari?\Um, please wait...\Thank you, Kiriyama.\Okay, then...\Well, I'll be on my way...\What are you talking about? response:	Come in.
context: FREEZE\A-Akari?\Um, please wait...\Thank you, Kiriyama.\Okay, then...\Well, I'll be on my way...\What are you talking about?\Come in. response:	Oh, but I'm always intruding...
context: A-Akari?\Um, please wait...\Thank you, Kiriyama.\Okay, then...\Well, I'll be on my way...\What are you talking about?\Come in.\Oh, but I'm always intruding... response:	HESITANT
context: Um, please wait...\Thank you, Kiriyama.\Okay, then...\Well, I'll be on my way...\What are you talking about?\Come in.\Oh, but I'm always intruding...\HESITANT response:	And it kind of seems like you're angry...
context: Thank you, Kiriyama.\Okay, then...\Well, I'll be on my way...\What are you talking about?\Come in.\Oh, but I'm always intruding...\HESITANT\And it kind of seems like you're angry... response:	What are you going on about?
context: Okay, then...\Well, I'll be on my way...\What are you talking about?\Come in.\Oh, but I'm always intruding...\HESITANT\And it kind of seems like you're angry...\What are you going on about? response:	You intend to make me break down these vegetables by myself?
context: Well, I'll be on my way...\What are you talking about?\Come in.\Oh, but I'm always intruding...\HESITANT\And it kind of seems like you're angry...\What are you going on about?\You intend to make me break down these vegetables by myself? response:	Help me!
context: What are you talking about?\Come in.\Oh, but I'm always intruding...\HESITANT\And it kind of seems like you're angry...\What are you going on about?\You intend to make me break down these vegetables by myself?\Help me! response:	R-Right!
context: Come in.\Oh, but I'm always intruding...\HESITANT\And it kind of seems like you're angry...\What are you going on about?\You intend to make me break down these vegetables by myself?\Help me!\R-Right! response:	Here. For starters, peel the outer layer off of all these onions.
context: Oh, but I'm always intruding...\HESITANT\And it kind of seems like you're angry...\What are you going on about?\You intend to make me break down these vegetables by myself?\Help me!\R-Right!\Here. For starters, peel the outer layer off of all these onions. response:	After that, remove the strings from the string beans.
context: HESITANT\And it kind of seems like you're angry...\What are you going on about?\You intend to make me break down these vegetables by myself?\Help me!\R-Right!\Here. For starters, peel the outer layer off of all these onions.\After that, remove the strings from the string beans. response:	Have you done it before?
context: And it kind of seems like you're angry...\What are you going on about?\You intend to make me break down these vegetables by myself?\Help me!\R-Right!\Here. For starters, peel the outer layer off of all these onions.\After that, remove the strings from the string beans.\Have you done it before? response:	Yes. I can do that.
context: What are you going on about?\You intend to make me break down these vegetables by myself?\Help me!\R-Right!\Here. For starters, peel the outer layer off of all these onions.\After that, remove the strings from the string beans.\Have you done it before?\Yes. I can do that. response:	I'm no good, huh?
context: You intend to make me break down these vegetables by myself?\Help me!\R-Right!\Here. For starters, peel the outer layer off of all these onions.\After that, remove the strings from the string beans.\Have you done it before?\Yes. I can do that.\I'm no good, huh? response:	You didn't do a single thing wrong!
context: Help me!\R-Right!\Here. For starters, peel the outer layer off of all these onions.\After that, remove the strings from the string beans.\Have you done it before?\Yes. I can do that.\I'm no good, huh?\You didn't do a single thing wrong! response:	You helped your friend!
context: R-Right!\Here. For starters, peel the outer layer off of all these onions.\After that, remove the strings from the string beans.\Have you done it before?\Yes. I can do that.\I'm no good, huh?\You didn't do a single thing wrong!\You helped your friend! response:	Be proud of yourself!
context: Here. For starters, peel the outer layer off of all these onions.\After that, remove the strings from the string beans.\Have you done it before?\Yes. I can do that.\I'm no good, huh?\You didn't do a single thing wrong!\You helped your friend!\Be proud of yourself! response:	Grandpa made a strong declaration like that,
context: After that, remove the strings from the string beans.\Have you done it before?\Yes. I can do that.\I'm no good, huh?\You didn't do a single thing wrong!\You helped your friend!\Be proud of yourself!\Grandpa made a strong declaration like that, response:	but I...
context: Have you done it before?\Yes. I can do that.\I'm no good, huh?\You didn't do a single thing wrong!\You helped your friend!\Be proud of yourself!\Grandpa made a strong declaration like that,\but I... response:	Hina...
context: Yes. I can do that.\I'm no good, huh?\You didn't do a single thing wrong!\You helped your friend!\Be proud of yourself!\Grandpa made a strong declaration like that,\but I...\Hina... response:	Sis, what should I have done?
context: I'm no good, huh?\You didn't do a single thing wrong!\You helped your friend!\Be proud of yourself!\Grandpa made a strong declaration like that,\but I...\Hina...\Sis, what should I have done? response:	I hesitated that time.
context: You didn't do a single thing wrong!\You helped your friend!\Be proud of yourself!\Grandpa made a strong declaration like that,\but I...\Hina...\Sis, what should I have done?\I hesitated that time. response:	I couldn't say something to Hina like Grandpa did.
context: You helped your friend!\Be proud of yourself!\Grandpa made a strong declaration like that,\but I...\Hina...\Sis, what should I have done?\I hesitated that time.\I couldn't say something to Hina like Grandpa did. response:	Far from it. I asked her, Why?
context: Be proud of yourself!\Grandpa made a strong declaration like that,\but I...\Hina...\Sis, what should I have done?\I hesitated that time.\I couldn't say something to Hina like Grandpa did.\Far from it. I asked her, Why? response:	Why didn't you tell me this before?
context: Grandpa made a strong declaration like that,\but I...\Hina...\Sis, what should I have done?\I hesitated that time.\I couldn't say something to Hina like Grandpa did.\Far from it. I asked her, Why?\Why didn't you tell me this before? response:	Why couldn't you have handled it more smoothly?
context: but I...\Hina...\Sis, what should I have done?\I hesitated that time.\I couldn't say something to Hina like Grandpa did.\Far from it. I asked her, Why?\Why didn't you tell me this before?\Why couldn't you have handled it more smoothly? response:	Why?
context: Hina...\Sis, what should I have done?\I hesitated that time.\I couldn't say something to Hina like Grandpa did.\Far from it. I asked her, Why?\Why didn't you tell me this before?\Why couldn't you have handled it more smoothly?\Why? response:	Akari...
context: Sis, what should I have done?\I hesitated that time.\I couldn't say something to Hina like Grandpa did.\Far from it. I asked her, Why?\Why didn't you tell me this before?\Why couldn't you have handled it more smoothly?\Why?\Akari... response:	Grandpa told me this afterward.
context: I hesitated that time.\I couldn't say something to Hina like Grandpa did.\Far from it. I asked her, Why?\Why didn't you tell me this before?\Why couldn't you have handled it more smoothly?\Why?\Akari...\Grandpa told me this afterward. response:	I thought the same thing.
context: I couldn't say something to Hina like Grandpa did.\Far from it. I asked her, Why?\Why didn't you tell me this before?\Why couldn't you have handled it more smoothly?\Why?\Akari...\Grandpa told me this afterward.\I thought the same thing. response:	I think of the safety of a kid in my own family before a kid in another family.
context: Far from it. I asked her, Why?\Why didn't you tell me this before?\Why couldn't you have handled it more smoothly?\Why?\Akari...\Grandpa told me this afterward.\I thought the same thing.\I think of the safety of a kid in my own family before a kid in another family. response:	That's only natural. Everyone is that way.
context: Why didn't you tell me this before?\Why couldn't you have handled it more smoothly?\Why?\Akari...\Grandpa told me this afterward.\I thought the same thing.\I think of the safety of a kid in my own family before a kid in another family.\That's only natural. Everyone is that way. response:	But think about it.
context: Why couldn't you have handled it more smoothly?\Why?\Akari...\Grandpa told me this afterward.\I thought the same thing.\I think of the safety of a kid in my own family before a kid in another family.\That's only natural. Everyone is that way.\But think about it. response:	Did Hina do anything wrong?
context: Why?\Akari...\Grandpa told me this afterward.\I thought the same thing.\I think of the safety of a kid in my own family before a kid in another family.\That's only natural. Everyone is that way.\But think about it.\Did Hina do anything wrong? response:	No, right?
context: Akari...\Grandpa told me this afterward.\I thought the same thing.\I think of the safety of a kid in my own family before a kid in another family.\That's only natural. Everyone is that way.\But think about it.\Did Hina do anything wrong?\No, right? response:	Hina is suffering plenty as it is.
context: Grandpa told me this afterward.\I thought the same thing.\I think of the safety of a kid in my own family before a kid in another family.\That's only natural. Everyone is that way.\But think about it.\Did Hina do anything wrong?\No, right?\Hina is suffering plenty as it is. response:	So if we ask her, Why did you do that? on top of everything else, she'll feel lost.
context: I thought the same thing.\I think of the safety of a kid in my own family before a kid in another family.\That's only natural. Everyone is that way.\But think about it.\Did Hina do anything wrong?\No, right?\Hina is suffering plenty as it is.\So if we ask her, Why did you do that? on top of everything else, she'll feel lost. response:	More than anything, shouldn't we praise Hina for her courage
context: I think of the safety of a kid in my own family before a kid in another family.\That's only natural. Everyone is that way.\But think about it.\Did Hina do anything wrong?\No, right?\Hina is suffering plenty as it is.\So if we ask her, Why did you do that? on top of everything else, she'll feel lost.\More than anything, shouldn't we praise Hina for her courage response:	and sense of justice for standing by her friend, even though she knew
context: That's only natural. Everyone is that way.\But think about it.\Did Hina do anything wrong?\No, right?\Hina is suffering plenty as it is.\So if we ask her, Why did you do that? on top of everything else, she'll feel lost.\More than anything, shouldn't we praise Hina for her courage\and sense of justice for standing by her friend, even though she knew response:	it might make her the next target?
context: But think about it.\Did Hina do anything wrong?\No, right?\Hina is suffering plenty as it is.\So if we ask her, Why did you do that? on top of everything else, she'll feel lost.\More than anything, shouldn't we praise Hina for her courage\and sense of justice for standing by her friend, even though she knew\it might make her the next target? response:	Ever since our Mom died,
context: Did Hina do anything wrong?\No, right?\Hina is suffering plenty as it is.\So if we ask her, Why did you do that? on top of everything else, she'll feel lost.\More than anything, shouldn't we praise Hina for her courage\and sense of justice for standing by her friend, even though she knew\it might make her the next target?\Ever since our Mom died, response:	I've been the surrogate mom for Hina and Momo.
context: No, right?\Hina is suffering plenty as it is.\So if we ask her, Why did you do that? on top of everything else, she'll feel lost.\More than anything, shouldn't we praise Hina for her courage\and sense of justice for standing by her friend, even though she knew\it might make her the next target?\Ever since our Mom died,\I've been the surrogate mom for Hina and Momo. response:	I didn't know anything at 19.
context: Hina is suffering plenty as it is.\So if we ask her, Why did you do that? on top of everything else, she'll feel lost.\More than anything, shouldn't we praise Hina for her courage\and sense of justice for standing by her friend, even though she knew\it might make her the next target?\Ever since our Mom died,\I've been the surrogate mom for Hina and Momo.\I didn't know anything at 19. response:	But Mom was counting on me.
context: So if we ask her, Why did you do that? on top of everything else, she'll feel lost.\More than anything, shouldn't we praise Hina for her courage\and sense of justice for standing by her friend, even though she knew\it might make her the next target?\Ever since our Mom died,\I've been the surrogate mom for Hina and Momo.\I didn't know anything at 19.\But Mom was counting on me. response:	So I tried as hard as I could.
context: More than anything, shouldn't we praise Hina for her courage\and sense of justice for standing by her friend, even though she knew\it might make her the next target?\Ever since our Mom died,\I've been the surrogate mom for Hina and Momo.\I didn't know anything at 19.\But Mom was counting on me.\So I tried as hard as I could. response:	Think about the people who are around you, too.
context: and sense of justice for standing by her friend, even though she knew\it might make her the next target?\Ever since our Mom died,\I've been the surrogate mom for Hina and Momo.\I didn't know anything at 19.\But Mom was counting on me.\So I tried as hard as I could.\Think about the people who are around you, too. response:	Be kind to people.
context: it might make her the next target?\Ever since our Mom died,\I've been the surrogate mom for Hina and Momo.\I didn't know anything at 19.\But Mom was counting on me.\So I tried as hard as I could.\Think about the people who are around you, too.\Be kind to people. response:	I've been pushing ham-fisted advice on her.
context: Ever since our Mom died,\I've been the surrogate mom for Hina and Momo.\I didn't know anything at 19.\But Mom was counting on me.\So I tried as hard as I could.\Think about the people who are around you, too.\Be kind to people.\I've been pushing ham-fisted advice on her. response:	But when push came to shove, this is what happens.
context: I've been the surrogate mom for Hina and Momo.\I didn't know anything at 19.\But Mom was counting on me.\So I tried as hard as I could.\Think about the people who are around you, too.\Be kind to people.\I've been pushing ham-fisted advice on her.\But when push came to shove, this is what happens. response:	I thought, I don't care about justice. I just wanted her to run away.
context: I didn't know anything at 19.\But Mom was counting on me.\So I tried as hard as I could.\Think about the people who are around you, too.\Be kind to people.\I've been pushing ham-fisted advice on her.\But when push came to shove, this is what happens.\I thought, I don't care about justice. I just wanted her to run away. response:	Even though Hina was hanging in there for the sake of her friend,
context: But Mom was counting on me.\So I tried as hard as I could.\Think about the people who are around you, too.\Be kind to people.\I've been pushing ham-fisted advice on her.\But when push came to shove, this is what happens.\I thought, I don't care about justice. I just wanted her to run away.\Even though Hina was hanging in there for the sake of her friend, response:	Akari...
context: So I tried as hard as I could.\Think about the people who are around you, too.\Be kind to people.\I've been pushing ham-fisted advice on her.\But when push came to shove, this is what happens.\I thought, I don't care about justice. I just wanted her to run away.\Even though Hina was hanging in there for the sake of her friend,\Akari... response:	You... You've got it wrong.
context: Think about the people who are around you, too.\Be kind to people.\I've been pushing ham-fisted advice on her.\But when push came to shove, this is what happens.\I thought, I don't care about justice. I just wanted her to run away.\Even though Hina was hanging in there for the sake of her friend,\Akari...\You... You've got it wrong. response:	What you felt was normal.
context: Be kind to people.\I've been pushing ham-fisted advice on her.\But when push came to shove, this is what happens.\I thought, I don't care about justice. I just wanted her to run away.\Even though Hina was hanging in there for the sake of her friend,\Akari...\You... You've got it wrong.\What you felt was normal. response:	No one wants a family member to go through a painful experience.
context: I've been pushing ham-fisted advice on her.\But when push came to shove, this is what happens.\I thought, I don't care about justice. I just wanted her to run away.\Even though Hina was hanging in there for the sake of her friend,\Akari...\You... You've got it wrong.\What you felt was normal.\No one wants a family member to go through a painful experience. response:	After all, the one who's been watching over Hina the most...
