context: Tomoyo-chan, is your leg okay? response:	I just sprained it a little, so'
context: Wired!\Found it!\Did you find it?\Yep!\You have to cut it with something.\When LOOP shows up,\you capture him before he connects the road again!\But even if you say cut' response:	That's it!
context: Found it!\Did you find it?\Yep!\You have to cut it with something.\When LOOP shows up,\you capture him before he connects the road again!\But even if you say cut'\That's it! response:	Key that holds the power of the dark,
context: Did you find it?\Yep!\You have to cut it with something.\When LOOP shows up,\you capture him before he connects the road again!\But even if you say cut'\That's it!\Key that holds the power of the dark, response:	show your true form to me!
context: Yep!\You have to cut it with something.\When LOOP shows up,\you capture him before he connects the road again!\But even if you say cut'\That's it!\Key that holds the power of the dark,\show your true form to me! response:	This, Sakura commands!
context: You have to cut it with something.\When LOOP shows up,\you capture him before he connects the road again!\But even if you say cut'\That's it!\Key that holds the power of the dark,\show your true form to me!\This, Sakura commands! response:	RELEASE!
context: When LOOP shows up,\you capture him before he connects the road again!\But even if you say cut'\That's it!\Key that holds the power of the dark,\show your true form to me!\This, Sakura commands!\RELEASE! response:	SWORD!
context: you capture him before he connects the road again!\But even if you say cut'\That's it!\Key that holds the power of the dark,\show your true form to me!\This, Sakura commands!\RELEASE!\SWORD! response:	Return to thy true form!
context: But even if you say cut'\That's it!\Key that holds the power of the dark,\show your true form to me!\This, Sakura commands!\RELEASE!\SWORD!\Return to thy true form! response:	CLOW CARD!
context: That's it!\Key that holds the power of the dark,\show your true form to me!\This, Sakura commands!\RELEASE!\SWORD!\Return to thy true form!\CLOW CARD! response:	Did you do it?
context: Key that holds the power of the dark,\show your true form to me!\This, Sakura commands!\RELEASE!\SWORD!\Return to thy true form!\CLOW CARD!\Did you do it? response:	Shao Lan was faster!
context: show your true form to me!\This, Sakura commands!\RELEASE!\SWORD!\Return to thy true form!\CLOW CARD!\Did you do it?\Shao Lan was faster! response:	But Shao Lan was definitely faster!
context: This, Sakura commands!\RELEASE!\SWORD!\Return to thy true form!\CLOW CARD!\Did you do it?\Shao Lan was faster!\But Shao Lan was definitely faster! response:	Sakura-chan and her friends sure are late'
context: RELEASE!\SWORD!\Return to thy true form!\CLOW CARD!\Did you do it?\Shao Lan was faster!\But Shao Lan was definitely faster!\Sakura-chan and her friends sure are late' response:	Maybe they took a wrong street?
context: SWORD!\Return to thy true form!\CLOW CARD!\Did you do it?\Shao Lan was faster!\But Shao Lan was definitely faster!\Sakura-chan and her friends sure are late'\Maybe they took a wrong street? response:	No!
context: Return to thy true form!\CLOW CARD!\Did you do it?\Shao Lan was faster!\But Shao Lan was definitely faster!\Sakura-chan and her friends sure are late'\Maybe they took a wrong street?\No! response:	Even if you say no, you still can't run on that leg!
context: CLOW CARD!\Did you do it?\Shao Lan was faster!\But Shao Lan was definitely faster!\Sakura-chan and her friends sure are late'\Maybe they took a wrong street?\No!\Even if you say no, you still can't run on that leg! response:	I'm fine!
context: Did you do it?\Shao Lan was faster!\But Shao Lan was definitely faster!\Sakura-chan and her friends sure are late'\Maybe they took a wrong street?\No!\Even if you say no, you still can't run on that leg!\I'm fine! response:	I'll stay with her,
context: Shao Lan was faster!\But Shao Lan was definitely faster!\Sakura-chan and her friends sure are late'\Maybe they took a wrong street?\No!\Even if you say no, you still can't run on that leg!\I'm fine!\I'll stay with her, response:	so if you have someone come pick her up'
context: But Shao Lan was definitely faster!\Sakura-chan and her friends sure are late'\Maybe they took a wrong street?\No!\Even if you say no, you still can't run on that leg!\I'm fine!\I'll stay with her,\so if you have someone come pick her up' response:	I'll wait with you.
context: Sakura-chan and her friends sure are late'\Maybe they took a wrong street?\No!\Even if you say no, you still can't run on that leg!\I'm fine!\I'll stay with her,\so if you have someone come pick her up'\I'll wait with you. response:	No! NO! NO!
context: Maybe they took a wrong street?\No!\Even if you say no, you still can't run on that leg!\I'm fine!\I'll stay with her,\so if you have someone come pick her up'\I'll wait with you.\No! NO! NO! response:	Shao Lan and I are going to do a one-two finish!
context: No!\Even if you say no, you still can't run on that leg!\I'm fine!\I'll stay with her,\so if you have someone come pick her up'\I'll wait with you.\No! NO! NO!\Shao Lan and I are going to do a one-two finish! response:	Mei Li.
context: Even if you say no, you still can't run on that leg!\I'm fine!\I'll stay with her,\so if you have someone come pick her up'\I'll wait with you.\No! NO! NO!\Shao Lan and I are going to do a one-two finish!\Mei Li. response:	Here.
context: I'm fine!\I'll stay with her,\so if you have someone come pick her up'\I'll wait with you.\No! NO! NO!\Shao Lan and I are going to do a one-two finish!\Mei Li.\Here. response:	Shao Lan.
context: I'll stay with her,\so if you have someone come pick her up'\I'll wait with you.\No! NO! NO!\Shao Lan and I are going to do a one-two finish!\Mei Li.\Here.\Shao Lan. response:	The last fourth grade runner has come in!
context: so if you have someone come pick her up'\I'll wait with you.\No! NO! NO!\Shao Lan and I are going to do a one-two finish!\Mei Li.\Here.\Shao Lan.\The last fourth grade runner has come in! response:	Let's greet them with a warm applause!
context: I'll wait with you.\No! NO! NO!\Shao Lan and I are going to do a one-two finish!\Mei Li.\Here.\Shao Lan.\The last fourth grade runner has come in!\Let's greet them with a warm applause! response:	Shao Lan.
context: No! NO! NO!\Shao Lan and I are going to do a one-two finish!\Mei Li.\Here.\Shao Lan.\The last fourth grade runner has come in!\Let's greet them with a warm applause!\Shao Lan. response:	Thank you.
context: Shao Lan and I are going to do a one-two finish!\Mei Li.\Here.\Shao Lan.\The last fourth grade runner has come in!\Let's greet them with a warm applause!\Shao Lan.\Thank you. response:	This time, I got hurt,
context: Mei Li.\Here.\Shao Lan.\The last fourth grade runner has come in!\Let's greet them with a warm applause!\Shao Lan.\Thank you.\This time, I got hurt, response:	but if it's just based on ability, I would've won, ok?
context: Here.\Shao Lan.\The last fourth grade runner has come in!\Let's greet them with a warm applause!\Shao Lan.\Thank you.\This time, I got hurt,\but if it's just based on ability, I would've won, ok? response:	Eh!
context: Shao Lan.\The last fourth grade runner has come in!\Let's greet them with a warm applause!\Shao Lan.\Thank you.\This time, I got hurt,\but if it's just based on ability, I would've won, ok?\Eh! response:	And even the Clow Card, Shao Lan really captured it.
context: The last fourth grade runner has come in!\Let's greet them with a warm applause!\Shao Lan.\Thank you.\This time, I got hurt,\but if it's just based on ability, I would've won, ok?\Eh!\And even the Clow Card, Shao Lan really captured it. response:	Next time there's a race,
context: Let's greet them with a warm applause!\Shao Lan.\Thank you.\This time, I got hurt,\but if it's just based on ability, I would've won, ok?\Eh!\And even the Clow Card, Shao Lan really captured it.\Next time there's a race, response:	We'll definitely beat you!
context: Shao Lan.\Thank you.\This time, I got hurt,\but if it's just based on ability, I would've won, ok?\Eh!\And even the Clow Card, Shao Lan really captured it.\Next time there's a race,\We'll definitely beat you! response:	Then it'll be a one-two finish with me and Shao Lan!
context: Thank you.\This time, I got hurt,\but if it's just based on ability, I would've won, ok?\Eh!\And even the Clow Card, Shao Lan really captured it.\Next time there's a race,\We'll definitely beat you!\Then it'll be a one-two finish with me and Shao Lan! response:	The fight has just begun!
context: This time, I got hurt,\but if it's just based on ability, I would've won, ok?\Eh!\And even the Clow Card, Shao Lan really captured it.\Next time there's a race,\We'll definitely beat you!\Then it'll be a one-two finish with me and Shao Lan!\The fight has just begun! response:	You're troubled face is wonderful, too, Sakura-chan!
context: but if it's just based on ability, I would've won, ok?\Eh!\And even the Clow Card, Shao Lan really captured it.\Next time there's a race,\We'll definitely beat you!\Then it'll be a one-two finish with me and Shao Lan!\The fight has just begun!\You're troubled face is wonderful, too, Sakura-chan! response:	I WON'T lose!
context: Eh!\And even the Clow Card, Shao Lan really captured it.\Next time there's a race,\We'll definitely beat you!\Then it'll be a one-two finish with me and Shao Lan!\The fight has just begun!\You're troubled face is wonderful, too, Sakura-chan!\I WON'T lose! response:	Eh?
