context: Come on, Kousei! Don't cry over a skinned knee! response:	You're a man, aren't you?
context: But...\I realize he's faraway from me now...\I'm not by his side... There's somebody else there...\What the...! Tsubaki!\Tsubaki\Stop! Stop!\I don't like this! Look at me! Look at me, will you?\Not with those eyes... response:	Don't look at someone else!
context: I realize he's faraway from me now...\I'm not by his side... There's somebody else there...\What the...! Tsubaki!\Tsubaki\Stop! Stop!\I don't like this! Look at me! Look at me, will you?\Not with those eyes...\Don't look at someone else! response:	Out!
context: I'm not by his side... There's somebody else there...\What the...! Tsubaki!\Tsubaki\Stop! Stop!\I don't like this! Look at me! Look at me, will you?\Not with those eyes...\Don't look at someone else!\Out! response:	Ballgame!
context: What the...! Tsubaki!\Tsubaki\Stop! Stop!\I don't like this! Look at me! Look at me, will you?\Not with those eyes...\Don't look at someone else!\Out!\Ballgame! response:	Tsubaki, I'm going home this way.
context: Tsubaki\Stop! Stop!\I don't like this! Look at me! Look at me, will you?\Not with those eyes...\Don't look at someone else!\Out!\Ballgame!\Tsubaki, I'm going home this way. response:	But you live over there, Kashiwagi.
context: Stop! Stop!\I don't like this! Look at me! Look at me, will you?\Not with those eyes...\Don't look at someone else!\Out!\Ballgame!\Tsubaki, I'm going home this way.\But you live over there, Kashiwagi. response:	Let your boyfriend console you.
context: I don't like this! Look at me! Look at me, will you?\Not with those eyes...\Don't look at someone else!\Out!\Ballgame!\Tsubaki, I'm going home this way.\But you live over there, Kashiwagi.\Let your boyfriend console you. response:	Boyfriend?
context: Not with those eyes...\Don't look at someone else!\Out!\Ballgame!\Tsubaki, I'm going home this way.\But you live over there, Kashiwagi.\Let your boyfriend console you.\Boyfriend? response:	Sen...pai?
context: Don't look at someone else!\Out!\Ballgame!\Tsubaki, I'm going home this way.\But you live over there, Kashiwagi.\Let your boyfriend console you.\Boyfriend?\Sen...pai? response:	Kousei?
context: Out!\Ballgame!\Tsubaki, I'm going home this way.\But you live over there, Kashiwagi.\Let your boyfriend console you.\Boyfriend?\Sen...pai?\Kousei? response:	Yo.
context: Ballgame!\Tsubaki, I'm going home this way.\But you live over there, Kashiwagi.\Let your boyfriend console you.\Boyfriend?\Sen...pai?\Kousei?\Yo. response:	Yo...
context: Tsubaki, I'm going home this way.\But you live over there, Kashiwagi.\Let your boyfriend console you.\Boyfriend?\Sen...pai?\Kousei?\Yo.\Yo... response:	Kousei... this is embarrassing!
context: But you live over there, Kashiwagi.\Let your boyfriend console you.\Boyfriend?\Sen...pai?\Kousei?\Yo.\Yo...\Kousei... this is embarrassing! response:	Well, no one's looking.
context: Let your boyfriend console you.\Boyfriend?\Sen...pai?\Kousei?\Yo.\Yo...\Kousei... this is embarrassing!\Well, no one's looking. response:	But nobody else was onto me!
context: Boyfriend?\Sen...pai?\Kousei?\Yo.\Yo...\Kousei... this is embarrassing!\Well, no one's looking.\But nobody else was onto me! response:	Yeah, and how long have we known each other?
context: Sen...pai?\Kousei?\Yo.\Yo...\Kousei... this is embarrassing!\Well, no one's looking.\But nobody else was onto me!\Yeah, and how long have we known each other? response:	Where's Kao-chan?
context: Kousei?\Yo.\Yo...\Kousei... this is embarrassing!\Well, no one's looking.\But nobody else was onto me!\Yeah, and how long have we known each other?\Where's Kao-chan? response:	She went home. She said, Go to Tsubaki-chan by yourself.
context: Yo.\Yo...\Kousei... this is embarrassing!\Well, no one's looking.\But nobody else was onto me!\Yeah, and how long have we known each other?\Where's Kao-chan?\She went home. She said, Go to Tsubaki-chan by yourself. response:	After that roll down the hill, you carried me like this, even though you were hurt.
context: Yo...\Kousei... this is embarrassing!\Well, no one's looking.\But nobody else was onto me!\Yeah, and how long have we known each other?\Where's Kao-chan?\She went home. She said, Go to Tsubaki-chan by yourself.\After that roll down the hill, you carried me like this, even though you were hurt. response:	And then your own ankle swelled up like a handball, too.
context: Kousei... this is embarrassing!\Well, no one's looking.\But nobody else was onto me!\Yeah, and how long have we known each other?\Where's Kao-chan?\She went home. She said, Go to Tsubaki-chan by yourself.\After that roll down the hill, you carried me like this, even though you were hurt.\And then your own ankle swelled up like a handball, too. response:	Really?
context: Well, no one's looking.\But nobody else was onto me!\Yeah, and how long have we known each other?\Where's Kao-chan?\She went home. She said, Go to Tsubaki-chan by yourself.\After that roll down the hill, you carried me like this, even though you were hurt.\And then your own ankle swelled up like a handball, too.\Really? response:	You haven't changed at all since we were kids.
context: But nobody else was onto me!\Yeah, and how long have we known each other?\Where's Kao-chan?\She went home. She said, Go to Tsubaki-chan by yourself.\After that roll down the hill, you carried me like this, even though you were hurt.\And then your own ankle swelled up like a handball, too.\Really?\You haven't changed at all since we were kids. response:	Oh, I've changed.
context: Yeah, and how long have we known each other?\Where's Kao-chan?\She went home. She said, Go to Tsubaki-chan by yourself.\After that roll down the hill, you carried me like this, even though you were hurt.\And then your own ankle swelled up like a handball, too.\Really?\You haven't changed at all since we were kids.\Oh, I've changed. response:	My heart is always wavering.
context: Where's Kao-chan?\She went home. She said, Go to Tsubaki-chan by yourself.\After that roll down the hill, you carried me like this, even though you were hurt.\And then your own ankle swelled up like a handball, too.\Really?\You haven't changed at all since we were kids.\Oh, I've changed.\My heart is always wavering. response:	Nice try. But I know everything about you.
context: She went home. She said, Go to Tsubaki-chan by yourself.\After that roll down the hill, you carried me like this, even though you were hurt.\And then your own ankle swelled up like a handball, too.\Really?\You haven't changed at all since we were kids.\Oh, I've changed.\My heart is always wavering.\Nice try. But I know everything about you. response:	So you never have to hold back with me, all right?
context: After that roll down the hill, you carried me like this, even though you were hurt.\And then your own ankle swelled up like a handball, too.\Really?\You haven't changed at all since we were kids.\Oh, I've changed.\My heart is always wavering.\Nice try. But I know everything about you.\So you never have to hold back with me, all right? response:	I've always made you worry so much about me,
context: And then your own ankle swelled up like a handball, too.\Really?\You haven't changed at all since we were kids.\Oh, I've changed.\My heart is always wavering.\Nice try. But I know everything about you.\So you never have to hold back with me, all right?\I've always made you worry so much about me, response:	so I wish you'd let me worry about you once in a while.
context: Really?\You haven't changed at all since we were kids.\Oh, I've changed.\My heart is always wavering.\Nice try. But I know everything about you.\So you never have to hold back with me, all right?\I've always made you worry so much about me,\so I wish you'd let me worry about you once in a while. response:	I might be a flaky kid brother, but I'm gonna try hard.
context: You haven't changed at all since we were kids.\Oh, I've changed.\My heart is always wavering.\Nice try. But I know everything about you.\So you never have to hold back with me, all right?\I've always made you worry so much about me,\so I wish you'd let me worry about you once in a while.\I might be a flaky kid brother, but I'm gonna try hard. response:	I'm gonna try hard. So... I want the happy Tsubaki to watch me.
context: Oh, I've changed.\My heart is always wavering.\Nice try. But I know everything about you.\So you never have to hold back with me, all right?\I've always made you worry so much about me,\so I wish you'd let me worry about you once in a while.\I might be a flaky kid brother, but I'm gonna try hard.\I'm gonna try hard. So... I want the happy Tsubaki to watch me. response:	Because it would be too lame to ride on your shoulders forever.
context: My heart is always wavering.\Nice try. But I know everything about you.\So you never have to hold back with me, all right?\I've always made you worry so much about me,\so I wish you'd let me worry about you once in a while.\I might be a flaky kid brother, but I'm gonna try hard.\I'm gonna try hard. So... I want the happy Tsubaki to watch me.\Because it would be too lame to ride on your shoulders forever. response:	Still, I gotta say...
context: Nice try. But I know everything about you.\So you never have to hold back with me, all right?\I've always made you worry so much about me,\so I wish you'd let me worry about you once in a while.\I might be a flaky kid brother, but I'm gonna try hard.\I'm gonna try hard. So... I want the happy Tsubaki to watch me.\Because it would be too lame to ride on your shoulders forever.\Still, I gotta say... response:	You're lighter than you look, huh, Tsubaki?
context: So you never have to hold back with me, all right?\I've always made you worry so much about me,\so I wish you'd let me worry about you once in a while.\I might be a flaky kid brother, but I'm gonna try hard.\I'm gonna try hard. So... I want the happy Tsubaki to watch me.\Because it would be too lame to ride on your shoulders forever.\Still, I gotta say...\You're lighter than you look, huh, Tsubaki? response:	So you are a girl, after all!
context: I've always made you worry so much about me,\so I wish you'd let me worry about you once in a while.\I might be a flaky kid brother, but I'm gonna try hard.\I'm gonna try hard. So... I want the happy Tsubaki to watch me.\Because it would be too lame to ride on your shoulders forever.\Still, I gotta say...\You're lighter than you look, huh, Tsubaki?\So you are a girl, after all! response:	Wh-What's that supposed to mean? That's so weird!
context: so I wish you'd let me worry about you once in a while.\I might be a flaky kid brother, but I'm gonna try hard.\I'm gonna try hard. So... I want the happy Tsubaki to watch me.\Because it would be too lame to ride on your shoulders forever.\Still, I gotta say...\You're lighter than you look, huh, Tsubaki?\So you are a girl, after all!\Wh-What's that supposed to mean? That's so weird! response:	You're right, that was a weird thing to say.
context: I might be a flaky kid brother, but I'm gonna try hard.\I'm gonna try hard. So... I want the happy Tsubaki to watch me.\Because it would be too lame to ride on your shoulders forever.\Still, I gotta say...\You're lighter than you look, huh, Tsubaki?\So you are a girl, after all!\Wh-What's that supposed to mean? That's so weird!\You're right, that was a weird thing to say. response:	The seasons... might be about to change...
context: I'm gonna try hard. So... I want the happy Tsubaki to watch me.\Because it would be too lame to ride on your shoulders forever.\Still, I gotta say...\You're lighter than you look, huh, Tsubaki?\So you are a girl, after all!\Wh-What's that supposed to mean? That's so weird!\You're right, that was a weird thing to say.\The seasons... might be about to change... response:	Who cares about music? Who cares about words?
context: Because it would be too lame to ride on your shoulders forever.\Still, I gotta say...\You're lighter than you look, huh, Tsubaki?\So you are a girl, after all!\Wh-What's that supposed to mean? That's so weird!\You're right, that was a weird thing to say.\The seasons... might be about to change...\Who cares about music? Who cares about words? response:	We have the long, long time that we've spent together,
context: Still, I gotta say...\You're lighter than you look, huh, Tsubaki?\So you are a girl, after all!\Wh-What's that supposed to mean? That's so weird!\You're right, that was a weird thing to say.\The seasons... might be about to change...\Who cares about music? Who cares about words?\We have the long, long time that we've spent together, response:	and we have so many tiny, precious memories.
context: You're lighter than you look, huh, Tsubaki?\So you are a girl, after all!\Wh-What's that supposed to mean? That's so weird!\You're right, that was a weird thing to say.\The seasons... might be about to change...\Who cares about music? Who cares about words?\We have the long, long time that we've spent together,\and we have so many tiny, precious memories. response:	Next time...
context: So you are a girl, after all!\Wh-What's that supposed to mean? That's so weird!\You're right, that was a weird thing to say.\The seasons... might be about to change...\Who cares about music? Who cares about words?\We have the long, long time that we've spent together,\and we have so many tiny, precious memories.\Next time... response:	Next time, I'll give you a piggyback ride, okay?
context: Wh-What's that supposed to mean? That's so weird!\You're right, that was a weird thing to say.\The seasons... might be about to change...\Who cares about music? Who cares about words?\We have the long, long time that we've spent together,\and we have so many tiny, precious memories.\Next time...\Next time, I'll give you a piggyback ride, okay? response:	We lost! We freakin' lost because of me...
context: You're right, that was a weird thing to say.\The seasons... might be about to change...\Who cares about music? Who cares about words?\We have the long, long time that we've spent together,\and we have so many tiny, precious memories.\Next time...\Next time, I'll give you a piggyback ride, okay?\We lost! We freakin' lost because of me... response:	After we all fought so hard! I'm so bitter, I'm so bitter!
context: The seasons... might be about to change...\Who cares about music? Who cares about words?\We have the long, long time that we've spent together,\and we have so many tiny, precious memories.\Next time...\Next time, I'll give you a piggyback ride, okay?\We lost! We freakin' lost because of me...\After we all fought so hard! I'm so bitter, I'm so bitter! response:	Even though I'm bitter over losing, even though I'm depressed,
context: Who cares about music? Who cares about words?\We have the long, long time that we've spent together,\and we have so many tiny, precious memories.\Next time...\Next time, I'll give you a piggyback ride, okay?\We lost! We freakin' lost because of me...\After we all fought so hard! I'm so bitter, I'm so bitter!\Even though I'm bitter over losing, even though I'm depressed, response:	My ankle's killing me! We lost the game...
context: We have the long, long time that we've spent together,\and we have so many tiny, precious memories.\Next time...\Next time, I'll give you a piggyback ride, okay?\We lost! We freakin' lost because of me...\After we all fought so hard! I'm so bitter, I'm so bitter!\Even though I'm bitter over losing, even though I'm depressed,\My ankle's killing me! We lost the game... response:	even though my ankle hurts, and my eyes are smeared with tears...
context: and we have so many tiny, precious memories.\Next time...\Next time, I'll give you a piggyback ride, okay?\We lost! We freakin' lost because of me...\After we all fought so hard! I'm so bitter, I'm so bitter!\Even though I'm bitter over losing, even though I'm depressed,\My ankle's killing me! We lost the game...\even though my ankle hurts, and my eyes are smeared with tears... response:	Even though I've never felt worse..
context: Next time...\Next time, I'll give you a piggyback ride, okay?\We lost! We freakin' lost because of me...\After we all fought so hard! I'm so bitter, I'm so bitter!\Even though I'm bitter over losing, even though I'm depressed,\My ankle's killing me! We lost the game...\even though my ankle hurts, and my eyes are smeared with tears...\Even though I've never felt worse.. response:	I wonder why the stars are sparkling like this.
context: Next time, I'll give you a piggyback ride, okay?\We lost! We freakin' lost because of me...\After we all fought so hard! I'm so bitter, I'm so bitter!\Even though I'm bitter over losing, even though I'm depressed,\My ankle's killing me! We lost the game...\even though my ankle hurts, and my eyes are smeared with tears...\Even though I've never felt worse..\I wonder why the stars are sparkling like this. response:	The scent of the music room in his hair.
context: We lost! We freakin' lost because of me...\After we all fought so hard! I'm so bitter, I'm so bitter!\Even though I'm bitter over losing, even though I'm depressed,\My ankle's killing me! We lost the game...\even though my ankle hurts, and my eyes are smeared with tears...\Even though I've never felt worse..\I wonder why the stars are sparkling like this.\The scent of the music room in his hair. response:	I can hear his slightly ragged breathing.
context: After we all fought so hard! I'm so bitter, I'm so bitter!\Even though I'm bitter over losing, even though I'm depressed,\My ankle's killing me! We lost the game...\even though my ankle hurts, and my eyes are smeared with tears...\Even though I've never felt worse..\I wonder why the stars are sparkling like this.\The scent of the music room in his hair.\I can hear his slightly ragged breathing. response:	His shoulder, wet with tears, is so warm.
context: Even though I'm bitter over losing, even though I'm depressed,\My ankle's killing me! We lost the game...\even though my ankle hurts, and my eyes are smeared with tears...\Even though I've never felt worse..\I wonder why the stars are sparkling like this.\The scent of the music room in his hair.\I can hear his slightly ragged breathing.\His shoulder, wet with tears, is so warm. response:	I am by his side.
context: My ankle's killing me! We lost the game...\even though my ankle hurts, and my eyes are smeared with tears...\Even though I've never felt worse..\I wonder why the stars are sparkling like this.\The scent of the music room in his hair.\I can hear his slightly ragged breathing.\His shoulder, wet with tears, is so warm.\I am by his side. response:	I wish time would just stand still.
context: even though my ankle hurts, and my eyes are smeared with tears...\Even though I've never felt worse..\I wonder why the stars are sparkling like this.\The scent of the music room in his hair.\I can hear his slightly ragged breathing.\His shoulder, wet with tears, is so warm.\I am by his side.\I wish time would just stand still. response:	Good morning.
context: Even though I've never felt worse..\I wonder why the stars are sparkling like this.\The scent of the music room in his hair.\I can hear his slightly ragged breathing.\His shoulder, wet with tears, is so warm.\I am by his side.\I wish time would just stand still.\Good morning. response:	This is the list of Maihou contestants. Check out the flagged name.
context: I wonder why the stars are sparkling like this.\The scent of the music room in his hair.\I can hear his slightly ragged breathing.\His shoulder, wet with tears, is so warm.\I am by his side.\I wish time would just stand still.\Good morning.\This is the list of Maihou contestants. Check out the flagged name. response:	It'll get you fired up.
context: The scent of the music room in his hair.\I can hear his slightly ragged breathing.\His shoulder, wet with tears, is so warm.\I am by his side.\I wish time would just stand still.\Good morning.\This is the list of Maihou contestants. Check out the flagged name.\It'll get you fired up. response:	I've been waiting for two whole years.
context: I can hear his slightly ragged breathing.\His shoulder, wet with tears, is so warm.\I am by his side.\I wish time would just stand still.\Good morning.\This is the list of Maihou contestants. Check out the flagged name.\It'll get you fired up.\I've been waiting for two whole years. response:	Now it's time for me to get revenge for all those years of humiliation!
context: His shoulder, wet with tears, is so warm.\I am by his side.\I wish time would just stand still.\Good morning.\This is the list of Maihou contestants. Check out the flagged name.\It'll get you fired up.\I've been waiting for two whole years.\Now it's time for me to get revenge for all those years of humiliation! response:	I see you already know.
context: I am by his side.\I wish time would just stand still.\Good morning.\This is the list of Maihou contestants. Check out the flagged name.\It'll get you fired up.\I've been waiting for two whole years.\Now it's time for me to get revenge for all those years of humiliation!\I see you already know. response:	About what?
context: I wish time would just stand still.\Good morning.\This is the list of Maihou contestants. Check out the flagged name.\It'll get you fired up.\I've been waiting for two whole years.\Now it's time for me to get revenge for all those years of humiliation!\I see you already know.\About what? response:	No use playing dumb. You sound so animated.
context: Good morning.\This is the list of Maihou contestants. Check out the flagged name.\It'll get you fired up.\I've been waiting for two whole years.\Now it's time for me to get revenge for all those years of humiliation!\I see you already know.\About what?\No use playing dumb. You sound so animated. response:	You're just imagining things.
context: This is the list of Maihou contestants. Check out the flagged name.\It'll get you fired up.\I've been waiting for two whole years.\Now it's time for me to get revenge for all those years of humiliation!\I see you already know.\About what?\No use playing dumb. You sound so animated.\You're just imagining things. response:	I've been wondering what you were up to, and now you've finally shown up.
context: It'll get you fired up.\I've been waiting for two whole years.\Now it's time for me to get revenge for all those years of humiliation!\I see you already know.\About what?\No use playing dumb. You sound so animated.\You're just imagining things.\I've been wondering what you were up to, and now you've finally shown up. response:	Just you wait, I'm gonna wipe up the floor with you next time!
context: I've been waiting for two whole years.\Now it's time for me to get revenge for all those years of humiliation!\I see you already know.\About what?\No use playing dumb. You sound so animated.\You're just imagining things.\I've been wondering what you were up to, and now you've finally shown up.\Just you wait, I'm gonna wipe up the floor with you next time! response:	Kousei Arima Sumitani Junior Highschool
context: Now it's time for me to get revenge for all those years of humiliation!\I see you already know.\About what?\No use playing dumb. You sound so animated.\You're just imagining things.\I've been wondering what you were up to, and now you've finally shown up.\Just you wait, I'm gonna wipe up the floor with you next time!\Kousei Arima Sumitani Junior Highschool response:	Kousei Arima!
context: I see you already know.\About what?\No use playing dumb. You sound so animated.\You're just imagining things.\I've been wondering what you were up to, and now you've finally shown up.\Just you wait, I'm gonna wipe up the floor with you next time!\Kousei Arima Sumitani Junior Highschool\Kousei Arima! response:	On the Way Home
