context: Oh, no! response:	Not only has Jellal been resurrected, but the seal on Nirvana has...
context: I'm sorry!\Even though that woman didn't have much magic power,\she tried to force a simultaneous release of two spirits.\She did herself in.\Although I was the one that finished her off.\I've taken the keys of all kinds of Celestial Wizards that I've wiped out.\I'm also gonna take those Spirits you use.\Karen... response:	Karen... This woman did it...
context: Even though that woman didn't have much magic power,\she tried to force a simultaneous release of two spirits.\She did herself in.\Although I was the one that finished her off.\I've taken the keys of all kinds of Celestial Wizards that I've wiped out.\I'm also gonna take those Spirits you use.\Karen...\Karen... This woman did it... response:	To my... beloved...
context: she tried to force a simultaneous release of two spirits.\She did herself in.\Although I was the one that finished her off.\I've taken the keys of all kinds of Celestial Wizards that I've wiped out.\I'm also gonna take those Spirits you use.\Karen...\Karen... This woman did it...\To my... beloved... response:	It was you...
context: She did herself in.\Although I was the one that finished her off.\I've taken the keys of all kinds of Celestial Wizards that I've wiped out.\I'm also gonna take those Spirits you use.\Karen...\Karen... This woman did it...\To my... beloved...\It was you... response:	You Celestial Wizard...
context: Although I was the one that finished her off.\I've taken the keys of all kinds of Celestial Wizards that I've wiped out.\I'm also gonna take those Spirits you use.\Karen...\Karen... This woman did it...\To my... beloved...\It was you...\You Celestial Wizard... response:	You...
context: I've taken the keys of all kinds of Celestial Wizards that I've wiped out.\I'm also gonna take those Spirits you use.\Karen...\Karen... This woman did it...\To my... beloved...\It was you...\You Celestial Wizard...\You... response:	It was your fault...
context: I'm also gonna take those Spirits you use.\Karen...\Karen... This woman did it...\To my... beloved...\It was you...\You Celestial Wizard...\You...\It was your fault... response:	No! I'm being consumed by hatred!
context: Karen...\Karen... This woman did it...\To my... beloved...\It was you...\You Celestial Wizard...\You...\It was your fault...\No! I'm being consumed by hatred! response:	My heart is going to be stolen by Nirvana!
context: Karen... This woman did it...\To my... beloved...\It was you...\You Celestial Wizard...\You...\It was your fault...\No! I'm being consumed by hatred!\My heart is going to be stolen by Nirvana! response:	I'm falling into darkness!
context: To my... beloved...\It was you...\You Celestial Wizard...\You...\It was your fault...\No! I'm being consumed by hatred!\My heart is going to be stolen by Nirvana!\I'm falling into darkness! response:	I can't think like that!
context: It was you...\You Celestial Wizard...\You...\It was your fault...\No! I'm being consumed by hatred!\My heart is going to be stolen by Nirvana!\I'm falling into darkness!\I can't think like that! response:	You finally meet again, but as enemies?
context: You Celestial Wizard...\You...\It was your fault...\No! I'm being consumed by hatred!\My heart is going to be stolen by Nirvana!\I'm falling into darkness!\I can't think like that!\You finally meet again, but as enemies? response:	Loke, go back to your world.
context: You...\It was your fault...\No! I'm being consumed by hatred!\My heart is going to be stolen by Nirvana!\I'm falling into darkness!\I can't think like that!\You finally meet again, but as enemies?\Loke, go back to your world. response:	Don't think so little of me, Lucy.
context: It was your fault...\No! I'm being consumed by hatred!\My heart is going to be stolen by Nirvana!\I'm falling into darkness!\I can't think like that!\You finally meet again, but as enemies?\Loke, go back to your world.\Don't think so little of me, Lucy. response:	Even if we were once friends, with different owners, we are now enemies.
context: No! I'm being consumed by hatred!\My heart is going to be stolen by Nirvana!\I'm falling into darkness!\I can't think like that!\You finally meet again, but as enemies?\Loke, go back to your world.\Don't think so little of me, Lucy.\Even if we were once friends, with different owners, we are now enemies. response:	Spirits fight for their masters.
context: My heart is going to be stolen by Nirvana!\I'm falling into darkness!\I can't think like that!\You finally meet again, but as enemies?\Loke, go back to your world.\Don't think so little of me, Lucy.\Even if we were once friends, with different owners, we are now enemies.\Spirits fight for their masters. response:	Even if it's against someone they have feelings for,
context: I'm falling into darkness!\I can't think like that!\You finally meet again, but as enemies?\Loke, go back to your world.\Don't think so little of me, Lucy.\Even if we were once friends, with different owners, we are now enemies.\Spirits fight for their masters.\Even if it's against someone they have feelings for, response:	we will defeat the enemy for our master!
context: I can't think like that!\You finally meet again, but as enemies?\Loke, go back to your world.\Don't think so little of me, Lucy.\Even if we were once friends, with different owners, we are now enemies.\Spirits fight for their masters.\Even if it's against someone they have feelings for,\we will defeat the enemy for our master! response:	That is our...
context: You finally meet again, but as enemies?\Loke, go back to your world.\Don't think so little of me, Lucy.\Even if we were once friends, with different owners, we are now enemies.\Spirits fight for their masters.\Even if it's against someone they have feelings for,\we will defeat the enemy for our master!\That is our... response:	Oh, no...
context: Loke, go back to your world.\Don't think so little of me, Lucy.\Even if we were once friends, with different owners, we are now enemies.\Spirits fight for their masters.\Even if it's against someone they have feelings for,\we will defeat the enemy for our master!\That is our...\Oh, no... response:	Oh? They're going at it?
context: Don't think so little of me, Lucy.\Even if we were once friends, with different owners, we are now enemies.\Spirits fight for their masters.\Even if it's against someone they have feelings for,\we will defeat the enemy for our master!\That is our...\Oh, no...\Oh? They're going at it? response:	Well, this is interesting in its own way, so go ahead.
context: Even if we were once friends, with different owners, we are now enemies.\Spirits fight for their masters.\Even if it's against someone they have feelings for,\we will defeat the enemy for our master!\That is our...\Oh, no...\Oh? They're going at it?\Well, this is interesting in its own way, so go ahead. response:	No...
context: Spirits fight for their masters.\Even if it's against someone they have feelings for,\we will defeat the enemy for our master!\That is our...\Oh, no...\Oh? They're going at it?\Well, this is interesting in its own way, so go ahead.\No... response:	This... This... isn't right!
context: Even if it's against someone they have feelings for,\we will defeat the enemy for our master!\That is our...\Oh, no...\Oh? They're going at it?\Well, this is interesting in its own way, so go ahead.\No...\This... This... isn't right! response:	Wool Bomb!
context: we will defeat the enemy for our master!\That is our...\Oh, no...\Oh? They're going at it?\Well, this is interesting in its own way, so go ahead.\No...\This... This... isn't right!\Wool Bomb! response:	As expected from the leader of the Zodiacs...
context: That is our...\Oh, no...\Oh? They're going at it?\Well, this is interesting in its own way, so go ahead.\No...\This... This... isn't right!\Wool Bomb!\As expected from the leader of the Zodiacs... response:	She's no match for Leo, the Spirit specializing in battle, I guess.
context: Oh, no...\Oh? They're going at it?\Well, this is interesting in its own way, so go ahead.\No...\This... This... isn't right!\Wool Bomb!\As expected from the leader of the Zodiacs...\She's no match for Leo, the Spirit specializing in battle, I guess. response:	Well, in that case...
context: Oh? They're going at it?\Well, this is interesting in its own way, so go ahead.\No...\This... This... isn't right!\Wool Bomb!\As expected from the leader of the Zodiacs...\She's no match for Leo, the Spirit specializing in battle, I guess.\Well, in that case... response:	Gate of the the Chisel, I open thee!
context: Well, this is interesting in its own way, so go ahead.\No...\This... This... isn't right!\Wool Bomb!\As expected from the leader of the Zodiacs...\She's no match for Leo, the Spirit specializing in battle, I guess.\Well, in that case...\Gate of the the Chisel, I open thee! response:	Caelum!
context: No...\This... This... isn't right!\Wool Bomb!\As expected from the leader of the Zodiacs...\She's no match for Leo, the Spirit specializing in battle, I guess.\Well, in that case...\Gate of the the Chisel, I open thee!\Caelum! response:	Okay, Caelum, target.
context: This... This... isn't right!\Wool Bomb!\As expected from the leader of the Zodiacs...\She's no match for Leo, the Spirit specializing in battle, I guess.\Well, in that case...\Gate of the the Chisel, I open thee!\Caelum!\Okay, Caelum, target. response:	Aim for when Aries stops Leo's movement!
context: Wool Bomb!\As expected from the leader of the Zodiacs...\She's no match for Leo, the Spirit specializing in battle, I guess.\Well, in that case...\Gate of the the Chisel, I open thee!\Caelum!\Okay, Caelum, target.\Aim for when Aries stops Leo's movement! response:	That worked great!
context: As expected from the leader of the Zodiacs...\She's no match for Leo, the Spirit specializing in battle, I guess.\Well, in that case...\Gate of the the Chisel, I open thee!\Caelum!\Okay, Caelum, target.\Aim for when Aries stops Leo's movement!\That worked great! response:	Leo!
context: She's no match for Leo, the Spirit specializing in battle, I guess.\Well, in that case...\Gate of the the Chisel, I open thee!\Caelum!\Okay, Caelum, target.\Aim for when Aries stops Leo's movement!\That worked great!\Leo! response:	Aries...
context: Well, in that case...\Gate of the the Chisel, I open thee!\Caelum!\Okay, Caelum, target.\Aim for when Aries stops Leo's movement!\That worked great!\Leo!\Aries... response:	I'm sorry, Lucy...
context: Gate of the the Chisel, I open thee!\Caelum!\Okay, Caelum, target.\Aim for when Aries stops Leo's movement!\That worked great!\Leo!\Aries...\I'm sorry, Lucy... response:	I'm glad you met a nice owner...
context: Caelum!\Okay, Caelum, target.\Aim for when Aries stops Leo's movement!\That worked great!\Leo!\Aries...\I'm sorry, Lucy...\I'm glad you met a nice owner... response:	So how do you like my simultaneous release?
context: Okay, Caelum, target.\Aim for when Aries stops Leo's movement!\That worked great!\Leo!\Aries...\I'm sorry, Lucy...\I'm glad you met a nice owner...\So how do you like my simultaneous release? response:	I don't think you'll be using your powerhouse Leo anytime soon.
context: Aim for when Aries stops Leo's movement!\That worked great!\Leo!\Aries...\I'm sorry, Lucy...\I'm glad you met a nice owner...\So how do you like my simultaneous release?\I don't think you'll be using your powerhouse Leo anytime soon. response:	I can't believe you...
context: That worked great!\Leo!\Aries...\I'm sorry, Lucy...\I'm glad you met a nice owner...\So how do you like my simultaneous release?\I don't think you'll be using your powerhouse Leo anytime soon.\I can't believe you... response:	What? It's not like Spirits die anyway, so what's the big deal?
context: Leo!\Aries...\I'm sorry, Lucy...\I'm glad you met a nice owner...\So how do you like my simultaneous release?\I don't think you'll be using your powerhouse Leo anytime soon.\I can't believe you...\What? It's not like Spirits die anyway, so what's the big deal? response:	But they feel pain!
context: Aries...\I'm sorry, Lucy...\I'm glad you met a nice owner...\So how do you like my simultaneous release?\I don't think you'll be using your powerhouse Leo anytime soon.\I can't believe you...\What? It's not like Spirits die anyway, so what's the big deal?\But they feel pain! response:	They have feelings!
context: I'm sorry, Lucy...\I'm glad you met a nice owner...\So how do you like my simultaneous release?\I don't think you'll be using your powerhouse Leo anytime soon.\I can't believe you...\What? It's not like Spirits die anyway, so what's the big deal?\But they feel pain!\They have feelings! response:	And yet you call yourself a Celestial Wizard?
context: I'm glad you met a nice owner...\So how do you like my simultaneous release?\I don't think you'll be using your powerhouse Leo anytime soon.\I can't believe you...\What? It's not like Spirits die anyway, so what's the big deal?\But they feel pain!\They have feelings!\And yet you call yourself a Celestial Wizard? response:	Gate of the Bull, I open thee!
context: So how do you like my simultaneous release?\I don't think you'll be using your powerhouse Leo anytime soon.\I can't believe you...\What? It's not like Spirits die anyway, so what's the big deal?\But they feel pain!\They have feelings!\And yet you call yourself a Celestial Wizard?\Gate of the Bull, I open thee! response:	Taurus!
context: I don't think you'll be using your powerhouse Leo anytime soon.\I can't believe you...\What? It's not like Spirits die anyway, so what's the big deal?\But they feel pain!\They have feelings!\And yet you call yourself a Celestial Wizard?\Gate of the Bull, I open thee!\Taurus! response:	Gemini!
context: I can't believe you...\What? It's not like Spirits die anyway, so what's the big deal?\But they feel pain!\They have feelings!\And yet you call yourself a Celestial Wizard?\Gate of the Bull, I open thee!\Taurus!\Gemini! response:	I don't care who it is, if you make my Nice Body cry, I won't forgive you!
context: What? It's not like Spirits die anyway, so what's the big deal?\But they feel pain!\They have feelings!\And yet you call yourself a Celestial Wizard?\Gate of the Bull, I open thee!\Taurus!\Gemini!\I don't care who it is, if you make my Nice Body cry, I won't forgive you! response:	Come here, Moo-moo-chan!
context: But they feel pain!\They have feelings!\And yet you call yourself a Celestial Wizard?\Gate of the Bull, I open thee!\Taurus!\Gemini!\I don't care who it is, if you make my Nice Body cry, I won't forgive you!\Come here, Moo-moo-chan! response:	Lucy-san!
context: They have feelings!\And yet you call yourself a Celestial Wizard?\Gate of the Bull, I open thee!\Taurus!\Gemini!\I don't care who it is, if you make my Nice Body cry, I won't forgive you!\Come here, Moo-moo-chan!\Lucy-san! response:	And another one bites the dust!
context: And yet you call yourself a Celestial Wizard?\Gate of the Bull, I open thee!\Taurus!\Gemini!\I don't care who it is, if you make my Nice Body cry, I won't forgive you!\Come here, Moo-moo-chan!\Lucy-san!\And another one bites the dust! response:	Mooore!
context: Gate of the Bull, I open thee!\Taurus!\Gemini!\I don't care who it is, if you make my Nice Body cry, I won't forgive you!\Come here, Moo-moo-chan!\Lucy-san!\And another one bites the dust!\Mooore! response:	Taurus!
context: Taurus!\Gemini!\I don't care who it is, if you make my Nice Body cry, I won't forgive you!\Come here, Moo-moo-chan!\Lucy-san!\And another one bites the dust!\Mooore!\Taurus! response:	Huh? Why am I...
context: Gemini!\I don't care who it is, if you make my Nice Body cry, I won't forgive you!\Come here, Moo-moo-chan!\Lucy-san!\And another one bites the dust!\Mooore!\Taurus!\Huh? Why am I... response:	You can't use so many Spirits like that without a huge amount of magical power.
context: I don't care who it is, if you make my Nice Body cry, I won't forgive you!\Come here, Moo-moo-chan!\Lucy-san!\And another one bites the dust!\Mooore!\Taurus!\Huh? Why am I...\You can't use so many Spirits like that without a huge amount of magical power. response:	But...
context: Come here, Moo-moo-chan!\Lucy-san!\And another one bites the dust!\Mooore!\Taurus!\Huh? Why am I...\You can't use so many Spirits like that without a huge amount of magical power.\But... response:	Literally bringing defeat upon herself... What a dope!
context: Lucy-san!\And another one bites the dust!\Mooore!\Taurus!\Huh? Why am I...\You can't use so many Spirits like that without a huge amount of magical power.\But...\Literally bringing defeat upon herself... What a dope! response:	Serves you right!
context: And another one bites the dust!\Mooore!\Taurus!\Huh? Why am I...\You can't use so many Spirits like that without a huge amount of magical power.\But...\Literally bringing defeat upon herself... What a dope!\Serves you right! response:	Serves you right...
context: Mooore!\Taurus!\Huh? Why am I...\You can't use so many Spirits like that without a huge amount of magical power.\But...\Literally bringing defeat upon herself... What a dope!\Serves you right!\Serves you right... response:	What's that look for? I don't like it.
context: Taurus!\Huh? Why am I...\You can't use so many Spirits like that without a huge amount of magical power.\But...\Literally bringing defeat upon herself... What a dope!\Serves you right!\Serves you right...\What's that look for? I don't like it. response:	Release Aries from her contract!
context: Huh? Why am I...\You can't use so many Spirits like that without a huge amount of magical power.\But...\Literally bringing defeat upon herself... What a dope!\Serves you right!\Serves you right...\What's that look for? I don't like it.\Release Aries from her contract! response:	Huh? What?
context: You can't use so many Spirits like that without a huge amount of magical power.\But...\Literally bringing defeat upon herself... What a dope!\Serves you right!\Serves you right...\What's that look for? I don't like it.\Release Aries from her contract!\Huh? What? response:	She was abused by her previous owner.
context: But...\Literally bringing defeat upon herself... What a dope!\Serves you right!\Serves you right...\What's that look for? I don't like it.\Release Aries from her contract!\Huh? What?\She was abused by her previous owner. response:	And went through nothing but hardships...
context: Literally bringing defeat upon herself... What a dope!\Serves you right!\Serves you right...\What's that look for? I don't like it.\Release Aries from her contract!\Huh? What?\She was abused by her previous owner.\And went through nothing but hardships... response:	So...
context: Serves you right!\Serves you right...\What's that look for? I don't like it.\Release Aries from her contract!\Huh? What?\She was abused by her previous owner.\And went through nothing but hardships...\So... response:	And what do people say when they ask for favors again, Lucy-chan?
context: Serves you right...\What's that look for? I don't like it.\Release Aries from her contract!\Huh? What?\She was abused by her previous owner.\And went through nothing but hardships...\So...\And what do people say when they ask for favors again, Lucy-chan? response:	P-Please...
context: What's that look for? I don't like it.\Release Aries from her contract!\Huh? What?\She was abused by her previous owner.\And went through nothing but hardships...\So...\And what do people say when they ask for favors again, Lucy-chan?\P-Please... response:	I want to let Aries and Loke be together!
context: Release Aries from her contract!\Huh? What?\She was abused by her previous owner.\And went through nothing but hardships...\So...\And what do people say when they ask for favors again, Lucy-chan?\P-Please...\I want to let Aries and Loke be together! response:	It's we Celestial Wizards who are the only ones who can do that for them!
context: Huh? What?\She was abused by her previous owner.\And went through nothing but hardships...\So...\And what do people say when they ask for favors again, Lucy-chan?\P-Please...\I want to let Aries and Loke be together!\It's we Celestial Wizards who are the only ones who can do that for them! response:	For free?
context: She was abused by her previous owner.\And went through nothing but hardships...\So...\And what do people say when they ask for favors again, Lucy-chan?\P-Please...\I want to let Aries and Loke be together!\It's we Celestial Wizards who are the only ones who can do that for them!\For free? response:	I'll give you anything.
context: And went through nothing but hardships...\So...\And what do people say when they ask for favors again, Lucy-chan?\P-Please...\I want to let Aries and Loke be together!\It's we Celestial Wizards who are the only ones who can do that for them!\For free?\I'll give you anything. response:	Other than my keys, I'll give you anything!
context: So...\And what do people say when they ask for favors again, Lucy-chan?\P-Please...\I want to let Aries and Loke be together!\It's we Celestial Wizards who are the only ones who can do that for them!\For free?\I'll give you anything.\Other than my keys, I'll give you anything! response:	Then that would be your life.
context: And what do people say when they ask for favors again, Lucy-chan?\P-Please...\I want to let Aries and Loke be together!\It's we Celestial Wizards who are the only ones who can do that for them!\For free?\I'll give you anything.\Other than my keys, I'll give you anything!\Then that would be your life. response:	Gemini, do it!
context: P-Please...\I want to let Aries and Loke be together!\It's we Celestial Wizards who are the only ones who can do that for them!\For free?\I'll give you anything.\Other than my keys, I'll give you anything!\Then that would be your life.\Gemini, do it! response:	Gemini?
context: I want to let Aries and Loke be together!\It's we Celestial Wizards who are the only ones who can do that for them!\For free?\I'll give you anything.\Other than my keys, I'll give you anything!\Then that would be your life.\Gemini, do it!\Gemini? response:	Her beautiful voice... resounds...
context: It's we Celestial Wizards who are the only ones who can do that for them!\For free?\I'll give you anything.\Other than my keys, I'll give you anything!\Then that would be your life.\Gemini, do it!\Gemini?\Her beautiful voice... resounds... response:	Mama, Mama!
context: For free?\I'll give you anything.\Other than my keys, I'll give you anything!\Then that would be your life.\Gemini, do it!\Gemini?\Her beautiful voice... resounds...\Mama, Mama! response:	I love Spirits!
context: I'll give you anything.\Other than my keys, I'll give you anything!\Then that would be your life.\Gemini, do it!\Gemini?\Her beautiful voice... resounds...\Mama, Mama!\I love Spirits! response:	Spirits aren't shields!
context: Other than my keys, I'll give you anything!\Then that would be your life.\Gemini, do it!\Gemini?\Her beautiful voice... resounds...\Mama, Mama!\I love Spirits!\Spirits aren't shields! response:	I can't just let my friend disappear in front of my eyes!
context: Then that would be your life.\Gemini, do it!\Gemini?\Her beautiful voice... resounds...\Mama, Mama!\I love Spirits!\Spirits aren't shields!\I can't just let my friend disappear in front of my eyes! response:	I can't do it...
context: Gemini, do it!\Gemini?\Her beautiful voice... resounds...\Mama, Mama!\I love Spirits!\Spirits aren't shields!\I can't just let my friend disappear in front of my eyes!\I can't do it... response:	Lucy...
context: Gemini?\Her beautiful voice... resounds...\Mama, Mama!\I love Spirits!\Spirits aren't shields!\I can't just let my friend disappear in front of my eyes!\I can't do it...\Lucy... response:	She loves us Spirits!
context: Her beautiful voice... resounds...\Mama, Mama!\I love Spirits!\Spirits aren't shields!\I can't just let my friend disappear in front of my eyes!\I can't do it...\Lucy...\She loves us Spirits! response:	Gemini...
context: Mama, Mama!\I love Spirits!\Spirits aren't shields!\I can't just let my friend disappear in front of my eyes!\I can't do it...\Lucy...\She loves us Spirits!\Gemini... response:	Begone!
context: I love Spirits!\Spirits aren't shields!\I can't just let my friend disappear in front of my eyes!\I can't do it...\Lucy...\She loves us Spirits!\Gemini...\Begone! response:	How useless!
context: Spirits aren't shields!\I can't just let my friend disappear in front of my eyes!\I can't do it...\Lucy...\She loves us Spirits!\Gemini...\Begone!\How useless! response:	Hibiki?
context: I can't just let my friend disappear in front of my eyes!\I can't do it...\Lucy...\She loves us Spirits!\Gemini...\Begone!\How useless!\Hibiki? response:	Wait, did the cool one fall into darkness?
context: I can't do it...\Lucy...\She loves us Spirits!\Gemini...\Begone!\How useless!\Hibiki?\Wait, did the cool one fall into darkness? response:	Hold still.
context: Lucy...\She loves us Spirits!\Gemini...\Begone!\How useless!\Hibiki?\Wait, did the cool one fall into darkness?\Hold still. response:	My magic, Archive, is going to give you the knowledge of a super powerful spell, just this once!
context: She loves us Spirits!\Gemini...\Begone!\How useless!\Hibiki?\Wait, did the cool one fall into darkness?\Hold still.\My magic, Archive, is going to give you the knowledge of a super powerful spell, just this once! response:	What is this?
context: Gemini...\Begone!\How useless!\Hibiki?\Wait, did the cool one fall into darkness?\Hold still.\My magic, Archive, is going to give you the knowledge of a super powerful spell, just this once!\What is this? response:	Inside... my head...
context: Begone!\How useless!\Hibiki?\Wait, did the cool one fall into darkness?\Hold still.\My magic, Archive, is going to give you the knowledge of a super powerful spell, just this once!\What is this?\Inside... my head... response:	Figures I don't understand!
context: How useless!\Hibiki?\Wait, did the cool one fall into darkness?\Hold still.\My magic, Archive, is going to give you the knowledge of a super powerful spell, just this once!\What is this?\Inside... my head...\Figures I don't understand! response:	That was close... I almost fell into darkness.
context: Hibiki?\Wait, did the cool one fall into darkness?\Hold still.\My magic, Archive, is going to give you the knowledge of a super powerful spell, just this once!\What is this?\Inside... my head...\Figures I don't understand!\That was close... I almost fell into darkness. response:	But the bonds you have with your Spirits wrapped me in the light.
context: Wait, did the cool one fall into darkness?\Hold still.\My magic, Archive, is going to give you the knowledge of a super powerful spell, just this once!\What is this?\Inside... my head...\Figures I don't understand!\That was close... I almost fell into darkness.\But the bonds you have with your Spirits wrapped me in the light. response:	I know you'll be able to use this magic!
context: Hold still.\My magic, Archive, is going to give you the knowledge of a super powerful spell, just this once!\What is this?\Inside... my head...\Figures I don't understand!\That was close... I almost fell into darkness.\But the bonds you have with your Spirits wrapped me in the light.\I know you'll be able to use this magic! response:	Damn you! Caelum!
context: My magic, Archive, is going to give you the knowledge of a super powerful spell, just this once!\What is this?\Inside... my head...\Figures I don't understand!\That was close... I almost fell into darkness.\But the bonds you have with your Spirits wrapped me in the light.\I know you'll be able to use this magic!\Damn you! Caelum! response:	I'm counting on you, Lucy!
context: What is this?\Inside... my head...\Figures I don't understand!\That was close... I almost fell into darkness.\But the bonds you have with your Spirits wrapped me in the light.\I know you'll be able to use this magic!\Damn you! Caelum!\I'm counting on you, Lucy! response:	Measure heaven, open heaven.
context: Inside... my head...\Figures I don't understand!\That was close... I almost fell into darkness.\But the bonds you have with your Spirits wrapped me in the light.\I know you'll be able to use this magic!\Damn you! Caelum!\I'm counting on you, Lucy!\Measure heaven, open heaven. response:	Make unto my body as to shine with the radiance of the countless stars.
context: Figures I don't understand!\That was close... I almost fell into darkness.\But the bonds you have with your Spirits wrapped me in the light.\I know you'll be able to use this magic!\Damn you! Caelum!\I'm counting on you, Lucy!\Measure heaven, open heaven.\Make unto my body as to shine with the radiance of the countless stars. response:	Tetra Biblos, I am the ruler of the stars.
context: That was close... I almost fell into darkness.\But the bonds you have with your Spirits wrapped me in the light.\I know you'll be able to use this magic!\Damn you! Caelum!\I'm counting on you, Lucy!\Measure heaven, open heaven.\Make unto my body as to shine with the radiance of the countless stars.\Tetra Biblos, I am the ruler of the stars. response:	Aspect, cast open the gate of perfect malevolence...
context: But the bonds you have with your Spirits wrapped me in the light.\I know you'll be able to use this magic!\Damn you! Caelum!\I'm counting on you, Lucy!\Measure heaven, open heaven.\Make unto my body as to shine with the radiance of the countless stars.\Tetra Biblos, I am the ruler of the stars.\Aspect, cast open the gate of perfect malevolence... response:	What is this? Caelum, hurry!
context: I know you'll be able to use this magic!\Damn you! Caelum!\I'm counting on you, Lucy!\Measure heaven, open heaven.\Make unto my body as to shine with the radiance of the countless stars.\Tetra Biblos, I am the ruler of the stars.\Aspect, cast open the gate of perfect malevolence...\What is this? Caelum, hurry! response:	The 88 Stars of the Heavens.
context: Damn you! Caelum!\I'm counting on you, Lucy!\Measure heaven, open heaven.\Make unto my body as to shine with the radiance of the countless stars.\Tetra Biblos, I am the ruler of the stars.\Aspect, cast open the gate of perfect malevolence...\What is this? Caelum, hurry!\The 88 Stars of the Heavens. response:	Shine!
context: I'm counting on you, Lucy!\Measure heaven, open heaven.\Make unto my body as to shine with the radiance of the countless stars.\Tetra Biblos, I am the ruler of the stars.\Aspect, cast open the gate of perfect malevolence...\What is this? Caelum, hurry!\The 88 Stars of the Heavens.\Shine! response:	Urano Meteoria!
context: Measure heaven, open heaven.\Make unto my body as to shine with the radiance of the countless stars.\Tetra Biblos, I am the ruler of the stars.\Aspect, cast open the gate of perfect malevolence...\What is this? Caelum, hurry!\The 88 Stars of the Heavens.\Shine!\Urano Meteoria! response:	Huh?
context: Make unto my body as to shine with the radiance of the countless stars.\Tetra Biblos, I am the ruler of the stars.\Aspect, cast open the gate of perfect malevolence...\What is this? Caelum, hurry!\The 88 Stars of the Heavens.\Shine!\Urano Meteoria!\Huh? response:	I figured you'd be able to do it.
context: Tetra Biblos, I am the ruler of the stars.\Aspect, cast open the gate of perfect malevolence...\What is this? Caelum, hurry!\The 88 Stars of the Heavens.\Shine!\Urano Meteoria!\Huh?\I figured you'd be able to do it. response:	Urano Meteoria...
context: Aspect, cast open the gate of perfect malevolence...\What is this? Caelum, hurry!\The 88 Stars of the Heavens.\Shine!\Urano Meteoria!\Huh?\I figured you'd be able to do it.\Urano Meteoria... response:	I thought I blew Jellal away at the Tower of Heaven...
context: What is this? Caelum, hurry!\The 88 Stars of the Heavens.\Shine!\Urano Meteoria!\Huh?\I figured you'd be able to do it.\Urano Meteoria...\I thought I blew Jellal away at the Tower of Heaven... response:	Why is he here again?
context: The 88 Stars of the Heavens.\Shine!\Urano Meteoria!\Huh?\I figured you'd be able to do it.\Urano Meteoria...\I thought I blew Jellal away at the Tower of Heaven...\Why is he here again? response:	He must be a ghost!
context: Shine!\Urano Meteoria!\Huh?\I figured you'd be able to do it.\Urano Meteoria...\I thought I blew Jellal away at the Tower of Heaven...\Why is he here again?\He must be a ghost! response:	And he's come back for revenge!
context: Urano Meteoria!\Huh?\I figured you'd be able to do it.\Urano Meteoria...\I thought I blew Jellal away at the Tower of Heaven...\Why is he here again?\He must be a ghost!\And he's come back for revenge! response:	Ghosts can't use magic!
context: Huh?\I figured you'd be able to do it.\Urano Meteoria...\I thought I blew Jellal away at the Tower of Heaven...\Why is he here again?\He must be a ghost!\And he's come back for revenge!\Ghosts can't use magic! response:	Then maybe he's an identical twin?
context: I figured you'd be able to do it.\Urano Meteoria...\I thought I blew Jellal away at the Tower of Heaven...\Why is he here again?\He must be a ghost!\And he's come back for revenge!\Ghosts can't use magic!\Then maybe he's an identical twin? response:	Don't you remember? The twin was a fake he made with magic.
context: Urano Meteoria...\I thought I blew Jellal away at the Tower of Heaven...\Why is he here again?\He must be a ghost!\And he's come back for revenge!\Ghosts can't use magic!\Then maybe he's an identical twin?\Don't you remember? The twin was a fake he made with magic. response:	A cat's brain can't think of anything else.
context: I thought I blew Jellal away at the Tower of Heaven...\Why is he here again?\He must be a ghost!\And he's come back for revenge!\Ghosts can't use magic!\Then maybe he's an identical twin?\Don't you remember? The twin was a fake he made with magic.\A cat's brain can't think of anything else. response:	Next time: Recollections of Jellal.
context: Why is he here again?\He must be a ghost!\And he's come back for revenge!\Ghosts can't use magic!\Then maybe he's an identical twin?\Don't you remember? The twin was a fake he made with magic.\A cat's brain can't think of anything else.\Next time: Recollections of Jellal. response:	Can't go relying on your brain, can we, Happy?
context: He must be a ghost!\And he's come back for revenge!\Ghosts can't use magic!\Then maybe he's an identical twin?\Don't you remember? The twin was a fake he made with magic.\A cat's brain can't think of anything else.\Next time: Recollections of Jellal.\Can't go relying on your brain, can we, Happy? response:	Although I think I'm way smarter than you, Natsu!
context: And he's come back for revenge!\Ghosts can't use magic!\Then maybe he's an identical twin?\Don't you remember? The twin was a fake he made with magic.\A cat's brain can't think of anything else.\Next time: Recollections of Jellal.\Can't go relying on your brain, can we, Happy?\Although I think I'm way smarter than you, Natsu! response:	Say what?!
