context: Virus symptoms begin response:	in 17 hours
context: No...\Where would he have gone when the Agency is out to get him?\I don't know.\But I can think of a reason.\He's trying to protect us.\Virus symptoms begin\in 12 hours\Haruno-san. response:	Mii-chan hasn't been back for over two days now.
context: Where would he have gone when the Agency is out to get him?\I don't know.\But I can think of a reason.\He's trying to protect us.\Virus symptoms begin\in 12 hours\Haruno-san.\Mii-chan hasn't been back for over two days now. response:	I'll go look for him.
context: I don't know.\But I can think of a reason.\He's trying to protect us.\Virus symptoms begin\in 12 hours\Haruno-san.\Mii-chan hasn't been back for over two days now.\I'll go look for him. response:	No!
context: But I can think of a reason.\He's trying to protect us.\Virus symptoms begin\in 12 hours\Haruno-san.\Mii-chan hasn't been back for over two days now.\I'll go look for him.\No! response:	It's dangerous outside.
context: He's trying to protect us.\Virus symptoms begin\in 12 hours\Haruno-san.\Mii-chan hasn't been back for over two days now.\I'll go look for him.\No!\It's dangerous outside. response:	But Mii-chan's smart. When he doesn't come home,
context: Virus symptoms begin\in 12 hours\Haruno-san.\Mii-chan hasn't been back for over two days now.\I'll go look for him.\No!\It's dangerous outside.\But Mii-chan's smart. When he doesn't come home, response:	it's always because something bad's about to happen.
context: in 12 hours\Haruno-san.\Mii-chan hasn't been back for over two days now.\I'll go look for him.\No!\It's dangerous outside.\But Mii-chan's smart. When he doesn't come home,\it's always because something bad's about to happen. response:	The attempted bombing of the police building,
context: Haruno-san.\Mii-chan hasn't been back for over two days now.\I'll go look for him.\No!\It's dangerous outside.\But Mii-chan's smart. When he doesn't come home,\it's always because something bad's about to happen.\The attempted bombing of the police building, response:	the illegal military activities before that...
context: Mii-chan hasn't been back for over two days now.\I'll go look for him.\No!\It's dangerous outside.\But Mii-chan's smart. When he doesn't come home,\it's always because something bad's about to happen.\The attempted bombing of the police building,\the illegal military activities before that... response:	I have to bring him back, or something bad will happen to the president.
context: I'll go look for him.\No!\It's dangerous outside.\But Mii-chan's smart. When he doesn't come home,\it's always because something bad's about to happen.\The attempted bombing of the police building,\the illegal military activities before that...\I have to bring him back, or something bad will happen to the president. response:	Mii-chan will be fine.
context: No!\It's dangerous outside.\But Mii-chan's smart. When he doesn't come home,\it's always because something bad's about to happen.\The attempted bombing of the police building,\the illegal military activities before that...\I have to bring him back, or something bad will happen to the president.\Mii-chan will be fine. response:	It's you that I'm worried about.
context: It's dangerous outside.\But Mii-chan's smart. When he doesn't come home,\it's always because something bad's about to happen.\The attempted bombing of the police building,\the illegal military activities before that...\I have to bring him back, or something bad will happen to the president.\Mii-chan will be fine.\It's you that I'm worried about. response:	The boss...
context: But Mii-chan's smart. When he doesn't come home,\it's always because something bad's about to happen.\The attempted bombing of the police building,\the illegal military activities before that...\I have to bring him back, or something bad will happen to the president.\Mii-chan will be fine.\It's you that I'm worried about.\The boss... response:	That man...
context: it's always because something bad's about to happen.\The attempted bombing of the police building,\the illegal military activities before that...\I have to bring him back, or something bad will happen to the president.\Mii-chan will be fine.\It's you that I'm worried about.\The boss...\That man... response:	He pushed through his sickness and left all on his own to save us.
context: The attempted bombing of the police building,\the illegal military activities before that...\I have to bring him back, or something bad will happen to the president.\Mii-chan will be fine.\It's you that I'm worried about.\The boss...\That man...\He pushed through his sickness and left all on his own to save us. response:	So, Tanizaki-kun, where has the president gone?
context: the illegal military activities before that...\I have to bring him back, or something bad will happen to the president.\Mii-chan will be fine.\It's you that I'm worried about.\The boss...\That man...\He pushed through his sickness and left all on his own to save us.\So, Tanizaki-kun, where has the president gone? response:	Well...
context: I have to bring him back, or something bad will happen to the president.\Mii-chan will be fine.\It's you that I'm worried about.\The boss...\That man...\He pushed through his sickness and left all on his own to save us.\So, Tanizaki-kun, where has the president gone?\Well... response:	We've got everyone looking for him, but we don't have the slightest idea.
context: Mii-chan will be fine.\It's you that I'm worried about.\The boss...\That man...\He pushed through his sickness and left all on his own to save us.\So, Tanizaki-kun, where has the president gone?\Well...\We've got everyone looking for him, but we don't have the slightest idea. response:	I'm not surprised.
context: It's you that I'm worried about.\The boss...\That man...\He pushed through his sickness and left all on his own to save us.\So, Tanizaki-kun, where has the president gone?\Well...\We've got everyone looking for him, but we don't have the slightest idea.\I'm not surprised. response:	The president will have chosen somewhere we cannot find him.
context: The boss...\That man...\He pushed through his sickness and left all on his own to save us.\So, Tanizaki-kun, where has the president gone?\Well...\We've got everyone looking for him, but we don't have the slightest idea.\I'm not surprised.\The president will have chosen somewhere we cannot find him. response:	If anyone would know where he is,
context: That man...\He pushed through his sickness and left all on his own to save us.\So, Tanizaki-kun, where has the president gone?\Well...\We've got everyone looking for him, but we don't have the slightest idea.\I'm not surprised.\The president will have chosen somewhere we cannot find him.\If anyone would know where he is, response:	it would be the people who are acquainted with him.
context: He pushed through his sickness and left all on his own to save us.\So, Tanizaki-kun, where has the president gone?\Well...\We've got everyone looking for him, but we don't have the slightest idea.\I'm not surprised.\The president will have chosen somewhere we cannot find him.\If anyone would know where he is,\it would be the people who are acquainted with him. response:	What would that person do in a situation like this?
context: So, Tanizaki-kun, where has the president gone?\Well...\We've got everyone looking for him, but we don't have the slightest idea.\I'm not surprised.\The president will have chosen somewhere we cannot find him.\If anyone would know where he is,\it would be the people who are acquainted with him.\What would that person do in a situation like this? response:	That person?
context: Well...\We've got everyone looking for him, but we don't have the slightest idea.\I'm not surprised.\The president will have chosen somewhere we cannot find him.\If anyone would know where he is,\it would be the people who are acquainted with him.\What would that person do in a situation like this?\That person? response:	Isn't that...
context: We've got everyone looking for him, but we don't have the slightest idea.\I'm not surprised.\The president will have chosen somewhere we cannot find him.\If anyone would know where he is,\it would be the people who are acquainted with him.\What would that person do in a situation like this?\That person?\Isn't that... response:	Isn't that Haruno-san's cat?
context: I'm not surprised.\The president will have chosen somewhere we cannot find him.\If anyone would know where he is,\it would be the people who are acquainted with him.\What would that person do in a situation like this?\That person?\Isn't that...\Isn't that Haruno-san's cat? response:	This place brings back memories.
context: The president will have chosen somewhere we cannot find him.\If anyone would know where he is,\it would be the people who are acquainted with him.\What would that person do in a situation like this?\That person?\Isn't that...\Isn't that Haruno-san's cat?\This place brings back memories. response:	Yeah.
context: If anyone would know where he is,\it would be the people who are acquainted with him.\What would that person do in a situation like this?\That person?\Isn't that...\Isn't that Haruno-san's cat?\This place brings back memories.\Yeah. response:	Our fated place, known to neither the Agency or the Port Mafia.
context: it would be the people who are acquainted with him.\What would that person do in a situation like this?\That person?\Isn't that...\Isn't that Haruno-san's cat?\This place brings back memories.\Yeah.\Our fated place, known to neither the Agency or the Port Mafia. response:	If we're ever to meet without any prior arrangement, this is the only place.
context: What would that person do in a situation like this?\That person?\Isn't that...\Isn't that Haruno-san's cat?\This place brings back memories.\Yeah.\Our fated place, known to neither the Agency or the Port Mafia.\If we're ever to meet without any prior arrangement, this is the only place. response:	I had faith that you would come.
context: That person?\Isn't that...\Isn't that Haruno-san's cat?\This place brings back memories.\Yeah.\Our fated place, known to neither the Agency or the Port Mafia.\If we're ever to meet without any prior arrangement, this is the only place.\I had faith that you would come. response:	Have you brought your subordinates?
context: Isn't that...\Isn't that Haruno-san's cat?\This place brings back memories.\Yeah.\Our fated place, known to neither the Agency or the Port Mafia.\If we're ever to meet without any prior arrangement, this is the only place.\I had faith that you would come.\Have you brought your subordinates? response:	If I did, it would only have started another war between our organizations.
context: Isn't that Haruno-san's cat?\This place brings back memories.\Yeah.\Our fated place, known to neither the Agency or the Port Mafia.\If we're ever to meet without any prior arrangement, this is the only place.\I had faith that you would come.\Have you brought your subordinates?\If I did, it would only have started another war between our organizations. response:	There's one way to avoid causing casualties in a war.
context: This place brings back memories.\Yeah.\Our fated place, known to neither the Agency or the Port Mafia.\If we're ever to meet without any prior arrangement, this is the only place.\I had faith that you would come.\Have you brought your subordinates?\If I did, it would only have started another war between our organizations.\There's one way to avoid causing casualties in a war. response:	The two of us will duel, one-on-one,
context: Yeah.\Our fated place, known to neither the Agency or the Port Mafia.\If we're ever to meet without any prior arrangement, this is the only place.\I had faith that you would come.\Have you brought your subordinates?\If I did, it would only have started another war between our organizations.\There's one way to avoid causing casualties in a war.\The two of us will duel, one-on-one, response:	and stop the cannibalism with the death of whomever loses.
context: Our fated place, known to neither the Agency or the Port Mafia.\If we're ever to meet without any prior arrangement, this is the only place.\I had faith that you would come.\Have you brought your subordinates?\If I did, it would only have started another war between our organizations.\There's one way to avoid causing casualties in a war.\The two of us will duel, one-on-one,\and stop the cannibalism with the death of whomever loses. response:	We both have so much more to protect now, don't we?
context: If we're ever to meet without any prior arrangement, this is the only place.\I had faith that you would come.\Have you brought your subordinates?\If I did, it would only have started another war between our organizations.\There's one way to avoid causing casualties in a war.\The two of us will duel, one-on-one,\and stop the cannibalism with the death of whomever loses.\We both have so much more to protect now, don't we? response:	It's been ten years, after all.
context: I had faith that you would come.\Have you brought your subordinates?\If I did, it would only have started another war between our organizations.\There's one way to avoid causing casualties in a war.\The two of us will duel, one-on-one,\and stop the cannibalism with the death of whomever loses.\We both have so much more to protect now, don't we?\It's been ten years, after all. response:	Since we fought together.
context: Have you brought your subordinates?\If I did, it would only have started another war between our organizations.\There's one way to avoid causing casualties in a war.\The two of us will duel, one-on-one,\and stop the cannibalism with the death of whomever loses.\We both have so much more to protect now, don't we?\It's been ten years, after all.\Since we fought together. response:	Yes.
context: If I did, it would only have started another war between our organizations.\There's one way to avoid causing casualties in a war.\The two of us will duel, one-on-one,\and stop the cannibalism with the death of whomever loses.\We both have so much more to protect now, don't we?\It's been ten years, after all.\Since we fought together.\Yes. response:	And this place will now become your grave.
context: There's one way to avoid causing casualties in a war.\The two of us will duel, one-on-one,\and stop the cannibalism with the death of whomever loses.\We both have so much more to protect now, don't we?\It's been ten years, after all.\Since we fought together.\Yes.\And this place will now become your grave. response:	Vita Sexualis.
context: The two of us will duel, one-on-one,\and stop the cannibalism with the death of whomever loses.\We both have so much more to protect now, don't we?\It's been ten years, after all.\Since we fought together.\Yes.\And this place will now become your grave.\Vita Sexualis. response:	Vita Sexualis
context: and stop the cannibalism with the death of whomever loses.\We both have so much more to protect now, don't we?\It's been ten years, after all.\Since we fought together.\Yes.\And this place will now become your grave.\Vita Sexualis.\Vita Sexualis response:	Come!
context: We both have so much more to protect now, don't we?\It's been ten years, after all.\Since we fought together.\Yes.\And this place will now become your grave.\Vita Sexualis.\Vita Sexualis\Come! response:	Next
context: It's been ten years, after all.\Since we fought together.\Yes.\And this place will now become your grave.\Vita Sexualis.\Vita Sexualis\Come!\Next response:	Episode 36
context: Since we fought together.\Yes.\And this place will now become your grave.\Vita Sexualis.\Vita Sexualis\Come!\Next\Episode 36 response:	Canni balism (Part 3)
