context: This is the place, right? response:	Yep, I looked it up on the internet.
context: I don't see a problem.\At least she's found something she's interested in.\She has nothing to gain from it.\What?\Chihaya should just keep gushing about how great I am.\A mountain stream...\Your motion needs to be sharp and straight.\Waiting for burnt seaweed... Waiting for burnt seaweed... response:	The world offers no change, I pray
context: At least she's found something she's interested in.\She has nothing to gain from it.\What?\Chihaya should just keep gushing about how great I am.\A mountain stream...\Your motion needs to be sharp and straight.\Waiting for burnt seaweed... Waiting for burnt seaweed...\The world offers no change, I pray response:	Um...
context: She has nothing to gain from it.\What?\Chihaya should just keep gushing about how great I am.\A mountain stream...\Your motion needs to be sharp and straight.\Waiting for burnt seaweed... Waiting for burnt seaweed...\The world offers no change, I pray\Um... response:	when the fisherman who casts his nets can seem dear
context: What?\Chihaya should just keep gushing about how great I am.\A mountain stream...\Your motion needs to be sharp and straight.\Waiting for burnt seaweed... Waiting for burnt seaweed...\The world offers no change, I pray\Um...\when the fisherman who casts his nets can seem dear response:	You're too slow, Chihaya!
context: Chihaya should just keep gushing about how great I am.\A mountain stream...\Your motion needs to be sharp and straight.\Waiting for burnt seaweed... Waiting for burnt seaweed...\The world offers no change, I pray\Um...\when the fisherman who casts his nets can seem dear\You're too slow, Chihaya! response:	The sight of the lonely moon...
context: A mountain stream...\Your motion needs to be sharp and straight.\Waiting for burnt seaweed... Waiting for burnt seaweed...\The world offers no change, I pray\Um...\when the fisherman who casts his nets can seem dear\You're too slow, Chihaya!\The sight of the lonely moon... response:	reminds me of the lonely dawns after we parted
context: Your motion needs to be sharp and straight.\Waiting for burnt seaweed... Waiting for burnt seaweed...\The world offers no change, I pray\Um...\when the fisherman who casts his nets can seem dear\You're too slow, Chihaya!\The sight of the lonely moon...\reminds me of the lonely dawns after we parted response:	For you, I would...
context: Waiting for burnt seaweed... Waiting for burnt seaweed...\The world offers no change, I pray\Um...\when the fisherman who casts his nets can seem dear\You're too slow, Chihaya!\The sight of the lonely moon...\reminds me of the lonely dawns after we parted\For you, I would... response:	Chihaya!
context: The world offers no change, I pray\Um...\when the fisherman who casts his nets can seem dear\You're too slow, Chihaya!\The sight of the lonely moon...\reminds me of the lonely dawns after we parted\For you, I would...\Chihaya! response:	Hey, Wataya-kun...
context: Um...\when the fisherman who casts his nets can seem dear\You're too slow, Chihaya!\The sight of the lonely moon...\reminds me of the lonely dawns after we parted\For you, I would...\Chihaya!\Hey, Wataya-kun... response:	Arata.
context: when the fisherman who casts his nets can seem dear\You're too slow, Chihaya!\The sight of the lonely moon...\reminds me of the lonely dawns after we parted\For you, I would...\Chihaya!\Hey, Wataya-kun...\Arata. response:	I'm Arata.
context: You're too slow, Chihaya!\The sight of the lonely moon...\reminds me of the lonely dawns after we parted\For you, I would...\Chihaya!\Hey, Wataya-kun...\Arata.\I'm Arata. response:	Then I'm also calling you Arata.
context: The sight of the lonely moon...\reminds me of the lonely dawns after we parted\For you, I would...\Chihaya!\Hey, Wataya-kun...\Arata.\I'm Arata.\Then I'm also calling you Arata. response:	Okay?
context: reminds me of the lonely dawns after we parted\For you, I would...\Chihaya!\Hey, Wataya-kun...\Arata.\I'm Arata.\Then I'm also calling you Arata.\Okay? response:	Taichi!
context: For you, I would...\Chihaya!\Hey, Wataya-kun...\Arata.\I'm Arata.\Then I'm also calling you Arata.\Okay?\Taichi! response:	Arata!
context: Chihaya!\Hey, Wataya-kun...\Arata.\I'm Arata.\Then I'm also calling you Arata.\Okay?\Taichi!\Arata! response:	What's with you, Chihaya?
context: Hey, Wataya-kun...\Arata.\I'm Arata.\Then I'm also calling you Arata.\Okay?\Taichi!\Arata!\What's with you, Chihaya? response:	Are you okay?
context: Arata.\I'm Arata.\Then I'm also calling you Arata.\Okay?\Taichi!\Arata!\What's with you, Chihaya?\Are you okay? response:	Arata!
context: I'm Arata.\Then I'm also calling you Arata.\Okay?\Taichi!\Arata!\What's with you, Chihaya?\Are you okay?\Arata! response:	Taichi!
context: Then I'm also calling you Arata.\Okay?\Taichi!\Arata!\What's with you, Chihaya?\Are you okay?\Arata!\Taichi! response:	Let's play karuta together forever!
context: Okay?\Taichi!\Arata!\What's with you, Chihaya?\Are you okay?\Arata!\Taichi!\Let's play karuta together forever! response:	So the flower petals... So the flower petals...
context: Taichi!\Arata!\What's with you, Chihaya?\Are you okay?\Arata!\Taichi!\Let's play karuta together forever!\So the flower petals... So the flower petals... response:	So the flower petals are scattered...
context: Arata!\What's with you, Chihaya?\Are you okay?\Arata!\Taichi!\Let's play karuta together forever!\So the flower petals... So the flower petals...\So the flower petals are scattered... response:	Scattered flower petals wilt!
context: What's with you, Chihaya?\Are you okay?\Arata!\Taichi!\Let's play karuta together forever!\So the flower petals... So the flower petals...\So the flower petals are scattered...\Scattered flower petals wilt! response:	yet it is I who withers and wilts
context: Are you okay?\Arata!\Taichi!\Let's play karuta together forever!\So the flower petals... So the flower petals...\So the flower petals are scattered...\Scattered flower petals wilt!\yet it is I who withers and wilts response:	Really?!
context: Arata!\Taichi!\Let's play karuta together forever!\So the flower petals... So the flower petals...\So the flower petals are scattered...\Scattered flower petals wilt!\yet it is I who withers and wilts\Really?! response:	Way to go!
context: Taichi!\Let's play karuta together forever!\So the flower petals... So the flower petals...\So the flower petals are scattered...\Scattered flower petals wilt!\yet it is I who withers and wilts\Really?!\Way to go! response:	That's amazing, Mashima-kun!
context: Let's play karuta together forever!\So the flower petals... So the flower petals...\So the flower petals are scattered...\Scattered flower petals wilt!\yet it is I who withers and wilts\Really?!\Way to go!\That's amazing, Mashima-kun! response:	Kaimeisei is really good!
context: So the flower petals... So the flower petals...\So the flower petals are scattered...\Scattered flower petals wilt!\yet it is I who withers and wilts\Really?!\Way to go!\That's amazing, Mashima-kun!\Kaimeisei is really good! response:	What's going on?
context: So the flower petals are scattered...\Scattered flower petals wilt!\yet it is I who withers and wilts\Really?!\Way to go!\That's amazing, Mashima-kun!\Kaimeisei is really good!\What's going on? response:	Mashima-kun was accepted into Kaimeisei Middle School!
context: Scattered flower petals wilt!\yet it is I who withers and wilts\Really?!\Way to go!\That's amazing, Mashima-kun!\Kaimeisei is really good!\What's going on?\Mashima-kun was accepted into Kaimeisei Middle School! response:	That's amazing!
context: yet it is I who withers and wilts\Really?!\Way to go!\That's amazing, Mashima-kun!\Kaimeisei is really good!\What's going on?\Mashima-kun was accepted into Kaimeisei Middle School!\That's amazing! response:	But his first choice is Shusai University Middle School, right?
context: Really?!\Way to go!\That's amazing, Mashima-kun!\Kaimeisei is really good!\What's going on?\Mashima-kun was accepted into Kaimeisei Middle School!\That's amazing!\But his first choice is Shusai University Middle School, right? response:	Since he can ride his bike there.
context: Way to go!\That's amazing, Mashima-kun!\Kaimeisei is really good!\What's going on?\Mashima-kun was accepted into Kaimeisei Middle School!\That's amazing!\But his first choice is Shusai University Middle School, right?\Since he can ride his bike there. response:	Nobody's stupid enough to not go to Kaimeisei after being accepted!
context: That's amazing, Mashima-kun!\Kaimeisei is really good!\What's going on?\Mashima-kun was accepted into Kaimeisei Middle School!\That's amazing!\But his first choice is Shusai University Middle School, right?\Since he can ride his bike there.\Nobody's stupid enough to not go to Kaimeisei after being accepted! response:	Even if it's an hour-and-a-half commute!
context: Kaimeisei is really good!\What's going on?\Mashima-kun was accepted into Kaimeisei Middle School!\That's amazing!\But his first choice is Shusai University Middle School, right?\Since he can ride his bike there.\Nobody's stupid enough to not go to Kaimeisei after being accepted!\Even if it's an hour-and-a-half commute! response:	Taichi, you're not going to that school, right?
context: What's going on?\Mashima-kun was accepted into Kaimeisei Middle School!\That's amazing!\But his first choice is Shusai University Middle School, right?\Since he can ride his bike there.\Nobody's stupid enough to not go to Kaimeisei after being accepted!\Even if it's an hour-and-a-half commute!\Taichi, you're not going to that school, right? response:	You won't be able to play karuta with us at the Doctor's place.
context: Mashima-kun was accepted into Kaimeisei Middle School!\That's amazing!\But his first choice is Shusai University Middle School, right?\Since he can ride his bike there.\Nobody's stupid enough to not go to Kaimeisei after being accepted!\Even if it's an hour-and-a-half commute!\Taichi, you're not going to that school, right?\You won't be able to play karuta with us at the Doctor's place. response:	Wh-What are you talking about?
context: That's amazing!\But his first choice is Shusai University Middle School, right?\Since he can ride his bike there.\Nobody's stupid enough to not go to Kaimeisei after being accepted!\Even if it's an hour-and-a-half commute!\Taichi, you're not going to that school, right?\You won't be able to play karuta with us at the Doctor's place.\Wh-What are you talking about? response:	That's not going to stop me from going to Kaimeisei.
context: But his first choice is Shusai University Middle School, right?\Since he can ride his bike there.\Nobody's stupid enough to not go to Kaimeisei after being accepted!\Even if it's an hour-and-a-half commute!\Taichi, you're not going to that school, right?\You won't be able to play karuta with us at the Doctor's place.\Wh-What are you talking about?\That's not going to stop me from going to Kaimeisei. response:	Tai
context: Since he can ride his bike there.\Nobody's stupid enough to not go to Kaimeisei after being accepted!\Even if it's an hour-and-a-half commute!\Taichi, you're not going to that school, right?\You won't be able to play karuta with us at the Doctor's place.\Wh-What are you talking about?\That's not going to stop me from going to Kaimeisei.\Tai response:	A-Arata...
context: Nobody's stupid enough to not go to Kaimeisei after being accepted!\Even if it's an hour-and-a-half commute!\Taichi, you're not going to that school, right?\You won't be able to play karuta with us at the Doctor's place.\Wh-What are you talking about?\That's not going to stop me from going to Kaimeisei.\Tai\A-Arata... response:	Taichi said that he doesn't care
context: Even if it's an hour-and-a-half commute!\Taichi, you're not going to that school, right?\You won't be able to play karuta with us at the Doctor's place.\Wh-What are you talking about?\That's not going to stop me from going to Kaimeisei.\Tai\A-Arata...\Taichi said that he doesn't care response:	if we can't play karuta together anymore.
context: Taichi, you're not going to that school, right?\You won't be able to play karuta with us at the Doctor's place.\Wh-What are you talking about?\That's not going to stop me from going to Kaimeisei.\Tai\A-Arata...\Taichi said that he doesn't care\if we can't play karuta together anymore. response:	He's such a joker.
context: You won't be able to play karuta with us at the Doctor's place.\Wh-What are you talking about?\That's not going to stop me from going to Kaimeisei.\Tai\A-Arata...\Taichi said that he doesn't care\if we can't play karuta together anymore.\He's such a joker. response:	My grandpa's sick back in Fukui.
context: Wh-What are you talking about?\That's not going to stop me from going to Kaimeisei.\Tai\A-Arata...\Taichi said that he doesn't care\if we can't play karuta together anymore.\He's such a joker.\My grandpa's sick back in Fukui. response:	Once I graduate, I'm going back to Fukui.
context: That's not going to stop me from going to Kaimeisei.\Tai\A-Arata...\Taichi said that he doesn't care\if we can't play karuta together anymore.\He's such a joker.\My grandpa's sick back in Fukui.\Once I graduate, I'm going back to Fukui. response:	We can't play karuta together forever.
context: Tai\A-Arata...\Taichi said that he doesn't care\if we can't play karuta together anymore.\He's such a joker.\My grandpa's sick back in Fukui.\Once I graduate, I'm going back to Fukui.\We can't play karuta together forever. response:	Is your grandpa okay?
context: A-Arata...\Taichi said that he doesn't care\if we can't play karuta together anymore.\He's such a joker.\My grandpa's sick back in Fukui.\Once I graduate, I'm going back to Fukui.\We can't play karuta together forever.\Is your grandpa okay? response:	He had something called a cerebral hemorrhage.
context: Taichi said that he doesn't care\if we can't play karuta together anymore.\He's such a joker.\My grandpa's sick back in Fukui.\Once I graduate, I'm going back to Fukui.\We can't play karuta together forever.\Is your grandpa okay?\He had something called a cerebral hemorrhage. response:	He's still in the hospital.
context: if we can't play karuta together anymore.\He's such a joker.\My grandpa's sick back in Fukui.\Once I graduate, I'm going back to Fukui.\We can't play karuta together forever.\Is your grandpa okay?\He had something called a cerebral hemorrhage.\He's still in the hospital. response:	That sounds rough.
context: He's such a joker.\My grandpa's sick back in Fukui.\Once I graduate, I'm going back to Fukui.\We can't play karuta together forever.\Is your grandpa okay?\He had something called a cerebral hemorrhage.\He's still in the hospital.\That sounds rough. response:	Chihaya?
context: My grandpa's sick back in Fukui.\Once I graduate, I'm going back to Fukui.\We can't play karuta together forever.\Is your grandpa okay?\He had something called a cerebral hemorrhage.\He's still in the hospital.\That sounds rough.\Chihaya? response:	I'm not going.
context: Once I graduate, I'm going back to Fukui.\We can't play karuta together forever.\Is your grandpa okay?\He had something called a cerebral hemorrhage.\He's still in the hospital.\That sounds rough.\Chihaya?\I'm not going. response:	Huh?
context: We can't play karuta together forever.\Is your grandpa okay?\He had something called a cerebral hemorrhage.\He's still in the hospital.\That sounds rough.\Chihaya?\I'm not going.\Huh? response:	I'm not...
context: Is your grandpa okay?\He had something called a cerebral hemorrhage.\He's still in the hospital.\That sounds rough.\Chihaya?\I'm not going.\Huh?\I'm not... response:	I'm not going to the tournament!
context: He had something called a cerebral hemorrhage.\He's still in the hospital.\That sounds rough.\Chihaya?\I'm not going.\Huh?\I'm not...\I'm not going to the tournament! response:	Chihaya!
context: He's still in the hospital.\That sounds rough.\Chihaya?\I'm not going.\Huh?\I'm not...\I'm not going to the tournament!\Chihaya! response:	Huh?
context: That sounds rough.\Chihaya?\I'm not going.\Huh?\I'm not...\I'm not going to the tournament!\Chihaya!\Huh? response:	Where's Chihaya-chan today?
context: Chihaya?\I'm not going.\Huh?\I'm not...\I'm not going to the tournament!\Chihaya!\Huh?\Where's Chihaya-chan today? response:	It's my fault.
context: I'm not going.\Huh?\I'm not...\I'm not going to the tournament!\Chihaya!\Huh?\Where's Chihaya-chan today?\It's my fault. response:	No, it's my fault.
context: Huh?\I'm not...\I'm not going to the tournament!\Chihaya!\Huh?\Where's Chihaya-chan today?\It's my fault.\No, it's my fault. response:	I said that it's my fault!
context: I'm not...\I'm not going to the tournament!\Chihaya!\Huh?\Where's Chihaya-chan today?\It's my fault.\No, it's my fault.\I said that it's my fault! response:	It's because I'm going back to Fukui!
context: I'm not going to the tournament!\Chihaya!\Huh?\Where's Chihaya-chan today?\It's my fault.\No, it's my fault.\I said that it's my fault!\It's because I'm going back to Fukui! response:	Freak! Don't get too full of yourself!
context: Chihaya!\Huh?\Where's Chihaya-chan today?\It's my fault.\No, it's my fault.\I said that it's my fault!\It's because I'm going back to Fukui!\Freak! Don't get too full of yourself! response:	I won't go to the karuta tournament!
context: Huh?\Where's Chihaya-chan today?\It's my fault.\No, it's my fault.\I said that it's my fault!\It's because I'm going back to Fukui!\Freak! Don't get too full of yourself!\I won't go to the karuta tournament! response:	I've known her longer!
context: Where's Chihaya-chan today?\It's my fault.\No, it's my fault.\I said that it's my fault!\It's because I'm going back to Fukui!\Freak! Don't get too full of yourself!\I won't go to the karuta tournament!\I've known her longer! response:	It's my fault!
context: It's my fault.\No, it's my fault.\I said that it's my fault!\It's because I'm going back to Fukui!\Freak! Don't get too full of yourself!\I won't go to the karuta tournament!\I've known her longer!\It's my fault! response:	It's no fun to play karuta by myself!
context: No, it's my fault.\I said that it's my fault!\It's because I'm going back to Fukui!\Freak! Don't get too full of yourself!\I won't go to the karuta tournament!\I've known her longer!\It's my fault!\It's no fun to play karuta by myself! response:	Harada Internal Medicine/Pediatrics
context: I said that it's my fault!\It's because I'm going back to Fukui!\Freak! Don't get too full of yourself!\I won't go to the karuta tournament!\I've known her longer!\It's my fault!\It's no fun to play karuta by myself!\Harada Internal Medicine/Pediatrics response:	Chihaya-chan...
context: It's because I'm going back to Fukui!\Freak! Don't get too full of yourself!\I won't go to the karuta tournament!\I've known her longer!\It's my fault!\It's no fun to play karuta by myself!\Harada Internal Medicine/Pediatrics\Chihaya-chan... response:	What's wrong?
context: Freak! Don't get too full of yourself!\I won't go to the karuta tournament!\I've known her longer!\It's my fault!\It's no fun to play karuta by myself!\Harada Internal Medicine/Pediatrics\Chihaya-chan...\What's wrong? response:	Ogura Hundred Poets Poetry Karuta
context: I won't go to the karuta tournament!\I've known her longer!\It's my fault!\It's no fun to play karuta by myself!\Harada Internal Medicine/Pediatrics\Chihaya-chan...\What's wrong?\Ogura Hundred Poets Poetry Karuta response:	I remembered that I needed to return this.
context: I've known her longer!\It's my fault!\It's no fun to play karuta by myself!\Harada Internal Medicine/Pediatrics\Chihaya-chan...\What's wrong?\Ogura Hundred Poets Poetry Karuta\I remembered that I needed to return this. response:	Well, I'm impressed by Eyebrows.
context: It's my fault!\It's no fun to play karuta by myself!\Harada Internal Medicine/Pediatrics\Chihaya-chan...\What's wrong?\Ogura Hundred Poets Poetry Karuta\I remembered that I needed to return this.\Well, I'm impressed by Eyebrows. response:	He was accepted to Kaimeisei.
context: It's no fun to play karuta by myself!\Harada Internal Medicine/Pediatrics\Chihaya-chan...\What's wrong?\Ogura Hundred Poets Poetry Karuta\I remembered that I needed to return this.\Well, I'm impressed by Eyebrows.\He was accepted to Kaimeisei. response:	Most kids wouldn't be able to manage that feat
context: Harada Internal Medicine/Pediatrics\Chihaya-chan...\What's wrong?\Ogura Hundred Poets Poetry Karuta\I remembered that I needed to return this.\Well, I'm impressed by Eyebrows.\He was accepted to Kaimeisei.\Most kids wouldn't be able to manage that feat response:	while spending time at a karuta society every week.
context: Chihaya-chan...\What's wrong?\Ogura Hundred Poets Poetry Karuta\I remembered that I needed to return this.\Well, I'm impressed by Eyebrows.\He was accepted to Kaimeisei.\Most kids wouldn't be able to manage that feat\while spending time at a karuta society every week. response:	Oh, a shooting star!
context: What's wrong?\Ogura Hundred Poets Poetry Karuta\I remembered that I needed to return this.\Well, I'm impressed by Eyebrows.\He was accepted to Kaimeisei.\Most kids wouldn't be able to manage that feat\while spending time at a karuta society every week.\Oh, a shooting star! response:	Huh?! Where?! Where?!
context: Ogura Hundred Poets Poetry Karuta\I remembered that I needed to return this.\Well, I'm impressed by Eyebrows.\He was accepted to Kaimeisei.\Most kids wouldn't be able to manage that feat\while spending time at a karuta society every week.\Oh, a shooting star!\Huh?! Where?! Where?! response:	You didn't see it?
context: I remembered that I needed to return this.\Well, I'm impressed by Eyebrows.\He was accepted to Kaimeisei.\Most kids wouldn't be able to manage that feat\while spending time at a karuta society every week.\Oh, a shooting star!\Huh?! Where?! Where?!\You didn't see it? response:	That won't do.
context: Well, I'm impressed by Eyebrows.\He was accepted to Kaimeisei.\Most kids wouldn't be able to manage that feat\while spending time at a karuta society every week.\Oh, a shooting star!\Huh?! Where?! Where?!\You didn't see it?\That won't do. response:	Now I'm mad!
context: He was accepted to Kaimeisei.\Most kids wouldn't be able to manage that feat\while spending time at a karuta society every week.\Oh, a shooting star!\Huh?! Where?! Where?!\You didn't see it?\That won't do.\Now I'm mad! response:	And Glasses's grandfather is an
context: Most kids wouldn't be able to manage that feat\while spending time at a karuta society every week.\Oh, a shooting star!\Huh?! Where?! Where?!\You didn't see it?\That won't do.\Now I'm mad!\And Glasses's grandfather is an response:	Eternal Master who's famous in the karuta world.
context: while spending time at a karuta society every week.\Oh, a shooting star!\Huh?! Where?! Where?!\You didn't see it?\That won't do.\Now I'm mad!\And Glasses's grandfather is an\Eternal Master who's famous in the karuta world. response:	A Master?!
context: Oh, a shooting star!\Huh?! Where?! Where?!\You didn't see it?\That won't do.\Now I'm mad!\And Glasses's grandfather is an\Eternal Master who's famous in the karuta world.\A Master?! response:	When I saw Glasses play,
context: Huh?! Where?! Where?!\You didn't see it?\That won't do.\Now I'm mad!\And Glasses's grandfather is an\Eternal Master who's famous in the karuta world.\A Master?!\When I saw Glasses play, response:	I immediately knew that his grandfather had taught him the game.
context: You didn't see it?\That won't do.\Now I'm mad!\And Glasses's grandfather is an\Eternal Master who's famous in the karuta world.\A Master?!\When I saw Glasses play,\I immediately knew that his grandfather had taught him the game. response:	He must be worried sick to know that his grandfather is in the hospital.
context: That won't do.\Now I'm mad!\And Glasses's grandfather is an\Eternal Master who's famous in the karuta world.\A Master?!\When I saw Glasses play,\I immediately knew that his grandfather had taught him the game.\He must be worried sick to know that his grandfather is in the hospital. response:	Oh, another shooting star!
context: Now I'm mad!\And Glasses's grandfather is an\Eternal Master who's famous in the karuta world.\A Master?!\When I saw Glasses play,\I immediately knew that his grandfather had taught him the game.\He must be worried sick to know that his grandfather is in the hospital.\Oh, another shooting star! response:	What?!
context: And Glasses's grandfather is an\Eternal Master who's famous in the karuta world.\A Master?!\When I saw Glasses play,\I immediately knew that his grandfather had taught him the game.\He must be worried sick to know that his grandfather is in the hospital.\Oh, another shooting star!\What?! response:	Just kidding.
context: Eternal Master who's famous in the karuta world.\A Master?!\When I saw Glasses play,\I immediately knew that his grandfather had taught him the game.\He must be worried sick to know that his grandfather is in the hospital.\Oh, another shooting star!\What?!\Just kidding. response:	What?!
context: A Master?!\When I saw Glasses play,\I immediately knew that his grandfather had taught him the game.\He must be worried sick to know that his grandfather is in the hospital.\Oh, another shooting star!\What?!\Just kidding.\What?! response:	That's mean, Doctor!
context: When I saw Glasses play,\I immediately knew that his grandfather had taught him the game.\He must be worried sick to know that his grandfather is in the hospital.\Oh, another shooting star!\What?!\Just kidding.\What?!\That's mean, Doctor! response:	Meanie! Meanie!
context: I immediately knew that his grandfather had taught him the game.\He must be worried sick to know that his grandfather is in the hospital.\Oh, another shooting star!\What?!\Just kidding.\What?!\That's mean, Doctor!\Meanie! Meanie! response:	I'll be sad if you also quit.
context: He must be worried sick to know that his grandfather is in the hospital.\Oh, another shooting star!\What?!\Just kidding.\What?!\That's mean, Doctor!\Meanie! Meanie!\I'll be sad if you also quit. response:	Fuchu City Katamachi Cultural Center
context: Oh, another shooting star!\What?!\Just kidding.\What?!\That's mean, Doctor!\Meanie! Meanie!\I'll be sad if you also quit.\Fuchu City Katamachi Cultural Center response:	Grade School Karuta Tournament
context: What?!\Just kidding.\What?!\That's mean, Doctor!\Meanie! Meanie!\I'll be sad if you also quit.\Fuchu City Katamachi Cultural Center\Grade School Karuta Tournament response:	This is just a temporary truce.
context: Just kidding.\What?!\That's mean, Doctor!\Meanie! Meanie!\I'll be sad if you also quit.\Fuchu City Katamachi Cultural Center\Grade School Karuta Tournament\This is just a temporary truce. response:	I put up the money, and you wrote the message.
context: What?!\That's mean, Doctor!\Meanie! Meanie!\I'll be sad if you also quit.\Fuchu City Katamachi Cultural Center\Grade School Karuta Tournament\This is just a temporary truce.\I put up the money, and you wrote the message. response:	I know.
context: That's mean, Doctor!\Meanie! Meanie!\I'll be sad if you also quit.\Fuchu City Katamachi Cultural Center\Grade School Karuta Tournament\This is just a temporary truce.\I put up the money, and you wrote the message.\I know. response:	Chihaya isn't here.
context: Meanie! Meanie!\I'll be sad if you also quit.\Fuchu City Katamachi Cultural Center\Grade School Karuta Tournament\This is just a temporary truce.\I put up the money, and you wrote the message.\I know.\Chihaya isn't here. response:	Are you okay?
context: I'll be sad if you also quit.\Fuchu City Katamachi Cultural Center\Grade School Karuta Tournament\This is just a temporary truce.\I put up the money, and you wrote the message.\I know.\Chihaya isn't here.\Are you okay? response:	Well, this little tournament should be a breeze for you.
context: Fuchu City Katamachi Cultural Center\Grade School Karuta Tournament\This is just a temporary truce.\I put up the money, and you wrote the message.\I know.\Chihaya isn't here.\Are you okay?\Well, this little tournament should be a breeze for you. response:	No...
context: Grade School Karuta Tournament\This is just a temporary truce.\I put up the money, and you wrote the message.\I know.\Chihaya isn't here.\Are you okay?\Well, this little tournament should be a breeze for you.\No... response:	The round boy we're facing in the first round
context: This is just a temporary truce.\I put up the money, and you wrote the message.\I know.\Chihaya isn't here.\Are you okay?\Well, this little tournament should be a breeze for you.\No...\The round boy we're facing in the first round response:	was runner-up in the national tournament.
context: I put up the money, and you wrote the message.\I know.\Chihaya isn't here.\Are you okay?\Well, this little tournament should be a breeze for you.\No...\The round boy we're facing in the first round\was runner-up in the national tournament. response:	I'm not sure if I can handle him right now.
context: I know.\Chihaya isn't here.\Are you okay?\Well, this little tournament should be a breeze for you.\No...\The round boy we're facing in the first round\was runner-up in the national tournament.\I'm not sure if I can handle him right now. response:	Reception
context: Chihaya isn't here.\Are you okay?\Well, this little tournament should be a breeze for you.\No...\The round boy we're facing in the first round\was runner-up in the national tournament.\I'm not sure if I can handle him right now.\Reception response:	We will start the first round now!
context: Are you okay?\Well, this little tournament should be a breeze for you.\No...\The round boy we're facing in the first round\was runner-up in the national tournament.\I'm not sure if I can handle him right now.\Reception\We will start the first round now! response:	Chihaya?
context: Well, this little tournament should be a breeze for you.\No...\The round boy we're facing in the first round\was runner-up in the national tournament.\I'm not sure if I can handle him right now.\Reception\We will start the first round now!\Chihaya? response:	Oh, there you are.
context: No...\The round boy we're facing in the first round\was runner-up in the national tournament.\I'm not sure if I can handle him right now.\Reception\We will start the first round now!\Chihaya?\Oh, there you are. response:	Here you are.
context: The round boy we're facing in the first round\was runner-up in the national tournament.\I'm not sure if I can handle him right now.\Reception\We will start the first round now!\Chihaya?\Oh, there you are.\Here you are. response:	What's this?
context: was runner-up in the national tournament.\I'm not sure if I can handle him right now.\Reception\We will start the first round now!\Chihaya?\Oh, there you are.\Here you are.\What's this? response:	Mashima-kun was here this morning with a boy wearing glasses.
context: I'm not sure if I can handle him right now.\Reception\We will start the first round now!\Chihaya?\Oh, there you are.\Here you are.\What's this?\Mashima-kun was here this morning with a boy wearing glasses. response:	Team Chihaya Furu
context: Reception\We will start the first round now!\Chihaya?\Oh, there you are.\Here you are.\What's this?\Mashima-kun was here this morning with a boy wearing glasses.\Team Chihaya Furu response:	That's right. Didn't you say you were going out today?
context: We will start the first round now!\Chihaya?\Oh, there you are.\Here you are.\What's this?\Mashima-kun was here this morning with a boy wearing glasses.\Team Chihaya Furu\That's right. Didn't you say you were going out today? response:	Wait!
context: Chihaya?\Oh, there you are.\Here you are.\What's this?\Mashima-kun was here this morning with a boy wearing glasses.\Team Chihaya Furu\That's right. Didn't you say you were going out today?\Wait! response:	Chihaya?
context: Oh, there you are.\Here you are.\What's this?\Mashima-kun was here this morning with a boy wearing glasses.\Team Chihaya Furu\That's right. Didn't you say you were going out today?\Wait!\Chihaya? response:	Chihaya-chan isn't here yet?
context: Here you are.\What's this?\Mashima-kun was here this morning with a boy wearing glasses.\Team Chihaya Furu\That's right. Didn't you say you were going out today?\Wait!\Chihaya?\Chihaya-chan isn't here yet? response:	They're playing individual matches, so they'll be fine if both of them win.
context: What's this?\Mashima-kun was here this morning with a boy wearing glasses.\Team Chihaya Furu\That's right. Didn't you say you were going out today?\Wait!\Chihaya?\Chihaya-chan isn't here yet?\They're playing individual matches, so they'll be fine if both of them win. response:	I was planning on defeating Wataya-kun today.
context: Mashima-kun was here this morning with a boy wearing glasses.\Team Chihaya Furu\That's right. Didn't you say you were going out today?\Wait!\Chihaya?\Chihaya-chan isn't here yet?\They're playing individual matches, so they'll be fine if both of them win.\I was planning on defeating Wataya-kun today. response:	So, did your teammate get scared of losing and run away?
context: Team Chihaya Furu\That's right. Didn't you say you were going out today?\Wait!\Chihaya?\Chihaya-chan isn't here yet?\They're playing individual matches, so they'll be fine if both of them win.\I was planning on defeating Wataya-kun today.\So, did your teammate get scared of losing and run away? response:	Shut your mouth, fatty!
context: That's right. Didn't you say you were going out today?\Wait!\Chihaya?\Chihaya-chan isn't here yet?\They're playing individual matches, so they'll be fine if both of them win.\I was planning on defeating Wataya-kun today.\So, did your teammate get scared of losing and run away?\Shut your mouth, fatty! response:	Chihaya's running late!
context: Wait!\Chihaya?\Chihaya-chan isn't here yet?\They're playing individual matches, so they'll be fine if both of them win.\I was planning on defeating Wataya-kun today.\So, did your teammate get scared of losing and run away?\Shut your mouth, fatty!\Chihaya's running late! response:	But she isn't here.
context: Chihaya?\Chihaya-chan isn't here yet?\They're playing individual matches, so they'll be fine if both of them win.\I was planning on defeating Wataya-kun today.\So, did your teammate get scared of losing and run away?\Shut your mouth, fatty!\Chihaya's running late!\But she isn't here. response:	I said that she's coming!
context: Chihaya-chan isn't here yet?\They're playing individual matches, so they'll be fine if both of them win.\I was planning on defeating Wataya-kun today.\So, did your teammate get scared of losing and run away?\Shut your mouth, fatty!\Chihaya's running late!\But she isn't here.\I said that she's coming! response:	I'll go buy some pork buns.
