context: It's hot. response:	And I can't turn on the air conditioning since nobody else is here.
context: It was the same for me.\Me too.\I don't remember anything at all either.\Was it a Clow Card after all?\Yeah.\Nobody remembers anything.\Why is that, Li-kun?\Erase also made their memory go away. response:	I see.
context: Me too.\I don't remember anything at all either.\Was it a Clow Card after all?\Yeah.\Nobody remembers anything.\Why is that, Li-kun?\Erase also made their memory go away.\I see. response:	Thank you for yesterday.
context: I don't remember anything at all either.\Was it a Clow Card after all?\Yeah.\Nobody remembers anything.\Why is that, Li-kun?\Erase also made their memory go away.\I see.\Thank you for yesterday. response:	It's not like I've acknowledged you.
context: Was it a Clow Card after all?\Yeah.\Nobody remembers anything.\Why is that, Li-kun?\Erase also made their memory go away.\I see.\Thank you for yesterday.\It's not like I've acknowledged you. response:	Sakura-chan! Li-kun!
context: Yeah.\Nobody remembers anything.\Why is that, Li-kun?\Erase also made their memory go away.\I see.\Thank you for yesterday.\It's not like I've acknowledged you.\Sakura-chan! Li-kun! response:	Want to play beach volleyball?
context: Nobody remembers anything.\Why is that, Li-kun?\Erase also made their memory go away.\I see.\Thank you for yesterday.\It's not like I've acknowledged you.\Sakura-chan! Li-kun!\Want to play beach volleyball? response:	Sure!
context: Why is that, Li-kun?\Erase also made their memory go away.\I see.\Thank you for yesterday.\It's not like I've acknowledged you.\Sakura-chan! Li-kun!\Want to play beach volleyball?\Sure! response:	There is a history to beach volleyball.
context: Erase also made their memory go away.\I see.\Thank you for yesterday.\It's not like I've acknowledged you.\Sakura-chan! Li-kun!\Want to play beach volleyball?\Sure!\There is a history to beach volleyball. response:	In ancient Egypt there is a saying that the person
context: I see.\Thank you for yesterday.\It's not like I've acknowledged you.\Sakura-chan! Li-kun!\Want to play beach volleyball?\Sure!\There is a history to beach volleyball.\In ancient Egypt there is a saying that the person response:	who stays to the end without dropping the ball
context: Thank you for yesterday.\It's not like I've acknowledged you.\Sakura-chan! Li-kun!\Want to play beach volleyball?\Sure!\There is a history to beach volleyball.\In ancient Egypt there is a saying that the person\who stays to the end without dropping the ball response:	will have success in love.
context: It's not like I've acknowledged you.\Sakura-chan! Li-kun!\Want to play beach volleyball?\Sure!\There is a history to beach volleyball.\In ancient Egypt there is a saying that the person\who stays to the end without dropping the ball\will have success in love. response:	Another pile of lies.
context: Sakura-chan! Li-kun!\Want to play beach volleyball?\Sure!\There is a history to beach volleyball.\In ancient Egypt there is a saying that the person\who stays to the end without dropping the ball\will have success in love.\Another pile of lies. response:	Those two resemble each other a lot.
context: Want to play beach volleyball?\Sure!\There is a history to beach volleyball.\In ancient Egypt there is a saying that the person\who stays to the end without dropping the ball\will have success in love.\Another pile of lies.\Those two resemble each other a lot. response:	Yes, yes.
