context: Passing the Night response:	Ever since I was a baby, there was a shogi board in front of me.
context: Straight losses... That's the one thing I don't want.\I continued practicing with him, even in that state.\I'll go with you.\I can't let you go alone.\Alright.\However...\looking at Mr. Shimada's pale sleeping face,\I had the feeling I should have refused everything response:	and make him rest more.
context: I continued practicing with him, even in that state.\I'll go with you.\I can't let you go alone.\Alright.\However...\looking at Mr. Shimada's pale sleeping face,\I had the feeling I should have refused everything\and make him rest more. response:	I couldn't help but feel uneasy and regretful.
context: I'll go with you.\I can't let you go alone.\Alright.\However...\looking at Mr. Shimada's pale sleeping face,\I had the feeling I should have refused everything\and make him rest more.\I couldn't help but feel uneasy and regretful. response:	Kyoto, this is Kyoto.
context: I can't let you go alone.\Alright.\However...\looking at Mr. Shimada's pale sleeping face,\I had the feeling I should have refused everything\and make him rest more.\I couldn't help but feel uneasy and regretful.\Kyoto, this is Kyoto. response:	Let's see, where's the taxi stand?
context: Alright.\However...\looking at Mr. Shimada's pale sleeping face,\I had the feeling I should have refused everything\and make him rest more.\I couldn't help but feel uneasy and regretful.\Kyoto, this is Kyoto.\Let's see, where's the taxi stand? response:	On the right. Towards Kyoto Tower.
context: However...\looking at Mr. Shimada's pale sleeping face,\I had the feeling I should have refused everything\and make him rest more.\I couldn't help but feel uneasy and regretful.\Kyoto, this is Kyoto.\Let's see, where's the taxi stand?\On the right. Towards Kyoto Tower. response:	Okay.
context: looking at Mr. Shimada's pale sleeping face,\I had the feeling I should have refused everything\and make him rest more.\I couldn't help but feel uneasy and regretful.\Kyoto, this is Kyoto.\Let's see, where's the taxi stand?\On the right. Towards Kyoto Tower.\Okay. response:	- To Kyoto Hotel Number Two, please. - Sure.
context: I had the feeling I should have refused everything\and make him rest more.\I couldn't help but feel uneasy and regretful.\Kyoto, this is Kyoto.\Let's see, where's the taxi stand?\On the right. Towards Kyoto Tower.\Okay.\- To Kyoto Hotel Number Two, please. - Sure. response:	There he is!
context: and make him rest more.\I couldn't help but feel uneasy and regretful.\Kyoto, this is Kyoto.\Let's see, where's the taxi stand?\On the right. Towards Kyoto Tower.\Okay.\- To Kyoto Hotel Number Two, please. - Sure.\There he is! response:	Hey, Shimada!
context: I couldn't help but feel uneasy and regretful.\Kyoto, this is Kyoto.\Let's see, where's the taxi stand?\On the right. Towards Kyoto Tower.\Okay.\- To Kyoto Hotel Number Two, please. - Sure.\There he is!\Hey, Shimada! response:	Hey, Kiriyama. Glad you could make it.
context: Kyoto, this is Kyoto.\Let's see, where's the taxi stand?\On the right. Towards Kyoto Tower.\Okay.\- To Kyoto Hotel Number Two, please. - Sure.\There he is!\Hey, Shimada!\Hey, Kiriyama. Glad you could make it. response:	Chairman, sorry to make you worry about me.
context: Let's see, where's the taxi stand?\On the right. Towards Kyoto Tower.\Okay.\- To Kyoto Hotel Number Two, please. - Sure.\There he is!\Hey, Shimada!\Hey, Kiriyama. Glad you could make it.\Chairman, sorry to make you worry about me. response:	Your stomach again? Man, you've always been a weakling.
context: On the right. Towards Kyoto Tower.\Okay.\- To Kyoto Hotel Number Two, please. - Sure.\There he is!\Hey, Shimada!\Hey, Kiriyama. Glad you could make it.\Chairman, sorry to make you worry about me.\Your stomach again? Man, you've always been a weakling. response:	Am I right?
context: Okay.\- To Kyoto Hotel Number Two, please. - Sure.\There he is!\Hey, Shimada!\Hey, Kiriyama. Glad you could make it.\Chairman, sorry to make you worry about me.\Your stomach again? Man, you've always been a weakling.\Am I right? response:	Sorry.
context: - To Kyoto Hotel Number Two, please. - Sure.\There he is!\Hey, Shimada!\Hey, Kiriyama. Glad you could make it.\Chairman, sorry to make you worry about me.\Your stomach again? Man, you've always been a weakling.\Am I right?\Sorry. response:	They can't do stomach transplants these days?
context: There he is!\Hey, Shimada!\Hey, Kiriyama. Glad you could make it.\Chairman, sorry to make you worry about me.\Your stomach again? Man, you've always been a weakling.\Am I right?\Sorry.\They can't do stomach transplants these days? response:	At this rate, you'll never be able to win a title.
context: Hey, Shimada!\Hey, Kiriyama. Glad you could make it.\Chairman, sorry to make you worry about me.\Your stomach again? Man, you've always been a weakling.\Am I right?\Sorry.\They can't do stomach transplants these days?\At this rate, you'll never be able to win a title. response:	Chairman, please don't say crazy things!
context: Hey, Kiriyama. Glad you could make it.\Chairman, sorry to make you worry about me.\Your stomach again? Man, you've always been a weakling.\Am I right?\Sorry.\They can't do stomach transplants these days?\At this rate, you'll never be able to win a title.\Chairman, please don't say crazy things! response:	Oh well. Get some rest in your room until the reception.
context: Chairman, sorry to make you worry about me.\Your stomach again? Man, you've always been a weakling.\Am I right?\Sorry.\They can't do stomach transplants these days?\At this rate, you'll never be able to win a title.\Chairman, please don't say crazy things!\Oh well. Get some rest in your room until the reception. response:	Hey! Show them to the room.
context: Your stomach again? Man, you've always been a weakling.\Am I right?\Sorry.\They can't do stomach transplants these days?\At this rate, you'll never be able to win a title.\Chairman, please don't say crazy things!\Oh well. Get some rest in your room until the reception.\Hey! Show them to the room. response:	I'll come back when it becomes time.
context: Am I right?\Sorry.\They can't do stomach transplants these days?\At this rate, you'll never be able to win a title.\Chairman, please don't say crazy things!\Oh well. Get some rest in your room until the reception.\Hey! Show them to the room.\I'll come back when it becomes time. response:	I put water, tea, and your phone next to the pillow.
context: Sorry.\They can't do stomach transplants these days?\At this rate, you'll never be able to win a title.\Chairman, please don't say crazy things!\Oh well. Get some rest in your room until the reception.\Hey! Show them to the room.\I'll come back when it becomes time.\I put water, tea, and your phone next to the pillow. response:	If you need anything, please call me right away.
context: They can't do stomach transplants these days?\At this rate, you'll never be able to win a title.\Chairman, please don't say crazy things!\Oh well. Get some rest in your room until the reception.\Hey! Show them to the room.\I'll come back when it becomes time.\I put water, tea, and your phone next to the pillow.\If you need anything, please call me right away. response:	You kind of sound like my mother.
context: At this rate, you'll never be able to win a title.\Chairman, please don't say crazy things!\Oh well. Get some rest in your room until the reception.\Hey! Show them to the room.\I'll come back when it becomes time.\I put water, tea, and your phone next to the pillow.\If you need anything, please call me right away.\You kind of sound like my mother. response:	Sorry! Am I being annoying?
context: Chairman, please don't say crazy things!\Oh well. Get some rest in your room until the reception.\Hey! Show them to the room.\I'll come back when it becomes time.\I put water, tea, and your phone next to the pillow.\If you need anything, please call me right away.\You kind of sound like my mother.\Sorry! Am I being annoying? response:	No, no. Not at all.
context: Oh well. Get some rest in your room until the reception.\Hey! Show them to the room.\I'll come back when it becomes time.\I put water, tea, and your phone next to the pillow.\If you need anything, please call me right away.\You kind of sound like my mother.\Sorry! Am I being annoying?\No, no. Not at all. response:	Thank you.
context: Hey! Show them to the room.\I'll come back when it becomes time.\I put water, tea, and your phone next to the pillow.\If you need anything, please call me right away.\You kind of sound like my mother.\Sorry! Am I being annoying?\No, no. Not at all.\Thank you. response:	All right. Now what should I do?
context: I'll come back when it becomes time.\I put water, tea, and your phone next to the pillow.\If you need anything, please call me right away.\You kind of sound like my mother.\Sorry! Am I being annoying?\No, no. Not at all.\Thank you.\All right. Now what should I do? response:	I know.
context: I put water, tea, and your phone next to the pillow.\If you need anything, please call me right away.\You kind of sound like my mother.\Sorry! Am I being annoying?\No, no. Not at all.\Thank you.\All right. Now what should I do?\I know. response:	I'll get a book and something to drink at a convenience store.
context: If you need anything, please call me right away.\You kind of sound like my mother.\Sorry! Am I being annoying?\No, no. Not at all.\Thank you.\All right. Now what should I do?\I know.\I'll get a book and something to drink at a convenience store. response:	You surprise me, Kiriyama.
context: You kind of sound like my mother.\Sorry! Am I being annoying?\No, no. Not at all.\Thank you.\All right. Now what should I do?\I know.\I'll get a book and something to drink at a convenience store.\You surprise me, Kiriyama. response:	I took you for more of a cool, modern kid.
context: Sorry! Am I being annoying?\No, no. Not at all.\Thank you.\All right. Now what should I do?\I know.\I'll get a book and something to drink at a convenience store.\You surprise me, Kiriyama.\I took you for more of a cool, modern kid. response:	20th Lion King Tournament Seven Match Battle Fourth Match in Kyoto, Tournament Eve Reception
context: No, no. Not at all.\Thank you.\All right. Now what should I do?\I know.\I'll get a book and something to drink at a convenience store.\You surprise me, Kiriyama.\I took you for more of a cool, modern kid.\20th Lion King Tournament Seven Match Battle Fourth Match in Kyoto, Tournament Eve Reception response:	You bringing Shimada here was a big help.
context: Thank you.\All right. Now what should I do?\I know.\I'll get a book and something to drink at a convenience store.\You surprise me, Kiriyama.\I took you for more of a cool, modern kid.\20th Lion King Tournament Seven Match Battle Fourth Match in Kyoto, Tournament Eve Reception\You bringing Shimada here was a big help. response:	Well, now I've got to fetch Souya.
context: All right. Now what should I do?\I know.\I'll get a book and something to drink at a convenience store.\You surprise me, Kiriyama.\I took you for more of a cool, modern kid.\20th Lion King Tournament Seven Match Battle Fourth Match in Kyoto, Tournament Eve Reception\You bringing Shimada here was a big help.\Well, now I've got to fetch Souya. response:	He hasn't come yet.
context: I know.\I'll get a book and something to drink at a convenience store.\You surprise me, Kiriyama.\I took you for more of a cool, modern kid.\20th Lion King Tournament Seven Match Battle Fourth Match in Kyoto, Tournament Eve Reception\You bringing Shimada here was a big help.\Well, now I've got to fetch Souya.\He hasn't come yet. response:	He's probably underestimating it since he lives in the neighborhood.
context: I'll get a book and something to drink at a convenience store.\You surprise me, Kiriyama.\I took you for more of a cool, modern kid.\20th Lion King Tournament Seven Match Battle Fourth Match in Kyoto, Tournament Eve Reception\You bringing Shimada here was a big help.\Well, now I've got to fetch Souya.\He hasn't come yet.\He's probably underestimating it since he lives in the neighborhood. response:	Neighborhood?
context: You surprise me, Kiriyama.\I took you for more of a cool, modern kid.\20th Lion King Tournament Seven Match Battle Fourth Match in Kyoto, Tournament Eve Reception\You bringing Shimada here was a big help.\Well, now I've got to fetch Souya.\He hasn't come yet.\He's probably underestimating it since he lives in the neighborhood.\Neighborhood? response:	Yeah. He lives here, by Ginkaku-ji.
context: I took you for more of a cool, modern kid.\20th Lion King Tournament Seven Match Battle Fourth Match in Kyoto, Tournament Eve Reception\You bringing Shimada here was a big help.\Well, now I've got to fetch Souya.\He hasn't come yet.\He's probably underestimating it since he lives in the neighborhood.\Neighborhood?\Yeah. He lives here, by Ginkaku-ji. response:	An incredible place like that? Isn't it in the middle of a tourist spot?
context: 20th Lion King Tournament Seven Match Battle Fourth Match in Kyoto, Tournament Eve Reception\You bringing Shimada here was a big help.\Well, now I've got to fetch Souya.\He hasn't come yet.\He's probably underestimating it since he lives in the neighborhood.\Neighborhood?\Yeah. He lives here, by Ginkaku-ji.\An incredible place like that? Isn't it in the middle of a tourist spot? response:	Nah. It's really quiet.
context: You bringing Shimada here was a big help.\Well, now I've got to fetch Souya.\He hasn't come yet.\He's probably underestimating it since he lives in the neighborhood.\Neighborhood?\Yeah. He lives here, by Ginkaku-ji.\An incredible place like that? Isn't it in the middle of a tourist spot?\Nah. It's really quiet. response:	Is there anyone else at his home who you could call?
context: Well, now I've got to fetch Souya.\He hasn't come yet.\He's probably underestimating it since he lives in the neighborhood.\Neighborhood?\Yeah. He lives here, by Ginkaku-ji.\An incredible place like that? Isn't it in the middle of a tourist spot?\Nah. It's really quiet.\Is there anyone else at his home who you could call? response:	Nobody picks up.
context: He hasn't come yet.\He's probably underestimating it since he lives in the neighborhood.\Neighborhood?\Yeah. He lives here, by Ginkaku-ji.\An incredible place like that? Isn't it in the middle of a tourist spot?\Nah. It's really quiet.\Is there anyone else at his home who you could call?\Nobody picks up. response:	He's living with his grandma now, and she's a bit hard of hearing.
context: He's probably underestimating it since he lives in the neighborhood.\Neighborhood?\Yeah. He lives here, by Ginkaku-ji.\An incredible place like that? Isn't it in the middle of a tourist spot?\Nah. It's really quiet.\Is there anyone else at his home who you could call?\Nobody picks up.\He's living with his grandma now, and she's a bit hard of hearing. response:	I guess I'll just go over there.
context: Neighborhood?\Yeah. He lives here, by Ginkaku-ji.\An incredible place like that? Isn't it in the middle of a tourist spot?\Nah. It's really quiet.\Is there anyone else at his home who you could call?\Nobody picks up.\He's living with his grandma now, and she's a bit hard of hearing.\I guess I'll just go over there. response:	Wow. Kyoto, huh?
context: Yeah. He lives here, by Ginkaku-ji.\An incredible place like that? Isn't it in the middle of a tourist spot?\Nah. It's really quiet.\Is there anyone else at his home who you could call?\Nobody picks up.\He's living with his grandma now, and she's a bit hard of hearing.\I guess I'll just go over there.\Wow. Kyoto, huh? response:	I haven't been here since the class trip in middle school.
context: An incredible place like that? Isn't it in the middle of a tourist spot?\Nah. It's really quiet.\Is there anyone else at his home who you could call?\Nobody picks up.\He's living with his grandma now, and she's a bit hard of hearing.\I guess I'll just go over there.\Wow. Kyoto, huh?\I haven't been here since the class trip in middle school. response:	Maybe Hina and her sisters would like it if I brought back souvenirs for them.
context: Nah. It's really quiet.\Is there anyone else at his home who you could call?\Nobody picks up.\He's living with his grandma now, and she's a bit hard of hearing.\I guess I'll just go over there.\Wow. Kyoto, huh?\I haven't been here since the class trip in middle school.\Maybe Hina and her sisters would like it if I brought back souvenirs for them. response:	Hey, where's Kiriyama?
context: Is there anyone else at his home who you could call?\Nobody picks up.\He's living with his grandma now, and she's a bit hard of hearing.\I guess I'll just go over there.\Wow. Kyoto, huh?\I haven't been here since the class trip in middle school.\Maybe Hina and her sisters would like it if I brought back souvenirs for them.\Hey, where's Kiriyama? response:	I don't know. It's fine, right? This is our free time.
context: Nobody picks up.\He's living with his grandma now, and she's a bit hard of hearing.\I guess I'll just go over there.\Wow. Kyoto, huh?\I haven't been here since the class trip in middle school.\Maybe Hina and her sisters would like it if I brought back souvenirs for them.\Hey, where's Kiriyama?\I don't know. It's fine, right? This is our free time. response:	- So he's free to do what he wants. - Good point.
context: He's living with his grandma now, and she's a bit hard of hearing.\I guess I'll just go over there.\Wow. Kyoto, huh?\I haven't been here since the class trip in middle school.\Maybe Hina and her sisters would like it if I brought back souvenirs for them.\Hey, where's Kiriyama?\I don't know. It's fine, right? This is our free time.\- So he's free to do what he wants. - Good point. response:	Checkmate Within 5 7 Turns Handbook
context: I guess I'll just go over there.\Wow. Kyoto, huh?\I haven't been here since the class trip in middle school.\Maybe Hina and her sisters would like it if I brought back souvenirs for them.\Hey, where's Kiriyama?\I don't know. It's fine, right? This is our free time.\- So he's free to do what he wants. - Good point.\Checkmate Within 5 7 Turns Handbook response:	Guess I'll just head back.
context: Wow. Kyoto, huh?\I haven't been here since the class trip in middle school.\Maybe Hina and her sisters would like it if I brought back souvenirs for them.\Hey, where's Kiriyama?\I don't know. It's fine, right? This is our free time.\- So he's free to do what he wants. - Good point.\Checkmate Within 5 7 Turns Handbook\Guess I'll just head back. response:	There's no place that I especially want to go.
context: I haven't been here since the class trip in middle school.\Maybe Hina and her sisters would like it if I brought back souvenirs for them.\Hey, where's Kiriyama?\I don't know. It's fine, right? This is our free time.\- So he's free to do what he wants. - Good point.\Checkmate Within 5 7 Turns Handbook\Guess I'll just head back.\There's no place that I especially want to go. response:	And that night...
context: Maybe Hina and her sisters would like it if I brought back souvenirs for them.\Hey, where's Kiriyama?\I don't know. It's fine, right? This is our free time.\- So he's free to do what he wants. - Good point.\Checkmate Within 5 7 Turns Handbook\Guess I'll just head back.\There's no place that I especially want to go.\And that night... response:	the pre-match reception for the fourth game of the Lion King Tournament began.
context: Hey, where's Kiriyama?\I don't know. It's fine, right? This is our free time.\- So he's free to do what he wants. - Good point.\Checkmate Within 5 7 Turns Handbook\Guess I'll just head back.\There's no place that I especially want to go.\And that night...\the pre-match reception for the fourth game of the Lion King Tournament began. response:	Mr. Shimada was surrounded by everyone and answered their questions with a smile.
context: I don't know. It's fine, right? This is our free time.\- So he's free to do what he wants. - Good point.\Checkmate Within 5 7 Turns Handbook\Guess I'll just head back.\There's no place that I especially want to go.\And that night...\the pre-match reception for the fourth game of the Lion King Tournament began.\Mr. Shimada was surrounded by everyone and answered their questions with a smile. response:	But he hasn't really eaten since last night.
context: - So he's free to do what he wants. - Good point.\Checkmate Within 5 7 Turns Handbook\Guess I'll just head back.\There's no place that I especially want to go.\And that night...\the pre-match reception for the fourth game of the Lion King Tournament began.\Mr. Shimada was surrounded by everyone and answered their questions with a smile.\But he hasn't really eaten since last night. response:	Even though he was in pain just now.
context: Checkmate Within 5 7 Turns Handbook\Guess I'll just head back.\There's no place that I especially want to go.\And that night...\the pre-match reception for the fourth game of the Lion King Tournament began.\Mr. Shimada was surrounded by everyone and answered their questions with a smile.\But he hasn't really eaten since last night.\Even though he was in pain just now. response:	You can't do this. If it keeps up until tomorrow, it'll be for nothing.
context: Guess I'll just head back.\There's no place that I especially want to go.\And that night...\the pre-match reception for the fourth game of the Lion King Tournament began.\Mr. Shimada was surrounded by everyone and answered their questions with a smile.\But he hasn't really eaten since last night.\Even though he was in pain just now.\You can't do this. If it keeps up until tomorrow, it'll be for nothing. response:	I'm painfully aware of that.
context: There's no place that I especially want to go.\And that night...\the pre-match reception for the fourth game of the Lion King Tournament began.\Mr. Shimada was surrounded by everyone and answered their questions with a smile.\But he hasn't really eaten since last night.\Even though he was in pain just now.\You can't do this. If it keeps up until tomorrow, it'll be for nothing.\I'm painfully aware of that. response:	The most important job is showing everyone a good match.
context: And that night...\the pre-match reception for the fourth game of the Lion King Tournament began.\Mr. Shimada was surrounded by everyone and answered their questions with a smile.\But he hasn't really eaten since last night.\Even though he was in pain just now.\You can't do this. If it keeps up until tomorrow, it'll be for nothing.\I'm painfully aware of that.\The most important job is showing everyone a good match. response:	But another important duty is standing before the people who prepared this place for us.
context: the pre-match reception for the fourth game of the Lion King Tournament began.\Mr. Shimada was surrounded by everyone and answered their questions with a smile.\But he hasn't really eaten since last night.\Even though he was in pain just now.\You can't do this. If it keeps up until tomorrow, it'll be for nothing.\I'm painfully aware of that.\The most important job is showing everyone a good match.\But another important duty is standing before the people who prepared this place for us. response:	I understand that. I understand, but...
context: Mr. Shimada was surrounded by everyone and answered their questions with a smile.\But he hasn't really eaten since last night.\Even though he was in pain just now.\You can't do this. If it keeps up until tomorrow, it'll be for nothing.\I'm painfully aware of that.\The most important job is showing everyone a good match.\But another important duty is standing before the people who prepared this place for us.\I understand that. I understand, but... response:	Every time there was a camera flash, I felt a pain in my chest.
context: But he hasn't really eaten since last night.\Even though he was in pain just now.\You can't do this. If it keeps up until tomorrow, it'll be for nothing.\I'm painfully aware of that.\The most important job is showing everyone a good match.\But another important duty is standing before the people who prepared this place for us.\I understand that. I understand, but...\Every time there was a camera flash, I felt a pain in my chest. response:	Mr. Shimada...
context: Even though he was in pain just now.\You can't do this. If it keeps up until tomorrow, it'll be for nothing.\I'm painfully aware of that.\The most important job is showing everyone a good match.\But another important duty is standing before the people who prepared this place for us.\I understand that. I understand, but...\Every time there was a camera flash, I felt a pain in my chest.\Mr. Shimada... response:	I had the feeling that each flash
context: You can't do this. If it keeps up until tomorrow, it'll be for nothing.\I'm painfully aware of that.\The most important job is showing everyone a good match.\But another important duty is standing before the people who prepared this place for us.\I understand that. I understand, but...\Every time there was a camera flash, I felt a pain in my chest.\Mr. Shimada...\I had the feeling that each flash response:	caused a burning sensation in Mr. Shimada's stomach.
context: I'm painfully aware of that.\The most important job is showing everyone a good match.\But another important duty is standing before the people who prepared this place for us.\I understand that. I understand, but...\Every time there was a camera flash, I felt a pain in my chest.\Mr. Shimada...\I had the feeling that each flash\caused a burning sensation in Mr. Shimada's stomach. response:	They're talking to each other?
context: The most important job is showing everyone a good match.\But another important duty is standing before the people who prepared this place for us.\I understand that. I understand, but...\Every time there was a camera flash, I felt a pain in my chest.\Mr. Shimada...\I had the feeling that each flash\caused a burning sensation in Mr. Shimada's stomach.\They're talking to each other? response:	Mr. Shimada?
context: But another important duty is standing before the people who prepared this place for us.\I understand that. I understand, but...\Every time there was a camera flash, I felt a pain in my chest.\Mr. Shimada...\I had the feeling that each flash\caused a burning sensation in Mr. Shimada's stomach.\They're talking to each other?\Mr. Shimada? response:	We're leaving, but quietly.
context: I understand that. I understand, but...\Every time there was a camera flash, I felt a pain in my chest.\Mr. Shimada...\I had the feeling that each flash\caused a burning sensation in Mr. Shimada's stomach.\They're talking to each other?\Mr. Shimada?\We're leaving, but quietly. response:	Why all of a sudden? Is it okay?
context: Every time there was a camera flash, I felt a pain in my chest.\Mr. Shimada...\I had the feeling that each flash\caused a burning sensation in Mr. Shimada's stomach.\They're talking to each other?\Mr. Shimada?\We're leaving, but quietly.\Why all of a sudden? Is it okay? response:	It's fine. I believe I carried out my duty.
context: Mr. Shimada...\I had the feeling that each flash\caused a burning sensation in Mr. Shimada's stomach.\They're talking to each other?\Mr. Shimada?\We're leaving, but quietly.\Why all of a sudden? Is it okay?\It's fine. I believe I carried out my duty. response:	He wanted to help me, and said, Leave the rest to me.
context: I had the feeling that each flash\caused a burning sensation in Mr. Shimada's stomach.\They're talking to each other?\Mr. Shimada?\We're leaving, but quietly.\Why all of a sudden? Is it okay?\It's fine. I believe I carried out my duty.\He wanted to help me, and said, Leave the rest to me. response:	Yo! Good job working the crowd.
context: caused a burning sensation in Mr. Shimada's stomach.\They're talking to each other?\Mr. Shimada?\We're leaving, but quietly.\Why all of a sudden? Is it okay?\It's fine. I believe I carried out my duty.\He wanted to help me, and said, Leave the rest to me.\Yo! Good job working the crowd. response:	Sorry, but I'd like to turn in early to be ready for tomorrow.
context: They're talking to each other?\Mr. Shimada?\We're leaving, but quietly.\Why all of a sudden? Is it okay?\It's fine. I believe I carried out my duty.\He wanted to help me, and said, Leave the rest to me.\Yo! Good job working the crowd.\Sorry, but I'd like to turn in early to be ready for tomorrow. response:	No problem, no problem.
context: Mr. Shimada?\We're leaving, but quietly.\Why all of a sudden? Is it okay?\It's fine. I believe I carried out my duty.\He wanted to help me, and said, Leave the rest to me.\Yo! Good job working the crowd.\Sorry, but I'd like to turn in early to be ready for tomorrow.\No problem, no problem. response:	If you just slip out, no one will notice.
context: We're leaving, but quietly.\Why all of a sudden? Is it okay?\It's fine. I believe I carried out my duty.\He wanted to help me, and said, Leave the rest to me.\Yo! Good job working the crowd.\Sorry, but I'd like to turn in early to be ready for tomorrow.\No problem, no problem.\If you just slip out, no one will notice. response:	Besides, everyone came here to see
context: Why all of a sudden? Is it okay?\It's fine. I believe I carried out my duty.\He wanted to help me, and said, Leave the rest to me.\Yo! Good job working the crowd.\Sorry, but I'd like to turn in early to be ready for tomorrow.\No problem, no problem.\If you just slip out, no one will notice.\Besides, everyone came here to see response:	So-u-ya!
context: It's fine. I believe I carried out my duty.\He wanted to help me, and said, Leave the rest to me.\Yo! Good job working the crowd.\Sorry, but I'd like to turn in early to be ready for tomorrow.\No problem, no problem.\If you just slip out, no one will notice.\Besides, everyone came here to see\So-u-ya! response:	So don't worry about it.
context: He wanted to help me, and said, Leave the rest to me.\Yo! Good job working the crowd.\Sorry, but I'd like to turn in early to be ready for tomorrow.\No problem, no problem.\If you just slip out, no one will notice.\Besides, everyone came here to see\So-u-ya!\So don't worry about it. response:	Chairman!
context: Yo! Good job working the crowd.\Sorry, but I'd like to turn in early to be ready for tomorrow.\No problem, no problem.\If you just slip out, no one will notice.\Besides, everyone came here to see\So-u-ya!\So don't worry about it.\Chairman! response:	Hey!
context: Sorry, but I'd like to turn in early to be ready for tomorrow.\No problem, no problem.\If you just slip out, no one will notice.\Besides, everyone came here to see\So-u-ya!\So don't worry about it.\Chairman!\Hey! response:	I know, right?
context: No problem, no problem.\If you just slip out, no one will notice.\Besides, everyone came here to see\So-u-ya!\So don't worry about it.\Chairman!\Hey!\I know, right? response:	Well, as long as I greet everyone, the rest is pretty much always a Souya photo shoot.
context: If you just slip out, no one will notice.\Besides, everyone came here to see\So-u-ya!\So don't worry about it.\Chairman!\Hey!\I know, right?\Well, as long as I greet everyone, the rest is pretty much always a Souya photo shoot. response:	I know. You've never really stood out too much.
context: Besides, everyone came here to see\So-u-ya!\So don't worry about it.\Chairman!\Hey!\I know, right?\Well, as long as I greet everyone, the rest is pretty much always a Souya photo shoot.\I know. You've never really stood out too much. response:	Or stood much at all...
context: So-u-ya!\So don't worry about it.\Chairman!\Hey!\I know, right?\Well, as long as I greet everyone, the rest is pretty much always a Souya photo shoot.\I know. You've never really stood out too much.\Or stood much at all... response:	Chairman... Chairman, please, enough... Really, I think that's enough...
context: So don't worry about it.\Chairman!\Hey!\I know, right?\Well, as long as I greet everyone, the rest is pretty much always a Souya photo shoot.\I know. You've never really stood out too much.\Or stood much at all...\Chairman... Chairman, please, enough... Really, I think that's enough... response:	He really does piss me off.
context: Chairman!\Hey!\I know, right?\Well, as long as I greet everyone, the rest is pretty much always a Souya photo shoot.\I know. You've never really stood out too much.\Or stood much at all...\Chairman... Chairman, please, enough... Really, I think that's enough...\He really does piss me off. response:	The way his skin is so shiny, or how fluffy he is...
context: Hey!\I know, right?\Well, as long as I greet everyone, the rest is pretty much always a Souya photo shoot.\I know. You've never really stood out too much.\Or stood much at all...\Chairman... Chairman, please, enough... Really, I think that's enough...\He really does piss me off.\The way his skin is so shiny, or how fluffy he is... response:	Heeheehee
context: I know, right?\Well, as long as I greet everyone, the rest is pretty much always a Souya photo shoot.\I know. You've never really stood out too much.\Or stood much at all...\Chairman... Chairman, please, enough... Really, I think that's enough...\He really does piss me off.\The way his skin is so shiny, or how fluffy he is...\Heeheehee response:	I know, right? Even though you're the same age.
context: Well, as long as I greet everyone, the rest is pretty much always a Souya photo shoot.\I know. You've never really stood out too much.\Or stood much at all...\Chairman... Chairman, please, enough... Really, I think that's enough...\He really does piss me off.\The way his skin is so shiny, or how fluffy he is...\Heeheehee\I know, right? Even though you're the same age. response:	If anything, you and Gotou seem like the same age.
context: I know. You've never really stood out too much.\Or stood much at all...\Chairman... Chairman, please, enough... Really, I think that's enough...\He really does piss me off.\The way his skin is so shiny, or how fluffy he is...\Heeheehee\I know, right? Even though you're the same age.\If anything, you and Gotou seem like the same age. response:	Oh, that's right, Kiriyama.
context: Or stood much at all...\Chairman... Chairman, please, enough... Really, I think that's enough...\He really does piss me off.\The way his skin is so shiny, or how fluffy he is...\Heeheehee\I know, right? Even though you're the same age.\If anything, you and Gotou seem like the same age.\Oh, that's right, Kiriyama. response:	I asked Smith to help you with a room, so go talk to him.
context: Chairman... Chairman, please, enough... Really, I think that's enough...\He really does piss me off.\The way his skin is so shiny, or how fluffy he is...\Heeheehee\I know, right? Even though you're the same age.\If anything, you and Gotou seem like the same age.\Oh, that's right, Kiriyama.\I asked Smith to help you with a room, so go talk to him. response:	He's here as a substitute observer.
context: He really does piss me off.\The way his skin is so shiny, or how fluffy he is...\Heeheehee\I know, right? Even though you're the same age.\If anything, you and Gotou seem like the same age.\Oh, that's right, Kiriyama.\I asked Smith to help you with a room, so go talk to him.\He's here as a substitute observer. response:	It's okay. I can go to an internet cafe.
context: The way his skin is so shiny, or how fluffy he is...\Heeheehee\I know, right? Even though you're the same age.\If anything, you and Gotou seem like the same age.\Oh, that's right, Kiriyama.\I asked Smith to help you with a room, so go talk to him.\He's here as a substitute observer.\It's okay. I can go to an internet cafe. response:	Idiot, you're not going to some cafe.
context: Heeheehee\I know, right? Even though you're the same age.\If anything, you and Gotou seem like the same age.\Oh, that's right, Kiriyama.\I asked Smith to help you with a room, so go talk to him.\He's here as a substitute observer.\It's okay. I can go to an internet cafe.\Idiot, you're not going to some cafe. response:	Listen. Smith is in the hall, so go find him.
context: I know, right? Even though you're the same age.\If anything, you and Gotou seem like the same age.\Oh, that's right, Kiriyama.\I asked Smith to help you with a room, so go talk to him.\He's here as a substitute observer.\It's okay. I can go to an internet cafe.\Idiot, you're not going to some cafe.\Listen. Smith is in the hall, so go find him. response:	Okay, goodnight.
context: If anything, you and Gotou seem like the same age.\Oh, that's right, Kiriyama.\I asked Smith to help you with a room, so go talk to him.\He's here as a substitute observer.\It's okay. I can go to an internet cafe.\Idiot, you're not going to some cafe.\Listen. Smith is in the hall, so go find him.\Okay, goodnight. response:	- Have a good night! - See you.
