context: Is this the place that the monk spoke of?! response:	A hair cord...
context: We shall meet again.\How long will you linger... Sister?\She's gone.\Inuyasha, Kagome wasn't her usual self.\Just what happened with Kikyo?\What you always do with women...\Huh?!\You! You participated in such an act in front of Kagome?! response:	Whaddya usually do?!
context: How long will you linger... Sister?\She's gone.\Inuyasha, Kagome wasn't her usual self.\Just what happened with Kikyo?\What you always do with women...\Huh?!\You! You participated in such an act in front of Kagome?!\Whaddya usually do?! response:	Huh?
context: She's gone.\Inuyasha, Kagome wasn't her usual self.\Just what happened with Kikyo?\What you always do with women...\Huh?!\You! You participated in such an act in front of Kagome?!\Whaddya usually do?!\Huh? response:	Will Kagome come back?
context: Inuyasha, Kagome wasn't her usual self.\Just what happened with Kikyo?\What you always do with women...\Huh?!\You! You participated in such an act in front of Kagome?!\Whaddya usually do?!\Huh?\Will Kagome come back? response:	She seemed to be quite troubled.
context: Just what happened with Kikyo?\What you always do with women...\Huh?!\You! You participated in such an act in front of Kagome?!\Whaddya usually do?!\Huh?\Will Kagome come back?\She seemed to be quite troubled. response:	Never a day went by without my thinking of you!
context: What you always do with women...\Huh?!\You! You participated in such an act in front of Kagome?!\Whaddya usually do?!\Huh?\Will Kagome come back?\She seemed to be quite troubled.\Never a day went by without my thinking of you! response:	I spoke the truth.
context: Huh?!\You! You participated in such an act in front of Kagome?!\Whaddya usually do?!\Huh?\Will Kagome come back?\She seemed to be quite troubled.\Never a day went by without my thinking of you!\I spoke the truth. response:	My feeling when my lips were against yours...was real.
context: You! You participated in such an act in front of Kagome?!\Whaddya usually do?!\Huh?\Will Kagome come back?\She seemed to be quite troubled.\Never a day went by without my thinking of you!\I spoke the truth.\My feeling when my lips were against yours...was real. response:	And my words were real.
context: Whaddya usually do?!\Huh?\Will Kagome come back?\She seemed to be quite troubled.\Never a day went by without my thinking of you!\I spoke the truth.\My feeling when my lips were against yours...was real.\And my words were real. response:	Is that girl more dear to you?
context: Huh?\Will Kagome come back?\She seemed to be quite troubled.\Never a day went by without my thinking of you!\I spoke the truth.\My feeling when my lips were against yours...was real.\And my words were real.\Is that girl more dear to you? response:	Now then, what will you do, Inuyasha?
context: Will Kagome come back?\She seemed to be quite troubled.\Never a day went by without my thinking of you!\I spoke the truth.\My feeling when my lips were against yours...was real.\And my words were real.\Is that girl more dear to you?\Now then, what will you do, Inuyasha? response:	Kikyo could not have gone far. Will you go after her?
context: She seemed to be quite troubled.\Never a day went by without my thinking of you!\I spoke the truth.\My feeling when my lips were against yours...was real.\And my words were real.\Is that girl more dear to you?\Now then, what will you do, Inuyasha?\Kikyo could not have gone far. Will you go after her? response:	Hey! Isn't Kagome more precious?
context: Never a day went by without my thinking of you!\I spoke the truth.\My feeling when my lips were against yours...was real.\And my words were real.\Is that girl more dear to you?\Now then, what will you do, Inuyasha?\Kikyo could not have gone far. Will you go after her?\Hey! Isn't Kagome more precious? response:	Inuyasha, hurry and make up with her!
context: I spoke the truth.\My feeling when my lips were against yours...was real.\And my words were real.\Is that girl more dear to you?\Now then, what will you do, Inuyasha?\Kikyo could not have gone far. Will you go after her?\Hey! Isn't Kagome more precious?\Inuyasha, hurry and make up with her! response:	What's the matter with me?
context: My feeling when my lips were against yours...was real.\And my words were real.\Is that girl more dear to you?\Now then, what will you do, Inuyasha?\Kikyo could not have gone far. Will you go after her?\Hey! Isn't Kagome more precious?\Inuyasha, hurry and make up with her!\What's the matter with me? response:	I was in such a daze, I forgot all my things back there.
context: And my words were real.\Is that girl more dear to you?\Now then, what will you do, Inuyasha?\Kikyo could not have gone far. Will you go after her?\Hey! Isn't Kagome more precious?\Inuyasha, hurry and make up with her!\What's the matter with me?\I was in such a daze, I forgot all my things back there. response:	Hey, is anyone there?
context: Is that girl more dear to you?\Now then, what will you do, Inuyasha?\Kikyo could not have gone far. Will you go after her?\Hey! Isn't Kagome more precious?\Inuyasha, hurry and make up with her!\What's the matter with me?\I was in such a daze, I forgot all my things back there.\Hey, is anyone there? response:	What will you do, Inuyasha?
context: Now then, what will you do, Inuyasha?\Kikyo could not have gone far. Will you go after her?\Hey! Isn't Kagome more precious?\Inuyasha, hurry and make up with her!\What's the matter with me?\I was in such a daze, I forgot all my things back there.\Hey, is anyone there?\What will you do, Inuyasha? response:	Who will you choose?!
context: Kikyo could not have gone far. Will you go after her?\Hey! Isn't Kagome more precious?\Inuyasha, hurry and make up with her!\What's the matter with me?\I was in such a daze, I forgot all my things back there.\Hey, is anyone there?\What will you do, Inuyasha?\Who will you choose?! response:	Now then!
context: Hey! Isn't Kagome more precious?\Inuyasha, hurry and make up with her!\What's the matter with me?\I was in such a daze, I forgot all my things back there.\Hey, is anyone there?\What will you do, Inuyasha?\Who will you choose?!\Now then! response:	Well?!
context: Inuyasha, hurry and make up with her!\What's the matter with me?\I was in such a daze, I forgot all my things back there.\Hey, is anyone there?\What will you do, Inuyasha?\Who will you choose?!\Now then!\Well?! response:	Can't I choose both?
context: What's the matter with me?\I was in such a daze, I forgot all my things back there.\Hey, is anyone there?\What will you do, Inuyasha?\Who will you choose?!\Now then!\Well?!\Can't I choose both? response:	You... two-timing!
context: I was in such a daze, I forgot all my things back there.\Hey, is anyone there?\What will you do, Inuyasha?\Who will you choose?!\Now then!\Well?!\Can't I choose both?\You... two-timing! response:	Well, it often happens with men.
context: Hey, is anyone there?\What will you do, Inuyasha?\Who will you choose?!\Now then!\Well?!\Can't I choose both?\You... two-timing!\Well, it often happens with men. response:	However, no matter what happens, she must not find out.
context: What will you do, Inuyasha?\Who will you choose?!\Now then!\Well?!\Can't I choose both?\You... two-timing!\Well, it often happens with men.\However, no matter what happens, she must not find out. response:	If what you just said should ever leak out...
context: Who will you choose?!\Now then!\Well?!\Can't I choose both?\You... two-timing!\Well, it often happens with men.\However, no matter what happens, she must not find out.\If what you just said should ever leak out... response:	Sit!
context: Now then!\Well?!\Can't I choose both?\You... two-timing!\Well, it often happens with men.\However, no matter what happens, she must not find out.\If what you just said should ever leak out...\Sit! response:	Yes, it's sit.
context: Well?!\Can't I choose both?\You... two-timing!\Well, it often happens with men.\However, no matter what happens, she must not find out.\If what you just said should ever leak out...\Sit!\Yes, it's sit. response:	It means divine punishment for you.
context: Can't I choose both?\You... two-timing!\Well, it often happens with men.\However, no matter what happens, she must not find out.\If what you just said should ever leak out...\Sit!\Yes, it's sit.\It means divine punishment for you. response:	Poor Inuyasha... He wasn't being malicious.
context: You... two-timing!\Well, it often happens with men.\However, no matter what happens, she must not find out.\If what you just said should ever leak out...\Sit!\Yes, it's sit.\It means divine punishment for you.\Poor Inuyasha... He wasn't being malicious. response:	We learn that a village nearby specializes in demon extermination.
context: Well, it often happens with men.\However, no matter what happens, she must not find out.\If what you just said should ever leak out...\Sit!\Yes, it's sit.\It means divine punishment for you.\Poor Inuyasha... He wasn't being malicious.\We learn that a village nearby specializes in demon extermination. response:	Maybe we can gain information about the Sacred Jewel fragments.
context: However, no matter what happens, she must not find out.\If what you just said should ever leak out...\Sit!\Yes, it's sit.\It means divine punishment for you.\Poor Inuyasha... He wasn't being malicious.\We learn that a village nearby specializes in demon extermination.\Maybe we can gain information about the Sacred Jewel fragments. response:	It turns out we are not the only ones who thought along that line.
context: If what you just said should ever leak out...\Sit!\Yes, it's sit.\It means divine punishment for you.\Poor Inuyasha... He wasn't being malicious.\We learn that a village nearby specializes in demon extermination.\Maybe we can gain information about the Sacred Jewel fragments.\It turns out we are not the only ones who thought along that line. response:	Chain-Scythes attack the fellow demon terminators!
context: Sit!\Yes, it's sit.\It means divine punishment for you.\Poor Inuyasha... He wasn't being malicious.\We learn that a village nearby specializes in demon extermination.\Maybe we can gain information about the Sacred Jewel fragments.\It turns out we are not the only ones who thought along that line.\Chain-Scythes attack the fellow demon terminators! response:	The village under seize! A brother and a sister trapped!
context: Yes, it's sit.\It means divine punishment for you.\Poor Inuyasha... He wasn't being malicious.\We learn that a village nearby specializes in demon extermination.\Maybe we can gain information about the Sacred Jewel fragments.\It turns out we are not the only ones who thought along that line.\Chain-Scythes attack the fellow demon terminators!\The village under seize! A brother and a sister trapped! response:	Is everything arranged by... him?
context: It means divine punishment for you.\Poor Inuyasha... He wasn't being malicious.\We learn that a village nearby specializes in demon extermination.\Maybe we can gain information about the Sacred Jewel fragments.\It turns out we are not the only ones who thought along that line.\Chain-Scythes attack the fellow demon terminators!\The village under seize! A brother and a sister trapped!\Is everything arranged by... him? response:	Next on Inuyasha: Enter Sango the Demon Slayer!
context: Poor Inuyasha... He wasn't being malicious.\We learn that a village nearby specializes in demon extermination.\Maybe we can gain information about the Sacred Jewel fragments.\It turns out we are not the only ones who thought along that line.\Chain-Scythes attack the fellow demon terminators!\The village under seize! A brother and a sister trapped!\Is everything arranged by... him?\Next on Inuyasha: Enter Sango the Demon Slayer! response:	Don't miss it!
