context: Ladies and gentlemen, good evening. response:	On that stormy day that announced the end of spring,
context: All high and mighty...\How do I look? Not too strange, I hope?\It looks wonderful on you.\What?\Thank goodness. You're more upbeat than I expected.\Gee, thanks.\For a visit to the Count's place, that outfit isn't quite flamboyant enough, don't you think?\Not flamboyant enough? response:	Albert? What in the world are you wearing?
context: How do I look? Not too strange, I hope?\It looks wonderful on you.\What?\Thank goodness. You're more upbeat than I expected.\Gee, thanks.\For a visit to the Count's place, that outfit isn't quite flamboyant enough, don't you think?\Not flamboyant enough?\Albert? What in the world are you wearing? response:	What's wrong with it?
context: It looks wonderful on you.\What?\Thank goodness. You're more upbeat than I expected.\Gee, thanks.\For a visit to the Count's place, that outfit isn't quite flamboyant enough, don't you think?\Not flamboyant enough?\Albert? What in the world are you wearing?\What's wrong with it? response:	Where do I even begin?
context: What?\Thank goodness. You're more upbeat than I expected.\Gee, thanks.\For a visit to the Count's place, that outfit isn't quite flamboyant enough, don't you think?\Not flamboyant enough?\Albert? What in the world are you wearing?\What's wrong with it?\Where do I even begin? response:	I'll never understand the ways of you aristocrats.
context: Thank goodness. You're more upbeat than I expected.\Gee, thanks.\For a visit to the Count's place, that outfit isn't quite flamboyant enough, don't you think?\Not flamboyant enough?\Albert? What in the world are you wearing?\What's wrong with it?\Where do I even begin?\I'll never understand the ways of you aristocrats. response:	Why are you dressed like a pirate?!
context: Gee, thanks.\For a visit to the Count's place, that outfit isn't quite flamboyant enough, don't you think?\Not flamboyant enough?\Albert? What in the world are you wearing?\What's wrong with it?\Where do I even begin?\I'll never understand the ways of you aristocrats.\Why are you dressed like a pirate?! response:	Uh, what are you even doing here, Beauchamp?
context: For a visit to the Count's place, that outfit isn't quite flamboyant enough, don't you think?\Not flamboyant enough?\Albert? What in the world are you wearing?\What's wrong with it?\Where do I even begin?\I'll never understand the ways of you aristocrats.\Why are you dressed like a pirate?!\Uh, what are you even doing here, Beauchamp? response:	You don't expect me to miss my chance to get photos of the Count's mansion, do you?
context: Not flamboyant enough?\Albert? What in the world are you wearing?\What's wrong with it?\Where do I even begin?\I'll never understand the ways of you aristocrats.\Why are you dressed like a pirate?!\Uh, what are you even doing here, Beauchamp?\You don't expect me to miss my chance to get photos of the Count's mansion, do you? response:	Oh, brother. And here I had hoped to go there by myself, if at all possible.
context: Albert? What in the world are you wearing?\What's wrong with it?\Where do I even begin?\I'll never understand the ways of you aristocrats.\Why are you dressed like a pirate?!\Uh, what are you even doing here, Beauchamp?\You don't expect me to miss my chance to get photos of the Count's mansion, do you?\Oh, brother. And here I had hoped to go there by myself, if at all possible. response:	That day when I first met you, you made me realize that there is always hope,
context: What's wrong with it?\Where do I even begin?\I'll never understand the ways of you aristocrats.\Why are you dressed like a pirate?!\Uh, what are you even doing here, Beauchamp?\You don't expect me to miss my chance to get photos of the Count's mansion, do you?\Oh, brother. And here I had hoped to go there by myself, if at all possible.\That day when I first met you, you made me realize that there is always hope, response:	I will never forget that lesson.
context: Where do I even begin?\I'll never understand the ways of you aristocrats.\Why are you dressed like a pirate?!\Uh, what are you even doing here, Beauchamp?\You don't expect me to miss my chance to get photos of the Count's mansion, do you?\Oh, brother. And here I had hoped to go there by myself, if at all possible.\That day when I first met you, you made me realize that there is always hope,\I will never forget that lesson. response:	Hope...
context: I'll never understand the ways of you aristocrats.\Why are you dressed like a pirate?!\Uh, what are you even doing here, Beauchamp?\You don't expect me to miss my chance to get photos of the Count's mansion, do you?\Oh, brother. And here I had hoped to go there by myself, if at all possible.\That day when I first met you, you made me realize that there is always hope,\I will never forget that lesson.\Hope... response:	When I was flung out of the Chateau d'lf into the black void of space,
context: Why are you dressed like a pirate?!\Uh, what are you even doing here, Beauchamp?\You don't expect me to miss my chance to get photos of the Count's mansion, do you?\Oh, brother. And here I had hoped to go there by myself, if at all possible.\That day when I first met you, you made me realize that there is always hope,\I will never forget that lesson.\Hope...\When I was flung out of the Chateau d'lf into the black void of space, response:	You're sure this is it?
context: Uh, what are you even doing here, Beauchamp?\You don't expect me to miss my chance to get photos of the Count's mansion, do you?\Oh, brother. And here I had hoped to go there by myself, if at all possible.\That day when I first met you, you made me realize that there is always hope,\I will never forget that lesson.\Hope...\When I was flung out of the Chateau d'lf into the black void of space,\You're sure this is it? response:	Yep. number thirty, Champs-Elysees. No doubt about it.
context: You don't expect me to miss my chance to get photos of the Count's mansion, do you?\Oh, brother. And here I had hoped to go there by myself, if at all possible.\That day when I first met you, you made me realize that there is always hope,\I will never forget that lesson.\Hope...\When I was flung out of the Chateau d'lf into the black void of space,\You're sure this is it?\Yep. number thirty, Champs-Elysees. No doubt about it. response:	It's a lot more austere than I expected it to be, considering the Count.
context: Oh, brother. And here I had hoped to go there by myself, if at all possible.\That day when I first met you, you made me realize that there is always hope,\I will never forget that lesson.\Hope...\When I was flung out of the Chateau d'lf into the black void of space,\You're sure this is it?\Yep. number thirty, Champs-Elysees. No doubt about it.\It's a lot more austere than I expected it to be, considering the Count. response:	I was expecting the sort of place that would drive a commoner into a rage if he saw it.
context: That day when I first met you, you made me realize that there is always hope,\I will never forget that lesson.\Hope...\When I was flung out of the Chateau d'lf into the black void of space,\You're sure this is it?\Yep. number thirty, Champs-Elysees. No doubt about it.\It's a lot more austere than I expected it to be, considering the Count.\I was expecting the sort of place that would drive a commoner into a rage if he saw it. response:	Early Rococo, huh? And not Revival, either.
context: I will never forget that lesson.\Hope...\When I was flung out of the Chateau d'lf into the black void of space,\You're sure this is it?\Yep. number thirty, Champs-Elysees. No doubt about it.\It's a lot more austere than I expected it to be, considering the Count.\I was expecting the sort of place that would drive a commoner into a rage if he saw it.\Early Rococo, huh? And not Revival, either. response:	Isn't this amazing?
context: Hope...\When I was flung out of the Chateau d'lf into the black void of space,\You're sure this is it?\Yep. number thirty, Champs-Elysees. No doubt about it.\It's a lot more austere than I expected it to be, considering the Count.\I was expecting the sort of place that would drive a commoner into a rage if he saw it.\Early Rococo, huh? And not Revival, either.\Isn't this amazing? response:	Well, it's a bit too far removed from my world...
context: When I was flung out of the Chateau d'lf into the black void of space,\You're sure this is it?\Yep. number thirty, Champs-Elysees. No doubt about it.\It's a lot more austere than I expected it to be, considering the Count.\I was expecting the sort of place that would drive a commoner into a rage if he saw it.\Early Rococo, huh? And not Revival, either.\Isn't this amazing?\Well, it's a bit too far removed from my world... response:	Please pardon the delay. Allow me to show you to the Count.
context: You're sure this is it?\Yep. number thirty, Champs-Elysees. No doubt about it.\It's a lot more austere than I expected it to be, considering the Count.\I was expecting the sort of place that would drive a commoner into a rage if he saw it.\Early Rococo, huh? And not Revival, either.\Isn't this amazing?\Well, it's a bit too far removed from my world...\Please pardon the delay. Allow me to show you to the Count. response:	What the...?
context: Yep. number thirty, Champs-Elysees. No doubt about it.\It's a lot more austere than I expected it to be, considering the Count.\I was expecting the sort of place that would drive a commoner into a rage if he saw it.\Early Rococo, huh? And not Revival, either.\Isn't this amazing?\Well, it's a bit too far removed from my world...\Please pardon the delay. Allow me to show you to the Count.\What the...? response:	We're going down!
context: It's a lot more austere than I expected it to be, considering the Count.\I was expecting the sort of place that would drive a commoner into a rage if he saw it.\Early Rococo, huh? And not Revival, either.\Isn't this amazing?\Well, it's a bit too far removed from my world...\Please pardon the delay. Allow me to show you to the Count.\What the...?\We're going down! response:	Baptistin, where are we going?
context: I was expecting the sort of place that would drive a commoner into a rage if he saw it.\Early Rococo, huh? And not Revival, either.\Isn't this amazing?\Well, it's a bit too far removed from my world...\Please pardon the delay. Allow me to show you to the Count.\What the...?\We're going down!\Baptistin, where are we going? response:	We've stopped!
context: Early Rococo, huh? And not Revival, either.\Isn't this amazing?\Well, it's a bit too far removed from my world...\Please pardon the delay. Allow me to show you to the Count.\What the...?\We're going down!\Baptistin, where are we going?\We've stopped! response:	That's...
context: Isn't this amazing?\Well, it's a bit too far removed from my world...\Please pardon the delay. Allow me to show you to the Count.\What the...?\We're going down!\Baptistin, where are we going?\We've stopped!\That's... response:	Even the floor and columns are gold... The man has expensive tastes.
context: Well, it's a bit too far removed from my world...\Please pardon the delay. Allow me to show you to the Count.\What the...?\We're going down!\Baptistin, where are we going?\We've stopped!\That's...\Even the floor and columns are gold... The man has expensive tastes. response:	Where could he have gotten this much gold?
context: Please pardon the delay. Allow me to show you to the Count.\What the...?\We're going down!\Baptistin, where are we going?\We've stopped!\That's...\Even the floor and columns are gold... The man has expensive tastes.\Where could he have gotten this much gold? response:	That's why I think there's something fishy about him.
context: What the...?\We're going down!\Baptistin, where are we going?\We've stopped!\That's...\Even the floor and columns are gold... The man has expensive tastes.\Where could he have gotten this much gold?\That's why I think there's something fishy about him. response:	At this rate, I bet his bed and pillows are gonna be solid gold, too.
context: We're going down!\Baptistin, where are we going?\We've stopped!\That's...\Even the floor and columns are gold... The man has expensive tastes.\Where could he have gotten this much gold?\That's why I think there's something fishy about him.\At this rate, I bet his bed and pillows are gonna be solid gold, too. response:	I'd never be able to fall asleep with all this glare.
context: Baptistin, where are we going?\We've stopped!\That's...\Even the floor and columns are gold... The man has expensive tastes.\Where could he have gotten this much gold?\That's why I think there's something fishy about him.\At this rate, I bet his bed and pillows are gonna be solid gold, too.\I'd never be able to fall asleep with all this glare. response:	Hey! Look at that!
context: We've stopped!\That's...\Even the floor and columns are gold... The man has expensive tastes.\Where could he have gotten this much gold?\That's why I think there's something fishy about him.\At this rate, I bet his bed and pillows are gonna be solid gold, too.\I'd never be able to fall asleep with all this glare.\Hey! Look at that! response:	That's...
context: That's...\Even the floor and columns are gold... The man has expensive tastes.\Where could he have gotten this much gold?\That's why I think there's something fishy about him.\At this rate, I bet his bed and pillows are gonna be solid gold, too.\I'd never be able to fall asleep with all this glare.\Hey! Look at that!\That's... response:	The sea?
context: Even the floor and columns are gold... The man has expensive tastes.\Where could he have gotten this much gold?\That's why I think there's something fishy about him.\At this rate, I bet his bed and pillows are gonna be solid gold, too.\I'd never be able to fall asleep with all this glare.\Hey! Look at that!\That's...\The sea? response:	No, wait. Look at that sky!
context: Where could he have gotten this much gold?\That's why I think there's something fishy about him.\At this rate, I bet his bed and pillows are gonna be solid gold, too.\I'd never be able to fall asleep with all this glare.\Hey! Look at that!\That's...\The sea?\No, wait. Look at that sky! response:	It's artificial?
context: That's why I think there's something fishy about him.\At this rate, I bet his bed and pillows are gonna be solid gold, too.\I'd never be able to fall asleep with all this glare.\Hey! Look at that!\That's...\The sea?\No, wait. Look at that sky!\It's artificial? response:	I can't believe it...
context: At this rate, I bet his bed and pillows are gonna be solid gold, too.\I'd never be able to fall asleep with all this glare.\Hey! Look at that!\That's...\The sea?\No, wait. Look at that sky!\It's artificial?\I can't believe it... response:	This alone would make one hell of a story.
context: I'd never be able to fall asleep with all this glare.\Hey! Look at that!\That's...\The sea?\No, wait. Look at that sky!\It's artificial?\I can't believe it...\This alone would make one hell of a story. response:	This is so beautiful...
context: Hey! Look at that!\That's...\The sea?\No, wait. Look at that sky!\It's artificial?\I can't believe it...\This alone would make one hell of a story.\This is so beautiful... response:	Wait, I know this view!
context: That's...\The sea?\No, wait. Look at that sky!\It's artificial?\I can't believe it...\This alone would make one hell of a story.\This is so beautiful...\Wait, I know this view! response:	That look suits you quite well, Sir Pirate.
context: The sea?\No, wait. Look at that sky!\It's artificial?\I can't believe it...\This alone would make one hell of a story.\This is so beautiful...\Wait, I know this view!\That look suits you quite well, Sir Pirate. response:	Count!
context: No, wait. Look at that sky!\It's artificial?\I can't believe it...\This alone would make one hell of a story.\This is so beautiful...\Wait, I know this view!\That look suits you quite well, Sir Pirate.\Count! response:	Wha...?
context: It's artificial?\I can't believe it...\This alone would make one hell of a story.\This is so beautiful...\Wait, I know this view!\That look suits you quite well, Sir Pirate.\Count!\Wha...? response:	If you don't mind, I would like you to have this, Sir Pirate.
context: I can't believe it...\This alone would make one hell of a story.\This is so beautiful...\Wait, I know this view!\That look suits you quite well, Sir Pirate.\Count!\Wha...?\If you don't mind, I would like you to have this, Sir Pirate. response:	I was given this blade by a certain ship's navigator.
context: This alone would make one hell of a story.\This is so beautiful...\Wait, I know this view!\That look suits you quite well, Sir Pirate.\Count!\Wha...?\If you don't mind, I would like you to have this, Sir Pirate.\I was given this blade by a certain ship's navigator. response:	Perhaps it will serve to protect you, as well as to carve a path for you.
context: This is so beautiful...\Wait, I know this view!\That look suits you quite well, Sir Pirate.\Count!\Wha...?\If you don't mind, I would like you to have this, Sir Pirate.\I was given this blade by a certain ship's navigator.\Perhaps it will serve to protect you, as well as to carve a path for you. response:	When we meet someone,
context: Wait, I know this view!\That look suits you quite well, Sir Pirate.\Count!\Wha...?\If you don't mind, I would like you to have this, Sir Pirate.\I was given this blade by a certain ship's navigator.\Perhaps it will serve to protect you, as well as to carve a path for you.\When we meet someone, response:	Next time on Gankutsuou, The Count of Monte Cristo, act 5,
context: That look suits you quite well, Sir Pirate.\Count!\Wha...?\If you don't mind, I would like you to have this, Sir Pirate.\I was given this blade by a certain ship's navigator.\Perhaps it will serve to protect you, as well as to carve a path for you.\When we meet someone,\Next time on Gankutsuou, The Count of Monte Cristo, act 5, response:	Act 5: Do You Love Your Fiancee?
context: Count!\Wha...?\If you don't mind, I would like you to have this, Sir Pirate.\I was given this blade by a certain ship's navigator.\Perhaps it will serve to protect you, as well as to carve a path for you.\When we meet someone,\Next time on Gankutsuou, The Count of Monte Cristo, act 5,\Act 5: Do You Love Your Fiancee? response:	Bide your time, and hold out hope!
