context: I haven't seen you here in a while. response:	That will be normal until the plan to
context: Roger!\Such is the situation.\The leader this time will be Toshikazu Asagi.\Izuru Hitachi will remain on standby.\I can fight!\Red 5 is still undergoing repairs.\Ange Kuroki will be the forward.\Everything else will be the same as usual. response:	Roger!
context: Such is the situation.\The leader this time will be Toshikazu Asagi.\Izuru Hitachi will remain on standby.\I can fight!\Red 5 is still undergoing repairs.\Ange Kuroki will be the forward.\Everything else will be the same as usual.\Roger! response:	We're too outnumbered... We can't even retreat.
context: The leader this time will be Toshikazu Asagi.\Izuru Hitachi will remain on standby.\I can fight!\Red 5 is still undergoing repairs.\Ange Kuroki will be the forward.\Everything else will be the same as usual.\Roger!\We're too outnumbered... We can't even retreat. response:	Until reinforcements arrive, preserving our forces takes precedence!
context: Izuru Hitachi will remain on standby.\I can fight!\Red 5 is still undergoing repairs.\Ange Kuroki will be the forward.\Everything else will be the same as usual.\Roger!\We're too outnumbered... We can't even retreat.\Until reinforcements arrive, preserving our forces takes precedence! response:	At least tell us, Take them all down!
context: I can fight!\Red 5 is still undergoing repairs.\Ange Kuroki will be the forward.\Everything else will be the same as usual.\Roger!\We're too outnumbered... We can't even retreat.\Until reinforcements arrive, preserving our forces takes precedence!\At least tell us, Take them all down! response:	Overconfidence can be dangerous, but we should be fine.
context: Red 5 is still undergoing repairs.\Ange Kuroki will be the forward.\Everything else will be the same as usual.\Roger!\We're too outnumbered... We can't even retreat.\Until reinforcements arrive, preserving our forces takes precedence!\At least tell us, Take them all down!\Overconfidence can be dangerous, but we should be fine. response:	This is still within reason!
context: Ange Kuroki will be the forward.\Everything else will be the same as usual.\Roger!\We're too outnumbered... We can't even retreat.\Until reinforcements arrive, preserving our forces takes precedence!\At least tell us, Take them all down!\Overconfidence can be dangerous, but we should be fine.\This is still within reason! response:	I'll treat you to dinner when you come back.
context: Everything else will be the same as usual.\Roger!\We're too outnumbered... We can't even retreat.\Until reinforcements arrive, preserving our forces takes precedence!\At least tell us, Take them all down!\Overconfidence can be dangerous, but we should be fine.\This is still within reason!\I'll treat you to dinner when you come back. response:	Lucky!
context: Roger!\We're too outnumbered... We can't even retreat.\Until reinforcements arrive, preserving our forces takes precedence!\At least tell us, Take them all down!\Overconfidence can be dangerous, but we should be fine.\This is still within reason!\I'll treat you to dinner when you come back.\Lucky! response:	That's a death flag, so don't say that!
context: We're too outnumbered... We can't even retreat.\Until reinforcements arrive, preserving our forces takes precedence!\At least tell us, Take them all down!\Overconfidence can be dangerous, but we should be fine.\This is still within reason!\I'll treat you to dinner when you come back.\Lucky!\That's a death flag, so don't say that! response:	If I went out, those enemies would be...
context: Until reinforcements arrive, preserving our forces takes precedence!\At least tell us, Take them all down!\Overconfidence can be dangerous, but we should be fine.\This is still within reason!\I'll treat you to dinner when you come back.\Lucky!\That's a death flag, so don't say that!\If I went out, those enemies would be... response:	Enemy company sighted!
context: At least tell us, Take them all down!\Overconfidence can be dangerous, but we should be fine.\This is still within reason!\I'll treat you to dinner when you come back.\Lucky!\That's a death flag, so don't say that!\If I went out, those enemies would be...\Enemy company sighted! response:	The target has split into five groups and is headed for us!
context: Overconfidence can be dangerous, but we should be fine.\This is still within reason!\I'll treat you to dinner when you come back.\Lucky!\That's a death flag, so don't say that!\If I went out, those enemies would be...\Enemy company sighted!\The target has split into five groups and is headed for us! response:	Their relative speed-
context: This is still within reason!\I'll treat you to dinner when you come back.\Lucky!\That's a death flag, so don't say that!\If I went out, those enemies would be...\Enemy company sighted!\The target has split into five groups and is headed for us!\Their relative speed- response:	They're here!
context: I'll treat you to dinner when you come back.\Lucky!\That's a death flag, so don't say that!\If I went out, those enemies would be...\Enemy company sighted!\The target has split into five groups and is headed for us!\Their relative speed-\They're here! response:	What?!
context: Lucky!\That's a death flag, so don't say that!\If I went out, those enemies would be...\Enemy company sighted!\The target has split into five groups and is headed for us!\Their relative speed-\They're here!\What?! response:	Stealth mode!
context: That's a death flag, so don't say that!\If I went out, those enemies would be...\Enemy company sighted!\The target has split into five groups and is headed for us!\Their relative speed-\They're here!\What?!\Stealth mode! response:	My sensors can't read them.
context: If I went out, those enemies would be...\Enemy company sighted!\The target has split into five groups and is headed for us!\Their relative speed-\They're here!\What?!\Stealth mode!\My sensors can't read them. response:	Damn it!
context: Enemy company sighted!\The target has split into five groups and is headed for us!\Their relative speed-\They're here!\What?!\Stealth mode!\My sensors can't read them.\Damn it! response:	Tamaki, fly at full speed and break the enemy's formation.
context: The target has split into five groups and is headed for us!\Their relative speed-\They're here!\What?!\Stealth mode!\My sensors can't read them.\Damn it!\Tamaki, fly at full speed and break the enemy's formation. response:	Suruga, offer fire support!
context: Their relative speed-\They're here!\What?!\Stealth mode!\My sensors can't read them.\Damn it!\Tamaki, fly at full speed and break the enemy's formation.\Suruga, offer fire support! response:	Kei, confirm the enemies' locations!
context: They're here!\What?!\Stealth mode!\My sensors can't read them.\Damn it!\Tamaki, fly at full speed and break the enemy's formation.\Suruga, offer fire support!\Kei, confirm the enemies' locations! response:	Ange, widen the hole Tamaki's about to make!
context: What?!\Stealth mode!\My sensors can't read them.\Damn it!\Tamaki, fly at full speed and break the enemy's formation.\Suruga, offer fire support!\Kei, confirm the enemies' locations!\Ange, widen the hole Tamaki's about to make! response:	Roger!
context: Stealth mode!\My sensors can't read them.\Damn it!\Tamaki, fly at full speed and break the enemy's formation.\Suruga, offer fire support!\Kei, confirm the enemies' locations!\Ange, widen the hole Tamaki's about to make!\Roger! response:	Eat this!
context: My sensors can't read them.\Damn it!\Tamaki, fly at full speed and break the enemy's formation.\Suruga, offer fire support!\Kei, confirm the enemies' locations!\Ange, widen the hole Tamaki's about to make!\Roger!\Eat this! response:	They dodged around it?!
context: Damn it!\Tamaki, fly at full speed and break the enemy's formation.\Suruga, offer fire support!\Kei, confirm the enemies' locations!\Ange, widen the hole Tamaki's about to make!\Roger!\Eat this!\They dodged around it?! response:	That won't work.
context: Tamaki, fly at full speed and break the enemy's formation.\Suruga, offer fire support!\Kei, confirm the enemies' locations!\Ange, widen the hole Tamaki's about to make!\Roger!\Eat this!\They dodged around it?!\That won't work. response:	Good goin'!
context: Suruga, offer fire support!\Kei, confirm the enemies' locations!\Ange, widen the hole Tamaki's about to make!\Roger!\Eat this!\They dodged around it?!\That won't work.\Good goin'! response:	Nice job, Black 6!
context: Kei, confirm the enemies' locations!\Ange, widen the hole Tamaki's about to make!\Roger!\Eat this!\They dodged around it?!\That won't work.\Good goin'!\Nice job, Black 6! response:	Naturally.
context: Ange, widen the hole Tamaki's about to make!\Roger!\Eat this!\They dodged around it?!\That won't work.\Good goin'!\Nice job, Black 6!\Naturally. response:	I'm doing a good job, too!
context: Roger!\Eat this!\They dodged around it?!\That won't work.\Good goin'!\Nice job, Black 6!\Naturally.\I'm doing a good job, too! response:	I've spotted several enemy fighters!
context: Eat this!\They dodged around it?!\That won't work.\Good goin'!\Nice job, Black 6!\Naturally.\I'm doing a good job, too!\I've spotted several enemy fighters! response:	We're completely surrounded.
context: They dodged around it?!\That won't work.\Good goin'!\Nice job, Black 6!\Naturally.\I'm doing a good job, too!\I've spotted several enemy fighters!\We're completely surrounded. response:	You may handle the rest.
context: That won't work.\Good goin'!\Nice job, Black 6!\Naturally.\I'm doing a good job, too!\I've spotted several enemy fighters!\We're completely surrounded.\You may handle the rest. response:	Roger!
context: Good goin'!\Nice job, Black 6!\Naturally.\I'm doing a good job, too!\I've spotted several enemy fighters!\We're completely surrounded.\You may handle the rest.\Roger! response:	Damn! You lowly ground beetles!
context: Nice job, Black 6!\Naturally.\I'm doing a good job, too!\I've spotted several enemy fighters!\We're completely surrounded.\You may handle the rest.\Roger!\Damn! You lowly ground beetles! response:	How dare you?!
context: Naturally.\I'm doing a good job, too!\I've spotted several enemy fighters!\We're completely surrounded.\You may handle the rest.\Roger!\Damn! You lowly ground beetles!\How dare you?! response:	Calm down, Ange!
context: I'm doing a good job, too!\I've spotted several enemy fighters!\We're completely surrounded.\You may handle the rest.\Roger!\Damn! You lowly ground beetles!\How dare you?!\Calm down, Ange! response:	Don't go after them.
context: I've spotted several enemy fighters!\We're completely surrounded.\You may handle the rest.\Roger!\Damn! You lowly ground beetles!\How dare you?!\Calm down, Ange!\Don't go after them. response:	Who gave you permission to call me by my name?!
context: We're completely surrounded.\You may handle the rest.\Roger!\Damn! You lowly ground beetles!\How dare you?!\Calm down, Ange!\Don't go after them.\Who gave you permission to call me by my name?! response:	That's too dangerous! Pull back.
context: You may handle the rest.\Roger!\Damn! You lowly ground beetles!\How dare you?!\Calm down, Ange!\Don't go after them.\Who gave you permission to call me by my name?!\That's too dangerous! Pull back. response:	I don't feel alive after all of this hiding!
context: Roger!\Damn! You lowly ground beetles!\How dare you?!\Calm down, Ange!\Don't go after them.\Who gave you permission to call me by my name?!\That's too dangerous! Pull back.\I don't feel alive after all of this hiding! response:	What happened?
context: Damn! You lowly ground beetles!\How dare you?!\Calm down, Ange!\Don't go after them.\Who gave you permission to call me by my name?!\That's too dangerous! Pull back.\I don't feel alive after all of this hiding!\What happened? response:	Our radar and all of our sensors are functioning properly.
context: How dare you?!\Calm down, Ange!\Don't go after them.\Who gave you permission to call me by my name?!\That's too dangerous! Pull back.\I don't feel alive after all of this hiding!\What happened?\Our radar and all of our sensors are functioning properly. response:	The base is functioning properly.
context: Calm down, Ange!\Don't go after them.\Who gave you permission to call me by my name?!\That's too dangerous! Pull back.\I don't feel alive after all of this hiding!\What happened?\Our radar and all of our sensors are functioning properly.\The base is functioning properly. response:	That must have been a lag from when we changed power sources.
context: Don't go after them.\Who gave you permission to call me by my name?!\That's too dangerous! Pull back.\I don't feel alive after all of this hiding!\What happened?\Our radar and all of our sensors are functioning properly.\The base is functioning properly.\That must have been a lag from when we changed power sources. response:	I see...
context: Who gave you permission to call me by my name?!\That's too dangerous! Pull back.\I don't feel alive after all of this hiding!\What happened?\Our radar and all of our sensors are functioning properly.\The base is functioning properly.\That must have been a lag from when we changed power sources.\I see... response:	Is this it?
context: That's too dangerous! Pull back.\I don't feel alive after all of this hiding!\What happened?\Our radar and all of our sensors are functioning properly.\The base is functioning properly.\That must have been a lag from when we changed power sources.\I see...\Is this it? response:	Commence verifying translation and analysis.
context: I don't feel alive after all of this hiding!\What happened?\Our radar and all of our sensors are functioning properly.\The base is functioning properly.\That must have been a lag from when we changed power sources.\I see...\Is this it?\Commence verifying translation and analysis. response:	It isn't here. I must go deeper in.
context: What happened?\Our radar and all of our sensors are functioning properly.\The base is functioning properly.\That must have been a lag from when we changed power sources.\I see...\Is this it?\Commence verifying translation and analysis.\It isn't here. I must go deeper in. response:	A firewall?
context: Our radar and all of our sensors are functioning properly.\The base is functioning properly.\That must have been a lag from when we changed power sources.\I see...\Is this it?\Commence verifying translation and analysis.\It isn't here. I must go deeper in.\A firewall? response:	MJP?
context: The base is functioning properly.\That must have been a lag from when we changed power sources.\I see...\Is this it?\Commence verifying translation and analysis.\It isn't here. I must go deeper in.\A firewall?\MJP? response:	Ange, where are you?
context: That must have been a lag from when we changed power sources.\I see...\Is this it?\Commence verifying translation and analysis.\It isn't here. I must go deeper in.\A firewall?\MJP?\Ange, where are you? response:	She's completely surrounded!
context: I see...\Is this it?\Commence verifying translation and analysis.\It isn't here. I must go deeper in.\A firewall?\MJP?\Ange, where are you?\She's completely surrounded! response:	Damn it! What should I do?
context: Is this it?\Commence verifying translation and analysis.\It isn't here. I must go deeper in.\A firewall?\MJP?\Ange, where are you?\She's completely surrounded!\Damn it! What should I do? response:	Pleguzesia...
context: Commence verifying translation and analysis.\It isn't here. I must go deeper in.\A firewall?\MJP?\Ange, where are you?\She's completely surrounded!\Damn it! What should I do?\Pleguzesia... response:	As I had suspected.
context: It isn't here. I must go deeper in.\A firewall?\MJP?\Ange, where are you?\She's completely surrounded!\Damn it! What should I do?\Pleguzesia...\As I had suspected. response:	Don't do it, Ange! Don't follow them!
context: A firewall?\MJP?\Ange, where are you?\She's completely surrounded!\Damn it! What should I do?\Pleguzesia...\As I had suspected.\Don't do it, Ange! Don't follow them! response:	What should I do...?
context: MJP?\Ange, where are you?\She's completely surrounded!\Damn it! What should I do?\Pleguzesia...\As I had suspected.\Don't do it, Ange! Don't follow them!\What should I do...? response:	Reinforcements!
context: Ange, where are you?\She's completely surrounded!\Damn it! What should I do?\Pleguzesia...\As I had suspected.\Don't do it, Ange! Don't follow them!\What should I do...?\Reinforcements! response:	Doesn't that lamata look tasty?
context: She's completely surrounded!\Damn it! What should I do?\Pleguzesia...\As I had suspected.\Don't do it, Ange! Don't follow them!\What should I do...?\Reinforcements!\Doesn't that lamata look tasty? response:	Let me have him!
context: Damn it! What should I do?\Pleguzesia...\As I had suspected.\Don't do it, Ange! Don't follow them!\What should I do...?\Reinforcements!\Doesn't that lamata look tasty?\Let me have him! response:	Please, help yourself.
context: Pleguzesia...\As I had suspected.\Don't do it, Ange! Don't follow them!\What should I do...?\Reinforcements!\Doesn't that lamata look tasty?\Let me have him!\Please, help yourself. response:	What a hearty feast!
context: As I had suspected.\Don't do it, Ange! Don't follow them!\What should I do...?\Reinforcements!\Doesn't that lamata look tasty?\Let me have him!\Please, help yourself.\What a hearty feast! response:	My fighters are to retreat!
context: Don't do it, Ange! Don't follow them!\What should I do...?\Reinforcements!\Doesn't that lamata look tasty?\Let me have him!\Please, help yourself.\What a hearty feast!\My fighters are to retreat! response:	The enemies are swapping out!
context: What should I do...?\Reinforcements!\Doesn't that lamata look tasty?\Let me have him!\Please, help yourself.\What a hearty feast!\My fighters are to retreat!\The enemies are swapping out! response:	This is our chance!
context: Reinforcements!\Doesn't that lamata look tasty?\Let me have him!\Please, help yourself.\What a hearty feast!\My fighters are to retreat!\The enemies are swapping out!\This is our chance! response:	Suruga, fire at the incoming enemy company!
context: Doesn't that lamata look tasty?\Let me have him!\Please, help yourself.\What a hearty feast!\My fighters are to retreat!\The enemies are swapping out!\This is our chance!\Suruga, fire at the incoming enemy company! response:	You can count on me!
context: Let me have him!\Please, help yourself.\What a hearty feast!\My fighters are to retreat!\The enemies are swapping out!\This is our chance!\Suruga, fire at the incoming enemy company!\You can count on me! response:	Tamaki, fire!
context: Please, help yourself.\What a hearty feast!\My fighters are to retreat!\The enemies are swapping out!\This is our chance!\Suruga, fire at the incoming enemy company!\You can count on me!\Tamaki, fire! response:	Roger!
context: What a hearty feast!\My fighters are to retreat!\The enemies are swapping out!\This is our chance!\Suruga, fire at the incoming enemy company!\You can count on me!\Tamaki, fire!\Roger! response:	Damn nobodies, gettin' full of yerselves!
context: My fighters are to retreat!\The enemies are swapping out!\This is our chance!\Suruga, fire at the incoming enemy company!\You can count on me!\Tamaki, fire!\Roger!\Damn nobodies, gettin' full of yerselves! response:	There are several enemy fighters around Black 6.
context: The enemies are swapping out!\This is our chance!\Suruga, fire at the incoming enemy company!\You can count on me!\Tamaki, fire!\Roger!\Damn nobodies, gettin' full of yerselves!\There are several enemy fighters around Black 6. response:	Black 6's armor integrity is down by 30.
context: This is our chance!\Suruga, fire at the incoming enemy company!\You can count on me!\Tamaki, fire!\Roger!\Damn nobodies, gettin' full of yerselves!\There are several enemy fighters around Black 6.\Black 6's armor integrity is down by 30. response:	Rate of energy consumption is at 22/s.
context: Suruga, fire at the incoming enemy company!\You can count on me!\Tamaki, fire!\Roger!\Damn nobodies, gettin' full of yerselves!\There are several enemy fighters around Black 6.\Black 6's armor integrity is down by 30.\Rate of energy consumption is at 22/s. response:	The unit's temperature is currently rising!
context: You can count on me!\Tamaki, fire!\Roger!\Damn nobodies, gettin' full of yerselves!\There are several enemy fighters around Black 6.\Black 6's armor integrity is down by 30.\Rate of energy consumption is at 22/s.\The unit's temperature is currently rising! response:	This looks bad.
context: Tamaki, fire!\Roger!\Damn nobodies, gettin' full of yerselves!\There are several enemy fighters around Black 6.\Black 6's armor integrity is down by 30.\Rate of energy consumption is at 22/s.\The unit's temperature is currently rising!\This looks bad. response:	Purple 2, new enemies have appeared at Point: Tango!
context: Roger!\Damn nobodies, gettin' full of yerselves!\There are several enemy fighters around Black 6.\Black 6's armor integrity is down by 30.\Rate of energy consumption is at 22/s.\The unit's temperature is currently rising!\This looks bad.\Purple 2, new enemies have appeared at Point: Tango! response:	Blue 1, prioritize rescuing Black 6.
context: Damn nobodies, gettin' full of yerselves!\There are several enemy fighters around Black 6.\Black 6's armor integrity is down by 30.\Rate of energy consumption is at 22/s.\The unit's temperature is currently rising!\This looks bad.\Purple 2, new enemies have appeared at Point: Tango!\Blue 1, prioritize rescuing Black 6. response:	There are too many enemy fighters.
context: There are several enemy fighters around Black 6.\Black 6's armor integrity is down by 30.\Rate of energy consumption is at 22/s.\The unit's temperature is currently rising!\This looks bad.\Purple 2, new enemies have appeared at Point: Tango!\Blue 1, prioritize rescuing Black 6.\There are too many enemy fighters. response:	I can't get near him!
context: Black 6's armor integrity is down by 30.\Rate of energy consumption is at 22/s.\The unit's temperature is currently rising!\This looks bad.\Purple 2, new enemies have appeared at Point: Tango!\Blue 1, prioritize rescuing Black 6.\There are too many enemy fighters.\I can't get near him! response:	It's like I could keep shooting and shooting forever!
context: Rate of energy consumption is at 22/s.\The unit's temperature is currently rising!\This looks bad.\Purple 2, new enemies have appeared at Point: Tango!\Blue 1, prioritize rescuing Black 6.\There are too many enemy fighters.\I can't get near him!\It's like I could keep shooting and shooting forever! response:	A second group of enemy fighters are approaching from behind!
context: The unit's temperature is currently rising!\This looks bad.\Purple 2, new enemies have appeared at Point: Tango!\Blue 1, prioritize rescuing Black 6.\There are too many enemy fighters.\I can't get near him!\It's like I could keep shooting and shooting forever!\A second group of enemy fighters are approaching from behind! response:	If only I could send out Red 5...!
context: This looks bad.\Purple 2, new enemies have appeared at Point: Tango!\Blue 1, prioritize rescuing Black 6.\There are too many enemy fighters.\I can't get near him!\It's like I could keep shooting and shooting forever!\A second group of enemy fighters are approaching from behind!\If only I could send out Red 5...! response:	We only have the core up and working!
context: Purple 2, new enemies have appeared at Point: Tango!\Blue 1, prioritize rescuing Black 6.\There are too many enemy fighters.\I can't get near him!\It's like I could keep shooting and shooting forever!\A second group of enemy fighters are approaching from behind!\If only I could send out Red 5...!\We only have the core up and working! response:	I'll go in just the core!
context: Blue 1, prioritize rescuing Black 6.\There are too many enemy fighters.\I can't get near him!\It's like I could keep shooting and shooting forever!\A second group of enemy fighters are approaching from behind!\If only I could send out Red 5...!\We only have the core up and working!\I'll go in just the core! response:	I'm heading out!
context: There are too many enemy fighters.\I can't get near him!\It's like I could keep shooting and shooting forever!\A second group of enemy fighters are approaching from behind!\If only I could send out Red 5...!\We only have the core up and working!\I'll go in just the core!\I'm heading out! response:	I thought so!
context: I can't get near him!\It's like I could keep shooting and shooting forever!\A second group of enemy fighters are approaching from behind!\If only I could send out Red 5...!\We only have the core up and working!\I'll go in just the core!\I'm heading out!\I thought so! response:	It's ready to go.
context: It's like I could keep shooting and shooting forever!\A second group of enemy fighters are approaching from behind!\If only I could send out Red 5...!\We only have the core up and working!\I'll go in just the core!\I'm heading out!\I thought so!\It's ready to go. response:	We figured this might happen. It's ready for action!
context: A second group of enemy fighters are approaching from behind!\If only I could send out Red 5...!\We only have the core up and working!\I'll go in just the core!\I'm heading out!\I thought so!\It's ready to go.\We figured this might happen. It's ready for action! response:	Red 5's core, standby: OK!
context: If only I could send out Red 5...!\We only have the core up and working!\I'll go in just the core!\I'm heading out!\I thought so!\It's ready to go.\We figured this might happen. It's ready for action!\Red 5's core, standby: OK! response:	Routes, all green.
context: We only have the core up and working!\I'll go in just the core!\I'm heading out!\I thought so!\It's ready to go.\We figured this might happen. It's ready for action!\Red 5's core, standby: OK!\Routes, all green. response:	Take off, ready.
context: I'll go in just the core!\I'm heading out!\I thought so!\It's ready to go.\We figured this might happen. It's ready for action!\Red 5's core, standby: OK!\Routes, all green.\Take off, ready. response:	Blast off!
context: I'm heading out!\I thought so!\It's ready to go.\We figured this might happen. It's ready for action!\Red 5's core, standby: OK!\Routes, all green.\Take off, ready.\Blast off! response:	The only thing you stinkbugs have goin' for you are yer numbers!
context: I thought so!\It's ready to go.\We figured this might happen. It's ready for action!\Red 5's core, standby: OK!\Routes, all green.\Take off, ready.\Blast off!\The only thing you stinkbugs have goin' for you are yer numbers! response:	Move it, pests!
context: It's ready to go.\We figured this might happen. It's ready for action!\Red 5's core, standby: OK!\Routes, all green.\Take off, ready.\Blast off!\The only thing you stinkbugs have goin' for you are yer numbers!\Move it, pests! response:	I'm overheating?! Not now!
context: We figured this might happen. It's ready for action!\Red 5's core, standby: OK!\Routes, all green.\Take off, ready.\Blast off!\The only thing you stinkbugs have goin' for you are yer numbers!\Move it, pests!\I'm overheating?! Not now! response:	Just'cause I can't move...!
context: Red 5's core, standby: OK!\Routes, all green.\Take off, ready.\Blast off!\The only thing you stinkbugs have goin' for you are yer numbers!\Move it, pests!\I'm overheating?! Not now!\Just'cause I can't move...! response:	Do whatever it takes to clear a path.
context: Routes, all green.\Take off, ready.\Blast off!\The only thing you stinkbugs have goin' for you are yer numbers!\Move it, pests!\I'm overheating?! Not now!\Just'cause I can't move...!\Do whatever it takes to clear a path. response:	Damn it! If only we could squeeze in one more attack.
context: Take off, ready.\Blast off!\The only thing you stinkbugs have goin' for you are yer numbers!\Move it, pests!\I'm overheating?! Not now!\Just'cause I can't move...!\Do whatever it takes to clear a path.\Damn it! If only we could squeeze in one more attack. response:	Izuru?
context: Blast off!\The only thing you stinkbugs have goin' for you are yer numbers!\Move it, pests!\I'm overheating?! Not now!\Just'cause I can't move...!\Do whatever it takes to clear a path.\Damn it! If only we could squeeze in one more attack.\Izuru? response:	Guys!
context: The only thing you stinkbugs have goin' for you are yer numbers!\Move it, pests!\I'm overheating?! Not now!\Just'cause I can't move...!\Do whatever it takes to clear a path.\Damn it! If only we could squeeze in one more attack.\Izuru?\Guys! response:	He came in his core?!
context: Move it, pests!\I'm overheating?! Not now!\Just'cause I can't move...!\Do whatever it takes to clear a path.\Damn it! If only we could squeeze in one more attack.\Izuru?\Guys!\He came in his core?! response:	Now!
context: I'm overheating?! Not now!\Just'cause I can't move...!\Do whatever it takes to clear a path.\Damn it! If only we could squeeze in one more attack.\Izuru?\Guys!\He came in his core?!\Now! response:	You're in the way!
context: Just'cause I can't move...!\Do whatever it takes to clear a path.\Damn it! If only we could squeeze in one more attack.\Izuru?\Guys!\He came in his core?!\Now!\You're in the way! response:	Finish off that small fry first!
context: Do whatever it takes to clear a path.\Damn it! If only we could squeeze in one more attack.\Izuru?\Guys!\He came in his core?!\Now!\You're in the way!\Finish off that small fry first! response:	You can't have him!
context: Damn it! If only we could squeeze in one more attack.\Izuru?\Guys!\He came in his core?!\Now!\You're in the way!\Finish off that small fry first!\You can't have him! response:	It changed forms!
context: Izuru?\Guys!\He came in his core?!\Now!\You're in the way!\Finish off that small fry first!\You can't have him!\It changed forms! response:	My lamata...!
context: Guys!\He came in his core?!\Now!\You're in the way!\Finish off that small fry first!\You can't have him!\It changed forms!\My lamata...! response:	Why can't I hit you?!
context: He came in his core?!\Now!\You're in the way!\Finish off that small fry first!\You can't have him!\It changed forms!\My lamata...!\Why can't I hit you?! response:	Of all the little-!
context: Now!\You're in the way!\Finish off that small fry first!\You can't have him!\It changed forms!\My lamata...!\Why can't I hit you?!\Of all the little-! response:	There!
context: You're in the way!\Finish off that small fry first!\You can't have him!\It changed forms!\My lamata...!\Why can't I hit you?!\Of all the little-!\There! response:	What?!
context: Finish off that small fry first!\You can't have him!\It changed forms!\My lamata...!\Why can't I hit you?!\Of all the little-!\There!\What?! response:	And once more!
context: You can't have him!\It changed forms!\My lamata...!\Why can't I hit you?!\Of all the little-!\There!\What?!\And once more! response:	He's amazing...
context: It changed forms!\My lamata...!\Why can't I hit you?!\Of all the little-!\There!\What?!\And once more!\He's amazing... response:	R-retreat!
context: My lamata...!\Why can't I hit you?!\Of all the little-!\There!\What?!\And once more!\He's amazing...\R-retreat! response:	The enemy company is pulling back.
context: Why can't I hit you?!\Of all the little-!\There!\What?!\And once more!\He's amazing...\R-retreat!\The enemy company is pulling back. response:	They're running away...
context: Of all the little-!\There!\What?!\And once more!\He's amazing...\R-retreat!\The enemy company is pulling back.\They're running away... response:	Ange, did you get hurt?
context: There!\What?!\And once more!\He's amazing...\R-retreat!\The enemy company is pulling back.\They're running away...\Ange, did you get hurt? response:	No...
context: What?!\And once more!\He's amazing...\R-retreat!\The enemy company is pulling back.\They're running away...\Ange, did you get hurt?\No... response:	I'm glad you're okay!
context: And once more!\He's amazing...\R-retreat!\The enemy company is pulling back.\They're running away...\Ange, did you get hurt?\No...\I'm glad you're okay! response:	He willingly flew into the hunting grounds?
context: He's amazing...\R-retreat!\The enemy company is pulling back.\They're running away...\Ange, did you get hurt?\No...\I'm glad you're okay!\He willingly flew into the hunting grounds? response:	Do the Earthlings act under a different set of principles from ours?
context: R-retreat!\The enemy company is pulling back.\They're running away...\Ange, did you get hurt?\No...\I'm glad you're okay!\He willingly flew into the hunting grounds?\Do the Earthlings act under a different set of principles from ours? response:	Congratulations on becoming a Lt. Commander!
context: The enemy company is pulling back.\They're running away...\Ange, did you get hurt?\No...\I'm glad you're okay!\He willingly flew into the hunting grounds?\Do the Earthlings act under a different set of principles from ours?\Congratulations on becoming a Lt. Commander! response:	Actually, I just got promoted to Captain...
context: They're running away...\Ange, did you get hurt?\No...\I'm glad you're okay!\He willingly flew into the hunting grounds?\Do the Earthlings act under a different set of principles from ours?\Congratulations on becoming a Lt. Commander!\Actually, I just got promoted to Captain... response:	What?!
context: Ange, did you get hurt?\No...\I'm glad you're okay!\He willingly flew into the hunting grounds?\Do the Earthlings act under a different set of principles from ours?\Congratulations on becoming a Lt. Commander!\Actually, I just got promoted to Captain...\What?! response:	What's this? You jumped two ranks?
context: No...\I'm glad you're okay!\He willingly flew into the hunting grounds?\Do the Earthlings act under a different set of principles from ours?\Congratulations on becoming a Lt. Commander!\Actually, I just got promoted to Captain...\What?!\What's this? You jumped two ranks? response:	Amane, did you die in combat?
context: I'm glad you're okay!\He willingly flew into the hunting grounds?\Do the Earthlings act under a different set of principles from ours?\Congratulations on becoming a Lt. Commander!\Actually, I just got promoted to Captain...\What?!\What's this? You jumped two ranks?\Amane, did you die in combat? response:	I'm not dead!
context: He willingly flew into the hunting grounds?\Do the Earthlings act under a different set of principles from ours?\Congratulations on becoming a Lt. Commander!\Actually, I just got promoted to Captain...\What?!\What's this? You jumped two ranks?\Amane, did you die in combat?\I'm not dead! response:	Wait!
context: Do the Earthlings act under a different set of principles from ours?\Congratulations on becoming a Lt. Commander!\Actually, I just got promoted to Captain...\What?!\What's this? You jumped two ranks?\Amane, did you die in combat?\I'm not dead!\Wait! response:	You woke up a Lt. Commander and you're a Captain by evening?
context: Congratulations on becoming a Lt. Commander!\Actually, I just got promoted to Captain...\What?!\What's this? You jumped two ranks?\Amane, did you die in combat?\I'm not dead!\Wait!\You woke up a Lt. Commander and you're a Captain by evening? response:	The GDF must be pretty darn understaffed.
context: Actually, I just got promoted to Captain...\What?!\What's this? You jumped two ranks?\Amane, did you die in combat?\I'm not dead!\Wait!\You woke up a Lt. Commander and you're a Captain by evening?\The GDF must be pretty darn understaffed. response:	Well, I did go from the General Staff Office to the frontlines.
context: What?!\What's this? You jumped two ranks?\Amane, did you die in combat?\I'm not dead!\Wait!\You woke up a Lt. Commander and you're a Captain by evening?\The GDF must be pretty darn understaffed.\Well, I did go from the General Staff Office to the frontlines. response:	It will allow me to fight closer to where the actual combat is.
context: What's this? You jumped two ranks?\Amane, did you die in combat?\I'm not dead!\Wait!\You woke up a Lt. Commander and you're a Captain by evening?\The GDF must be pretty darn understaffed.\Well, I did go from the General Staff Office to the frontlines.\It will allow me to fight closer to where the actual combat is. response:	We'll be working together more often now.
