context: I see. response:	You found the candidate who could become the next queen?
context: That is an absolute necessity in order to protect the world.\Not happening.\That country, along with those guys, is trying to get rid of me.\I've heard the gist of what's been happening.\But heroes mustn't fight among themselves.\You seem rather obsessed with that.\Because it's unacceptable, that's why.\They don't wanna play nice. It's a lost cause now. response:	Are you sure?
context: Not happening.\That country, along with those guys, is trying to get rid of me.\I've heard the gist of what's been happening.\But heroes mustn't fight among themselves.\You seem rather obsessed with that.\Because it's unacceptable, that's why.\They don't wanna play nice. It's a lost cause now.\Are you sure? response:	Absolutely.
context: That country, along with those guys, is trying to get rid of me.\I've heard the gist of what's been happening.\But heroes mustn't fight among themselves.\You seem rather obsessed with that.\Because it's unacceptable, that's why.\They don't wanna play nice. It's a lost cause now.\Are you sure?\Absolutely. response:	I see.
context: I've heard the gist of what's been happening.\But heroes mustn't fight among themselves.\You seem rather obsessed with that.\Because it's unacceptable, that's why.\They don't wanna play nice. It's a lost cause now.\Are you sure?\Absolutely.\I see. response:	Very well, then.
context: But heroes mustn't fight among themselves.\You seem rather obsessed with that.\Because it's unacceptable, that's why.\They don't wanna play nice. It's a lost cause now.\Are you sure?\Absolutely.\I see.\Very well, then. response:	It was all so long ago that my memory of it has faded,
context: You seem rather obsessed with that.\Because it's unacceptable, that's why.\They don't wanna play nice. It's a lost cause now.\Are you sure?\Absolutely.\I see.\Very well, then.\It was all so long ago that my memory of it has faded, response:	but I do still remember the right thing to do.
context: Because it's unacceptable, that's why.\They don't wanna play nice. It's a lost cause now.\Are you sure?\Absolutely.\I see.\Very well, then.\It was all so long ago that my memory of it has faded,\but I do still remember the right thing to do. response:	If the heroes are fighting each other
context: They don't wanna play nice. It's a lost cause now.\Are you sure?\Absolutely.\I see.\Very well, then.\It was all so long ago that my memory of it has faded,\but I do still remember the right thing to do.\If the heroes are fighting each other response:	instead of the Waves of Catastrophe,
context: Are you sure?\Absolutely.\I see.\Very well, then.\It was all so long ago that my memory of it has faded,\but I do still remember the right thing to do.\If the heroes are fighting each other\instead of the Waves of Catastrophe, response:	then for the sake of the world,
context: Absolutely.\I see.\Very well, then.\It was all so long ago that my memory of it has faded,\but I do still remember the right thing to do.\If the heroes are fighting each other\instead of the Waves of Catastrophe,\then for the sake of the world, response:	I must kill the Four Cardinal Heroes.
context: I see.\Very well, then.\It was all so long ago that my memory of it has faded,\but I do still remember the right thing to do.\If the heroes are fighting each other\instead of the Waves of Catastrophe,\then for the sake of the world,\I must kill the Four Cardinal Heroes. response:	A Promise Made
