context: Isn't there a way to destroy him?! response:	Why, that!
context: I'll make you shut up now!\Die!\W-What?!\A barrier?\It won't hold me back!\Wind Scar!\The Wind Scar doesn't work.\Naraku's barriers haven't been as strong as this! response:	I told you.
context: Die!\W-What?!\A barrier?\It won't hold me back!\Wind Scar!\The Wind Scar doesn't work.\Naraku's barriers haven't been as strong as this!\I told you. response:	I continue to grow in power.
context: W-What?!\A barrier?\It won't hold me back!\Wind Scar!\The Wind Scar doesn't work.\Naraku's barriers haven't been as strong as this!\I told you.\I continue to grow in power. response:	Get back, Inuyasha!
context: A barrier?\It won't hold me back!\Wind Scar!\The Wind Scar doesn't work.\Naraku's barriers haven't been as strong as this!\I told you.\I continue to grow in power.\Get back, Inuyasha! response:	A miasma!
context: It won't hold me back!\Wind Scar!\The Wind Scar doesn't work.\Naraku's barriers haven't been as strong as this!\I told you.\I continue to grow in power.\Get back, Inuyasha!\A miasma! response:	Damn!
context: Wind Scar!\The Wind Scar doesn't work.\Naraku's barriers haven't been as strong as this!\I told you.\I continue to grow in power.\Get back, Inuyasha!\A miasma!\Damn! response:	It seems Naraku was speaking the truth.
context: The Wind Scar doesn't work.\Naraku's barriers haven't been as strong as this!\I told you.\I continue to grow in power.\Get back, Inuyasha!\A miasma!\Damn!\It seems Naraku was speaking the truth. response:	I turn into a weak human on the night of the new moon.
context: Naraku's barriers haven't been as strong as this!\I told you.\I continue to grow in power.\Get back, Inuyasha!\A miasma!\Damn!\It seems Naraku was speaking the truth.\I turn into a weak human on the night of the new moon. response:	But Naraku's different?
context: I told you.\I continue to grow in power.\Get back, Inuyasha!\A miasma!\Damn!\It seems Naraku was speaking the truth.\I turn into a weak human on the night of the new moon.\But Naraku's different? response:	Yes...
context: I continue to grow in power.\Get back, Inuyasha!\A miasma!\Damn!\It seems Naraku was speaking the truth.\I turn into a weak human on the night of the new moon.\But Naraku's different?\Yes... response:	If Naraku is able to reconstruct himself and get stronger...
context: Get back, Inuyasha!\A miasma!\Damn!\It seems Naraku was speaking the truth.\I turn into a weak human on the night of the new moon.\But Naraku's different?\Yes...\If Naraku is able to reconstruct himself and get stronger... response:	This is very bad.
context: A miasma!\Damn!\It seems Naraku was speaking the truth.\I turn into a weak human on the night of the new moon.\But Naraku's different?\Yes...\If Naraku is able to reconstruct himself and get stronger...\This is very bad. response:	Huh? What an eerie wind.
context: Damn!\It seems Naraku was speaking the truth.\I turn into a weak human on the night of the new moon.\But Naraku's different?\Yes...\If Naraku is able to reconstruct himself and get stronger...\This is very bad.\Huh? What an eerie wind. response:	Naraku...
context: It seems Naraku was speaking the truth.\I turn into a weak human on the night of the new moon.\But Naraku's different?\Yes...\If Naraku is able to reconstruct himself and get stronger...\This is very bad.\Huh? What an eerie wind.\Naraku... response:	You don't have to tell me.
context: I turn into a weak human on the night of the new moon.\But Naraku's different?\Yes...\If Naraku is able to reconstruct himself and get stronger...\This is very bad.\Huh? What an eerie wind.\Naraku...\You don't have to tell me. response:	Um, Kikyo...
context: But Naraku's different?\Yes...\If Naraku is able to reconstruct himself and get stronger...\This is very bad.\Huh? What an eerie wind.\Naraku...\You don't have to tell me.\Um, Kikyo... response:	Don't worry. It's nothing.
context: Yes...\If Naraku is able to reconstruct himself and get stronger...\This is very bad.\Huh? What an eerie wind.\Naraku...\You don't have to tell me.\Um, Kikyo...\Don't worry. It's nothing. response:	What?!
context: If Naraku is able to reconstruct himself and get stronger...\This is very bad.\Huh? What an eerie wind.\Naraku...\You don't have to tell me.\Um, Kikyo...\Don't worry. It's nothing.\What?! response:	Naraku's barrier withstood the Wind Scar?
context: This is very bad.\Huh? What an eerie wind.\Naraku...\You don't have to tell me.\Um, Kikyo...\Don't worry. It's nothing.\What?!\Naraku's barrier withstood the Wind Scar? response:	It's certain that Naraku is becoming stronger.
context: Huh? What an eerie wind.\Naraku...\You don't have to tell me.\Um, Kikyo...\Don't worry. It's nothing.\What?!\Naraku's barrier withstood the Wind Scar?\It's certain that Naraku is becoming stronger. response:	On top of that, he's a half-demon,
context: Naraku...\You don't have to tell me.\Um, Kikyo...\Don't worry. It's nothing.\What?!\Naraku's barrier withstood the Wind Scar?\It's certain that Naraku is becoming stronger.\On top of that, he's a half-demon, response:	but he's different from Inuyasha who loses his powers during the new moon.
context: You don't have to tell me.\Um, Kikyo...\Don't worry. It's nothing.\What?!\Naraku's barrier withstood the Wind Scar?\It's certain that Naraku is becoming stronger.\On top of that, he's a half-demon,\but he's different from Inuyasha who loses his powers during the new moon. response:	Instead, Naraku says he can choose his day.
context: Um, Kikyo...\Don't worry. It's nothing.\What?!\Naraku's barrier withstood the Wind Scar?\It's certain that Naraku is becoming stronger.\On top of that, he's a half-demon,\but he's different from Inuyasha who loses his powers during the new moon.\Instead, Naraku says he can choose his day. response:	So we can't tell when Naraku's powers will be weakened?
context: Don't worry. It's nothing.\What?!\Naraku's barrier withstood the Wind Scar?\It's certain that Naraku is becoming stronger.\On top of that, he's a half-demon,\but he's different from Inuyasha who loses his powers during the new moon.\Instead, Naraku says he can choose his day.\So we can't tell when Naraku's powers will be weakened? response:	Yes.
context: What?!\Naraku's barrier withstood the Wind Scar?\It's certain that Naraku is becoming stronger.\On top of that, he's a half-demon,\but he's different from Inuyasha who loses his powers during the new moon.\Instead, Naraku says he can choose his day.\So we can't tell when Naraku's powers will be weakened?\Yes. response:	If we only knew when Naraku was powerless...
context: Naraku's barrier withstood the Wind Scar?\It's certain that Naraku is becoming stronger.\On top of that, he's a half-demon,\but he's different from Inuyasha who loses his powers during the new moon.\Instead, Naraku says he can choose his day.\So we can't tell when Naraku's powers will be weakened?\Yes.\If we only knew when Naraku was powerless... response:	I thought we'd be able to defeat him.
context: It's certain that Naraku is becoming stronger.\On top of that, he's a half-demon,\but he's different from Inuyasha who loses his powers during the new moon.\Instead, Naraku says he can choose his day.\So we can't tell when Naraku's powers will be weakened?\Yes.\If we only knew when Naraku was powerless...\I thought we'd be able to defeat him. response:	We know that Naraku does have a night of weakness.
context: On top of that, he's a half-demon,\but he's different from Inuyasha who loses his powers during the new moon.\Instead, Naraku says he can choose his day.\So we can't tell when Naraku's powers will be weakened?\Yes.\If we only knew when Naraku was powerless...\I thought we'd be able to defeat him.\We know that Naraku does have a night of weakness. response:	l just have to get stronger than him, is all.
context: but he's different from Inuyasha who loses his powers during the new moon.\Instead, Naraku says he can choose his day.\So we can't tell when Naraku's powers will be weakened?\Yes.\If we only knew when Naraku was powerless...\I thought we'd be able to defeat him.\We know that Naraku does have a night of weakness.\l just have to get stronger than him, is all. response:	Just leave it to me!
context: Instead, Naraku says he can choose his day.\So we can't tell when Naraku's powers will be weakened?\Yes.\If we only knew when Naraku was powerless...\I thought we'd be able to defeat him.\We know that Naraku does have a night of weakness.\l just have to get stronger than him, is all.\Just leave it to me! response:	Inuyasha? Sometimes, you're very positive.
context: So we can't tell when Naraku's powers will be weakened?\Yes.\If we only knew when Naraku was powerless...\I thought we'd be able to defeat him.\We know that Naraku does have a night of weakness.\l just have to get stronger than him, is all.\Just leave it to me!\Inuyasha? Sometimes, you're very positive. response:	Sometimes?!
context: Yes.\If we only knew when Naraku was powerless...\I thought we'd be able to defeat him.\We know that Naraku does have a night of weakness.\l just have to get stronger than him, is all.\Just leave it to me!\Inuyasha? Sometimes, you're very positive.\Sometimes?! response:	Does he think he's always positive?
context: If we only knew when Naraku was powerless...\I thought we'd be able to defeat him.\We know that Naraku does have a night of weakness.\l just have to get stronger than him, is all.\Just leave it to me!\Inuyasha? Sometimes, you're very positive.\Sometimes?!\Does he think he's always positive? response:	I dunno.
context: I thought we'd be able to defeat him.\We know that Naraku does have a night of weakness.\l just have to get stronger than him, is all.\Just leave it to me!\Inuyasha? Sometimes, you're very positive.\Sometimes?!\Does he think he's always positive?\I dunno. response:	Oh, no. I forgot my things!
context: We know that Naraku does have a night of weakness.\l just have to get stronger than him, is all.\Just leave it to me!\Inuyasha? Sometimes, you're very positive.\Sometimes?!\Does he think he's always positive?\I dunno.\Oh, no. I forgot my things! response:	Things?
context: l just have to get stronger than him, is all.\Just leave it to me!\Inuyasha? Sometimes, you're very positive.\Sometimes?!\Does he think he's always positive?\I dunno.\Oh, no. I forgot my things!\Things? response:	By the well. I have to go get them.
context: Just leave it to me!\Inuyasha? Sometimes, you're very positive.\Sometimes?!\Does he think he's always positive?\I dunno.\Oh, no. I forgot my things!\Things?\By the well. I have to go get them. response:	Wow!
context: Inuyasha? Sometimes, you're very positive.\Sometimes?!\Does he think he's always positive?\I dunno.\Oh, no. I forgot my things!\Things?\By the well. I have to go get them.\Wow! response:	What's the matter?
context: Sometimes?!\Does he think he's always positive?\I dunno.\Oh, no. I forgot my things!\Things?\By the well. I have to go get them.\Wow!\What's the matter? response:	It's so beautiful!
context: Does he think he's always positive?\I dunno.\Oh, no. I forgot my things!\Things?\By the well. I have to go get them.\Wow!\What's the matter?\It's so beautiful! response:	Nothing special about stars.
context: I dunno.\Oh, no. I forgot my things!\Things?\By the well. I have to go get them.\Wow!\What's the matter?\It's so beautiful!\Nothing special about stars. response:	In the other dimension, you never see it this pretty.
context: Oh, no. I forgot my things!\Things?\By the well. I have to go get them.\Wow!\What's the matter?\It's so beautiful!\Nothing special about stars.\In the other dimension, you never see it this pretty. response:	Really?
context: Things?\By the well. I have to go get them.\Wow!\What's the matter?\It's so beautiful!\Nothing special about stars.\In the other dimension, you never see it this pretty.\Really? response:	I know.
context: By the well. I have to go get them.\Wow!\What's the matter?\It's so beautiful!\Nothing special about stars.\In the other dimension, you never see it this pretty.\Really?\I know. response:	I am Kikyo, and yet not Kikyo.
context: Wow!\What's the matter?\It's so beautiful!\Nothing special about stars.\In the other dimension, you never see it this pretty.\Really?\I know.\I am Kikyo, and yet not Kikyo. response:	That's why I resisted.
context: What's the matter?\It's so beautiful!\Nothing special about stars.\In the other dimension, you never see it this pretty.\Really?\I know.\I am Kikyo, and yet not Kikyo.\That's why I resisted. response:	Yet, why?
context: It's so beautiful!\Nothing special about stars.\In the other dimension, you never see it this pretty.\Really?\I know.\I am Kikyo, and yet not Kikyo.\That's why I resisted.\Yet, why? response:	Why does my heart... yearn so much?
context: Nothing special about stars.\In the other dimension, you never see it this pretty.\Really?\I know.\I am Kikyo, and yet not Kikyo.\That's why I resisted.\Yet, why?\Why does my heart... yearn so much? response:	Inuyasha...
context: In the other dimension, you never see it this pretty.\Really?\I know.\I am Kikyo, and yet not Kikyo.\That's why I resisted.\Yet, why?\Why does my heart... yearn so much?\Inuyasha... response:	Which does my heart wish for?
context: Really?\I know.\I am Kikyo, and yet not Kikyo.\That's why I resisted.\Yet, why?\Why does my heart... yearn so much?\Inuyasha...\Which does my heart wish for? response:	Listen, listen, Shippo!
context: I know.\I am Kikyo, and yet not Kikyo.\That's why I resisted.\Yet, why?\Why does my heart... yearn so much?\Inuyasha...\Which does my heart wish for?\Listen, listen, Shippo! response:	Inuyasha headed out alone to see Old Totosai!
context: I am Kikyo, and yet not Kikyo.\That's why I resisted.\Yet, why?\Why does my heart... yearn so much?\Inuyasha...\Which does my heart wish for?\Listen, listen, Shippo!\Inuyasha headed out alone to see Old Totosai! response:	Totosai is the one who forged Tetsusaiga!
context: That's why I resisted.\Yet, why?\Why does my heart... yearn so much?\Inuyasha...\Which does my heart wish for?\Listen, listen, Shippo!\Inuyasha headed out alone to see Old Totosai!\Totosai is the one who forged Tetsusaiga! response:	Inuyasha wants to learn a technique to break through Naraku's barrier.
context: Yet, why?\Why does my heart... yearn so much?\Inuyasha...\Which does my heart wish for?\Listen, listen, Shippo!\Inuyasha headed out alone to see Old Totosai!\Totosai is the one who forged Tetsusaiga!\Inuyasha wants to learn a technique to break through Naraku's barrier. response:	Huh?! Inuyasha's a fool! It won't be so easy!
context: Why does my heart... yearn so much?\Inuyasha...\Which does my heart wish for?\Listen, listen, Shippo!\Inuyasha headed out alone to see Old Totosai!\Totosai is the one who forged Tetsusaiga!\Inuyasha wants to learn a technique to break through Naraku's barrier.\Huh?! Inuyasha's a fool! It won't be so easy! response:	I know.
context: Inuyasha...\Which does my heart wish for?\Listen, listen, Shippo!\Inuyasha headed out alone to see Old Totosai!\Totosai is the one who forged Tetsusaiga!\Inuyasha wants to learn a technique to break through Naraku's barrier.\Huh?! Inuyasha's a fool! It won't be so easy!\I know. response:	Old Totosai... he'll make it impossible for Inuyasha!
context: Which does my heart wish for?\Listen, listen, Shippo!\Inuyasha headed out alone to see Old Totosai!\Totosai is the one who forged Tetsusaiga!\Inuyasha wants to learn a technique to break through Naraku's barrier.\Huh?! Inuyasha's a fool! It won't be so easy!\I know.\Old Totosai... he'll make it impossible for Inuyasha! response:	Next on Inuyasha: Totosai's Rigid Training!
context: Listen, listen, Shippo!\Inuyasha headed out alone to see Old Totosai!\Totosai is the one who forged Tetsusaiga!\Inuyasha wants to learn a technique to break through Naraku's barrier.\Huh?! Inuyasha's a fool! It won't be so easy!\I know.\Old Totosai... he'll make it impossible for Inuyasha!\Next on Inuyasha: Totosai's Rigid Training! response:	What?! Inuyasha has a fellow trainee who's his superior?!
