context: I'm Kinoshita Kazuya, twenty years old, response:	and I'm a college student living by myself in Tokyo.
context: He has such a beautiful girlfriend! Do you have any idea what this means?!\Our Kazuya, of all people!\After showing no signs of anything resembling a love life for twenty whole years...\Kazuya... Our Kazuya has...\We're heading back to the store. Watch over her, Kazuya.\Sure.\And make sure you walk your girlfriend back, okay?\Chizuru-san, come visit our home sometime. response:	Thank you.
context: Our Kazuya, of all people!\After showing no signs of anything resembling a love life for twenty whole years...\Kazuya... Our Kazuya has...\We're heading back to the store. Watch over her, Kazuya.\Sure.\And make sure you walk your girlfriend back, okay?\Chizuru-san, come visit our home sometime.\Thank you. response:	By the way, you two...
context: After showing no signs of anything resembling a love life for twenty whole years...\Kazuya... Our Kazuya has...\We're heading back to the store. Watch over her, Kazuya.\Sure.\And make sure you walk your girlfriend back, okay?\Chizuru-san, come visit our home sometime.\Thank you.\By the way, you two... response:	Have you had sex already?
context: Kazuya... Our Kazuya has...\We're heading back to the store. Watch over her, Kazuya.\Sure.\And make sure you walk your girlfriend back, okay?\Chizuru-san, come visit our home sometime.\Thank you.\By the way, you two...\Have you had sex already? response:	Gran!
context: We're heading back to the store. Watch over her, Kazuya.\Sure.\And make sure you walk your girlfriend back, okay?\Chizuru-san, come visit our home sometime.\Thank you.\By the way, you two...\Have you had sex already?\Gran! response:	Physical compatibility matters a lot in a marriage.
context: Sure.\And make sure you walk your girlfriend back, okay?\Chizuru-san, come visit our home sometime.\Thank you.\By the way, you two...\Have you had sex already?\Gran!\Physical compatibility matters a lot in a marriage. response:	M-Marriage?
context: And make sure you walk your girlfriend back, okay?\Chizuru-san, come visit our home sometime.\Thank you.\By the way, you two...\Have you had sex already?\Gran!\Physical compatibility matters a lot in a marriage.\M-Marriage? response:	Kazuya-san and I have talked about it.
context: Chizuru-san, come visit our home sometime.\Thank you.\By the way, you two...\Have you had sex already?\Gran!\Physical compatibility matters a lot in a marriage.\M-Marriage?\Kazuya-san and I have talked about it. response:	We both want to take these things seriously.
context: Thank you.\By the way, you two...\Have you had sex already?\Gran!\Physical compatibility matters a lot in a marriage.\M-Marriage?\Kazuya-san and I have talked about it.\We both want to take these things seriously. response:	He's your family's eldest son, so we wanted to hold off until we had your approval.
context: By the way, you two...\Have you had sex already?\Gran!\Physical compatibility matters a lot in a marriage.\M-Marriage?\Kazuya-san and I have talked about it.\We both want to take these things seriously.\He's your family's eldest son, so we wanted to hold off until we had your approval. response:	Her ad-libbing skill is on point!
context: Have you had sex already?\Gran!\Physical compatibility matters a lot in a marriage.\M-Marriage?\Kazuya-san and I have talked about it.\We both want to take these things seriously.\He's your family's eldest son, so we wanted to hold off until we had your approval.\Her ad-libbing skill is on point! response:	Do it! You have my permission!
context: Gran!\Physical compatibility matters a lot in a marriage.\M-Marriage?\Kazuya-san and I have talked about it.\We both want to take these things seriously.\He's your family's eldest son, so we wanted to hold off until we had your approval.\Her ad-libbing skill is on point!\Do it! You have my permission! response:	Day or night, whenever! As much as you want!
context: Physical compatibility matters a lot in a marriage.\M-Marriage?\Kazuya-san and I have talked about it.\We both want to take these things seriously.\He's your family's eldest son, so we wanted to hold off until we had your approval.\Her ad-libbing skill is on point!\Do it! You have my permission!\Day or night, whenever! As much as you want! response:	Gran!
context: M-Marriage?\Kazuya-san and I have talked about it.\We both want to take these things seriously.\He's your family's eldest son, so we wanted to hold off until we had your approval.\Her ad-libbing skill is on point!\Do it! You have my permission!\Day or night, whenever! As much as you want!\Gran! response:	If you say so...
context: Kazuya-san and I have talked about it.\We both want to take these things seriously.\He's your family's eldest son, so we wanted to hold off until we had your approval.\Her ad-libbing skill is on point!\Do it! You have my permission!\Day or night, whenever! As much as you want!\Gran!\If you say so... response:	I guess we could.
context: We both want to take these things seriously.\He's your family's eldest son, so we wanted to hold off until we had your approval.\Her ad-libbing skill is on point!\Do it! You have my permission!\Day or night, whenever! As much as you want!\Gran!\If you say so...\I guess we could. response:	This is an act
context: He's your family's eldest son, so we wanted to hold off until we had your approval.\Her ad-libbing skill is on point!\Do it! You have my permission!\Day or night, whenever! As much as you want!\Gran!\If you say so...\I guess we could.\This is an act response:	This is an act!
context: Her ad-libbing skill is on point!\Do it! You have my permission!\Day or night, whenever! As much as you want!\Gran!\If you say so...\I guess we could.\This is an act\This is an act! response:	This is an act! It's all an act!
context: Do it! You have my permission!\Day or night, whenever! As much as you want!\Gran!\If you say so...\I guess we could.\This is an act\This is an act!\This is an act! It's all an act! response:	Oh, right! Let me go get the other old girls!
context: Day or night, whenever! As much as you want!\Gran!\If you say so...\I guess we could.\This is an act\This is an act!\This is an act! It's all an act!\Oh, right! Let me go get the other old girls! response:	Others?
context: Gran!\If you say so...\I guess we could.\This is an act\This is an act!\This is an act! It's all an act!\Oh, right! Let me go get the other old girls!\Others? response:	They asked me to introduce my grandson's girlfriend if he ever got one!
context: If you say so...\I guess we could.\This is an act\This is an act!\This is an act! It's all an act!\Oh, right! Let me go get the other old girls!\Others?\They asked me to introduce my grandson's girlfriend if he ever got one! response:	Hey, what's going on here?
context: I guess we could.\This is an act\This is an act!\This is an act! It's all an act!\Oh, right! Let me go get the other old girls!\Others?\They asked me to introduce my grandson's girlfriend if he ever got one!\Hey, what's going on here? response:	You didn't mention any of this!
context: This is an act\This is an act!\This is an act! It's all an act!\Oh, right! Let me go get the other old girls!\Others?\They asked me to introduce my grandson's girlfriend if he ever got one!\Hey, what's going on here?\You didn't mention any of this! response:	Oh, this is the third time she's been hospitalized here.
context: This is an act!\This is an act! It's all an act!\Oh, right! Let me go get the other old girls!\Others?\They asked me to introduce my grandson's girlfriend if he ever got one!\Hey, what's going on here?\You didn't mention any of this!\Oh, this is the third time she's been hospitalized here. response:	Sucks, right?
context: This is an act! It's all an act!\Oh, right! Let me go get the other old girls!\Others?\They asked me to introduce my grandson's girlfriend if he ever got one!\Hey, what's going on here?\You didn't mention any of this!\Oh, this is the third time she's been hospitalized here.\Sucks, right? response:	It seems she's made quite a few friends here.
context: Oh, right! Let me go get the other old girls!\Others?\They asked me to introduce my grandson's girlfriend if he ever got one!\Hey, what's going on here?\You didn't mention any of this!\Oh, this is the third time she's been hospitalized here.\Sucks, right?\It seems she's made quite a few friends here. response:	What do I do? This is bad!
context: Others?\They asked me to introduce my grandson's girlfriend if he ever got one!\Hey, what's going on here?\You didn't mention any of this!\Oh, this is the third time she's been hospitalized here.\Sucks, right?\It seems she's made quite a few friends here.\What do I do? This is bad! response:	Why are you panicking?
context: They asked me to introduce my grandson's girlfriend if he ever got one!\Hey, what's going on here?\You didn't mention any of this!\Oh, this is the third time she's been hospitalized here.\Sucks, right?\It seems she's made quite a few friends here.\What do I do? This is bad!\Why are you panicking? response:	Did I do something wrong?
context: Hey, what's going on here?\You didn't mention any of this!\Oh, this is the third time she's been hospitalized here.\Sucks, right?\It seems she's made quite a few friends here.\What do I do? This is bad!\Why are you panicking?\Did I do something wrong? response:	She's here...
context: You didn't mention any of this!\Oh, this is the third time she's been hospitalized here.\Sucks, right?\It seems she's made quite a few friends here.\What do I do? This is bad!\Why are you panicking?\Did I do something wrong?\She's here... response:	My grandma's an in-patient at this hospital, too.
context: Oh, this is the third time she's been hospitalized here.\Sucks, right?\It seems she's made quite a few friends here.\What do I do? This is bad!\Why are you panicking?\Did I do something wrong?\She's here...\My grandma's an in-patient at this hospital, too. response:	What?!
context: Sucks, right?\It seems she's made quite a few friends here.\What do I do? This is bad!\Why are you panicking?\Did I do something wrong?\She's here...\My grandma's an in-patient at this hospital, too.\What?! response:	I haven't told her anything about the rental girlfriend job.
context: It seems she's made quite a few friends here.\What do I do? This is bad!\Why are you panicking?\Did I do something wrong?\She's here...\My grandma's an in-patient at this hospital, too.\What?!\I haven't told her anything about the rental girlfriend job. response:	Isn't that really bad news?
context: What do I do? This is bad!\Why are you panicking?\Did I do something wrong?\She's here...\My grandma's an in-patient at this hospital, too.\What?!\I haven't told her anything about the rental girlfriend job.\Isn't that really bad news? response:	That's exactly what I said!
context: Why are you panicking?\Did I do something wrong?\She's here...\My grandma's an in-patient at this hospital, too.\What?!\I haven't told her anything about the rental girlfriend job.\Isn't that really bad news?\That's exactly what I said! response:	Anyway, I need to get out of here!
context: Did I do something wrong?\She's here...\My grandma's an in-patient at this hospital, too.\What?!\I haven't told her anything about the rental girlfriend job.\Isn't that really bad news?\That's exactly what I said!\Anyway, I need to get out of here! response:	Hey...
context: She's here...\My grandma's an in-patient at this hospital, too.\What?!\I haven't told her anything about the rental girlfriend job.\Isn't that really bad news?\That's exactly what I said!\Anyway, I need to get out of here!\Hey... response:	Follow me, everyone.
context: My grandma's an in-patient at this hospital, too.\What?!\I haven't told her anything about the rental girlfriend job.\Isn't that really bad news?\That's exactly what I said!\Anyway, I need to get out of here!\Hey...\Follow me, everyone. response:	She's a real babe, I tell you!
context: What?!\I haven't told her anything about the rental girlfriend job.\Isn't that really bad news?\That's exactly what I said!\Anyway, I need to get out of here!\Hey...\Follow me, everyone.\She's a real babe, I tell you! response:	I've never seen a girl that hot!
context: I haven't told her anything about the rental girlfriend job.\Isn't that really bad news?\That's exactly what I said!\Anyway, I need to get out of here!\Hey...\Follow me, everyone.\She's a real babe, I tell you!\I've never seen a girl that hot! response:	Crap! They're here!
context: Isn't that really bad news?\That's exactly what I said!\Anyway, I need to get out of here!\Hey...\Follow me, everyone.\She's a real babe, I tell you!\I've never seen a girl that hot!\Crap! They're here! response:	This way!
context: That's exactly what I said!\Anyway, I need to get out of here!\Hey...\Follow me, everyone.\She's a real babe, I tell you!\I've never seen a girl that hot!\Crap! They're here!\This way! response:	Try not to collapse in shock, Tanaka-san.
context: Anyway, I need to get out of here!\Hey...\Follow me, everyone.\She's a real babe, I tell you!\I've never seen a girl that hot!\Crap! They're here!\This way!\Try not to collapse in shock, Tanaka-san. response:	I'll be just fine!
context: Hey...\Follow me, everyone.\She's a real babe, I tell you!\I've never seen a girl that hot!\Crap! They're here!\This way!\Try not to collapse in shock, Tanaka-san.\I'll be just fine! response:	The rest of you watch out for heart attacks, too!
context: Follow me, everyone.\She's a real babe, I tell you!\I've never seen a girl that hot!\Crap! They're here!\This way!\Try not to collapse in shock, Tanaka-san.\I'll be just fine!\The rest of you watch out for heart attacks, too! response:	I can't wait...
context: She's a real babe, I tell you!\I've never seen a girl that hot!\Crap! They're here!\This way!\Try not to collapse in shock, Tanaka-san.\I'll be just fine!\The rest of you watch out for heart attacks, too!\I can't wait... response:	Huh? They're gone.
context: I've never seen a girl that hot!\Crap! They're here!\This way!\Try not to collapse in shock, Tanaka-san.\I'll be just fine!\The rest of you watch out for heart attacks, too!\I can't wait...\Huh? They're gone. response:	A vacant room?
context: Crap! They're here!\This way!\Try not to collapse in shock, Tanaka-san.\I'll be just fine!\The rest of you watch out for heart attacks, too!\I can't wait...\Huh? They're gone.\A vacant room? response:	They were here just a minute ago!
context: This way!\Try not to collapse in shock, Tanaka-san.\I'll be just fine!\The rest of you watch out for heart attacks, too!\I can't wait...\Huh? They're gone.\A vacant room?\They were here just a minute ago! response:	It's true! Believe me!
context: Try not to collapse in shock, Tanaka-san.\I'll be just fine!\The rest of you watch out for heart attacks, too!\I can't wait...\Huh? They're gone.\A vacant room?\They were here just a minute ago!\It's true! Believe me! response:	We're not doubting you, Kinoshita-san.
context: I'll be just fine!\The rest of you watch out for heart attacks, too!\I can't wait...\Huh? They're gone.\A vacant room?\They were here just a minute ago!\It's true! Believe me!\We're not doubting you, Kinoshita-san. response:	It's only a matter of time before they find us here.
context: The rest of you watch out for heart attacks, too!\I can't wait...\Huh? They're gone.\A vacant room?\They were here just a minute ago!\It's true! Believe me!\We're not doubting you, Kinoshita-san.\It's only a matter of time before they find us here. response:	They can't have gone too far.
context: I can't wait...\Huh? They're gone.\A vacant room?\They were here just a minute ago!\It's true! Believe me!\We're not doubting you, Kinoshita-san.\It's only a matter of time before they find us here.\They can't have gone too far. response:	Wanna exit through the window?
context: Huh? They're gone.\A vacant room?\They were here just a minute ago!\It's true! Believe me!\We're not doubting you, Kinoshita-san.\It's only a matter of time before they find us here.\They can't have gone too far.\Wanna exit through the window? response:	Let's look for them!
context: A vacant room?\They were here just a minute ago!\It's true! Believe me!\We're not doubting you, Kinoshita-san.\It's only a matter of time before they find us here.\They can't have gone too far.\Wanna exit through the window?\Let's look for them! response:	We're on the fifth floor, you know.
context: They were here just a minute ago!\It's true! Believe me!\We're not doubting you, Kinoshita-san.\It's only a matter of time before they find us here.\They can't have gone too far.\Wanna exit through the window?\Let's look for them!\We're on the fifth floor, you know. response:	Fifth floor (15m high)
context: It's true! Believe me!\We're not doubting you, Kinoshita-san.\It's only a matter of time before they find us here.\They can't have gone too far.\Wanna exit through the window?\Let's look for them!\We're on the fifth floor, you know.\Fifth floor (15m high) response:	Then what do we do?
context: We're not doubting you, Kinoshita-san.\It's only a matter of time before they find us here.\They can't have gone too far.\Wanna exit through the window?\Let's look for them!\We're on the fifth floor, you know.\Fifth floor (15m high)\Then what do we do? response:	We'll have to leave one at a time.
context: It's only a matter of time before they find us here.\They can't have gone too far.\Wanna exit through the window?\Let's look for them!\We're on the fifth floor, you know.\Fifth floor (15m high)\Then what do we do?\We'll have to leave one at a time. response:	You go first and distract them.
context: They can't have gone too far.\Wanna exit through the window?\Let's look for them!\We're on the fifth floor, you know.\Fifth floor (15m high)\Then what do we do?\We'll have to leave one at a time.\You go first and distract them. response:	I'll use that chance to get outside.
context: Wanna exit through the window?\Let's look for them!\We're on the fifth floor, you know.\Fifth floor (15m high)\Then what do we do?\We'll have to leave one at a time.\You go first and distract them.\I'll use that chance to get outside. response:	Distract them? How?
context: Let's look for them!\We're on the fifth floor, you know.\Fifth floor (15m high)\Then what do we do?\We'll have to leave one at a time.\You go first and distract them.\I'll use that chance to get outside.\Distract them? How? response:	Figure that out yourself!
context: We're on the fifth floor, you know.\Fifth floor (15m high)\Then what do we do?\We'll have to leave one at a time.\You go first and distract them.\I'll use that chance to get outside.\Distract them? How?\Figure that out yourself! response:	Did anyone check this room?
context: Fifth floor (15m high)\Then what do we do?\We'll have to leave one at a time.\You go first and distract them.\I'll use that chance to get outside.\Distract them? How?\Figure that out yourself!\Did anyone check this room? response:	I thought that room was unoccupied.
context: Then what do we do?\We'll have to leave one at a time.\You go first and distract them.\I'll use that chance to get outside.\Distract them? How?\Figure that out yourself!\Did anyone check this room?\I thought that room was unoccupied. response:	Let's check it just in case.
context: We'll have to leave one at a time.\You go first and distract them.\I'll use that chance to get outside.\Distract them? How?\Figure that out yourself!\Did anyone check this room?\I thought that room was unoccupied.\Let's check it just in case. response:	Th-They're coming!
context: You go first and distract them.\I'll use that chance to get outside.\Distract them? How?\Figure that out yourself!\Did anyone check this room?\I thought that room was unoccupied.\Let's check it just in case.\Th-They're coming! response:	Get over here!
context: I'll use that chance to get outside.\Distract them? How?\Figure that out yourself!\Did anyone check this room?\I thought that room was unoccupied.\Let's check it just in case.\Th-They're coming!\Get over here! response:	Not here, either?
context: Distract them? How?\Figure that out yourself!\Did anyone check this room?\I thought that room was unoccupied.\Let's check it just in case.\Th-They're coming!\Get over here!\Not here, either? response:	Where art thou, Chizuru?
context: Figure that out yourself!\Did anyone check this room?\I thought that room was unoccupied.\Let's check it just in case.\Th-They're coming!\Get over here!\Not here, either?\Where art thou, Chizuru? response:	Kazuya?
context: Did anyone check this room?\I thought that room was unoccupied.\Let's check it just in case.\Th-They're coming!\Get over here!\Not here, either?\Where art thou, Chizuru?\Kazuya? response:	Hey, what's the big idea?!
context: I thought that room was unoccupied.\Let's check it just in case.\Th-They're coming!\Get over here!\Not here, either?\Where art thou, Chizuru?\Kazuya?\Hey, what's the big idea?! response:	Keep it down, stupid!
context: Let's check it just in case.\Th-They're coming!\Get over here!\Not here, either?\Where art thou, Chizuru?\Kazuya?\Hey, what's the big idea?!\Keep it down, stupid! response:	Easy for you to say!
context: Th-They're coming!\Get over here!\Not here, either?\Where art thou, Chizuru?\Kazuya?\Hey, what's the big idea?!\Keep it down, stupid!\Easy for you to say! response:	This is...
context: Get over here!\Not here, either?\Where art thou, Chizuru?\Kazuya?\Hey, what's the big idea?!\Keep it down, stupid!\Easy for you to say!\This is... response:	the biggest crisis of all!
context: Not here, either?\Where art thou, Chizuru?\Kazuya?\Hey, what's the big idea?!\Keep it down, stupid!\Easy for you to say!\This is...\the biggest crisis of all! response:	What in the world is wrong with you?!
context: Where art thou, Chizuru?\Kazuya?\Hey, what's the big idea?!\Keep it down, stupid!\Easy for you to say!\This is...\the biggest crisis of all!\What in the world is wrong with you?! response:	Nothing! It's not my fault!
context: Kazuya?\Hey, what's the big idea?!\Keep it down, stupid!\Easy for you to say!\This is...\the biggest crisis of all!\What in the world is wrong with you?!\Nothing! It's not my fault! response:	It's a natural response for any twenty-year-old guy!
context: Hey, what's the big idea?!\Keep it down, stupid!\Easy for you to say!\This is...\the biggest crisis of all!\What in the world is wrong with you?!\Nothing! It's not my fault!\It's a natural response for any twenty-year-old guy! response:	Get it back down right now!
context: Keep it down, stupid!\Easy for you to say!\This is...\the biggest crisis of all!\What in the world is wrong with you?!\Nothing! It's not my fault!\It's a natural response for any twenty-year-old guy!\Get it back down right now! response:	I can't, okay? I just can't!
context: Easy for you to say!\This is...\the biggest crisis of all!\What in the world is wrong with you?!\Nothing! It's not my fault!\It's a natural response for any twenty-year-old guy!\Get it back down right now!\I can't, okay? I just can't! response:	If you keep it up, I'll report you to the agency.
context: This is...\the biggest crisis of all!\What in the world is wrong with you?!\Nothing! It's not my fault!\It's a natural response for any twenty-year-old guy!\Get it back down right now!\I can't, okay? I just can't!\If you keep it up, I'll report you to the agency. response:	Don't move! You're making it worse!
context: the biggest crisis of all!\What in the world is wrong with you?!\Nothing! It's not my fault!\It's a natural response for any twenty-year-old guy!\Get it back down right now!\I can't, okay? I just can't!\If you keep it up, I'll report you to the agency.\Don't move! You're making it worse! response:	Uh...
context: What in the world is wrong with you?!\Nothing! It's not my fault!\It's a natural response for any twenty-year-old guy!\Get it back down right now!\I can't, okay? I just can't!\If you keep it up, I'll report you to the agency.\Don't move! You're making it worse!\Uh... response:	Are you all right?
context: Nothing! It's not my fault!\It's a natural response for any twenty-year-old guy!\Get it back down right now!\I can't, okay? I just can't!\If you keep it up, I'll report you to the agency.\Don't move! You're making it worse!\Uh...\Are you all right? response:	I'm fine, thank you.
context: It's a natural response for any twenty-year-old guy!\Get it back down right now!\I can't, okay? I just can't!\If you keep it up, I'll report you to the agency.\Don't move! You're making it worse!\Uh...\Are you all right?\I'm fine, thank you. response:	That's good.
context: Get it back down right now!\I can't, okay? I just can't!\If you keep it up, I'll report you to the agency.\Don't move! You're making it worse!\Uh...\Are you all right?\I'm fine, thank you.\That's good. response:	If I may ask, have you seen a young couple around?
context: I can't, okay? I just can't!\If you keep it up, I'll report you to the agency.\Don't move! You're making it worse!\Uh...\Are you all right?\I'm fine, thank you.\That's good.\If I may ask, have you seen a young couple around? response:	I-I heard them talking about leaving the hospital.
context: If you keep it up, I'll report you to the agency.\Don't move! You're making it worse!\Uh...\Are you all right?\I'm fine, thank you.\That's good.\If I may ask, have you seen a young couple around?\I-I heard them talking about leaving the hospital. response:	Really? Thank you!
context: Don't move! You're making it worse!\Uh...\Are you all right?\I'm fine, thank you.\That's good.\If I may ask, have you seen a young couple around?\I-I heard them talking about leaving the hospital.\Really? Thank you! response:	The targets are outside!
context: Uh...\Are you all right?\I'm fine, thank you.\That's good.\If I may ask, have you seen a young couple around?\I-I heard them talking about leaving the hospital.\Really? Thank you!\The targets are outside! response:	Looks like she's gone.
context: Are you all right?\I'm fine, thank you.\That's good.\If I may ask, have you seen a young couple around?\I-I heard them talking about leaving the hospital.\Really? Thank you!\The targets are outside!\Looks like she's gone. response:	Yeah...
context: I'm fine, thank you.\That's good.\If I may ask, have you seen a young couple around?\I-I heard them talking about leaving the hospital.\Really? Thank you!\The targets are outside!\Looks like she's gone.\Yeah... response:	This range is l-lethal...
context: That's good.\If I may ask, have you seen a young couple around?\I-I heard them talking about leaving the hospital.\Really? Thank you!\The targets are outside!\Looks like she's gone.\Yeah...\This range is l-lethal... response:	What a slender...
context: If I may ask, have you seen a young couple around?\I-I heard them talking about leaving the hospital.\Really? Thank you!\The targets are outside!\Looks like she's gone.\Yeah...\This range is l-lethal...\What a slender... response:	and soft... body!
context: I-I heard them talking about leaving the hospital.\Really? Thank you!\The targets are outside!\Looks like she's gone.\Yeah...\This range is l-lethal...\What a slender...\and soft... body! response:	Wait, right now...
context: Really? Thank you!\The targets are outside!\Looks like she's gone.\Yeah...\This range is l-lethal...\What a slender...\and soft... body!\Wait, right now... response:	She's my girlfriend, isn't she?
context: The targets are outside!\Looks like she's gone.\Yeah...\This range is l-lethal...\What a slender...\and soft... body!\Wait, right now...\She's my girlfriend, isn't she? response:	Like hell!
context: Looks like she's gone.\Yeah...\This range is l-lethal...\What a slender...\and soft... body!\Wait, right now...\She's my girlfriend, isn't she?\Like hell! response:	What are you thinking?
context: Yeah...\This range is l-lethal...\What a slender...\and soft... body!\Wait, right now...\She's my girlfriend, isn't she?\Like hell!\What are you thinking? response:	Don't forget that I'm just a rental girlfriend!
context: This range is l-lethal...\What a slender...\and soft... body!\Wait, right now...\She's my girlfriend, isn't she?\Like hell!\What are you thinking?\Don't forget that I'm just a rental girlfriend! response:	Hell could freeze over, and I still wouldn't be yours for real!
context: What a slender...\and soft... body!\Wait, right now...\She's my girlfriend, isn't she?\Like hell!\What are you thinking?\Don't forget that I'm just a rental girlfriend!\Hell could freeze over, and I still wouldn't be yours for real! response:	Chizuru?
context: and soft... body!\Wait, right now...\She's my girlfriend, isn't she?\Like hell!\What are you thinking?\Don't forget that I'm just a rental girlfriend!\Hell could freeze over, and I still wouldn't be yours for real!\Chizuru? response:	Is that you, Chizuru?
context: Wait, right now...\She's my girlfriend, isn't she?\Like hell!\What are you thinking?\Don't forget that I'm just a rental girlfriend!\Hell could freeze over, and I still wouldn't be yours for real!\Chizuru?\Is that you, Chizuru? response:	Grandma...
context: She's my girlfriend, isn't she?\Like hell!\What are you thinking?\Don't forget that I'm just a rental girlfriend!\Hell could freeze over, and I still wouldn't be yours for real!\Chizuru?\Is that you, Chizuru?\Grandma... response:	What's the matter, Ichinose-san?
context: Like hell!\What are you thinking?\Don't forget that I'm just a rental girlfriend!\Hell could freeze over, and I still wouldn't be yours for real!\Chizuru?\Is that you, Chizuru?\Grandma...\What's the matter, Ichinose-san? response:	Kazuya!
context: What are you thinking?\Don't forget that I'm just a rental girlfriend!\Hell could freeze over, and I still wouldn't be yours for real!\Chizuru?\Is that you, Chizuru?\Grandma...\What's the matter, Ichinose-san?\Kazuya! response:	What? So this is Kazuya-kun?
context: Don't forget that I'm just a rental girlfriend!\Hell could freeze over, and I still wouldn't be yours for real!\Chizuru?\Is that you, Chizuru?\Grandma...\What's the matter, Ichinose-san?\Kazuya!\What? So this is Kazuya-kun? response:	You mean your grandson's girlfriend is Chizuru?
context: Hell could freeze over, and I still wouldn't be yours for real!\Chizuru?\Is that you, Chizuru?\Grandma...\What's the matter, Ichinose-san?\Kazuya!\What? So this is Kazuya-kun?\You mean your grandson's girlfriend is Chizuru? response:	Are you serious?!
context: Chizuru?\Is that you, Chizuru?\Grandma...\What's the matter, Ichinose-san?\Kazuya!\What? So this is Kazuya-kun?\You mean your grandson's girlfriend is Chizuru?\Are you serious?! response:	Chizuru is my granddaughter.
context: Is that you, Chizuru?\Grandma...\What's the matter, Ichinose-san?\Kazuya!\What? So this is Kazuya-kun?\You mean your grandson's girlfriend is Chizuru?\Are you serious?!\Chizuru is my granddaughter. response:	I shouldn't make this worse for her!
context: Grandma...\What's the matter, Ichinose-san?\Kazuya!\What? So this is Kazuya-kun?\You mean your grandson's girlfriend is Chizuru?\Are you serious?!\Chizuru is my granddaughter.\I shouldn't make this worse for her! response:	Sorry, Gran!
context: What's the matter, Ichinose-san?\Kazuya!\What? So this is Kazuya-kun?\You mean your grandson's girlfriend is Chizuru?\Are you serious?!\Chizuru is my granddaughter.\I shouldn't make this worse for her!\Sorry, Gran! response:	I don't really have a girl
context: Kazuya!\What? So this is Kazuya-kun?\You mean your grandson's girlfriend is Chizuru?\Are you serious?!\Chizuru is my granddaughter.\I shouldn't make this worse for her!\Sorry, Gran!\I don't really have a girl response:	What?
context: What? So this is Kazuya-kun?\You mean your grandson's girlfriend is Chizuru?\Are you serious?!\Chizuru is my granddaughter.\I shouldn't make this worse for her!\Sorry, Gran!\I don't really have a girl\What? response:	Kazuya-san's grandmother and mine are friends?
context: You mean your grandson's girlfriend is Chizuru?\Are you serious?!\Chizuru is my granddaughter.\I shouldn't make this worse for her!\Sorry, Gran!\I don't really have a girl\What?\Kazuya-san's grandmother and mine are friends? response:	What a coincidence! Like it was written in the stars!
context: Are you serious?!\Chizuru is my granddaughter.\I shouldn't make this worse for her!\Sorry, Gran!\I don't really have a girl\What?\Kazuya-san's grandmother and mine are friends?\What a coincidence! Like it was written in the stars! response:	Or something...
context: Chizuru is my granddaughter.\I shouldn't make this worse for her!\Sorry, Gran!\I don't really have a girl\What?\Kazuya-san's grandmother and mine are friends?\What a coincidence! Like it was written in the stars!\Or something... response:	Ichinose Sayuri
context: I shouldn't make this worse for her!\Sorry, Gran!\I don't really have a girl\What?\Kazuya-san's grandmother and mine are friends?\What a coincidence! Like it was written in the stars!\Or something...\Ichinose Sayuri response:	I don't believe it.
context: Sorry, Gran!\I don't really have a girl\What?\Kazuya-san's grandmother and mine are friends?\What a coincidence! Like it was written in the stars!\Or something...\Ichinose Sayuri\I don't believe it. response:	To think Chizuru was your granddaughter, Ichinose-san!
context: I don't really have a girl\What?\Kazuya-san's grandmother and mine are friends?\What a coincidence! Like it was written in the stars!\Or something...\Ichinose Sayuri\I don't believe it.\To think Chizuru was your granddaughter, Ichinose-san! response:	I don't believe it, either.
context: What?\Kazuya-san's grandmother and mine are friends?\What a coincidence! Like it was written in the stars!\Or something...\Ichinose Sayuri\I don't believe it.\To think Chizuru was your granddaughter, Ichinose-san!\I don't believe it, either. response:	But it all makes sense now.
context: Kazuya-san's grandmother and mine are friends?\What a coincidence! Like it was written in the stars!\Or something...\Ichinose Sayuri\I don't believe it.\To think Chizuru was your granddaughter, Ichinose-san!\I don't believe it, either.\But it all makes sense now. response:	Of course your granddaughter would be a bombshell in every possible way!
context: What a coincidence! Like it was written in the stars!\Or something...\Ichinose Sayuri\I don't believe it.\To think Chizuru was your granddaughter, Ichinose-san!\I don't believe it, either.\But it all makes sense now.\Of course your granddaughter would be a bombshell in every possible way! response:	Oh, please.
context: Or something...\Ichinose Sayuri\I don't believe it.\To think Chizuru was your granddaughter, Ichinose-san!\I don't believe it, either.\But it all makes sense now.\Of course your granddaughter would be a bombshell in every possible way!\Oh, please. response:	I can also rest easy if Chizuru is dating your grandson, Kinoshita-san.
context: Ichinose Sayuri\I don't believe it.\To think Chizuru was your granddaughter, Ichinose-san!\I don't believe it, either.\But it all makes sense now.\Of course your granddaughter would be a bombshell in every possible way!\Oh, please.\I can also rest easy if Chizuru is dating your grandson, Kinoshita-san. response:	Here's hoping we go from friends to family when they get married.
context: I don't believe it.\To think Chizuru was your granddaughter, Ichinose-san!\I don't believe it, either.\But it all makes sense now.\Of course your granddaughter would be a bombshell in every possible way!\Oh, please.\I can also rest easy if Chizuru is dating your grandson, Kinoshita-san.\Here's hoping we go from friends to family when they get married. response:	Likewise.
context: To think Chizuru was your granddaughter, Ichinose-san!\I don't believe it, either.\But it all makes sense now.\Of course your granddaughter would be a bombshell in every possible way!\Oh, please.\I can also rest easy if Chizuru is dating your grandson, Kinoshita-san.\Here's hoping we go from friends to family when they get married.\Likewise. response:	Say no to collusion!
