context: CCG Base to 203, response:	trespassers reported in the 20th Ward at the Aqua Building.
context: It's rough here on my own.\Hide...\Thanks.\But I'm sorry.\A ghoul doesn't have any need to eat this much\in this short amount of time in the first place.\One dead body will allow them to survive for a month or two.\One dead body will allow them to survive for a month or two. response:	One dead body will allow them to survive for a month or two.
context: Hide...\Thanks.\But I'm sorry.\A ghoul doesn't have any need to eat this much\in this short amount of time in the first place.\One dead body will allow them to survive for a month or two.\One dead body will allow them to survive for a month or two.\One dead body will allow them to survive for a month or two. response:	Mr. Ogura, can't ghouls be satisfied
context: Thanks.\But I'm sorry.\A ghoul doesn't have any need to eat this much\in this short amount of time in the first place.\One dead body will allow them to survive for a month or two.\One dead body will allow them to survive for a month or two.\One dead body will allow them to survive for a month or two.\Mr. Ogura, can't ghouls be satisfied response:	by eating the same food as humans do?
context: But I'm sorry.\A ghoul doesn't have any need to eat this much\in this short amount of time in the first place.\One dead body will allow them to survive for a month or two.\One dead body will allow them to survive for a month or two.\One dead body will allow them to survive for a month or two.\Mr. Ogura, can't ghouls be satisfied\by eating the same food as humans do? response:	No, ghouls are only able to derive their nutrition from people.
context: A ghoul doesn't have any need to eat this much\in this short amount of time in the first place.\One dead body will allow them to survive for a month or two.\One dead body will allow them to survive for a month or two.\One dead body will allow them to survive for a month or two.\Mr. Ogura, can't ghouls be satisfied\by eating the same food as humans do?\No, ghouls are only able to derive their nutrition from people. response:	Not to mention that their tongues work differently than ours do.
context: in this short amount of time in the first place.\One dead body will allow them to survive for a month or two.\One dead body will allow them to survive for a month or two.\One dead body will allow them to survive for a month or two.\Mr. Ogura, can't ghouls be satisfied\by eating the same food as humans do?\No, ghouls are only able to derive their nutrition from people.\Not to mention that their tongues work differently than ours do. response:	Ogura Hisashi, Ghoul Expert
context: One dead body will allow them to survive for a month or two.\One dead body will allow them to survive for a month or two.\One dead body will allow them to survive for a month or two.\Mr. Ogura, can't ghouls be satisfied\by eating the same food as humans do?\No, ghouls are only able to derive their nutrition from people.\Not to mention that their tongues work differently than ours do.\Ogura Hisashi, Ghoul Expert response:	Not to mention that their tongues work differently than ours do.
context: One dead body will allow them to survive for a month or two.\One dead body will allow them to survive for a month or two.\Mr. Ogura, can't ghouls be satisfied\by eating the same food as humans do?\No, ghouls are only able to derive their nutrition from people.\Not to mention that their tongues work differently than ours do.\Ogura Hisashi, Ghoul Expert\Not to mention that their tongues work differently than ours do. response:	Not to mention that their tongues work differently than ours do.
context: One dead body will allow them to survive for a month or two.\Mr. Ogura, can't ghouls be satisfied\by eating the same food as humans do?\No, ghouls are only able to derive their nutrition from people.\Not to mention that their tongues work differently than ours do.\Ogura Hisashi, Ghoul Expert\Not to mention that their tongues work differently than ours do.\Not to mention that their tongues work differently than ours do. response:	When they eat human food,
context: Mr. Ogura, can't ghouls be satisfied\by eating the same food as humans do?\No, ghouls are only able to derive their nutrition from people.\Not to mention that their tongues work differently than ours do.\Ogura Hisashi, Ghoul Expert\Not to mention that their tongues work differently than ours do.\Not to mention that their tongues work differently than ours do.\When they eat human food, response:	it tastes incredibly awful to them.
context: by eating the same food as humans do?\No, ghouls are only able to derive their nutrition from people.\Not to mention that their tongues work differently than ours do.\Ogura Hisashi, Ghoul Expert\Not to mention that their tongues work differently than ours do.\Not to mention that their tongues work differently than ours do.\When they eat human food,\it tastes incredibly awful to them. response:	Their tongues work differently than ours do...
context: No, ghouls are only able to derive their nutrition from people.\Not to mention that their tongues work differently than ours do.\Ogura Hisashi, Ghoul Expert\Not to mention that their tongues work differently than ours do.\Not to mention that their tongues work differently than ours do.\When they eat human food,\it tastes incredibly awful to them.\Their tongues work differently than ours do... response:	It tastes incredibly awful to them...
context: Not to mention that their tongues work differently than ours do.\Ogura Hisashi, Ghoul Expert\Not to mention that their tongues work differently than ours do.\Not to mention that their tongues work differently than ours do.\When they eat human food,\it tastes incredibly awful to them.\Their tongues work differently than ours do...\It tastes incredibly awful to them... response:	Oh, no...
context: Ogura Hisashi, Ghoul Expert\Not to mention that their tongues work differently than ours do.\Not to mention that their tongues work differently than ours do.\When they eat human food,\it tastes incredibly awful to them.\Their tongues work differently than ours do...\It tastes incredibly awful to them...\Oh, no... response:	Oh, no...
context: Not to mention that their tongues work differently than ours do.\Not to mention that their tongues work differently than ours do.\When they eat human food,\it tastes incredibly awful to them.\Their tongues work differently than ours do...\It tastes incredibly awful to them...\Oh, no...\Oh, no... response:	Presenting your favorite hamburger.
context: Not to mention that their tongues work differently than ours do.\When they eat human food,\it tastes incredibly awful to them.\Their tongues work differently than ours do...\It tastes incredibly awful to them...\Oh, no...\Oh, no...\Presenting your favorite hamburger. response:	Hide...
context: When they eat human food,\it tastes incredibly awful to them.\Their tongues work differently than ours do...\It tastes incredibly awful to them...\Oh, no...\Oh, no...\Presenting your favorite hamburger.\Hide... response:	Did you go out and buy this just for me?
context: it tastes incredibly awful to them.\Their tongues work differently than ours do...\It tastes incredibly awful to them...\Oh, no...\Oh, no...\Presenting your favorite hamburger.\Hide...\Did you go out and buy this just for me? response:	This can't be real.
context: Their tongues work differently than ours do...\It tastes incredibly awful to them...\Oh, no...\Oh, no...\Presenting your favorite hamburger.\Hide...\Did you go out and buy this just for me?\This can't be real. response:	Hide
context: It tastes incredibly awful to them...\Oh, no...\Oh, no...\Presenting your favorite hamburger.\Hide...\Did you go out and buy this just for me?\This can't be real.\Hide response:	Friend of yours?
context: Oh, no...\Oh, no...\Presenting your favorite hamburger.\Hide...\Did you go out and buy this just for me?\This can't be real.\Hide\Friend of yours? response:	Yes.
context: Oh, no...\Presenting your favorite hamburger.\Hide...\Did you go out and buy this just for me?\This can't be real.\Hide\Friend of yours?\Yes. response:	He was supposed to get out of the hospital today,
context: Presenting your favorite hamburger.\Hide...\Did you go out and buy this just for me?\This can't be real.\Hide\Friend of yours?\Yes.\He was supposed to get out of the hospital today, response:	but I can't reach him. I went to see him several times, too,
context: Hide...\Did you go out and buy this just for me?\This can't be real.\Hide\Friend of yours?\Yes.\He was supposed to get out of the hospital today,\but I can't reach him. I went to see him several times, too, response:	but I got turned away.
context: Did you go out and buy this just for me?\This can't be real.\Hide\Friend of yours?\Yes.\He was supposed to get out of the hospital today,\but I can't reach him. I went to see him several times, too,\but I got turned away. response:	Hmm... If it were me I'd cut off ties with anyone as rude as that.
context: This can't be real.\Hide\Friend of yours?\Yes.\He was supposed to get out of the hospital today,\but I can't reach him. I went to see him several times, too,\but I got turned away.\Hmm... If it were me I'd cut off ties with anyone as rude as that. response:	Kaneki and I have been best friends since we were kids.
context: Hide\Friend of yours?\Yes.\He was supposed to get out of the hospital today,\but I can't reach him. I went to see him several times, too,\but I got turned away.\Hmm... If it were me I'd cut off ties with anyone as rude as that.\Kaneki and I have been best friends since we were kids. response:	Best friends, huh?
context: Friend of yours?\Yes.\He was supposed to get out of the hospital today,\but I can't reach him. I went to see him several times, too,\but I got turned away.\Hmm... If it were me I'd cut off ties with anyone as rude as that.\Kaneki and I have been best friends since we were kids.\Best friends, huh? response:	Hello? Kaneki? How are you feeling? I was just at the bookstore
context: Yes.\He was supposed to get out of the hospital today,\but I can't reach him. I went to see him several times, too,\but I got turned away.\Hmm... If it were me I'd cut off ties with anyone as rude as that.\Kaneki and I have been best friends since we were kids.\Best friends, huh?\Hello? Kaneki? How are you feeling? I was just at the bookstore response:	in front of the station, and Akatsuki what's-his-name
context: He was supposed to get out of the hospital today,\but I can't reach him. I went to see him several times, too,\but I got turned away.\Hmm... If it were me I'd cut off ties with anyone as rude as that.\Kaneki and I have been best friends since we were kids.\Best friends, huh?\Hello? Kaneki? How are you feeling? I was just at the bookstore\in front of the station, and Akatsuki what's-his-name response:	is doing a book signing, so I thought I'd tell you.
context: but I can't reach him. I went to see him several times, too,\but I got turned away.\Hmm... If it were me I'd cut off ties with anyone as rude as that.\Kaneki and I have been best friends since we were kids.\Best friends, huh?\Hello? Kaneki? How are you feeling? I was just at the bookstore\in front of the station, and Akatsuki what's-his-name\is doing a book signing, so I thought I'd tell you. response:	Anyhow, give me a call when you're feeling better.
context: but I got turned away.\Hmm... If it were me I'd cut off ties with anyone as rude as that.\Kaneki and I have been best friends since we were kids.\Best friends, huh?\Hello? Kaneki? How are you feeling? I was just at the bookstore\in front of the station, and Akatsuki what's-his-name\is doing a book signing, so I thought I'd tell you.\Anyhow, give me a call when you're feeling better. response:	The Akatsuki Sen book signing is now over.
context: Hmm... If it were me I'd cut off ties with anyone as rude as that.\Kaneki and I have been best friends since we were kids.\Best friends, huh?\Hello? Kaneki? How are you feeling? I was just at the bookstore\in front of the station, and Akatsuki what's-his-name\is doing a book signing, so I thought I'd tell you.\Anyhow, give me a call when you're feeling better.\The Akatsuki Sen book signing is now over. response:	People... People...
context: Kaneki and I have been best friends since we were kids.\Best friends, huh?\Hello? Kaneki? How are you feeling? I was just at the bookstore\in front of the station, and Akatsuki what's-his-name\is doing a book signing, so I thought I'd tell you.\Anyhow, give me a call when you're feeling better.\The Akatsuki Sen book signing is now over.\People... People... response:	People... People...
context: Best friends, huh?\Hello? Kaneki? How are you feeling? I was just at the bookstore\in front of the station, and Akatsuki what's-his-name\is doing a book signing, so I thought I'd tell you.\Anyhow, give me a call when you're feeling better.\The Akatsuki Sen book signing is now over.\People... People...\People... People... response:	Children...
context: Hello? Kaneki? How are you feeling? I was just at the bookstore\in front of the station, and Akatsuki what's-his-name\is doing a book signing, so I thought I'd tell you.\Anyhow, give me a call when you're feeling better.\The Akatsuki Sen book signing is now over.\People... People...\People... People...\Children... response:	People... People...
context: in front of the station, and Akatsuki what's-his-name\is doing a book signing, so I thought I'd tell you.\Anyhow, give me a call when you're feeling better.\The Akatsuki Sen book signing is now over.\People... People...\People... People...\Children...\People... People... response:	-Woman... -Flesh...
context: is doing a book signing, so I thought I'd tell you.\Anyhow, give me a call when you're feeling better.\The Akatsuki Sen book signing is now over.\People... People...\People... People...\Children...\People... People...\-Woman... -Flesh... response:	-Girl... -Flesh...
context: Anyhow, give me a call when you're feeling better.\The Akatsuki Sen book signing is now over.\People... People...\People... People...\Children...\People... People...\-Woman... -Flesh...\-Girl... -Flesh... response:	-Man... -Flesh...
context: The Akatsuki Sen book signing is now over.\People... People...\People... People...\Children...\People... People...\-Woman... -Flesh...\-Girl... -Flesh...\-Man... -Flesh... response:	-Family... -Flesh...
context: People... People...\People... People...\Children...\People... People...\-Woman... -Flesh...\-Girl... -Flesh...\-Man... -Flesh...\-Family... -Flesh... response:	-Children... Boy... Woman... -Flesh... Flesh... Flesh...
context: People... People...\Children...\People... People...\-Woman... -Flesh...\-Girl... -Flesh...\-Man... -Flesh...\-Family... -Flesh...\-Children... Boy... Woman... -Flesh... Flesh... Flesh... response:	-Child... Boy... -Flesh... Flesh...
context: Children...\People... People...\-Woman... -Flesh...\-Girl... -Flesh...\-Man... -Flesh...\-Family... -Flesh...\-Children... Boy... Woman... -Flesh... Flesh... Flesh...\-Child... Boy... -Flesh... Flesh... response:	-Flesh... Flesh... Flesh... -Flesh... Flesh... Flesh...
context: People... People...\-Woman... -Flesh...\-Girl... -Flesh...\-Man... -Flesh...\-Family... -Flesh...\-Children... Boy... Woman... -Flesh... Flesh... Flesh...\-Child... Boy... -Flesh... Flesh...\-Flesh... Flesh... Flesh... -Flesh... Flesh... Flesh... response:	Flesh!
context: -Woman... -Flesh...\-Girl... -Flesh...\-Man... -Flesh...\-Family... -Flesh...\-Children... Boy... Woman... -Flesh... Flesh... Flesh...\-Child... Boy... -Flesh... Flesh...\-Flesh... Flesh... Flesh... -Flesh... Flesh... Flesh...\Flesh! response:	Whoa, that man...
context: -Girl... -Flesh...\-Man... -Flesh...\-Family... -Flesh...\-Children... Boy... Woman... -Flesh... Flesh... Flesh...\-Child... Boy... -Flesh... Flesh...\-Flesh... Flesh... Flesh... -Flesh... Flesh... Flesh...\Flesh!\Whoa, that man... response:	Don't get involved, you dummy!
context: -Man... -Flesh...\-Family... -Flesh...\-Children... Boy... Woman... -Flesh... Flesh... Flesh...\-Child... Boy... -Flesh... Flesh...\-Flesh... Flesh... Flesh... -Flesh... Flesh... Flesh...\Flesh!\Whoa, that man...\Don't get involved, you dummy! response:	What is this?
context: -Family... -Flesh...\-Children... Boy... Woman... -Flesh... Flesh... Flesh...\-Child... Boy... -Flesh... Flesh...\-Flesh... Flesh... Flesh... -Flesh... Flesh... Flesh...\Flesh!\Whoa, that man...\Don't get involved, you dummy!\What is this? response:	I know what's causing it!
context: -Children... Boy... Woman... -Flesh... Flesh... Flesh...\-Child... Boy... -Flesh... Flesh...\-Flesh... Flesh... Flesh... -Flesh... Flesh... Flesh...\Flesh!\Whoa, that man...\Don't get involved, you dummy!\What is this?\I know what's causing it! response:	Transfer her organs into him!
context: -Child... Boy... -Flesh... Flesh...\-Flesh... Flesh... Flesh... -Flesh... Flesh... Flesh...\Flesh!\Whoa, that man...\Don't get involved, you dummy!\What is this?\I know what's causing it!\Transfer her organs into him! response:	Blades such as knives or kitchenware cannot hurt them.
context: -Flesh... Flesh... Flesh... -Flesh... Flesh... Flesh...\Flesh!\Whoa, that man...\Don't get involved, you dummy!\What is this?\I know what's causing it!\Transfer her organs into him!\Blades such as knives or kitchenware cannot hurt them. response:	If that's true...
context: Flesh!\Whoa, that man...\Don't get involved, you dummy!\What is this?\I know what's causing it!\Transfer her organs into him!\Blades such as knives or kitchenware cannot hurt them.\If that's true... response:	If that's true... If that's true...
context: Whoa, that man...\Don't get involved, you dummy!\What is this?\I know what's causing it!\Transfer her organs into him!\Blades such as knives or kitchenware cannot hurt them.\If that's true...\If that's true... If that's true... response:	then this...!
context: Don't get involved, you dummy!\What is this?\I know what's causing it!\Transfer her organs into him!\Blades such as knives or kitchenware cannot hurt them.\If that's true...\If that's true... If that's true...\then this...! response:	What am I supposed to do now?
context: What is this?\I know what's causing it!\Transfer her organs into him!\Blades such as knives or kitchenware cannot hurt them.\If that's true...\If that's true... If that's true...\then this...!\What am I supposed to do now? response:	Kill a person... take their flesh!
context: I know what's causing it!\Transfer her organs into him!\Blades such as knives or kitchenware cannot hurt them.\If that's true...\If that's true... If that's true...\then this...!\What am I supposed to do now?\Kill a person... take their flesh! response:	What... am I...? It's almost as though I'm...
context: Transfer her organs into him!\Blades such as knives or kitchenware cannot hurt them.\If that's true...\If that's true... If that's true...\then this...!\What am I supposed to do now?\Kill a person... take their flesh!\What... am I...? It's almost as though I'm... response:	That scent...
context: Blades such as knives or kitchenware cannot hurt them.\If that's true...\If that's true... If that's true...\then this...!\What am I supposed to do now?\Kill a person... take their flesh!\What... am I...? It's almost as though I'm...\That scent... response:	It's the first time I'm smelling it, but it seems so familiar...
context: If that's true...\If that's true... If that's true...\then this...!\What am I supposed to do now?\Kill a person... take their flesh!\What... am I...? It's almost as though I'm...\That scent...\It's the first time I'm smelling it, but it seems so familiar... response:	A sweet aroma, like Mom's home cooking...
context: If that's true... If that's true...\then this...!\What am I supposed to do now?\Kill a person... take their flesh!\What... am I...? It's almost as though I'm...\That scent...\It's the first time I'm smelling it, but it seems so familiar...\A sweet aroma, like Mom's home cooking... response:	There's something over here that even I can eat!
context: then this...!\What am I supposed to do now?\Kill a person... take their flesh!\What... am I...? It's almost as though I'm...\That scent...\It's the first time I'm smelling it, but it seems so familiar...\A sweet aroma, like Mom's home cooking...\There's something over here that even I can eat! response:	Where is it? Where is it? Where is it? Where is it?!
context: What am I supposed to do now?\Kill a person... take their flesh!\What... am I...? It's almost as though I'm...\That scent...\It's the first time I'm smelling it, but it seems so familiar...\A sweet aroma, like Mom's home cooking...\There's something over here that even I can eat!\Where is it? Where is it? Where is it? Where is it?! response:	It's close...
context: Kill a person... take their flesh!\What... am I...? It's almost as though I'm...\That scent...\It's the first time I'm smelling it, but it seems so familiar...\A sweet aroma, like Mom's home cooking...\There's something over here that even I can eat!\Where is it? Where is it? Where is it? Where is it?!\It's close... response:	A ghoul...
context: What... am I...? It's almost as though I'm...\That scent...\It's the first time I'm smelling it, but it seems so familiar...\A sweet aroma, like Mom's home cooking...\There's something over here that even I can eat!\Where is it? Where is it? Where is it? Where is it?!\It's close...\A ghoul... response:	A human!
context: That scent...\It's the first time I'm smelling it, but it seems so familiar...\A sweet aroma, like Mom's home cooking...\There's something over here that even I can eat!\Where is it? Where is it? Where is it? Where is it?!\It's close...\A ghoul...\A human! response:	How could I have been enticed here by the scent of a corpse?!
context: It's the first time I'm smelling it, but it seems so familiar...\A sweet aroma, like Mom's home cooking...\There's something over here that even I can eat!\Where is it? Where is it? Where is it? Where is it?!\It's close...\A ghoul...\A human!\How could I have been enticed here by the scent of a corpse?! response:	You're a ghoul... right?
context: A sweet aroma, like Mom's home cooking...\There's something over here that even I can eat!\Where is it? Where is it? Where is it? Where is it?!\It's close...\A ghoul...\A human!\How could I have been enticed here by the scent of a corpse?!\You're a ghoul... right? response:	What's the matter? Are you all right?
context: There's something over here that even I can eat!\Where is it? Where is it? Where is it? Where is it?!\It's close...\A ghoul...\A human!\How could I have been enticed here by the scent of a corpse?!\You're a ghoul... right?\What's the matter? Are you all right? response:	My name's Kazuo. It's been a long time for me,
context: Where is it? Where is it? Where is it? Where is it?!\It's close...\A ghoul...\A human!\How could I have been enticed here by the scent of a corpse?!\You're a ghoul... right?\What's the matter? Are you all right?\My name's Kazuo. It's been a long time for me, response:	so I can't share too much with you,
context: It's close...\A ghoul...\A human!\How could I have been enticed here by the scent of a corpse?!\You're a ghoul... right?\What's the matter? Are you all right?\My name's Kazuo. It's been a long time for me,\so I can't share too much with you, response:	but here, eat-
context: A ghoul...\A human!\How could I have been enticed here by the scent of a corpse?!\You're a ghoul... right?\What's the matter? Are you all right?\My name's Kazuo. It's been a long time for me,\so I can't share too much with you,\but here, eat- response:	Sheesh,
context: A human!\How could I have been enticed here by the scent of a corpse?!\You're a ghoul... right?\What's the matter? Are you all right?\My name's Kazuo. It's been a long time for me,\so I can't share too much with you,\but here, eat-\Sheesh, response:	don't go plundering my feeding grounds. Hmm?
context: How could I have been enticed here by the scent of a corpse?!\You're a ghoul... right?\What's the matter? Are you all right?\My name's Kazuo. It's been a long time for me,\so I can't share too much with you,\but here, eat-\Sheesh,\don't go plundering my feeding grounds. Hmm? response:	I've never seen you before.
context: You're a ghoul... right?\What's the matter? Are you all right?\My name's Kazuo. It's been a long time for me,\so I can't share too much with you,\but here, eat-\Sheesh,\don't go plundering my feeding grounds. Hmm?\I've never seen you before. response:	For that matter, why is only one of your eyes red? That's nasty.
context: What's the matter? Are you all right?\My name's Kazuo. It's been a long time for me,\so I can't share too much with you,\but here, eat-\Sheesh,\don't go plundering my feeding grounds. Hmm?\I've never seen you before.\For that matter, why is only one of your eyes red? That's nasty. response:	You know what you get for looting someone else's territory, right?
context: My name's Kazuo. It's been a long time for me,\so I can't share too much with you,\but here, eat-\Sheesh,\don't go plundering my feeding grounds. Hmm?\I've never seen you before.\For that matter, why is only one of your eyes red? That's nasty.\You know what you get for looting someone else's territory, right? response:	I-I wasn't... I didn't know...
context: so I can't share too much with you,\but here, eat-\Sheesh,\don't go plundering my feeding grounds. Hmm?\I've never seen you before.\For that matter, why is only one of your eyes red? That's nasty.\You know what you get for looting someone else's territory, right?\I-I wasn't... I didn't know... response:	I just happened to be passing by...
context: but here, eat-\Sheesh,\don't go plundering my feeding grounds. Hmm?\I've never seen you before.\For that matter, why is only one of your eyes red? That's nasty.\You know what you get for looting someone else's territory, right?\I-I wasn't... I didn't know...\I just happened to be passing by... response:	Okay, imagine this. Your girlfriend is naked and lying on the ground.
context: Sheesh,\don't go plundering my feeding grounds. Hmm?\I've never seen you before.\For that matter, why is only one of your eyes red? That's nasty.\You know what you get for looting someone else's territory, right?\I-I wasn't... I didn't know...\I just happened to be passing by...\Okay, imagine this. Your girlfriend is naked and lying on the ground. response:	Then someone else there with his pants down says to you,
context: don't go plundering my feeding grounds. Hmm?\I've never seen you before.\For that matter, why is only one of your eyes red? That's nasty.\You know what you get for looting someone else's territory, right?\I-I wasn't... I didn't know...\I just happened to be passing by...\Okay, imagine this. Your girlfriend is naked and lying on the ground.\Then someone else there with his pants down says to you, response:	I wasn't doing anything. I just happened to be here.
context: I've never seen you before.\For that matter, why is only one of your eyes red? That's nasty.\You know what you get for looting someone else's territory, right?\I-I wasn't... I didn't know...\I just happened to be passing by...\Okay, imagine this. Your girlfriend is naked and lying on the ground.\Then someone else there with his pants down says to you,\I wasn't doing anything. I just happened to be here. response:	That's the same as what you're telling me.
context: For that matter, why is only one of your eyes red? That's nasty.\You know what you get for looting someone else's territory, right?\I-I wasn't... I didn't know...\I just happened to be passing by...\Okay, imagine this. Your girlfriend is naked and lying on the ground.\Then someone else there with his pants down says to you,\I wasn't doing anything. I just happened to be here.\That's the same as what you're telling me. response:	If it were me, I'd kill the guy.
context: You know what you get for looting someone else's territory, right?\I-I wasn't... I didn't know...\I just happened to be passing by...\Okay, imagine this. Your girlfriend is naked and lying on the ground.\Then someone else there with his pants down says to you,\I wasn't doing anything. I just happened to be here.\That's the same as what you're telling me.\If it were me, I'd kill the guy. response:	That's why I'm killing you,
context: I-I wasn't... I didn't know...\I just happened to be passing by...\Okay, imagine this. Your girlfriend is naked and lying on the ground.\Then someone else there with his pants down says to you,\I wasn't doing anything. I just happened to be here.\That's the same as what you're telling me.\If it were me, I'd kill the guy.\That's why I'm killing you, response:	as punishment for trespassing on my feeding grounds-
context: I just happened to be passing by...\Okay, imagine this. Your girlfriend is naked and lying on the ground.\Then someone else there with his pants down says to you,\I wasn't doing anything. I just happened to be here.\That's the same as what you're telling me.\If it were me, I'd kill the guy.\That's why I'm killing you,\as punishment for trespassing on my feeding grounds- response:	Whose feeding grounds, did you say?
context: Okay, imagine this. Your girlfriend is naked and lying on the ground.\Then someone else there with his pants down says to you,\I wasn't doing anything. I just happened to be here.\That's the same as what you're telling me.\If it were me, I'd kill the guy.\That's why I'm killing you,\as punishment for trespassing on my feeding grounds-\Whose feeding grounds, did you say? response:	Since when were these your feeding grounds,
context: Then someone else there with his pants down says to you,\I wasn't doing anything. I just happened to be here.\That's the same as what you're telling me.\If it were me, I'd kill the guy.\That's why I'm killing you,\as punishment for trespassing on my feeding grounds-\Whose feeding grounds, did you say?\Since when were these your feeding grounds, response:	Nishiki?
context: I wasn't doing anything. I just happened to be here.\That's the same as what you're telling me.\If it were me, I'd kill the guy.\That's why I'm killing you,\as punishment for trespassing on my feeding grounds-\Whose feeding grounds, did you say?\Since when were these your feeding grounds,\Nishiki? response:	Toka...
context: That's the same as what you're telling me.\If it were me, I'd kill the guy.\That's why I'm killing you,\as punishment for trespassing on my feeding grounds-\Whose feeding grounds, did you say?\Since when were these your feeding grounds,\Nishiki?\Toka... response:	I know she's dead, right? The binge eating woman?
context: If it were me, I'd kill the guy.\That's why I'm killing you,\as punishment for trespassing on my feeding grounds-\Whose feeding grounds, did you say?\Since when were these your feeding grounds,\Nishiki?\Toka...\I know she's dead, right? The binge eating woman? response:	And that makes these your feeding grounds?
context: That's why I'm killing you,\as punishment for trespassing on my feeding grounds-\Whose feeding grounds, did you say?\Since when were these your feeding grounds,\Nishiki?\Toka...\I know she's dead, right? The binge eating woman?\And that makes these your feeding grounds? response:	The task of distributing the feeding grounds Rize stole
context: as punishment for trespassing on my feeding grounds-\Whose feeding grounds, did you say?\Since when were these your feeding grounds,\Nishiki?\Toka...\I know she's dead, right? The binge eating woman?\And that makes these your feeding grounds?\The task of distributing the feeding grounds Rize stole response:	to the weaker ghouls, and otherwise managing the 20th Ward...
context: Whose feeding grounds, did you say?\Since when were these your feeding grounds,\Nishiki?\Toka...\I know she's dead, right? The binge eating woman?\And that makes these your feeding grounds?\The task of distributing the feeding grounds Rize stole\to the weaker ghouls, and otherwise managing the 20th Ward... response:	belongs to those of us at Anteiku.
context: Since when were these your feeding grounds,\Nishiki?\Toka...\I know she's dead, right? The binge eating woman?\And that makes these your feeding grounds?\The task of distributing the feeding grounds Rize stole\to the weaker ghouls, and otherwise managing the 20th Ward...\belongs to those of us at Anteiku. response:	Huh?! A bunch of fence-sitters like Anteiku
context: Nishiki?\Toka...\I know she's dead, right? The binge eating woman?\And that makes these your feeding grounds?\The task of distributing the feeding grounds Rize stole\to the weaker ghouls, and otherwise managing the 20th Ward...\belongs to those of us at Anteiku.\Huh?! A bunch of fence-sitters like Anteiku response:	have no right to go picking over every little thing!
context: Toka...\I know she's dead, right? The binge eating woman?\And that makes these your feeding grounds?\The task of distributing the feeding grounds Rize stole\to the weaker ghouls, and otherwise managing the 20th Ward...\belongs to those of us at Anteiku.\Huh?! A bunch of fence-sitters like Anteiku\have no right to go picking over every little thing! response:	This was my feeding ground in the first place, before Rize came-
context: I know she's dead, right? The binge eating woman?\And that makes these your feeding grounds?\The task of distributing the feeding grounds Rize stole\to the weaker ghouls, and otherwise managing the 20th Ward...\belongs to those of us at Anteiku.\Huh?! A bunch of fence-sitters like Anteiku\have no right to go picking over every little thing!\This was my feeding ground in the first place, before Rize came- response:	Because you were weak.
context: And that makes these your feeding grounds?\The task of distributing the feeding grounds Rize stole\to the weaker ghouls, and otherwise managing the 20th Ward...\belongs to those of us at Anteiku.\Huh?! A bunch of fence-sitters like Anteiku\have no right to go picking over every little thing!\This was my feeding ground in the first place, before Rize came-\Because you were weak. response:	Being insulted by a smart-mouthed punk younger than I am
context: The task of distributing the feeding grounds Rize stole\to the weaker ghouls, and otherwise managing the 20th Ward...\belongs to those of us at Anteiku.\Huh?! A bunch of fence-sitters like Anteiku\have no right to go picking over every little thing!\This was my feeding ground in the first place, before Rize came-\Because you were weak.\Being insulted by a smart-mouthed punk younger than I am response:	is something that really pisses me off.
context: to the weaker ghouls, and otherwise managing the 20th Ward...\belongs to those of us at Anteiku.\Huh?! A bunch of fence-sitters like Anteiku\have no right to go picking over every little thing!\This was my feeding ground in the first place, before Rize came-\Because you were weak.\Being insulted by a smart-mouthed punk younger than I am\is something that really pisses me off. response:	Is it?
context: belongs to those of us at Anteiku.\Huh?! A bunch of fence-sitters like Anteiku\have no right to go picking over every little thing!\This was my feeding ground in the first place, before Rize came-\Because you were weak.\Being insulted by a smart-mouthed punk younger than I am\is something that really pisses me off.\Is it? response:	Enough!
context: Huh?! A bunch of fence-sitters like Anteiku\have no right to go picking over every little thing!\This was my feeding ground in the first place, before Rize came-\Because you were weak.\Being insulted by a smart-mouthed punk younger than I am\is something that really pisses me off.\Is it?\Enough! response:	You'll have to cut deeper than that!
context: have no right to go picking over every little thing!\This was my feeding ground in the first place, before Rize came-\Because you were weak.\Being insulted by a smart-mouthed punk younger than I am\is something that really pisses me off.\Is it?\Enough!\You'll have to cut deeper than that! response:	Will I?
context: This was my feeding ground in the first place, before Rize came-\Because you were weak.\Being insulted by a smart-mouthed punk younger than I am\is something that really pisses me off.\Is it?\Enough!\You'll have to cut deeper than that!\Will I? response:	Can I go even harder next time?
context: Because you were weak.\Being insulted by a smart-mouthed punk younger than I am\is something that really pisses me off.\Is it?\Enough!\You'll have to cut deeper than that!\Will I?\Can I go even harder next time? response:	Take your corpse with you, beansprout.
context: Being insulted by a smart-mouthed punk younger than I am\is something that really pisses me off.\Is it?\Enough!\You'll have to cut deeper than that!\Will I?\Can I go even harder next time?\Take your corpse with you, beansprout. response:	You want this?
context: is something that really pisses me off.\Is it?\Enough!\You'll have to cut deeper than that!\Will I?\Can I go even harder next time?\Take your corpse with you, beansprout.\You want this? response:	You're not eating?
context: Is it?\Enough!\You'll have to cut deeper than that!\Will I?\Can I go even harder next time?\Take your corpse with you, beansprout.\You want this?\You're not eating? response:	Then again, only one of your eyes is different...
context: Enough!\You'll have to cut deeper than that!\Will I?\Can I go even harder next time?\Take your corpse with you, beansprout.\You want this?\You're not eating?\Then again, only one of your eyes is different... response:	You're the one who was with Rize.
