context: It's inexcusable to use music for evil. response:	I can't forgive anybody who tries to take away a man's right to love.
context: Jam Records Yusuke, you are so stupid. What would you do if you hurt your hand?\Yusuke, you are so stupid. What would you do if you hurt your hand?\Then you wouldn't be able to play the piano.\I know.\But if something had happened to you...\Then I really wouldn't have been able to play the piano.\What?\Yusuke... response:	I envy Ms. Akiko. Having someone like Mr. Amade in love with her.
context: Yusuke, you are so stupid. What would you do if you hurt your hand?\Then you wouldn't be able to play the piano.\I know.\But if something had happened to you...\Then I really wouldn't have been able to play the piano.\What?\Yusuke...\I envy Ms. Akiko. Having someone like Mr. Amade in love with her. response:	Jewelry
context: Then you wouldn't be able to play the piano.\I know.\But if something had happened to you...\Then I really wouldn't have been able to play the piano.\What?\Yusuke...\I envy Ms. Akiko. Having someone like Mr. Amade in love with her.\Jewelry response:	Jewelry Usagi, did you hear that Yusuke Amade got married?
context: I know.\But if something had happened to you...\Then I really wouldn't have been able to play the piano.\What?\Yusuke...\I envy Ms. Akiko. Having someone like Mr. Amade in love with her.\Jewelry\Jewelry Usagi, did you hear that Yusuke Amade got married? response:	Usagi, did you hear that Yusuke Amade got married?
context: But if something had happened to you...\Then I really wouldn't have been able to play the piano.\What?\Yusuke...\I envy Ms. Akiko. Having someone like Mr. Amade in love with her.\Jewelry\Jewelry Usagi, did you hear that Yusuke Amade got married?\Usagi, did you hear that Yusuke Amade got married? response:	Yeah, that's what I heard.
context: Then I really wouldn't have been able to play the piano.\What?\Yusuke...\I envy Ms. Akiko. Having someone like Mr. Amade in love with her.\Jewelry\Jewelry Usagi, did you hear that Yusuke Amade got married?\Usagi, did you hear that Yusuke Amade got married?\Yeah, that's what I heard. response:	I'm devastated. I had a crush on him.
context: What?\Yusuke...\I envy Ms. Akiko. Having someone like Mr. Amade in love with her.\Jewelry\Jewelry Usagi, did you hear that Yusuke Amade got married?\Usagi, did you hear that Yusuke Amade got married?\Yeah, that's what I heard.\I'm devastated. I had a crush on him. response:	Yeah, he's nice and brave...
context: Yusuke...\I envy Ms. Akiko. Having someone like Mr. Amade in love with her.\Jewelry\Jewelry Usagi, did you hear that Yusuke Amade got married?\Usagi, did you hear that Yusuke Amade got married?\Yeah, that's what I heard.\I'm devastated. I had a crush on him.\Yeah, he's nice and brave... response:	What? You sound like you guys know each other.
context: I envy Ms. Akiko. Having someone like Mr. Amade in love with her.\Jewelry\Jewelry Usagi, did you hear that Yusuke Amade got married?\Usagi, did you hear that Yusuke Amade got married?\Yeah, that's what I heard.\I'm devastated. I had a crush on him.\Yeah, he's nice and brave...\What? You sound like you guys know each other. response:	Because we do!
context: Jewelry\Jewelry Usagi, did you hear that Yusuke Amade got married?\Usagi, did you hear that Yusuke Amade got married?\Yeah, that's what I heard.\I'm devastated. I had a crush on him.\Yeah, he's nice and brave...\What? You sound like you guys know each other.\Because we do! response:	Yume no naka futari de ita yo ne
context: Jewelry Usagi, did you hear that Yusuke Amade got married?\Usagi, did you hear that Yusuke Amade got married?\Yeah, that's what I heard.\I'm devastated. I had a crush on him.\Yeah, he's nice and brave...\What? You sound like you guys know each other.\Because we do!\Yume no naka futari de ita yo ne response:	Hoshi tachi ni mamorarete
context: Usagi, did you hear that Yusuke Amade got married?\Yeah, that's what I heard.\I'm devastated. I had a crush on him.\Yeah, he's nice and brave...\What? You sound like you guys know each other.\Because we do!\Yume no naka futari de ita yo ne\Hoshi tachi ni mamorarete response:	Tomodachi no toki ni wa ki ni sezu
context: Yeah, that's what I heard.\I'm devastated. I had a crush on him.\Yeah, he's nice and brave...\What? You sound like you guys know each other.\Because we do!\Yume no naka futari de ita yo ne\Hoshi tachi ni mamorarete\Tomodachi no toki ni wa ki ni sezu response:	Nanigenaku hanashite ita kedo
context: I'm devastated. I had a crush on him.\Yeah, he's nice and brave...\What? You sound like you guys know each other.\Because we do!\Yume no naka futari de ita yo ne\Hoshi tachi ni mamorarete\Tomodachi no toki ni wa ki ni sezu\Nanigenaku hanashite ita kedo response:	Anata dake ki ni naru shunkan ga atta no
context: Yeah, he's nice and brave...\What? You sound like you guys know each other.\Because we do!\Yume no naka futari de ita yo ne\Hoshi tachi ni mamorarete\Tomodachi no toki ni wa ki ni sezu\Nanigenaku hanashite ita kedo\Anata dake ki ni naru shunkan ga atta no response:	Motto kirei ni ima sugu naritai
context: What? You sound like you guys know each other.\Because we do!\Yume no naka futari de ita yo ne\Hoshi tachi ni mamorarete\Tomodachi no toki ni wa ki ni sezu\Nanigenaku hanashite ita kedo\Anata dake ki ni naru shunkan ga atta no\Motto kirei ni ima sugu naritai response:	Koi suru to nanika ga kawaru ne
context: Because we do!\Yume no naka futari de ita yo ne\Hoshi tachi ni mamorarete\Tomodachi no toki ni wa ki ni sezu\Nanigenaku hanashite ita kedo\Anata dake ki ni naru shunkan ga atta no\Motto kirei ni ima sugu naritai\Koi suru to nanika ga kawaru ne response:	Me o tojite tashikamete
context: Yume no naka futari de ita yo ne\Hoshi tachi ni mamorarete\Tomodachi no toki ni wa ki ni sezu\Nanigenaku hanashite ita kedo\Anata dake ki ni naru shunkan ga atta no\Motto kirei ni ima sugu naritai\Koi suru to nanika ga kawaru ne\Me o tojite tashikamete response:	Dakishimeta tokimeki sono mama kono omoi tsutaetai
