context: This token buys one meal. response:	And this slip of paper can be converted to 100 tokens.
context: What is it?!\Salvage work with Chamber.\Lucky!\It is good?\Well, yeah, I mean, all kinds of things are lying at the bottom of the sea, right?\You can find out what was on this planet a long time ago!\I want to do salvage.\It really helps having you here. response:	I was convinced you'd go with Pinion.
context: Salvage work with Chamber.\Lucky!\It is good?\Well, yeah, I mean, all kinds of things are lying at the bottom of the sea, right?\You can find out what was on this planet a long time ago!\I want to do salvage.\It really helps having you here.\I was convinced you'd go with Pinion. response:	I want you to teach me something, Bellows.
context: Lucky!\It is good?\Well, yeah, I mean, all kinds of things are lying at the bottom of the sea, right?\You can find out what was on this planet a long time ago!\I want to do salvage.\It really helps having you here.\I was convinced you'd go with Pinion.\I want you to teach me something, Bellows. response:	Although as long as that Yunboro's around, you'll probably quickly forget anything I teach you.
context: It is good?\Well, yeah, I mean, all kinds of things are lying at the bottom of the sea, right?\You can find out what was on this planet a long time ago!\I want to do salvage.\It really helps having you here.\I was convinced you'd go with Pinion.\I want you to teach me something, Bellows.\Although as long as that Yunboro's around, you'll probably quickly forget anything I teach you. response:	Not true. I want to learn many things.
context: Well, yeah, I mean, all kinds of things are lying at the bottom of the sea, right?\You can find out what was on this planet a long time ago!\I want to do salvage.\It really helps having you here.\I was convinced you'd go with Pinion.\I want you to teach me something, Bellows.\Although as long as that Yunboro's around, you'll probably quickly forget anything I teach you.\Not true. I want to learn many things. response:	Alright. We hit the jackpot with this one, too.
context: You can find out what was on this planet a long time ago!\I want to do salvage.\It really helps having you here.\I was convinced you'd go with Pinion.\I want you to teach me something, Bellows.\Although as long as that Yunboro's around, you'll probably quickly forget anything I teach you.\Not true. I want to learn many things.\Alright. We hit the jackpot with this one, too. response:	It's treasure. So be gentle with it.
context: I want to do salvage.\It really helps having you here.\I was convinced you'd go with Pinion.\I want you to teach me something, Bellows.\Although as long as that Yunboro's around, you'll probably quickly forget anything I teach you.\Not true. I want to learn many things.\Alright. We hit the jackpot with this one, too.\It's treasure. So be gentle with it. response:	Sign of the enemy confirmed. Interceptor.
context: It really helps having you here.\I was convinced you'd go with Pinion.\I want you to teach me something, Bellows.\Although as long as that Yunboro's around, you'll probably quickly forget anything I teach you.\Not true. I want to learn many things.\Alright. We hit the jackpot with this one, too.\It's treasure. So be gentle with it.\Sign of the enemy confirmed. Interceptor. response:	Confirm it again!
context: I was convinced you'd go with Pinion.\I want you to teach me something, Bellows.\Although as long as that Yunboro's around, you'll probably quickly forget anything I teach you.\Not true. I want to learn many things.\Alright. We hit the jackpot with this one, too.\It's treasure. So be gentle with it.\Sign of the enemy confirmed. Interceptor.\Confirm it again! response:	Characteristic response analysis complete. Probability: 99.7.
context: I want you to teach me something, Bellows.\Although as long as that Yunboro's around, you'll probably quickly forget anything I teach you.\Not true. I want to learn many things.\Alright. We hit the jackpot with this one, too.\It's treasure. So be gentle with it.\Sign of the enemy confirmed. Interceptor.\Confirm it again!\Characteristic response analysis complete. Probability: 99.7. response:	Subject identified as Hideauze.
context: Although as long as that Yunboro's around, you'll probably quickly forget anything I teach you.\Not true. I want to learn many things.\Alright. We hit the jackpot with this one, too.\It's treasure. So be gentle with it.\Sign of the enemy confirmed. Interceptor.\Confirm it again!\Characteristic response analysis complete. Probability: 99.7.\Subject identified as Hideauze. response:	Begin engagement. Annihilate the Hideauze.
context: Not true. I want to learn many things.\Alright. We hit the jackpot with this one, too.\It's treasure. So be gentle with it.\Sign of the enemy confirmed. Interceptor.\Confirm it again!\Characteristic response analysis complete. Probability: 99.7.\Subject identified as Hideauze.\Begin engagement. Annihilate the Hideauze. response:	Roger.
