context: Good morning, everyone! response:	It's a beautiful day!
context: You're in charge today.\Okay!\Could you parboil those vegetables,\descale the carp,\fry those,\and decorate the dishes with the cucumbers?\Th-That's quite a lot of work.\Okay, I'd like to read the congratulatory greetings now. response:	This is from the groom's older sister, Satsuki Matsumae.
context: Okay!\Could you parboil those vegetables,\descale the carp,\fry those,\and decorate the dishes with the cucumbers?\Th-That's quite a lot of work.\Okay, I'd like to read the congratulatory greetings now.\This is from the groom's older sister, Satsuki Matsumae. response:	They always say that a relationship gets better after a stormy fight,
context: Could you parboil those vegetables,\descale the carp,\fry those,\and decorate the dishes with the cucumbers?\Th-That's quite a lot of work.\Okay, I'd like to read the congratulatory greetings now.\This is from the groom's older sister, Satsuki Matsumae.\They always say that a relationship gets better after a stormy fight, response:	but I'm not sure what the weather is like today.
context: descale the carp,\fry those,\and decorate the dishes with the cucumbers?\Th-That's quite a lot of work.\Okay, I'd like to read the congratulatory greetings now.\This is from the groom's older sister, Satsuki Matsumae.\They always say that a relationship gets better after a stormy fight,\but I'm not sure what the weather is like today. response:	Either way, you need to make sure she's wet, all right?
context: fry those,\and decorate the dishes with the cucumbers?\Th-That's quite a lot of work.\Okay, I'd like to read the congratulatory greetings now.\This is from the groom's older sister, Satsuki Matsumae.\They always say that a relationship gets better after a stormy fight,\but I'm not sure what the weather is like today.\Either way, you need to make sure she's wet, all right? response:	Oh, Mom...
context: and decorate the dishes with the cucumbers?\Th-That's quite a lot of work.\Okay, I'd like to read the congratulatory greetings now.\This is from the groom's older sister, Satsuki Matsumae.\They always say that a relationship gets better after a stormy fight,\but I'm not sure what the weather is like today.\Either way, you need to make sure she's wet, all right?\Oh, Mom... response:	What about the next dish?
context: Th-That's quite a lot of work.\Okay, I'd like to read the congratulatory greetings now.\This is from the groom's older sister, Satsuki Matsumae.\They always say that a relationship gets better after a stormy fight,\but I'm not sure what the weather is like today.\Either way, you need to make sure she's wet, all right?\Oh, Mom...\What about the next dish? response:	The previous one was the last of them.
context: Okay, I'd like to read the congratulatory greetings now.\This is from the groom's older sister, Satsuki Matsumae.\They always say that a relationship gets better after a stormy fight,\but I'm not sure what the weather is like today.\Either way, you need to make sure she's wet, all right?\Oh, Mom...\What about the next dish?\The previous one was the last of them. response:	Great work today, everyone!
context: This is from the groom's older sister, Satsuki Matsumae.\They always say that a relationship gets better after a stormy fight,\but I'm not sure what the weather is like today.\Either way, you need to make sure she's wet, all right?\Oh, Mom...\What about the next dish?\The previous one was the last of them.\Great work today, everyone! response:	Invitations?
context: They always say that a relationship gets better after a stormy fight,\but I'm not sure what the weather is like today.\Either way, you need to make sure she's wet, all right?\Oh, Mom...\What about the next dish?\The previous one was the last of them.\Great work today, everyone!\Invitations? response:	We're invited to the wedding too!
context: but I'm not sure what the weather is like today.\Either way, you need to make sure she's wet, all right?\Oh, Mom...\What about the next dish?\The previous one was the last of them.\Great work today, everyone!\Invitations?\We're invited to the wedding too! response:	You look so pretty, Takako.
context: Either way, you need to make sure she's wet, all right?\Oh, Mom...\What about the next dish?\The previous one was the last of them.\Great work today, everyone!\Invitations?\We're invited to the wedding too!\You look so pretty, Takako. response:	Thanks.
context: Oh, Mom...\What about the next dish?\The previous one was the last of them.\Great work today, everyone!\Invitations?\We're invited to the wedding too!\You look so pretty, Takako.\Thanks. response:	Wow, these are all so delicious!
context: What about the next dish?\The previous one was the last of them.\Great work today, everyone!\Invitations?\We're invited to the wedding too!\You look so pretty, Takako.\Thanks.\Wow, these are all so delicious! response:	It's the first time I've tasted Tohru's cooking like this.
context: The previous one was the last of them.\Great work today, everyone!\Invitations?\We're invited to the wedding too!\You look so pretty, Takako.\Thanks.\Wow, these are all so delicious!\It's the first time I've tasted Tohru's cooking like this. response:	This is...
context: Great work today, everyone!\Invitations?\We're invited to the wedding too!\You look so pretty, Takako.\Thanks.\Wow, these are all so delicious!\It's the first time I've tasted Tohru's cooking like this.\This is... response:	Sorry... I couldn't stop him from doing this.
context: Invitations?\We're invited to the wedding too!\You look so pretty, Takako.\Thanks.\Wow, these are all so delicious!\It's the first time I've tasted Tohru's cooking like this.\This is...\Sorry... I couldn't stop him from doing this. response:	So, for our next performance...
context: We're invited to the wedding too!\You look so pretty, Takako.\Thanks.\Wow, these are all so delicious!\It's the first time I've tasted Tohru's cooking like this.\This is...\Sorry... I couldn't stop him from doing this.\So, for our next performance... response:	Where art thou?!
context: You look so pretty, Takako.\Thanks.\Wow, these are all so delicious!\It's the first time I've tasted Tohru's cooking like this.\This is...\Sorry... I couldn't stop him from doing this.\So, for our next performance...\Where art thou?! response:	Oh, where art thou, my destined love!
context: Thanks.\Wow, these are all so delicious!\It's the first time I've tasted Tohru's cooking like this.\This is...\Sorry... I couldn't stop him from doing this.\So, for our next performance...\Where art thou?!\Oh, where art thou, my destined love! response:	There you are!
context: Wow, these are all so delicious!\It's the first time I've tasted Tohru's cooking like this.\This is...\Sorry... I couldn't stop him from doing this.\So, for our next performance...\Where art thou?!\Oh, where art thou, my destined love!\There you are! response:	My beloved... Takako!
context: It's the first time I've tasted Tohru's cooking like this.\This is...\Sorry... I couldn't stop him from doing this.\So, for our next performance...\Where art thou?!\Oh, where art thou, my destined love!\There you are!\My beloved... Takako! response:	Wh-What in the world?!
context: This is...\Sorry... I couldn't stop him from doing this.\So, for our next performance...\Where art thou?!\Oh, where art thou, my destined love!\There you are!\My beloved... Takako!\Wh-What in the world?! response:	Now, for the baiser amor!
context: Sorry... I couldn't stop him from doing this.\So, for our next performance...\Where art thou?!\Oh, where art thou, my destined love!\There you are!\My beloved... Takako!\Wh-What in the world?!\Now, for the baiser amor! response:	W-
context: So, for our next performance...\Where art thou?!\Oh, where art thou, my destined love!\There you are!\My beloved... Takako!\Wh-What in the world?!\Now, for the baiser amor!\W- response:	Wait-
context: Where art thou?!\Oh, where art thou, my destined love!\There you are!\My beloved... Takako!\Wh-What in the world?!\Now, for the baiser amor!\W-\Wait- response:	Don't react, or you'll lose.
context: Oh, where art thou, my destined love!\There you are!\My beloved... Takako!\Wh-What in the world?!\Now, for the baiser amor!\W-\Wait-\Don't react, or you'll lose. response:	On a morning without clocks,
context: There you are!\My beloved... Takako!\Wh-What in the world?!\Now, for the baiser amor!\W-\Wait-\Don't react, or you'll lose.\On a morning without clocks, response:	two lovers smile and laugh while being embraced by the white clouds.
context: My beloved... Takako!\Wh-What in the world?!\Now, for the baiser amor!\W-\Wait-\Don't react, or you'll lose.\On a morning without clocks,\two lovers smile and laugh while being embraced by the white clouds. response:	Sunlight shines through a tiny gap,
context: Wh-What in the world?!\Now, for the baiser amor!\W-\Wait-\Don't react, or you'll lose.\On a morning without clocks,\two lovers smile and laugh while being embraced by the white clouds.\Sunlight shines through a tiny gap, response:	and birds are singing freely beyond the windowsill.
context: Now, for the baiser amor!\W-\Wait-\Don't react, or you'll lose.\On a morning without clocks,\two lovers smile and laugh while being embraced by the white clouds.\Sunlight shines through a tiny gap,\and birds are singing freely beyond the windowsill. response:	Time will extend as long as their hands are held tight;
context: W-\Wait-\Don't react, or you'll lose.\On a morning without clocks,\two lovers smile and laugh while being embraced by the white clouds.\Sunlight shines through a tiny gap,\and birds are singing freely beyond the windowsill.\Time will extend as long as their hands are held tight; response:	a short eternity is born.
context: Wait-\Don't react, or you'll lose.\On a morning without clocks,\two lovers smile and laugh while being embraced by the white clouds.\Sunlight shines through a tiny gap,\and birds are singing freely beyond the windowsill.\Time will extend as long as their hands are held tight;\a short eternity is born. response:	I didn't help out with this wedding at all.
context: Don't react, or you'll lose.\On a morning without clocks,\two lovers smile and laugh while being embraced by the white clouds.\Sunlight shines through a tiny gap,\and birds are singing freely beyond the windowsill.\Time will extend as long as their hands are held tight;\a short eternity is born.\I didn't help out with this wedding at all. response:	But these two, and the young workers at Kissuiso,
context: On a morning without clocks,\two lovers smile and laugh while being embraced by the white clouds.\Sunlight shines through a tiny gap,\and birds are singing freely beyond the windowsill.\Time will extend as long as their hands are held tight;\a short eternity is born.\I didn't help out with this wedding at all.\But these two, and the young workers at Kissuiso, response:	have created such an incredible ceremony.
context: two lovers smile and laugh while being embraced by the white clouds.\Sunlight shines through a tiny gap,\and birds are singing freely beyond the windowsill.\Time will extend as long as their hands are held tight;\a short eternity is born.\I didn't help out with this wedding at all.\But these two, and the young workers at Kissuiso,\have created such an incredible ceremony. response:	I apologize for boring you with stories of my past,
context: Sunlight shines through a tiny gap,\and birds are singing freely beyond the windowsill.\Time will extend as long as their hands are held tight;\a short eternity is born.\I didn't help out with this wedding at all.\But these two, and the young workers at Kissuiso,\have created such an incredible ceremony.\I apologize for boring you with stories of my past, response:	but 40 years ago, I created Kissuiso
context: and birds are singing freely beyond the windowsill.\Time will extend as long as their hands are held tight;\a short eternity is born.\I didn't help out with this wedding at all.\But these two, and the young workers at Kissuiso,\have created such an incredible ceremony.\I apologize for boring you with stories of my past,\but 40 years ago, I created Kissuiso response:	with my late husband, and with Denroku...
context: Time will extend as long as their hands are held tight;\a short eternity is born.\I didn't help out with this wedding at all.\But these two, and the young workers at Kissuiso,\have created such an incredible ceremony.\I apologize for boring you with stories of my past,\but 40 years ago, I created Kissuiso\with my late husband, and with Denroku... response:	No, with Mr. Denroku.
context: a short eternity is born.\I didn't help out with this wedding at all.\But these two, and the young workers at Kissuiso,\have created such an incredible ceremony.\I apologize for boring you with stories of my past,\but 40 years ago, I created Kissuiso\with my late husband, and with Denroku...\No, with Mr. Denroku. response:	That's what it means to be young.
context: I didn't help out with this wedding at all.\But these two, and the young workers at Kissuiso,\have created such an incredible ceremony.\I apologize for boring you with stories of my past,\but 40 years ago, I created Kissuiso\with my late husband, and with Denroku...\No, with Mr. Denroku.\That's what it means to be young. response:	Even if you stumble and get lost,
context: But these two, and the young workers at Kissuiso,\have created such an incredible ceremony.\I apologize for boring you with stories of my past,\but 40 years ago, I created Kissuiso\with my late husband, and with Denroku...\No, with Mr. Denroku.\That's what it means to be young.\Even if you stumble and get lost, response:	you challenge yourself to new things.
context: have created such an incredible ceremony.\I apologize for boring you with stories of my past,\but 40 years ago, I created Kissuiso\with my late husband, and with Denroku...\No, with Mr. Denroku.\That's what it means to be young.\Even if you stumble and get lost,\you challenge yourself to new things. response:	You'll be able to create something new.
context: I apologize for boring you with stories of my past,\but 40 years ago, I created Kissuiso\with my late husband, and with Denroku...\No, with Mr. Denroku.\That's what it means to be young.\Even if you stumble and get lost,\you challenge yourself to new things.\You'll be able to create something new. response:	I look forward to seeing the new things these two,
context: but 40 years ago, I created Kissuiso\with my late husband, and with Denroku...\No, with Mr. Denroku.\That's what it means to be young.\Even if you stumble and get lost,\you challenge yourself to new things.\You'll be able to create something new.\I look forward to seeing the new things these two, response:	and the rest of Kissuiso create,
context: with my late husband, and with Denroku...\No, with Mr. Denroku.\That's what it means to be young.\Even if you stumble and get lost,\you challenge yourself to new things.\You'll be able to create something new.\I look forward to seeing the new things these two,\and the rest of Kissuiso create, response:	while I'll sit back and enjoy my tea from the far distance.
context: No, with Mr. Denroku.\That's what it means to be young.\Even if you stumble and get lost,\you challenge yourself to new things.\You'll be able to create something new.\I look forward to seeing the new things these two,\and the rest of Kissuiso create,\while I'll sit back and enjoy my tea from the far distance. response:	Everyone's future?
context: That's what it means to be young.\Even if you stumble and get lost,\you challenge yourself to new things.\You'll be able to create something new.\I look forward to seeing the new things these two,\and the rest of Kissuiso create,\while I'll sit back and enjoy my tea from the far distance.\Everyone's future? response:	Watching from afar?
context: Even if you stumble and get lost,\you challenge yourself to new things.\You'll be able to create something new.\I look forward to seeing the new things these two,\and the rest of Kissuiso create,\while I'll sit back and enjoy my tea from the far distance.\Everyone's future?\Watching from afar? response:	It ended without any troubles.
context: you challenge yourself to new things.\You'll be able to create something new.\I look forward to seeing the new things these two,\and the rest of Kissuiso create,\while I'll sit back and enjoy my tea from the far distance.\Everyone's future?\Watching from afar?\It ended without any troubles. response:	Yeah.
context: You'll be able to create something new.\I look forward to seeing the new things these two,\and the rest of Kissuiso create,\while I'll sit back and enjoy my tea from the far distance.\Everyone's future?\Watching from afar?\It ended without any troubles.\Yeah. response:	Looks like everything's just about cleaned up.
context: I look forward to seeing the new things these two,\and the rest of Kissuiso create,\while I'll sit back and enjoy my tea from the far distance.\Everyone's future?\Watching from afar?\It ended without any troubles.\Yeah.\Looks like everything's just about cleaned up. response:	Madam Manager,
context: and the rest of Kissuiso create,\while I'll sit back and enjoy my tea from the far distance.\Everyone's future?\Watching from afar?\It ended without any troubles.\Yeah.\Looks like everything's just about cleaned up.\Madam Manager, response:	about that speech you gave earlier...
context: while I'll sit back and enjoy my tea from the far distance.\Everyone's future?\Watching from afar?\It ended without any troubles.\Yeah.\Looks like everything's just about cleaned up.\Madam Manager,\about that speech you gave earlier... response:	The reason why I asked you all here...
context: Everyone's future?\Watching from afar?\It ended without any troubles.\Yeah.\Looks like everything's just about cleaned up.\Madam Manager,\about that speech you gave earlier...\The reason why I asked you all here... response:	is because Mr. Denroku told me the other day...
context: Watching from afar?\It ended without any troubles.\Yeah.\Looks like everything's just about cleaned up.\Madam Manager,\about that speech you gave earlier...\The reason why I asked you all here...\is because Mr. Denroku told me the other day... response:	This...
context: It ended without any troubles.\Yeah.\Looks like everything's just about cleaned up.\Madam Manager,\about that speech you gave earlier...\The reason why I asked you all here...\is because Mr. Denroku told me the other day...\This... response:	that he wanted someone
context: Yeah.\Looks like everything's just about cleaned up.\Madam Manager,\about that speech you gave earlier...\The reason why I asked you all here...\is because Mr. Denroku told me the other day...\This...\that he wanted someone response:	to succeed the logs he kept for over 40 years.
context: Looks like everything's just about cleaned up.\Madam Manager,\about that speech you gave earlier...\The reason why I asked you all here...\is because Mr. Denroku told me the other day...\This...\that he wanted someone\to succeed the logs he kept for over 40 years. response:	Does that mean you're quitting Kissuiso, Beanman?!
context: Madam Manager,\about that speech you gave earlier...\The reason why I asked you all here...\is because Mr. Denroku told me the other day...\This...\that he wanted someone\to succeed the logs he kept for over 40 years.\Does that mean you're quitting Kissuiso, Beanman?! response:	But, why?
context: about that speech you gave earlier...\The reason why I asked you all here...\is because Mr. Denroku told me the other day...\This...\that he wanted someone\to succeed the logs he kept for over 40 years.\Does that mean you're quitting Kissuiso, Beanman?!\But, why? response:	These logs are like a history book of Kissuiso.
context: The reason why I asked you all here...\is because Mr. Denroku told me the other day...\This...\that he wanted someone\to succeed the logs he kept for over 40 years.\Does that mean you're quitting Kissuiso, Beanman?!\But, why?\These logs are like a history book of Kissuiso. response:	The tears, the laughs... everything is written in here.
context: is because Mr. Denroku told me the other day...\This...\that he wanted someone\to succeed the logs he kept for over 40 years.\Does that mean you're quitting Kissuiso, Beanman?!\But, why?\These logs are like a history book of Kissuiso.\The tears, the laughs... everything is written in here. response:	Look how worn it is.
context: This...\that he wanted someone\to succeed the logs he kept for over 40 years.\Does that mean you're quitting Kissuiso, Beanman?!\But, why?\These logs are like a history book of Kissuiso.\The tears, the laughs... everything is written in here.\Look how worn it is. response:	I'm thinking about sealing Kissuiso, along with these logs,
context: that he wanted someone\to succeed the logs he kept for over 40 years.\Does that mean you're quitting Kissuiso, Beanman?!\But, why?\These logs are like a history book of Kissuiso.\The tears, the laughs... everything is written in here.\Look how worn it is.\I'm thinking about sealing Kissuiso, along with these logs, response:	after the Bonbori festival this year.
context: to succeed the logs he kept for over 40 years.\Does that mean you're quitting Kissuiso, Beanman?!\But, why?\These logs are like a history book of Kissuiso.\The tears, the laughs... everything is written in here.\Look how worn it is.\I'm thinking about sealing Kissuiso, along with these logs,\after the Bonbori festival this year. response:	You going to see him?
context: Does that mean you're quitting Kissuiso, Beanman?!\But, why?\These logs are like a history book of Kissuiso.\The tears, the laughs... everything is written in here.\Look how worn it is.\I'm thinking about sealing Kissuiso, along with these logs,\after the Bonbori festival this year.\You going to see him? response:	What?
context: But, why?\These logs are like a history book of Kissuiso.\The tears, the laughs... everything is written in here.\Look how worn it is.\I'm thinking about sealing Kissuiso, along with these logs,\after the Bonbori festival this year.\You going to see him?\What? response:	Your crush.
context: These logs are like a history book of Kissuiso.\The tears, the laughs... everything is written in here.\Look how worn it is.\I'm thinking about sealing Kissuiso, along with these logs,\after the Bonbori festival this year.\You going to see him?\What?\Your crush. response:	Oh...
context: The tears, the laughs... everything is written in here.\Look how worn it is.\I'm thinking about sealing Kissuiso, along with these logs,\after the Bonbori festival this year.\You going to see him?\What?\Your crush.\Oh... response:	A man is responsible for waiting patiently.
context: Look how worn it is.\I'm thinking about sealing Kissuiso, along with these logs,\after the Bonbori festival this year.\You going to see him?\What?\Your crush.\Oh...\A man is responsible for waiting patiently. response:	Ohana, you're nothing like a bland coffee.
context: I'm thinking about sealing Kissuiso, along with these logs,\after the Bonbori festival this year.\You going to see him?\What?\Your crush.\Oh...\A man is responsible for waiting patiently.\Ohana, you're nothing like a bland coffee. response:	Episode 23 Compensation for the Dream
