context: I may have needed more soy sauce. response:	I may have needed more soy sauce.
context: Back then, I lived every day of my life abandoned.\Nobody expected anything of me.\I never even knew who I was.\Do you hate me?\Do you know why you've been locked up?\Because you hate me.\No.\It's because I became a tiger and wreaked havoc. response:	Atsushi, resent me.
context: Nobody expected anything of me.\I never even knew who I was.\Do you hate me?\Do you know why you've been locked up?\Because you hate me.\No.\It's because I became a tiger and wreaked havoc.\Atsushi, resent me. response:	One day, you'll leave for the outside world.
context: I never even knew who I was.\Do you hate me?\Do you know why you've been locked up?\Because you hate me.\No.\It's because I became a tiger and wreaked havoc.\Atsushi, resent me.\One day, you'll leave for the outside world. response:	When you do, Atsushi, hate me.
context: Do you hate me?\Do you know why you've been locked up?\Because you hate me.\No.\It's because I became a tiger and wreaked havoc.\Atsushi, resent me.\One day, you'll leave for the outside world.\When you do, Atsushi, hate me. response:	Never hate yourself.
context: Do you know why you've been locked up?\Because you hate me.\No.\It's because I became a tiger and wreaked havoc.\Atsushi, resent me.\One day, you'll leave for the outside world.\When you do, Atsushi, hate me.\Never hate yourself. response:	Atsushi-kun, the rest of the article the victim had was
context: Because you hate me.\No.\It's because I became a tiger and wreaked havoc.\Atsushi, resent me.\One day, you'll leave for the outside world.\When you do, Atsushi, hate me.\Never hate yourself.\Atsushi-kun, the rest of the article the victim had was response:	on the other side of the road.
context: No.\It's because I became a tiger and wreaked havoc.\Atsushi, resent me.\One day, you'll leave for the outside world.\When you do, Atsushi, hate me.\Never hate yourself.\Atsushi-kun, the rest of the article the victim had was\on the other side of the road. response:	Find!
context: It's because I became a tiger and wreaked havoc.\Atsushi, resent me.\One day, you'll leave for the outside world.\When you do, Atsushi, hate me.\Never hate yourself.\Atsushi-kun, the rest of the article the victim had was\on the other side of the road.\Find! response:	Giant Flying Object Over Yokohama
context: Atsushi, resent me.\One day, you'll leave for the outside world.\When you do, Atsushi, hate me.\Never hate yourself.\Atsushi-kun, the rest of the article the victim had was\on the other side of the road.\Find!\Giant Flying Object Over Yokohama response:	Crashes Into Port!
context: One day, you'll leave for the outside world.\When you do, Atsushi, hate me.\Never hate yourself.\Atsushi-kun, the rest of the article the victim had was\on the other side of the road.\Find!\Giant Flying Object Over Yokohama\Crashes Into Port! response:	It was you the headmaster was looking for.
context: When you do, Atsushi, hate me.\Never hate yourself.\Atsushi-kun, the rest of the article the victim had was\on the other side of the road.\Find!\Giant Flying Object Over Yokohama\Crashes Into Port!\It was you the headmaster was looking for. response:	He came to Yokohama after he saw this article.
context: Never hate yourself.\Atsushi-kun, the rest of the article the victim had was\on the other side of the road.\Find!\Giant Flying Object Over Yokohama\Crashes Into Port!\It was you the headmaster was looking for.\He came to Yokohama after he saw this article. response:	It's a gossip article and photos of the battle with the Guild
context: Atsushi-kun, the rest of the article the victim had was\on the other side of the road.\Find!\Giant Flying Object Over Yokohama\Crashes Into Port!\It was you the headmaster was looking for.\He came to Yokohama after he saw this article.\It's a gossip article and photos of the battle with the Guild response:	the Special Operations Division failed to cover up.
context: on the other side of the road.\Find!\Giant Flying Object Over Yokohama\Crashes Into Port!\It was you the headmaster was looking for.\He came to Yokohama after he saw this article.\It's a gossip article and photos of the battle with the Guild\the Special Operations Division failed to cover up. response:	I got more information out of the orphanage staff, too.
context: Find!\Giant Flying Object Over Yokohama\Crashes Into Port!\It was you the headmaster was looking for.\He came to Yokohama after he saw this article.\It's a gossip article and photos of the battle with the Guild\the Special Operations Division failed to cover up.\I got more information out of the orphanage staff, too. response:	The headmaster learned about your work from this article.
context: Giant Flying Object Over Yokohama\Crashes Into Port!\It was you the headmaster was looking for.\He came to Yokohama after he saw this article.\It's a gossip article and photos of the battle with the Guild\the Special Operations Division failed to cover up.\I got more information out of the orphanage staff, too.\The headmaster learned about your work from this article. response:	He probably wanted to wish you
context: Crashes Into Port!\It was you the headmaster was looking for.\He came to Yokohama after he saw this article.\It's a gossip article and photos of the battle with the Guild\the Special Operations Division failed to cover up.\I got more information out of the orphanage staff, too.\The headmaster learned about your work from this article.\He probably wanted to wish you response:	Lies!
context: It was you the headmaster was looking for.\He came to Yokohama after he saw this article.\It's a gossip article and photos of the battle with the Guild\the Special Operations Division failed to cover up.\I got more information out of the orphanage staff, too.\The headmaster learned about your work from this article.\He probably wanted to wish you\Lies! response:	That's not possible!
context: He came to Yokohama after he saw this article.\It's a gossip article and photos of the battle with the Guild\the Special Operations Division failed to cover up.\I got more information out of the orphanage staff, too.\The headmaster learned about your work from this article.\He probably wanted to wish you\Lies!\That's not possible! response:	Absolutely not!
context: It's a gossip article and photos of the battle with the Guild\the Special Operations Division failed to cover up.\I got more information out of the orphanage staff, too.\The headmaster learned about your work from this article.\He probably wanted to wish you\Lies!\That's not possible!\Absolutely not! response:	He would never...
context: the Special Operations Division failed to cover up.\I got more information out of the orphanage staff, too.\The headmaster learned about your work from this article.\He probably wanted to wish you\Lies!\That's not possible!\Absolutely not!\He would never... response:	Atsushi-kun...
context: I got more information out of the orphanage staff, too.\The headmaster learned about your work from this article.\He probably wanted to wish you\Lies!\That's not possible!\Absolutely not!\He would never...\Atsushi-kun... response:	Are you happy with this, Dazai-san?
context: The headmaster learned about your work from this article.\He probably wanted to wish you\Lies!\That's not possible!\Absolutely not!\He would never...\Atsushi-kun...\Are you happy with this, Dazai-san? response:	Does it hurt to see kids with their parents?
context: He probably wanted to wish you\Lies!\That's not possible!\Absolutely not!\He would never...\Atsushi-kun...\Are you happy with this, Dazai-san?\Does it hurt to see kids with their parents? response:	Dazai-san, do you remember when you first met me?
context: Lies!\That's not possible!\Absolutely not!\He would never...\Atsushi-kun...\Are you happy with this, Dazai-san?\Does it hurt to see kids with their parents?\Dazai-san, do you remember when you first met me? response:	Sure.
context: That's not possible!\Absolutely not!\He would never...\Atsushi-kun...\Are you happy with this, Dazai-san?\Does it hurt to see kids with their parents?\Dazai-san, do you remember when you first met me?\Sure. response:	That was when we were looking for the tiger.
context: Absolutely not!\He would never...\Atsushi-kun...\Are you happy with this, Dazai-san?\Does it hurt to see kids with their parents?\Dazai-san, do you remember when you first met me?\Sure.\That was when we were looking for the tiger. response:	Why do you think the headmaster didn't tell anyonee that I was the tiger?
context: He would never...\Atsushi-kun...\Are you happy with this, Dazai-san?\Does it hurt to see kids with their parents?\Dazai-san, do you remember when you first met me?\Sure.\That was when we were looking for the tiger.\Why do you think the headmaster didn't tell anyonee that I was the tiger? response:	At the very least, it's certain that maintaining
context: Atsushi-kun...\Are you happy with this, Dazai-san?\Does it hurt to see kids with their parents?\Dazai-san, do you remember when you first met me?\Sure.\That was when we were looking for the tiger.\Why do you think the headmaster didn't tell anyonee that I was the tiger?\At the very least, it's certain that maintaining response:	the secret would have taken serious effort.
context: Are you happy with this, Dazai-san?\Does it hurt to see kids with their parents?\Dazai-san, do you remember when you first met me?\Sure.\That was when we were looking for the tiger.\Why do you think the headmaster didn't tell anyonee that I was the tiger?\At the very least, it's certain that maintaining\the secret would have taken serious effort. response:	Especially to keep you from realizing, too.
context: Does it hurt to see kids with their parents?\Dazai-san, do you remember when you first met me?\Sure.\That was when we were looking for the tiger.\Why do you think the headmaster didn't tell anyonee that I was the tiger?\At the very least, it's certain that maintaining\the secret would have taken serious effort.\Especially to keep you from realizing, too. response:	Find a flower shop.
context: Dazai-san, do you remember when you first met me?\Sure.\That was when we were looking for the tiger.\Why do you think the headmaster didn't tell anyonee that I was the tiger?\At the very least, it's certain that maintaining\the secret would have taken serious effort.\Especially to keep you from realizing, too.\Find a flower shop. response:	Rampo-san was right.
context: Sure.\That was when we were looking for the tiger.\Why do you think the headmaster didn't tell anyonee that I was the tiger?\At the very least, it's certain that maintaining\the secret would have taken serious effort.\Especially to keep you from realizing, too.\Find a flower shop.\Rampo-san was right. response:	He had an appointment at a flower shop.
context: That was when we were looking for the tiger.\Why do you think the headmaster didn't tell anyonee that I was the tiger?\At the very least, it's certain that maintaining\the secret would have taken serious effort.\Especially to keep you from realizing, too.\Find a flower shop.\Rampo-san was right.\He had an appointment at a flower shop. response:	Headmaster was going to buy a bouquet of flowers before he met me.
context: Why do you think the headmaster didn't tell anyonee that I was the tiger?\At the very least, it's certain that maintaining\the secret would have taken serious effort.\Especially to keep you from realizing, too.\Find a flower shop.\Rampo-san was right.\He had an appointment at a flower shop.\Headmaster was going to buy a bouquet of flowers before he met me. response:	And...
context: At the very least, it's certain that maintaining\the secret would have taken serious effort.\Especially to keep you from realizing, too.\Find a flower shop.\Rampo-san was right.\He had an appointment at a flower shop.\Headmaster was going to buy a bouquet of flowers before he met me.\And... response:	Still, I can't forgive him.
context: the secret would have taken serious effort.\Especially to keep you from realizing, too.\Find a flower shop.\Rampo-san was right.\He had an appointment at a flower shop.\Headmaster was going to buy a bouquet of flowers before he met me.\And...\Still, I can't forgive him. response:	I really...
context: Especially to keep you from realizing, too.\Find a flower shop.\Rampo-san was right.\He had an appointment at a flower shop.\Headmaster was going to buy a bouquet of flowers before he met me.\And...\Still, I can't forgive him.\I really... response:	I really suffered.
context: Find a flower shop.\Rampo-san was right.\He had an appointment at a flower shop.\Headmaster was going to buy a bouquet of flowers before he met me.\And...\Still, I can't forgive him.\I really...\I really suffered. response:	There's nothing he could do to make me forgive him.
context: Rampo-san was right.\He had an appointment at a flower shop.\Headmaster was going to buy a bouquet of flowers before he met me.\And...\Still, I can't forgive him.\I really...\I really suffered.\There's nothing he could do to make me forgive him. response:	You don't need to forgive him.
context: He had an appointment at a flower shop.\Headmaster was going to buy a bouquet of flowers before he met me.\And...\Still, I can't forgive him.\I really...\I really suffered.\There's nothing he could do to make me forgive him.\You don't need to forgive him. response:	No matter what he may have believed,
context: Headmaster was going to buy a bouquet of flowers before he met me.\And...\Still, I can't forgive him.\I really...\I really suffered.\There's nothing he could do to make me forgive him.\You don't need to forgive him.\No matter what he may have believed, response:	what he did to you was unforgivable. Absolute barbarism.
context: And...\Still, I can't forgive him.\I really...\I really suffered.\There's nothing he could do to make me forgive him.\You don't need to forgive him.\No matter what he may have believed,\what he did to you was unforgivable. Absolute barbarism. response:	You were truly in hell,
context: Still, I can't forgive him.\I really...\I really suffered.\There's nothing he could do to make me forgive him.\You don't need to forgive him.\No matter what he may have believed,\what he did to you was unforgivable. Absolute barbarism.\You were truly in hell, response:	but that hell raised you properly.
context: I really...\I really suffered.\There's nothing he could do to make me forgive him.\You don't need to forgive him.\No matter what he may have believed,\what he did to you was unforgivable. Absolute barbarism.\You were truly in hell,\but that hell raised you properly. response:	If I could save them...
context: I really suffered.\There's nothing he could do to make me forgive him.\You don't need to forgive him.\No matter what he may have believed,\what he did to you was unforgivable. Absolute barbarism.\You were truly in hell,\but that hell raised you properly.\If I could save them... response:	the passengers here...
context: There's nothing he could do to make me forgive him.\You don't need to forgive him.\No matter what he may have believed,\what he did to you was unforgivable. Absolute barbarism.\You were truly in hell,\but that hell raised you properly.\If I could save them...\the passengers here... response:	If I could get them back safe and sound to their homes...
context: You don't need to forgive him.\No matter what he may have believed,\what he did to you was unforgivable. Absolute barbarism.\You were truly in hell,\but that hell raised you properly.\If I could save them...\the passengers here...\If I could get them back safe and sound to their homes... response:	Wouldn't that mean...
context: No matter what he may have believed,\what he did to you was unforgivable. Absolute barbarism.\You were truly in hell,\but that hell raised you properly.\If I could save them...\the passengers here...\If I could get them back safe and sound to their homes...\Wouldn't that mean... response:	Wouldn't that mean it's okay for me to live?
context: what he did to you was unforgivable. Absolute barbarism.\You were truly in hell,\but that hell raised you properly.\If I could save them...\the passengers here...\If I could get them back safe and sound to their homes...\Wouldn't that mean...\Wouldn't that mean it's okay for me to live? response:	As someone who understands suffering,
context: You were truly in hell,\but that hell raised you properly.\If I could save them...\the passengers here...\If I could get them back safe and sound to their homes...\Wouldn't that mean...\Wouldn't that mean it's okay for me to live?\As someone who understands suffering, response:	you resisted violence and evil
context: but that hell raised you properly.\If I could save them...\the passengers here...\If I could get them back safe and sound to their homes...\Wouldn't that mean...\Wouldn't that mean it's okay for me to live?\As someone who understands suffering,\you resisted violence and evil response:	and saved many people who were in positions of weakness.
context: If I could save them...\the passengers here...\If I could get them back safe and sound to their homes...\Wouldn't that mean...\Wouldn't that mean it's okay for me to live?\As someone who understands suffering,\you resisted violence and evil\and saved many people who were in positions of weakness. response:	Dazai-san...
context: the passengers here...\If I could get them back safe and sound to their homes...\Wouldn't that mean...\Wouldn't that mean it's okay for me to live?\As someone who understands suffering,\you resisted violence and evil\and saved many people who were in positions of weakness.\Dazai-san... response:	This feeling that's overflowing inside me...
context: If I could get them back safe and sound to their homes...\Wouldn't that mean...\Wouldn't that mean it's okay for me to live?\As someone who understands suffering,\you resisted violence and evil\and saved many people who were in positions of weakness.\Dazai-san...\This feeling that's overflowing inside me... response:	This feeling...
context: Wouldn't that mean...\Wouldn't that mean it's okay for me to live?\As someone who understands suffering,\you resisted violence and evil\and saved many people who were in positions of weakness.\Dazai-san...\This feeling that's overflowing inside me...\This feeling... response:	What is this?
context: Wouldn't that mean it's okay for me to live?\As someone who understands suffering,\you resisted violence and evil\and saved many people who were in positions of weakness.\Dazai-san...\This feeling that's overflowing inside me...\This feeling...\What is this? response:	There's no one who can fully grasp the deepest feelings of another person.
context: As someone who understands suffering,\you resisted violence and evil\and saved many people who were in positions of weakness.\Dazai-san...\This feeling that's overflowing inside me...\This feeling...\What is this?\There's no one who can fully grasp the deepest feelings of another person. response:	You can only get the sense that you have.
context: you resisted violence and evil\and saved many people who were in positions of weakness.\Dazai-san...\This feeling that's overflowing inside me...\This feeling...\What is this?\There's no one who can fully grasp the deepest feelings of another person.\You can only get the sense that you have. response:	When someone's father dies, they tend to cry.
context: and saved many people who were in positions of weakness.\Dazai-san...\This feeling that's overflowing inside me...\This feeling...\What is this?\There's no one who can fully grasp the deepest feelings of another person.\You can only get the sense that you have.\When someone's father dies, they tend to cry. response:	Next Episode Episode 32
context: Dazai-san...\This feeling that's overflowing inside me...\This feeling...\What is this?\There's no one who can fully grasp the deepest feelings of another person.\You can only get the sense that you have.\When someone's father dies, they tend to cry.\Next Episode Episode 32 response:	Fitzgerald Ri sing
