context: So many kinds of weapons! response:	All made from the bones and hides of demons!
context: However, when one lives long and sees so much death...\one becomes accustomed to it.\Forgive me.\This afternoon, I was too eager in my pursuit of truth.\Since you've allowed me past the barrier...\I guess you understand.\Oh, sorry, sorry! I will be finished here soon.\Namu amida butsu... response:	So many demons...
context: one becomes accustomed to it.\Forgive me.\This afternoon, I was too eager in my pursuit of truth.\Since you've allowed me past the barrier...\I guess you understand.\Oh, sorry, sorry! I will be finished here soon.\Namu amida butsu...\So many demons... response:	A single priestess took on this many demons?
context: Forgive me.\This afternoon, I was too eager in my pursuit of truth.\Since you've allowed me past the barrier...\I guess you understand.\Oh, sorry, sorry! I will be finished here soon.\Namu amida butsu...\So many demons...\A single priestess took on this many demons? response:	Unbelievable.
context: This afternoon, I was too eager in my pursuit of truth.\Since you've allowed me past the barrier...\I guess you understand.\Oh, sorry, sorry! I will be finished here soon.\Namu amida butsu...\So many demons...\A single priestess took on this many demons?\Unbelievable. response:	Many of the demons merged with others into huge ones.
context: Since you've allowed me past the barrier...\I guess you understand.\Oh, sorry, sorry! I will be finished here soon.\Namu amida butsu...\So many demons...\A single priestess took on this many demons?\Unbelievable.\Many of the demons merged with others into huge ones. response:	So that's the hole in the chest...
context: I guess you understand.\Oh, sorry, sorry! I will be finished here soon.\Namu amida butsu...\So many demons...\A single priestess took on this many demons?\Unbelievable.\Many of the demons merged with others into huge ones.\So that's the hole in the chest... response:	where the Sacred Jewel was thrust out.
context: Oh, sorry, sorry! I will be finished here soon.\Namu amida butsu...\So many demons...\A single priestess took on this many demons?\Unbelievable.\Many of the demons merged with others into huge ones.\So that's the hole in the chest...\where the Sacred Jewel was thrust out. response:	Judging from the size...
context: Namu amida butsu...\So many demons...\A single priestess took on this many demons?\Unbelievable.\Many of the demons merged with others into huge ones.\So that's the hole in the chest...\where the Sacred Jewel was thrust out.\Judging from the size... response:	it's quite possible that the Jewel was thrust out from that spot.
context: So many demons...\A single priestess took on this many demons?\Unbelievable.\Many of the demons merged with others into huge ones.\So that's the hole in the chest...\where the Sacred Jewel was thrust out.\Judging from the size...\it's quite possible that the Jewel was thrust out from that spot. response:	W-what?!
context: A single priestess took on this many demons?\Unbelievable.\Many of the demons merged with others into huge ones.\So that's the hole in the chest...\where the Sacred Jewel was thrust out.\Judging from the size...\it's quite possible that the Jewel was thrust out from that spot.\W-what?! response:	I have this ominous feeling...
context: Unbelievable.\Many of the demons merged with others into huge ones.\So that's the hole in the chest...\where the Sacred Jewel was thrust out.\Judging from the size...\it's quite possible that the Jewel was thrust out from that spot.\W-what?!\I have this ominous feeling... response:	Damn! It's the power of the Sacred Jewel!
context: Many of the demons merged with others into huge ones.\So that's the hole in the chest...\where the Sacred Jewel was thrust out.\Judging from the size...\it's quite possible that the Jewel was thrust out from that spot.\W-what?!\I have this ominous feeling...\Damn! It's the power of the Sacred Jewel! response:	Demons who were not completely subdued...
context: So that's the hole in the chest...\where the Sacred Jewel was thrust out.\Judging from the size...\it's quite possible that the Jewel was thrust out from that spot.\W-what?!\I have this ominous feeling...\Damn! It's the power of the Sacred Jewel!\Demons who were not completely subdued... response:	are trying to revive!
context: where the Sacred Jewel was thrust out.\Judging from the size...\it's quite possible that the Jewel was thrust out from that spot.\W-what?!\I have this ominous feeling...\Damn! It's the power of the Sacred Jewel!\Demons who were not completely subdued...\are trying to revive! response:	Damn! It's the power of the Sacred Jewel!
context: Judging from the size...\it's quite possible that the Jewel was thrust out from that spot.\W-what?!\I have this ominous feeling...\Damn! It's the power of the Sacred Jewel!\Demons who were not completely subdued...\are trying to revive!\Damn! It's the power of the Sacred Jewel! response:	Demons who were not completely subdued...
context: it's quite possible that the Jewel was thrust out from that spot.\W-what?!\I have this ominous feeling...\Damn! It's the power of the Sacred Jewel!\Demons who were not completely subdued...\are trying to revive!\Damn! It's the power of the Sacred Jewel!\Demons who were not completely subdued... response:	are trying to revive!
context: W-what?!\I have this ominous feeling...\Damn! It's the power of the Sacred Jewel!\Demons who were not completely subdued...\are trying to revive!\Damn! It's the power of the Sacred Jewel!\Demons who were not completely subdued...\are trying to revive! response:	What was that tremor?!
context: I have this ominous feeling...\Damn! It's the power of the Sacred Jewel!\Demons who were not completely subdued...\are trying to revive!\Damn! It's the power of the Sacred Jewel!\Demons who were not completely subdued...\are trying to revive!\What was that tremor?! response:	Inuyasha! The Sacred Jewel is gone!
context: Damn! It's the power of the Sacred Jewel!\Demons who were not completely subdued...\are trying to revive!\Damn! It's the power of the Sacred Jewel!\Demons who were not completely subdued...\are trying to revive!\What was that tremor?!\Inuyasha! The Sacred Jewel is gone! response:	Something's happening in Midoriko's cave!
context: Demons who were not completely subdued...\are trying to revive!\Damn! It's the power of the Sacred Jewel!\Demons who were not completely subdued...\are trying to revive!\What was that tremor?!\Inuyasha! The Sacred Jewel is gone!\Something's happening in Midoriko's cave! response:	Old Myoga is missing.
context: are trying to revive!\Damn! It's the power of the Sacred Jewel!\Demons who were not completely subdued...\are trying to revive!\What was that tremor?!\Inuyasha! The Sacred Jewel is gone!\Something's happening in Midoriko's cave!\Old Myoga is missing. response:	Kagome, where's he, you know?
context: Damn! It's the power of the Sacred Jewel!\Demons who were not completely subdued...\are trying to revive!\What was that tremor?!\Inuyasha! The Sacred Jewel is gone!\Something's happening in Midoriko's cave!\Old Myoga is missing.\Kagome, where's he, you know? response:	Maybe he went with Inuyasha?
context: Demons who were not completely subdued...\are trying to revive!\What was that tremor?!\Inuyasha! The Sacred Jewel is gone!\Something's happening in Midoriko's cave!\Old Myoga is missing.\Kagome, where's he, you know?\Maybe he went with Inuyasha? response:	No way!
context: are trying to revive!\What was that tremor?!\Inuyasha! The Sacred Jewel is gone!\Something's happening in Midoriko's cave!\Old Myoga is missing.\Kagome, where's he, you know?\Maybe he went with Inuyasha?\No way! response:	The old one wouldn't stick his nose into danger!
context: What was that tremor?!\Inuyasha! The Sacred Jewel is gone!\Something's happening in Midoriko's cave!\Old Myoga is missing.\Kagome, where's he, you know?\Maybe he went with Inuyasha?\No way!\The old one wouldn't stick his nose into danger! response:	Old Myoga, where are you?!
context: Inuyasha! The Sacred Jewel is gone!\Something's happening in Midoriko's cave!\Old Myoga is missing.\Kagome, where's he, you know?\Maybe he went with Inuyasha?\No way!\The old one wouldn't stick his nose into danger!\Old Myoga, where are you?! response:	Kirara?
context: Something's happening in Midoriko's cave!\Old Myoga is missing.\Kagome, where's he, you know?\Maybe he went with Inuyasha?\No way!\The old one wouldn't stick his nose into danger!\Old Myoga, where are you?!\Kirara? response:	Kirara! Run!
context: Old Myoga is missing.\Kagome, where's he, you know?\Maybe he went with Inuyasha?\No way!\The old one wouldn't stick his nose into danger!\Old Myoga, where are you?!\Kirara?\Kirara! Run! response:	Call Inuyasha and Miroku!
context: Kagome, where's he, you know?\Maybe he went with Inuyasha?\No way!\The old one wouldn't stick his nose into danger!\Old Myoga, where are you?!\Kirara?\Kirara! Run!\Call Inuyasha and Miroku! response:	What's the matter, Kirara?
context: Maybe he went with Inuyasha?\No way!\The old one wouldn't stick his nose into danger!\Old Myoga, where are you?!\Kirara?\Kirara! Run!\Call Inuyasha and Miroku!\What's the matter, Kirara? response:	I see! We must get the Jewel fragment back!
context: No way!\The old one wouldn't stick his nose into danger!\Old Myoga, where are you?!\Kirara?\Kirara! Run!\Call Inuyasha and Miroku!\What's the matter, Kirara?\I see! We must get the Jewel fragment back! response:	Kirara!
context: The old one wouldn't stick his nose into danger!\Old Myoga, where are you?!\Kirara?\Kirara! Run!\Call Inuyasha and Miroku!\What's the matter, Kirara?\I see! We must get the Jewel fragment back!\Kirara! response:	Demon spirits!
context: Old Myoga, where are you?!\Kirara?\Kirara! Run!\Call Inuyasha and Miroku!\What's the matter, Kirara?\I see! We must get the Jewel fragment back!\Kirara!\Demon spirits! response:	They're transforming into fierce ones!
context: Kirara?\Kirara! Run!\Call Inuyasha and Miroku!\What's the matter, Kirara?\I see! We must get the Jewel fragment back!\Kirara!\Demon spirits!\They're transforming into fierce ones! response:	Hang on, Kirara!
context: Kirara! Run!\Call Inuyasha and Miroku!\What's the matter, Kirara?\I see! We must get the Jewel fragment back!\Kirara!\Demon spirits!\They're transforming into fierce ones!\Hang on, Kirara! response:	Just won't do at all!
context: Call Inuyasha and Miroku!\What's the matter, Kirara?\I see! We must get the Jewel fragment back!\Kirara!\Demon spirits!\They're transforming into fierce ones!\Hang on, Kirara!\Just won't do at all! response:	T-that's!
context: What's the matter, Kirara?\I see! We must get the Jewel fragment back!\Kirara!\Demon spirits!\They're transforming into fierce ones!\Hang on, Kirara!\Just won't do at all!\T-that's! response:	Midoriko!
context: I see! We must get the Jewel fragment back!\Kirara!\Demon spirits!\They're transforming into fierce ones!\Hang on, Kirara!\Just won't do at all!\T-that's!\Midoriko! response:	Hurry, Miroku!
context: Kirara!\Demon spirits!\They're transforming into fierce ones!\Hang on, Kirara!\Just won't do at all!\T-that's!\Midoriko!\Hurry, Miroku! response:	Found it!
context: Demon spirits!\They're transforming into fierce ones!\Hang on, Kirara!\Just won't do at all!\T-that's!\Midoriko!\Hurry, Miroku!\Found it! response:	I cannot linger here with the Jewel fragment!
context: They're transforming into fierce ones!\Hang on, Kirara!\Just won't do at all!\T-that's!\Midoriko!\Hurry, Miroku!\Found it!\I cannot linger here with the Jewel fragment! response:	- I'm going out of the cave! - Go!
context: Hang on, Kirara!\Just won't do at all!\T-that's!\Midoriko!\Hurry, Miroku!\Found it!\I cannot linger here with the Jewel fragment!\- I'm going out of the cave! - Go! response:	Now then...
context: Just won't do at all!\T-that's!\Midoriko!\Hurry, Miroku!\Found it!\I cannot linger here with the Jewel fragment!\- I'm going out of the cave! - Go!\Now then... response:	I know of only one creature who would do something so stupid...
context: T-that's!\Midoriko!\Hurry, Miroku!\Found it!\I cannot linger here with the Jewel fragment!\- I'm going out of the cave! - Go!\Now then...\I know of only one creature who would do something so stupid... response:	Oh, Master Inuyasha!
context: Midoriko!\Hurry, Miroku!\Found it!\I cannot linger here with the Jewel fragment!\- I'm going out of the cave! - Go!\Now then...\I know of only one creature who would do something so stupid...\Oh, Master Inuyasha! response:	Oh dear... Thank goodness nothing happened.
context: Hurry, Miroku!\Found it!\I cannot linger here with the Jewel fragment!\- I'm going out of the cave! - Go!\Now then...\I know of only one creature who would do something so stupid...\Oh, Master Inuyasha!\Oh dear... Thank goodness nothing happened. response:	Cut it out, will ya!
context: Found it!\I cannot linger here with the Jewel fragment!\- I'm going out of the cave! - Go!\Now then...\I know of only one creature who would do something so stupid...\Oh, Master Inuyasha!\Oh dear... Thank goodness nothing happened.\Cut it out, will ya! response:	Why'd you bring the Jewel fragment into a place like this?!
context: I cannot linger here with the Jewel fragment!\- I'm going out of the cave! - Go!\Now then...\I know of only one creature who would do something so stupid...\Oh, Master Inuyasha!\Oh dear... Thank goodness nothing happened.\Cut it out, will ya!\Why'd you bring the Jewel fragment into a place like this?! response:	Well, Kirara wanted to...
context: - I'm going out of the cave! - Go!\Now then...\I know of only one creature who would do something so stupid...\Oh, Master Inuyasha!\Oh dear... Thank goodness nothing happened.\Cut it out, will ya!\Why'd you bring the Jewel fragment into a place like this?!\Well, Kirara wanted to... response:	Iook inside the cave again...
context: Now then...\I know of only one creature who would do something so stupid...\Oh, Master Inuyasha!\Oh dear... Thank goodness nothing happened.\Cut it out, will ya!\Why'd you bring the Jewel fragment into a place like this?!\Well, Kirara wanted to...\Iook inside the cave again... response:	Lying again?!
context: I know of only one creature who would do something so stupid...\Oh, Master Inuyasha!\Oh dear... Thank goodness nothing happened.\Cut it out, will ya!\Why'd you bring the Jewel fragment into a place like this?!\Well, Kirara wanted to...\Iook inside the cave again...\Lying again?! response:	Err... no...
context: Oh, Master Inuyasha!\Oh dear... Thank goodness nothing happened.\Cut it out, will ya!\Why'd you bring the Jewel fragment into a place like this?!\Well, Kirara wanted to...\Iook inside the cave again...\Lying again?!\Err... no... response:	The souls which still lingered...
context: Oh dear... Thank goodness nothing happened.\Cut it out, will ya!\Why'd you bring the Jewel fragment into a place like this?!\Well, Kirara wanted to...\Iook inside the cave again...\Lying again?!\Err... no...\The souls which still lingered... response:	reacted to the light from the Sacred Jewel...
context: Cut it out, will ya!\Why'd you bring the Jewel fragment into a place like this?!\Well, Kirara wanted to...\Iook inside the cave again...\Lying again?!\Err... no...\The souls which still lingered...\reacted to the light from the Sacred Jewel... response:	and tried to revive.
context: Why'd you bring the Jewel fragment into a place like this?!\Well, Kirara wanted to...\Iook inside the cave again...\Lying again?!\Err... no...\The souls which still lingered...\reacted to the light from the Sacred Jewel...\and tried to revive. response:	I kind of expected it.
context: Well, Kirara wanted to...\Iook inside the cave again...\Lying again?!\Err... no...\The souls which still lingered...\reacted to the light from the Sacred Jewel...\and tried to revive.\I kind of expected it. response:	How can you brush it off so lightly when you almost died?
context: Iook inside the cave again...\Lying again?!\Err... no...\The souls which still lingered...\reacted to the light from the Sacred Jewel...\and tried to revive.\I kind of expected it.\How can you brush it off so lightly when you almost died? response:	You're so smooth with your talk!
context: Lying again?!\Err... no...\The souls which still lingered...\reacted to the light from the Sacred Jewel...\and tried to revive.\I kind of expected it.\How can you brush it off so lightly when you almost died?\You're so smooth with your talk! response:	I shouldn't have saved you.
context: Err... no...\The souls which still lingered...\reacted to the light from the Sacred Jewel...\and tried to revive.\I kind of expected it.\How can you brush it off so lightly when you almost died?\You're so smooth with your talk!\I shouldn't have saved you. response:	W-what? When was I saved by you?
context: The souls which still lingered...\reacted to the light from the Sacred Jewel...\and tried to revive.\I kind of expected it.\How can you brush it off so lightly when you almost died?\You're so smooth with your talk!\I shouldn't have saved you.\W-what? When was I saved by you? response:	Wake up! And don't act dumb!
context: reacted to the light from the Sacred Jewel...\and tried to revive.\I kind of expected it.\How can you brush it off so lightly when you almost died?\You're so smooth with your talk!\I shouldn't have saved you.\W-what? When was I saved by you?\Wake up! And don't act dumb! response:	I'm not acting dumb!
context: and tried to revive.\I kind of expected it.\How can you brush it off so lightly when you almost died?\You're so smooth with your talk!\I shouldn't have saved you.\W-what? When was I saved by you?\Wake up! And don't act dumb!\I'm not acting dumb! response:	I was saved by Priestess Midoriko!
context: I kind of expected it.\How can you brush it off so lightly when you almost died?\You're so smooth with your talk!\I shouldn't have saved you.\W-what? When was I saved by you?\Wake up! And don't act dumb!\I'm not acting dumb!\I was saved by Priestess Midoriko! response:	You can sleep talk in your sleep!
context: How can you brush it off so lightly when you almost died?\You're so smooth with your talk!\I shouldn't have saved you.\W-what? When was I saved by you?\Wake up! And don't act dumb!\I'm not acting dumb!\I was saved by Priestess Midoriko!\You can sleep talk in your sleep! response:	Old Myoga who investigated the story of the Sacred Jewel feels...
context: You're so smooth with your talk!\I shouldn't have saved you.\W-what? When was I saved by you?\Wake up! And don't act dumb!\I'm not acting dumb!\I was saved by Priestess Midoriko!\You can sleep talk in your sleep!\Old Myoga who investigated the story of the Sacred Jewel feels... response:	it was impossible for one priestess to battle so many demons...
context: I shouldn't have saved you.\W-what? When was I saved by you?\Wake up! And don't act dumb!\I'm not acting dumb!\I was saved by Priestess Midoriko!\You can sleep talk in your sleep!\Old Myoga who investigated the story of the Sacred Jewel feels...\it was impossible for one priestess to battle so many demons... response:	no matter how strong her spiritual power.
context: W-what? When was I saved by you?\Wake up! And don't act dumb!\I'm not acting dumb!\I was saved by Priestess Midoriko!\You can sleep talk in your sleep!\Old Myoga who investigated the story of the Sacred Jewel feels...\it was impossible for one priestess to battle so many demons...\no matter how strong her spiritual power. response:	Perhaps, Midoriko had a brilliant vassal at her side...
context: Wake up! And don't act dumb!\I'm not acting dumb!\I was saved by Priestess Midoriko!\You can sleep talk in your sleep!\Old Myoga who investigated the story of the Sacred Jewel feels...\it was impossible for one priestess to battle so many demons...\no matter how strong her spiritual power.\Perhaps, Midoriko had a brilliant vassal at her side... response:	The Demon Slayer Sango has decided to join us!
context: I'm not acting dumb!\I was saved by Priestess Midoriko!\You can sleep talk in your sleep!\Old Myoga who investigated the story of the Sacred Jewel feels...\it was impossible for one priestess to battle so many demons...\no matter how strong her spiritual power.\Perhaps, Midoriko had a brilliant vassal at her side...\The Demon Slayer Sango has decided to join us! response:	Is it me, or does Miroku look happy?
context: I was saved by Priestess Midoriko!\You can sleep talk in your sleep!\Old Myoga who investigated the story of the Sacred Jewel feels...\it was impossible for one priestess to battle so many demons...\no matter how strong her spiritual power.\Perhaps, Midoriko had a brilliant vassal at her side...\The Demon Slayer Sango has decided to join us!\Is it me, or does Miroku look happy? response:	A village suffers from flood...
context: You can sleep talk in your sleep!\Old Myoga who investigated the story of the Sacred Jewel feels...\it was impossible for one priestess to battle so many demons...\no matter how strong her spiritual power.\Perhaps, Midoriko had a brilliant vassal at her side...\The Demon Slayer Sango has decided to join us!\Is it me, or does Miroku look happy?\A village suffers from flood... response:	and their Water God demands a sacrifice.
context: Old Myoga who investigated the story of the Sacred Jewel feels...\it was impossible for one priestess to battle so many demons...\no matter how strong her spiritual power.\Perhaps, Midoriko had a brilliant vassal at her side...\The Demon Slayer Sango has decided to join us!\Is it me, or does Miroku look happy?\A village suffers from flood...\and their Water God demands a sacrifice. response:	What kind of god would say...
context: it was impossible for one priestess to battle so many demons...\no matter how strong her spiritual power.\Perhaps, Midoriko had a brilliant vassal at her side...\The Demon Slayer Sango has decided to join us!\Is it me, or does Miroku look happy?\A village suffers from flood...\and their Water God demands a sacrifice.\What kind of god would say... response:	he'd prevent disaster only if the village people gave up their children?
context: no matter how strong her spiritual power.\Perhaps, Midoriko had a brilliant vassal at her side...\The Demon Slayer Sango has decided to join us!\Is it me, or does Miroku look happy?\A village suffers from flood...\and their Water God demands a sacrifice.\What kind of god would say...\he'd prevent disaster only if the village people gave up their children? response:	This could be a demon with a Sacred Jewel fragment.
context: Perhaps, Midoriko had a brilliant vassal at her side...\The Demon Slayer Sango has decided to join us!\Is it me, or does Miroku look happy?\A village suffers from flood...\and their Water God demands a sacrifice.\What kind of god would say...\he'd prevent disaster only if the village people gave up their children?\This could be a demon with a Sacred Jewel fragment. response:	Next, The Lake of the Evil Water God.
context: The Demon Slayer Sango has decided to join us!\Is it me, or does Miroku look happy?\A village suffers from flood...\and their Water God demands a sacrifice.\What kind of god would say...\he'd prevent disaster only if the village people gave up their children?\This could be a demon with a Sacred Jewel fragment.\Next, The Lake of the Evil Water God. response:	Don't miss it!
