context: Okikura here. response:	Hi, it's Fukami, from school.
context: Did you know there are more accidents going down mountains\Okay, whatever, let's go.\than going up?\Let's go, Touko.\Okay, thanks.\I'll lead the way.\Don't get lost.\Roger. response:	Yeah, yeah.
context: Okay, whatever, let's go.\than going up?\Let's go, Touko.\Okay, thanks.\I'll lead the way.\Don't get lost.\Roger.\Yeah, yeah. response:	Hinode Bridge
context: than going up?\Let's go, Touko.\Okay, thanks.\I'll lead the way.\Don't get lost.\Roger.\Yeah, yeah.\Hinode Bridge response:	Sacchan Text Message
context: Let's go, Touko.\Okay, thanks.\I'll lead the way.\Don't get lost.\Roger.\Yeah, yeah.\Hinode Bridge\Sacchan Text Message response:	To Touko-chan,
context: Okay, thanks.\I'll lead the way.\Don't get lost.\Roger.\Yeah, yeah.\Hinode Bridge\Sacchan Text Message\To Touko-chan, response:	Thanks for everything today.
context: I'll lead the way.\Don't get lost.\Roger.\Yeah, yeah.\Hinode Bridge\Sacchan Text Message\To Touko-chan,\Thanks for everything today. response:	I'll contact you soon.
context: Don't get lost.\Roger.\Yeah, yeah.\Hinode Bridge\Sacchan Text Message\To Touko-chan,\Thanks for everything today.\I'll contact you soon. response:	I'm home.
context: Roger.\Yeah, yeah.\Hinode Bridge\Sacchan Text Message\To Touko-chan,\Thanks for everything today.\I'll contact you soon.\I'm home. response:	Hey, Hina-chan,
context: Yeah, yeah.\Hinode Bridge\Sacchan Text Message\To Touko-chan,\Thanks for everything today.\I'll contact you soon.\I'm home.\Hey, Hina-chan, response:	what would you do if your best friend got confessed to by someone you like?
context: Hinode Bridge\Sacchan Text Message\To Touko-chan,\Thanks for everything today.\I'll contact you soon.\I'm home.\Hey, Hina-chan,\what would you do if your best friend got confessed to by someone you like? response:	You got confessed to?
context: Sacchan Text Message\To Touko-chan,\Thanks for everything today.\I'll contact you soon.\I'm home.\Hey, Hina-chan,\what would you do if your best friend got confessed to by someone you like?\You got confessed to? response:	Jeez, stop it.
context: To Touko-chan,\Thanks for everything today.\I'll contact you soon.\I'm home.\Hey, Hina-chan,\what would you do if your best friend got confessed to by someone you like?\You got confessed to?\Jeez, stop it. response:	Well?
context: Thanks for everything today.\I'll contact you soon.\I'm home.\Hey, Hina-chan,\what would you do if your best friend got confessed to by someone you like?\You got confessed to?\Jeez, stop it.\Well? response:	What could I do?
context: I'll contact you soon.\I'm home.\Hey, Hina-chan,\what would you do if your best friend got confessed to by someone you like?\You got confessed to?\Jeez, stop it.\Well?\What could I do? response:	It'd depend on whether I liked the person back or not.
context: I'm home.\Hey, Hina-chan,\what would you do if your best friend got confessed to by someone you like?\You got confessed to?\Jeez, stop it.\Well?\What could I do?\It'd depend on whether I liked the person back or not. response:	What else could I say?
context: Hey, Hina-chan,\what would you do if your best friend got confessed to by someone you like?\You got confessed to?\Jeez, stop it.\Well?\What could I do?\It'd depend on whether I liked the person back or not.\What else could I say? response:	That's my Hina-chan.
context: what would you do if your best friend got confessed to by someone you like?\You got confessed to?\Jeez, stop it.\Well?\What could I do?\It'd depend on whether I liked the person back or not.\What else could I say?\That's my Hina-chan. response:	Stop it!
context: You got confessed to?\Jeez, stop it.\Well?\What could I do?\It'd depend on whether I liked the person back or not.\What else could I say?\That's my Hina-chan.\Stop it! response:	So that guy from the other day
context: Jeez, stop it.\Well?\What could I do?\It'd depend on whether I liked the person back or not.\What else could I say?\That's my Hina-chan.\Stop it!\So that guy from the other day response:	did he go hiking with you?
context: Well?\What could I do?\It'd depend on whether I liked the person back or not.\What else could I say?\That's my Hina-chan.\Stop it!\So that guy from the other day\did he go hiking with you? response:	No, he didn't!
context: What could I do?\It'd depend on whether I liked the person back or not.\What else could I say?\That's my Hina-chan.\Stop it!\So that guy from the other day\did he go hiking with you?\No, he didn't! response:	Kakeru is a weird name.
context: It'd depend on whether I liked the person back or not.\What else could I say?\That's my Hina-chan.\Stop it!\So that guy from the other day\did he go hiking with you?\No, he didn't!\Kakeru is a weird name. response:	Yanaginice name.
context: What else could I say?\That's my Hina-chan.\Stop it!\So that guy from the other day\did he go hiking with you?\No, he didn't!\Kakeru is a weird name.\Yanaginice name. response:	Kind of awesome, isn't it?
context: That's my Hina-chan.\Stop it!\So that guy from the other day\did he go hiking with you?\No, he didn't!\Kakeru is a weird name.\Yanaginice name.\Kind of awesome, isn't it? response:	Really?
context: Stop it!\So that guy from the other day\did he go hiking with you?\No, he didn't!\Kakeru is a weird name.\Yanaginice name.\Kind of awesome, isn't it?\Really? response:	Do you like him?
context: So that guy from the other day\did he go hiking with you?\No, he didn't!\Kakeru is a weird name.\Yanaginice name.\Kind of awesome, isn't it?\Really?\Do you like him? response:	Episode 4: Steep Road
context: did he go hiking with you?\No, he didn't!\Kakeru is a weird name.\Yanaginice name.\Kind of awesome, isn't it?\Really?\Do you like him?\Episode 4: Steep Road response:	You're showing off a bit, aren't you?
