context: So, everything that makes me whole response:	I'll now give to you
context: The name signifies that we are always on the singing side\that we are the survivors.\You clearly don't understand your position here.\Which one of us is about to be selected out?\Where's the genetic weapon your people stole?\Confess!\Well, that's the first I've heard about that.\I'll give you a count of ten to tell us. response:	Then we'll shoot you full of holes.
context: that we are the survivors.\You clearly don't understand your position here.\Which one of us is about to be selected out?\Where's the genetic weapon your people stole?\Confess!\Well, that's the first I've heard about that.\I'll give you a count of ten to tell us.\Then we'll shoot you full of holes. response:	Right on schedule.
context: You clearly don't understand your position here.\Which one of us is about to be selected out?\Where's the genetic weapon your people stole?\Confess!\Well, that's the first I've heard about that.\I'll give you a count of ten to tell us.\Then we'll shoot you full of holes.\Right on schedule. response:	Wow... it's all going right according to his plan.
context: Which one of us is about to be selected out?\Where's the genetic weapon your people stole?\Confess!\Well, that's the first I've heard about that.\I'll give you a count of ten to tell us.\Then we'll shoot you full of holes.\Right on schedule.\Wow... it's all going right according to his plan. response:	And if I mess up here, everyone will...
context: Where's the genetic weapon your people stole?\Confess!\Well, that's the first I've heard about that.\I'll give you a count of ten to tell us.\Then we'll shoot you full of holes.\Right on schedule.\Wow... it's all going right according to his plan.\And if I mess up here, everyone will... response:	Believe.
context: Confess!\Well, that's the first I've heard about that.\I'll give you a count of ten to tell us.\Then we'll shoot you full of holes.\Right on schedule.\Wow... it's all going right according to his plan.\And if I mess up here, everyone will...\Believe. response:	You can do it. For sure.
context: Well, that's the first I've heard about that.\I'll give you a count of ten to tell us.\Then we'll shoot you full of holes.\Right on schedule.\Wow... it's all going right according to his plan.\And if I mess up here, everyone will...\Believe.\You can do it. For sure. response:	Because I... belong to you now.
context: I'll give you a count of ten to tell us.\Then we'll shoot you full of holes.\Right on schedule.\Wow... it's all going right according to his plan.\And if I mess up here, everyone will...\Believe.\You can do it. For sure.\Because I... belong to you now. response:	Ten!
context: Then we'll shoot you full of holes.\Right on schedule.\Wow... it's all going right according to his plan.\And if I mess up here, everyone will...\Believe.\You can do it. For sure.\Because I... belong to you now.\Ten! response:	Nine!
context: Right on schedule.\Wow... it's all going right according to his plan.\And if I mess up here, everyone will...\Believe.\You can do it. For sure.\Because I... belong to you now.\Ten!\Nine! response:	Eight!
context: Wow... it's all going right according to his plan.\And if I mess up here, everyone will...\Believe.\You can do it. For sure.\Because I... belong to you now.\Ten!\Nine!\Eight! response:	Seven!
context: And if I mess up here, everyone will...\Believe.\You can do it. For sure.\Because I... belong to you now.\Ten!\Nine!\Eight!\Seven! response:	Six!
context: Believe.\You can do it. For sure.\Because I... belong to you now.\Ten!\Nine!\Eight!\Seven!\Six! response:	Five!
context: You can do it. For sure.\Because I... belong to you now.\Ten!\Nine!\Eight!\Seven!\Six!\Five! response:	Four!
context: Because I... belong to you now.\Ten!\Nine!\Eight!\Seven!\Six!\Five!\Four! response:	Three!
context: Ten!\Nine!\Eight!\Seven!\Six!\Five!\Four!\Three! response:	Two!
context: Nine!\Eight!\Seven!\Six!\Five!\Four!\Three!\Two! response:	Go, Kaleidoscope!
context: Eight!\Seven!\Six!\Five!\Four!\Three!\Two!\Go, Kaleidoscope! response:	One!
context: Seven!\Six!\Five!\Four!\Three!\Two!\Go, Kaleidoscope!\One! response:	Time's up!
context: Six!\Five!\Four!\Three!\Two!\Go, Kaleidoscope!\One!\Time's up! response:	What?!
context: Five!\Four!\Three!\Two!\Go, Kaleidoscope!\One!\Time's up!\What?! response:	Blooming wildflower
context: Four!\Three!\Two!\Go, Kaleidoscope!\One!\Time's up!\What?!\Blooming wildflower response:	I beg you, please tell me
context: Three!\Two!\Go, Kaleidoscope!\One!\Time's up!\What?!\Blooming wildflower\I beg you, please tell me response:	Why do people fight and hurt each other?
context: Two!\Go, Kaleidoscope!\One!\Time's up!\What?!\Blooming wildflower\I beg you, please tell me\Why do people fight and hurt each other? response:	Good work.
context: Go, Kaleidoscope!\One!\Time's up!\What?!\Blooming wildflower\I beg you, please tell me\Why do people fight and hurt each other?\Good work. response:	You overcame one of your own limits today.
context: One!\Time's up!\What?!\Blooming wildflower\I beg you, please tell me\Why do people fight and hurt each other?\Good work.\You overcame one of your own limits today. response:	That's something you can be proud of.
context: Time's up!\What?!\Blooming wildflower\I beg you, please tell me\Why do people fight and hurt each other?\Good work.\You overcame one of your own limits today.\That's something you can be proud of. response:	Come with us, Shu.
context: What?!\Blooming wildflower\I beg you, please tell me\Why do people fight and hurt each other?\Good work.\You overcame one of your own limits today.\That's something you can be proud of.\Come with us, Shu. response:	I know there's something you can do.
context: Blooming wildflower\I beg you, please tell me\Why do people fight and hurt each other?\Good work.\You overcame one of your own limits today.\That's something you can be proud of.\Come with us, Shu.\I know there's something you can do. response:	I wonder...
context: I beg you, please tell me\Why do people fight and hurt each other?\Good work.\You overcame one of your own limits today.\That's something you can be proud of.\Come with us, Shu.\I know there's something you can do.\I wonder... response:	What would have happened if I'd taken his hand that day?
context: Why do people fight and hurt each other?\Good work.\You overcame one of your own limits today.\That's something you can be proud of.\Come with us, Shu.\I know there's something you can do.\I wonder...\What would have happened if I'd taken his hand that day? response:	But I made the right choice.
context: Good work.\You overcame one of your own limits today.\That's something you can be proud of.\Come with us, Shu.\I know there's something you can do.\I wonder...\What would have happened if I'd taken his hand that day?\But I made the right choice. response:	That had to have been a once-in-a-lifetime adventure.
context: You overcame one of your own limits today.\That's something you can be proud of.\Come with us, Shu.\I know there's something you can do.\I wonder...\What would have happened if I'd taken his hand that day?\But I made the right choice.\That had to have been a once-in-a-lifetime adventure. response:	Today, my everyday life begins once more.
context: That's something you can be proud of.\Come with us, Shu.\I know there's something you can do.\I wonder...\What would have happened if I'd taken his hand that day?\But I made the right choice.\That had to have been a once-in-a-lifetime adventure.\Today, my everyday life begins once more. response:	Okay, one last thing.
context: Come with us, Shu.\I know there's something you can do.\I wonder...\What would have happened if I'd taken his hand that day?\But I made the right choice.\That had to have been a once-in-a-lifetime adventure.\Today, my everyday life begins once more.\Okay, one last thing. response:	Our class has a new transfer student.
context: I know there's something you can do.\I wonder...\What would have happened if I'd taken his hand that day?\But I made the right choice.\That had to have been a once-in-a-lifetime adventure.\Today, my everyday life begins once more.\Okay, one last thing.\Our class has a new transfer student. response:	Come on in!
context: I wonder...\What would have happened if I'd taken his hand that day?\But I made the right choice.\That had to have been a once-in-a-lifetime adventure.\Today, my everyday life begins once more.\Okay, one last thing.\Our class has a new transfer student.\Come on in! response:	A girl!
context: What would have happened if I'd taken his hand that day?\But I made the right choice.\That had to have been a once-in-a-lifetime adventure.\Today, my everyday life begins once more.\Okay, one last thing.\Our class has a new transfer student.\Come on in!\A girl! response:	Hey, she's cute!
context: But I made the right choice.\That had to have been a once-in-a-lifetime adventure.\Today, my everyday life begins once more.\Okay, one last thing.\Our class has a new transfer student.\Come on in!\A girl!\Hey, she's cute! response:	This is Yuzuriha Inori.
context: That had to have been a once-in-a-lifetime adventure.\Today, my everyday life begins once more.\Okay, one last thing.\Our class has a new transfer student.\Come on in!\A girl!\Hey, she's cute!\This is Yuzuriha Inori. response:	This is... a joke, right?
context: Today, my everyday life begins once more.\Okay, one last thing.\Our class has a new transfer student.\Come on in!\A girl!\Hey, she's cute!\This is Yuzuriha Inori.\This is... a joke, right? response:	It's the real thing.
context: Okay, one last thing.\Our class has a new transfer student.\Come on in!\A girl!\Hey, she's cute!\This is Yuzuriha Inori.\This is... a joke, right?\It's the real thing. response:	These days you love me no more
context: Our class has a new transfer student.\Come on in!\A girl!\Hey, she's cute!\This is Yuzuriha Inori.\This is... a joke, right?\It's the real thing.\These days you love me no more response:	nor am I still treasured by you
context: Come on in!\A girl!\Hey, she's cute!\This is Yuzuriha Inori.\This is... a joke, right?\It's the real thing.\These days you love me no more\nor am I still treasured by you response:	Now I am all alone
context: A girl!\Hey, she's cute!\This is Yuzuriha Inori.\This is... a joke, right?\It's the real thing.\These days you love me no more\nor am I still treasured by you\Now I am all alone response:	What did you tell me when we parted?
context: Hey, she's cute!\This is Yuzuriha Inori.\This is... a joke, right?\It's the real thing.\These days you love me no more\nor am I still treasured by you\Now I am all alone\What did you tell me when we parted? response:	The words hung in midair and never reached me
context: This is Yuzuriha Inori.\This is... a joke, right?\It's the real thing.\These days you love me no more\nor am I still treasured by you\Now I am all alone\What did you tell me when we parted?\The words hung in midair and never reached me response:	I know my dreams and wishes are illusory
context: This is... a joke, right?\It's the real thing.\These days you love me no more\nor am I still treasured by you\Now I am all alone\What did you tell me when we parted?\The words hung in midair and never reached me\I know my dreams and wishes are illusory response:	and yet I cannot give up on them
context: It's the real thing.\These days you love me no more\nor am I still treasured by you\Now I am all alone\What did you tell me when we parted?\The words hung in midair and never reached me\I know my dreams and wishes are illusory\and yet I cannot give up on them response:	You said, Don't let go, hold onto my hand
context: These days you love me no more\nor am I still treasured by you\Now I am all alone\What did you tell me when we parted?\The words hung in midair and never reached me\I know my dreams and wishes are illusory\and yet I cannot give up on them\You said, Don't let go, hold onto my hand response:	and, We will always be together
context: nor am I still treasured by you\Now I am all alone\What did you tell me when we parted?\The words hung in midair and never reached me\I know my dreams and wishes are illusory\and yet I cannot give up on them\You said, Don't let go, hold onto my hand\and, We will always be together response:	Your hands as I held them were warm
context: Now I am all alone\What did you tell me when we parted?\The words hung in midair and never reached me\I know my dreams and wishes are illusory\and yet I cannot give up on them\You said, Don't let go, hold onto my hand\and, We will always be together\Your hands as I held them were warm response:	and tender
context: What did you tell me when we parted?\The words hung in midair and never reached me\I know my dreams and wishes are illusory\and yet I cannot give up on them\You said, Don't let go, hold onto my hand\and, We will always be together\Your hands as I held them were warm\and tender response:	These days you love me no more
context: The words hung in midair and never reached me\I know my dreams and wishes are illusory\and yet I cannot give up on them\You said, Don't let go, hold onto my hand\and, We will always be together\Your hands as I held them were warm\and tender\These days you love me no more response:	nor am I still treasured by you
context: I know my dreams and wishes are illusory\and yet I cannot give up on them\You said, Don't let go, hold onto my hand\and, We will always be together\Your hands as I held them were warm\and tender\These days you love me no more\nor am I still treasured by you response:	Now I am all alone
context: and yet I cannot give up on them\You said, Don't let go, hold onto my hand\and, We will always be together\Your hands as I held them were warm\and tender\These days you love me no more\nor am I still treasured by you\Now I am all alone response:	What did you tell me when we parted?
context: You said, Don't let go, hold onto my hand\and, We will always be together\Your hands as I held them were warm\and tender\These days you love me no more\nor am I still treasured by you\Now I am all alone\What did you tell me when we parted? response:	The words hung in midair and never reached me
context: and, We will always be together\Your hands as I held them were warm\and tender\These days you love me no more\nor am I still treasured by you\Now I am all alone\What did you tell me when we parted?\The words hung in midair and never reached me response:	I know my dreams and wishes are illusory
context: Your hands as I held them were warm\and tender\These days you love me no more\nor am I still treasured by you\Now I am all alone\What did you tell me when we parted?\The words hung in midair and never reached me\I know my dreams and wishes are illusory response:	and yet I cannot give up on them
context: and tender\These days you love me no more\nor am I still treasured by you\Now I am all alone\What did you tell me when we parted?\The words hung in midair and never reached me\I know my dreams and wishes are illusory\and yet I cannot give up on them response:	You said, Don't let go, hold onto my hand
context: These days you love me no more\nor am I still treasured by you\Now I am all alone\What did you tell me when we parted?\The words hung in midair and never reached me\I know my dreams and wishes are illusory\and yet I cannot give up on them\You said, Don't let go, hold onto my hand response:	and, We will always be together
context: nor am I still treasured by you\Now I am all alone\What did you tell me when we parted?\The words hung in midair and never reached me\I know my dreams and wishes are illusory\and yet I cannot give up on them\You said, Don't let go, hold onto my hand\and, We will always be together response:	Your hands as I held them were warm
context: Now I am all alone\What did you tell me when we parted?\The words hung in midair and never reached me\I know my dreams and wishes are illusory\and yet I cannot give up on them\You said, Don't let go, hold onto my hand\and, We will always be together\Your hands as I held them were warm response:	and tender
