context: I'm Aono Tsukune, 15 years old. response:	From this summer on,
context: What's with her?\She's like a totally different person!\She's not Akayashi Moka!\Moka-san...\Once this rosary gets taken off, I'll turn into a terrifying, true vampire.\Could this be a true vampire...?\It's just like the rumours say...\Those red eyes, response:	The silver hair,
context: She's like a totally different person!\She's not Akayashi Moka!\Moka-san...\Once this rosary gets taken off, I'll turn into a terrifying, true vampire.\Could this be a true vampire...?\It's just like the rumours say...\Those red eyes,\The silver hair, response:	A huge demonic aura!
context: She's not Akayashi Moka!\Moka-san...\Once this rosary gets taken off, I'll turn into a terrifying, true vampire.\Could this be a true vampire...?\It's just like the rumours say...\Those red eyes,\The silver hair,\A huge demonic aura! response:	So she's an S-Class Monster, a vampire?!
context: Moka-san...\Once this rosary gets taken off, I'll turn into a terrifying, true vampire.\Could this be a true vampire...?\It's just like the rumours say...\Those red eyes,\The silver hair,\A huge demonic aura!\So she's an S-Class Monster, a vampire?! response:	You are the one who awakened me from my slumber, huh?
context: Once this rosary gets taken off, I'll turn into a terrifying, true vampire.\Could this be a true vampire...?\It's just like the rumours say...\Those red eyes,\The silver hair,\A huge demonic aura!\So she's an S-Class Monster, a vampire?!\You are the one who awakened me from my slumber, huh? response:	What's wrong with my body...
context: Could this be a true vampire...?\It's just like the rumours say...\Those red eyes,\The silver hair,\A huge demonic aura!\So she's an S-Class Monster, a vampire?!\You are the one who awakened me from my slumber, huh?\What's wrong with my body... response:	It couldn't be... I'm trembling just from looking at her!
context: It's just like the rumours say...\Those red eyes,\The silver hair,\A huge demonic aura!\So she's an S-Class Monster, a vampire?!\You are the one who awakened me from my slumber, huh?\What's wrong with my body...\It couldn't be... I'm trembling just from looking at her! response:	No way!
context: Those red eyes,\The silver hair,\A huge demonic aura!\So she's an S-Class Monster, a vampire?!\You are the one who awakened me from my slumber, huh?\What's wrong with my body...\It couldn't be... I'm trembling just from looking at her!\No way! response:	Go for it!
context: The silver hair,\A huge demonic aura!\So she's an S-Class Monster, a vampire?!\You are the one who awakened me from my slumber, huh?\What's wrong with my body...\It couldn't be... I'm trembling just from looking at her!\No way!\Go for it! response:	Who cares if it's a vampire!
context: A huge demonic aura!\So she's an S-Class Monster, a vampire?!\You are the one who awakened me from my slumber, huh?\What's wrong with my body...\It couldn't be... I'm trembling just from looking at her!\No way!\Go for it!\Who cares if it's a vampire! response:	You should realise your own place.
context: So she's an S-Class Monster, a vampire?!\You are the one who awakened me from my slumber, huh?\What's wrong with my body...\It couldn't be... I'm trembling just from looking at her!\No way!\Go for it!\Who cares if it's a vampire!\You should realise your own place. response:	I'll be aware of it from now on.
context: You are the one who awakened me from my slumber, huh?\What's wrong with my body...\It couldn't be... I'm trembling just from looking at her!\No way!\Go for it!\Who cares if it's a vampire!\You should realise your own place.\I'll be aware of it from now on. response:	She's completely different from the Moka-san a moment ago...
context: What's wrong with my body...\It couldn't be... I'm trembling just from looking at her!\No way!\Go for it!\Who cares if it's a vampire!\You should realise your own place.\I'll be aware of it from now on.\She's completely different from the Moka-san a moment ago... response:	Overwhelmingly strong,
context: It couldn't be... I'm trembling just from looking at her!\No way!\Go for it!\Who cares if it's a vampire!\You should realise your own place.\I'll be aware of it from now on.\She's completely different from the Moka-san a moment ago...\Overwhelmingly strong, response:	And also...
context: No way!\Go for it!\Who cares if it's a vampire!\You should realise your own place.\I'll be aware of it from now on.\She's completely different from the Moka-san a moment ago...\Overwhelmingly strong,\And also... response:	Which is the real Moka-san?
context: Go for it!\Who cares if it's a vampire!\You should realise your own place.\I'll be aware of it from now on.\She's completely different from the Moka-san a moment ago...\Overwhelmingly strong,\And also...\Which is the real Moka-san? response:	This scent...
context: Who cares if it's a vampire!\You should realise your own place.\I'll be aware of it from now on.\She's completely different from the Moka-san a moment ago...\Overwhelmingly strong,\And also...\Which is the real Moka-san?\This scent... response:	is the same.
context: You should realise your own place.\I'll be aware of it from now on.\She's completely different from the Moka-san a moment ago...\Overwhelmingly strong,\And also...\Which is the real Moka-san?\This scent...\is the same. response:	From Moka-san back then...
context: I'll be aware of it from now on.\She's completely different from the Moka-san a moment ago...\Overwhelmingly strong,\And also...\Which is the real Moka-san?\This scent...\is the same.\From Moka-san back then... response:	Thank goodness you're awake, Tsukune!
context: She's completely different from the Moka-san a moment ago...\Overwhelmingly strong,\And also...\Which is the real Moka-san?\This scent...\is the same.\From Moka-san back then...\Thank goodness you're awake, Tsukune! response:	Are you alright?
context: Overwhelmingly strong,\And also...\Which is the real Moka-san?\This scent...\is the same.\From Moka-san back then...\Thank goodness you're awake, Tsukune!\Are you alright? response:	Does it hurt anywhere?
context: And also...\Which is the real Moka-san?\This scent...\is the same.\From Moka-san back then...\Thank goodness you're awake, Tsukune!\Are you alright?\Does it hurt anywhere? response:	Was that a dream just now?
context: Which is the real Moka-san?\This scent...\is the same.\From Moka-san back then...\Thank goodness you're awake, Tsukune!\Are you alright?\Does it hurt anywhere?\Was that a dream just now? response:	This bus station,
context: This scent...\is the same.\From Moka-san back then...\Thank goodness you're awake, Tsukune!\Are you alright?\Does it hurt anywhere?\Was that a dream just now?\This bus station, response:	isn't based on time, but day...
context: is the same.\From Moka-san back then...\Thank goodness you're awake, Tsukune!\Are you alright?\Does it hurt anywhere?\Was that a dream just now?\This bus station,\isn't based on time, but day... response:	Does this bus only come once a month!?
context: From Moka-san back then...\Thank goodness you're awake, Tsukune!\Are you alright?\Does it hurt anywhere?\Was that a dream just now?\This bus station,\isn't based on time, but day...\Does this bus only come once a month!? response:	Yep. You didn't know?
context: Thank goodness you're awake, Tsukune!\Are you alright?\Does it hurt anywhere?\Was that a dream just now?\This bus station,\isn't based on time, but day...\Does this bus only come once a month!?\Yep. You didn't know? response:	Oh no, you're bleeding!
context: Are you alright?\Does it hurt anywhere?\Was that a dream just now?\This bus station,\isn't based on time, but day...\Does this bus only come once a month!?\Yep. You didn't know?\Oh no, you're bleeding! response:	I have to administer first aid immediately!
context: Does it hurt anywhere?\Was that a dream just now?\This bus station,\isn't based on time, but day...\Does this bus only come once a month!?\Yep. You didn't know?\Oh no, you're bleeding!\I have to administer first aid immediately! response:	Dear Mom, Dad and also Kyou-chan...
context: Was that a dream just now?\This bus station,\isn't based on time, but day...\Does this bus only come once a month!?\Yep. You didn't know?\Oh no, you're bleeding!\I have to administer first aid immediately!\Dear Mom, Dad and also Kyou-chan... response:	Even though this can't be mailed,
context: This bus station,\isn't based on time, but day...\Does this bus only come once a month!?\Yep. You didn't know?\Oh no, you're bleeding!\I have to administer first aid immediately!\Dear Mom, Dad and also Kyou-chan...\Even though this can't be mailed, response:	I'm writing this as a memento.
context: isn't based on time, but day...\Does this bus only come once a month!?\Yep. You didn't know?\Oh no, you're bleeding!\I have to administer first aid immediately!\Dear Mom, Dad and also Kyou-chan...\Even though this can't be mailed,\I'm writing this as a memento. response:	This Youkai Academy that I'm attending is a little strange,
context: Does this bus only come once a month!?\Yep. You didn't know?\Oh no, you're bleeding!\I have to administer first aid immediately!\Dear Mom, Dad and also Kyou-chan...\Even though this can't be mailed,\I'm writing this as a memento.\This Youkai Academy that I'm attending is a little strange, response:	So much so that I wanted to come back immediately.
context: Yep. You didn't know?\Oh no, you're bleeding!\I have to administer first aid immediately!\Dear Mom, Dad and also Kyou-chan...\Even though this can't be mailed,\I'm writing this as a memento.\This Youkai Academy that I'm attending is a little strange,\So much so that I wanted to come back immediately. response:	However, I've decided to continue attending for a while,
context: Oh no, you're bleeding!\I have to administer first aid immediately!\Dear Mom, Dad and also Kyou-chan...\Even though this can't be mailed,\I'm writing this as a memento.\This Youkai Academy that I'm attending is a little strange,\So much so that I wanted to come back immediately.\However, I've decided to continue attending for a while, response:	as I found a new friend.
context: I have to administer first aid immediately!\Dear Mom, Dad and also Kyou-chan...\Even though this can't be mailed,\I'm writing this as a memento.\This Youkai Academy that I'm attending is a little strange,\So much so that I wanted to come back immediately.\However, I've decided to continue attending for a while,\as I found a new friend. response:	Her name is called...
context: Dear Mom, Dad and also Kyou-chan...\Even though this can't be mailed,\I'm writing this as a memento.\This Youkai Academy that I'm attending is a little strange,\So much so that I wanted to come back immediately.\However, I've decided to continue attending for a while,\as I found a new friend.\Her name is called... response:	I really can't resist this scent...
context: Even though this can't be mailed,\I'm writing this as a memento.\This Youkai Academy that I'm attending is a little strange,\So much so that I wanted to come back immediately.\However, I've decided to continue attending for a while,\as I found a new friend.\Her name is called...\I really can't resist this scent... response:	Moka-san?
context: I'm writing this as a memento.\This Youkai Academy that I'm attending is a little strange,\So much so that I wanted to come back immediately.\However, I've decided to continue attending for a while,\as I found a new friend.\Her name is called...\I really can't resist this scent...\Moka-san? response:	Forgive me, Tsukune!
context: This Youkai Academy that I'm attending is a little strange,\So much so that I wanted to come back immediately.\However, I've decided to continue attending for a while,\as I found a new friend.\Her name is called...\I really can't resist this scent...\Moka-san?\Forgive me, Tsukune! response:	Could I have entered a really dangerous academy?
context: So much so that I wanted to come back immediately.\However, I've decided to continue attending for a while,\as I found a new friend.\Her name is called...\I really can't resist this scent...\Moka-san?\Forgive me, Tsukune!\Could I have entered a really dangerous academy? response:	You'll be fine, Tsukune!
context: However, I've decided to continue attending for a while,\as I found a new friend.\Her name is called...\I really can't resist this scent...\Moka-san?\Forgive me, Tsukune!\Could I have entered a really dangerous academy?\You'll be fine, Tsukune! response:	Before that, let's kiss!
context: as I found a new friend.\Her name is called...\I really can't resist this scent...\Moka-san?\Forgive me, Tsukune!\Could I have entered a really dangerous academy?\You'll be fine, Tsukune!\Before that, let's kiss! response:	I'll be stronger next episode
context: Her name is called...\I really can't resist this scent...\Moka-san?\Forgive me, Tsukune!\Could I have entered a really dangerous academy?\You'll be fine, Tsukune!\Before that, let's kiss!\I'll be stronger next episode response:	Not to mention there's a succubus!
context: I really can't resist this scent...\Moka-san?\Forgive me, Tsukune!\Could I have entered a really dangerous academy?\You'll be fine, Tsukune!\Before that, let's kiss!\I'll be stronger next episode\Not to mention there's a succubus! response:	Eh, what's a succubus?
context: Moka-san?\Forgive me, Tsukune!\Could I have entered a really dangerous academy?\You'll be fine, Tsukune!\Before that, let's kiss!\I'll be stronger next episode\Not to mention there's a succubus!\Eh, what's a succubus? response:	Next, A Succubus and A Vampire
context: Forgive me, Tsukune!\Could I have entered a really dangerous academy?\You'll be fine, Tsukune!\Before that, let's kiss!\I'll be stronger next episode\Not to mention there's a succubus!\Eh, what's a succubus?\Next, A Succubus and A Vampire response:	and a kappuchu for you!!
