context: Laxus... response:	Laxus has come for us!
context: Who you callin' a marshmallow?!\Card Magic, Summoned Lightning!\H-He's...\Are you another one that's fallen for my manliness?\I don't have a particular type of girl I like.\I take all comers.\Huh?\And my attack isn't working. response:	Change Mr. Cursey 2 to electric power!
context: Card Magic, Summoned Lightning!\H-He's...\Are you another one that's fallen for my manliness?\I don't have a particular type of girl I like.\I take all comers.\Huh?\And my attack isn't working.\Change Mr. Cursey 2 to electric power! response:	Self-Strengthen, lightning!
context: H-He's...\Are you another one that's fallen for my manliness?\I don't have a particular type of girl I like.\I take all comers.\Huh?\And my attack isn't working.\Change Mr. Cursey 2 to electric power!\Self-Strengthen, lightning! response:	You're a real pain, aren't you?
context: Are you another one that's fallen for my manliness?\I don't have a particular type of girl I like.\I take all comers.\Huh?\And my attack isn't working.\Change Mr. Cursey 2 to electric power!\Self-Strengthen, lightning!\You're a real pain, aren't you? response:	Not fast enough!
context: I don't have a particular type of girl I like.\I take all comers.\Huh?\And my attack isn't working.\Change Mr. Cursey 2 to electric power!\Self-Strengthen, lightning!\You're a real pain, aren't you?\Not fast enough! response:	With my Self-Strengthening, I can dodge that easily!
context: I take all comers.\Huh?\And my attack isn't working.\Change Mr. Cursey 2 to electric power!\Self-Strengthen, lightning!\You're a real pain, aren't you?\Not fast enough!\With my Self-Strengthening, I can dodge that easily! response:	Prayer's Fountain!
context: Huh?\And my attack isn't working.\Change Mr. Cursey 2 to electric power!\Self-Strengthen, lightning!\You're a real pain, aren't you?\Not fast enough!\With my Self-Strengthening, I can dodge that easily!\Prayer's Fountain! response:	Cotton is sucking up the water, and getting heavy!
context: And my attack isn't working.\Change Mr. Cursey 2 to electric power!\Self-Strengthen, lightning!\You're a real pain, aren't you?\Not fast enough!\With my Self-Strengthening, I can dodge that easily!\Prayer's Fountain!\Cotton is sucking up the water, and getting heavy! response:	Here comes the next one!
context: Change Mr. Cursey 2 to electric power!\Self-Strengthen, lightning!\You're a real pain, aren't you?\Not fast enough!\With my Self-Strengthening, I can dodge that easily!\Prayer's Fountain!\Cotton is sucking up the water, and getting heavy!\Here comes the next one! response:	Ice Lance!
context: Self-Strengthen, lightning!\You're a real pain, aren't you?\Not fast enough!\With my Self-Strengthening, I can dodge that easily!\Prayer's Fountain!\Cotton is sucking up the water, and getting heavy!\Here comes the next one!\Ice Lance! response:	Self-Strengthen, heat!
context: You're a real pain, aren't you?\Not fast enough!\With my Self-Strengthening, I can dodge that easily!\Prayer's Fountain!\Cotton is sucking up the water, and getting heavy!\Here comes the next one!\Ice Lance!\Self-Strengthen, heat! response:	What an exchange... Cana is really something!
context: Not fast enough!\With my Self-Strengthening, I can dodge that easily!\Prayer's Fountain!\Cotton is sucking up the water, and getting heavy!\Here comes the next one!\Ice Lance!\Self-Strengthen, heat!\What an exchange... Cana is really something! response:	So this is what it takes to be a candidate in the S Class Wizard Exam?
context: With my Self-Strengthening, I can dodge that easily!\Prayer's Fountain!\Cotton is sucking up the water, and getting heavy!\Here comes the next one!\Ice Lance!\Self-Strengthen, heat!\What an exchange... Cana is really something!\So this is what it takes to be a candidate in the S Class Wizard Exam? response:	I'm at a loss when I have two of you approaching me so fervently...
context: Prayer's Fountain!\Cotton is sucking up the water, and getting heavy!\Here comes the next one!\Ice Lance!\Self-Strengthen, heat!\What an exchange... Cana is really something!\So this is what it takes to be a candidate in the S Class Wizard Exam?\I'm at a loss when I have two of you approaching me so fervently... response:	I guess it's my time to be popular, yes?
context: Cotton is sucking up the water, and getting heavy!\Here comes the next one!\Ice Lance!\Self-Strengthen, heat!\What an exchange... Cana is really something!\So this is what it takes to be a candidate in the S Class Wizard Exam?\I'm at a loss when I have two of you approaching me so fervently...\I guess it's my time to be popular, yes? response:	Honestly, this might be a problem.
context: Here comes the next one!\Ice Lance!\Self-Strengthen, heat!\What an exchange... Cana is really something!\So this is what it takes to be a candidate in the S Class Wizard Exam?\I'm at a loss when I have two of you approaching me so fervently...\I guess it's my time to be popular, yes?\Honestly, this might be a problem. response:	You've been doing this shtick on purpose, haven't you?
context: Ice Lance!\Self-Strengthen, heat!\What an exchange... Cana is really something!\So this is what it takes to be a candidate in the S Class Wizard Exam?\I'm at a loss when I have two of you approaching me so fervently...\I guess it's my time to be popular, yes?\Honestly, this might be a problem.\You've been doing this shtick on purpose, haven't you? response:	Sorry to make you wait, everyone!
context: Self-Strengthen, heat!\What an exchange... Cana is really something!\So this is what it takes to be a candidate in the S Class Wizard Exam?\I'm at a loss when I have two of you approaching me so fervently...\I guess it's my time to be popular, yes?\Honestly, this might be a problem.\You've been doing this shtick on purpose, haven't you?\Sorry to make you wait, everyone! response:	Levy!
context: What an exchange... Cana is really something!\So this is what it takes to be a candidate in the S Class Wizard Exam?\I'm at a loss when I have two of you approaching me so fervently...\I guess it's my time to be popular, yes?\Honestly, this might be a problem.\You've been doing this shtick on purpose, haven't you?\Sorry to make you wait, everyone!\Levy! response:	With the three of us, we can handle this somehow!
context: So this is what it takes to be a candidate in the S Class Wizard Exam?\I'm at a loss when I have two of you approaching me so fervently...\I guess it's my time to be popular, yes?\Honestly, this might be a problem.\You've been doing this shtick on purpose, haven't you?\Sorry to make you wait, everyone!\Levy!\With the three of us, we can handle this somehow! response:	The three of you can what?
context: I'm at a loss when I have two of you approaching me so fervently...\I guess it's my time to be popular, yes?\Honestly, this might be a problem.\You've been doing this shtick on purpose, haven't you?\Sorry to make you wait, everyone!\Levy!\With the three of us, we can handle this somehow!\The three of you can what? response:	What's this?
context: I guess it's my time to be popular, yes?\Honestly, this might be a problem.\You've been doing this shtick on purpose, haven't you?\Sorry to make you wait, everyone!\Levy!\With the three of us, we can handle this somehow!\The three of you can what?\What's this? response:	You're going to fight me three on one?
context: Honestly, this might be a problem.\You've been doing this shtick on purpose, haven't you?\Sorry to make you wait, everyone!\Levy!\With the three of us, we can handle this somehow!\The three of you can what?\What's this?\You're going to fight me three on one? response:	Being confessed to by three girls at the same time!
context: You've been doing this shtick on purpose, haven't you?\Sorry to make you wait, everyone!\Levy!\With the three of us, we can handle this somehow!\The three of you can what?\What's this?\You're going to fight me three on one?\Being confessed to by three girls at the same time! response:	Seriously, how popular am I all of a sudden?
context: Sorry to make you wait, everyone!\Levy!\With the three of us, we can handle this somehow!\The three of you can what?\What's this?\You're going to fight me three on one?\Being confessed to by three girls at the same time!\Seriously, how popular am I all of a sudden? response:	But! I am awkward!
context: Levy!\With the three of us, we can handle this somehow!\The three of you can what?\What's this?\You're going to fight me three on one?\Being confessed to by three girls at the same time!\Seriously, how popular am I all of a sudden?\But! I am awkward! response:	And I'm a manly man, as you can see!
context: With the three of us, we can handle this somehow!\The three of you can what?\What's this?\You're going to fight me three on one?\Being confessed to by three girls at the same time!\Seriously, how popular am I all of a sudden?\But! I am awkward!\And I'm a manly man, as you can see! response:	A serious relationship should be one on one!
context: The three of you can what?\What's this?\You're going to fight me three on one?\Being confessed to by three girls at the same time!\Seriously, how popular am I all of a sudden?\But! I am awkward!\And I'm a manly man, as you can see!\A serious relationship should be one on one! response:	So which one of you is it going to be? Speak up!
context: What's this?\You're going to fight me three on one?\Being confessed to by three girls at the same time!\Seriously, how popular am I all of a sudden?\But! I am awkward!\And I'm a manly man, as you can see!\A serious relationship should be one on one!\So which one of you is it going to be? Speak up! response:	No thanks.
context: You're going to fight me three on one?\Being confessed to by three girls at the same time!\Seriously, how popular am I all of a sudden?\But! I am awkward!\And I'm a manly man, as you can see!\A serious relationship should be one on one!\So which one of you is it going to be? Speak up!\No thanks. response:	I'm not sad at all!
context: Being confessed to by three girls at the same time!\Seriously, how popular am I all of a sudden?\But! I am awkward!\And I'm a manly man, as you can see!\A serious relationship should be one on one!\So which one of you is it going to be? Speak up!\No thanks.\I'm not sad at all! response:	I knew you were going to say that!
context: Seriously, how popular am I all of a sudden?\But! I am awkward!\And I'm a manly man, as you can see!\A serious relationship should be one on one!\So which one of you is it going to be? Speak up!\No thanks.\I'm not sad at all!\I knew you were going to say that! response:	I totally did!
context: But! I am awkward!\And I'm a manly man, as you can see!\A serious relationship should be one on one!\So which one of you is it going to be? Speak up!\No thanks.\I'm not sad at all!\I knew you were going to say that!\I totally did! response:	Solid Script: Hole!
context: And I'm a manly man, as you can see!\A serious relationship should be one on one!\So which one of you is it going to be? Speak up!\No thanks.\I'm not sad at all!\I knew you were going to say that!\I totally did!\Solid Script: Hole! response:	Explosion!
context: A serious relationship should be one on one!\So which one of you is it going to be? Speak up!\No thanks.\I'm not sad at all!\I knew you were going to say that!\I totally did!\Solid Script: Hole!\Explosion! response:	Penguin!
context: So which one of you is it going to be? Speak up!\No thanks.\I'm not sad at all!\I knew you were going to say that!\I totally did!\Solid Script: Hole!\Explosion!\Penguin! response:	Huh?
context: No thanks.\I'm not sad at all!\I knew you were going to say that!\I totally did!\Solid Script: Hole!\Explosion!\Penguin!\Huh? response:	Lisanna, that's...
context: I'm not sad at all!\I knew you were going to say that!\I totally did!\Solid Script: Hole!\Explosion!\Penguin!\Huh?\Lisanna, that's... response:	Why are you there, Elf-niichan?
context: I knew you were going to say that!\I totally did!\Solid Script: Hole!\Explosion!\Penguin!\Huh?\Lisanna, that's...\Why are you there, Elf-niichan? response:	H-Heavy...
context: I totally did!\Solid Script: Hole!\Explosion!\Penguin!\Huh?\Lisanna, that's...\Why are you there, Elf-niichan?\H-Heavy... response:	This is the forbidden double-Self-Strengthen!
context: Solid Script: Hole!\Explosion!\Penguin!\Huh?\Lisanna, that's...\Why are you there, Elf-niichan?\H-Heavy...\This is the forbidden double-Self-Strengthen! response:	My replacement, Mr. Cursey 3!
context: Explosion!\Penguin!\Huh?\Lisanna, that's...\Why are you there, Elf-niichan?\H-Heavy...\This is the forbidden double-Self-Strengthen!\My replacement, Mr. Cursey 3! response:	Using my hair and his hair, I can change bodies at will!
context: Penguin!\Huh?\Lisanna, that's...\Why are you there, Elf-niichan?\H-Heavy...\This is the forbidden double-Self-Strengthen!\My replacement, Mr. Cursey 3!\Using my hair and his hair, I can change bodies at will! response:	And on myself, Self-Strengthen with mist!
context: Huh?\Lisanna, that's...\Why are you there, Elf-niichan?\H-Heavy...\This is the forbidden double-Self-Strengthen!\My replacement, Mr. Cursey 3!\Using my hair and his hair, I can change bodies at will!\And on myself, Self-Strengthen with mist! response:	Now I am impervious to all physical and secondary attacks!
context: Lisanna, that's...\Why are you there, Elf-niichan?\H-Heavy...\This is the forbidden double-Self-Strengthen!\My replacement, Mr. Cursey 3!\Using my hair and his hair, I can change bodies at will!\And on myself, Self-Strengthen with mist!\Now I am impervious to all physical and secondary attacks! response:	Runes?
context: Why are you there, Elf-niichan?\H-Heavy...\This is the forbidden double-Self-Strengthen!\My replacement, Mr. Cursey 3!\Using my hair and his hair, I can change bodies at will!\And on myself, Self-Strengthen with mist!\Now I am impervious to all physical and secondary attacks!\Runes? response:	When did you...
context: H-Heavy...\This is the forbidden double-Self-Strengthen!\My replacement, Mr. Cursey 3!\Using my hair and his hair, I can change bodies at will!\And on myself, Self-Strengthen with mist!\Now I am impervious to all physical and secondary attacks!\Runes?\When did you... response:	We figured this might happen, so Fried placed a number around earlier.
context: This is the forbidden double-Self-Strengthen!\My replacement, Mr. Cursey 3!\Using my hair and his hair, I can change bodies at will!\And on myself, Self-Strengthen with mist!\Now I am impervious to all physical and secondary attacks!\Runes?\When did you...\We figured this might happen, so Fried placed a number around earlier. response:	This is a rune trap that makes it impossible to use magic. Activated!
context: My replacement, Mr. Cursey 3!\Using my hair and his hair, I can change bodies at will!\And on myself, Self-Strengthen with mist!\Now I am impervious to all physical and secondary attacks!\Runes?\When did you...\We figured this might happen, so Fried placed a number around earlier.\This is a rune trap that makes it impossible to use magic. Activated! response:	Nice!
context: Using my hair and his hair, I can change bodies at will!\And on myself, Self-Strengthen with mist!\Now I am impervious to all physical and secondary attacks!\Runes?\When did you...\We figured this might happen, so Fried placed a number around earlier.\This is a rune trap that makes it impossible to use magic. Activated!\Nice! response:	When it comes to piling on, leave that to us!
context: And on myself, Self-Strengthen with mist!\Now I am impervious to all physical and secondary attacks!\Runes?\When did you...\We figured this might happen, so Fried placed a number around earlier.\This is a rune trap that makes it impossible to use magic. Activated!\Nice!\When it comes to piling on, leave that to us! response:	Right, here we go!
context: Now I am impervious to all physical and secondary attacks!\Runes?\When did you...\We figured this might happen, so Fried placed a number around earlier.\This is a rune trap that makes it impossible to use magic. Activated!\Nice!\When it comes to piling on, leave that to us!\Right, here we go! response:	Lisanna!
context: Runes?\When did you...\We figured this might happen, so Fried placed a number around earlier.\This is a rune trap that makes it impossible to use magic. Activated!\Nice!\When it comes to piling on, leave that to us!\Right, here we go!\Lisanna! response:	Okay!
context: When did you...\We figured this might happen, so Fried placed a number around earlier.\This is a rune trap that makes it impossible to use magic. Activated!\Nice!\When it comes to piling on, leave that to us!\Right, here we go!\Lisanna!\Okay! response:	Explosion on the right and storm on my left!
context: We figured this might happen, so Fried placed a number around earlier.\This is a rune trap that makes it impossible to use magic. Activated!\Nice!\When it comes to piling on, leave that to us!\Right, here we go!\Lisanna!\Okay!\Explosion on the right and storm on my left! response:	Triple Unison Explosion!
context: This is a rune trap that makes it impossible to use magic. Activated!\Nice!\When it comes to piling on, leave that to us!\Right, here we go!\Lisanna!\Okay!\Explosion on the right and storm on my left!\Triple Unison Explosion! response:	What? My second loss in a row?
context: Nice!\When it comes to piling on, leave that to us!\Right, here we go!\Lisanna!\Okay!\Explosion on the right and storm on my left!\Triple Unison Explosion!\What? My second loss in a row? response:	That's totally lame!
context: When it comes to piling on, leave that to us!\Right, here we go!\Lisanna!\Okay!\Explosion on the right and storm on my left!\Triple Unison Explosion!\What? My second loss in a row?\That's totally lame! response:	Looks like we just got another promotion-pero.
context: Right, here we go!\Lisanna!\Okay!\Explosion on the right and storm on my left!\Triple Unison Explosion!\What? My second loss in a row?\That's totally lame!\Looks like we just got another promotion-pero. response:	Good! This is good!
context: Lisanna!\Okay!\Explosion on the right and storm on my left!\Triple Unison Explosion!\What? My second loss in a row?\That's totally lame!\Looks like we just got another promotion-pero.\Good! This is good! response:	We've got an even better chance of moving up-pero!
context: Okay!\Explosion on the right and storm on my left!\Triple Unison Explosion!\What? My second loss in a row?\That's totally lame!\Looks like we just got another promotion-pero.\Good! This is good!\We've got an even better chance of moving up-pero! response:	They're happy because their comrade got defeated?
context: Explosion on the right and storm on my left!\Triple Unison Explosion!\What? My second loss in a row?\That's totally lame!\Looks like we just got another promotion-pero.\Good! This is good!\We've got an even better chance of moving up-pero!\They're happy because their comrade got defeated? response:	They're a Dark Guild, after all.
context: Triple Unison Explosion!\What? My second loss in a row?\That's totally lame!\Looks like we just got another promotion-pero.\Good! This is good!\We've got an even better chance of moving up-pero!\They're happy because their comrade got defeated?\They're a Dark Guild, after all. response:	We cannot understand how they think.
context: What? My second loss in a row?\That's totally lame!\Looks like we just got another promotion-pero.\Good! This is good!\We've got an even better chance of moving up-pero!\They're happy because their comrade got defeated?\They're a Dark Guild, after all.\We cannot understand how they think. response:	Two left.
context: That's totally lame!\Looks like we just got another promotion-pero.\Good! This is good!\We've got an even better chance of moving up-pero!\They're happy because their comrade got defeated?\They're a Dark Guild, after all.\We cannot understand how they think.\Two left. response:	Let's clean them up!
context: Looks like we just got another promotion-pero.\Good! This is good!\We've got an even better chance of moving up-pero!\They're happy because their comrade got defeated?\They're a Dark Guild, after all.\We cannot understand how they think.\Two left.\Let's clean them up! response:	Oh? What's the matter?
context: Good! This is good!\We've got an even better chance of moving up-pero!\They're happy because their comrade got defeated?\They're a Dark Guild, after all.\We cannot understand how they think.\Two left.\Let's clean them up!\Oh? What's the matter? response:	It's a little too soon to be bending knee to me after the boasting you just did.
context: We've got an even better chance of moving up-pero!\They're happy because their comrade got defeated?\They're a Dark Guild, after all.\We cannot understand how they think.\Two left.\Let's clean them up!\Oh? What's the matter?\It's a little too soon to be bending knee to me after the boasting you just did. response:	Laxus!
context: They're happy because their comrade got defeated?\They're a Dark Guild, after all.\We cannot understand how they think.\Two left.\Let's clean them up!\Oh? What's the matter?\It's a little too soon to be bending knee to me after the boasting you just did.\Laxus! response:	Wait, don't tell me...
context: They're a Dark Guild, after all.\We cannot understand how they think.\Two left.\Let's clean them up!\Oh? What's the matter?\It's a little too soon to be bending knee to me after the boasting you just did.\Laxus!\Wait, don't tell me... response:	He got hit by that magic earlier!
context: We cannot understand how they think.\Two left.\Let's clean them up!\Oh? What's the matter?\It's a little too soon to be bending knee to me after the boasting you just did.\Laxus!\Wait, don't tell me...\He got hit by that magic earlier! response:	The world... sure is vast.
context: Two left.\Let's clean them up!\Oh? What's the matter?\It's a little too soon to be bending knee to me after the boasting you just did.\Laxus!\Wait, don't tell me...\He got hit by that magic earlier!\The world... sure is vast. response:	To think there'd be monsters like this in the world...
context: Let's clean them up!\Oh? What's the matter?\It's a little too soon to be bending knee to me after the boasting you just did.\Laxus!\Wait, don't tell me...\He got hit by that magic earlier!\The world... sure is vast.\To think there'd be monsters like this in the world... response:	I've got a long way to go.
context: Oh? What's the matter?\It's a little too soon to be bending knee to me after the boasting you just did.\Laxus!\Wait, don't tell me...\He got hit by that magic earlier!\The world... sure is vast.\To think there'd be monsters like this in the world...\I've got a long way to go. response:	What the hell are you saying?!
context: It's a little too soon to be bending knee to me after the boasting you just did.\Laxus!\Wait, don't tell me...\He got hit by that magic earlier!\The world... sure is vast.\To think there'd be monsters like this in the world...\I've got a long way to go.\What the hell are you saying?! response:	Get it together, Laxus!
context: Laxus!\Wait, don't tell me...\He got hit by that magic earlier!\The world... sure is vast.\To think there'd be monsters like this in the world...\I've got a long way to go.\What the hell are you saying?!\Get it together, Laxus! response:	You've done well, Laxus fellow.
context: Wait, don't tell me...\He got hit by that magic earlier!\The world... sure is vast.\To think there'd be monsters like this in the world...\I've got a long way to go.\What the hell are you saying?!\Get it together, Laxus!\You've done well, Laxus fellow. response:	But that ends now. You shall now disappear!
context: He got hit by that magic earlier!\The world... sure is vast.\To think there'd be monsters like this in the world...\I've got a long way to go.\What the hell are you saying?!\Get it together, Laxus!\You've done well, Laxus fellow.\But that ends now. You shall now disappear! response:	Stand up, Laxus!
context: The world... sure is vast.\To think there'd be monsters like this in the world...\I've got a long way to go.\What the hell are you saying?!\Get it together, Laxus!\You've done well, Laxus fellow.\But that ends now. You shall now disappear!\Stand up, Laxus! response:	But I'm...
context: To think there'd be monsters like this in the world...\I've got a long way to go.\What the hell are you saying?!\Get it together, Laxus!\You've done well, Laxus fellow.\But that ends now. You shall now disappear!\Stand up, Laxus!\But I'm... response:	Dodge it!
context: I've got a long way to go.\What the hell are you saying?!\Get it together, Laxus!\You've done well, Laxus fellow.\But that ends now. You shall now disappear!\Stand up, Laxus!\But I'm...\Dodge it! response:	You can't let yourself be hit by that!
context: What the hell are you saying?!\Get it together, Laxus!\You've done well, Laxus fellow.\But that ends now. You shall now disappear!\Stand up, Laxus!\But I'm...\Dodge it!\You can't let yourself be hit by that! response:	Laxus!
context: Get it together, Laxus!\You've done well, Laxus fellow.\But that ends now. You shall now disappear!\Stand up, Laxus!\But I'm...\Dodge it!\You can't let yourself be hit by that!\Laxus! response:	It's okay to get pissed...
context: You've done well, Laxus fellow.\But that ends now. You shall now disappear!\Stand up, Laxus!\But I'm...\Dodge it!\You can't let yourself be hit by that!\Laxus!\It's okay to get pissed... response:	Hell yeah, it is!
context: But that ends now. You shall now disappear!\Stand up, Laxus!\But I'm...\Dodge it!\You can't let yourself be hit by that!\Laxus!\It's okay to get pissed...\Hell yeah, it is! response:	Laxus's lightning!
context: Stand up, Laxus!\But I'm...\Dodge it!\You can't let yourself be hit by that!\Laxus!\It's okay to get pissed...\Hell yeah, it is!\Laxus's lightning! response:	Laxus!
context: But I'm...\Dodge it!\You can't let yourself be hit by that!\Laxus!\It's okay to get pissed...\Hell yeah, it is!\Laxus's lightning!\Laxus! response:	My anger... Natsu.
context: Dodge it!\You can't let yourself be hit by that!\Laxus!\It's okay to get pissed...\Hell yeah, it is!\Laxus's lightning!\Laxus!\My anger... Natsu. response:	Natsu-san?
context: You can't let yourself be hit by that!\Laxus!\It's okay to get pissed...\Hell yeah, it is!\Laxus's lightning!\Laxus!\My anger... Natsu.\Natsu-san? response:	Thanks for... the meal.
context: Laxus!\It's okay to get pissed...\Hell yeah, it is!\Laxus's lightning!\Laxus!\My anger... Natsu.\Natsu-san?\Thanks for... the meal. response:	Electrified?
context: It's okay to get pissed...\Hell yeah, it is!\Laxus's lightning!\Laxus!\My anger... Natsu.\Natsu-san?\Thanks for... the meal.\Electrified? response:	That's all of my magic power.
context: Hell yeah, it is!\Laxus's lightning!\Laxus!\My anger... Natsu.\Natsu-san?\Thanks for... the meal.\Electrified?\That's all of my magic power. response:	What?
context: Laxus's lightning!\Laxus!\My anger... Natsu.\Natsu-san?\Thanks for... the meal.\Electrified?\That's all of my magic power.\What? response:	He gave his magic power to Natsu?
context: Laxus!\My anger... Natsu.\Natsu-san?\Thanks for... the meal.\Electrified?\That's all of my magic power.\What?\He gave his magic power to Natsu? response:	Wait, that means...
context: My anger... Natsu.\Natsu-san?\Thanks for... the meal.\Electrified?\That's all of my magic power.\What?\He gave his magic power to Natsu?\Wait, that means... response:	He ate lightning?
context: Natsu-san?\Thanks for... the meal.\Electrified?\That's all of my magic power.\What?\He gave his magic power to Natsu?\Wait, that means...\He ate lightning? response:	I heard he got sick from it the last time...
context: Thanks for... the meal.\Electrified?\That's all of my magic power.\What?\He gave his magic power to Natsu?\Wait, that means...\He ate lightning?\I heard he got sick from it the last time... response:	Laxus... He took that blow without any magic power at all!
context: Electrified?\That's all of my magic power.\What?\He gave his magic power to Natsu?\Wait, that means...\He ate lightning?\I heard he got sick from it the last time...\Laxus... He took that blow without any magic power at all! response:	That's just how much he wanted to give Natsu-san his magic power?
context: That's all of my magic power.\What?\He gave his magic power to Natsu?\Wait, that means...\He ate lightning?\I heard he got sick from it the last time...\Laxus... He took that blow without any magic power at all!\That's just how much he wanted to give Natsu-san his magic power? response:	Why... to me...?
context: What?\He gave his magic power to Natsu?\Wait, that means...\He ate lightning?\I heard he got sick from it the last time...\Laxus... He took that blow without any magic power at all!\That's just how much he wanted to give Natsu-san his magic power?\Why... to me...? response:	I'm... weaker than Laxus...
context: He gave his magic power to Natsu?\Wait, that means...\He ate lightning?\I heard he got sick from it the last time...\Laxus... He took that blow without any magic power at all!\That's just how much he wanted to give Natsu-san his magic power?\Why... to me...?\I'm... weaker than Laxus... response:	It ain't about bein' strong or weak.
context: Wait, that means...\He ate lightning?\I heard he got sick from it the last time...\Laxus... He took that blow without any magic power at all!\That's just how much he wanted to give Natsu-san his magic power?\Why... to me...?\I'm... weaker than Laxus...\It ain't about bein' strong or weak. response:	Who was it that got hurt?
context: He ate lightning?\I heard he got sick from it the last time...\Laxus... He took that blow without any magic power at all!\That's just how much he wanted to give Natsu-san his magic power?\Why... to me...?\I'm... weaker than Laxus...\It ain't about bein' strong or weak.\Who was it that got hurt? response:	It's gotta be someone with the mark of the guild, damn it!
context: I heard he got sick from it the last time...\Laxus... He took that blow without any magic power at all!\That's just how much he wanted to give Natsu-san his magic power?\Why... to me...?\I'm... weaker than Laxus...\It ain't about bein' strong or weak.\Who was it that got hurt?\It's gotta be someone with the mark of the guild, damn it! response:	It's the guild that'll pay him back for the pain suffered by the guild!
context: Laxus... He took that blow without any magic power at all!\That's just how much he wanted to give Natsu-san his magic power?\Why... to me...?\I'm... weaker than Laxus...\It ain't about bein' strong or weak.\Who was it that got hurt?\It's gotta be someone with the mark of the guild, damn it!\It's the guild that'll pay him back for the pain suffered by the guild! response:	100 times over.
context: That's just how much he wanted to give Natsu-san his magic power?\Why... to me...?\I'm... weaker than Laxus...\It ain't about bein' strong or weak.\Who was it that got hurt?\It's gotta be someone with the mark of the guild, damn it!\It's the guild that'll pay him back for the pain suffered by the guild!\100 times over. response:	Yeah.
context: Why... to me...?\I'm... weaker than Laxus...\It ain't about bein' strong or weak.\Who was it that got hurt?\It's gotta be someone with the mark of the guild, damn it!\It's the guild that'll pay him back for the pain suffered by the guild!\100 times over.\Yeah. response:	A fusion of flame and lightning.
context: I'm... weaker than Laxus...\It ain't about bein' strong or weak.\Who was it that got hurt?\It's gotta be someone with the mark of the guild, damn it!\It's the guild that'll pay him back for the pain suffered by the guild!\100 times over.\Yeah.\A fusion of flame and lightning. response:	The Thunder-Flame Dragon!
context: It ain't about bein' strong or weak.\Who was it that got hurt?\It's gotta be someone with the mark of the guild, damn it!\It's the guild that'll pay him back for the pain suffered by the guild!\100 times over.\Yeah.\A fusion of flame and lightning.\The Thunder-Flame Dragon! response:	It's payback... times 100.
context: Who was it that got hurt?\It's gotta be someone with the mark of the guild, damn it!\It's the guild that'll pay him back for the pain suffered by the guild!\100 times over.\Yeah.\A fusion of flame and lightning.\The Thunder-Flame Dragon!\It's payback... times 100. response:	Thunder-Flame Dragon? Isn't that acting a little bit too cool for you, Natsu?
context: It's gotta be someone with the mark of the guild, damn it!\It's the guild that'll pay him back for the pain suffered by the guild!\100 times over.\Yeah.\A fusion of flame and lightning.\The Thunder-Flame Dragon!\It's payback... times 100.\Thunder-Flame Dragon? Isn't that acting a little bit too cool for you, Natsu? response:	It ain't acting, you know.
context: It's the guild that'll pay him back for the pain suffered by the guild!\100 times over.\Yeah.\A fusion of flame and lightning.\The Thunder-Flame Dragon!\It's payback... times 100.\Thunder-Flame Dragon? Isn't that acting a little bit too cool for you, Natsu?\It ain't acting, you know. response:	It's not fair that I can't have something similar.
context: 100 times over.\Yeah.\A fusion of flame and lightning.\The Thunder-Flame Dragon!\It's payback... times 100.\Thunder-Flame Dragon? Isn't that acting a little bit too cool for you, Natsu?\It ain't acting, you know.\It's not fair that I can't have something similar. response:	If you had lightning powers, Happy, wouldn't you just be a Flying Lightning Cat?
context: Yeah.\A fusion of flame and lightning.\The Thunder-Flame Dragon!\It's payback... times 100.\Thunder-Flame Dragon? Isn't that acting a little bit too cool for you, Natsu?\It ain't acting, you know.\It's not fair that I can't have something similar.\If you had lightning powers, Happy, wouldn't you just be a Flying Lightning Cat? response:	Lightning Cat?
context: A fusion of flame and lightning.\The Thunder-Flame Dragon!\It's payback... times 100.\Thunder-Flame Dragon? Isn't that acting a little bit too cool for you, Natsu?\It ain't acting, you know.\It's not fair that I can't have something similar.\If you had lightning powers, Happy, wouldn't you just be a Flying Lightning Cat?\Lightning Cat? response:	That's like, so totally cool!
context: The Thunder-Flame Dragon!\It's payback... times 100.\Thunder-Flame Dragon? Isn't that acting a little bit too cool for you, Natsu?\It ain't acting, you know.\It's not fair that I can't have something similar.\If you had lightning powers, Happy, wouldn't you just be a Flying Lightning Cat?\Lightning Cat?\That's like, so totally cool! response:	Next time: The Deepest Realm
context: It's payback... times 100.\Thunder-Flame Dragon? Isn't that acting a little bit too cool for you, Natsu?\It ain't acting, you know.\It's not fair that I can't have something similar.\If you had lightning powers, Happy, wouldn't you just be a Flying Lightning Cat?\Lightning Cat?\That's like, so totally cool!\Next time: The Deepest Realm response:	It's something that Lily, who's scared of lightning, could never handle...
context: Thunder-Flame Dragon? Isn't that acting a little bit too cool for you, Natsu?\It ain't acting, you know.\It's not fair that I can't have something similar.\If you had lightning powers, Happy, wouldn't you just be a Flying Lightning Cat?\Lightning Cat?\That's like, so totally cool!\Next time: The Deepest Realm\It's something that Lily, who's scared of lightning, could never handle... response:	This way, my character's uniqueness is secure!
context: It ain't acting, you know.\It's not fair that I can't have something similar.\If you had lightning powers, Happy, wouldn't you just be a Flying Lightning Cat?\Lightning Cat?\That's like, so totally cool!\Next time: The Deepest Realm\It's something that Lily, who's scared of lightning, could never handle...\This way, my character's uniqueness is secure! response:	Oh, so that's what you're worried about...
