context: Wi...With Mt. Ontake as the only clue, this place is too vast to search on foot. response:	Just how much farther is it from here?
context: To think that she'd resemble Yukiji this much! If it's like this, even the youkai can't suspect her!\Lady Yukiji and Nanami... I thought that they both had a vaguely similar aura, but I was wrong.\Their appearances alone are nearly the same.\Can two complete strangers look this alike?\Perhaps Nanami is Yukiji-sama's relative...?\Idiot! Did you think I would thank you for looking like that!?\I don't want to be happy by letting you die!\It's a nuisance! response:	What happened to you suddenly? Speaking like that...
context: Lady Yukiji and Nanami... I thought that they both had a vaguely similar aura, but I was wrong.\Their appearances alone are nearly the same.\Can two complete strangers look this alike?\Perhaps Nanami is Yukiji-sama's relative...?\Idiot! Did you think I would thank you for looking like that!?\I don't want to be happy by letting you die!\It's a nuisance!\What happened to you suddenly? Speaking like that... response:	Lady Yukiji...?
context: Their appearances alone are nearly the same.\Can two complete strangers look this alike?\Perhaps Nanami is Yukiji-sama's relative...?\Idiot! Did you think I would thank you for looking like that!?\I don't want to be happy by letting you die!\It's a nuisance!\What happened to you suddenly? Speaking like that...\Lady Yukiji...? response:	I apologize for causing trouble.
context: Can two complete strangers look this alike?\Perhaps Nanami is Yukiji-sama's relative...?\Idiot! Did you think I would thank you for looking like that!?\I don't want to be happy by letting you die!\It's a nuisance!\What happened to you suddenly? Speaking like that...\Lady Yukiji...?\I apologize for causing trouble. response:	I want you to be happy.
context: Perhaps Nanami is Yukiji-sama's relative...?\Idiot! Did you think I would thank you for looking like that!?\I don't want to be happy by letting you die!\It's a nuisance!\What happened to you suddenly? Speaking like that...\Lady Yukiji...?\I apologize for causing trouble.\I want you to be happy. response:	But, just like you, I want to be happy as well.
context: Idiot! Did you think I would thank you for looking like that!?\I don't want to be happy by letting you die!\It's a nuisance!\What happened to you suddenly? Speaking like that...\Lady Yukiji...?\I apologize for causing trouble.\I want you to be happy.\But, just like you, I want to be happy as well. response:	That's why I won't die.
context: I don't want to be happy by letting you die!\It's a nuisance!\What happened to you suddenly? Speaking like that...\Lady Yukiji...?\I apologize for causing trouble.\I want you to be happy.\But, just like you, I want to be happy as well.\That's why I won't die. response:	I promise.
context: It's a nuisance!\What happened to you suddenly? Speaking like that...\Lady Yukiji...?\I apologize for causing trouble.\I want you to be happy.\But, just like you, I want to be happy as well.\That's why I won't die.\I promise. response:	Nanami...
context: What happened to you suddenly? Speaking like that...\Lady Yukiji...?\I apologize for causing trouble.\I want you to be happy.\But, just like you, I want to be happy as well.\That's why I won't die.\I promise.\Nanami... response:	You don't resemble me.
context: Lady Yukiji...?\I apologize for causing trouble.\I want you to be happy.\But, just like you, I want to be happy as well.\That's why I won't die.\I promise.\Nanami...\You don't resemble me. response:	I can't make that look in your eyes.
context: I apologize for causing trouble.\I want you to be happy.\But, just like you, I want to be happy as well.\That's why I won't die.\I promise.\Nanami...\You don't resemble me.\I can't make that look in your eyes. response:	Eyes filled with hope... Facing ahead without despair, her eyes are without the slightest of doubt.
context: I want you to be happy.\But, just like you, I want to be happy as well.\That's why I won't die.\I promise.\Nanami...\You don't resemble me.\I can't make that look in your eyes.\Eyes filled with hope... Facing ahead without despair, her eyes are without the slightest of doubt. response:	Yukiji-san's Papa, please promise that you'll also find Kuromaro, okay?
context: But, just like you, I want to be happy as well.\That's why I won't die.\I promise.\Nanami...\You don't resemble me.\I can't make that look in your eyes.\Eyes filled with hope... Facing ahead without despair, her eyes are without the slightest of doubt.\Yukiji-san's Papa, please promise that you'll also find Kuromaro, okay? response:	I envy you, Nanami...
context: That's why I won't die.\I promise.\Nanami...\You don't resemble me.\I can't make that look in your eyes.\Eyes filled with hope... Facing ahead without despair, her eyes are without the slightest of doubt.\Yukiji-san's Papa, please promise that you'll also find Kuromaro, okay?\I envy you, Nanami... response:	The next morning, Yukiji-san left the mansion quietly as planned.
context: I promise.\Nanami...\You don't resemble me.\I can't make that look in your eyes.\Eyes filled with hope... Facing ahead without despair, her eyes are without the slightest of doubt.\Yukiji-san's Papa, please promise that you'll also find Kuromaro, okay?\I envy you, Nanami...\The next morning, Yukiji-san left the mansion quietly as planned. response:	Until Yukiji-san arrives at her husband lord's household safely, I'll catch their attention.
context: Nanami...\You don't resemble me.\I can't make that look in your eyes.\Eyes filled with hope... Facing ahead without despair, her eyes are without the slightest of doubt.\Yukiji-san's Papa, please promise that you'll also find Kuromaro, okay?\I envy you, Nanami...\The next morning, Yukiji-san left the mansion quietly as planned.\Until Yukiji-san arrives at her husband lord's household safely, I'll catch their attention. response:	For that, I'll roam around flamboyantly.
context: You don't resemble me.\I can't make that look in your eyes.\Eyes filled with hope... Facing ahead without despair, her eyes are without the slightest of doubt.\Yukiji-san's Papa, please promise that you'll also find Kuromaro, okay?\I envy you, Nanami...\The next morning, Yukiji-san left the mansion quietly as planned.\Until Yukiji-san arrives at her husband lord's household safely, I'll catch their attention.\For that, I'll roam around flamboyantly. response:	Though it's just a pretense, I never thought that I'd become a bride.
context: I can't make that look in your eyes.\Eyes filled with hope... Facing ahead without despair, her eyes are without the slightest of doubt.\Yukiji-san's Papa, please promise that you'll also find Kuromaro, okay?\I envy you, Nanami...\The next morning, Yukiji-san left the mansion quietly as planned.\Until Yukiji-san arrives at her husband lord's household safely, I'll catch their attention.\For that, I'll roam around flamboyantly.\Though it's just a pretense, I never thought that I'd become a bride. response:	I wonder what Tomoe would say if he saw me.
context: Eyes filled with hope... Facing ahead without despair, her eyes are without the slightest of doubt.\Yukiji-san's Papa, please promise that you'll also find Kuromaro, okay?\I envy you, Nanami...\The next morning, Yukiji-san left the mansion quietly as planned.\Until Yukiji-san arrives at her husband lord's household safely, I'll catch their attention.\For that, I'll roam around flamboyantly.\Though it's just a pretense, I never thought that I'd become a bride.\I wonder what Tomoe would say if he saw me. response:	It doesn't suit you.
context: Yukiji-san's Papa, please promise that you'll also find Kuromaro, okay?\I envy you, Nanami...\The next morning, Yukiji-san left the mansion quietly as planned.\Until Yukiji-san arrives at her husband lord's household safely, I'll catch their attention.\For that, I'll roam around flamboyantly.\Though it's just a pretense, I never thought that I'd become a bride.\I wonder what Tomoe would say if he saw me.\It doesn't suit you. response:	Somehow I heard that!
context: I envy you, Nanami...\The next morning, Yukiji-san left the mansion quietly as planned.\Until Yukiji-san arrives at her husband lord's household safely, I'll catch their attention.\For that, I'll roam around flamboyantly.\Though it's just a pretense, I never thought that I'd become a bride.\I wonder what Tomoe would say if he saw me.\It doesn't suit you.\Somehow I heard that! response:	I'll play a trick on that Akura-ou.
context: The next morning, Yukiji-san left the mansion quietly as planned.\Until Yukiji-san arrives at her husband lord's household safely, I'll catch their attention.\For that, I'll roam around flamboyantly.\Though it's just a pretense, I never thought that I'd become a bride.\I wonder what Tomoe would say if he saw me.\It doesn't suit you.\Somehow I heard that!\I'll play a trick on that Akura-ou. response:	I'd be lying if I said I'm not scared,
context: Until Yukiji-san arrives at her husband lord's household safely, I'll catch their attention.\For that, I'll roam around flamboyantly.\Though it's just a pretense, I never thought that I'd become a bride.\I wonder what Tomoe would say if he saw me.\It doesn't suit you.\Somehow I heard that!\I'll play a trick on that Akura-ou.\I'd be lying if I said I'm not scared, response:	but I have my white paper charms, the dagger I borrowed from Yukiji-san...
context: For that, I'll roam around flamboyantly.\Though it's just a pretense, I never thought that I'd become a bride.\I wonder what Tomoe would say if he saw me.\It doesn't suit you.\Somehow I heard that!\I'll play a trick on that Akura-ou.\I'd be lying if I said I'm not scared,\but I have my white paper charms, the dagger I borrowed from Yukiji-san... response:	and... the hairpin from Tomoe.
context: Though it's just a pretense, I never thought that I'd become a bride.\I wonder what Tomoe would say if he saw me.\It doesn't suit you.\Somehow I heard that!\I'll play a trick on that Akura-ou.\I'd be lying if I said I'm not scared,\but I have my white paper charms, the dagger I borrowed from Yukiji-san...\and... the hairpin from Tomoe. response:	Protect me, okay Tomoe?
context: I wonder what Tomoe would say if he saw me.\It doesn't suit you.\Somehow I heard that!\I'll play a trick on that Akura-ou.\I'd be lying if I said I'm not scared,\but I have my white paper charms, the dagger I borrowed from Yukiji-san...\and... the hairpin from Tomoe.\Protect me, okay Tomoe? response:	Please, let everything go well.
context: It doesn't suit you.\Somehow I heard that!\I'll play a trick on that Akura-ou.\I'd be lying if I said I'm not scared,\but I have my white paper charms, the dagger I borrowed from Yukiji-san...\and... the hairpin from Tomoe.\Protect me, okay Tomoe?\Please, let everything go well. response:	Just what is wrong with me?
context: Somehow I heard that!\I'll play a trick on that Akura-ou.\I'd be lying if I said I'm not scared,\but I have my white paper charms, the dagger I borrowed from Yukiji-san...\and... the hairpin from Tomoe.\Protect me, okay Tomoe?\Please, let everything go well.\Just what is wrong with me? response:	This impatience is keeping me from being calm.
context: I'll play a trick on that Akura-ou.\I'd be lying if I said I'm not scared,\but I have my white paper charms, the dagger I borrowed from Yukiji-san...\and... the hairpin from Tomoe.\Protect me, okay Tomoe?\Please, let everything go well.\Just what is wrong with me?\This impatience is keeping me from being calm. response:	So much so, that I failed to kill that young girl.
context: I'd be lying if I said I'm not scared,\but I have my white paper charms, the dagger I borrowed from Yukiji-san...\and... the hairpin from Tomoe.\Protect me, okay Tomoe?\Please, let everything go well.\Just what is wrong with me?\This impatience is keeping me from being calm.\So much so, that I failed to kill that young girl. response:	All because I wasn't acting like usual, I wasn't in tune with myself.
context: but I have my white paper charms, the dagger I borrowed from Yukiji-san...\and... the hairpin from Tomoe.\Protect me, okay Tomoe?\Please, let everything go well.\Just what is wrong with me?\This impatience is keeping me from being calm.\So much so, that I failed to kill that young girl.\All because I wasn't acting like usual, I wasn't in tune with myself. response:	If she's going to be finished off by those guys...
context: and... the hairpin from Tomoe.\Protect me, okay Tomoe?\Please, let everything go well.\Just what is wrong with me?\This impatience is keeping me from being calm.\So much so, that I failed to kill that young girl.\All because I wasn't acting like usual, I wasn't in tune with myself.\If she's going to be finished off by those guys... response:	For once, I'll definitely kill her with my own hands next time.
context: Protect me, okay Tomoe?\Please, let everything go well.\Just what is wrong with me?\This impatience is keeping me from being calm.\So much so, that I failed to kill that young girl.\All because I wasn't acting like usual, I wasn't in tune with myself.\If she's going to be finished off by those guys...\For once, I'll definitely kill her with my own hands next time. response:	This is getting interesting.
context: Please, let everything go well.\Just what is wrong with me?\This impatience is keeping me from being calm.\So much so, that I failed to kill that young girl.\All because I wasn't acting like usual, I wasn't in tune with myself.\If she's going to be finished off by those guys...\For once, I'll definitely kill her with my own hands next time.\This is getting interesting. response:	This is definitely... more like me.
context: Just what is wrong with me?\This impatience is keeping me from being calm.\So much so, that I failed to kill that young girl.\All because I wasn't acting like usual, I wasn't in tune with myself.\If she's going to be finished off by those guys...\For once, I'll definitely kill her with my own hands next time.\This is getting interesting.\This is definitely... more like me. response:	Nanami-san, I'm tired already. My load is very heavy. Let's rest a bit in this area, Nanami-sa-
context: This impatience is keeping me from being calm.\So much so, that I failed to kill that young girl.\All because I wasn't acting like usual, I wasn't in tune with myself.\If she's going to be finished off by those guys...\For once, I'll definitely kill her with my own hands next time.\This is getting interesting.\This is definitely... more like me.\Nanami-san, I'm tired already. My load is very heavy. Let's rest a bit in this area, Nanami-sa- response:	It isn't Nanami, right!? It's Yukiji!
context: So much so, that I failed to kill that young girl.\All because I wasn't acting like usual, I wasn't in tune with myself.\If she's going to be finished off by those guys...\For once, I'll definitely kill her with my own hands next time.\This is getting interesting.\This is definitely... more like me.\Nanami-san, I'm tired already. My load is very heavy. Let's rest a bit in this area, Nanami-sa-\It isn't Nanami, right!? It's Yukiji! response:	What are we going to do if the youkai hear it!?
context: All because I wasn't acting like usual, I wasn't in tune with myself.\If she's going to be finished off by those guys...\For once, I'll definitely kill her with my own hands next time.\This is getting interesting.\This is definitely... more like me.\Nanami-san, I'm tired already. My load is very heavy. Let's rest a bit in this area, Nanami-sa-\It isn't Nanami, right!? It's Yukiji!\What are we going to do if the youkai hear it!? response:	Yukiji-san wouldn't have hit me like this...
context: If she's going to be finished off by those guys...\For once, I'll definitely kill her with my own hands next time.\This is getting interesting.\This is definitely... more like me.\Nanami-san, I'm tired already. My load is very heavy. Let's rest a bit in this area, Nanami-sa-\It isn't Nanami, right!? It's Yukiji!\What are we going to do if the youkai hear it!?\Yukiji-san wouldn't have hit me like this... response:	What's this fog?
context: For once, I'll definitely kill her with my own hands next time.\This is getting interesting.\This is definitely... more like me.\Nanami-san, I'm tired already. My load is very heavy. Let's rest a bit in this area, Nanami-sa-\It isn't Nanami, right!? It's Yukiji!\What are we going to do if the youkai hear it!?\Yukiji-san wouldn't have hit me like this...\What's this fog? response:	Poison!?
context: This is getting interesting.\This is definitely... more like me.\Nanami-san, I'm tired already. My load is very heavy. Let's rest a bit in this area, Nanami-sa-\It isn't Nanami, right!? It's Yukiji!\What are we going to do if the youkai hear it!?\Yukiji-san wouldn't have hit me like this...\What's this fog?\Poison!? response:	Oh no! Don't inhale this fog!
context: This is definitely... more like me.\Nanami-san, I'm tired already. My load is very heavy. Let's rest a bit in this area, Nanami-sa-\It isn't Nanami, right!? It's Yukiji!\What are we going to do if the youkai hear it!?\Yukiji-san wouldn't have hit me like this...\What's this fog?\Poison!?\Oh no! Don't inhale this fog! response:	Apologies for making you wait, miss bride.
context: Nanami-san, I'm tired already. My load is very heavy. Let's rest a bit in this area, Nanami-sa-\It isn't Nanami, right!? It's Yukiji!\What are we going to do if the youkai hear it!?\Yukiji-san wouldn't have hit me like this...\What's this fog?\Poison!?\Oh no! Don't inhale this fog!\Apologies for making you wait, miss bride. response:	I'm Kirakaburi, a creator for beauty.
context: It isn't Nanami, right!? It's Yukiji!\What are we going to do if the youkai hear it!?\Yukiji-san wouldn't have hit me like this...\What's this fog?\Poison!?\Oh no! Don't inhale this fog!\Apologies for making you wait, miss bride.\I'm Kirakaburi, a creator for beauty. response:	By Akura-ou-sama's orders, I've come to fetch you
context: What are we going to do if the youkai hear it!?\Yukiji-san wouldn't have hit me like this...\What's this fog?\Poison!?\Oh no! Don't inhale this fog!\Apologies for making you wait, miss bride.\I'm Kirakaburi, a creator for beauty.\By Akura-ou-sama's orders, I've come to fetch you response:	You finally showed up, eh youkai!
context: Yukiji-san wouldn't have hit me like this...\What's this fog?\Poison!?\Oh no! Don't inhale this fog!\Apologies for making you wait, miss bride.\I'm Kirakaburi, a creator for beauty.\By Akura-ou-sama's orders, I've come to fetch you\You finally showed up, eh youkai! response:	He's not Akura-ou! Looks kind of flashy!
context: What's this fog?\Poison!?\Oh no! Don't inhale this fog!\Apologies for making you wait, miss bride.\I'm Kirakaburi, a creator for beauty.\By Akura-ou-sama's orders, I've come to fetch you\You finally showed up, eh youkai!\He's not Akura-ou! Looks kind of flashy! response:	Damn you, release Yukiji-sama!
context: Poison!?\Oh no! Don't inhale this fog!\Apologies for making you wait, miss bride.\I'm Kirakaburi, a creator for beauty.\By Akura-ou-sama's orders, I've come to fetch you\You finally showed up, eh youkai!\He's not Akura-ou! Looks kind of flashy!\Damn you, release Yukiji-sama! response:	To think that miss bride's accessories are this shabby...
context: Oh no! Don't inhale this fog!\Apologies for making you wait, miss bride.\I'm Kirakaburi, a creator for beauty.\By Akura-ou-sama's orders, I've come to fetch you\You finally showed up, eh youkai!\He's not Akura-ou! Looks kind of flashy!\Damn you, release Yukiji-sama!\To think that miss bride's accessories are this shabby... response:	Even a beauty production has it's limits, you know
context: Apologies for making you wait, miss bride.\I'm Kirakaburi, a creator for beauty.\By Akura-ou-sama's orders, I've come to fetch you\You finally showed up, eh youkai!\He's not Akura-ou! Looks kind of flashy!\Damn you, release Yukiji-sama!\To think that miss bride's accessories are this shabby...\Even a beauty production has it's limits, you know response:	For now, should I pulverize you all and sprinkle gold dust on you guys?
context: I'm Kirakaburi, a creator for beauty.\By Akura-ou-sama's orders, I've come to fetch you\You finally showed up, eh youkai!\He's not Akura-ou! Looks kind of flashy!\Damn you, release Yukiji-sama!\To think that miss bride's accessories are this shabby...\Even a beauty production has it's limits, you know\For now, should I pulverize you all and sprinkle gold dust on you guys? response:	Stop it! Please don't kill them!
context: By Akura-ou-sama's orders, I've come to fetch you\You finally showed up, eh youkai!\He's not Akura-ou! Looks kind of flashy!\Damn you, release Yukiji-sama!\To think that miss bride's accessories are this shabby...\Even a beauty production has it's limits, you know\For now, should I pulverize you all and sprinkle gold dust on you guys?\Stop it! Please don't kill them! response:	I won't defy you! I'll go to wherever Akura-ou is!
context: You finally showed up, eh youkai!\He's not Akura-ou! Looks kind of flashy!\Damn you, release Yukiji-sama!\To think that miss bride's accessories are this shabby...\Even a beauty production has it's limits, you know\For now, should I pulverize you all and sprinkle gold dust on you guys?\Stop it! Please don't kill them!\I won't defy you! I'll go to wherever Akura-ou is! response:	I don't mind if you defy me.
context: He's not Akura-ou! Looks kind of flashy!\Damn you, release Yukiji-sama!\To think that miss bride's accessories are this shabby...\Even a beauty production has it's limits, you know\For now, should I pulverize you all and sprinkle gold dust on you guys?\Stop it! Please don't kill them!\I won't defy you! I'll go to wherever Akura-ou is!\I don't mind if you defy me. response:	Because after I've adorned them for their funeral, you will be next, Yukiji-dono.
context: Damn you, release Yukiji-sama!\To think that miss bride's accessories are this shabby...\Even a beauty production has it's limits, you know\For now, should I pulverize you all and sprinkle gold dust on you guys?\Stop it! Please don't kill them!\I won't defy you! I'll go to wherever Akura-ou is!\I don't mind if you defy me.\Because after I've adorned them for their funeral, you will be next, Yukiji-dono. response:	Even the deceased are an embodiment of beauty.
context: To think that miss bride's accessories are this shabby...\Even a beauty production has it's limits, you know\For now, should I pulverize you all and sprinkle gold dust on you guys?\Stop it! Please don't kill them!\I won't defy you! I'll go to wherever Akura-ou is!\I don't mind if you defy me.\Because after I've adorned them for their funeral, you will be next, Yukiji-dono.\Even the deceased are an embodiment of beauty. response:	It's my job to decorate you to the best of my ability and present you to Akura-ou-sama.
context: Even a beauty production has it's limits, you know\For now, should I pulverize you all and sprinkle gold dust on you guys?\Stop it! Please don't kill them!\I won't defy you! I'll go to wherever Akura-ou is!\I don't mind if you defy me.\Because after I've adorned them for their funeral, you will be next, Yukiji-dono.\Even the deceased are an embodiment of beauty.\It's my job to decorate you to the best of my ability and present you to Akura-ou-sama. response:	You have the wrong person!
context: For now, should I pulverize you all and sprinkle gold dust on you guys?\Stop it! Please don't kill them!\I won't defy you! I'll go to wherever Akura-ou is!\I don't mind if you defy me.\Because after I've adorned them for their funeral, you will be next, Yukiji-dono.\Even the deceased are an embodiment of beauty.\It's my job to decorate you to the best of my ability and present you to Akura-ou-sama.\You have the wrong person! response:	That person is not Yukiji-sama!
context: Stop it! Please don't kill them!\I won't defy you! I'll go to wherever Akura-ou is!\I don't mind if you defy me.\Because after I've adorned them for their funeral, you will be next, Yukiji-dono.\Even the deceased are an embodiment of beauty.\It's my job to decorate you to the best of my ability and present you to Akura-ou-sama.\You have the wrong person!\That person is not Yukiji-sama! response:	Suke-kun!
context: I won't defy you! I'll go to wherever Akura-ou is!\I don't mind if you defy me.\Because after I've adorned them for their funeral, you will be next, Yukiji-dono.\Even the deceased are an embodiment of beauty.\It's my job to decorate you to the best of my ability and present you to Akura-ou-sama.\You have the wrong person!\That person is not Yukiji-sama!\Suke-kun! response:	This is bad! If this carries on, everyone's going to be killed!
context: I don't mind if you defy me.\Because after I've adorned them for their funeral, you will be next, Yukiji-dono.\Even the deceased are an embodiment of beauty.\It's my job to decorate you to the best of my ability and present you to Akura-ou-sama.\You have the wrong person!\That person is not Yukiji-sama!\Suke-kun!\This is bad! If this carries on, everyone's going to be killed! response:	I'm right here! Catch me if you can!
context: Because after I've adorned them for their funeral, you will be next, Yukiji-dono.\Even the deceased are an embodiment of beauty.\It's my job to decorate you to the best of my ability and present you to Akura-ou-sama.\You have the wrong person!\That person is not Yukiji-sama!\Suke-kun!\This is bad! If this carries on, everyone's going to be killed!\I'm right here! Catch me if you can! response:	Heh! It's useless!
context: Even the deceased are an embodiment of beauty.\It's my job to decorate you to the best of my ability and present you to Akura-ou-sama.\You have the wrong person!\That person is not Yukiji-sama!\Suke-kun!\This is bad! If this carries on, everyone's going to be killed!\I'm right here! Catch me if you can!\Heh! It's useless! response:	And you're trying to escape from me with those legs...
context: It's my job to decorate you to the best of my ability and present you to Akura-ou-sama.\You have the wrong person!\That person is not Yukiji-sama!\Suke-kun!\This is bad! If this carries on, everyone's going to be killed!\I'm right here! Catch me if you can!\Heh! It's useless!\And you're trying to escape from me with those legs... response:	Nanami
context: You have the wrong person!\That person is not Yukiji-sama!\Suke-kun!\This is bad! If this carries on, everyone's going to be killed!\I'm right here! Catch me if you can!\Heh! It's useless!\And you're trying to escape from me with those legs...\Nanami response:	What is this!?
context: That person is not Yukiji-sama!\Suke-kun!\This is bad! If this carries on, everyone's going to be killed!\I'm right here! Catch me if you can!\Heh! It's useless!\And you're trying to escape from me with those legs...\Nanami\What is this!? response:	Running like this reminds me of that incident in Yomi.
context: Suke-kun!\This is bad! If this carries on, everyone's going to be killed!\I'm right here! Catch me if you can!\Heh! It's useless!\And you're trying to escape from me with those legs...\Nanami\What is this!?\Running like this reminds me of that incident in Yomi. response:	That's right, at that time, Tomoe had come to my rescue.
context: This is bad! If this carries on, everyone's going to be killed!\I'm right here! Catch me if you can!\Heh! It's useless!\And you're trying to escape from me with those legs...\Nanami\What is this!?\Running like this reminds me of that incident in Yomi.\That's right, at that time, Tomoe had come to my rescue. response:	Right now, I'm... helplessly alone.
context: I'm right here! Catch me if you can!\Heh! It's useless!\And you're trying to escape from me with those legs...\Nanami\What is this!?\Running like this reminds me of that incident in Yomi.\That's right, at that time, Tomoe had come to my rescue.\Right now, I'm... helplessly alone. response:	I want to see you...
context: Heh! It's useless!\And you're trying to escape from me with those legs...\Nanami\What is this!?\Running like this reminds me of that incident in Yomi.\That's right, at that time, Tomoe had come to my rescue.\Right now, I'm... helplessly alone.\I want to see you... response:	Tomoe!
context: And you're trying to escape from me with those legs...\Nanami\What is this!?\Running like this reminds me of that incident in Yomi.\That's right, at that time, Tomoe had come to my rescue.\Right now, I'm... helplessly alone.\I want to see you...\Tomoe! response:	You can't run away anymore.
context: Nanami\What is this!?\Running like this reminds me of that incident in Yomi.\That's right, at that time, Tomoe had come to my rescue.\Right now, I'm... helplessly alone.\I want to see you...\Tomoe!\You can't run away anymore. response:	That poison is a numbing drug I created.
context: What is this!?\Running like this reminds me of that incident in Yomi.\That's right, at that time, Tomoe had come to my rescue.\Right now, I'm... helplessly alone.\I want to see you...\Tomoe!\You can't run away anymore.\That poison is a numbing drug I created. response:	First, your legs with rapidly become unmovable and your brain will cease to function in the end.
context: Running like this reminds me of that incident in Yomi.\That's right, at that time, Tomoe had come to my rescue.\Right now, I'm... helplessly alone.\I want to see you...\Tomoe!\You can't run away anymore.\That poison is a numbing drug I created.\First, your legs with rapidly become unmovable and your brain will cease to function in the end. response:	I can't move...
context: That's right, at that time, Tomoe had come to my rescue.\Right now, I'm... helplessly alone.\I want to see you...\Tomoe!\You can't run away anymore.\That poison is a numbing drug I created.\First, your legs with rapidly become unmovable and your brain will cease to function in the end.\I can't move... response:	Am I going to die... without being able to see you... Tomoe?
context: Right now, I'm... helplessly alone.\I want to see you...\Tomoe!\You can't run away anymore.\That poison is a numbing drug I created.\First, your legs with rapidly become unmovable and your brain will cease to function in the end.\I can't move...\Am I going to die... without being able to see you... Tomoe? response:	My bad, Kirakaburi.
context: I want to see you...\Tomoe!\You can't run away anymore.\That poison is a numbing drug I created.\First, your legs with rapidly become unmovable and your brain will cease to function in the end.\I can't move...\Am I going to die... without being able to see you... Tomoe?\My bad, Kirakaburi. response:	She is mine.
context: Tomoe!\You can't run away anymore.\That poison is a numbing drug I created.\First, your legs with rapidly become unmovable and your brain will cease to function in the end.\I can't move...\Am I going to die... without being able to see you... Tomoe?\My bad, Kirakaburi.\She is mine. response:	Tomoe...!
context: You can't run away anymore.\That poison is a numbing drug I created.\First, your legs with rapidly become unmovable and your brain will cease to function in the end.\I can't move...\Am I going to die... without being able to see you... Tomoe?\My bad, Kirakaburi.\She is mine.\Tomoe...! response:	What is the meaning of this, Fox-dono?
context: That poison is a numbing drug I created.\First, your legs with rapidly become unmovable and your brain will cease to function in the end.\I can't move...\Am I going to die... without being able to see you... Tomoe?\My bad, Kirakaburi.\She is mine.\Tomoe...!\What is the meaning of this, Fox-dono? response:	Do you plan to rebel against Akura-ou-sama?
context: First, your legs with rapidly become unmovable and your brain will cease to function in the end.\I can't move...\Am I going to die... without being able to see you... Tomoe?\My bad, Kirakaburi.\She is mine.\Tomoe...!\What is the meaning of this, Fox-dono?\Do you plan to rebel against Akura-ou-sama? response:	I am not his underling.
context: I can't move...\Am I going to die... without being able to see you... Tomoe?\My bad, Kirakaburi.\She is mine.\Tomoe...!\What is the meaning of this, Fox-dono?\Do you plan to rebel against Akura-ou-sama?\I am not his underling. response:	Don't group me with you bastards.
context: Am I going to die... without being able to see you... Tomoe?\My bad, Kirakaburi.\She is mine.\Tomoe...!\What is the meaning of this, Fox-dono?\Do you plan to rebel against Akura-ou-sama?\I am not his underling.\Don't group me with you bastards. response:	Tomoe...
context: My bad, Kirakaburi.\She is mine.\Tomoe...!\What is the meaning of this, Fox-dono?\Do you plan to rebel against Akura-ou-sama?\I am not his underling.\Don't group me with you bastards.\Tomoe... response:	Tomoe...!
context: She is mine.\Tomoe...!\What is the meaning of this, Fox-dono?\Do you plan to rebel against Akura-ou-sama?\I am not his underling.\Don't group me with you bastards.\Tomoe...\Tomoe...! response:	Tomoe...!!
context: Tomoe...!\What is the meaning of this, Fox-dono?\Do you plan to rebel against Akura-ou-sama?\I am not his underling.\Don't group me with you bastards.\Tomoe...\Tomoe...!\Tomoe...!! response:	I finally caught you.
context: What is the meaning of this, Fox-dono?\Do you plan to rebel against Akura-ou-sama?\I am not his underling.\Don't group me with you bastards.\Tomoe...\Tomoe...!\Tomoe...!!\I finally caught you. response:	Now then, how shall I end your life?
context: Do you plan to rebel against Akura-ou-sama?\I am not his underling.\Don't group me with you bastards.\Tomoe...\Tomoe...!\Tomoe...!!\I finally caught you.\Now then, how shall I end your life? response:	Tomoe!
context: I am not his underling.\Don't group me with you bastards.\Tomoe...\Tomoe...!\Tomoe...!!\I finally caught you.\Now then, how shall I end your life?\Tomoe! response:	The one holding me right now, isn't the Tomoe of the present.
context: Don't group me with you bastards.\Tomoe...\Tomoe...!\Tomoe...!!\I finally caught you.\Now then, how shall I end your life?\Tomoe!\The one holding me right now, isn't the Tomoe of the present. response:	It's the terrifying Tomoe of 500 years ago.
context: Tomoe...\Tomoe...!\Tomoe...!!\I finally caught you.\Now then, how shall I end your life?\Tomoe!\The one holding me right now, isn't the Tomoe of the present.\It's the terrifying Tomoe of 500 years ago. response:	But... he has the same smell.
context: Tomoe...!\Tomoe...!!\I finally caught you.\Now then, how shall I end your life?\Tomoe!\The one holding me right now, isn't the Tomoe of the present.\It's the terrifying Tomoe of 500 years ago.\But... he has the same smell. response:	If I could move my hands, I would be able to touch his hair,
context: Tomoe...!!\I finally caught you.\Now then, how shall I end your life?\Tomoe!\The one holding me right now, isn't the Tomoe of the present.\It's the terrifying Tomoe of 500 years ago.\But... he has the same smell.\If I could move my hands, I would be able to touch his hair, response:	feel the heat of his body...
context: I finally caught you.\Now then, how shall I end your life?\Tomoe!\The one holding me right now, isn't the Tomoe of the present.\It's the terrifying Tomoe of 500 years ago.\But... he has the same smell.\If I could move my hands, I would be able to touch his hair,\feel the heat of his body... response:	So you can't move your body due to the poison? How boring.
context: Now then, how shall I end your life?\Tomoe!\The one holding me right now, isn't the Tomoe of the present.\It's the terrifying Tomoe of 500 years ago.\But... he has the same smell.\If I could move my hands, I would be able to touch his hair,\feel the heat of his body...\So you can't move your body due to the poison? How boring. response:	I'm scared!
