context: What's the status on the Demonic Tool, the Morality Manipulation Machine? response:	Mosquito-sama contacted us earlier.
context: Multiplication...!\He's striking the surrounding blades?\Twenty-four Blows!\All twelve swords cut him at the same time.\Black Star!\You've had enough, right?\The wounds are shallow.\You're called Tsubaki, aren't you? response:	Hurry and take that kid away.
context: He's striking the surrounding blades?\Twenty-four Blows!\All twelve swords cut him at the same time.\Black Star!\You've had enough, right?\The wounds are shallow.\You're called Tsubaki, aren't you?\Hurry and take that kid away. response:	Why is a samurai of your caliber on the side of a witch?
context: Twenty-four Blows!\All twelve swords cut him at the same time.\Black Star!\You've had enough, right?\The wounds are shallow.\You're called Tsubaki, aren't you?\Hurry and take that kid away.\Why is a samurai of your caliber on the side of a witch? response:	Dammit! Holding back again...
context: All twelve swords cut him at the same time.\Black Star!\You've had enough, right?\The wounds are shallow.\You're called Tsubaki, aren't you?\Hurry and take that kid away.\Why is a samurai of your caliber on the side of a witch?\Dammit! Holding back again... response:	Why did you come here?
context: Black Star!\You've had enough, right?\The wounds are shallow.\You're called Tsubaki, aren't you?\Hurry and take that kid away.\Why is a samurai of your caliber on the side of a witch?\Dammit! Holding back again...\Why did you come here? response:	Was it because of the witch's laboratory?
context: You've had enough, right?\The wounds are shallow.\You're called Tsubaki, aren't you?\Hurry and take that kid away.\Why is a samurai of your caliber on the side of a witch?\Dammit! Holding back again...\Why did you come here?\Was it because of the witch's laboratory? response:	A friend of ours is suffering due to the witch's curse...
context: The wounds are shallow.\You're called Tsubaki, aren't you?\Hurry and take that kid away.\Why is a samurai of your caliber on the side of a witch?\Dammit! Holding back again...\Why did you come here?\Was it because of the witch's laboratory?\A friend of ours is suffering due to the witch's curse... response:	It's vengeance for that.
context: You're called Tsubaki, aren't you?\Hurry and take that kid away.\Why is a samurai of your caliber on the side of a witch?\Dammit! Holding back again...\Why did you come here?\Was it because of the witch's laboratory?\A friend of ours is suffering due to the witch's curse...\It's vengeance for that. response:	I'm going to avenge Maka.
context: Hurry and take that kid away.\Why is a samurai of your caliber on the side of a witch?\Dammit! Holding back again...\Why did you come here?\Was it because of the witch's laboratory?\A friend of ours is suffering due to the witch's curse...\It's vengeance for that.\I'm going to avenge Maka. response:	Anyone who touches my comrades...
context: Why is a samurai of your caliber on the side of a witch?\Dammit! Holding back again...\Why did you come here?\Was it because of the witch's laboratory?\A friend of ours is suffering due to the witch's curse...\It's vengeance for that.\I'm going to avenge Maka.\Anyone who touches my comrades... response:	Is that so? Sorry about that.
context: Dammit! Holding back again...\Why did you come here?\Was it because of the witch's laboratory?\A friend of ours is suffering due to the witch's curse...\It's vengeance for that.\I'm going to avenge Maka.\Anyone who touches my comrades...\Is that so? Sorry about that. response:	There's no need for you to apologize.
context: Why did you come here?\Was it because of the witch's laboratory?\A friend of ours is suffering due to the witch's curse...\It's vengeance for that.\I'm going to avenge Maka.\Anyone who touches my comrades...\Is that so? Sorry about that.\There's no need for you to apologize. response:	You're a kind person.
context: Was it because of the witch's laboratory?\A friend of ours is suffering due to the witch's curse...\It's vengeance for that.\I'm going to avenge Maka.\Anyone who touches my comrades...\Is that so? Sorry about that.\There's no need for you to apologize.\You're a kind person. response:	Drawing your blade for such an organization is no good!
context: A friend of ours is suffering due to the witch's curse...\It's vengeance for that.\I'm going to avenge Maka.\Anyone who touches my comrades...\Is that so? Sorry about that.\There's no need for you to apologize.\You're a kind person.\Drawing your blade for such an organization is no good! response:	If someone like you, who knows martial arts and loves children, could become a role model to Shibusen students...
context: It's vengeance for that.\I'm going to avenge Maka.\Anyone who touches my comrades...\Is that so? Sorry about that.\There's no need for you to apologize.\You're a kind person.\Drawing your blade for such an organization is no good!\If someone like you, who knows martial arts and loves children, could become a role model to Shibusen students... response:	If you could become a teacher...
context: I'm going to avenge Maka.\Anyone who touches my comrades...\Is that so? Sorry about that.\There's no need for you to apologize.\You're a kind person.\Drawing your blade for such an organization is no good!\If someone like you, who knows martial arts and loves children, could become a role model to Shibusen students...\If you could become a teacher... response:	What? Me, a teacher, you say?
context: Anyone who touches my comrades...\Is that so? Sorry about that.\There's no need for you to apologize.\You're a kind person.\Drawing your blade for such an organization is no good!\If someone like you, who knows martial arts and loves children, could become a role model to Shibusen students...\If you could become a teacher...\What? Me, a teacher, you say? response:	Mifune-sensei!
context: Is that so? Sorry about that.\There's no need for you to apologize.\You're a kind person.\Drawing your blade for such an organization is no good!\If someone like you, who knows martial arts and loves children, could become a role model to Shibusen students...\If you could become a teacher...\What? Me, a teacher, you say?\Mifune-sensei! response:	Mifune-sensei!
context: There's no need for you to apologize.\You're a kind person.\Drawing your blade for such an organization is no good!\If someone like you, who knows martial arts and loves children, could become a role model to Shibusen students...\If you could become a teacher...\What? Me, a teacher, you say?\Mifune-sensei!\Mifune-sensei! response:	D-Don't say such silly things.
context: You're a kind person.\Drawing your blade for such an organization is no good!\If someone like you, who knows martial arts and loves children, could become a role model to Shibusen students...\If you could become a teacher...\What? Me, a teacher, you say?\Mifune-sensei!\Mifune-sensei!\D-Don't say such silly things. response:	It's an impossible request.
context: Drawing your blade for such an organization is no good!\If someone like you, who knows martial arts and loves children, could become a role model to Shibusen students...\If you could become a teacher...\What? Me, a teacher, you say?\Mifune-sensei!\Mifune-sensei!\D-Don't say such silly things.\It's an impossible request. response:	Witches are Shibusen's enemy.
context: If someone like you, who knows martial arts and loves children, could become a role model to Shibusen students...\If you could become a teacher...\What? Me, a teacher, you say?\Mifune-sensei!\Mifune-sensei!\D-Don't say such silly things.\It's an impossible request.\Witches are Shibusen's enemy. response:	There's no way I could take An with me.
context: If you could become a teacher...\What? Me, a teacher, you say?\Mifune-sensei!\Mifune-sensei!\D-Don't say such silly things.\It's an impossible request.\Witches are Shibusen's enemy.\There's no way I could take An with me. response:	Who would protect Angela?
context: What? Me, a teacher, you say?\Mifune-sensei!\Mifune-sensei!\D-Don't say such silly things.\It's an impossible request.\Witches are Shibusen's enemy.\There's no way I could take An with me.\Who would protect Angela? response:	Boss, is that him?
context: Mifune-sensei!\Mifune-sensei!\D-Don't say such silly things.\It's an impossible request.\Witches are Shibusen's enemy.\There's no way I could take An with me.\Who would protect Angela?\Boss, is that him? response:	Yeah, he's the new bodyguard.
context: Mifune-sensei!\D-Don't say such silly things.\It's an impossible request.\Witches are Shibusen's enemy.\There's no way I could take An with me.\Who would protect Angela?\Boss, is that him?\Yeah, he's the new bodyguard. response:	If I have Mifune, this city is as good as mine.
context: D-Don't say such silly things.\It's an impossible request.\Witches are Shibusen's enemy.\There's no way I could take An with me.\Who would protect Angela?\Boss, is that him?\Yeah, he's the new bodyguard.\If I have Mifune, this city is as good as mine. response:	Hey, Mr. Samurai...
context: It's an impossible request.\Witches are Shibusen's enemy.\There's no way I could take An with me.\Who would protect Angela?\Boss, is that him?\Yeah, he's the new bodyguard.\If I have Mifune, this city is as good as mine.\Hey, Mr. Samurai... response:	Is that a Japanese sword? Can I touch it?
context: Witches are Shibusen's enemy.\There's no way I could take An with me.\Who would protect Angela?\Boss, is that him?\Yeah, he's the new bodyguard.\If I have Mifune, this city is as good as mine.\Hey, Mr. Samurai...\Is that a Japanese sword? Can I touch it? response:	Now, now, little master...
context: There's no way I could take An with me.\Who would protect Angela?\Boss, is that him?\Yeah, he's the new bodyguard.\If I have Mifune, this city is as good as mine.\Hey, Mr. Samurai...\Is that a Japanese sword? Can I touch it?\Now, now, little master... response:	It's alright.
context: Who would protect Angela?\Boss, is that him?\Yeah, he's the new bodyguard.\If I have Mifune, this city is as good as mine.\Hey, Mr. Samurai...\Is that a Japanese sword? Can I touch it?\Now, now, little master...\It's alright. response:	Swords are dangerous. Give it up.
context: Boss, is that him?\Yeah, he's the new bodyguard.\If I have Mifune, this city is as good as mine.\Hey, Mr. Samurai...\Is that a Japanese sword? Can I touch it?\Now, now, little master...\It's alright.\Swords are dangerous. Give it up. response:	To make up for it,
context: Yeah, he's the new bodyguard.\If I have Mifune, this city is as good as mine.\Hey, Mr. Samurai...\Is that a Japanese sword? Can I touch it?\Now, now, little master...\It's alright.\Swords are dangerous. Give it up.\To make up for it, response:	Mr. Samurai, do you like candy?
context: If I have Mifune, this city is as good as mine.\Hey, Mr. Samurai...\Is that a Japanese sword? Can I touch it?\Now, now, little master...\It's alright.\Swords are dangerous. Give it up.\To make up for it,\Mr. Samurai, do you like candy? response:	I don't eat any.
context: Hey, Mr. Samurai...\Is that a Japanese sword? Can I touch it?\Now, now, little master...\It's alright.\Swords are dangerous. Give it up.\To make up for it,\Mr. Samurai, do you like candy?\I don't eat any. response:	Why do you have them, then?
context: Is that a Japanese sword? Can I touch it?\Now, now, little master...\It's alright.\Swords are dangerous. Give it up.\To make up for it,\Mr. Samurai, do you like candy?\I don't eat any.\Why do you have them, then? response:	Do you like candy?
context: Now, now, little master...\It's alright.\Swords are dangerous. Give it up.\To make up for it,\Mr. Samurai, do you like candy?\I don't eat any.\Why do you have them, then?\Do you like candy? response:	Yeah, I do.
context: It's alright.\Swords are dangerous. Give it up.\To make up for it,\Mr. Samurai, do you like candy?\I don't eat any.\Why do you have them, then?\Do you like candy?\Yeah, I do. response:	That's why I have some.
context: Swords are dangerous. Give it up.\To make up for it,\Mr. Samurai, do you like candy?\I don't eat any.\Why do you have them, then?\Do you like candy?\Yeah, I do.\That's why I have some. response:	Mifune, first off, there's something I want you to do for me...
context: To make up for it,\Mr. Samurai, do you like candy?\I don't eat any.\Why do you have them, then?\Do you like candy?\Yeah, I do.\That's why I have some.\Mifune, first off, there's something I want you to do for me... response:	An enemy of our Family got a hold of a witch...
context: Mr. Samurai, do you like candy?\I don't eat any.\Why do you have them, then?\Do you like candy?\Yeah, I do.\That's why I have some.\Mifune, first off, there's something I want you to do for me...\An enemy of our Family got a hold of a witch... response:	I want you to capture that witch...
context: I don't eat any.\Why do you have them, then?\Do you like candy?\Yeah, I do.\That's why I have some.\Mifune, first off, there's something I want you to do for me...\An enemy of our Family got a hold of a witch...\I want you to capture that witch... response:	You're targeting An too, right?
context: Why do you have them, then?\Do you like candy?\Yeah, I do.\That's why I have some.\Mifune, first off, there's something I want you to do for me...\An enemy of our Family got a hold of a witch...\I want you to capture that witch...\You're targeting An too, right? response:	Everyone is always targeting An...
context: Do you like candy?\Yeah, I do.\That's why I have some.\Mifune, first off, there's something I want you to do for me...\An enemy of our Family got a hold of a witch...\I want you to capture that witch...\You're targeting An too, right?\Everyone is always targeting An... response:	There are always murderers around An...
context: Yeah, I do.\That's why I have some.\Mifune, first off, there's something I want you to do for me...\An enemy of our Family got a hold of a witch...\I want you to capture that witch...\You're targeting An too, right?\Everyone is always targeting An...\There are always murderers around An... response:	This child is...
context: That's why I have some.\Mifune, first off, there's something I want you to do for me...\An enemy of our Family got a hold of a witch...\I want you to capture that witch...\You're targeting An too, right?\Everyone is always targeting An...\There are always murderers around An...\This child is... response:	Where did that traitor go?
context: Mifune, first off, there's something I want you to do for me...\An enemy of our Family got a hold of a witch...\I want you to capture that witch...\You're targeting An too, right?\Everyone is always targeting An...\There are always murderers around An...\This child is...\Where did that traitor go? response:	What a bad joke...
context: An enemy of our Family got a hold of a witch...\I want you to capture that witch...\You're targeting An too, right?\Everyone is always targeting An...\There are always murderers around An...\This child is...\Where did that traitor go?\What a bad joke... response:	If we had killed that witch, we'd have had money for a lifetime.
context: I want you to capture that witch...\You're targeting An too, right?\Everyone is always targeting An...\There are always murderers around An...\This child is...\Where did that traitor go?\What a bad joke...\If we had killed that witch, we'd have had money for a lifetime. response:	It's alright now. Relax.
context: You're targeting An too, right?\Everyone is always targeting An...\There are always murderers around An...\This child is...\Where did that traitor go?\What a bad joke...\If we had killed that witch, we'd have had money for a lifetime.\It's alright now. Relax. response:	Candy?
context: Everyone is always targeting An...\There are always murderers around An...\This child is...\Where did that traitor go?\What a bad joke...\If we had killed that witch, we'd have had money for a lifetime.\It's alright now. Relax.\Candy? response:	Do you like it? I'll give some to you.
context: There are always murderers around An...\This child is...\Where did that traitor go?\What a bad joke...\If we had killed that witch, we'd have had money for a lifetime.\It's alright now. Relax.\Candy?\Do you like it? I'll give some to you. response:	Do you like it? I'll give some to you.
context: This child is...\Where did that traitor go?\What a bad joke...\If we had killed that witch, we'd have had money for a lifetime.\It's alright now. Relax.\Candy?\Do you like it? I'll give some to you.\Do you like it? I'll give some to you. response:	What's wrong, Mifune? Hurry up and give him the finishing blow!
context: Where did that traitor go?\What a bad joke...\If we had killed that witch, we'd have had money for a lifetime.\It's alright now. Relax.\Candy?\Do you like it? I'll give some to you.\Do you like it? I'll give some to you.\What's wrong, Mifune? Hurry up and give him the finishing blow! response:	The duel has already been decided.
context: What a bad joke...\If we had killed that witch, we'd have had money for a lifetime.\It's alright now. Relax.\Candy?\Do you like it? I'll give some to you.\Do you like it? I'll give some to you.\What's wrong, Mifune? Hurry up and give him the finishing blow!\The duel has already been decided. response:	Shibusen is our greatest enemy.
context: If we had killed that witch, we'd have had money for a lifetime.\It's alright now. Relax.\Candy?\Do you like it? I'll give some to you.\Do you like it? I'll give some to you.\What's wrong, Mifune? Hurry up and give him the finishing blow!\The duel has already been decided.\Shibusen is our greatest enemy. response:	There's no reason to let them live.
context: It's alright now. Relax.\Candy?\Do you like it? I'll give some to you.\Do you like it? I'll give some to you.\What's wrong, Mifune? Hurry up and give him the finishing blow!\The duel has already been decided.\Shibusen is our greatest enemy.\There's no reason to let them live. response:	If you won't kill them, you can consider Angela-sama's protection as good as gone.
context: Candy?\Do you like it? I'll give some to you.\Do you like it? I'll give some to you.\What's wrong, Mifune? Hurry up and give him the finishing blow!\The duel has already been decided.\Shibusen is our greatest enemy.\There's no reason to let them live.\If you won't kill them, you can consider Angela-sama's protection as good as gone. response:	Angela...
context: Do you like it? I'll give some to you.\Do you like it? I'll give some to you.\What's wrong, Mifune? Hurry up and give him the finishing blow!\The duel has already been decided.\Shibusen is our greatest enemy.\There's no reason to let them live.\If you won't kill them, you can consider Angela-sama's protection as good as gone.\Angela... response:	It's not over yet!
context: Do you like it? I'll give some to you.\What's wrong, Mifune? Hurry up and give him the finishing blow!\The duel has already been decided.\Shibusen is our greatest enemy.\There's no reason to let them live.\If you won't kill them, you can consider Angela-sama's protection as good as gone.\Angela...\It's not over yet! response:	You can't, Black Star!
context: What's wrong, Mifune? Hurry up and give him the finishing blow!\The duel has already been decided.\Shibusen is our greatest enemy.\There's no reason to let them live.\If you won't kill them, you can consider Angela-sama's protection as good as gone.\Angela...\It's not over yet!\You can't, Black Star! response:	Stop it, Mifune-san!
context: The duel has already been decided.\Shibusen is our greatest enemy.\There's no reason to let them live.\If you won't kill them, you can consider Angela-sama's protection as good as gone.\Angela...\It's not over yet!\You can't, Black Star!\Stop it, Mifune-san! response:	In a society built for humans, there's no rest for An...
context: Shibusen is our greatest enemy.\There's no reason to let them live.\If you won't kill them, you can consider Angela-sama's protection as good as gone.\Angela...\It's not over yet!\You can't, Black Star!\Stop it, Mifune-san!\In a society built for humans, there's no rest for An... response:	Arachnophobia's protection is needed, no matter what.
context: There's no reason to let them live.\If you won't kill them, you can consider Angela-sama's protection as good as gone.\Angela...\It's not over yet!\You can't, Black Star!\Stop it, Mifune-san!\In a society built for humans, there's no rest for An...\Arachnophobia's protection is needed, no matter what. response:	I'm sorry.
context: If you won't kill them, you can consider Angela-sama's protection as good as gone.\Angela...\It's not over yet!\You can't, Black Star!\Stop it, Mifune-san!\In a society built for humans, there's no rest for An...\Arachnophobia's protection is needed, no matter what.\I'm sorry. response:	Grandpa Mos!
context: Angela...\It's not over yet!\You can't, Black Star!\Stop it, Mifune-san!\In a society built for humans, there's no rest for An...\Arachnophobia's protection is needed, no matter what.\I'm sorry.\Grandpa Mos! response:	A sniper? From where?!
context: It's not over yet!\You can't, Black Star!\Stop it, Mifune-san!\In a society built for humans, there's no rest for An...\Arachnophobia's protection is needed, no matter what.\I'm sorry.\Grandpa Mos!\A sniper? From where?! response:	Mosquito-sama, there are bombs everywhere!
context: You can't, Black Star!\Stop it, Mifune-san!\In a society built for humans, there's no rest for An...\Arachnophobia's protection is needed, no matter what.\I'm sorry.\Grandpa Mos!\A sniper? From where?!\Mosquito-sama, there are bombs everywhere! response:	Let's evacuate before the explosions reach here!
context: Stop it, Mifune-san!\In a society built for humans, there's no rest for An...\Arachnophobia's protection is needed, no matter what.\I'm sorry.\Grandpa Mos!\A sniper? From where?!\Mosquito-sama, there are bombs everywhere!\Let's evacuate before the explosions reach here! response:	Blood... I need blood.
context: In a society built for humans, there's no rest for An...\Arachnophobia's protection is needed, no matter what.\I'm sorry.\Grandpa Mos!\A sniper? From where?!\Mosquito-sama, there are bombs everywhere!\Let's evacuate before the explosions reach here!\Blood... I need blood. response:	Angela-sama, this way.
context: Arachnophobia's protection is needed, no matter what.\I'm sorry.\Grandpa Mos!\A sniper? From where?!\Mosquito-sama, there are bombs everywhere!\Let's evacuate before the explosions reach here!\Blood... I need blood.\Angela-sama, this way. response:	He deflected the second shot?
context: I'm sorry.\Grandpa Mos!\A sniper? From where?!\Mosquito-sama, there are bombs everywhere!\Let's evacuate before the explosions reach here!\Blood... I need blood.\Angela-sama, this way.\He deflected the second shot? response:	The rampaging student was him, of course.
context: Grandpa Mos!\A sniper? From where?!\Mosquito-sama, there are bombs everywhere!\Let's evacuate before the explosions reach here!\Blood... I need blood.\Angela-sama, this way.\He deflected the second shot?\The rampaging student was him, of course. response:	We should have noticed it because of Black Star's battle style.
context: A sniper? From where?!\Mosquito-sama, there are bombs everywhere!\Let's evacuate before the explosions reach here!\Blood... I need blood.\Angela-sama, this way.\He deflected the second shot?\The rampaging student was him, of course.\We should have noticed it because of Black Star's battle style. response:	Sniping with pinpoint accuracy from five kilometers away...
context: Mosquito-sama, there are bombs everywhere!\Let's evacuate before the explosions reach here!\Blood... I need blood.\Angela-sama, this way.\He deflected the second shot?\The rampaging student was him, of course.\We should have noticed it because of Black Star's battle style.\Sniping with pinpoint accuracy from five kilometers away... response:	That's Azusa for you.
context: Let's evacuate before the explosions reach here!\Blood... I need blood.\Angela-sama, this way.\He deflected the second shot?\The rampaging student was him, of course.\We should have noticed it because of Black Star's battle style.\Sniping with pinpoint accuracy from five kilometers away...\That's Azusa for you. response:	My error margin is below one millimeter from ten kilometers away.
context: Blood... I need blood.\Angela-sama, this way.\He deflected the second shot?\The rampaging student was him, of course.\We should have noticed it because of Black Star's battle style.\Sniping with pinpoint accuracy from five kilometers away...\That's Azusa for you.\My error margin is below one millimeter from ten kilometers away. response:	However, that samurai immediately detected our presence here and entered a blind spot.
context: Angela-sama, this way.\He deflected the second shot?\The rampaging student was him, of course.\We should have noticed it because of Black Star's battle style.\Sniping with pinpoint accuracy from five kilometers away...\That's Azusa for you.\My error margin is below one millimeter from ten kilometers away.\However, that samurai immediately detected our presence here and entered a blind spot. response:	As I thought, he's not an ordinary person.
context: He deflected the second shot?\The rampaging student was him, of course.\We should have noticed it because of Black Star's battle style.\Sniping with pinpoint accuracy from five kilometers away...\That's Azusa for you.\My error margin is below one millimeter from ten kilometers away.\However, that samurai immediately detected our presence here and entered a blind spot.\As I thought, he's not an ordinary person. response:	Hold it!
context: The rampaging student was him, of course.\We should have noticed it because of Black Star's battle style.\Sniping with pinpoint accuracy from five kilometers away...\That's Azusa for you.\My error margin is below one millimeter from ten kilometers away.\However, that samurai immediately detected our presence here and entered a blind spot.\As I thought, he's not an ordinary person.\Hold it! response:	Let's finish this.
context: We should have noticed it because of Black Star's battle style.\Sniping with pinpoint accuracy from five kilometers away...\That's Azusa for you.\My error margin is below one millimeter from ten kilometers away.\However, that samurai immediately detected our presence here and entered a blind spot.\As I thought, he's not an ordinary person.\Hold it!\Let's finish this. response:	Don't be impatient.
context: Sniping with pinpoint accuracy from five kilometers away...\That's Azusa for you.\My error margin is below one millimeter from ten kilometers away.\However, that samurai immediately detected our presence here and entered a blind spot.\As I thought, he's not an ordinary person.\Hold it!\Let's finish this.\Don't be impatient. response:	You're strong.
context: That's Azusa for you.\My error margin is below one millimeter from ten kilometers away.\However, that samurai immediately detected our presence here and entered a blind spot.\As I thought, he's not an ordinary person.\Hold it!\Let's finish this.\Don't be impatient.\You're strong. response:	As such, just aim forward and proceed.
context: My error margin is below one millimeter from ten kilometers away.\However, that samurai immediately detected our presence here and entered a blind spot.\As I thought, he's not an ordinary person.\Hold it!\Let's finish this.\Don't be impatient.\You're strong.\As such, just aim forward and proceed. response:	Also, understand the other entity inside Tsubaki.
context: However, that samurai immediately detected our presence here and entered a blind spot.\As I thought, he's not an ordinary person.\Hold it!\Let's finish this.\Don't be impatient.\You're strong.\As such, just aim forward and proceed.\Also, understand the other entity inside Tsubaki. response:	Do so, and the Demon Blade will respond to you.
context: As I thought, he's not an ordinary person.\Hold it!\Let's finish this.\Don't be impatient.\You're strong.\As such, just aim forward and proceed.\Also, understand the other entity inside Tsubaki.\Do so, and the Demon Blade will respond to you. response:	I'm not one to make a fuss over a sword, but...
context: Hold it!\Let's finish this.\Don't be impatient.\You're strong.\As such, just aim forward and proceed.\Also, understand the other entity inside Tsubaki.\Do so, and the Demon Blade will respond to you.\I'm not one to make a fuss over a sword, but... response:	Of course!
context: Let's finish this.\Don't be impatient.\You're strong.\As such, just aim forward and proceed.\Also, understand the other entity inside Tsubaki.\Do so, and the Demon Blade will respond to you.\I'm not one to make a fuss over a sword, but...\Of course! response:	To your friend that's suffering from the curse...
context: Don't be impatient.\You're strong.\As such, just aim forward and proceed.\Also, understand the other entity inside Tsubaki.\Do so, and the Demon Blade will respond to you.\I'm not one to make a fuss over a sword, but...\Of course!\To your friend that's suffering from the curse... response:	Give this to that person on my behalf.
context: You're strong.\As such, just aim forward and proceed.\Also, understand the other entity inside Tsubaki.\Do so, and the Demon Blade will respond to you.\I'm not one to make a fuss over a sword, but...\Of course!\To your friend that's suffering from the curse...\Give this to that person on my behalf. response:	Then, I'm going home, but...
context: As such, just aim forward and proceed.\Also, understand the other entity inside Tsubaki.\Do so, and the Demon Blade will respond to you.\I'm not one to make a fuss over a sword, but...\Of course!\To your friend that's suffering from the curse...\Give this to that person on my behalf.\Then, I'm going home, but... response:	You'll be fine, right?
context: Also, understand the other entity inside Tsubaki.\Do so, and the Demon Blade will respond to you.\I'm not one to make a fuss over a sword, but...\Of course!\To your friend that's suffering from the curse...\Give this to that person on my behalf.\Then, I'm going home, but...\You'll be fine, right? response:	Yeah, thanks.
context: Do so, and the Demon Blade will respond to you.\I'm not one to make a fuss over a sword, but...\Of course!\To your friend that's suffering from the curse...\Give this to that person on my behalf.\Then, I'm going home, but...\You'll be fine, right?\Yeah, thanks. response:	Yo, may I?
context: I'm not one to make a fuss over a sword, but...\Of course!\To your friend that's suffering from the curse...\Give this to that person on my behalf.\Then, I'm going home, but...\You'll be fine, right?\Yeah, thanks.\Yo, may I? response:	What? Are you up to something again?
context: Of course!\To your friend that's suffering from the curse...\Give this to that person on my behalf.\Then, I'm going home, but...\You'll be fine, right?\Yeah, thanks.\Yo, may I?\What? Are you up to something again? response:	Here...
context: To your friend that's suffering from the curse...\Give this to that person on my behalf.\Then, I'm going home, but...\You'll be fine, right?\Yeah, thanks.\Yo, may I?\What? Are you up to something again?\Here... response:	What's this?
context: Give this to that person on my behalf.\Then, I'm going home, but...\You'll be fine, right?\Yeah, thanks.\Yo, may I?\What? Are you up to something again?\Here...\What's this? response:	It's from some naIve samurai from who knows where...
context: Then, I'm going home, but...\You'll be fine, right?\Yeah, thanks.\Yo, may I?\What? Are you up to something again?\Here...\What's this?\It's from some naIve samurai from who knows where... response:	It's just candy, though.
context: You'll be fine, right?\Yeah, thanks.\Yo, may I?\What? Are you up to something again?\Here...\What's this?\It's from some naIve samurai from who knows where...\It's just candy, though. response:	What was that? He didn't really say anything at all.
context: Yeah, thanks.\Yo, may I?\What? Are you up to something again?\Here...\What's this?\It's from some naIve samurai from who knows where...\It's just candy, though.\What was that? He didn't really say anything at all. response:	Beats me...
context: Yo, may I?\What? Are you up to something again?\Here...\What's this?\It's from some naIve samurai from who knows where...\It's just candy, though.\What was that? He didn't really say anything at all.\Beats me... response:	After going all out on my attack, I end up giving gifts for him.
context: What? Are you up to something again?\Here...\What's this?\It's from some naIve samurai from who knows where...\It's just candy, though.\What was that? He didn't really say anything at all.\Beats me...\After going all out on my attack, I end up giving gifts for him. response:	Who does he think I am?
context: Here...\What's this?\It's from some naIve samurai from who knows where...\It's just candy, though.\What was that? He didn't really say anything at all.\Beats me...\After going all out on my attack, I end up giving gifts for him.\Who does he think I am? response:	What's with this candy? He said it was sweet...
context: What's this?\It's from some naIve samurai from who knows where...\It's just candy, though.\What was that? He didn't really say anything at all.\Beats me...\After going all out on my attack, I end up giving gifts for him.\Who does he think I am?\What's with this candy? He said it was sweet... response:	It's seaweed-flavored, though.
context: It's from some naIve samurai from who knows where...\It's just candy, though.\What was that? He didn't really say anything at all.\Beats me...\After going all out on my attack, I end up giving gifts for him.\Who does he think I am?\What's with this candy? He said it was sweet...\It's seaweed-flavored, though. response:	It must be salty.
