context: Exams suck! response:	I'm so sick of this.
context: Oh, yeah.\He's going to be in the hayashi.\Oh, yeah.\All right, I'll message everyone on LINE later.\Okay.\Where should we go?\This is unusual.\Huh? response:	You, inviting everyone to go together.
context: He's going to be in the hayashi.\Oh, yeah.\All right, I'll message everyone on LINE later.\Okay.\Where should we go?\This is unusual.\Huh?\You, inviting everyone to go together. response:	I'm the club captain, after all.
context: Oh, yeah.\All right, I'll message everyone on LINE later.\Okay.\Where should we go?\This is unusual.\Huh?\You, inviting everyone to go together.\I'm the club captain, after all. response:	Yeah.
context: All right, I'll message everyone on LINE later.\Okay.\Where should we go?\This is unusual.\Huh?\You, inviting everyone to go together.\I'm the club captain, after all.\Yeah. response:	Hey, Hira...
context: Okay.\Where should we go?\This is unusual.\Huh?\You, inviting everyone to go together.\I'm the club captain, after all.\Yeah.\Hey, Hira... response:	Have you not given up?
context: Where should we go?\This is unusual.\Huh?\You, inviting everyone to go together.\I'm the club captain, after all.\Yeah.\Hey, Hira...\Have you not given up? response:	On what?
context: This is unusual.\Huh?\You, inviting everyone to go together.\I'm the club captain, after all.\Yeah.\Hey, Hira...\Have you not given up?\On what? response:	I haven't even taken a shot yet.
context: Huh?\You, inviting everyone to go together.\I'm the club captain, after all.\Yeah.\Hey, Hira...\Have you not given up?\On what?\I haven't even taken a shot yet. response:	I don't blame you.
context: You, inviting everyone to go together.\I'm the club captain, after all.\Yeah.\Hey, Hira...\Have you not given up?\On what?\I haven't even taken a shot yet.\I don't blame you. response:	You can't change how you feel.
context: I'm the club captain, after all.\Yeah.\Hey, Hira...\Have you not given up?\On what?\I haven't even taken a shot yet.\I don't blame you.\You can't change how you feel. response:	Can I come in?
context: Yeah.\Hey, Hira...\Have you not given up?\On what?\I haven't even taken a shot yet.\I don't blame you.\You can't change how you feel.\Can I come in? response:	Yeah.
context: Hey, Hira...\Have you not given up?\On what?\I haven't even taken a shot yet.\I don't blame you.\You can't change how you feel.\Can I come in?\Yeah. response:	Listen,
context: Have you not given up?\On what?\I haven't even taken a shot yet.\I don't blame you.\You can't change how you feel.\Can I come in?\Yeah.\Listen, response:	about high school...
context: On what?\I haven't even taken a shot yet.\I don't blame you.\You can't change how you feel.\Can I come in?\Yeah.\Listen,\about high school... response:	You don't have to get into a good school.
context: I haven't even taken a shot yet.\I don't blame you.\You can't change how you feel.\Can I come in?\Yeah.\Listen,\about high school...\You don't have to get into a good school. response:	Go wherever you need to go to do what you love.
context: I don't blame you.\You can't change how you feel.\Can I come in?\Yeah.\Listen,\about high school...\You don't have to get into a good school.\Go wherever you need to go to do what you love. response:	Take it easy.
context: You can't change how you feel.\Can I come in?\Yeah.\Listen,\about high school...\You don't have to get into a good school.\Go wherever you need to go to do what you love.\Take it easy. response:	Well, goodnight.
context: Can I come in?\Yeah.\Listen,\about high school...\You don't have to get into a good school.\Go wherever you need to go to do what you love.\Take it easy.\Well, goodnight. response:	Koumei High School
context: Yeah.\Listen,\about high school...\You don't have to get into a good school.\Go wherever you need to go to do what you love.\Take it easy.\Well, goodnight.\Koumei High School response:	Azumi-kun: Are you awake?
context: Listen,\about high school...\You don't have to get into a good school.\Go wherever you need to go to do what you love.\Take it easy.\Well, goodnight.\Koumei High School\Azumi-kun: Are you awake? response:	Are you awake?
context: about high school...\You don't have to get into a good school.\Go wherever you need to go to do what you love.\Take it easy.\Well, goodnight.\Koumei High School\Azumi-kun: Are you awake?\Are you awake? response:	Yeah
context: You don't have to get into a good school.\Go wherever you need to go to do what you love.\Take it easy.\Well, goodnight.\Koumei High School\Azumi-kun: Are you awake?\Are you awake?\Yeah response:	There's something I need to apologize for...
context: Go wherever you need to go to do what you love.\Take it easy.\Well, goodnight.\Koumei High School\Azumi-kun: Are you awake?\Are you awake?\Yeah\There's something I need to apologize for... response:	Huh? What?
context: Take it easy.\Well, goodnight.\Koumei High School\Azumi-kun: Are you awake?\Are you awake?\Yeah\There's something I need to apologize for...\Huh? What? response:	I went to watch the track meet
context: Well, goodnight.\Koumei High School\Azumi-kun: Are you awake?\Are you awake?\Yeah\There's something I need to apologize for...\Huh? What?\I went to watch the track meet response:	No!
context: Koumei High School\Azumi-kun: Are you awake?\Are you awake?\Yeah\There's something I need to apologize for...\Huh? What?\I went to watch the track meet\No! response:	No what?
context: Azumi-kun: Are you awake?\Are you awake?\Yeah\There's something I need to apologize for...\Huh? What?\I went to watch the track meet\No!\No what? response:	Uh, nothing.
context: Are you awake?\Yeah\There's something I need to apologize for...\Huh? What?\I went to watch the track meet\No!\No what?\Uh, nothing. response:	Sorry I didn't tell you
context: Yeah\There's something I need to apologize for...\Huh? What?\I went to watch the track meet\No!\No what?\Uh, nothing.\Sorry I didn't tell you response:	Nah
context: There's something I need to apologize for...\Huh? What?\I went to watch the track meet\No!\No what?\Uh, nothing.\Sorry I didn't tell you\Nah response:	That's a surprise though
context: Huh? What?\I went to watch the track meet\No!\No what?\Uh, nothing.\Sorry I didn't tell you\Nah\That's a surprise though response:	You were awesome
context: I went to watch the track meet\No!\No what?\Uh, nothing.\Sorry I didn't tell you\Nah\That's a surprise though\You were awesome response:	Actually
context: No!\No what?\Uh, nothing.\Sorry I didn't tell you\Nah\That's a surprise though\You were awesome\Actually response:	There's something I need to tell you, too
context: No what?\Uh, nothing.\Sorry I didn't tell you\Nah\That's a surprise though\You were awesome\Actually\There's something I need to tell you, too response:	Huh? What?
context: Uh, nothing.\Sorry I didn't tell you\Nah\That's a surprise though\You were awesome\Actually\There's something I need to tell you, too\Huh? What? response:	I might be moving to Chiba
context: Sorry I didn't tell you\Nah\That's a surprise though\You were awesome\Actually\There's something I need to tell you, too\Huh? What?\I might be moving to Chiba response:	The Wind Rises
context: Nah\That's a surprise though\You were awesome\Actually\There's something I need to tell you, too\Huh? What?\I might be moving to Chiba\The Wind Rises response:	Ayane's Boyfriend 2
context: That's a surprise though\You were awesome\Actually\There's something I need to tell you, too\Huh? What?\I might be moving to Chiba\The Wind Rises\Ayane's Boyfriend 2 response:	You should go out with a guy with high specs.
context: You were awesome\Actually\There's something I need to tell you, too\Huh? What?\I might be moving to Chiba\The Wind Rises\Ayane's Boyfriend 2\You should go out with a guy with high specs. response:	Smart, kind, good-looking, rich, and...
context: Actually\There's something I need to tell you, too\Huh? What?\I might be moving to Chiba\The Wind Rises\Ayane's Boyfriend 2\You should go out with a guy with high specs.\Smart, kind, good-looking, rich, and... response:	Truck coming through!
context: There's something I need to tell you, too\Huh? What?\I might be moving to Chiba\The Wind Rises\Ayane's Boyfriend 2\You should go out with a guy with high specs.\Smart, kind, good-looking, rich, and...\Truck coming through! response:	Sorry for the inconvenience.
context: Huh? What?\I might be moving to Chiba\The Wind Rises\Ayane's Boyfriend 2\You should go out with a guy with high specs.\Smart, kind, good-looking, rich, and...\Truck coming through!\Sorry for the inconvenience. response:	Pardon.
context: I might be moving to Chiba\The Wind Rises\Ayane's Boyfriend 2\You should go out with a guy with high specs.\Smart, kind, good-looking, rich, and...\Truck coming through!\Sorry for the inconvenience.\Pardon. response:	He's the one!
context: The Wind Rises\Ayane's Boyfriend 2\You should go out with a guy with high specs.\Smart, kind, good-looking, rich, and...\Truck coming through!\Sorry for the inconvenience.\Pardon.\He's the one! response:	And that's how I met my boyfriend.
context: Ayane's Boyfriend 2\You should go out with a guy with high specs.\Smart, kind, good-looking, rich, and...\Truck coming through!\Sorry for the inconvenience.\Pardon.\He's the one!\And that's how I met my boyfriend. response:	You should go out with a guy with a trade skill.
context: You should go out with a guy with high specs.\Smart, kind, good-looking, rich, and...\Truck coming through!\Sorry for the inconvenience.\Pardon.\He's the one!\And that's how I met my boyfriend.\You should go out with a guy with a trade skill. response:	Guys' Girl Talk, Girls' Guy Talk
context: Smart, kind, good-looking, rich, and...\Truck coming through!\Sorry for the inconvenience.\Pardon.\He's the one!\And that's how I met my boyfriend.\You should go out with a guy with a trade skill.\Guys' Girl Talk, Girls' Guy Talk response:	We went in Kyoto, too.
context: Truck coming through!\Sorry for the inconvenience.\Pardon.\He's the one!\And that's how I met my boyfriend.\You should go out with a guy with a trade skill.\Guys' Girl Talk, Girls' Guy Talk\We went in Kyoto, too. response:	Seriously?
context: Sorry for the inconvenience.\Pardon.\He's the one!\And that's how I met my boyfriend.\You should go out with a guy with a trade skill.\Guys' Girl Talk, Girls' Guy Talk\We went in Kyoto, too.\Seriously? response:	Damn!
context: Pardon.\He's the one!\And that's how I met my boyfriend.\You should go out with a guy with a trade skill.\Guys' Girl Talk, Girls' Guy Talk\We went in Kyoto, too.\Seriously?\Damn! response:	You had the money?
context: He's the one!\And that's how I met my boyfriend.\You should go out with a guy with a trade skill.\Guys' Girl Talk, Girls' Guy Talk\We went in Kyoto, too.\Seriously?\Damn!\You had the money? response:	Her parents are loaded.
context: And that's how I met my boyfriend.\You should go out with a guy with a trade skill.\Guys' Girl Talk, Girls' Guy Talk\We went in Kyoto, too.\Seriously?\Damn!\You had the money?\Her parents are loaded. response:	Holy crap.
context: You should go out with a guy with a trade skill.\Guys' Girl Talk, Girls' Guy Talk\We went in Kyoto, too.\Seriously?\Damn!\You had the money?\Her parents are loaded.\Holy crap. response:	You're a god.
context: Guys' Girl Talk, Girls' Guy Talk\We went in Kyoto, too.\Seriously?\Damn!\You had the money?\Her parents are loaded.\Holy crap.\You're a god. response:	I know, right?
context: We went in Kyoto, too.\Seriously?\Damn!\You had the money?\Her parents are loaded.\Holy crap.\You're a god.\I know, right? response:	We went in Kyoto, too.
context: Seriously?\Damn!\You had the money?\Her parents are loaded.\Holy crap.\You're a god.\I know, right?\We went in Kyoto, too. response:	Ew!
context: Damn!\You had the money?\Her parents are loaded.\Holy crap.\You're a god.\I know, right?\We went in Kyoto, too.\Ew! response:	Gross.
context: You had the money?\Her parents are loaded.\Holy crap.\You're a god.\I know, right?\We went in Kyoto, too.\Ew!\Gross. response:	Who paid?
context: Her parents are loaded.\Holy crap.\You're a god.\I know, right?\We went in Kyoto, too.\Ew!\Gross.\Who paid? response:	I did. All of it.
context: Holy crap.\You're a god.\I know, right?\We went in Kyoto, too.\Ew!\Gross.\Who paid?\I did. All of it. response:	That sucks!
context: You're a god.\I know, right?\We went in Kyoto, too.\Ew!\Gross.\Who paid?\I did. All of it.\That sucks! response:	What a parasite.
context: I know, right?\We went in Kyoto, too.\Ew!\Gross.\Who paid?\I did. All of it.\That sucks!\What a parasite. response:	I know, right?
