context: There are several rules you must follow while traveling outside of Luna Nova. response:	Just because you will not be on campus does not mean you may forget your status as students.
context: You're already dead!\I'm begging you, go back to your grave!\If anyone finds out about you, we'll be sent to hell next!\Revenge is more important!\We're the ones who brought you back! The least you could do is listen to us!\Akko!\Do something about this.\Er... response:	And that was our street performance!
context: I'm begging you, go back to your grave!\If anyone finds out about you, we'll be sent to hell next!\Revenge is more important!\We're the ones who brought you back! The least you could do is listen to us!\Akko!\Do something about this.\Er...\And that was our street performance! response:	Yes, it was all an act!
context: If anyone finds out about you, we'll be sent to hell next!\Revenge is more important!\We're the ones who brought you back! The least you could do is listen to us!\Akko!\Do something about this.\Er...\And that was our street performance!\Yes, it was all an act! response:	Everyone gather round, don't be shy!
context: Revenge is more important!\We're the ones who brought you back! The least you could do is listen to us!\Akko!\Do something about this.\Er...\And that was our street performance!\Yes, it was all an act!\Everyone gather round, don't be shy! response:	Wait, Akko!
context: We're the ones who brought you back! The least you could do is listen to us!\Akko!\Do something about this.\Er...\And that was our street performance!\Yes, it was all an act!\Everyone gather round, don't be shy!\Wait, Akko! response:	What you see here is a miracle witnessed only once a millennium!
context: Akko!\Do something about this.\Er...\And that was our street performance!\Yes, it was all an act!\Everyone gather round, don't be shy!\Wait, Akko!\What you see here is a miracle witnessed only once a millennium! response:	A medieval knight, back from the afterlife to strike down his archenemy!
context: Do something about this.\Er...\And that was our street performance!\Yes, it was all an act!\Everyone gather round, don't be shy!\Wait, Akko!\What you see here is a miracle witnessed only once a millennium!\A medieval knight, back from the afterlife to strike down his archenemy! response:	And on your right, a witch girl!
context: Er...\And that was our street performance!\Yes, it was all an act!\Everyone gather round, don't be shy!\Wait, Akko!\What you see here is a miracle witnessed only once a millennium!\A medieval knight, back from the afterlife to strike down his archenemy!\And on your right, a witch girl! response:	In pursuit of this man, she too climbed out of the depths of hell to break his curse.
context: And that was our street performance!\Yes, it was all an act!\Everyone gather round, don't be shy!\Wait, Akko!\What you see here is a miracle witnessed only once a millennium!\A medieval knight, back from the afterlife to strike down his archenemy!\And on your right, a witch girl!\In pursuit of this man, she too climbed out of the depths of hell to break his curse. response:	Want to hear where the story goes? Then leave us your wish, neatly folded up, in our hat!
context: Yes, it was all an act!\Everyone gather round, don't be shy!\Wait, Akko!\What you see here is a miracle witnessed only once a millennium!\A medieval knight, back from the afterlife to strike down his archenemy!\And on your right, a witch girl!\In pursuit of this man, she too climbed out of the depths of hell to break his curse.\Want to hear where the story goes? Then leave us your wish, neatly folded up, in our hat! response:	Thank you, everyone! You're too kind!
context: Everyone gather round, don't be shy!\Wait, Akko!\What you see here is a miracle witnessed only once a millennium!\A medieval knight, back from the afterlife to strike down his archenemy!\And on your right, a witch girl!\In pursuit of this man, she too climbed out of the depths of hell to break his curse.\Want to hear where the story goes? Then leave us your wish, neatly folded up, in our hat!\Thank you, everyone! You're too kind! response:	Wait, what? Where's the old guy?
context: Wait, Akko!\What you see here is a miracle witnessed only once a millennium!\A medieval knight, back from the afterlife to strike down his archenemy!\And on your right, a witch girl!\In pursuit of this man, she too climbed out of the depths of hell to break his curse.\Want to hear where the story goes? Then leave us your wish, neatly folded up, in our hat!\Thank you, everyone! You're too kind!\Wait, what? Where's the old guy? response:	Where now?!
context: What you see here is a miracle witnessed only once a millennium!\A medieval knight, back from the afterlife to strike down his archenemy!\And on your right, a witch girl!\In pursuit of this man, she too climbed out of the depths of hell to break his curse.\Want to hear where the story goes? Then leave us your wish, neatly folded up, in our hat!\Thank you, everyone! You're too kind!\Wait, what? Where's the old guy?\Where now?! response:	If I'm looking for trash, I should search the garbage!
context: A medieval knight, back from the afterlife to strike down his archenemy!\And on your right, a witch girl!\In pursuit of this man, she too climbed out of the depths of hell to break his curse.\Want to hear where the story goes? Then leave us your wish, neatly folded up, in our hat!\Thank you, everyone! You're too kind!\Wait, what? Where's the old guy?\Where now?!\If I'm looking for trash, I should search the garbage! response:	How could I not have realized before?!
context: And on your right, a witch girl!\In pursuit of this man, she too climbed out of the depths of hell to break his curse.\Want to hear where the story goes? Then leave us your wish, neatly folded up, in our hat!\Thank you, everyone! You're too kind!\Wait, what? Where's the old guy?\Where now?!\If I'm looking for trash, I should search the garbage!\How could I not have realized before?! response:	What are you doing?
context: In pursuit of this man, she too climbed out of the depths of hell to break his curse.\Want to hear where the story goes? Then leave us your wish, neatly folded up, in our hat!\Thank you, everyone! You're too kind!\Wait, what? Where's the old guy?\Where now?!\If I'm looking for trash, I should search the garbage!\How could I not have realized before?!\What are you doing? response:	Stop that at once!
context: Want to hear where the story goes? Then leave us your wish, neatly folded up, in our hat!\Thank you, everyone! You're too kind!\Wait, what? Where's the old guy?\Where now?!\If I'm looking for trash, I should search the garbage!\How could I not have realized before?!\What are you doing?\Stop that at once! response:	Officers, please wait! It's not what you think!
context: Thank you, everyone! You're too kind!\Wait, what? Where's the old guy?\Where now?!\If I'm looking for trash, I should search the garbage!\How could I not have realized before?!\What are you doing?\Stop that at once!\Officers, please wait! It's not what you think! response:	Then what exactly is it?
context: Wait, what? Where's the old guy?\Where now?!\If I'm looking for trash, I should search the garbage!\How could I not have realized before?!\What are you doing?\Stop that at once!\Officers, please wait! It's not what you think!\Then what exactly is it? response:	Look at his suspicious actions!
context: Where now?!\If I'm looking for trash, I should search the garbage!\How could I not have realized before?!\What are you doing?\Stop that at once!\Officers, please wait! It's not what you think!\Then what exactly is it?\Look at his suspicious actions! response:	He's scavenging through garbage!
context: If I'm looking for trash, I should search the garbage!\How could I not have realized before?!\What are you doing?\Stop that at once!\Officers, please wait! It's not what you think!\Then what exactly is it?\Look at his suspicious actions!\He's scavenging through garbage! response:	The citizens are afraid!
context: How could I not have realized before?!\What are you doing?\Stop that at once!\Officers, please wait! It's not what you think!\Then what exactly is it?\Look at his suspicious actions!\He's scavenging through garbage!\The citizens are afraid! response:	Th-That part may be true...
context: What are you doing?\Stop that at once!\Officers, please wait! It's not what you think!\Then what exactly is it?\Look at his suspicious actions!\He's scavenging through garbage!\The citizens are afraid!\Th-That part may be true... response:	Come here, lad!
context: Stop that at once!\Officers, please wait! It's not what you think!\Then what exactly is it?\Look at his suspicious actions!\He's scavenging through garbage!\The citizens are afraid!\Th-That part may be true...\Come here, lad! response:	Get in the car!
context: Officers, please wait! It's not what you think!\Then what exactly is it?\Look at his suspicious actions!\He's scavenging through garbage!\The citizens are afraid!\Th-That part may be true...\Come here, lad!\Get in the car! response:	Lad, you say? Learn your place, whippersnappers!
context: Then what exactly is it?\Look at his suspicious actions!\He's scavenging through garbage!\The citizens are afraid!\Th-That part may be true...\Come here, lad!\Get in the car!\Lad, you say? Learn your place, whippersnappers! response:	Keep quiet, old man!
context: Look at his suspicious actions!\He's scavenging through garbage!\The citizens are afraid!\Th-That part may be true...\Come here, lad!\Get in the car!\Lad, you say? Learn your place, whippersnappers!\Keep quiet, old man! response:	Throw down your weapon!
context: He's scavenging through garbage!\The citizens are afraid!\Th-That part may be true...\Come here, lad!\Get in the car!\Lad, you say? Learn your place, whippersnappers!\Keep quiet, old man!\Throw down your weapon! response:	Let her go, lad!
context: The citizens are afraid!\Th-That part may be true...\Come here, lad!\Get in the car!\Lad, you say? Learn your place, whippersnappers!\Keep quiet, old man!\Throw down your weapon!\Let her go, lad! response:	There you go again with
context: Th-That part may be true...\Come here, lad!\Get in the car!\Lad, you say? Learn your place, whippersnappers!\Keep quiet, old man!\Throw down your weapon!\Let her go, lad!\There you go again with response:	Seriously, shut up!
context: Come here, lad!\Get in the car!\Lad, you say? Learn your place, whippersnappers!\Keep quiet, old man!\Throw down your weapon!\Let her go, lad!\There you go again with\Seriously, shut up! response:	You're under arrest!
context: Get in the car!\Lad, you say? Learn your place, whippersnappers!\Keep quiet, old man!\Throw down your weapon!\Let her go, lad!\There you go again with\Seriously, shut up!\You're under arrest! response:	Please wait!
context: Lad, you say? Learn your place, whippersnappers!\Keep quiet, old man!\Throw down your weapon!\Let her go, lad!\There you go again with\Seriously, shut up!\You're under arrest!\Please wait! response:	Grandpa is a pirate!
context: Keep quiet, old man!\Throw down your weapon!\Let her go, lad!\There you go again with\Seriously, shut up!\You're under arrest!\Please wait!\Grandpa is a pirate! response:	Grandpa's a legendary pirate, so he has to open every box he finds to check if there's treasure inside!
context: Throw down your weapon!\Let her go, lad!\There you go again with\Seriously, shut up!\You're under arrest!\Please wait!\Grandpa is a pirate!\Grandpa's a legendary pirate, so he has to open every box he finds to check if there's treasure inside! response:	Huh?
context: Let her go, lad!\There you go again with\Seriously, shut up!\You're under arrest!\Please wait!\Grandpa is a pirate!\Grandpa's a legendary pirate, so he has to open every box he finds to check if there's treasure inside!\Huh? response:	That's how it is!
context: There you go again with\Seriously, shut up!\You're under arrest!\Please wait!\Grandpa is a pirate!\Grandpa's a legendary pirate, so he has to open every box he finds to check if there's treasure inside!\Huh?\That's how it is! response:	Fine, we get it.
context: Seriously, shut up!\You're under arrest!\Please wait!\Grandpa is a pirate!\Grandpa's a legendary pirate, so he has to open every box he finds to check if there's treasure inside!\Huh?\That's how it is!\Fine, we get it. response:	He's your grandfather, is he?
context: You're under arrest!\Please wait!\Grandpa is a pirate!\Grandpa's a legendary pirate, so he has to open every box he finds to check if there's treasure inside!\Huh?\That's how it is!\Fine, we get it.\He's your grandfather, is he? response:	Yes.
context: Please wait!\Grandpa is a pirate!\Grandpa's a legendary pirate, so he has to open every box he finds to check if there's treasure inside!\Huh?\That's how it is!\Fine, we get it.\He's your grandfather, is he?\Yes. response:	Tell him to refrain at once.
context: Grandpa is a pirate!\Grandpa's a legendary pirate, so he has to open every box he finds to check if there's treasure inside!\Huh?\That's how it is!\Fine, we get it.\He's your grandfather, is he?\Yes.\Tell him to refrain at once. response:	Can you do that?
context: Grandpa's a legendary pirate, so he has to open every box he finds to check if there's treasure inside!\Huh?\That's how it is!\Fine, we get it.\He's your grandfather, is he?\Yes.\Tell him to refrain at once.\Can you do that? response:	Yes...
context: Huh?\That's how it is!\Fine, we get it.\He's your grandfather, is he?\Yes.\Tell him to refrain at once.\Can you do that?\Yes... response:	Take care of it.
context: That's how it is!\Fine, we get it.\He's your grandfather, is he?\Yes.\Tell him to refrain at once.\Can you do that?\Yes...\Take care of it. response:	Yes!
context: Fine, we get it.\He's your grandfather, is he?\Yes.\Tell him to refrain at once.\Can you do that?\Yes...\Take care of it.\Yes! response:	They're finally gone...
context: He's your grandfather, is he?\Yes.\Tell him to refrain at once.\Can you do that?\Yes...\Take care of it.\Yes!\They're finally gone... response:	Wait, where'd he go?
context: Yes.\Tell him to refrain at once.\Can you do that?\Yes...\Take care of it.\Yes!\They're finally gone...\Wait, where'd he go? response:	Sucy's gone too!
context: Tell him to refrain at once.\Can you do that?\Yes...\Take care of it.\Yes!\They're finally gone...\Wait, where'd he go?\Sucy's gone too! response:	That way!
context: Can you do that?\Yes...\Take care of it.\Yes!\They're finally gone...\Wait, where'd he go?\Sucy's gone too!\That way! response:	It's definitely his doing!
context: Yes...\Take care of it.\Yes!\They're finally gone...\Wait, where'd he go?\Sucy's gone too!\That way!\It's definitely his doing! response:	Nice one!
context: Take care of it.\Yes!\They're finally gone...\Wait, where'd he go?\Sucy's gone too!\That way!\It's definitely his doing!\Nice one! response:	Keep it up, mate!
context: Yes!\They're finally gone...\Wait, where'd he go?\Sucy's gone too!\That way!\It's definitely his doing!\Nice one!\Keep it up, mate! response:	You folks are a bunch of smarmy thieves is what you are!
context: They're finally gone...\Wait, where'd he go?\Sucy's gone too!\That way!\It's definitely his doing!\Nice one!\Keep it up, mate!\You folks are a bunch of smarmy thieves is what you are! response:	Hey, Sucy!
context: Wait, where'd he go?\Sucy's gone too!\That way!\It's definitely his doing!\Nice one!\Keep it up, mate!\You folks are a bunch of smarmy thieves is what you are!\Hey, Sucy! response:	Oh, you finally made it.
context: Sucy's gone too!\That way!\It's definitely his doing!\Nice one!\Keep it up, mate!\You folks are a bunch of smarmy thieves is what you are!\Hey, Sucy!\Oh, you finally made it. response:	Don't give me that!
context: That way!\It's definitely his doing!\Nice one!\Keep it up, mate!\You folks are a bunch of smarmy thieves is what you are!\Hey, Sucy!\Oh, you finally made it.\Don't give me that! response:	Anyway, this guy's a riot.
context: It's definitely his doing!\Nice one!\Keep it up, mate!\You folks are a bunch of smarmy thieves is what you are!\Hey, Sucy!\Oh, you finally made it.\Don't give me that!\Anyway, this guy's a riot. response:	Remember anything?
context: Nice one!\Keep it up, mate!\You folks are a bunch of smarmy thieves is what you are!\Hey, Sucy!\Oh, you finally made it.\Don't give me that!\Anyway, this guy's a riot.\Remember anything? response:	Not a thing!
context: Keep it up, mate!\You folks are a bunch of smarmy thieves is what you are!\Hey, Sucy!\Oh, you finally made it.\Don't give me that!\Anyway, this guy's a riot.\Remember anything?\Not a thing! response:	It should be somewhere in this noggin...
context: You folks are a bunch of smarmy thieves is what you are!\Hey, Sucy!\Oh, you finally made it.\Don't give me that!\Anyway, this guy's a riot.\Remember anything?\Not a thing!\It should be somewhere in this noggin... response:	They'll forget all about this in two hours.
context: Hey, Sucy!\Oh, you finally made it.\Don't give me that!\Anyway, this guy's a riot.\Remember anything?\Not a thing!\It should be somewhere in this noggin...\They'll forget all about this in two hours. response:	Sucy!
context: Oh, you finally made it.\Don't give me that!\Anyway, this guy's a riot.\Remember anything?\Not a thing!\It should be somewhere in this noggin...\They'll forget all about this in two hours.\Sucy! response:	Sucy...
context: Don't give me that!\Anyway, this guy's a riot.\Remember anything?\Not a thing!\It should be somewhere in this noggin...\They'll forget all about this in two hours.\Sucy!\Sucy... response:	I remembered! Three, Caliban Road!
context: Anyway, this guy's a riot.\Remember anything?\Not a thing!\It should be somewhere in this noggin...\They'll forget all about this in two hours.\Sucy!\Sucy...\I remembered! Three, Caliban Road! response:	Not again!
context: Remember anything?\Not a thing!\It should be somewhere in this noggin...\They'll forget all about this in two hours.\Sucy!\Sucy...\I remembered! Three, Caliban Road!\Not again! response:	Oh, come on!
context: Not a thing!\It should be somewhere in this noggin...\They'll forget all about this in two hours.\Sucy!\Sucy...\I remembered! Three, Caliban Road!\Not again!\Oh, come on! response:	Little Witch Academia
context: It should be somewhere in this noggin...\They'll forget all about this in two hours.\Sucy!\Sucy...\I remembered! Three, Caliban Road!\Not again!\Oh, come on!\Little Witch Academia response:	Little Witch Academia
context: They'll forget all about this in two hours.\Sucy!\Sucy...\I remembered! Three, Caliban Road!\Not again!\Oh, come on!\Little Witch Academia\Little Witch Academia response:	Old man, wait up!
context: Sucy!\Sucy...\I remembered! Three, Caliban Road!\Not again!\Oh, come on!\Little Witch Academia\Little Witch Academia\Old man, wait up! response:	Akko, look out!
context: Sucy...\I remembered! Three, Caliban Road!\Not again!\Oh, come on!\Little Witch Academia\Little Witch Academia\Old man, wait up!\Akko, look out! response:	Miss!
context: I remembered! Three, Caliban Road!\Not again!\Oh, come on!\Little Witch Academia\Little Witch Academia\Old man, wait up!\Akko, look out!\Miss! response:	No way...
context: Not again!\Oh, come on!\Little Witch Academia\Little Witch Academia\Old man, wait up!\Akko, look out!\Miss!\No way... response:	It'll be easier to bring him to the graveyard now.
context: Oh, come on!\Little Witch Academia\Little Witch Academia\Old man, wait up!\Akko, look out!\Miss!\No way...\It'll be easier to bring him to the graveyard now. response:	H-He's fixed!
context: Little Witch Academia\Little Witch Academia\Old man, wait up!\Akko, look out!\Miss!\No way...\It'll be easier to bring him to the graveyard now.\H-He's fixed! response:	Where's his head?
context: Little Witch Academia\Old man, wait up!\Akko, look out!\Miss!\No way...\It'll be easier to bring him to the graveyard now.\H-He's fixed!\Where's his head? response:	I'm over here!
context: Old man, wait up!\Akko, look out!\Miss!\No way...\It'll be easier to bring him to the graveyard now.\H-He's fixed!\Where's his head?\I'm over here! response:	Hey!
context: Akko, look out!\Miss!\No way...\It'll be easier to bring him to the graveyard now.\H-He's fixed!\Where's his head?\I'm over here!\Hey! response:	I'm down here!
context: Miss!\No way...\It'll be easier to bring him to the graveyard now.\H-He's fixed!\Where's his head?\I'm over here!\Hey!\I'm down here! response:	Got you!
context: No way...\It'll be easier to bring him to the graveyard now.\H-He's fixed!\Where's his head?\I'm over here!\Hey!\I'm down here!\Got you! response:	Miss, are you injured? No? Good then.
context: It'll be easier to bring him to the graveyard now.\H-He's fixed!\Where's his head?\I'm over here!\Hey!\I'm down here!\Got you!\Miss, are you injured? No? Good then. response:	Now excuse me!
context: H-He's fixed!\Where's his head?\I'm over here!\Hey!\I'm down here!\Got you!\Miss, are you injured? No? Good then.\Now excuse me! response:	Wait!
context: Where's his head?\I'm over here!\Hey!\I'm down here!\Got you!\Miss, are you injured? No? Good then.\Now excuse me!\Wait! response:	Why did you save me?
context: I'm over here!\Hey!\I'm down here!\Got you!\Miss, are you injured? No? Good then.\Now excuse me!\Wait!\Why did you save me? response:	Because you're a witch.
context: Hey!\I'm down here!\Got you!\Miss, are you injured? No? Good then.\Now excuse me!\Wait!\Why did you save me?\Because you're a witch. response:	Huh?
context: I'm down here!\Got you!\Miss, are you injured? No? Good then.\Now excuse me!\Wait!\Why did you save me?\Because you're a witch.\Huh? response:	Witches are a symbol of wisdom, the pride of humanity! That's common sense.
context: Got you!\Miss, are you injured? No? Good then.\Now excuse me!\Wait!\Why did you save me?\Because you're a witch.\Huh?\Witches are a symbol of wisdom, the pride of humanity! That's common sense. response:	I'm in a rush, so farewell!
context: Miss, are you injured? No? Good then.\Now excuse me!\Wait!\Why did you save me?\Because you're a witch.\Huh?\Witches are a symbol of wisdom, the pride of humanity! That's common sense.\I'm in a rush, so farewell! response:	Just a minute! Wait, what are you talking about?
context: Now excuse me!\Wait!\Why did you save me?\Because you're a witch.\Huh?\Witches are a symbol of wisdom, the pride of humanity! That's common sense.\I'm in a rush, so farewell!\Just a minute! Wait, what are you talking about? response:	I've got no time! I must find that man's house on Caliban Road!
context: Wait!\Why did you save me?\Because you're a witch.\Huh?\Witches are a symbol of wisdom, the pride of humanity! That's common sense.\I'm in a rush, so farewell!\Just a minute! Wait, what are you talking about?\I've got no time! I must find that man's house on Caliban Road! response:	There it is!
context: Why did you save me?\Because you're a witch.\Huh?\Witches are a symbol of wisdom, the pride of humanity! That's common sense.\I'm in a rush, so farewell!\Just a minute! Wait, what are you talking about?\I've got no time! I must find that man's house on Caliban Road!\There it is! response:	Wait, old man!
context: Because you're a witch.\Huh?\Witches are a symbol of wisdom, the pride of humanity! That's common sense.\I'm in a rush, so farewell!\Just a minute! Wait, what are you talking about?\I've got no time! I must find that man's house on Caliban Road!\There it is!\Wait, old man! response:	This is his house!
context: Huh?\Witches are a symbol of wisdom, the pride of humanity! That's common sense.\I'm in a rush, so farewell!\Just a minute! Wait, what are you talking about?\I've got no time! I must find that man's house on Caliban Road!\There it is!\Wait, old man!\This is his house! response:	It's definitely not! Stop it already!
context: Witches are a symbol of wisdom, the pride of humanity! That's common sense.\I'm in a rush, so farewell!\Just a minute! Wait, what are you talking about?\I've got no time! I must find that man's house on Caliban Road!\There it is!\Wait, old man!\This is his house!\It's definitely not! Stop it already! response:	Let me see for myself.
context: I'm in a rush, so farewell!\Just a minute! Wait, what are you talking about?\I've got no time! I must find that man's house on Caliban Road!\There it is!\Wait, old man!\This is his house!\It's definitely not! Stop it already!\Let me see for myself. response:	You there.
context: Just a minute! Wait, what are you talking about?\I've got no time! I must find that man's house on Caliban Road!\There it is!\Wait, old man!\This is his house!\It's definitely not! Stop it already!\Let me see for myself.\You there. response:	Are you acquainted with the master of the house that once stood there?
context: I've got no time! I must find that man's house on Caliban Road!\There it is!\Wait, old man!\This is his house!\It's definitely not! Stop it already!\Let me see for myself.\You there.\Are you acquainted with the master of the house that once stood there? response:	That shop over there salvaged all that remained of it.
context: There it is!\Wait, old man!\This is his house!\It's definitely not! Stop it already!\Let me see for myself.\You there.\Are you acquainted with the master of the house that once stood there?\That shop over there salvaged all that remained of it. response:	What?
context: Wait, old man!\This is his house!\It's definitely not! Stop it already!\Let me see for myself.\You there.\Are you acquainted with the master of the house that once stood there?\That shop over there salvaged all that remained of it.\What? response:	The magic item cafe?
context: This is his house!\It's definitely not! Stop it already!\Let me see for myself.\You there.\Are you acquainted with the master of the house that once stood there?\That shop over there salvaged all that remained of it.\What?\The magic item cafe? response:	Why here?
context: It's definitely not! Stop it already!\Let me see for myself.\You there.\Are you acquainted with the master of the house that once stood there?\That shop over there salvaged all that remained of it.\What?\The magic item cafe?\Why here? response:	It was a mansion from the golden age of magic.
context: Let me see for myself.\You there.\Are you acquainted with the master of the house that once stood there?\That shop over there salvaged all that remained of it.\What?\The magic item cafe?\Why here?\It was a mansion from the golden age of magic. response:	That's why we acquired everything they owned.
context: You there.\Are you acquainted with the master of the house that once stood there?\That shop over there salvaged all that remained of it.\What?\The magic item cafe?\Why here?\It was a mansion from the golden age of magic.\That's why we acquired everything they owned. response:	The golden age of magic? What's that?
context: Are you acquainted with the master of the house that once stood there?\That shop over there salvaged all that remained of it.\What?\The magic item cafe?\Why here?\It was a mansion from the golden age of magic.\That's why we acquired everything they owned.\The golden age of magic? What's that? response:	Do you actually pay attention in class?
context: That shop over there salvaged all that remained of it.\What?\The magic item cafe?\Why here?\It was a mansion from the golden age of magic.\That's why we acquired everything they owned.\The golden age of magic? What's that?\Do you actually pay attention in class? response:	It was about two hundred years ago.
context: What?\The magic item cafe?\Why here?\It was a mansion from the golden age of magic.\That's why we acquired everything they owned.\The golden age of magic? What's that?\Do you actually pay attention in class?\It was about two hundred years ago. response:	The era after the witch hunts up until the industrial revolution.
context: The magic item cafe?\Why here?\It was a mansion from the golden age of magic.\That's why we acquired everything they owned.\The golden age of magic? What's that?\Do you actually pay attention in class?\It was about two hundred years ago.\The era after the witch hunts up until the industrial revolution. response:	There were no machines, so people relied on magic for everything.
context: Why here?\It was a mansion from the golden age of magic.\That's why we acquired everything they owned.\The golden age of magic? What's that?\Do you actually pay attention in class?\It was about two hundred years ago.\The era after the witch hunts up until the industrial revolution.\There were no machines, so people relied on magic for everything. response:	That sounds great.
context: It was a mansion from the golden age of magic.\That's why we acquired everything they owned.\The golden age of magic? What's that?\Do you actually pay attention in class?\It was about two hundred years ago.\The era after the witch hunts up until the industrial revolution.\There were no machines, so people relied on magic for everything.\That sounds great. response:	We already learned about it in magic history.
context: That's why we acquired everything they owned.\The golden age of magic? What's that?\Do you actually pay attention in class?\It was about two hundred years ago.\The era after the witch hunts up until the industrial revolution.\There were no machines, so people relied on magic for everything.\That sounds great.\We already learned about it in magic history. response:	I wouldn't mind buying that military uniform too.
context: The golden age of magic? What's that?\Do you actually pay attention in class?\It was about two hundred years ago.\The era after the witch hunts up until the industrial revolution.\There were no machines, so people relied on magic for everything.\That sounds great.\We already learned about it in magic history.\I wouldn't mind buying that military uniform too. response:	Oh, it's this man!
context: Do you actually pay attention in class?\It was about two hundred years ago.\The era after the witch hunts up until the industrial revolution.\There were no machines, so people relied on magic for everything.\That sounds great.\We already learned about it in magic history.\I wouldn't mind buying that military uniform too.\Oh, it's this man! response:	Huh?!
context: It was about two hundred years ago.\The era after the witch hunts up until the industrial revolution.\There were no machines, so people relied on magic for everything.\That sounds great.\We already learned about it in magic history.\I wouldn't mind buying that military uniform too.\Oh, it's this man!\Huh?! response:	It's him and his wife and child! His name was...
context: The era after the witch hunts up until the industrial revolution.\There were no machines, so people relied on magic for everything.\That sounds great.\We already learned about it in magic history.\I wouldn't mind buying that military uniform too.\Oh, it's this man!\Huh?!\It's him and his wife and child! His name was... response:	Three, Caliban Road!
context: There were no machines, so people relied on magic for everything.\That sounds great.\We already learned about it in magic history.\I wouldn't mind buying that military uniform too.\Oh, it's this man!\Huh?!\It's him and his wife and child! His name was...\Three, Caliban Road! response:	That's the address we were just at.
context: That sounds great.\We already learned about it in magic history.\I wouldn't mind buying that military uniform too.\Oh, it's this man!\Huh?!\It's him and his wife and child! His name was...\Three, Caliban Road!\That's the address we were just at. response:	Huh? What's this?
context: We already learned about it in magic history.\I wouldn't mind buying that military uniform too.\Oh, it's this man!\Huh?!\It's him and his wife and child! His name was...\Three, Caliban Road!\That's the address we were just at.\Huh? What's this? response:	It's from Luna Nova.
context: I wouldn't mind buying that military uniform too.\Oh, it's this man!\Huh?!\It's him and his wife and child! His name was...\Three, Caliban Road!\That's the address we were just at.\Huh? What's this?\It's from Luna Nova. response:	Dear Miss Miranda.
context: Oh, it's this man!\Huh?!\It's him and his wife and child! His name was...\Three, Caliban Road!\That's the address we were just at.\Huh? What's this?\It's from Luna Nova.\Dear Miss Miranda. response:	Who's Miranda?
context: Huh?!\It's him and his wife and child! His name was...\Three, Caliban Road!\That's the address we were just at.\Huh? What's this?\It's from Luna Nova.\Dear Miss Miranda.\Who's Miranda? response:	It's this girl!
context: It's him and his wife and child! His name was...\Three, Caliban Road!\That's the address we were just at.\Huh? What's this?\It's from Luna Nova.\Dear Miss Miranda.\Who's Miranda?\It's this girl! response:	Right, this girl is Miranda!
context: Three, Caliban Road!\That's the address we were just at.\Huh? What's this?\It's from Luna Nova.\Dear Miss Miranda.\Who's Miranda?\It's this girl!\Right, this girl is Miranda! response:	This man brought misfortune onto her!
context: That's the address we were just at.\Huh? What's this?\It's from Luna Nova.\Dear Miss Miranda.\Who's Miranda?\It's this girl!\Right, this girl is Miranda!\This man brought misfortune onto her! response:	He was a normal human, but he fell in love with a witch and eloped!
context: Huh? What's this?\It's from Luna Nova.\Dear Miss Miranda.\Who's Miranda?\It's this girl!\Right, this girl is Miranda!\This man brought misfortune onto her!\He was a normal human, but he fell in love with a witch and eloped! response:	How romantic.
context: It's from Luna Nova.\Dear Miss Miranda.\Who's Miranda?\It's this girl!\Right, this girl is Miranda!\This man brought misfortune onto her!\He was a normal human, but he fell in love with a witch and eloped!\How romantic. response:	Not in the slightest!
context: Dear Miss Miranda.\Who's Miranda?\It's this girl!\Right, this girl is Miranda!\This man brought misfortune onto her!\He was a normal human, but he fell in love with a witch and eloped!\How romantic.\Not in the slightest! response:	His wife passed away shortly after giving birth to Miranda, and he made a vow to her family!
context: Who's Miranda?\It's this girl!\Right, this girl is Miranda!\This man brought misfortune onto her!\He was a normal human, but he fell in love with a witch and eloped!\How romantic.\Not in the slightest!\His wife passed away shortly after giving birth to Miranda, and he made a vow to her family! response:	That he would...
context: It's this girl!\Right, this girl is Miranda!\This man brought misfortune onto her!\He was a normal human, but he fell in love with a witch and eloped!\How romantic.\Not in the slightest!\His wife passed away shortly after giving birth to Miranda, and he made a vow to her family!\That he would... response:	Raise her into a proper witch!
context: Right, this girl is Miranda!\This man brought misfortune onto her!\He was a normal human, but he fell in love with a witch and eloped!\How romantic.\Not in the slightest!\His wife passed away shortly after giving birth to Miranda, and he made a vow to her family!\That he would...\Raise her into a proper witch! response:	You okay?
context: This man brought misfortune onto her!\He was a normal human, but he fell in love with a witch and eloped!\How romantic.\Not in the slightest!\His wife passed away shortly after giving birth to Miranda, and he made a vow to her family!\That he would...\Raise her into a proper witch!\You okay? response:	That sound!
context: He was a normal human, but he fell in love with a witch and eloped!\How romantic.\Not in the slightest!\His wife passed away shortly after giving birth to Miranda, and he made a vow to her family!\That he would...\Raise her into a proper witch!\You okay?\That sound! response:	Th-Thanks for the help!
context: How romantic.\Not in the slightest!\His wife passed away shortly after giving birth to Miranda, and he made a vow to her family!\That he would...\Raise her into a proper witch!\You okay?\That sound!\Th-Thanks for the help! response:	Where's the bell?!
context: Not in the slightest!\His wife passed away shortly after giving birth to Miranda, and he made a vow to her family!\That he would...\Raise her into a proper witch!\You okay?\That sound!\Th-Thanks for the help!\Where's the bell?! response:	What?
context: His wife passed away shortly after giving birth to Miranda, and he made a vow to her family!\That he would...\Raise her into a proper witch!\You okay?\That sound!\Th-Thanks for the help!\Where's the bell?!\What? response:	He was the bell ringer!
