context: I have gathered you all here today for one reason. response:	I want all of us to overcome...
context: I'm home.\I wonder if Shiina made it home okay...\Hikari. Are you here to greet me?\Well, having someone like you is never a bad thing.\This is...\The Cabbage Road of Honor...\It's my birthday today.\Jin-san. response:	I had a feeling this would happen.
context: I wonder if Shiina made it home okay...\Hikari. Are you here to greet me?\Well, having someone like you is never a bad thing.\This is...\The Cabbage Road of Honor...\It's my birthday today.\Jin-san.\I had a feeling this would happen. response:	I was right to come home early.
context: Hikari. Are you here to greet me?\Well, having someone like you is never a bad thing.\This is...\The Cabbage Road of Honor...\It's my birthday today.\Jin-san.\I had a feeling this would happen.\I was right to come home early. response:	For my birthday last year...
context: Well, having someone like you is never a bad thing.\This is...\The Cabbage Road of Honor...\It's my birthday today.\Jin-san.\I had a feeling this would happen.\I was right to come home early.\For my birthday last year... response:	Misaki decorated herself with whipped cream,
context: This is...\The Cabbage Road of Honor...\It's my birthday today.\Jin-san.\I had a feeling this would happen.\I was right to come home early.\For my birthday last year...\Misaki decorated herself with whipped cream, response:	Jin.
context: The Cabbage Road of Honor...\It's my birthday today.\Jin-san.\I had a feeling this would happen.\I was right to come home early.\For my birthday last year...\Misaki decorated herself with whipped cream,\Jin. response:	and waited for me in my room.
context: It's my birthday today.\Jin-san.\I had a feeling this would happen.\I was right to come home early.\For my birthday last year...\Misaki decorated herself with whipped cream,\Jin.\and waited for me in my room. response:	You have my sympathy.
context: Jin-san.\I had a feeling this would happen.\I was right to come home early.\For my birthday last year...\Misaki decorated herself with whipped cream,\Jin.\and waited for me in my room.\You have my sympathy. response:	But why cabbage?
context: I had a feeling this would happen.\I was right to come home early.\For my birthday last year...\Misaki decorated herself with whipped cream,\Jin.\and waited for me in my room.\You have my sympathy.\But why cabbage? response:	How should I know what goes on in Misaki's head?
context: I was right to come home early.\For my birthday last year...\Misaki decorated herself with whipped cream,\Jin.\and waited for me in my room.\You have my sympathy.\But why cabbage?\How should I know what goes on in Misaki's head? response:	But you're childhood friends.
context: For my birthday last year...\Misaki decorated herself with whipped cream,\Jin.\and waited for me in my room.\You have my sympathy.\But why cabbage?\How should I know what goes on in Misaki's head?\But you're childhood friends. response:	What I mean is, the thought process of a genius...
context: Misaki decorated herself with whipped cream,\Jin.\and waited for me in my room.\You have my sympathy.\But why cabbage?\How should I know what goes on in Misaki's head?\But you're childhood friends.\What I mean is, the thought process of a genius... response:	is a mystery to ordinary men.
context: Jin.\and waited for me in my room.\You have my sympathy.\But why cabbage?\How should I know what goes on in Misaki's head?\But you're childhood friends.\What I mean is, the thought process of a genius...\is a mystery to ordinary men. response:	What? If you're an ordinary man,
context: and waited for me in my room.\You have my sympathy.\But why cabbage?\How should I know what goes on in Misaki's head?\But you're childhood friends.\What I mean is, the thought process of a genius...\is a mystery to ordinary men.\What? If you're an ordinary man, response:	what does that make me?
context: You have my sympathy.\But why cabbage?\How should I know what goes on in Misaki's head?\But you're childhood friends.\What I mean is, the thought process of a genius...\is a mystery to ordinary men.\What? If you're an ordinary man,\what does that make me? response:	Well, if you'll excuse me...
context: But why cabbage?\How should I know what goes on in Misaki's head?\But you're childhood friends.\What I mean is, the thought process of a genius...\is a mystery to ordinary men.\What? If you're an ordinary man,\what does that make me?\Well, if you'll excuse me... response:	What kind of person are you...
context: How should I know what goes on in Misaki's head?\But you're childhood friends.\What I mean is, the thought process of a genius...\is a mystery to ordinary men.\What? If you're an ordinary man,\what does that make me?\Well, if you'll excuse me...\What kind of person are you... response:	to make me open this dangerous box by myself?!
context: But you're childhood friends.\What I mean is, the thought process of a genius...\is a mystery to ordinary men.\What? If you're an ordinary man,\what does that make me?\Well, if you'll excuse me...\What kind of person are you...\to make me open this dangerous box by myself?! response:	It probably won't explode, so you'll be fine!
context: What I mean is, the thought process of a genius...\is a mystery to ordinary men.\What? If you're an ordinary man,\what does that make me?\Well, if you'll excuse me...\What kind of person are you...\to make me open this dangerous box by myself?!\It probably won't explode, so you'll be fine! response:	Probably, is it? Probably?!
context: is a mystery to ordinary men.\What? If you're an ordinary man,\what does that make me?\Well, if you'll excuse me...\What kind of person are you...\to make me open this dangerous box by myself?!\It probably won't explode, so you'll be fine!\Probably, is it? Probably?! response:	Jin, happy birthday!
context: What? If you're an ordinary man,\what does that make me?\Well, if you'll excuse me...\What kind of person are you...\to make me open this dangerous box by myself?!\It probably won't explode, so you'll be fine!\Probably, is it? Probably?!\Jin, happy birthday! response:	Jin!
context: what does that make me?\Well, if you'll excuse me...\What kind of person are you...\to make me open this dangerous box by myself?!\It probably won't explode, so you'll be fine!\Probably, is it? Probably?!\Jin, happy birthday!\Jin! response:	Ow... Misaki-senpai...
context: Well, if you'll excuse me...\What kind of person are you...\to make me open this dangerous box by myself?!\It probably won't explode, so you'll be fine!\Probably, is it? Probably?!\Jin, happy birthday!\Jin!\Ow... Misaki-senpai... response:	Huh?
context: What kind of person are you...\to make me open this dangerous box by myself?!\It probably won't explode, so you'll be fine!\Probably, is it? Probably?!\Jin, happy birthday!\Jin!\Ow... Misaki-senpai...\Huh? response:	Jin!
context: to make me open this dangerous box by myself?!\It probably won't explode, so you'll be fine!\Probably, is it? Probably?!\Jin, happy birthday!\Jin!\Ow... Misaki-senpai...\Huh?\Jin! response:	Happy birthday!
context: It probably won't explode, so you'll be fine!\Probably, is it? Probably?!\Jin, happy birthday!\Jin!\Ow... Misaki-senpai...\Huh?\Jin!\Happy birthday! response:	Oh?
context: Probably, is it? Probably?!\Jin, happy birthday!\Jin!\Ow... Misaki-senpai...\Huh?\Jin!\Happy birthday!\Oh? response:	You're tempting me! Cover up already!
context: Jin, happy birthday!\Jin!\Ow... Misaki-senpai...\Huh?\Jin!\Happy birthday!\Oh?\You're tempting me! Cover up already! response:	Jin, you're so shy.
context: Jin!\Ow... Misaki-senpai...\Huh?\Jin!\Happy birthday!\Oh?\You're tempting me! Cover up already!\Jin, you're so shy. response:	After all the effort I took to celebrate your birthday.
context: Ow... Misaki-senpai...\Huh?\Jin!\Happy birthday!\Oh?\You're tempting me! Cover up already!\Jin, you're so shy.\After all the effort I took to celebrate your birthday. response:	Well, anyway...
context: Huh?\Jin!\Happy birthday!\Oh?\You're tempting me! Cover up already!\Jin, you're so shy.\After all the effort I took to celebrate your birthday.\Well, anyway... response:	I'll leave you guys to it now
context: Jin!\Happy birthday!\Oh?\You're tempting me! Cover up already!\Jin, you're so shy.\After all the effort I took to celebrate your birthday.\Well, anyway...\I'll leave you guys to it now response:	Hold it.
context: Happy birthday!\Oh?\You're tempting me! Cover up already!\Jin, you're so shy.\After all the effort I took to celebrate your birthday.\Well, anyway...\I'll leave you guys to it now\Hold it. response:	The staff will have to eat this delicious cabbage.
context: Oh?\You're tempting me! Cover up already!\Jin, you're so shy.\After all the effort I took to celebrate your birthday.\Well, anyway...\I'll leave you guys to it now\Hold it.\The staff will have to eat this delicious cabbage. response:	You'll help me, won't you?
context: You're tempting me! Cover up already!\Jin, you're so shy.\After all the effort I took to celebrate your birthday.\Well, anyway...\I'll leave you guys to it now\Hold it.\The staff will have to eat this delicious cabbage.\You'll help me, won't you? response:	I'm not part of your staff!
context: Jin, you're so shy.\After all the effort I took to celebrate your birthday.\Well, anyway...\I'll leave you guys to it now\Hold it.\The staff will have to eat this delicious cabbage.\You'll help me, won't you?\I'm not part of your staff! response:	Sorata!
context: After all the effort I took to celebrate your birthday.\Well, anyway...\I'll leave you guys to it now\Hold it.\The staff will have to eat this delicious cabbage.\You'll help me, won't you?\I'm not part of your staff!\Sorata! response:	Jin!
context: Well, anyway...\I'll leave you guys to it now\Hold it.\The staff will have to eat this delicious cabbage.\You'll help me, won't you?\I'm not part of your staff!\Sorata!\Jin! response:	Happy birthday!
context: I'll leave you guys to it now\Hold it.\The staff will have to eat this delicious cabbage.\You'll help me, won't you?\I'm not part of your staff!\Sorata!\Jin!\Happy birthday! response:	No more! Enough already!
context: Hold it.\The staff will have to eat this delicious cabbage.\You'll help me, won't you?\I'm not part of your staff!\Sorata!\Jin!\Happy birthday!\No more! Enough already! response:	I can't waste any more time.
context: The staff will have to eat this delicious cabbage.\You'll help me, won't you?\I'm not part of your staff!\Sorata!\Jin!\Happy birthday!\No more! Enough already!\I can't waste any more time. response:	I need to leave Sakura Hall before...
context: You'll help me, won't you?\I'm not part of your staff!\Sorata!\Jin!\Happy birthday!\No more! Enough already!\I can't waste any more time.\I need to leave Sakura Hall before... response:	my common sense is eaten away...
context: I'm not part of your staff!\Sorata!\Jin!\Happy birthday!\No more! Enough already!\I can't waste any more time.\I need to leave Sakura Hall before...\my common sense is eaten away... response:	What's important is the courage not to miss your chance. Fujisawa Kazuki
context: Sorata!\Jin!\Happy birthday!\No more! Enough already!\I can't waste any more time.\I need to leave Sakura Hall before...\my common sense is eaten away...\What's important is the courage not to miss your chance. Fujisawa Kazuki response:	It's not that there isn't anything I want to be, but...
context: Jin!\Happy birthday!\No more! Enough already!\I can't waste any more time.\I need to leave Sakura Hall before...\my common sense is eaten away...\What's important is the courage not to miss your chance. Fujisawa Kazuki\It's not that there isn't anything I want to be, but... response:	Following his original theory...
context: Happy birthday!\No more! Enough already!\I can't waste any more time.\I need to leave Sakura Hall before...\my common sense is eaten away...\What's important is the courage not to miss your chance. Fujisawa Kazuki\It's not that there isn't anything I want to be, but...\Following his original theory... response:	that programmers must sleep eight hours every day,
context: No more! Enough already!\I can't waste any more time.\I need to leave Sakura Hall before...\my common sense is eaten away...\What's important is the courage not to miss your chance. Fujisawa Kazuki\It's not that there isn't anything I want to be, but...\Following his original theory...\that programmers must sleep eight hours every day, response:	Ryunosuke is currently resting in a dreamlike state.
context: I can't waste any more time.\I need to leave Sakura Hall before...\my common sense is eaten away...\What's important is the courage not to miss your chance. Fujisawa Kazuki\It's not that there isn't anything I want to be, but...\Following his original theory...\that programmers must sleep eight hours every day,\Ryunosuke is currently resting in a dreamlike state. response:	From: Maid-chan, who wishes she could sleep...
context: I need to leave Sakura Hall before...\my common sense is eaten away...\What's important is the courage not to miss your chance. Fujisawa Kazuki\It's not that there isn't anything I want to be, but...\Following his original theory...\that programmers must sleep eight hours every day,\Ryunosuke is currently resting in a dreamlike state.\From: Maid-chan, who wishes she could sleep... response:	alongside Ryunosuke-sama.
context: my common sense is eaten away...\What's important is the courage not to miss your chance. Fujisawa Kazuki\It's not that there isn't anything I want to be, but...\Following his original theory...\that programmers must sleep eight hours every day,\Ryunosuke is currently resting in a dreamlike state.\From: Maid-chan, who wishes she could sleep...\alongside Ryunosuke-sama. response:	Who can be in a dreamlike state in the middle of this ruckus?
context: What's important is the courage not to miss your chance. Fujisawa Kazuki\It's not that there isn't anything I want to be, but...\Following his original theory...\that programmers must sleep eight hours every day,\Ryunosuke is currently resting in a dreamlike state.\From: Maid-chan, who wishes she could sleep...\alongside Ryunosuke-sama.\Who can be in a dreamlike state in the middle of this ruckus? response:	Oh, Shiina. You're home...
context: It's not that there isn't anything I want to be, but...\Following his original theory...\that programmers must sleep eight hours every day,\Ryunosuke is currently resting in a dreamlike state.\From: Maid-chan, who wishes she could sleep...\alongside Ryunosuke-sama.\Who can be in a dreamlike state in the middle of this ruckus?\Oh, Shiina. You're home... response:	Come.
context: Following his original theory...\that programmers must sleep eight hours every day,\Ryunosuke is currently resting in a dreamlike state.\From: Maid-chan, who wishes she could sleep...\alongside Ryunosuke-sama.\Who can be in a dreamlike state in the middle of this ruckus?\Oh, Shiina. You're home...\Come. response:	Shiina?
context: that programmers must sleep eight hours every day,\Ryunosuke is currently resting in a dreamlike state.\From: Maid-chan, who wishes she could sleep...\alongside Ryunosuke-sama.\Who can be in a dreamlike state in the middle of this ruckus?\Oh, Shiina. You're home...\Come.\Shiina? response:	Take off your clothes.
context: Ryunosuke is currently resting in a dreamlike state.\From: Maid-chan, who wishes she could sleep...\alongside Ryunosuke-sama.\Who can be in a dreamlike state in the middle of this ruckus?\Oh, Shiina. You're home...\Come.\Shiina?\Take off your clothes. response:	I want to see you naked.
context: From: Maid-chan, who wishes she could sleep...\alongside Ryunosuke-sama.\Who can be in a dreamlike state in the middle of this ruckus?\Oh, Shiina. You're home...\Come.\Shiina?\Take off your clothes.\I want to see you naked. response:	Why do you want to see that?
context: alongside Ryunosuke-sama.\Who can be in a dreamlike state in the middle of this ruckus?\Oh, Shiina. You're home...\Come.\Shiina?\Take off your clothes.\I want to see you naked.\Why do you want to see that? response:	I want your body.
context: Who can be in a dreamlike state in the middle of this ruckus?\Oh, Shiina. You're home...\Come.\Shiina?\Take off your clothes.\I want to see you naked.\Why do you want to see that?\I want your body. response:	That's not an answer!
context: Oh, Shiina. You're home...\Come.\Shiina?\Take off your clothes.\I want to see you naked.\Why do you want to see that?\I want your body.\That's not an answer! response:	Take them off.
context: Come.\Shiina?\Take off your clothes.\I want to see you naked.\Why do you want to see that?\I want your body.\That's not an answer!\Take them off. response:	I refuse.
context: Shiina?\Take off your clothes.\I want to see you naked.\Why do you want to see that?\I want your body.\That's not an answer!\Take them off.\I refuse. response:	Why?
context: Take off your clothes.\I want to see you naked.\Why do you want to see that?\I want your body.\That's not an answer!\Take them off.\I refuse.\Why? response:	You're asking me why? Because... it's embarrassing.
context: I want to see you naked.\Why do you want to see that?\I want your body.\That's not an answer!\Take them off.\I refuse.\Why?\You're asking me why? Because... it's embarrassing. response:	I'm not embarrassed.
context: Why do you want to see that?\I want your body.\That's not an answer!\Take them off.\I refuse.\Why?\You're asking me why? Because... it's embarrassing.\I'm not embarrassed. response:	It's embarrassing for me!
context: I want your body.\That's not an answer!\Take them off.\I refuse.\Why?\You're asking me why? Because... it's embarrassing.\I'm not embarrassed.\It's embarrassing for me! response:	Ayano advised me to do this.
context: That's not an answer!\Take them off.\I refuse.\Why?\You're asking me why? Because... it's embarrassing.\I'm not embarrassed.\It's embarrassing for me!\Ayano advised me to do this. response:	Ayano?
context: Take them off.\I refuse.\Why?\You're asking me why? Because... it's embarrassing.\I'm not embarrassed.\It's embarrassing for me!\Ayano advised me to do this.\Ayano? response:	Last year, I entered the New Manga Artist Award competition.
context: I refuse.\Why?\You're asking me why? Because... it's embarrassing.\I'm not embarrassed.\It's embarrassing for me!\Ayano advised me to do this.\Ayano?\Last year, I entered the New Manga Artist Award competition. response:	You won... an award?
context: Why?\You're asking me why? Because... it's embarrassing.\I'm not embarrassed.\It's embarrassing for me!\Ayano advised me to do this.\Ayano?\Last year, I entered the New Manga Artist Award competition.\You won... an award? response:	I didn't win.
context: You're asking me why? Because... it's embarrassing.\I'm not embarrassed.\It's embarrassing for me!\Ayano advised me to do this.\Ayano?\Last year, I entered the New Manga Artist Award competition.\You won... an award?\I didn't win. response:	But Ayano saw my work,
context: I'm not embarrassed.\It's embarrassing for me!\Ayano advised me to do this.\Ayano?\Last year, I entered the New Manga Artist Award competition.\You won... an award?\I didn't win.\But Ayano saw my work, response:	and said that the art style was good.
context: It's embarrassing for me!\Ayano advised me to do this.\Ayano?\Last year, I entered the New Manga Artist Award competition.\You won... an award?\I didn't win.\But Ayano saw my work,\and said that the art style was good. response:	Oh, right. An editor...
context: Ayano advised me to do this.\Ayano?\Last year, I entered the New Manga Artist Award competition.\You won... an award?\I didn't win.\But Ayano saw my work,\and said that the art style was good.\Oh, right. An editor... response:	Ayano advised me to do this.
context: Ayano?\Last year, I entered the New Manga Artist Award competition.\You won... an award?\I didn't win.\But Ayano saw my work,\and said that the art style was good.\Oh, right. An editor...\Ayano advised me to do this. response:	You're starting from there again?
context: Last year, I entered the New Manga Artist Award competition.\You won... an award?\I didn't win.\But Ayano saw my work,\and said that the art style was good.\Oh, right. An editor...\Ayano advised me to do this.\You're starting from there again? response:	She said, if delicate expressions of emotion...
context: You won... an award?\I didn't win.\But Ayano saw my work,\and said that the art style was good.\Oh, right. An editor...\Ayano advised me to do this.\You're starting from there again?\She said, if delicate expressions of emotion... response:	are difficult for you...
context: I didn't win.\But Ayano saw my work,\and said that the art style was good.\Oh, right. An editor...\Ayano advised me to do this.\You're starting from there again?\She said, if delicate expressions of emotion...\are difficult for you... response:	then why don't you try more extreme depictions?
context: But Ayano saw my work,\and said that the art style was good.\Oh, right. An editor...\Ayano advised me to do this.\You're starting from there again?\She said, if delicate expressions of emotion...\are difficult for you...\then why don't you try more extreme depictions? response:	I see.
context: and said that the art style was good.\Oh, right. An editor...\Ayano advised me to do this.\You're starting from there again?\She said, if delicate expressions of emotion...\are difficult for you...\then why don't you try more extreme depictions?\I see. response:	So that's why you want to see a naked man...
context: Oh, right. An editor...\Ayano advised me to do this.\You're starting from there again?\She said, if delicate expressions of emotion...\are difficult for you...\then why don't you try more extreme depictions?\I see.\So that's why you want to see a naked man... response:	Shojo manga can be pretty extreme sometimes.
context: Ayano advised me to do this.\You're starting from there again?\She said, if delicate expressions of emotion...\are difficult for you...\then why don't you try more extreme depictions?\I see.\So that's why you want to see a naked man...\Shojo manga can be pretty extreme sometimes. response:	If I take my clothes off, will you take off yours?
context: You're starting from there again?\She said, if delicate expressions of emotion...\are difficult for you...\then why don't you try more extreme depictions?\I see.\So that's why you want to see a naked man...\Shojo manga can be pretty extreme sometimes.\If I take my clothes off, will you take off yours? response:	Don't do that!
context: She said, if delicate expressions of emotion...\are difficult for you...\then why don't you try more extreme depictions?\I see.\So that's why you want to see a naked man...\Shojo manga can be pretty extreme sometimes.\If I take my clothes off, will you take off yours?\Don't do that! response:	Okay, I'll take off my clothes!
context: are difficult for you...\then why don't you try more extreme depictions?\I see.\So that's why you want to see a naked man...\Shojo manga can be pretty extreme sometimes.\If I take my clothes off, will you take off yours?\Don't do that!\Okay, I'll take off my clothes! response:	You just want me to take them off, right?
context: then why don't you try more extreme depictions?\I see.\So that's why you want to see a naked man...\Shojo manga can be pretty extreme sometimes.\If I take my clothes off, will you take off yours?\Don't do that!\Okay, I'll take off my clothes!\You just want me to take them off, right? response:	I won't take off my underwear, though!
context: I see.\So that's why you want to see a naked man...\Shojo manga can be pretty extreme sometimes.\If I take my clothes off, will you take off yours?\Don't do that!\Okay, I'll take off my clothes!\You just want me to take them off, right?\I won't take off my underwear, though! response:	That's my only condition!
context: So that's why you want to see a naked man...\Shojo manga can be pretty extreme sometimes.\If I take my clothes off, will you take off yours?\Don't do that!\Okay, I'll take off my clothes!\You just want me to take them off, right?\I won't take off my underwear, though!\That's my only condition! response:	I will take off your underwear.
context: Shojo manga can be pretty extreme sometimes.\If I take my clothes off, will you take off yours?\Don't do that!\Okay, I'll take off my clothes!\You just want me to take them off, right?\I won't take off my underwear, though!\That's my only condition!\I will take off your underwear. response:	You're crazy!
context: If I take my clothes off, will you take off yours?\Don't do that!\Okay, I'll take off my clothes!\You just want me to take them off, right?\I won't take off my underwear, though!\That's my only condition!\I will take off your underwear.\You're crazy! response:	Hey!
context: Don't do that!\Okay, I'll take off my clothes!\You just want me to take them off, right?\I won't take off my underwear, though!\That's my only condition!\I will take off your underwear.\You're crazy!\Hey! response:	Don't move.
context: Okay, I'll take off my clothes!\You just want me to take them off, right?\I won't take off my underwear, though!\That's my only condition!\I will take off your underwear.\You're crazy!\Hey!\Don't move. response:	It feels hard and heavy.
context: You just want me to take them off, right?\I won't take off my underwear, though!\That's my only condition!\I will take off your underwear.\You're crazy!\Hey!\Don't move.\It feels hard and heavy. response:	Your heart is beating.
context: I won't take off my underwear, though!\That's my only condition!\I will take off your underwear.\You're crazy!\Hey!\Don't move.\It feels hard and heavy.\Your heart is beating. response:	That's because I'm alive.
context: That's my only condition!\I will take off your underwear.\You're crazy!\Hey!\Don't move.\It feels hard and heavy.\Your heart is beating.\That's because I'm alive. response:	Your pulse is quickening.
context: I will take off your underwear.\You're crazy!\Hey!\Don't move.\It feels hard and heavy.\Your heart is beating.\That's because I'm alive.\Your pulse is quickening. response:	Whose fault is that?!
context: You're crazy!\Hey!\Don't move.\It feels hard and heavy.\Your heart is beating.\That's because I'm alive.\Your pulse is quickening.\Whose fault is that?! response:	Sorata.
context: Hey!\Don't move.\It feels hard and heavy.\Your heart is beating.\That's because I'm alive.\Your pulse is quickening.\Whose fault is that?!\Sorata. response:	What?!
context: Don't move.\It feels hard and heavy.\Your heart is beating.\That's because I'm alive.\Your pulse is quickening.\Whose fault is that?!\Sorata.\What?! response:	Hold me.
context: It feels hard and heavy.\Your heart is beating.\That's because I'm alive.\Your pulse is quickening.\Whose fault is that?!\Sorata.\What?!\Hold me. response:	Like hell I will!
context: Your heart is beating.\That's because I'm alive.\Your pulse is quickening.\Whose fault is that?!\Sorata.\What?!\Hold me.\Like hell I will! response:	More.
context: That's because I'm alive.\Your pulse is quickening.\Whose fault is that?!\Sorata.\What?!\Hold me.\Like hell I will!\More. response:	Sorata.
context: Your pulse is quickening.\Whose fault is that?!\Sorata.\What?!\Hold me.\Like hell I will!\More.\Sorata. response:	What now?
context: Whose fault is that?!\Sorata.\What?!\Hold me.\Like hell I will!\More.\Sorata.\What now? response:	Have you had sex?
context: Sorata.\What?!\Hold me.\Like hell I will!\More.\Sorata.\What now?\Have you had sex? response:	Sorata?
context: What?!\Hold me.\Like hell I will!\More.\Sorata.\What now?\Have you had sex?\Sorata? response:	Don't surprise me like that! No, I haven't!
context: Hold me.\Like hell I will!\More.\Sorata.\What now?\Have you had sex?\Sorata?\Don't surprise me like that! No, I haven't! response:	But you have a nice body.
context: Like hell I will!\More.\Sorata.\What now?\Have you had sex?\Sorata?\Don't surprise me like that! No, I haven't!\But you have a nice body. response:	What kind of reasoning is that?!
context: More.\Sorata.\What now?\Have you had sex?\Sorata?\Don't surprise me like that! No, I haven't!\But you have a nice body.\What kind of reasoning is that?! response:	My body's only like this because I played soccer...
context: Sorata.\What now?\Have you had sex?\Sorata?\Don't surprise me like that! No, I haven't!\But you have a nice body.\What kind of reasoning is that?!\My body's only like this because I played soccer... response:	in grade school and middle school.
context: What now?\Have you had sex?\Sorata?\Don't surprise me like that! No, I haven't!\But you have a nice body.\What kind of reasoning is that?!\My body's only like this because I played soccer...\in grade school and middle school. response:	What about now?
context: Have you had sex?\Sorata?\Don't surprise me like that! No, I haven't!\But you have a nice body.\What kind of reasoning is that?!\My body's only like this because I played soccer...\in grade school and middle school.\What about now? response:	I don't play anymore!
context: Sorata?\Don't surprise me like that! No, I haven't!\But you have a nice body.\What kind of reasoning is that?!\My body's only like this because I played soccer...\in grade school and middle school.\What about now?\I don't play anymore! response:	Can't you tell just by watching me?!
context: Don't surprise me like that! No, I haven't!\But you have a nice body.\What kind of reasoning is that?!\My body's only like this because I played soccer...\in grade school and middle school.\What about now?\I don't play anymore!\Can't you tell just by watching me?! response:	Did you get injured?
context: But you have a nice body.\What kind of reasoning is that?!\My body's only like this because I played soccer...\in grade school and middle school.\What about now?\I don't play anymore!\Can't you tell just by watching me?!\Did you get injured? response:	There are plenty of reasons to quit other than an injury.
context: What kind of reasoning is that?!\My body's only like this because I played soccer...\in grade school and middle school.\What about now?\I don't play anymore!\Can't you tell just by watching me?!\Did you get injured?\There are plenty of reasons to quit other than an injury. response:	I don't understand.
context: My body's only like this because I played soccer...\in grade school and middle school.\What about now?\I don't play anymore!\Can't you tell just by watching me?!\Did you get injured?\There are plenty of reasons to quit other than an injury.\I don't understand. response:	I wasn't good enough.
context: in grade school and middle school.\What about now?\I don't play anymore!\Can't you tell just by watching me?!\Did you get injured?\There are plenty of reasons to quit other than an injury.\I don't understand.\I wasn't good enough. response:	I wasn't particularly good at it.
context: What about now?\I don't play anymore!\Can't you tell just by watching me?!\Did you get injured?\There are plenty of reasons to quit other than an injury.\I don't understand.\I wasn't good enough.\I wasn't particularly good at it. response:	I kept at it for nine years,
context: I don't play anymore!\Can't you tell just by watching me?!\Did you get injured?\There are plenty of reasons to quit other than an injury.\I don't understand.\I wasn't good enough.\I wasn't particularly good at it.\I kept at it for nine years, response:	but I guess you could say I saw my limitations...
context: Can't you tell just by watching me?!\Did you get injured?\There are plenty of reasons to quit other than an injury.\I don't understand.\I wasn't good enough.\I wasn't particularly good at it.\I kept at it for nine years,\but I guess you could say I saw my limitations... response:	I guess that's why I lost my passion for it.
context: Did you get injured?\There are plenty of reasons to quit other than an injury.\I don't understand.\I wasn't good enough.\I wasn't particularly good at it.\I kept at it for nine years,\but I guess you could say I saw my limitations...\I guess that's why I lost my passion for it. response:	There came a point where I stopped caring whether we lost or not...
context: There are plenty of reasons to quit other than an injury.\I don't understand.\I wasn't good enough.\I wasn't particularly good at it.\I kept at it for nine years,\but I guess you could say I saw my limitations...\I guess that's why I lost my passion for it.\There came a point where I stopped caring whether we lost or not... response:	and I subconsciously learned not to try so hard.
context: I don't understand.\I wasn't good enough.\I wasn't particularly good at it.\I kept at it for nine years,\but I guess you could say I saw my limitations...\I guess that's why I lost my passion for it.\There came a point where I stopped caring whether we lost or not...\and I subconsciously learned not to try so hard. response:	It happens all the time, right?
context: I wasn't good enough.\I wasn't particularly good at it.\I kept at it for nine years,\but I guess you could say I saw my limitations...\I guess that's why I lost my passion for it.\There came a point where I stopped caring whether we lost or not...\and I subconsciously learned not to try so hard.\It happens all the time, right? response:	That's enough.
context: I wasn't particularly good at it.\I kept at it for nine years,\but I guess you could say I saw my limitations...\I guess that's why I lost my passion for it.\There came a point where I stopped caring whether we lost or not...\and I subconsciously learned not to try so hard.\It happens all the time, right?\That's enough. response:	Hey, Shiina?
context: I kept at it for nine years,\but I guess you could say I saw my limitations...\I guess that's why I lost my passion for it.\There came a point where I stopped caring whether we lost or not...\and I subconsciously learned not to try so hard.\It happens all the time, right?\That's enough.\Hey, Shiina? response:	Huh? Am I supposed to just sit here like this?
context: but I guess you could say I saw my limitations...\I guess that's why I lost my passion for it.\There came a point where I stopped caring whether we lost or not...\and I subconsciously learned not to try so hard.\It happens all the time, right?\That's enough.\Hey, Shiina?\Huh? Am I supposed to just sit here like this? response:	I see.
context: I guess that's why I lost my passion for it.\There came a point where I stopped caring whether we lost or not...\and I subconsciously learned not to try so hard.\It happens all the time, right?\That's enough.\Hey, Shiina?\Huh? Am I supposed to just sit here like this?\I see. response:	It's not interesting?
context: There came a point where I stopped caring whether we lost or not...\and I subconsciously learned not to try so hard.\It happens all the time, right?\That's enough.\Hey, Shiina?\Huh? Am I supposed to just sit here like this?\I see.\It's not interesting? response:	Oh, it's not that...
context: and I subconsciously learned not to try so hard.\It happens all the time, right?\That's enough.\Hey, Shiina?\Huh? Am I supposed to just sit here like this?\I see.\It's not interesting?\Oh, it's not that... response:	Ayano told me it wasn't.
context: It happens all the time, right?\That's enough.\Hey, Shiina?\Huh? Am I supposed to just sit here like this?\I see.\It's not interesting?\Oh, it's not that...\Ayano told me it wasn't. response:	You can get rid of it.
context: That's enough.\Hey, Shiina?\Huh? Am I supposed to just sit here like this?\I see.\It's not interesting?\Oh, it's not that...\Ayano told me it wasn't.\You can get rid of it. response:	What? But...
context: Hey, Shiina?\Huh? Am I supposed to just sit here like this?\I see.\It's not interesting?\Oh, it's not that...\Ayano told me it wasn't.\You can get rid of it.\What? But... response:	It's okay. I'll redraw it.
context: Huh? Am I supposed to just sit here like this?\I see.\It's not interesting?\Oh, it's not that...\Ayano told me it wasn't.\You can get rid of it.\What? But...\It's okay. I'll redraw it. response:	New Manga Artist Award Entry Requirements
context: I see.\It's not interesting?\Oh, it's not that...\Ayano told me it wasn't.\You can get rid of it.\What? But...\It's okay. I'll redraw it.\New Manga Artist Award Entry Requirements response:	Redraw it?
context: It's not interesting?\Oh, it's not that...\Ayano told me it wasn't.\You can get rid of it.\What? But...\It's okay. I'll redraw it.\New Manga Artist Award Entry Requirements\Redraw it? response:	Are you going to apply for the new artist award again?
context: Oh, it's not that...\Ayano told me it wasn't.\You can get rid of it.\What? But...\It's okay. I'll redraw it.\New Manga Artist Award Entry Requirements\Redraw it?\Are you going to apply for the new artist award again? response:	You must really like drawing manga.
