context: These are for the children, and these are for the adults. response:	Please put them on your hand before you go in.
context: You can't.\At this place, there will be a lot of people that will see you!\But'\Over there!\Right!\Release!\O Card created by Clow,\discard thine old form and be reborn. response:	Under the name of Sakura, thy new Mistress.
context: At this place, there will be a lot of people that will see you!\But'\Over there!\Right!\Release!\O Card created by Clow,\discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress. response:	Watery!
context: But'\Over there!\Right!\Release!\O Card created by Clow,\discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress.\Watery! response:	Rain?
context: Over there!\Right!\Release!\O Card created by Clow,\discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress.\Watery!\Rain? response:	But it is an inside pool.
context: Right!\Release!\O Card created by Clow,\discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress.\Watery!\Rain?\But it is an inside pool. response:	I did it!
context: Release!\O Card created by Clow,\discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress.\Watery!\Rain?\But it is an inside pool.\I did it! response:	Rika-chan!
context: O Card created by Clow,\discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress.\Watery!\Rain?\But it is an inside pool.\I did it!\Rika-chan! response:	Are you ok?
context: discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress.\Watery!\Rain?\But it is an inside pool.\I did it!\Rika-chan!\Are you ok? response:	I'm fine.
context: Under the name of Sakura, thy new Mistress.\Watery!\Rain?\But it is an inside pool.\I did it!\Rika-chan!\Are you ok?\I'm fine. response:	I'm so glad.
context: Watery!\Rain?\But it is an inside pool.\I did it!\Rika-chan!\Are you ok?\I'm fine.\I'm so glad. response:	' I'm glad.' It scared me to death.
context: Rain?\But it is an inside pool.\I did it!\Rika-chan!\Are you ok?\I'm fine.\I'm so glad.\' I'm glad.' It scared me to death. response:	Are you okay?
context: But it is an inside pool.\I did it!\Rika-chan!\Are you ok?\I'm fine.\I'm so glad.\' I'm glad.' It scared me to death.\Are you okay? response:	Eriol, if Sakura didn't help and use her Clow cards,
context: I did it!\Rika-chan!\Are you ok?\I'm fine.\I'm so glad.\' I'm glad.' It scared me to death.\Are you okay?\Eriol, if Sakura didn't help and use her Clow cards, response:	you would have stopped the wave
context: Rika-chan!\Are you ok?\I'm fine.\I'm so glad.\' I'm glad.' It scared me to death.\Are you okay?\Eriol, if Sakura didn't help and use her Clow cards,\you would have stopped the wave response:	So what was the point of doing that?
context: Are you ok?\I'm fine.\I'm so glad.\' I'm glad.' It scared me to death.\Are you okay?\Eriol, if Sakura didn't help and use her Clow cards,\you would have stopped the wave\So what was the point of doing that? response:	You will soon find out.
context: I'm fine.\I'm so glad.\' I'm glad.' It scared me to death.\Are you okay?\Eriol, if Sakura didn't help and use her Clow cards,\you would have stopped the wave\So what was the point of doing that?\You will soon find out. response:	Today was very weird.
context: I'm so glad.\' I'm glad.' It scared me to death.\Are you okay?\Eriol, if Sakura didn't help and use her Clow cards,\you would have stopped the wave\So what was the point of doing that?\You will soon find out.\Today was very weird. response:	It's good that Rika-chan is ok.
context: ' I'm glad.' It scared me to death.\Are you okay?\Eriol, if Sakura didn't help and use her Clow cards,\you would have stopped the wave\So what was the point of doing that?\You will soon find out.\Today was very weird.\It's good that Rika-chan is ok. response:	I want to thank you for helping me to swim.
context: Are you okay?\Eriol, if Sakura didn't help and use her Clow cards,\you would have stopped the wave\So what was the point of doing that?\You will soon find out.\Today was very weird.\It's good that Rika-chan is ok.\I want to thank you for helping me to swim. response:	Sasaki-san,
context: Eriol, if Sakura didn't help and use her Clow cards,\you would have stopped the wave\So what was the point of doing that?\You will soon find out.\Today was very weird.\It's good that Rika-chan is ok.\I want to thank you for helping me to swim.\Sasaki-san, response:	will you be scared of water later on?
context: you would have stopped the wave\So what was the point of doing that?\You will soon find out.\Today was very weird.\It's good that Rika-chan is ok.\I want to thank you for helping me to swim.\Sasaki-san,\will you be scared of water later on? response:	No, though it was a little scary.
context: So what was the point of doing that?\You will soon find out.\Today was very weird.\It's good that Rika-chan is ok.\I want to thank you for helping me to swim.\Sasaki-san,\will you be scared of water later on?\No, though it was a little scary. response:	Sakura-chan,
context: You will soon find out.\Today was very weird.\It's good that Rika-chan is ok.\I want to thank you for helping me to swim.\Sasaki-san,\will you be scared of water later on?\No, though it was a little scary.\Sakura-chan, response:	will you still help me swim?
context: Today was very weird.\It's good that Rika-chan is ok.\I want to thank you for helping me to swim.\Sasaki-san,\will you be scared of water later on?\No, though it was a little scary.\Sakura-chan,\will you still help me swim? response:	Of course!
