context: Gust of wind leaves fall leaves falling response:	Got it!
context: But that's no excuse.\Sorry.\Oh. Taichi. Porky.\I'm glad you're president of the karuta club.\What's this about?\You're giving me the creeps.\Well, I mean...\compared to Ayase, response:	who gives people weird nicknames like Porky and Desktomu,
context: Sorry.\Oh. Taichi. Porky.\I'm glad you're president of the karuta club.\What's this about?\You're giving me the creeps.\Well, I mean...\compared to Ayase,\who gives people weird nicknames like Porky and Desktomu, response:	and she's such an airhead  that we let her get away with it.
context: Oh. Taichi. Porky.\I'm glad you're president of the karuta club.\What's this about?\You're giving me the creeps.\Well, I mean...\compared to Ayase,\who gives people weird nicknames like Porky and Desktomu,\and she's such an airhead  that we let her get away with it. response:	You're the only one who calls me Nishida.
context: I'm glad you're president of the karuta club.\What's this about?\You're giving me the creeps.\Well, I mean...\compared to Ayase,\who gives people weird nicknames like Porky and Desktomu,\and she's such an airhead  that we let her get away with it.\You're the only one who calls me Nishida. response:	I want to keep playing karuta with you.
context: What's this about?\You're giving me the creeps.\Well, I mean...\compared to Ayase,\who gives people weird nicknames like Porky and Desktomu,\and she's such an airhead  that we let her get away with it.\You're the only one who calls me Nishida.\I want to keep playing karuta with you. response:	Chihaya-chan?
context: You're giving me the creeps.\Well, I mean...\compared to Ayase,\who gives people weird nicknames like Porky and Desktomu,\and she's such an airhead  that we let her get away with it.\You're the only one who calls me Nishida.\I want to keep playing karuta with you.\Chihaya-chan? response:	Okay, everyone.
context: Well, I mean...\compared to Ayase,\who gives people weird nicknames like Porky and Desktomu,\and she's such an airhead  that we let her get away with it.\You're the only one who calls me Nishida.\I want to keep playing karuta with you.\Chihaya-chan?\Okay, everyone. response:	Make sure you don't forget anything.
context: compared to Ayase,\who gives people weird nicknames like Porky and Desktomu,\and she's such an airhead  that we let her get away with it.\You're the only one who calls me Nishida.\I want to keep playing karuta with you.\Chihaya-chan?\Okay, everyone.\Make sure you don't forget anything. response:	Let's get going.
context: who gives people weird nicknames like Porky and Desktomu,\and she's such an airhead  that we let her get away with it.\You're the only one who calls me Nishida.\I want to keep playing karuta with you.\Chihaya-chan?\Okay, everyone.\Make sure you don't forget anything.\Let's get going. response:	O-Okay.
context: and she's such an airhead  that we let her get away with it.\You're the only one who calls me Nishida.\I want to keep playing karuta with you.\Chihaya-chan?\Okay, everyone.\Make sure you don't forget anything.\Let's get going.\O-Okay. response:	I'm starving.
context: You're the only one who calls me Nishida.\I want to keep playing karuta with you.\Chihaya-chan?\Okay, everyone.\Make sure you don't forget anything.\Let's get going.\O-Okay.\I'm starving. response:	Wanna grab something to eat?
context: I want to keep playing karuta with you.\Chihaya-chan?\Okay, everyone.\Make sure you don't forget anything.\Let's get going.\O-Okay.\I'm starving.\Wanna grab something to eat? response:	Oe Traditional Clothing
context: Chihaya-chan?\Okay, everyone.\Make sure you don't forget anything.\Let's get going.\O-Okay.\I'm starving.\Wanna grab something to eat?\Oe Traditional Clothing response:	Thank you for driving us home.
context: Okay, everyone.\Make sure you don't forget anything.\Let's get going.\O-Okay.\I'm starving.\Wanna grab something to eat?\Oe Traditional Clothing\Thank you for driving us home. response:	Don't mention it.
context: Make sure you don't forget anything.\Let's get going.\O-Okay.\I'm starving.\Wanna grab something to eat?\Oe Traditional Clothing\Thank you for driving us home.\Don't mention it. response:	Anyway, the Mizusawa Karuta Club did great!
context: Let's get going.\O-Okay.\I'm starving.\Wanna grab something to eat?\Oe Traditional Clothing\Thank you for driving us home.\Don't mention it.\Anyway, the Mizusawa Karuta Club did great! response:	Four of the five members placed,
context: O-Okay.\I'm starving.\Wanna grab something to eat?\Oe Traditional Clothing\Thank you for driving us home.\Don't mention it.\Anyway, the Mizusawa Karuta Club did great!\Four of the five members placed, response:	and three members advanced in rank.
context: I'm starving.\Wanna grab something to eat?\Oe Traditional Clothing\Thank you for driving us home.\Don't mention it.\Anyway, the Mizusawa Karuta Club did great!\Four of the five members placed,\and three members advanced in rank. response:	Huh? Really?
context: Wanna grab something to eat?\Oe Traditional Clothing\Thank you for driving us home.\Don't mention it.\Anyway, the Mizusawa Karuta Club did great!\Four of the five members placed,\and three members advanced in rank.\Huh? Really? response:	That's right!
context: Oe Traditional Clothing\Thank you for driving us home.\Don't mention it.\Anyway, the Mizusawa Karuta Club did great!\Four of the five members placed,\and three members advanced in rank.\Huh? Really?\That's right! response:	The top three finalists in Class D advance to Class C,
context: Thank you for driving us home.\Don't mention it.\Anyway, the Mizusawa Karuta Club did great!\Four of the five members placed,\and three members advanced in rank.\Huh? Really?\That's right!\The top three finalists in Class D advance to Class C, response:	so both Kana-chan and Desk-
context: Don't mention it.\Anyway, the Mizusawa Karuta Club did great!\Four of the five members placed,\and three members advanced in rank.\Huh? Really?\That's right!\The top three finalists in Class D advance to Class C,\so both Kana-chan and Desk- response:	Komano-kun get to advance.
context: Anyway, the Mizusawa Karuta Club did great!\Four of the five members placed,\and three members advanced in rank.\Huh? Really?\That's right!\The top three finalists in Class D advance to Class C,\so both Kana-chan and Desk-\Komano-kun get to advance. response:	Komano-kun?
context: Four of the five members placed,\and three members advanced in rank.\Huh? Really?\That's right!\The top three finalists in Class D advance to Class C,\so both Kana-chan and Desk-\Komano-kun get to advance.\Komano-kun? response:	Everyone worked really hard.
context: and three members advanced in rank.\Huh? Really?\That's right!\The top three finalists in Class D advance to Class C,\so both Kana-chan and Desk-\Komano-kun get to advance.\Komano-kun?\Everyone worked really hard. response:	I still can't believe that I won.
context: Huh? Really?\That's right!\The top three finalists in Class D advance to Class C,\so both Kana-chan and Desk-\Komano-kun get to advance.\Komano-kun?\Everyone worked really hard.\I still can't believe that I won. response:	You shouldn't say that.
context: That's right!\The top three finalists in Class D advance to Class C,\so both Kana-chan and Desk-\Komano-kun get to advance.\Komano-kun?\Everyone worked really hard.\I still can't believe that I won.\You shouldn't say that. response:	I was really amazed today.
context: The top three finalists in Class D advance to Class C,\so both Kana-chan and Desk-\Komano-kun get to advance.\Komano-kun?\Everyone worked really hard.\I still can't believe that I won.\You shouldn't say that.\I was really amazed today. response:	In your match against Desk- Komano-kun,
context: so both Kana-chan and Desk-\Komano-kun get to advance.\Komano-kun?\Everyone worked really hard.\I still can't believe that I won.\You shouldn't say that.\I was really amazed today.\In your match against Desk- Komano-kun, response:	I could tell that you've really improved.
context: Komano-kun get to advance.\Komano-kun?\Everyone worked really hard.\I still can't believe that I won.\You shouldn't say that.\I was really amazed today.\In your match against Desk- Komano-kun,\I could tell that you've really improved. response:	You were taking cards without making a sound, without using too much force.
context: Komano-kun?\Everyone worked really hard.\I still can't believe that I won.\You shouldn't say that.\I was really amazed today.\In your match against Desk- Komano-kun,\I could tell that you've really improved.\You were taking cards without making a sound, without using too much force. response:	I wish I could do that.
context: Everyone worked really hard.\I still can't believe that I won.\You shouldn't say that.\I was really amazed today.\In your match against Desk- Komano-kun,\I could tell that you've really improved.\You were taking cards without making a sound, without using too much force.\I wish I could do that. response:	What? You've done it before, Chihaya-chan.
context: I still can't believe that I won.\You shouldn't say that.\I was really amazed today.\In your match against Desk- Komano-kun,\I could tell that you've really improved.\You were taking cards without making a sound, without using too much force.\I wish I could do that.\What? You've done it before, Chihaya-chan. response:	Huh?
context: You shouldn't say that.\I was really amazed today.\In your match against Desk- Komano-kun,\I could tell that you've really improved.\You were taking cards without making a sound, without using too much force.\I wish I could do that.\What? You've done it before, Chihaya-chan.\Huh? response:	The last card you took in the finals against Hokuo.
context: I was really amazed today.\In your match against Desk- Komano-kun,\I could tell that you've really improved.\You were taking cards without making a sound, without using too much force.\I wish I could do that.\What? You've done it before, Chihaya-chan.\Huh?\The last card you took in the finals against Hokuo. response:	I can still remember it.
context: In your match against Desk- Komano-kun,\I could tell that you've really improved.\You were taking cards without making a sound, without using too much force.\I wish I could do that.\What? You've done it before, Chihaya-chan.\Huh?\The last card you took in the finals against Hokuo.\I can still remember it. response:	I can't remember.
context: I could tell that you've really improved.\You were taking cards without making a sound, without using too much force.\I wish I could do that.\What? You've done it before, Chihaya-chan.\Huh?\The last card you took in the finals against Hokuo.\I can still remember it.\I can't remember. response:	What?!
context: You were taking cards without making a sound, without using too much force.\I wish I could do that.\What? You've done it before, Chihaya-chan.\Huh?\The last card you took in the finals against Hokuo.\I can still remember it.\I can't remember.\What?! response:	I don't believe it!
context: I wish I could do that.\What? You've done it before, Chihaya-chan.\Huh?\The last card you took in the finals against Hokuo.\I can still remember it.\I can't remember.\What?!\I don't believe it! response:	It's so hard to be relaxed while taking a card!
context: What? You've done it before, Chihaya-chan.\Huh?\The last card you took in the finals against Hokuo.\I can still remember it.\I can't remember.\What?!\I don't believe it!\It's so hard to be relaxed while taking a card! response:	What a waste!
context: Huh?\The last card you took in the finals against Hokuo.\I can still remember it.\I can't remember.\What?!\I don't believe it!\It's so hard to be relaxed while taking a card!\What a waste! response:	But...
context: The last card you took in the finals against Hokuo.\I can still remember it.\I can't remember.\What?!\I don't believe it!\It's so hard to be relaxed while taking a card!\What a waste!\But... response:	I feel that I was playing 120 in the finals today,
context: I can still remember it.\I can't remember.\What?!\I don't believe it!\It's so hard to be relaxed while taking a card!\What a waste!\But...\I feel that I was playing 120 in the finals today, response:	but that was because I was playing against Desktomu-kun.
context: I can't remember.\What?!\I don't believe it!\It's so hard to be relaxed while taking a card!\What a waste!\But...\I feel that I was playing 120 in the finals today,\but that was because I was playing against Desktomu-kun. response:	Huh?
context: What?!\I don't believe it!\It's so hard to be relaxed while taking a card!\What a waste!\But...\I feel that I was playing 120 in the finals today,\but that was because I was playing against Desktomu-kun.\Huh? response:	I wasn't so much worried
context: I don't believe it!\It's so hard to be relaxed while taking a card!\What a waste!\But...\I feel that I was playing 120 in the finals today,\but that was because I was playing against Desktomu-kun.\Huh?\I wasn't so much worried response:	about winning as I was focused
context: It's so hard to be relaxed while taking a card!\What a waste!\But...\I feel that I was playing 120 in the finals today,\but that was because I was playing against Desktomu-kun.\Huh?\I wasn't so much worried\about winning as I was focused response:	on playing my style of karuta,
context: What a waste!\But...\I feel that I was playing 120 in the finals today,\but that was because I was playing against Desktomu-kun.\Huh?\I wasn't so much worried\about winning as I was focused\on playing my style of karuta, response:	so I didn't feel any pressure.
context: But...\I feel that I was playing 120 in the finals today,\but that was because I was playing against Desktomu-kun.\Huh?\I wasn't so much worried\about winning as I was focused\on playing my style of karuta,\so I didn't feel any pressure. response:	Pressure...
context: I feel that I was playing 120 in the finals today,\but that was because I was playing against Desktomu-kun.\Huh?\I wasn't so much worried\about winning as I was focused\on playing my style of karuta,\so I didn't feel any pressure.\Pressure... response:	Pressure, huh?
context: but that was because I was playing against Desktomu-kun.\Huh?\I wasn't so much worried\about winning as I was focused\on playing my style of karuta,\so I didn't feel any pressure.\Pressure...\Pressure, huh? response:	Taichi and I are always under pressure.
context: Huh?\I wasn't so much worried\about winning as I was focused\on playing my style of karuta,\so I didn't feel any pressure.\Pressure...\Pressure, huh?\Taichi and I are always under pressure. response:	I want to play a team match.
context: I wasn't so much worried\about winning as I was focused\on playing my style of karuta,\so I didn't feel any pressure.\Pressure...\Pressure, huh?\Taichi and I are always under pressure.\I want to play a team match. response:	I want to play as a team again.
context: about winning as I was focused\on playing my style of karuta,\so I didn't feel any pressure.\Pressure...\Pressure, huh?\Taichi and I are always under pressure.\I want to play a team match.\I want to play as a team again. response:	Our team is a lot stronger now.
context: on playing my style of karuta,\so I didn't feel any pressure.\Pressure...\Pressure, huh?\Taichi and I are always under pressure.\I want to play a team match.\I want to play as a team again.\Our team is a lot stronger now. response:	Two Class A players, one Class B player, two Class C players.
context: so I didn't feel any pressure.\Pressure...\Pressure, huh?\Taichi and I are always under pressure.\I want to play a team match.\I want to play as a team again.\Our team is a lot stronger now.\Two Class A players, one Class B player, two Class C players. response:	That's right!
context: Pressure...\Pressure, huh?\Taichi and I are always under pressure.\I want to play a team match.\I want to play as a team again.\Our team is a lot stronger now.\Two Class A players, one Class B player, two Class C players.\That's right! response:	Oh. That means I might run into Pork-
context: Pressure, huh?\Taichi and I are always under pressure.\I want to play a team match.\I want to play as a team again.\Our team is a lot stronger now.\Two Class A players, one Class B player, two Class C players.\That's right!\Oh. That means I might run into Pork- response:	Nishida-kun at the next tournament.
context: Taichi and I are always under pressure.\I want to play a team match.\I want to play as a team again.\Our team is a lot stronger now.\Two Class A players, one Class B player, two Class C players.\That's right!\Oh. That means I might run into Pork-\Nishida-kun at the next tournament. response:	Ayase, you've been acting weird.
context: I want to play a team match.\I want to play as a team again.\Our team is a lot stronger now.\Two Class A players, one Class B player, two Class C players.\That's right!\Oh. That means I might run into Pork-\Nishida-kun at the next tournament.\Ayase, you've been acting weird. response:	Yeah.
context: I want to play as a team again.\Our team is a lot stronger now.\Two Class A players, one Class B player, two Class C players.\That's right!\Oh. That means I might run into Pork-\Nishida-kun at the next tournament.\Ayase, you've been acting weird.\Yeah. response:	Oh! You must have heard what I said!
context: Our team is a lot stronger now.\Two Class A players, one Class B player, two Class C players.\That's right!\Oh. That means I might run into Pork-\Nishida-kun at the next tournament.\Ayase, you've been acting weird.\Yeah.\Oh! You must have heard what I said! response:	Huh? Er, um...
context: Two Class A players, one Class B player, two Class C players.\That's right!\Oh. That means I might run into Pork-\Nishida-kun at the next tournament.\Ayase, you've been acting weird.\Yeah.\Oh! You must have heard what I said!\Huh? Er, um... response:	It's okay. You're supposed to be an airhead.
context: That's right!\Oh. That means I might run into Pork-\Nishida-kun at the next tournament.\Ayase, you've been acting weird.\Yeah.\Oh! You must have heard what I said!\Huh? Er, um...\It's okay. You're supposed to be an airhead. response:	Wouldn't feel right otherwise.
context: Oh. That means I might run into Pork-\Nishida-kun at the next tournament.\Ayase, you've been acting weird.\Yeah.\Oh! You must have heard what I said!\Huh? Er, um...\It's okay. You're supposed to be an airhead.\Wouldn't feel right otherwise. response:	What?!
context: Nishida-kun at the next tournament.\Ayase, you've been acting weird.\Yeah.\Oh! You must have heard what I said!\Huh? Er, um...\It's okay. You're supposed to be an airhead.\Wouldn't feel right otherwise.\What?! response:	You've helped me learn a valuable lesson.
context: Ayase, you've been acting weird.\Yeah.\Oh! You must have heard what I said!\Huh? Er, um...\It's okay. You're supposed to be an airhead.\Wouldn't feel right otherwise.\What?!\You've helped me learn a valuable lesson. response:	I have no expectations of you.
context: Yeah.\Oh! You must have heard what I said!\Huh? Er, um...\It's okay. You're supposed to be an airhead.\Wouldn't feel right otherwise.\What?!\You've helped me learn a valuable lesson.\I have no expectations of you. response:	My team.
context: Oh! You must have heard what I said!\Huh? Er, um...\It's okay. You're supposed to be an airhead.\Wouldn't feel right otherwise.\What?!\You've helped me learn a valuable lesson.\I have no expectations of you.\My team. response:	That's very important to me.
context: Huh? Er, um...\It's okay. You're supposed to be an airhead.\Wouldn't feel right otherwise.\What?!\You've helped me learn a valuable lesson.\I have no expectations of you.\My team.\That's very important to me. response:	What? Why not?!
context: It's okay. You're supposed to be an airhead.\Wouldn't feel right otherwise.\What?!\You've helped me learn a valuable lesson.\I have no expectations of you.\My team.\That's very important to me.\What? Why not?! response:	What's this?
context: Wouldn't feel right otherwise.\What?!\You've helped me learn a valuable lesson.\I have no expectations of you.\My team.\That's very important to me.\What? Why not?!\What's this? response:	The results for the Saitama tournament last weekend.
context: What?!\You've helped me learn a valuable lesson.\I have no expectations of you.\My team.\That's very important to me.\What? Why not?!\What's this?\The results for the Saitama tournament last weekend. response:	Our Murao-kun was there, and he placed third in Class A.
context: You've helped me learn a valuable lesson.\I have no expectations of you.\My team.\That's very important to me.\What? Why not?!\What's this?\The results for the Saitama tournament last weekend.\Our Murao-kun was there, and he placed third in Class A. response:	The Kanto region is competitive.
context: I have no expectations of you.\My team.\That's very important to me.\What? Why not?!\What's this?\The results for the Saitama tournament last weekend.\Our Murao-kun was there, and he placed third in Class A.\The Kanto region is competitive. response:	You said you wanted some more time to think it over,
context: My team.\That's very important to me.\What? Why not?!\What's this?\The results for the Saitama tournament last weekend.\Our Murao-kun was there, and he placed third in Class A.\The Kanto region is competitive.\You said you wanted some more time to think it over, response:	but have you made a decision?
context: That's very important to me.\What? Why not?!\What's this?\The results for the Saitama tournament last weekend.\Our Murao-kun was there, and he placed third in Class A.\The Kanto region is competitive.\You said you wanted some more time to think it over,\but have you made a decision? response:	Count me in,
context: What? Why not?!\What's this?\The results for the Saitama tournament last weekend.\Our Murao-kun was there, and he placed third in Class A.\The Kanto region is competitive.\You said you wanted some more time to think it over,\but have you made a decision?\Count me in, response:	Class B Winner Nishida Yusei Runner-up Mashima Taichi
context: What's this?\The results for the Saitama tournament last weekend.\Our Murao-kun was there, and he placed third in Class A.\The Kanto region is competitive.\You said you wanted some more time to think it over,\but have you made a decision?\Count me in,\Class B Winner Nishida Yusei Runner-up Mashima Taichi response:	for the west Master qualifier.
context: The results for the Saitama tournament last weekend.\Our Murao-kun was there, and he placed third in Class A.\The Kanto region is competitive.\You said you wanted some more time to think it over,\but have you made a decision?\Count me in,\Class B Winner Nishida Yusei Runner-up Mashima Taichi\for the west Master qualifier. response:	I'm aiming to be the Western finalist.
