context: Pond of Blood response:	You are one incredible bastard to try to take the fruit of the Enseiju,
context: Okay then, to work, to work! There's a mountain of paperwork piled up oni.\Let's go at it as best we can oni.\These stairs sure are long!\Is that the exit?\Huh? It won't move. All right, then!\I made it!\What are you doing in there?\G- Great King Yama- sama!? response:	Did you see Kaio- sama?
context: Let's go at it as best we can oni.\These stairs sure are long!\Is that the exit?\Huh? It won't move. All right, then!\I made it!\What are you doing in there?\G- Great King Yama- sama!?\Did you see Kaio- sama? response:	Um, by any chance, is this-? Goodbye!
context: These stairs sure are long!\Is that the exit?\Huh? It won't move. All right, then!\I made it!\What are you doing in there?\G- Great King Yama- sama!?\Did you see Kaio- sama?\Um, by any chance, is this-? Goodbye! response:	W- what's with him?
context: Is that the exit?\Huh? It won't move. All right, then!\I made it!\What are you doing in there?\G- Great King Yama- sama!?\Did you see Kaio- sama?\Um, by any chance, is this-? Goodbye!\W- what's with him? response:	What's this!? I have to start at the beginning again!?
context: Huh? It won't move. All right, then!\I made it!\What are you doing in there?\G- Great King Yama- sama!?\Did you see Kaio- sama?\Um, by any chance, is this-? Goodbye!\W- what's with him?\What's this!? I have to start at the beginning again!? response:	You've got to be kidding!
context: I made it!\What are you doing in there?\G- Great King Yama- sama!?\Did you see Kaio- sama?\Um, by any chance, is this-? Goodbye!\W- what's with him?\What's this!? I have to start at the beginning again!?\You've got to be kidding! response:	I really have to hurry now, or I ain't going to have enough time!
context: What are you doing in there?\G- Great King Yama- sama!?\Did you see Kaio- sama?\Um, by any chance, is this-? Goodbye!\W- what's with him?\What's this!? I have to start at the beginning again!?\You've got to be kidding!\I really have to hurry now, or I ain't going to have enough time! response:	That's strange. It's a lot easier to run now than before.
context: G- Great King Yama- sama!?\Did you see Kaio- sama?\Um, by any chance, is this-? Goodbye!\W- what's with him?\What's this!? I have to start at the beginning again!?\You've got to be kidding!\I really have to hurry now, or I ain't going to have enough time!\That's strange. It's a lot easier to run now than before. response:	I wonder if that's because of that fruit.
context: Did you see Kaio- sama?\Um, by any chance, is this-? Goodbye!\W- what's with him?\What's this!? I have to start at the beginning again!?\You've got to be kidding!\I really have to hurry now, or I ain't going to have enough time!\That's strange. It's a lot easier to run now than before.\I wonder if that's because of that fruit. response:	Goku has unexpectedly returned to the starting point.
context: Um, by any chance, is this-? Goodbye!\W- what's with him?\What's this!? I have to start at the beginning again!?\You've got to be kidding!\I really have to hurry now, or I ain't going to have enough time!\That's strange. It's a lot easier to run now than before.\I wonder if that's because of that fruit.\Goku has unexpectedly returned to the starting point. response:	The road to Kaio-sama's place is incredibly long.
context: W- what's with him?\What's this!? I have to start at the beginning again!?\You've got to be kidding!\I really have to hurry now, or I ain't going to have enough time!\That's strange. It's a lot easier to run now than before.\I wonder if that's because of that fruit.\Goku has unexpectedly returned to the starting point.\The road to Kaio-sama's place is incredibly long. response:	Hurry, Goku! The Saiyans are getting closer every minute!
