context: One Bowl of Tea on Rice response:	One bowl of tea on rice...
context: No way!\Kunikida-kun, please go back to the Agency and give this to the president.\Hey, don't tell me you plan to catch the tiger all alone with the two of you?\We should first confirm whether his information is accurate.\It's fine.\I'm not doing this, okay?!\This means you're going to use me as bait, right?\Who in their right mind would agree to that response:	There's a reward.
context: Kunikida-kun, please go back to the Agency and give this to the president.\Hey, don't tell me you plan to catch the tiger all alone with the two of you?\We should first confirm whether his information is accurate.\It's fine.\I'm not doing this, okay?!\This means you're going to use me as bait, right?\Who in their right mind would agree to that\There's a reward. response:	Currently penniless.
context: Hey, don't tell me you plan to catch the tiger all alone with the two of you?\We should first confirm whether his information is accurate.\It's fine.\I'm not doing this, okay?!\This means you're going to use me as bait, right?\Who in their right mind would agree to that\There's a reward.\Currently penniless. response:	What? Reward?
context: We should first confirm whether his information is accurate.\It's fine.\I'm not doing this, okay?!\This means you're going to use me as bait, right?\Who in their right mind would agree to that\There's a reward.\Currently penniless.\What? Reward? response:	A reward?
context: It's fine.\I'm not doing this, okay?!\This means you're going to use me as bait, right?\Who in their right mind would agree to that\There's a reward.\Currently penniless.\What? Reward?\A reward? response:	Nah...
context: I'm not doing this, okay?!\This means you're going to use me as bait, right?\Who in their right mind would agree to that\There's a reward.\Currently penniless.\What? Reward?\A reward?\Nah... response:	You're not gonna tempt me with that!
context: This means you're going to use me as bait, right?\Who in their right mind would agree to that\There's a reward.\Currently penniless.\What? Reward?\A reward?\Nah...\You're not gonna tempt me with that! response:	B-But just for reference,
context: Who in their right mind would agree to that\There's a reward.\Currently penniless.\What? Reward?\A reward?\Nah...\You're not gonna tempt me with that!\B-But just for reference, response:	how much would the reward be...?
context: There's a reward.\Currently penniless.\What? Reward?\A reward?\Nah...\You're not gonna tempt me with that!\B-But just for reference,\how much would the reward be...? response:	About this much.
context: Currently penniless.\What? Reward?\A reward?\Nah...\You're not gonna tempt me with that!\B-But just for reference,\how much would the reward be...?\About this much. response:	Dazai-san, what are you reading?
context: What? Reward?\A reward?\Nah...\You're not gonna tempt me with that!\B-But just for reference,\how much would the reward be...?\About this much.\Dazai-san, what are you reading? response:	A good book.
context: A reward?\Nah...\You're not gonna tempt me with that!\B-But just for reference,\how much would the reward be...?\About this much.\Dazai-san, what are you reading?\A good book. response:	I'm surprised you can read when it's this dark.
context: Nah...\You're not gonna tempt me with that!\B-But just for reference,\how much would the reward be...?\About this much.\Dazai-san, what are you reading?\A good book.\I'm surprised you can read when it's this dark. response:	I have good vision.
context: You're not gonna tempt me with that!\B-But just for reference,\how much would the reward be...?\About this much.\Dazai-san, what are you reading?\A good book.\I'm surprised you can read when it's this dark.\I have good vision. response:	Complete Guide to Suicide
context: B-But just for reference,\how much would the reward be...?\About this much.\Dazai-san, what are you reading?\A good book.\I'm surprised you can read when it's this dark.\I have good vision.\Complete Guide to Suicide response:	Besides, I already know everything that happens in this book.
context: how much would the reward be...?\About this much.\Dazai-san, what are you reading?\A good book.\I'm surprised you can read when it's this dark.\I have good vision.\Complete Guide to Suicide\Besides, I already know everything that happens in this book. response:	Why are you reading it, then?
context: About this much.\Dazai-san, what are you reading?\A good book.\I'm surprised you can read when it's this dark.\I have good vision.\Complete Guide to Suicide\Besides, I already know everything that happens in this book.\Why are you reading it, then? response:	A good book is always good, no matter how many times you've already read it.
context: Dazai-san, what are you reading?\A good book.\I'm surprised you can read when it's this dark.\I have good vision.\Complete Guide to Suicide\Besides, I already know everything that happens in this book.\Why are you reading it, then?\A good book is always good, no matter how many times you've already read it. response:	Will the tiger really show up here?
context: A good book.\I'm surprised you can read when it's this dark.\I have good vision.\Complete Guide to Suicide\Besides, I already know everything that happens in this book.\Why are you reading it, then?\A good book is always good, no matter how many times you've already read it.\Will the tiger really show up here? response:	It will.
context: I'm surprised you can read when it's this dark.\I have good vision.\Complete Guide to Suicide\Besides, I already know everything that happens in this book.\Why are you reading it, then?\A good book is always good, no matter how many times you've already read it.\Will the tiger really show up here?\It will. response:	Don't worry.
context: I have good vision.\Complete Guide to Suicide\Besides, I already know everything that happens in this book.\Why are you reading it, then?\A good book is always good, no matter how many times you've already read it.\Will the tiger really show up here?\It will.\Don't worry. response:	Even if it shows up, it's no match for me.
context: Complete Guide to Suicide\Besides, I already know everything that happens in this book.\Why are you reading it, then?\A good book is always good, no matter how many times you've already read it.\Will the tiger really show up here?\It will.\Don't worry.\Even if it shows up, it's no match for me. response:	I may not look like much,
context: Besides, I already know everything that happens in this book.\Why are you reading it, then?\A good book is always good, no matter how many times you've already read it.\Will the tiger really show up here?\It will.\Don't worry.\Even if it shows up, it's no match for me.\I may not look like much, response:	but I am an operative of the Armed Detective Agency.
context: Why are you reading it, then?\A good book is always good, no matter how many times you've already read it.\Will the tiger really show up here?\It will.\Don't worry.\Even if it shows up, it's no match for me.\I may not look like much,\but I am an operative of the Armed Detective Agency. response:	You're really confident.
context: A good book is always good, no matter how many times you've already read it.\Will the tiger really show up here?\It will.\Don't worry.\Even if it shows up, it's no match for me.\I may not look like much,\but I am an operative of the Armed Detective Agency.\You're really confident. response:	I'm kind of jealous.
context: Will the tiger really show up here?\It will.\Don't worry.\Even if it shows up, it's no match for me.\I may not look like much,\but I am an operative of the Armed Detective Agency.\You're really confident.\I'm kind of jealous. response:	They called me a good-for-nothing at the orphanage as far back as I can remember.
context: It will.\Don't worry.\Even if it shows up, it's no match for me.\I may not look like much,\but I am an operative of the Armed Detective Agency.\You're really confident.\I'm kind of jealous.\They called me a good-for-nothing at the orphanage as far back as I can remember. response:	And now, I don't even know where I'll sleep tonight or whether I'll be able to earn my keep tomorrow.
context: Don't worry.\Even if it shows up, it's no match for me.\I may not look like much,\but I am an operative of the Armed Detective Agency.\You're really confident.\I'm kind of jealous.\They called me a good-for-nothing at the orphanage as far back as I can remember.\And now, I don't even know where I'll sleep tonight or whether I'll be able to earn my keep tomorrow. response:	Get out, you good-for-nothing!
context: Even if it shows up, it's no match for me.\I may not look like much,\but I am an operative of the Armed Detective Agency.\You're really confident.\I'm kind of jealous.\They called me a good-for-nothing at the orphanage as far back as I can remember.\And now, I don't even know where I'll sleep tonight or whether I'll be able to earn my keep tomorrow.\Get out, you good-for-nothing! response:	You'll never find a place where you belong!
context: I may not look like much,\but I am an operative of the Armed Detective Agency.\You're really confident.\I'm kind of jealous.\They called me a good-for-nothing at the orphanage as far back as I can remember.\And now, I don't even know where I'll sleep tonight or whether I'll be able to earn my keep tomorrow.\Get out, you good-for-nothing!\You'll never find a place where you belong! response:	No one'd care if someone like me were to die in a ditch somewhere.
context: but I am an operative of the Armed Detective Agency.\You're really confident.\I'm kind of jealous.\They called me a good-for-nothing at the orphanage as far back as I can remember.\And now, I don't even know where I'll sleep tonight or whether I'll be able to earn my keep tomorrow.\Get out, you good-for-nothing!\You'll never find a place where you belong!\No one'd care if someone like me were to die in a ditch somewhere. response:	Yeah, I may be better off eaten by a tiger...
context: You're really confident.\I'm kind of jealous.\They called me a good-for-nothing at the orphanage as far back as I can remember.\And now, I don't even know where I'll sleep tonight or whether I'll be able to earn my keep tomorrow.\Get out, you good-for-nothing!\You'll never find a place where you belong!\No one'd care if someone like me were to die in a ditch somewhere.\Yeah, I may be better off eaten by a tiger... response:	Well, then...
context: I'm kind of jealous.\They called me a good-for-nothing at the orphanage as far back as I can remember.\And now, I don't even know where I'll sleep tonight or whether I'll be able to earn my keep tomorrow.\Get out, you good-for-nothing!\You'll never find a place where you belong!\No one'd care if someone like me were to die in a ditch somewhere.\Yeah, I may be better off eaten by a tiger...\Well, then... response:	I think it'll be soon.
context: They called me a good-for-nothing at the orphanage as far back as I can remember.\And now, I don't even know where I'll sleep tonight or whether I'll be able to earn my keep tomorrow.\Get out, you good-for-nothing!\You'll never find a place where you belong!\No one'd care if someone like me were to die in a ditch somewhere.\Yeah, I may be better off eaten by a tiger...\Well, then...\I think it'll be soon. response:	What?!
context: And now, I don't even know where I'll sleep tonight or whether I'll be able to earn my keep tomorrow.\Get out, you good-for-nothing!\You'll never find a place where you belong!\No one'd care if someone like me were to die in a ditch somewhere.\Yeah, I may be better off eaten by a tiger...\Well, then...\I think it'll be soon.\What?! response:	Yeah.
context: Get out, you good-for-nothing!\You'll never find a place where you belong!\No one'd care if someone like me were to die in a ditch somewhere.\Yeah, I may be better off eaten by a tiger...\Well, then...\I think it'll be soon.\What?!\Yeah. response:	I bet that's the tiger, Dazai-san!
context: You'll never find a place where you belong!\No one'd care if someone like me were to die in a ditch somewhere.\Yeah, I may be better off eaten by a tiger...\Well, then...\I think it'll be soon.\What?!\Yeah.\I bet that's the tiger, Dazai-san! response:	No, I think the wind just knocked something down.
context: No one'd care if someone like me were to die in a ditch somewhere.\Yeah, I may be better off eaten by a tiger...\Well, then...\I think it'll be soon.\What?!\Yeah.\I bet that's the tiger, Dazai-san!\No, I think the wind just knocked something down. response:	It's the man-eater!
context: Yeah, I may be better off eaten by a tiger...\Well, then...\I think it'll be soon.\What?!\Yeah.\I bet that's the tiger, Dazai-san!\No, I think the wind just knocked something down.\It's the man-eater! response:	It's come to eat me!
context: Well, then...\I think it'll be soon.\What?!\Yeah.\I bet that's the tiger, Dazai-san!\No, I think the wind just knocked something down.\It's the man-eater!\It's come to eat me! response:	Calm down, Atsushi-kun.
context: I think it'll be soon.\What?!\Yeah.\I bet that's the tiger, Dazai-san!\No, I think the wind just knocked something down.\It's the man-eater!\It's come to eat me!\Calm down, Atsushi-kun. response:	Tigers don't show up from places like that.
context: What?!\Yeah.\I bet that's the tiger, Dazai-san!\No, I think the wind just knocked something down.\It's the man-eater!\It's come to eat me!\Calm down, Atsushi-kun.\Tigers don't show up from places like that. response:	How do you know for sure?!
context: Yeah.\I bet that's the tiger, Dazai-san!\No, I think the wind just knocked something down.\It's the man-eater!\It's come to eat me!\Calm down, Atsushi-kun.\Tigers don't show up from places like that.\How do you know for sure?! response:	Something wasn't quite right to begin with.
context: I bet that's the tiger, Dazai-san!\No, I think the wind just knocked something down.\It's the man-eater!\It's come to eat me!\Calm down, Atsushi-kun.\Tigers don't show up from places like that.\How do you know for sure?!\Something wasn't quite right to begin with. response:	Just because their finances went south,
context: No, I think the wind just knocked something down.\It's the man-eater!\It's come to eat me!\Calm down, Atsushi-kun.\Tigers don't show up from places like that.\How do you know for sure?!\Something wasn't quite right to begin with.\Just because their finances went south, response:	why would an orphanage banish a child?
context: It's the man-eater!\It's come to eat me!\Calm down, Atsushi-kun.\Tigers don't show up from places like that.\How do you know for sure?!\Something wasn't quite right to begin with.\Just because their finances went south,\why would an orphanage banish a child? response:	It's not some farming village from a bygone era.
context: It's come to eat me!\Calm down, Atsushi-kun.\Tigers don't show up from places like that.\How do you know for sure?!\Something wasn't quite right to begin with.\Just because their finances went south,\why would an orphanage banish a child?\It's not some farming village from a bygone era. response:	Banishing one or two mouths to feed would hardly put a dent in their deficit.
context: Calm down, Atsushi-kun.\Tigers don't show up from places like that.\How do you know for sure?!\Something wasn't quite right to begin with.\Just because their finances went south,\why would an orphanage banish a child?\It's not some farming village from a bygone era.\Banishing one or two mouths to feed would hardly put a dent in their deficit. response:	It'd make more sense to downsize
context: Tigers don't show up from places like that.\How do you know for sure?!\Something wasn't quite right to begin with.\Just because their finances went south,\why would an orphanage banish a child?\It's not some farming village from a bygone era.\Banishing one or two mouths to feed would hardly put a dent in their deficit.\It'd make more sense to downsize response:	by transferring half of the kids to a different orphanage.
context: How do you know for sure?!\Something wasn't quite right to begin with.\Just because their finances went south,\why would an orphanage banish a child?\It's not some farming village from a bygone era.\Banishing one or two mouths to feed would hardly put a dent in their deficit.\It'd make more sense to downsize\by transferring half of the kids to a different orphanage. response:	What are you talking about, Dazai-san?
context: Something wasn't quite right to begin with.\Just because their finances went south,\why would an orphanage banish a child?\It's not some farming village from a bygone era.\Banishing one or two mouths to feed would hardly put a dent in their deficit.\It'd make more sense to downsize\by transferring half of the kids to a different orphanage.\What are you talking about, Dazai-san? response:	You came to this city two weeks ago...
context: Just because their finances went south,\why would an orphanage banish a child?\It's not some farming village from a bygone era.\Banishing one or two mouths to feed would hardly put a dent in their deficit.\It'd make more sense to downsize\by transferring half of the kids to a different orphanage.\What are you talking about, Dazai-san?\You came to this city two weeks ago... response:	The tiger also appeared in this city two weeks ago.
context: why would an orphanage banish a child?\It's not some farming village from a bygone era.\Banishing one or two mouths to feed would hardly put a dent in their deficit.\It'd make more sense to downsize\by transferring half of the kids to a different orphanage.\What are you talking about, Dazai-san?\You came to this city two weeks ago...\The tiger also appeared in this city two weeks ago. response:	You were in the Tsurumi area four days ago.
context: It's not some farming village from a bygone era.\Banishing one or two mouths to feed would hardly put a dent in their deficit.\It'd make more sense to downsize\by transferring half of the kids to a different orphanage.\What are you talking about, Dazai-san?\You came to this city two weeks ago...\The tiger also appeared in this city two weeks ago.\You were in the Tsurumi area four days ago. response:	The tiger was also sighted there four days ago.
context: Banishing one or two mouths to feed would hardly put a dent in their deficit.\It'd make more sense to downsize\by transferring half of the kids to a different orphanage.\What are you talking about, Dazai-san?\You came to this city two weeks ago...\The tiger also appeared in this city two weeks ago.\You were in the Tsurumi area four days ago.\The tiger was also sighted there four days ago. response:	Remember what Kunikida-kun said?
context: It'd make more sense to downsize\by transferring half of the kids to a different orphanage.\What are you talking about, Dazai-san?\You came to this city two weeks ago...\The tiger also appeared in this city two weeks ago.\You were in the Tsurumi area four days ago.\The tiger was also sighted there four days ago.\Remember what Kunikida-kun said? response:	The Armed Detective Agency is comprised of individuals with supernatural powers.
context: by transferring half of the kids to a different orphanage.\What are you talking about, Dazai-san?\You came to this city two weeks ago...\The tiger also appeared in this city two weeks ago.\You were in the Tsurumi area four days ago.\The tiger was also sighted there four days ago.\Remember what Kunikida-kun said?\The Armed Detective Agency is comprised of individuals with supernatural powers. response:	Though not a well-known fact,
context: What are you talking about, Dazai-san?\You came to this city two weeks ago...\The tiger also appeared in this city two weeks ago.\You were in the Tsurumi area four days ago.\The tiger was also sighted there four days ago.\Remember what Kunikida-kun said?\The Armed Detective Agency is comprised of individuals with supernatural powers.\Though not a well-known fact, response:	there are quite a few individuals who possess supernatural abilities in this world.
context: You came to this city two weeks ago...\The tiger also appeared in this city two weeks ago.\You were in the Tsurumi area four days ago.\The tiger was also sighted there four days ago.\Remember what Kunikida-kun said?\The Armed Detective Agency is comprised of individuals with supernatural powers.\Though not a well-known fact,\there are quite a few individuals who possess supernatural abilities in this world. response:	Some use their powers to achieve great success,
context: The tiger also appeared in this city two weeks ago.\You were in the Tsurumi area four days ago.\The tiger was also sighted there four days ago.\Remember what Kunikida-kun said?\The Armed Detective Agency is comprised of individuals with supernatural powers.\Though not a well-known fact,\there are quite a few individuals who possess supernatural abilities in this world.\Some use their powers to achieve great success, response:	while others fall into ruin as a result of being unable to control their powers.
context: You were in the Tsurumi area four days ago.\The tiger was also sighted there four days ago.\Remember what Kunikida-kun said?\The Armed Detective Agency is comprised of individuals with supernatural powers.\Though not a well-known fact,\there are quite a few individuals who possess supernatural abilities in this world.\Some use their powers to achieve great success,\while others fall into ruin as a result of being unable to control their powers. response:	I'm guessing that the orphanage staff knew who the tiger was,
context: The tiger was also sighted there four days ago.\Remember what Kunikida-kun said?\The Armed Detective Agency is comprised of individuals with supernatural powers.\Though not a well-known fact,\there are quite a few individuals who possess supernatural abilities in this world.\Some use their powers to achieve great success,\while others fall into ruin as a result of being unable to control their powers.\I'm guessing that the orphanage staff knew who the tiger was, response:	but declined to enlighten you.
context: Remember what Kunikida-kun said?\The Armed Detective Agency is comprised of individuals with supernatural powers.\Though not a well-known fact,\there are quite a few individuals who possess supernatural abilities in this world.\Some use their powers to achieve great success,\while others fall into ruin as a result of being unable to control their powers.\I'm guessing that the orphanage staff knew who the tiger was,\but declined to enlighten you. response:	You were the only one who remained ignorant.
context: The Armed Detective Agency is comprised of individuals with supernatural powers.\Though not a well-known fact,\there are quite a few individuals who possess supernatural abilities in this world.\Some use their powers to achieve great success,\while others fall into ruin as a result of being unable to control their powers.\I'm guessing that the orphanage staff knew who the tiger was,\but declined to enlighten you.\You were the only one who remained ignorant. response:	You also have supernatural powers.
context: Though not a well-known fact,\there are quite a few individuals who possess supernatural abilities in this world.\Some use their powers to achieve great success,\while others fall into ruin as a result of being unable to control their powers.\I'm guessing that the orphanage staff knew who the tiger was,\but declined to enlighten you.\You were the only one who remained ignorant.\You also have supernatural powers. response:	You have the ability to transform into a wild beast in the moonlight.
context: there are quite a few individuals who possess supernatural abilities in this world.\Some use their powers to achieve great success,\while others fall into ruin as a result of being unable to control their powers.\I'm guessing that the orphanage staff knew who the tiger was,\but declined to enlighten you.\You were the only one who remained ignorant.\You also have supernatural powers.\You have the ability to transform into a wild beast in the moonlight. response:	This is impressive.
context: Some use their powers to achieve great success,\while others fall into ruin as a result of being unable to control their powers.\I'm guessing that the orphanage staff knew who the tiger was,\but declined to enlighten you.\You were the only one who remained ignorant.\You also have supernatural powers.\You have the ability to transform into a wild beast in the moonlight.\This is impressive. response:	You could easily...
context: while others fall into ruin as a result of being unable to control their powers.\I'm guessing that the orphanage staff knew who the tiger was,\but declined to enlighten you.\You were the only one who remained ignorant.\You also have supernatural powers.\You have the ability to transform into a wild beast in the moonlight.\This is impressive.\You could easily... response:	snap a person's neck.
context: I'm guessing that the orphanage staff knew who the tiger was,\but declined to enlighten you.\You were the only one who remained ignorant.\You also have supernatural powers.\You have the ability to transform into a wild beast in the moonlight.\This is impressive.\You could easily...\snap a person's neck. response:	It wouldn't be so bad to meet one's end
context: but declined to enlighten you.\You were the only one who remained ignorant.\You also have supernatural powers.\You have the ability to transform into a wild beast in the moonlight.\This is impressive.\You could easily...\snap a person's neck.\It wouldn't be so bad to meet one's end response:	being eaten by a beast,
context: You were the only one who remained ignorant.\You also have supernatural powers.\You have the ability to transform into a wild beast in the moonlight.\This is impressive.\You could easily...\snap a person's neck.\It wouldn't be so bad to meet one's end\being eaten by a beast, response:	but you can't kill me.
context: You also have supernatural powers.\You have the ability to transform into a wild beast in the moonlight.\This is impressive.\You could easily...\snap a person's neck.\It wouldn't be so bad to meet one's end\being eaten by a beast,\but you can't kill me. response:	My ability is...
context: You have the ability to transform into a wild beast in the moonlight.\This is impressive.\You could easily...\snap a person's neck.\It wouldn't be so bad to meet one's end\being eaten by a beast,\but you can't kill me.\My ability is... response:	No Longer Human
context: This is impressive.\You could easily...\snap a person's neck.\It wouldn't be so bad to meet one's end\being eaten by a beast,\but you can't kill me.\My ability is...\No Longer Human response:	No Longer Human.
context: You could easily...\snap a person's neck.\It wouldn't be so bad to meet one's end\being eaten by a beast,\but you can't kill me.\My ability is...\No Longer Human\No Longer Human. response:	My ability allows me to render any other ability null
context: snap a person's neck.\It wouldn't be so bad to meet one's end\being eaten by a beast,\but you can't kill me.\My ability is...\No Longer Human\No Longer Human.\My ability allows me to render any other ability null response:	through simple touch.
context: It wouldn't be so bad to meet one's end\being eaten by a beast,\but you can't kill me.\My ability is...\No Longer Human\No Longer Human.\My ability allows me to render any other ability null\through simple touch. response:	I have no such tastes in men.
context: being eaten by a beast,\but you can't kill me.\My ability is...\No Longer Human\No Longer Human.\My ability allows me to render any other ability null\through simple touch.\I have no such tastes in men. response:	Thud
context: but you can't kill me.\My ability is...\No Longer Human\No Longer Human.\My ability allows me to render any other ability null\through simple touch.\I have no such tastes in men.\Thud response:	Hey, Dazai!
context: My ability is...\No Longer Human\No Longer Human.\My ability allows me to render any other ability null\through simple touch.\I have no such tastes in men.\Thud\Hey, Dazai! response:	Oh, you're late, Kunikida-kun.
context: No Longer Human\No Longer Human.\My ability allows me to render any other ability null\through simple touch.\I have no such tastes in men.\Thud\Hey, Dazai!\Oh, you're late, Kunikida-kun. response:	I've captured the tiger.
context: No Longer Human.\My ability allows me to render any other ability null\through simple touch.\I have no such tastes in men.\Thud\Hey, Dazai!\Oh, you're late, Kunikida-kun.\I've captured the tiger. response:	What, it's this boy?
context: My ability allows me to render any other ability null\through simple touch.\I have no such tastes in men.\Thud\Hey, Dazai!\Oh, you're late, Kunikida-kun.\I've captured the tiger.\What, it's this boy? response:	He has the ability to transform into a tiger.
context: through simple touch.\I have no such tastes in men.\Thud\Hey, Dazai!\Oh, you're late, Kunikida-kun.\I've captured the tiger.\What, it's this boy?\He has the ability to transform into a tiger. response:	Jeez.
context: I have no such tastes in men.\Thud\Hey, Dazai!\Oh, you're late, Kunikida-kun.\I've captured the tiger.\What, it's this boy?\He has the ability to transform into a tiger.\Jeez. response:	What was with this note?
context: Thud\Hey, Dazai!\Oh, you're late, Kunikida-kun.\I've captured the tiger.\What, it's this boy?\He has the ability to transform into a tiger.\Jeez.\What was with this note? response:	A tiger will appear in the warehouse in the fifteenth district.
context: Hey, Dazai!\Oh, you're late, Kunikida-kun.\I've captured the tiger.\What, it's this boy?\He has the ability to transform into a tiger.\Jeez.\What was with this note?\A tiger will appear in the warehouse in the fifteenth district. response:	Secure the perimeter so that it can't get away.
context: Oh, you're late, Kunikida-kun.\I've captured the tiger.\What, it's this boy?\He has the ability to transform into a tiger.\Jeez.\What was with this note?\A tiger will appear in the warehouse in the fifteenth district.\Secure the perimeter so that it can't get away. response:	It's an excellent, concise note.
context: I've captured the tiger.\What, it's this boy?\He has the ability to transform into a tiger.\Jeez.\What was with this note?\A tiger will appear in the warehouse in the fifteenth district.\Secure the perimeter so that it can't get away.\It's an excellent, concise note. response:	You've left out the most important detail!
context: What, it's this boy?\He has the ability to transform into a tiger.\Jeez.\What was with this note?\A tiger will appear in the warehouse in the fifteenth district.\Secure the perimeter so that it can't get away.\It's an excellent, concise note.\You've left out the most important detail! response:	Next time, explain in advance.
context: He has the ability to transform into a tiger.\Jeez.\What was with this note?\A tiger will appear in the warehouse in the fifteenth district.\Secure the perimeter so that it can't get away.\It's an excellent, concise note.\You've left out the most important detail!\Next time, explain in advance. response:	Thanks to you, I had to bring in guys who weren't even on call.
context: Jeez.\What was with this note?\A tiger will appear in the warehouse in the fifteenth district.\Secure the perimeter so that it can't get away.\It's an excellent, concise note.\You've left out the most important detail!\Next time, explain in advance.\Thanks to you, I had to bring in guys who weren't even on call. response:	Take them out for drinks later.
context: What was with this note?\A tiger will appear in the warehouse in the fifteenth district.\Secure the perimeter so that it can't get away.\It's an excellent, concise note.\You've left out the most important detail!\Next time, explain in advance.\Thanks to you, I had to bring in guys who weren't even on call.\Take them out for drinks later. response:	Hey!
context: A tiger will appear in the warehouse in the fifteenth district.\Secure the perimeter so that it can't get away.\It's an excellent, concise note.\You've left out the most important detail!\Next time, explain in advance.\Thanks to you, I had to bring in guys who weren't even on call.\Take them out for drinks later.\Hey! response:	Yosano Akiko
context: Secure the perimeter so that it can't get away.\It's an excellent, concise note.\You've left out the most important detail!\Next time, explain in advance.\Thanks to you, I had to bring in guys who weren't even on call.\Take them out for drinks later.\Hey!\Yosano Akiko response:	Ability: Thou Shalt Not Die
context: It's an excellent, concise note.\You've left out the most important detail!\Next time, explain in advance.\Thanks to you, I had to bring in guys who weren't even on call.\Take them out for drinks later.\Hey!\Yosano Akiko\Ability: Thou Shalt Not Die response:	What, no casualties?
context: You've left out the most important detail!\Next time, explain in advance.\Thanks to you, I had to bring in guys who weren't even on call.\Take them out for drinks later.\Hey!\Yosano Akiko\Ability: Thou Shalt Not Die\What, no casualties? response:	How boring.
context: Next time, explain in advance.\Thanks to you, I had to bring in guys who weren't even on call.\Take them out for drinks later.\Hey!\Yosano Akiko\Ability: Thou Shalt Not Die\What, no casualties?\How boring. response:	Edogawa Rampo
context: Thanks to you, I had to bring in guys who weren't even on call.\Take them out for drinks later.\Hey!\Yosano Akiko\Ability: Thou Shalt Not Die\What, no casualties?\How boring.\Edogawa Rampo response:	Ability: Ultra-Deduction
context: Take them out for drinks later.\Hey!\Yosano Akiko\Ability: Thou Shalt Not Die\What, no casualties?\How boring.\Edogawa Rampo\Ability: Ultra-Deduction response:	You've come a long way, Dazai.
context: Hey!\Yosano Akiko\Ability: Thou Shalt Not Die\What, no casualties?\How boring.\Edogawa Rampo\Ability: Ultra-Deduction\You've come a long way, Dazai. response:	Though you still have a ways to go before you even come close to me.
context: Yosano Akiko\Ability: Thou Shalt Not Die\What, no casualties?\How boring.\Edogawa Rampo\Ability: Ultra-Deduction\You've come a long way, Dazai.\Though you still have a ways to go before you even come close to me. response:	Miyazawa Kenji
context: Ability: Thou Shalt Not Die\What, no casualties?\How boring.\Edogawa Rampo\Ability: Ultra-Deduction\You've come a long way, Dazai.\Though you still have a ways to go before you even come close to me.\Miyazawa Kenji response:	Ability: Be Not Defeated by the Rain
context: What, no casualties?\How boring.\Edogawa Rampo\Ability: Ultra-Deduction\You've come a long way, Dazai.\Though you still have a ways to go before you even come close to me.\Miyazawa Kenji\Ability: Be Not Defeated by the Rain response:	But what are we going to do with him?
context: How boring.\Edogawa Rampo\Ability: Ultra-Deduction\You've come a long way, Dazai.\Though you still have a ways to go before you even come close to me.\Miyazawa Kenji\Ability: Be Not Defeated by the Rain\But what are we going to do with him? response:	He didn't know he was doing it, right?
context: Edogawa Rampo\Ability: Ultra-Deduction\You've come a long way, Dazai.\Though you still have a ways to go before you even come close to me.\Miyazawa Kenji\Ability: Be Not Defeated by the Rain\But what are we going to do with him?\He didn't know he was doing it, right? response:	Yeah, you're right.
context: Ability: Ultra-Deduction\You've come a long way, Dazai.\Though you still have a ways to go before you even come close to me.\Miyazawa Kenji\Ability: Be Not Defeated by the Rain\But what are we going to do with him?\He didn't know he was doing it, right?\Yeah, you're right. response:	Kunikida Doppo
context: You've come a long way, Dazai.\Though you still have a ways to go before you even come close to me.\Miyazawa Kenji\Ability: Be Not Defeated by the Rain\But what are we going to do with him?\He didn't know he was doing it, right?\Yeah, you're right.\Kunikida Doppo response:	Ability: Doppo Poet
context: Though you still have a ways to go before you even come close to me.\Miyazawa Kenji\Ability: Be Not Defeated by the Rain\But what are we going to do with him?\He didn't know he was doing it, right?\Yeah, you're right.\Kunikida Doppo\Ability: Doppo Poet response:	What do you think, Dazai?
context: Miyazawa Kenji\Ability: Be Not Defeated by the Rain\But what are we going to do with him?\He didn't know he was doing it, right?\Yeah, you're right.\Kunikida Doppo\Ability: Doppo Poet\What do you think, Dazai? response:	The ward's designated him as a major threat.
context: Ability: Be Not Defeated by the Rain\But what are we going to do with him?\He didn't know he was doing it, right?\Yeah, you're right.\Kunikida Doppo\Ability: Doppo Poet\What do you think, Dazai?\The ward's designated him as a major threat. response:	Dazai Osamu
context: But what are we going to do with him?\He didn't know he was doing it, right?\Yeah, you're right.\Kunikida Doppo\Ability: Doppo Poet\What do you think, Dazai?\The ward's designated him as a major threat.\Dazai Osamu response:	Ability: No Longer Human
context: He didn't know he was doing it, right?\Yeah, you're right.\Kunikida Doppo\Ability: Doppo Poet\What do you think, Dazai?\The ward's designated him as a major threat.\Dazai Osamu\Ability: No Longer Human response:	I've already made a decision.
context: Yeah, you're right.\Kunikida Doppo\Ability: Doppo Poet\What do you think, Dazai?\The ward's designated him as a major threat.\Dazai Osamu\Ability: No Longer Human\I've already made a decision. response:	They called me a good-for-nothing at the orphanage as far back as I can remember.
context: Kunikida Doppo\Ability: Doppo Poet\What do you think, Dazai?\The ward's designated him as a major threat.\Dazai Osamu\Ability: No Longer Human\I've already made a decision.\They called me a good-for-nothing at the orphanage as far back as I can remember. response:	And now, I don't even know where I'll sleep tonight or whether I'll be able to earn my keep tomorrow.
context: Ability: Doppo Poet\What do you think, Dazai?\The ward's designated him as a major threat.\Dazai Osamu\Ability: No Longer Human\I've already made a decision.\They called me a good-for-nothing at the orphanage as far back as I can remember.\And now, I don't even know where I'll sleep tonight or whether I'll be able to earn my keep tomorrow. response:	No one'd care if someone like me were to die in a ditch somewhere.
