context: Koumei Private High School response:	List of Accepted Candidates General Studies (Late Exams)
context: Yeah I guess\My Man\Are you okay?\Yeah, I took some medicine I might have pushed myself too much at club Sorry to worry you\No I'm sorry too I can't be with you at a time like this\Why?\The Boyfriend\You went? Why?! response:	Yeah... I mean, it was a mixer But it was just a gathering of people from my seaman class Seminar It's not what you think
context: My Man\Are you okay?\Yeah, I took some medicine I might have pushed myself too much at club Sorry to worry you\No I'm sorry too I can't be with you at a time like this\Why?\The Boyfriend\You went? Why?!\Yeah... I mean, it was a mixer But it was just a gathering of people from my seaman class Seminar It's not what you think response:	Seaman? I know, but still
context: Are you okay?\Yeah, I took some medicine I might have pushed myself too much at club Sorry to worry you\No I'm sorry too I can't be with you at a time like this\Why?\The Boyfriend\You went? Why?!\Yeah... I mean, it was a mixer But it was just a gathering of people from my seaman class Seminar It's not what you think\Seaman? I know, but still response:	The Girlfriend
context: Yeah, I took some medicine I might have pushed myself too much at club Sorry to worry you\No I'm sorry too I can't be with you at a time like this\Why?\The Boyfriend\You went? Why?!\Yeah... I mean, it was a mixer But it was just a gathering of people from my seaman class Seminar It's not what you think\Seaman? I know, but still\The Girlfriend response:	Still not home? You don't message me much since you joined that club I'm worried Ughh
context: No I'm sorry too I can't be with you at a time like this\Why?\The Boyfriend\You went? Why?!\Yeah... I mean, it was a mixer But it was just a gathering of people from my seaman class Seminar It's not what you think\Seaman? I know, but still\The Girlfriend\Still not home? You don't message me much since you joined that club I'm worried Ughh response:	Sorry, I just got home!! I ended up on the last train Are you asleep already?
context: Why?\The Boyfriend\You went? Why?!\Yeah... I mean, it was a mixer But it was just a gathering of people from my seaman class Seminar It's not what you think\Seaman? I know, but still\The Girlfriend\Still not home? You don't message me much since you joined that club I'm worried Ughh\Sorry, I just got home!! I ended up on the last train Are you asleep already? response:	Sorry!
context: The Boyfriend\You went? Why?!\Yeah... I mean, it was a mixer But it was just a gathering of people from my seaman class Seminar It's not what you think\Seaman? I know, but still\The Girlfriend\Still not home? You don't message me much since you joined that club I'm worried Ughh\Sorry, I just got home!! I ended up on the last train Are you asleep already?\Sorry! response:	Goodnight...
context: You went? Why?!\Yeah... I mean, it was a mixer But it was just a gathering of people from my seaman class Seminar It's not what you think\Seaman? I know, but still\The Girlfriend\Still not home? You don't message me much since you joined that club I'm worried Ughh\Sorry, I just got home!! I ended up on the last train Are you asleep already?\Sorry!\Goodnight... response:	The Girlfriend
context: Yeah... I mean, it was a mixer But it was just a gathering of people from my seaman class Seminar It's not what you think\Seaman? I know, but still\The Girlfriend\Still not home? You don't message me much since you joined that club I'm worried Ughh\Sorry, I just got home!! I ended up on the last train Are you asleep already?\Sorry!\Goodnight...\The Girlfriend response:	I told my mom I'm going on vacation with my friends I think so Really?
context: Seaman? I know, but still\The Girlfriend\Still not home? You don't message me much since you joined that club I'm worried Ughh\Sorry, I just got home!! I ended up on the last train Are you asleep already?\Sorry!\Goodnight...\The Girlfriend\I told my mom I'm going on vacation with my friends I think so Really? response:	Will that work? My mom said she'd help me out Yeah She said she'd figure out what to tell Dad
context: The Girlfriend\Still not home? You don't message me much since you joined that club I'm worried Ughh\Sorry, I just got home!! I ended up on the last train Are you asleep already?\Sorry!\Goodnight...\The Girlfriend\I told my mom I'm going on vacation with my friends I think so Really?\Will that work? My mom said she'd help me out Yeah She said she'd figure out what to tell Dad response:	Oh, wow
context: Still not home? You don't message me much since you joined that club I'm worried Ughh\Sorry, I just got home!! I ended up on the last train Are you asleep already?\Sorry!\Goodnight...\The Girlfriend\I told my mom I'm going on vacation with my friends I think so Really?\Will that work? My mom said she'd help me out Yeah She said she'd figure out what to tell Dad\Oh, wow response:	The Girlfriend
context: Sorry, I just got home!! I ended up on the last train Are you asleep already?\Sorry!\Goodnight...\The Girlfriend\I told my mom I'm going on vacation with my friends I think so Really?\Will that work? My mom said she'd help me out Yeah She said she'd figure out what to tell Dad\Oh, wow\The Girlfriend response:	Ughhh So tired
context: Sorry!\Goodnight...\The Girlfriend\I told my mom I'm going on vacation with my friends I think so Really?\Will that work? My mom said she'd help me out Yeah She said she'd figure out what to tell Dad\Oh, wow\The Girlfriend\Ughhh So tired response:	Hang in there Once you pass the job interview You'll be in the real world
context: Goodnight...\The Girlfriend\I told my mom I'm going on vacation with my friends I think so Really?\Will that work? My mom said she'd help me out Yeah She said she'd figure out what to tell Dad\Oh, wow\The Girlfriend\Ughhh So tired\Hang in there Once you pass the job interview You'll be in the real world response:	Yeah Just a little longer Hold me
context: The Girlfriend\I told my mom I'm going on vacation with my friends I think so Really?\Will that work? My mom said she'd help me out Yeah She said she'd figure out what to tell Dad\Oh, wow\The Girlfriend\Ughhh So tired\Hang in there Once you pass the job interview You'll be in the real world\Yeah Just a little longer Hold me response:	Huggg
context: I told my mom I'm going on vacation with my friends I think so Really?\Will that work? My mom said she'd help me out Yeah She said she'd figure out what to tell Dad\Oh, wow\The Girlfriend\Ughhh So tired\Hang in there Once you pass the job interview You'll be in the real world\Yeah Just a little longer Hold me\Huggg response:	The Boyfriend
context: Will that work? My mom said she'd help me out Yeah She said she'd figure out what to tell Dad\Oh, wow\The Girlfriend\Ughhh So tired\Hang in there Once you pass the job interview You'll be in the real world\Yeah Just a little longer Hold me\Huggg\The Boyfriend response:	What if I get a job, and get stationed in the middle of nowhere? jk
context: Oh, wow\The Girlfriend\Ughhh So tired\Hang in there Once you pass the job interview You'll be in the real world\Yeah Just a little longer Hold me\Huggg\The Boyfriend\What if I get a job, and get stationed in the middle of nowhere? jk response:	Yeah?
context: The Girlfriend\Ughhh So tired\Hang in there Once you pass the job interview You'll be in the real world\Yeah Just a little longer Hold me\Huggg\The Boyfriend\What if I get a job, and get stationed in the middle of nowhere? jk\Yeah? response:	Huh? Marr
context: Ughhh So tired\Hang in there Once you pass the job interview You'll be in the real world\Yeah Just a little longer Hold me\Huggg\The Boyfriend\What if I get a job, and get stationed in the middle of nowhere? jk\Yeah?\Huh? Marr response:	The Wife
context: Hang in there Once you pass the job interview You'll be in the real world\Yeah Just a little longer Hold me\Huggg\The Boyfriend\What if I get a job, and get stationed in the middle of nowhere? jk\Yeah?\Huh? Marr\The Wife response:	I think they were happy
context: Yeah Just a little longer Hold me\Huggg\The Boyfriend\What if I get a job, and get stationed in the middle of nowhere? jk\Yeah?\Huh? Marr\The Wife\I think they were happy response:	That's good Your dad, when we were drinking together He was kind of tearing up Said he's really proud of you
context: Huggg\The Boyfriend\What if I get a job, and get stationed in the middle of nowhere? jk\Yeah?\Huh? Marr\The Wife\I think they were happy\That's good Your dad, when we were drinking together He was kind of tearing up Said he's really proud of you response:	Yeah? Seriously?
context: The Boyfriend\What if I get a job, and get stationed in the middle of nowhere? jk\Yeah?\Huh? Marr\The Wife\I think they were happy\That's good Your dad, when we were drinking together He was kind of tearing up Said he's really proud of you\Yeah? Seriously? response:	Aww
context: What if I get a job, and get stationed in the middle of nowhere? jk\Yeah?\Huh? Marr\The Wife\I think they were happy\That's good Your dad, when we were drinking together He was kind of tearing up Said he's really proud of you\Yeah? Seriously?\Aww response:	The Hubby
context: Yeah?\Huh? Marr\The Wife\I think they were happy\That's good Your dad, when we were drinking together He was kind of tearing up Said he's really proud of you\Yeah? Seriously?\Aww\The Hubby response:	You're late! I need you to check the guest list
context: Huh? Marr\The Wife\I think they were happy\That's good Your dad, when we were drinking together He was kind of tearing up Said he's really proud of you\Yeah? Seriously?\Aww\The Hubby\You're late! I need you to check the guest list response:	I had overtime
context: The Wife\I think they were happy\That's good Your dad, when we were drinking together He was kind of tearing up Said he's really proud of you\Yeah? Seriously?\Aww\The Hubby\You're late! I need you to check the guest list\I had overtime response:	Sorry I'll buy you ice cream Juice?
context: I think they were happy\That's good Your dad, when we were drinking together He was kind of tearing up Said he's really proud of you\Yeah? Seriously?\Aww\The Hubby\You're late! I need you to check the guest list\I had overtime\Sorry I'll buy you ice cream Juice? response:	Nope Nope
