context: Gods from across the country gather at the Divine Assembly in Izumo. response:	There's a decent chance one of those gods knows Mikage's whereabouts.
context: Barrier against evil!\A-Are you all right?\I'm so sorry for getting you mixed up in this.\You're annoying me.\Quit making a mountain out of a molehill.\W-Wait! You're badly hurt.\Don't touch me.\A hospital... response:	We need to get you to a hospital!
context: A-Are you all right?\I'm so sorry for getting you mixed up in this.\You're annoying me.\Quit making a mountain out of a molehill.\W-Wait! You're badly hurt.\Don't touch me.\A hospital...\We need to get you to a hospital! response:	There's something better than a hospital.
context: I'm so sorry for getting you mixed up in this.\You're annoying me.\Quit making a mountain out of a molehill.\W-Wait! You're badly hurt.\Don't touch me.\A hospital...\We need to get you to a hospital!\There's something better than a hospital. response:	What?
context: You're annoying me.\Quit making a mountain out of a molehill.\W-Wait! You're badly hurt.\Don't touch me.\A hospital...\We need to get you to a hospital!\There's something better than a hospital.\What? response:	Y-You seem fine, so I'll be going now!
context: Quit making a mountain out of a molehill.\W-Wait! You're badly hurt.\Don't touch me.\A hospital...\We need to get you to a hospital!\There's something better than a hospital.\What?\Y-You seem fine, so I'll be going now! response:	Wh-What's the deal with that guy?!
context: W-Wait! You're badly hurt.\Don't touch me.\A hospital...\We need to get you to a hospital!\There's something better than a hospital.\What?\Y-You seem fine, so I'll be going now!\Wh-What's the deal with that guy?! response:	So much for all her talk.
context: Don't touch me.\A hospital...\We need to get you to a hospital!\There's something better than a hospital.\What?\Y-You seem fine, so I'll be going now!\Wh-What's the deal with that guy?!\So much for all her talk. response:	Uncooperative woman.
context: A hospital...\We need to get you to a hospital!\There's something better than a hospital.\What?\Y-You seem fine, so I'll be going now!\Wh-What's the deal with that guy?!\So much for all her talk.\Uncooperative woman. response:	Master Kirihito!
context: We need to get you to a hospital!\There's something better than a hospital.\What?\Y-You seem fine, so I'll be going now!\Wh-What's the deal with that guy?!\So much for all her talk.\Uncooperative woman.\Master Kirihito! response:	We got the airplane tickets.
context: There's something better than a hospital.\What?\Y-You seem fine, so I'll be going now!\Wh-What's the deal with that guy?!\So much for all her talk.\Uncooperative woman.\Master Kirihito!\We got the airplane tickets. response:	We obtained one of each kind of seat, window and aisle.
context: What?\Y-You seem fine, so I'll be going now!\Wh-What's the deal with that guy?!\So much for all her talk.\Uncooperative woman.\Master Kirihito!\We got the airplane tickets.\We obtained one of each kind of seat, window and aisle. response:	Master Kirihito, what happened to you?!
context: Y-You seem fine, so I'll be going now!\Wh-What's the deal with that guy?!\So much for all her talk.\Uncooperative woman.\Master Kirihito!\We got the airplane tickets.\We obtained one of each kind of seat, window and aisle.\Master Kirihito, what happened to you?! response:	Never mind. I'll be all right.
context: Wh-What's the deal with that guy?!\So much for all her talk.\Uncooperative woman.\Master Kirihito!\We got the airplane tickets.\We obtained one of each kind of seat, window and aisle.\Master Kirihito, what happened to you?!\Never mind. I'll be all right. response:	What're you saying?
context: So much for all her talk.\Uncooperative woman.\Master Kirihito!\We got the airplane tickets.\We obtained one of each kind of seat, window and aisle.\Master Kirihito, what happened to you?!\Never mind. I'll be all right.\What're you saying? response:	That is a human body!
context: Uncooperative woman.\Master Kirihito!\We got the airplane tickets.\We obtained one of each kind of seat, window and aisle.\Master Kirihito, what happened to you?!\Never mind. I'll be all right.\What're you saying?\That is a human body! response:	It requires care.
context: Master Kirihito!\We got the airplane tickets.\We obtained one of each kind of seat, window and aisle.\Master Kirihito, what happened to you?!\Never mind. I'll be all right.\What're you saying?\That is a human body!\It requires care. response:	Shut up.
context: We got the airplane tickets.\We obtained one of each kind of seat, window and aisle.\Master Kirihito, what happened to you?!\Never mind. I'll be all right.\What're you saying?\That is a human body!\It requires care.\Shut up. response:	I will not remain in this pathetic body forever.
context: We obtained one of each kind of seat, window and aisle.\Master Kirihito, what happened to you?!\Never mind. I'll be all right.\What're you saying?\That is a human body!\It requires care.\Shut up.\I will not remain in this pathetic body forever. response:	I will regain my original body.
context: Master Kirihito, what happened to you?!\Never mind. I'll be all right.\What're you saying?\That is a human body!\It requires care.\Shut up.\I will not remain in this pathetic body forever.\I will regain my original body. response:	And when you do, this world will belong to you once more.
context: Never mind. I'll be all right.\What're you saying?\That is a human body!\It requires care.\Shut up.\I will not remain in this pathetic body forever.\I will regain my original body.\And when you do, this world will belong to you once more. response:	Under the reign of Master Akura-oh.
context: What're you saying?\That is a human body!\It requires care.\Shut up.\I will not remain in this pathetic body forever.\I will regain my original body.\And when you do, this world will belong to you once more.\Under the reign of Master Akura-oh. response:	Just a filthy human...
context: That is a human body!\It requires care.\Shut up.\I will not remain in this pathetic body forever.\I will regain my original body.\And when you do, this world will belong to you once more.\Under the reign of Master Akura-oh.\Just a filthy human... response:	A degenerate fox serving as a familiar!
context: It requires care.\Shut up.\I will not remain in this pathetic body forever.\I will regain my original body.\And when you do, this world will belong to you once more.\Under the reign of Master Akura-oh.\Just a filthy human...\A degenerate fox serving as a familiar! response:	I can't believe how they acted.
context: Shut up.\I will not remain in this pathetic body forever.\I will regain my original body.\And when you do, this world will belong to you once more.\Under the reign of Master Akura-oh.\Just a filthy human...\A degenerate fox serving as a familiar!\I can't believe how they acted. response:	What's wrong? You seem kinda down.
context: I will not remain in this pathetic body forever.\I will regain my original body.\And when you do, this world will belong to you once more.\Under the reign of Master Akura-oh.\Just a filthy human...\A degenerate fox serving as a familiar!\I can't believe how they acted.\What's wrong? You seem kinda down. response:	If it's about that pervert, don't let him get to you.
context: I will regain my original body.\And when you do, this world will belong to you once more.\Under the reign of Master Akura-oh.\Just a filthy human...\A degenerate fox serving as a familiar!\I can't believe how they acted.\What's wrong? You seem kinda down.\If it's about that pervert, don't let him get to you. response:	I'm okay.
context: And when you do, this world will belong to you once more.\Under the reign of Master Akura-oh.\Just a filthy human...\A degenerate fox serving as a familiar!\I can't believe how they acted.\What's wrong? You seem kinda down.\If it's about that pervert, don't let him get to you.\I'm okay. response:	If it's about me, I don't care.
context: Under the reign of Master Akura-oh.\Just a filthy human...\A degenerate fox serving as a familiar!\I can't believe how they acted.\What's wrong? You seem kinda down.\If it's about that pervert, don't let him get to you.\I'm okay.\If it's about me, I don't care. response:	But...
context: Just a filthy human...\A degenerate fox serving as a familiar!\I can't believe how they acted.\What's wrong? You seem kinda down.\If it's about that pervert, don't let him get to you.\I'm okay.\If it's about me, I don't care.\But... response:	If it becomes about Tomoe...
context: A degenerate fox serving as a familiar!\I can't believe how they acted.\What's wrong? You seem kinda down.\If it's about that pervert, don't let him get to you.\I'm okay.\If it's about me, I don't care.\But...\If it becomes about Tomoe... response:	I'm back.
context: I can't believe how they acted.\What's wrong? You seem kinda down.\If it's about that pervert, don't let him get to you.\I'm okay.\If it's about me, I don't care.\But...\If it becomes about Tomoe...\I'm back. response:	I lost to Tomoe. Mizuki
context: What's wrong? You seem kinda down.\If it's about that pervert, don't let him get to you.\I'm okay.\If it's about me, I don't care.\But...\If it becomes about Tomoe...\I'm back.\I lost to Tomoe. Mizuki response:	Behold, Nanami.
context: If it's about that pervert, don't let him get to you.\I'm okay.\If it's about me, I don't care.\But...\If it becomes about Tomoe...\I'm back.\I lost to Tomoe. Mizuki\Behold, Nanami. response:	I lost to Tomoe. Mizuki
context: I'm okay.\If it's about me, I don't care.\But...\If it becomes about Tomoe...\I'm back.\I lost to Tomoe. Mizuki\Behold, Nanami.\I lost to Tomoe. Mizuki response:	I lost to Tomoe. Mizuki
context: If it's about me, I don't care.\But...\If it becomes about Tomoe...\I'm back.\I lost to Tomoe. Mizuki\Behold, Nanami.\I lost to Tomoe. Mizuki\I lost to Tomoe. Mizuki response:	I lost to Tomoe. Mizuki
context: But...\If it becomes about Tomoe...\I'm back.\I lost to Tomoe. Mizuki\Behold, Nanami.\I lost to Tomoe. Mizuki\I lost to Tomoe. Mizuki\I lost to Tomoe. Mizuki response:	I lost to Tomoe. Mizuki
context: If it becomes about Tomoe...\I'm back.\I lost to Tomoe. Mizuki\Behold, Nanami.\I lost to Tomoe. Mizuki\I lost to Tomoe. Mizuki\I lost to Tomoe. Mizuki\I lost to Tomoe. Mizuki response:	I lost to Tomoe. Mizuki
context: I'm back.\I lost to Tomoe. Mizuki\Behold, Nanami.\I lost to Tomoe. Mizuki\I lost to Tomoe. Mizuki\I lost to Tomoe. Mizuki\I lost to Tomoe. Mizuki\I lost to Tomoe. Mizuki response:	I lost to Tomoe. Mizuki
context: I lost to Tomoe. Mizuki\Behold, Nanami.\I lost to Tomoe. Mizuki\I lost to Tomoe. Mizuki\I lost to Tomoe. Mizuki\I lost to Tomoe. Mizuki\I lost to Tomoe. Mizuki\I lost to Tomoe. Mizuki response:	I lost to Tomoe. Mizuki
context: Behold, Nanami.\I lost to Tomoe. Mizuki\I lost to Tomoe. Mizuki\I lost to Tomoe. Mizuki\I lost to Tomoe. Mizuki\I lost to Tomoe. Mizuki\I lost to Tomoe. Mizuki\I lost to Tomoe. Mizuki response:	I thwarted the snake's unscrupulous tactics to secure a brilliant victory.
context: I lost to Tomoe. Mizuki\I lost to Tomoe. Mizuki\I lost to Tomoe. Mizuki\I lost to Tomoe. Mizuki\I lost to Tomoe. Mizuki\I lost to Tomoe. Mizuki\I lost to Tomoe. Mizuki\I thwarted the snake's unscrupulous tactics to secure a brilliant victory. response:	This settles it. I will accompany you to Izumo.
context: I lost to Tomoe. Mizuki\I lost to Tomoe. Mizuki\I lost to Tomoe. Mizuki\I lost to Tomoe. Mizuki\I lost to Tomoe. Mizuki\I lost to Tomoe. Mizuki\I thwarted the snake's unscrupulous tactics to secure a brilliant victory.\This settles it. I will accompany you to Izumo. response:	No matter what happens, I will protect you,
context: I lost to Tomoe. Mizuki\I lost to Tomoe. Mizuki\I lost to Tomoe. Mizuki\I lost to Tomoe. Mizuki\I lost to Tomoe. Mizuki\I thwarted the snake's unscrupulous tactics to secure a brilliant victory.\This settles it. I will accompany you to Izumo.\No matter what happens, I will protect you, response:	so rest easy, Nanami.
context: I lost to Tomoe. Mizuki\I lost to Tomoe. Mizuki\I lost to Tomoe. Mizuki\I lost to Tomoe. Mizuki\I thwarted the snake's unscrupulous tactics to secure a brilliant victory.\This settles it. I will accompany you to Izumo.\No matter what happens, I will protect you,\so rest easy, Nanami. response:	No.
context: I lost to Tomoe. Mizuki\I lost to Tomoe. Mizuki\I lost to Tomoe. Mizuki\I thwarted the snake's unscrupulous tactics to secure a brilliant victory.\This settles it. I will accompany you to Izumo.\No matter what happens, I will protect you,\so rest easy, Nanami.\No. response:	What?
context: I lost to Tomoe. Mizuki\I lost to Tomoe. Mizuki\I thwarted the snake's unscrupulous tactics to secure a brilliant victory.\This settles it. I will accompany you to Izumo.\No matter what happens, I will protect you,\so rest easy, Nanami.\No.\What? response:	Mizuki will be coming with me to Izumo.
context: I lost to Tomoe. Mizuki\I thwarted the snake's unscrupulous tactics to secure a brilliant victory.\This settles it. I will accompany you to Izumo.\No matter what happens, I will protect you,\so rest easy, Nanami.\No.\What?\Mizuki will be coming with me to Izumo. response:	You will attend to the shrine.
context: I thwarted the snake's unscrupulous tactics to secure a brilliant victory.\This settles it. I will accompany you to Izumo.\No matter what happens, I will protect you,\so rest easy, Nanami.\No.\What?\Mizuki will be coming with me to Izumo.\You will attend to the shrine. response:	Got it?
context: This settles it. I will accompany you to Izumo.\No matter what happens, I will protect you,\so rest easy, Nanami.\No.\What?\Mizuki will be coming with me to Izumo.\You will attend to the shrine.\Got it? response:	What?!
context: No matter what happens, I will protect you,\so rest easy, Nanami.\No.\What?\Mizuki will be coming with me to Izumo.\You will attend to the shrine.\Got it?\What?! response:	Yay!
context: so rest easy, Nanami.\No.\What?\Mizuki will be coming with me to Izumo.\You will attend to the shrine.\Got it?\What?!\Yay! response:	If something happened to Tomoe,
context: No.\What?\Mizuki will be coming with me to Izumo.\You will attend to the shrine.\Got it?\What?!\Yay!\If something happened to Tomoe, response:	I'd lose my cool for sure.
context: What?\Mizuki will be coming with me to Izumo.\You will attend to the shrine.\Got it?\What?!\Yay!\If something happened to Tomoe,\I'd lose my cool for sure. response:	Next part coming
context: Mizuki will be coming with me to Izumo.\You will attend to the shrine.\Got it?\What?!\Yay!\If something happened to Tomoe,\I'd lose my cool for sure.\Next part coming response:	right up
context: You will attend to the shrine.\Got it?\What?!\Yay!\If something happened to Tomoe,\I'd lose my cool for sure.\Next part coming\right up response:	right up
context: Got it?\What?!\Yay!\If something happened to Tomoe,\I'd lose my cool for sure.\Next part coming\right up\right up response:	right up
context: What?!\Yay!\If something happened to Tomoe,\I'd lose my cool for sure.\Next part coming\right up\right up\right up response:	right up
context: Yay!\If something happened to Tomoe,\I'd lose my cool for sure.\Next part coming\right up\right up\right up\right up response:	right up
context: If something happened to Tomoe,\I'd lose my cool for sure.\Next part coming\right up\right up\right up\right up\right up response:	Next part starting
context: I'd lose my cool for sure.\Next part coming\right up\right up\right up\right up\right up\Next part starting response:	Next part starting
context: Next part coming\right up\right up\right up\right up\right up\Next part starting\Next part starting response:	Next part starting
context: right up\right up\right up\right up\right up\Next part starting\Next part starting\Next part starting response:	Next part starting
context: right up\right up\right up\right up\Next part starting\Next part starting\Next part starting\Next part starting response:	Next part starting
context: right up\right up\right up\Next part starting\Next part starting\Next part starting\Next part starting\Next part starting response:	What is this?
context: right up\right up\Next part starting\Next part starting\Next part starting\Next part starting\Next part starting\What is this? response:	You are about to depart for Izumo, and I am the only one to see thee off?
context: right up\Next part starting\Next part starting\Next part starting\Next part starting\Next part starting\What is this?\You are about to depart for Izumo, and I am the only one to see thee off? response:	You coming was enough, Himemiko.
context: Next part starting\Next part starting\Next part starting\Next part starting\Next part starting\What is this?\You are about to depart for Izumo, and I am the only one to see thee off?\You coming was enough, Himemiko. response:	Had I known, I would have brought the entire clan with me.
context: Next part starting\Next part starting\Next part starting\Next part starting\What is this?\You are about to depart for Izumo, and I am the only one to see thee off?\You coming was enough, Himemiko.\Had I known, I would have brought the entire clan with me. response:	Where art thy familiars?
context: Next part starting\Next part starting\Next part starting\What is this?\You are about to depart for Izumo, and I am the only one to see thee off?\You coming was enough, Himemiko.\Had I known, I would have brought the entire clan with me.\Where art thy familiars? response:	Mizuki's gone ahead on his snake.
context: Next part starting\Next part starting\What is this?\You are about to depart for Izumo, and I am the only one to see thee off?\You coming was enough, Himemiko.\Had I known, I would have brought the entire clan with me.\Where art thy familiars?\Mizuki's gone ahead on his snake. response:	We'll be meeting up over there.
context: Next part starting\What is this?\You are about to depart for Izumo, and I am the only one to see thee off?\You coming was enough, Himemiko.\Had I known, I would have brought the entire clan with me.\Where art thy familiars?\Mizuki's gone ahead on his snake.\We'll be meeting up over there. response:	This is unexpected. Master Tomoe is to stay home?
context: What is this?\You are about to depart for Izumo, and I am the only one to see thee off?\You coming was enough, Himemiko.\Had I known, I would have brought the entire clan with me.\Where art thy familiars?\Mizuki's gone ahead on his snake.\We'll be meeting up over there.\This is unexpected. Master Tomoe is to stay home? response:	Tomoe has to disguise himself as me and go to school while I'm away.
context: You are about to depart for Izumo, and I am the only one to see thee off?\You coming was enough, Himemiko.\Had I known, I would have brought the entire clan with me.\Where art thy familiars?\Mizuki's gone ahead on his snake.\We'll be meeting up over there.\This is unexpected. Master Tomoe is to stay home?\Tomoe has to disguise himself as me and go to school while I'm away. response:	He wouldn't stop complaining, though.
context: You coming was enough, Himemiko.\Had I known, I would have brought the entire clan with me.\Where art thy familiars?\Mizuki's gone ahead on his snake.\We'll be meeting up over there.\This is unexpected. Master Tomoe is to stay home?\Tomoe has to disguise himself as me and go to school while I'm away.\He wouldn't stop complaining, though. response:	Why should I have to?!
context: Had I known, I would have brought the entire clan with me.\Where art thy familiars?\Mizuki's gone ahead on his snake.\We'll be meeting up over there.\This is unexpected. Master Tomoe is to stay home?\Tomoe has to disguise himself as me and go to school while I'm away.\He wouldn't stop complaining, though.\Why should I have to?! response:	Why should I have to?!
context: Where art thy familiars?\Mizuki's gone ahead on his snake.\We'll be meeting up over there.\This is unexpected. Master Tomoe is to stay home?\Tomoe has to disguise himself as me and go to school while I'm away.\He wouldn't stop complaining, though.\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Mizuki's gone ahead on his snake.\We'll be meeting up over there.\This is unexpected. Master Tomoe is to stay home?\Tomoe has to disguise himself as me and go to school while I'm away.\He wouldn't stop complaining, though.\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: We'll be meeting up over there.\This is unexpected. Master Tomoe is to stay home?\Tomoe has to disguise himself as me and go to school while I'm away.\He wouldn't stop complaining, though.\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: This is unexpected. Master Tomoe is to stay home?\Tomoe has to disguise himself as me and go to school while I'm away.\He wouldn't stop complaining, though.\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Tomoe has to disguise himself as me and go to school while I'm away.\He wouldn't stop complaining, though.\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: He wouldn't stop complaining, though.\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
context: Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?!\Why should I have to?! response:	Why should I have to?!
