context: I hadn't realized... response:	that humans could die so easily.
context: Why? Why?\As promised.\We can move again.\Nee-san!\Begone. There is nothing for you here now.\You piece of shit!\Wait!\Our goal is to get everyone out of here. response:	Not to defeat that devil!
context: As promised.\We can move again.\Nee-san!\Begone. There is nothing for you here now.\You piece of shit!\Wait!\Our goal is to get everyone out of here.\Not to defeat that devil! response:	Did you forget that?!
context: We can move again.\Nee-san!\Begone. There is nothing for you here now.\You piece of shit!\Wait!\Our goal is to get everyone out of here.\Not to defeat that devil!\Did you forget that?! response:	You've already gotten Arata involved in this.
context: Nee-san!\Begone. There is nothing for you here now.\You piece of shit!\Wait!\Our goal is to get everyone out of here.\Not to defeat that devil!\Did you forget that?!\You've already gotten Arata involved in this. response:	Fine.
context: Begone. There is nothing for you here now.\You piece of shit!\Wait!\Our goal is to get everyone out of here.\Not to defeat that devil!\Did you forget that?!\You've already gotten Arata involved in this.\Fine. response:	July 25th
context: You piece of shit!\Wait!\Our goal is to get everyone out of here.\Not to defeat that devil!\Did you forget that?!\You've already gotten Arata involved in this.\Fine.\July 25th response:	Onee-chan...
context: Wait!\Our goal is to get everyone out of here.\Not to defeat that devil!\Did you forget that?!\You've already gotten Arata involved in this.\Fine.\July 25th\Onee-chan... response:	Whose voice is that?
context: Our goal is to get everyone out of here.\Not to defeat that devil!\Did you forget that?!\You've already gotten Arata involved in this.\Fine.\July 25th\Onee-chan...\Whose voice is that? response:	I can't see right now...
context: Not to defeat that devil!\Did you forget that?!\You've already gotten Arata involved in this.\Fine.\July 25th\Onee-chan...\Whose voice is that?\I can't see right now... response:	Is that you, Kyo-chan?
context: Did you forget that?!\You've already gotten Arata involved in this.\Fine.\July 25th\Onee-chan...\Whose voice is that?\I can't see right now...\Is that you, Kyo-chan? response:	How did you know?
context: You've already gotten Arata involved in this.\Fine.\July 25th\Onee-chan...\Whose voice is that?\I can't see right now...\Is that you, Kyo-chan?\How did you know? response:	You just called me Onee-chan, right?
context: Fine.\July 25th\Onee-chan...\Whose voice is that?\I can't see right now...\Is that you, Kyo-chan?\How did you know?\You just called me Onee-chan, right? response:	That's what you always used to call me...
context: July 25th\Onee-chan...\Whose voice is that?\I can't see right now...\Is that you, Kyo-chan?\How did you know?\You just called me Onee-chan, right?\That's what you always used to call me... response:	But your voice sounds like Dad's...
context: Onee-chan...\Whose voice is that?\I can't see right now...\Is that you, Kyo-chan?\How did you know?\You just called me Onee-chan, right?\That's what you always used to call me...\But your voice sounds like Dad's... response:	It is you, Kyo-chan!
context: Whose voice is that?\I can't see right now...\Is that you, Kyo-chan?\How did you know?\You just called me Onee-chan, right?\That's what you always used to call me...\But your voice sounds like Dad's...\It is you, Kyo-chan! response:	Did I worry you? Were you lonely?
context: I can't see right now...\Is that you, Kyo-chan?\How did you know?\You just called me Onee-chan, right?\That's what you always used to call me...\But your voice sounds like Dad's...\It is you, Kyo-chan!\Did I worry you? Were you lonely? response:	I'm sorry.
context: Is that you, Kyo-chan?\How did you know?\You just called me Onee-chan, right?\That's what you always used to call me...\But your voice sounds like Dad's...\It is you, Kyo-chan!\Did I worry you? Were you lonely?\I'm sorry. response:	I wish I could see your face...
context: How did you know?\You just called me Onee-chan, right?\That's what you always used to call me...\But your voice sounds like Dad's...\It is you, Kyo-chan!\Did I worry you? Were you lonely?\I'm sorry.\I wish I could see your face... response:	This is...
context: You just called me Onee-chan, right?\That's what you always used to call me...\But your voice sounds like Dad's...\It is you, Kyo-chan!\Did I worry you? Were you lonely?\I'm sorry.\I wish I could see your face...\This is... response:	You've grown up so much, Kyo-chan!
context: That's what you always used to call me...\But your voice sounds like Dad's...\It is you, Kyo-chan!\Did I worry you? Were you lonely?\I'm sorry.\I wish I could see your face...\This is...\You've grown up so much, Kyo-chan! response:	And you look so handsome now!
context: But your voice sounds like Dad's...\It is you, Kyo-chan!\Did I worry you? Were you lonely?\I'm sorry.\I wish I could see your face...\This is...\You've grown up so much, Kyo-chan!\And you look so handsome now! response:	Onee-chan...
context: It is you, Kyo-chan!\Did I worry you? Were you lonely?\I'm sorry.\I wish I could see your face...\This is...\You've grown up so much, Kyo-chan!\And you look so handsome now!\Onee-chan... response:	I'm your big sister, but now I'm younger than you.
context: Did I worry you? Were you lonely?\I'm sorry.\I wish I could see your face...\This is...\You've grown up so much, Kyo-chan!\And you look so handsome now!\Onee-chan...\I'm your big sister, but now I'm younger than you. response:	You're safe...
context: I'm sorry.\I wish I could see your face...\This is...\You've grown up so much, Kyo-chan!\And you look so handsome now!\Onee-chan...\I'm your big sister, but now I'm younger than you.\You're safe... response:	And that's all that matters!
context: I wish I could see your face...\This is...\You've grown up so much, Kyo-chan!\And you look so handsome now!\Onee-chan...\I'm your big sister, but now I'm younger than you.\You're safe...\And that's all that matters! response:	Well, this matters to me!
context: This is...\You've grown up so much, Kyo-chan!\And you look so handsome now!\Onee-chan...\I'm your big sister, but now I'm younger than you.\You're safe...\And that's all that matters!\Well, this matters to me! response:	I can move my hand, too.
context: You've grown up so much, Kyo-chan!\And you look so handsome now!\Onee-chan...\I'm your big sister, but now I'm younger than you.\You're safe...\And that's all that matters!\Well, this matters to me!\I can move my hand, too. response:	I'm so glad...
context: And you look so handsome now!\Onee-chan...\I'm your big sister, but now I'm younger than you.\You're safe...\And that's all that matters!\Well, this matters to me!\I can move my hand, too.\I'm so glad... response:	I don't get what's going on here. Explain it to me, Arata.
context: Onee-chan...\I'm your big sister, but now I'm younger than you.\You're safe...\And that's all that matters!\Well, this matters to me!\I can move my hand, too.\I'm so glad...\I don't get what's going on here. Explain it to me, Arata. response:	Okay.
context: I'm your big sister, but now I'm younger than you.\You're safe...\And that's all that matters!\Well, this matters to me!\I can move my hand, too.\I'm so glad...\I don't get what's going on here. Explain it to me, Arata.\Okay. response:	That must've hurt.
context: You're safe...\And that's all that matters!\Well, this matters to me!\I can move my hand, too.\I'm so glad...\I don't get what's going on here. Explain it to me, Arata.\Okay.\That must've hurt. response:	Just look at him.
context: And that's all that matters!\Well, this matters to me!\I can move my hand, too.\I'm so glad...\I don't get what's going on here. Explain it to me, Arata.\Okay.\That must've hurt.\Just look at him. response:	Not yet...
context: Well, this matters to me!\I can move my hand, too.\I'm so glad...\I don't get what's going on here. Explain it to me, Arata.\Okay.\That must've hurt.\Just look at him.\Not yet... response:	That's right. It's not over yet.
context: I can move my hand, too.\I'm so glad...\I don't get what's going on here. Explain it to me, Arata.\Okay.\That must've hurt.\Just look at him.\Not yet...\That's right. It's not over yet. response:	Next time... Next time... Next time...
context: I'm so glad...\I don't get what's going on here. Explain it to me, Arata.\Okay.\That must've hurt.\Just look at him.\Not yet...\That's right. It's not over yet.\Next time... Next time... Next time... response:	At this rate, he'll go forever.
context: I don't get what's going on here. Explain it to me, Arata.\Okay.\That must've hurt.\Just look at him.\Not yet...\That's right. It's not over yet.\Next time... Next time... Next time...\At this rate, he'll go forever. response:	It's fine.
context: Okay.\That must've hurt.\Just look at him.\Not yet...\That's right. It's not over yet.\Next time... Next time... Next time...\At this rate, he'll go forever.\It's fine. response:	As long as he repeats it forever, and despairs forever...
context: That must've hurt.\Just look at him.\Not yet...\That's right. It's not over yet.\Next time... Next time... Next time...\At this rate, he'll go forever.\It's fine.\As long as he repeats it forever, and despairs forever... response:	That despair proves my conclusion
context: Just look at him.\Not yet...\That's right. It's not over yet.\Next time... Next time... Next time...\At this rate, he'll go forever.\It's fine.\As long as he repeats it forever, and despairs forever...\That despair proves my conclusion response:	that a happy marriage to a human girl is impossible.
context: Not yet...\That's right. It's not over yet.\Next time... Next time... Next time...\At this rate, he'll go forever.\It's fine.\As long as he repeats it forever, and despairs forever...\That despair proves my conclusion\that a happy marriage to a human girl is impossible. response:	Don't you agree, Azazel?
context: That's right. It's not over yet.\Next time... Next time... Next time...\At this rate, he'll go forever.\It's fine.\As long as he repeats it forever, and despairs forever...\That despair proves my conclusion\that a happy marriage to a human girl is impossible.\Don't you agree, Azazel? response:	I found you.
