context: Seven Goodbyes Part 1 response:	One more week until the final.
context: Uesugi-kun, are you awake?\Y-Yeah.\I'm up.\Sorry for barging in today.\And about yesterday.\There's something I have to talk to you about.\Let's go for a walk, shall we?\Hey, look. response:	The moon's so bright today.
context: Y-Yeah.\I'm up.\Sorry for barging in today.\And about yesterday.\There's something I have to talk to you about.\Let's go for a walk, shall we?\Hey, look.\The moon's so bright today. response:	Uh, sure, I guess?
context: I'm up.\Sorry for barging in today.\And about yesterday.\There's something I have to talk to you about.\Let's go for a walk, shall we?\Hey, look.\The moon's so bright today.\Uh, sure, I guess? response:	Sheesh.
context: Sorry for barging in today.\And about yesterday.\There's something I have to talk to you about.\Let's go for a walk, shall we?\Hey, look.\The moon's so bright today.\Uh, sure, I guess?\Sheesh. response:	You lack class.
context: And about yesterday.\There's something I have to talk to you about.\Let's go for a walk, shall we?\Hey, look.\The moon's so bright today.\Uh, sure, I guess?\Sheesh.\You lack class. response:	I don't want a lecture on class from someone who practically drank that curry.
context: There's something I have to talk to you about.\Let's go for a walk, shall we?\Hey, look.\The moon's so bright today.\Uh, sure, I guess?\Sheesh.\You lack class.\I don't want a lecture on class from someone who practically drank that curry. response:	I-I couldn't help it!
context: Let's go for a walk, shall we?\Hey, look.\The moon's so bright today.\Uh, sure, I guess?\Sheesh.\You lack class.\I don't want a lecture on class from someone who practically drank that curry.\I-I couldn't help it! response:	I hadn't eaten in a day.
context: Hey, look.\The moon's so bright today.\Uh, sure, I guess?\Sheesh.\You lack class.\I don't want a lecture on class from someone who practically drank that curry.\I-I couldn't help it!\I hadn't eaten in a day. response:	You should go home tomorrow.
context: The moon's so bright today.\Uh, sure, I guess?\Sheesh.\You lack class.\I don't want a lecture on class from someone who practically drank that curry.\I-I couldn't help it!\I hadn't eaten in a day.\You should go home tomorrow. response:	Miku's worried, too.
context: Uh, sure, I guess?\Sheesh.\You lack class.\I don't want a lecture on class from someone who practically drank that curry.\I-I couldn't help it!\I hadn't eaten in a day.\You should go home tomorrow.\Miku's worried, too. response:	I can't do that this time.
context: Sheesh.\You lack class.\I don't want a lecture on class from someone who practically drank that curry.\I-I couldn't help it!\I hadn't eaten in a day.\You should go home tomorrow.\Miku's worried, too.\I can't do that this time. response:	I can't go home until Nino apologizes.
context: You lack class.\I don't want a lecture on class from someone who practically drank that curry.\I-I couldn't help it!\I hadn't eaten in a day.\You should go home tomorrow.\Miku's worried, too.\I can't do that this time.\I can't go home until Nino apologizes. response:	Of course, I can't continue being a bother to your family, either.
context: I don't want a lecture on class from someone who practically drank that curry.\I-I couldn't help it!\I hadn't eaten in a day.\You should go home tomorrow.\Miku's worried, too.\I can't do that this time.\I can't go home until Nino apologizes.\Of course, I can't continue being a bother to your family, either. response:	By tomorrow...
context: I-I couldn't help it!\I hadn't eaten in a day.\You should go home tomorrow.\Miku's worried, too.\I can't do that this time.\I can't go home until Nino apologizes.\Of course, I can't continue being a bother to your family, either.\By tomorrow... response:	You'll leave, and then what? You have neither your wallet nor anywhere to go.
context: I hadn't eaten in a day.\You should go home tomorrow.\Miku's worried, too.\I can't do that this time.\I can't go home until Nino apologizes.\Of course, I can't continue being a bother to your family, either.\By tomorrow...\You'll leave, and then what? You have neither your wallet nor anywhere to go. response:	P-Please let me stay a little longer!
context: You should go home tomorrow.\Miku's worried, too.\I can't do that this time.\I can't go home until Nino apologizes.\Of course, I can't continue being a bother to your family, either.\By tomorrow...\You'll leave, and then what? You have neither your wallet nor anywhere to go.\P-Please let me stay a little longer! response:	I'll do anything to help!
context: Miku's worried, too.\I can't do that this time.\I can't go home until Nino apologizes.\Of course, I can't continue being a bother to your family, either.\By tomorrow...\You'll leave, and then what? You have neither your wallet nor anywhere to go.\P-Please let me stay a little longer!\I'll do anything to help! response:	No way!
context: I can't do that this time.\I can't go home until Nino apologizes.\Of course, I can't continue being a bother to your family, either.\By tomorrow...\You'll leave, and then what? You have neither your wallet nor anywhere to go.\P-Please let me stay a little longer!\I'll do anything to help!\No way! response:	Go home!
context: I can't go home until Nino apologizes.\Of course, I can't continue being a bother to your family, either.\By tomorrow...\You'll leave, and then what? You have neither your wallet nor anywhere to go.\P-Please let me stay a little longer!\I'll do anything to help!\No way!\Go home! response:	Besides, I don't think a well-to-do girl like you could survive in a place like mine.
context: Of course, I can't continue being a bother to your family, either.\By tomorrow...\You'll leave, and then what? You have neither your wallet nor anywhere to go.\P-Please let me stay a little longer!\I'll do anything to help!\No way!\Go home!\Besides, I don't think a well-to-do girl like you could survive in a place like mine. response:	I'm not well-to-do.
context: By tomorrow...\You'll leave, and then what? You have neither your wallet nor anywhere to go.\P-Please let me stay a little longer!\I'll do anything to help!\No way!\Go home!\Besides, I don't think a well-to-do girl like you could survive in a place like mine.\I'm not well-to-do. response:	We were living a similar lifestyle until just a few years ago.
context: You'll leave, and then what? You have neither your wallet nor anywhere to go.\P-Please let me stay a little longer!\I'll do anything to help!\No way!\Go home!\Besides, I don't think a well-to-do girl like you could survive in a place like mine.\I'm not well-to-do.\We were living a similar lifestyle until just a few years ago. response:	Really?
context: P-Please let me stay a little longer!\I'll do anything to help!\No way!\Go home!\Besides, I don't think a well-to-do girl like you could survive in a place like mine.\I'm not well-to-do.\We were living a similar lifestyle until just a few years ago.\Really? response:	Until our mother got remarried, to our current father,
context: I'll do anything to help!\No way!\Go home!\Besides, I don't think a well-to-do girl like you could survive in a place like mine.\I'm not well-to-do.\We were living a similar lifestyle until just a few years ago.\Really?\Until our mother got remarried, to our current father, response:	we lived in extreme poverty.
context: No way!\Go home!\Besides, I don't think a well-to-do girl like you could survive in a place like mine.\I'm not well-to-do.\We were living a similar lifestyle until just a few years ago.\Really?\Until our mother got remarried, to our current father,\we lived in extreme poverty. response:	Of course we did.
context: Go home!\Besides, I don't think a well-to-do girl like you could survive in a place like mine.\I'm not well-to-do.\We were living a similar lifestyle until just a few years ago.\Really?\Until our mother got remarried, to our current father,\we lived in extreme poverty.\Of course we did. response:	She had to raise five children all at once.
context: Besides, I don't think a well-to-do girl like you could survive in a place like mine.\I'm not well-to-do.\We were living a similar lifestyle until just a few years ago.\Really?\Until our mother got remarried, to our current father,\we lived in extreme poverty.\Of course we did.\She had to raise five children all at once. response:	Nothing would make me happier than for you five to live in good health.
context: I'm not well-to-do.\We were living a similar lifestyle until just a few years ago.\Really?\Until our mother got remarried, to our current father,\we lived in extreme poverty.\Of course we did.\She had to raise five children all at once.\Nothing would make me happier than for you five to live in good health. response:	And our mother, who raised us all on her own, fell ill.
context: We were living a similar lifestyle until just a few years ago.\Really?\Until our mother got remarried, to our current father,\we lived in extreme poverty.\Of course we did.\She had to raise five children all at once.\Nothing would make me happier than for you five to live in good health.\And our mother, who raised us all on her own, fell ill. response:	That's why I decided to guide the others in my mother's stead.
context: Really?\Until our mother got remarried, to our current father,\we lived in extreme poverty.\Of course we did.\She had to raise five children all at once.\Nothing would make me happier than for you five to live in good health.\And our mother, who raised us all on her own, fell ill.\That's why I decided to guide the others in my mother's stead. response:	But it hasn't worked out as well as I'd planned.
context: Until our mother got remarried, to our current father,\we lived in extreme poverty.\Of course we did.\She had to raise five children all at once.\Nothing would make me happier than for you five to live in good health.\And our mother, who raised us all on her own, fell ill.\That's why I decided to guide the others in my mother's stead.\But it hasn't worked out as well as I'd planned. response:	So that must've been her doing what her mother would have.
context: we lived in extreme poverty.\Of course we did.\She had to raise five children all at once.\Nothing would make me happier than for you five to live in good health.\And our mother, who raised us all on her own, fell ill.\That's why I decided to guide the others in my mother's stead.\But it hasn't worked out as well as I'd planned.\So that must've been her doing what her mother would have. response:	You're trying to be a mother figure, huh?
context: Of course we did.\She had to raise five children all at once.\Nothing would make me happier than for you five to live in good health.\And our mother, who raised us all on her own, fell ill.\That's why I decided to guide the others in my mother's stead.\But it hasn't worked out as well as I'd planned.\So that must've been her doing what her mother would have.\You're trying to be a mother figure, huh? response:	Then...
context: She had to raise five children all at once.\Nothing would make me happier than for you five to live in good health.\And our mother, who raised us all on her own, fell ill.\That's why I decided to guide the others in my mother's stead.\But it hasn't worked out as well as I'd planned.\So that must've been her doing what her mother would have.\You're trying to be a mother figure, huh?\Then... response:	I'll play the father.
context: Nothing would make me happier than for you five to live in good health.\And our mother, who raised us all on her own, fell ill.\That's why I decided to guide the others in my mother's stead.\But it hasn't worked out as well as I'd planned.\So that must've been her doing what her mother would have.\You're trying to be a mother figure, huh?\Then...\I'll play the father. response:	Huh?
context: And our mother, who raised us all on her own, fell ill.\That's why I decided to guide the others in my mother's stead.\But it hasn't worked out as well as I'd planned.\So that must've been her doing what her mother would have.\You're trying to be a mother figure, huh?\Then...\I'll play the father.\Huh? response:	What do you mean?
context: That's why I decided to guide the others in my mother's stead.\But it hasn't worked out as well as I'd planned.\So that must've been her doing what her mother would have.\You're trying to be a mother figure, huh?\Then...\I'll play the father.\Huh?\What do you mean? response:	I-I mean, what the hell is your father doing at a time like this?
context: But it hasn't worked out as well as I'd planned.\So that must've been her doing what her mother would have.\You're trying to be a mother figure, huh?\Then...\I'll play the father.\Huh?\What do you mean?\I-I mean, what the hell is your father doing at a time like this? response:	Your dad should be stepping in here!
context: So that must've been her doing what her mother would have.\You're trying to be a mother figure, huh?\Then...\I'll play the father.\Huh?\What do you mean?\I-I mean, what the hell is your father doing at a time like this?\Your dad should be stepping in here! response:	I'll just accept that this is also part of my job as your tutor.
context: You're trying to be a mother figure, huh?\Then...\I'll play the father.\Huh?\What do you mean?\I-I mean, what the hell is your father doing at a time like this?\Your dad should be stepping in here!\I'll just accept that this is also part of my job as your tutor. response:	That day, when I met that girl in Kyoto,
context: Then...\I'll play the father.\Huh?\What do you mean?\I-I mean, what the hell is your father doing at a time like this?\Your dad should be stepping in here!\I'll just accept that this is also part of my job as your tutor.\That day, when I met that girl in Kyoto, response:	I decided that someday, I'd become a guy who was needed by someone.
context: I'll play the father.\Huh?\What do you mean?\I-I mean, what the hell is your father doing at a time like this?\Your dad should be stepping in here!\I'll just accept that this is also part of my job as your tutor.\That day, when I met that girl in Kyoto,\I decided that someday, I'd become a guy who was needed by someone. response:	That's why I study.
context: Huh?\What do you mean?\I-I mean, what the hell is your father doing at a time like this?\Your dad should be stepping in here!\I'll just accept that this is also part of my job as your tutor.\That day, when I met that girl in Kyoto,\I decided that someday, I'd become a guy who was needed by someone.\That's why I study. response:	But you? Our father?
context: What do you mean?\I-I mean, what the hell is your father doing at a time like this?\Your dad should be stepping in here!\I'll just accept that this is also part of my job as your tutor.\That day, when I met that girl in Kyoto,\I decided that someday, I'd become a guy who was needed by someone.\That's why I study.\But you? Our father? response:	Shut up.
context: I-I mean, what the hell is your father doing at a time like this?\Your dad should be stepping in here!\I'll just accept that this is also part of my job as your tutor.\That day, when I met that girl in Kyoto,\I decided that someday, I'd become a guy who was needed by someone.\That's why I study.\But you? Our father?\Shut up. response:	Don't be picky.
context: Your dad should be stepping in here!\I'll just accept that this is also part of my job as your tutor.\That day, when I met that girl in Kyoto,\I decided that someday, I'd become a guy who was needed by someone.\That's why I study.\But you? Our father?\Shut up.\Don't be picky. response:	The full moon sure is pretty tonight.
context: I'll just accept that this is also part of my job as your tutor.\That day, when I met that girl in Kyoto,\I decided that someday, I'd become a guy who was needed by someone.\That's why I study.\But you? Our father?\Shut up.\Don't be picky.\The full moon sure is pretty tonight. response:	You still have a lot of studying to do.
context: That day, when I met that girl in Kyoto,\I decided that someday, I'd become a guy who was needed by someone.\That's why I study.\But you? Our father?\Shut up.\Don't be picky.\The full moon sure is pretty tonight.\You still have a lot of studying to do. response:	Wh-What's that supposed to mean?
context: I decided that someday, I'd become a guy who was needed by someone.\That's why I study.\But you? Our father?\Shut up.\Don't be picky.\The full moon sure is pretty tonight.\You still have a lot of studying to do.\Wh-What's that supposed to mean? response:	What's wrong?
context: That's why I study.\But you? Our father?\Shut up.\Don't be picky.\The full moon sure is pretty tonight.\You still have a lot of studying to do.\Wh-What's that supposed to mean?\What's wrong? response:	I felt like someone was here just now.
context: But you? Our father?\Shut up.\Don't be picky.\The full moon sure is pretty tonight.\You still have a lot of studying to do.\Wh-What's that supposed to mean?\What's wrong?\I felt like someone was here just now. response:	D-Don't scare me like that!
context: Shut up.\Don't be picky.\The full moon sure is pretty tonight.\You still have a lot of studying to do.\Wh-What's that supposed to mean?\What's wrong?\I felt like someone was here just now.\D-Don't scare me like that! response:	Itsuki, go check it out!
context: Don't be picky.\The full moon sure is pretty tonight.\You still have a lot of studying to do.\Wh-What's that supposed to mean?\What's wrong?\I felt like someone was here just now.\D-Don't scare me like that!\Itsuki, go check it out! response:	What happened to playing the father?!
context: The full moon sure is pretty tonight.\You still have a lot of studying to do.\Wh-What's that supposed to mean?\What's wrong?\I felt like someone was here just now.\D-Don't scare me like that!\Itsuki, go check it out!\What happened to playing the father?! response:	That's irrelevant right now!
context: You still have a lot of studying to do.\Wh-What's that supposed to mean?\What's wrong?\I felt like someone was here just now.\D-Don't scare me like that!\Itsuki, go check it out!\What happened to playing the father?!\That's irrelevant right now! response:	Itsuki, I don't mind you going
context: Wh-What's that supposed to mean?\What's wrong?\I felt like someone was here just now.\D-Don't scare me like that!\Itsuki, go check it out!\What happened to playing the father?!\That's irrelevant right now!\Itsuki, I don't mind you going response:	Don't talk to me out in public!
context: What's wrong?\I felt like someone was here just now.\D-Don't scare me like that!\Itsuki, go check it out!\What happened to playing the father?!\That's irrelevant right now!\Itsuki, I don't mind you going\Don't talk to me out in public! response:	People are going to think we're walking to school together.
context: I felt like someone was here just now.\D-Don't scare me like that!\Itsuki, go check it out!\What happened to playing the father?!\That's irrelevant right now!\Itsuki, I don't mind you going\Don't talk to me out in public!\People are going to think we're walking to school together. response:	What a pain.
context: D-Don't scare me like that!\Itsuki, go check it out!\What happened to playing the father?!\That's irrelevant right now!\Itsuki, I don't mind you going\Don't talk to me out in public!\People are going to think we're walking to school together.\What a pain. response:	What a pain.
context: Itsuki, go check it out!\What happened to playing the father?!\That's irrelevant right now!\Itsuki, I don't mind you going\Don't talk to me out in public!\People are going to think we're walking to school together.\What a pain.\What a pain. response:	I don't mind you going to school from my place,
context: What happened to playing the father?!\That's irrelevant right now!\Itsuki, I don't mind you going\Don't talk to me out in public!\People are going to think we're walking to school together.\What a pain.\What a pain.\I don't mind you going to school from my place, response:	but what are you going to do about your textbooks?
context: That's irrelevant right now!\Itsuki, I don't mind you going\Don't talk to me out in public!\People are going to think we're walking to school together.\What a pain.\What a pain.\I don't mind you going to school from my place,\but what are you going to do about your textbooks? response:	Not to worry.
context: Itsuki, I don't mind you going\Don't talk to me out in public!\People are going to think we're walking to school together.\What a pain.\What a pain.\I don't mind you going to school from my place,\but what are you going to do about your textbooks?\Not to worry. response:	I bumped into Yotsuba yesterday and had her bring them to me.
context: Don't talk to me out in public!\People are going to think we're walking to school together.\What a pain.\What a pain.\I don't mind you going to school from my place,\but what are you going to do about your textbooks?\Not to worry.\I bumped into Yotsuba yesterday and had her bring them to me. response:	Why didn't you ask for your purse, too?
context: People are going to think we're walking to school together.\What a pain.\What a pain.\I don't mind you going to school from my place,\but what are you going to do about your textbooks?\Not to worry.\I bumped into Yotsuba yesterday and had her bring them to me.\Why didn't you ask for your purse, too? response:	I had the same thought later, but Yotsuba seemed busy.
context: What a pain.\What a pain.\I don't mind you going to school from my place,\but what are you going to do about your textbooks?\Not to worry.\I bumped into Yotsuba yesterday and had her bring them to me.\Why didn't you ask for your purse, too?\I had the same thought later, but Yotsuba seemed busy. response:	She wasn't at home yesterday either.
context: What a pain.\I don't mind you going to school from my place,\but what are you going to do about your textbooks?\Not to worry.\I bumped into Yotsuba yesterday and had her bring them to me.\Why didn't you ask for your purse, too?\I had the same thought later, but Yotsuba seemed busy.\She wasn't at home yesterday either. response:	I wonder what she's up to.
context: I don't mind you going to school from my place,\but what are you going to do about your textbooks?\Not to worry.\I bumped into Yotsuba yesterday and had her bring them to me.\Why didn't you ask for your purse, too?\I had the same thought later, but Yotsuba seemed busy.\She wasn't at home yesterday either.\I wonder what she's up to. response:	Huh? You haven't heard?
context: but what are you going to do about your textbooks?\Not to worry.\I bumped into Yotsuba yesterday and had her bring them to me.\Why didn't you ask for your purse, too?\I had the same thought later, but Yotsuba seemed busy.\She wasn't at home yesterday either.\I wonder what she's up to.\Huh? You haven't heard? response:	You signed up to help the track team?!
context: Not to worry.\I bumped into Yotsuba yesterday and had her bring them to me.\Why didn't you ask for your purse, too?\I had the same thought later, but Yotsuba seemed busy.\She wasn't at home yesterday either.\I wonder what she's up to.\Huh? You haven't heard?\You signed up to help the track team?! response:	Do you have any idea how dire things are?!
context: I bumped into Yotsuba yesterday and had her bring them to me.\Why didn't you ask for your purse, too?\I had the same thought later, but Yotsuba seemed busy.\She wasn't at home yesterday either.\I wonder what she's up to.\Huh? You haven't heard?\You signed up to help the track team?!\Do you have any idea how dire things are?! response:	I'm sorry.
context: Why didn't you ask for your purse, too?\I had the same thought later, but Yotsuba seemed busy.\She wasn't at home yesterday either.\I wonder what she's up to.\Huh? You haven't heard?\You signed up to help the track team?!\Do you have any idea how dire things are?!\I'm sorry. response:	I turned them down once,
context: I had the same thought later, but Yotsuba seemed busy.\She wasn't at home yesterday either.\I wonder what she's up to.\Huh? You haven't heard?\You signed up to help the track team?!\Do you have any idea how dire things are?!\I'm sorry.\I turned them down once, response:	but they said they wouldn't be able make it into the marathon without me.
context: She wasn't at home yesterday either.\I wonder what she's up to.\Huh? You haven't heard?\You signed up to help the track team?!\Do you have any idea how dire things are?!\I'm sorry.\I turned them down once,\but they said they wouldn't be able make it into the marathon without me. response:	There you go again, being nice to everyone.
context: I wonder what she's up to.\Huh? You haven't heard?\You signed up to help the track team?!\Do you have any idea how dire things are?!\I'm sorry.\I turned them down once,\but they said they wouldn't be able make it into the marathon without me.\There you go again, being nice to everyone. response:	Go quit right now.
context: Huh? You haven't heard?\You signed up to help the track team?!\Do you have any idea how dire things are?!\I'm sorry.\I turned them down once,\but they said they wouldn't be able make it into the marathon without me.\There you go again, being nice to everyone.\Go quit right now. response:	Stop causing more problems.
context: You signed up to help the track team?!\Do you have any idea how dire things are?!\I'm sorry.\I turned them down once,\but they said they wouldn't be able make it into the marathon without me.\There you go again, being nice to everyone.\Go quit right now.\Stop causing more problems. response:	Sorry for keeping it a secret.
context: Do you have any idea how dire things are?!\I'm sorry.\I turned them down once,\but they said they wouldn't be able make it into the marathon without me.\There you go again, being nice to everyone.\Go quit right now.\Stop causing more problems.\Sorry for keeping it a secret. response:	But I am working on your problem set when I'm at home.
context: I'm sorry.\I turned them down once,\but they said they wouldn't be able make it into the marathon without me.\There you go again, being nice to everyone.\Go quit right now.\Stop causing more problems.\Sorry for keeping it a secret.\But I am working on your problem set when I'm at home. response:	Nakano-san, practice is about to resume.
context: I turned them down once,\but they said they wouldn't be able make it into the marathon without me.\There you go again, being nice to everyone.\Go quit right now.\Stop causing more problems.\Sorry for keeping it a secret.\But I am working on your problem set when I'm at home.\Nakano-san, practice is about to resume. response:	Okay.
context: but they said they wouldn't be able make it into the marathon without me.\There you go again, being nice to everyone.\Go quit right now.\Stop causing more problems.\Sorry for keeping it a secret.\But I am working on your problem set when I'm at home.\Nakano-san, practice is about to resume.\Okay. response:	I'll do my best, okay?
context: There you go again, being nice to everyone.\Go quit right now.\Stop causing more problems.\Sorry for keeping it a secret.\But I am working on your problem set when I'm at home.\Nakano-san, practice is about to resume.\Okay.\I'll do my best, okay? response:	We're not done talking here!
context: Go quit right now.\Stop causing more problems.\Sorry for keeping it a secret.\But I am working on your problem set when I'm at home.\Nakano-san, practice is about to resume.\Okay.\I'll do my best, okay?\We're not done talking here! response:	You're not getting away!
context: Stop causing more problems.\Sorry for keeping it a secret.\But I am working on your problem set when I'm at home.\Nakano-san, practice is about to resume.\Okay.\I'll do my best, okay?\We're not done talking here!\You're not getting away! response:	She got away.
context: Sorry for keeping it a secret.\But I am working on your problem set when I'm at home.\Nakano-san, practice is about to resume.\Okay.\I'll do my best, okay?\We're not done talking here!\You're not getting away!\She got away. response:	Nino.
context: But I am working on your problem set when I'm at home.\Nakano-san, practice is about to resume.\Okay.\I'll do my best, okay?\We're not done talking here!\You're not getting away!\She got away.\Nino. response:	You came to school?
context: Nakano-san, practice is about to resume.\Okay.\I'll do my best, okay?\We're not done talking here!\You're not getting away!\She got away.\Nino.\You came to school? response:	I'm not bothered about what happened.
context: Okay.\I'll do my best, okay?\We're not done talking here!\You're not getting away!\She got away.\Nino.\You came to school?\I'm not bothered about what happened. response:	Just go home, okay?
context: I'll do my best, okay?\We're not done talking here!\You're not getting away!\She got away.\Nino.\You came to school?\I'm not bothered about what happened.\Just go home, okay? response:	You can get back on good terms with the others.
context: We're not done talking here!\You're not getting away!\She got away.\Nino.\You came to school?\I'm not bothered about what happened.\Just go home, okay?\You can get back on good terms with the others. response:	Just like old times.
context: You're not getting away!\She got away.\Nino.\You came to school?\I'm not bothered about what happened.\Just go home, okay?\You can get back on good terms with the others.\Just like old times. response:	Fine. I'll go home.
context: She got away.\Nino.\You came to school?\I'm not bothered about what happened.\Just go home, okay?\You can get back on good terms with the others.\Just like old times.\Fine. I'll go home. response:	Really?
context: Nino.\You came to school?\I'm not bothered about what happened.\Just go home, okay?\You can get back on good terms with the others.\Just like old times.\Fine. I'll go home.\Really? response:	Not to the hotel from yesterday!
context: You came to school?\I'm not bothered about what happened.\Just go home, okay?\You can get back on good terms with the others.\Just like old times.\Fine. I'll go home.\Really?\Not to the hotel from yesterday! response:	Nino!
context: I'm not bothered about what happened.\Just go home, okay?\You can get back on good terms with the others.\Just like old times.\Fine. I'll go home.\Really?\Not to the hotel from yesterday!\Nino! response:	Please, sir.
context: Just go home, okay?\You can get back on good terms with the others.\Just like old times.\Fine. I'll go home.\Really?\Not to the hotel from yesterday!\Nino!\Please, sir. response:	What are you going to do about the exams?!
context: You can get back on good terms with the others.\Just like old times.\Fine. I'll go home.\Really?\Not to the hotel from yesterday!\Nino!\Please, sir.\What are you going to do about the exams?! response:	Calm down.
context: Just like old times.\Fine. I'll go home.\Really?\Not to the hotel from yesterday!\Nino!\Please, sir.\What are you going to do about the exams?!\Calm down. response:	We ask that you leave if you aren't a guest.
context: Fine. I'll go home.\Really?\Not to the hotel from yesterday!\Nino!\Please, sir.\What are you going to do about the exams?!\Calm down.\We ask that you leave if you aren't a guest. response:	I'll make sure you pass!
context: Really?\Not to the hotel from yesterday!\Nino!\Please, sir.\What are you going to do about the exams?!\Calm down.\We ask that you leave if you aren't a guest.\I'll make sure you pass! response:	So let me in!
context: Not to the hotel from yesterday!\Nino!\Please, sir.\What are you going to do about the exams?!\Calm down.\We ask that you leave if you aren't a guest.\I'll make sure you pass!\So let me in! response:	So what if I pass the exam?
context: Nino!\Please, sir.\What are you going to do about the exams?!\Calm down.\We ask that you leave if you aren't a guest.\I'll make sure you pass!\So let me in!\So what if I pass the exam? response:	I don't care.
context: Please, sir.\What are you going to do about the exams?!\Calm down.\We ask that you leave if you aren't a guest.\I'll make sure you pass!\So let me in!\So what if I pass the exam?\I don't care. response:	I'm not giving up...
context: What are you going to do about the exams?!\Calm down.\We ask that you leave if you aren't a guest.\I'll make sure you pass!\So let me in!\So what if I pass the exam?\I don't care.\I'm not giving up... response:	I'm not giving up.
context: Calm down.\We ask that you leave if you aren't a guest.\I'll make sure you pass!\So let me in!\So what if I pass the exam?\I don't care.\I'm not giving up...\I'm not giving up. response:	Nino!
context: We ask that you leave if you aren't a guest.\I'll make sure you pass!\So let me in!\So what if I pass the exam?\I don't care.\I'm not giving up...\I'm not giving up.\Nino! response:	Hear me out!
context: I'll make sure you pass!\So let me in!\So what if I pass the exam?\I don't care.\I'm not giving up...\I'm not giving up.\Nino!\Hear me out! response:	I'll be back!
context: So let me in!\So what if I pass the exam?\I don't care.\I'm not giving up...\I'm not giving up.\Nino!\Hear me out!\I'll be back! response:	I'm not giving up!
context: So what if I pass the exam?\I don't care.\I'm not giving up...\I'm not giving up.\Nino!\Hear me out!\I'll be back!\I'm not giving up! response:	Four days until the exams.
context: I don't care.\I'm not giving up...\I'm not giving up.\Nino!\Hear me out!\I'll be back!\I'm not giving up!\Four days until the exams. response:	What can I do to get them back together?
context: I'm not giving up...\I'm not giving up.\Nino!\Hear me out!\I'll be back!\I'm not giving up!\Four days until the exams.\What can I do to get them back together? response:	If I drowned here, would they get worried and get back on the same page?
context: I'm not giving up.\Nino!\Hear me out!\I'll be back!\I'm not giving up!\Four days until the exams.\What can I do to get them back together?\If I drowned here, would they get worried and get back on the same page? response:	Yikes, my thoughts are going down a dangerous road.
context: Nino!\Hear me out!\I'll be back!\I'm not giving up!\Four days until the exams.\What can I do to get them back together?\If I drowned here, would they get worried and get back on the same page?\Yikes, my thoughts are going down a dangerous road. response:	But wait, maybe...
context: Hear me out!\I'll be back!\I'm not giving up!\Four days until the exams.\What can I do to get them back together?\If I drowned here, would they get worried and get back on the same page?\Yikes, my thoughts are going down a dangerous road.\But wait, maybe... response:	No, that wouldn't work.
context: I'll be back!\I'm not giving up!\Four days until the exams.\What can I do to get them back together?\If I drowned here, would they get worried and get back on the same page?\Yikes, my thoughts are going down a dangerous road.\But wait, maybe...\No, that wouldn't work. response:	It obviously wouldn't work.
context: I'm not giving up!\Four days until the exams.\What can I do to get them back together?\If I drowned here, would they get worried and get back on the same page?\Yikes, my thoughts are going down a dangerous road.\But wait, maybe...\No, that wouldn't work.\It obviously wouldn't work. response:	I've been doing it wrong.
context: Four days until the exams.\What can I do to get them back together?\If I drowned here, would they get worried and get back on the same page?\Yikes, my thoughts are going down a dangerous road.\But wait, maybe...\No, that wouldn't work.\It obviously wouldn't work.\I've been doing it wrong. response:	Maybe I had the wrong idea, because they trusted me and were counting on me.
context: What can I do to get them back together?\If I drowned here, would they get worried and get back on the same page?\Yikes, my thoughts are going down a dangerous road.\But wait, maybe...\No, that wouldn't work.\It obviously wouldn't work.\I've been doing it wrong.\Maybe I had the wrong idea, because they trusted me and were counting on me. response:	It wasn't my place to concern myself with another family's problems.
context: If I drowned here, would they get worried and get back on the same page?\Yikes, my thoughts are going down a dangerous road.\But wait, maybe...\No, that wouldn't work.\It obviously wouldn't work.\I've been doing it wrong.\Maybe I had the wrong idea, because they trusted me and were counting on me.\It wasn't my place to concern myself with another family's problems. response:	No, in fact...
context: Yikes, my thoughts are going down a dangerous road.\But wait, maybe...\No, that wouldn't work.\It obviously wouldn't work.\I've been doing it wrong.\Maybe I had the wrong idea, because they trusted me and were counting on me.\It wasn't my place to concern myself with another family's problems.\No, in fact... response:	You should never have come into our lives!
context: But wait, maybe...\No, that wouldn't work.\It obviously wouldn't work.\I've been doing it wrong.\Maybe I had the wrong idea, because they trusted me and were counting on me.\It wasn't my place to concern myself with another family's problems.\No, in fact...\You should never have come into our lives! response:	She's right.
context: No, that wouldn't work.\It obviously wouldn't work.\I've been doing it wrong.\Maybe I had the wrong idea, because they trusted me and were counting on me.\It wasn't my place to concern myself with another family's problems.\No, in fact...\You should never have come into our lives!\She's right. response:	It was all wrong from the beginning.
context: It obviously wouldn't work.\I've been doing it wrong.\Maybe I had the wrong idea, because they trusted me and were counting on me.\It wasn't my place to concern myself with another family's problems.\No, in fact...\You should never have come into our lives!\She's right.\It was all wrong from the beginning. response:	All I've been doing is studying.
context: I've been doing it wrong.\Maybe I had the wrong idea, because they trusted me and were counting on me.\It wasn't my place to concern myself with another family's problems.\No, in fact...\You should never have come into our lives!\She's right.\It was all wrong from the beginning.\All I've been doing is studying. response:	I can't make myself useful.
context: Maybe I had the wrong idea, because they trusted me and were counting on me.\It wasn't my place to concern myself with another family's problems.\No, in fact...\You should never have come into our lives!\She's right.\It was all wrong from the beginning.\All I've been doing is studying.\I can't make myself useful. response:	They don't need me.
