context: masshiro PAGE mekuru response:	I walk through the white pages of my storybook
context: Yeah! And he's serious when it matters.\He actually has a quick temper, but it's because he cares about doing the right thing!\He's nice to both guys and girls.\He's honest,\and\Why am I talking to you about this?!\I'm so happy we were able to talk like this. I've never spoken like this to anyone before.\This was my best shot. response:	We just entered high school together.
context: He actually has a quick temper, but it's because he cares about doing the right thing!\He's nice to both guys and girls.\He's honest,\and\Why am I talking to you about this?!\I'm so happy we were able to talk like this. I've never spoken like this to anyone before.\This was my best shot.\We just entered high school together. response:	People were finally supportive of us.
context: He's nice to both guys and girls.\He's honest,\and\Why am I talking to you about this?!\I'm so happy we were able to talk like this. I've never spoken like this to anyone before.\This was my best shot.\We just entered high school together.\People were finally supportive of us. response:	If I wanted to make him like me, it was now or never!
context: He's honest,\and\Why am I talking to you about this?!\I'm so happy we were able to talk like this. I've never spoken like this to anyone before.\This was my best shot.\We just entered high school together.\People were finally supportive of us.\If I wanted to make him like me, it was now or never! response:	Yet...
context: and\Why am I talking to you about this?!\I'm so happy we were able to talk like this. I've never spoken like this to anyone before.\This was my best shot.\We just entered high school together.\People were finally supportive of us.\If I wanted to make him like me, it was now or never!\Yet... response:	It's all over now.
context: Why am I talking to you about this?!\I'm so happy we were able to talk like this. I've never spoken like this to anyone before.\This was my best shot.\We just entered high school together.\People were finally supportive of us.\If I wanted to make him like me, it was now or never!\Yet...\It's all over now. response:	Kazehaya thinks I like Arapin.
context: I'm so happy we were able to talk like this. I've never spoken like this to anyone before.\This was my best shot.\We just entered high school together.\People were finally supportive of us.\If I wanted to make him like me, it was now or never!\Yet...\It's all over now.\Kazehaya thinks I like Arapin. response:	No matter what I say now, it'll just look like I'm denying it out of embarrassment!
context: This was my best shot.\We just entered high school together.\People were finally supportive of us.\If I wanted to make him like me, it was now or never!\Yet...\It's all over now.\Kazehaya thinks I like Arapin.\No matter what I say now, it'll just look like I'm denying it out of embarrassment! response:	I had planned on giving up at that point.
context: We just entered high school together.\People were finally supportive of us.\If I wanted to make him like me, it was now or never!\Yet...\It's all over now.\Kazehaya thinks I like Arapin.\No matter what I say now, it'll just look like I'm denying it out of embarrassment!\I had planned on giving up at that point. response:	But then Sawako said..
context: People were finally supportive of us.\If I wanted to make him like me, it was now or never!\Yet...\It's all over now.\Kazehaya thinks I like Arapin.\No matter what I say now, it'll just look like I'm denying it out of embarrassment!\I had planned on giving up at that point.\But then Sawako said.. response:	That's no good.
context: If I wanted to make him like me, it was now or never!\Yet...\It's all over now.\Kazehaya thinks I like Arapin.\No matter what I say now, it'll just look like I'm denying it out of embarrassment!\I had planned on giving up at that point.\But then Sawako said..\That's no good. response:	I didn't like it when Kazehaya accidentally thought I liked Sanada.
context: Yet...\It's all over now.\Kazehaya thinks I like Arapin.\No matter what I say now, it'll just look like I'm denying it out of embarrassment!\I had planned on giving up at that point.\But then Sawako said..\That's no good.\I didn't like it when Kazehaya accidentally thought I liked Sanada. response:	But since it's a misunderstanding, he'll understand if you talk to him.
context: It's all over now.\Kazehaya thinks I like Arapin.\No matter what I say now, it'll just look like I'm denying it out of embarrassment!\I had planned on giving up at that point.\But then Sawako said..\That's no good.\I didn't like it when Kazehaya accidentally thought I liked Sanada.\But since it's a misunderstanding, he'll understand if you talk to him. response:	Do you think he'd really understand if I told him the truth?
context: Kazehaya thinks I like Arapin.\No matter what I say now, it'll just look like I'm denying it out of embarrassment!\I had planned on giving up at that point.\But then Sawako said..\That's no good.\I didn't like it when Kazehaya accidentally thought I liked Sanada.\But since it's a misunderstanding, he'll understand if you talk to him.\Do you think he'd really understand if I told him the truth? response:	Are you an idiot?
context: No matter what I say now, it'll just look like I'm denying it out of embarrassment!\I had planned on giving up at that point.\But then Sawako said..\That's no good.\I didn't like it when Kazehaya accidentally thought I liked Sanada.\But since it's a misunderstanding, he'll understand if you talk to him.\Do you think he'd really understand if I told him the truth?\Are you an idiot? response:	See you!
context: I had planned on giving up at that point.\But then Sawako said..\That's no good.\I didn't like it when Kazehaya accidentally thought I liked Sanada.\But since it's a misunderstanding, he'll understand if you talk to him.\Do you think he'd really understand if I told him the truth?\Are you an idiot?\See you! response:	Kaze
context: But then Sawako said..\That's no good.\I didn't like it when Kazehaya accidentally thought I liked Sanada.\But since it's a misunderstanding, he'll understand if you talk to him.\Do you think he'd really understand if I told him the truth?\Are you an idiot?\See you!\Kaze response:	Don't give up!
context: That's no good.\I didn't like it when Kazehaya accidentally thought I liked Sanada.\But since it's a misunderstanding, he'll understand if you talk to him.\Do you think he'd really understand if I told him the truth?\Are you an idiot?\See you!\Kaze\Don't give up! response:	I don't want him to... misunderstand me!
context: I didn't like it when Kazehaya accidentally thought I liked Sanada.\But since it's a misunderstanding, he'll understand if you talk to him.\Do you think he'd really understand if I told him the truth?\Are you an idiot?\See you!\Kaze\Don't give up!\I don't want him to... misunderstand me! response:	Wait...
context: But since it's a misunderstanding, he'll understand if you talk to him.\Do you think he'd really understand if I told him the truth?\Are you an idiot?\See you!\Kaze\Don't give up!\I don't want him to... misunderstand me!\Wait... response:	Wait, Kazehaya!
context: Do you think he'd really understand if I told him the truth?\Are you an idiot?\See you!\Kaze\Don't give up!\I don't want him to... misunderstand me!\Wait...\Wait, Kazehaya! response:	I don't like Pin!
context: Are you an idiot?\See you!\Kaze\Don't give up!\I don't want him to... misunderstand me!\Wait...\Wait, Kazehaya!\I don't like Pin! response:	I like you, Kazehaya.
context: See you!\Kaze\Don't give up!\I don't want him to... misunderstand me!\Wait...\Wait, Kazehaya!\I don't like Pin!\I like you, Kazehaya. response:	I've always, always liked you, Kazehaya!
context: Kaze\Don't give up!\I don't want him to... misunderstand me!\Wait...\Wait, Kazehaya!\I don't like Pin!\I like you, Kazehaya.\I've always, always liked you, Kazehaya! response:	Kazehaya...
context: Don't give up!\I don't want him to... misunderstand me!\Wait...\Wait, Kazehaya!\I don't like Pin!\I like you, Kazehaya.\I've always, always liked you, Kazehaya!\Kazehaya... response:	It's always been you.
context: I don't want him to... misunderstand me!\Wait...\Wait, Kazehaya!\I don't like Pin!\I like you, Kazehaya.\I've always, always liked you, Kazehaya!\Kazehaya...\It's always been you. response:	I couldn't possibly like anyone else.
context: Wait...\Wait, Kazehaya!\I don't like Pin!\I like you, Kazehaya.\I've always, always liked you, Kazehaya!\Kazehaya...\It's always been you.\I couldn't possibly like anyone else. response:	I'm sorry, Kurumizawa.
context: Wait, Kazehaya!\I don't like Pin!\I like you, Kazehaya.\I've always, always liked you, Kazehaya!\Kazehaya...\It's always been you.\I couldn't possibly like anyone else.\I'm sorry, Kurumizawa. response:	I'm sorry.
context: I don't like Pin!\I like you, Kazehaya.\I've always, always liked you, Kazehaya!\Kazehaya...\It's always been you.\I couldn't possibly like anyone else.\I'm sorry, Kurumizawa.\I'm sorry. response:	It was my fault.
context: I like you, Kazehaya.\I've always, always liked you, Kazehaya!\Kazehaya...\It's always been you.\I couldn't possibly like anyone else.\I'm sorry, Kurumizawa.\I'm sorry.\It was my fault. response:	Sorry.
context: I've always, always liked you, Kazehaya!\Kazehaya...\It's always been you.\I couldn't possibly like anyone else.\I'm sorry, Kurumizawa.\I'm sorry.\It was my fault.\Sorry. response:	But I have someone I like.
context: Kazehaya...\It's always been you.\I couldn't possibly like anyone else.\I'm sorry, Kurumizawa.\I'm sorry.\It was my fault.\Sorry.\But I have someone I like. response:	I like her more than anyone else.
context: It's always been you.\I couldn't possibly like anyone else.\I'm sorry, Kurumizawa.\I'm sorry.\It was my fault.\Sorry.\But I have someone I like.\I like her more than anyone else. response:	I'm sorry.
context: I couldn't possibly like anyone else.\I'm sorry, Kurumizawa.\I'm sorry.\It was my fault.\Sorry.\But I have someone I like.\I like her more than anyone else.\I'm sorry. response:	I know. It's so obvious.
context: I'm sorry, Kurumizawa.\I'm sorry.\It was my fault.\Sorry.\But I have someone I like.\I like her more than anyone else.\I'm sorry.\I know. It's so obvious. response:	But did my confession make you feel happy at all? Even just a little?
context: I'm sorry.\It was my fault.\Sorry.\But I have someone I like.\I like her more than anyone else.\I'm sorry.\I know. It's so obvious.\But did my confession make you feel happy at all? Even just a little? response:	Yes, it did.
context: It was my fault.\Sorry.\But I have someone I like.\I like her more than anyone else.\I'm sorry.\I know. It's so obvious.\But did my confession make you feel happy at all? Even just a little?\Yes, it did. response:	Thank you.
context: Sorry.\But I have someone I like.\I like her more than anyone else.\I'm sorry.\I know. It's so obvious.\But did my confession make you feel happy at all? Even just a little?\Yes, it did.\Thank you. response:	Will you call me by my name? Just once?
context: But I have someone I like.\I like her more than anyone else.\I'm sorry.\I know. It's so obvious.\But did my confession make you feel happy at all? Even just a little?\Yes, it did.\Thank you.\Will you call me by my name? Just once? response:	Ume.
context: I like her more than anyone else.\I'm sorry.\I know. It's so obvious.\But did my confession make you feel happy at all? Even just a little?\Yes, it did.\Thank you.\Will you call me by my name? Just once?\Ume. response:	That typical old woman's name isn't that bad after all.
context: I'm sorry.\I know. It's so obvious.\But did my confession make you feel happy at all? Even just a little?\Yes, it did.\Thank you.\Will you call me by my name? Just once?\Ume.\That typical old woman's name isn't that bad after all. response:	I didn't want to tell you at all, but I guess not everything goes as planned.
context: I know. It's so obvious.\But did my confession make you feel happy at all? Even just a little?\Yes, it did.\Thank you.\Will you call me by my name? Just once?\Ume.\That typical old woman's name isn't that bad after all.\I didn't want to tell you at all, but I guess not everything goes as planned. response:	As planned?
context: But did my confession make you feel happy at all? Even just a little?\Yes, it did.\Thank you.\Will you call me by my name? Just once?\Ume.\That typical old woman's name isn't that bad after all.\I didn't want to tell you at all, but I guess not everything goes as planned.\As planned? response:	You have no taste in women, Kazehaya!
context: Yes, it did.\Thank you.\Will you call me by my name? Just once?\Ume.\That typical old woman's name isn't that bad after all.\I didn't want to tell you at all, but I guess not everything goes as planned.\As planned?\You have no taste in women, Kazehaya! response:	Bye bye!
context: Thank you.\Will you call me by my name? Just once?\Ume.\That typical old woman's name isn't that bad after all.\I didn't want to tell you at all, but I guess not everything goes as planned.\As planned?\You have no taste in women, Kazehaya!\Bye bye! response:	I can't believe I told him.
context: Will you call me by my name? Just once?\Ume.\That typical old woman's name isn't that bad after all.\I didn't want to tell you at all, but I guess not everything goes as planned.\As planned?\You have no taste in women, Kazehaya!\Bye bye!\I can't believe I told him. response:	That wasn't like me at all.
context: Ume.\That typical old woman's name isn't that bad after all.\I didn't want to tell you at all, but I guess not everything goes as planned.\As planned?\You have no taste in women, Kazehaya!\Bye bye!\I can't believe I told him.\That wasn't like me at all. response:	But ever since then,
context: That typical old woman's name isn't that bad after all.\I didn't want to tell you at all, but I guess not everything goes as planned.\As planned?\You have no taste in women, Kazehaya!\Bye bye!\I can't believe I told him.\That wasn't like me at all.\But ever since then, response:	I haven't had to use the book of People Who've Called Me Ume.
context: I didn't want to tell you at all, but I guess not everything goes as planned.\As planned?\You have no taste in women, Kazehaya!\Bye bye!\I can't believe I told him.\That wasn't like me at all.\But ever since then,\I haven't had to use the book of People Who've Called Me Ume. response:	I wonder if he'll accept them from me.
context: As planned?\You have no taste in women, Kazehaya!\Bye bye!\I can't believe I told him.\That wasn't like me at all.\But ever since then,\I haven't had to use the book of People Who've Called Me Ume.\I wonder if he'll accept them from me. response:	Sawako will definitely make chocolates herself.
context: You have no taste in women, Kazehaya!\Bye bye!\I can't believe I told him.\That wasn't like me at all.\But ever since then,\I haven't had to use the book of People Who've Called Me Ume.\I wonder if he'll accept them from me.\Sawako will definitely make chocolates herself. response:	Ayane and Chizu probably won't.
context: Bye bye!\I can't believe I told him.\That wasn't like me at all.\But ever since then,\I haven't had to use the book of People Who've Called Me Ume.\I wonder if he'll accept them from me.\Sawako will definitely make chocolates herself.\Ayane and Chizu probably won't. response:	Tomorrow's the last time.
context: I can't believe I told him.\That wasn't like me at all.\But ever since then,\I haven't had to use the book of People Who've Called Me Ume.\I wonder if he'll accept them from me.\Sawako will definitely make chocolates herself.\Ayane and Chizu probably won't.\Tomorrow's the last time. response:	I'm going with the expensive one!
context: That wasn't like me at all.\But ever since then,\I haven't had to use the book of People Who've Called Me Ume.\I wonder if he'll accept them from me.\Sawako will definitely make chocolates herself.\Ayane and Chizu probably won't.\Tomorrow's the last time.\I'm going with the expensive one! response:	douka ima dake wa furimukanaide
context: But ever since then,\I haven't had to use the book of People Who've Called Me Ume.\I wonder if he'll accept them from me.\Sawako will definitely make chocolates herself.\Ayane and Chizu probably won't.\Tomorrow's the last time.\I'm going with the expensive one!\douka ima dake wa furimukanaide response:	Please don't look at me right now
context: I haven't had to use the book of People Who've Called Me Ume.\I wonder if he'll accept them from me.\Sawako will definitely make chocolates herself.\Ayane and Chizu probably won't.\Tomorrow's the last time.\I'm going with the expensive one!\douka ima dake wa furimukanaide\Please don't look at me right now response:	yuugure sawagu kaze
context: I wonder if he'll accept them from me.\Sawako will definitely make chocolates herself.\Ayane and Chizu probably won't.\Tomorrow's the last time.\I'm going with the expensive one!\douka ima dake wa furimukanaide\Please don't look at me right now\yuugure sawagu kaze response:	The sun's set, the wind's blowing,
context: Sawako will definitely make chocolates herself.\Ayane and Chizu probably won't.\Tomorrow's the last time.\I'm going with the expensive one!\douka ima dake wa furimukanaide\Please don't look at me right now\yuugure sawagu kaze\The sun's set, the wind's blowing, response:	furesouna kyouri
context: Ayane and Chizu probably won't.\Tomorrow's the last time.\I'm going with the expensive one!\douka ima dake wa furimukanaide\Please don't look at me right now\yuugure sawagu kaze\The sun's set, the wind's blowing,\furesouna kyouri response:	and we're so close that we can almost touch
context: Tomorrow's the last time.\I'm going with the expensive one!\douka ima dake wa furimukanaide\Please don't look at me right now\yuugure sawagu kaze\The sun's set, the wind's blowing,\furesouna kyouri\and we're so close that we can almost touch response:	kimi wo mitsumeteru zutto
context: I'm going with the expensive one!\douka ima dake wa furimukanaide\Please don't look at me right now\yuugure sawagu kaze\The sun's set, the wind's blowing,\furesouna kyouri\and we're so close that we can almost touch\kimi wo mitsumeteru zutto response:	My gaze has always been fixed on you
context: douka ima dake wa furimukanaide\Please don't look at me right now\yuugure sawagu kaze\The sun's set, the wind's blowing,\furesouna kyouri\and we're so close that we can almost touch\kimi wo mitsumeteru zutto\My gaze has always been fixed on you response:	kimi ga suki de
context: Please don't look at me right now\yuugure sawagu kaze\The sun's set, the wind's blowing,\furesouna kyouri\and we're so close that we can almost touch\kimi wo mitsumeteru zutto\My gaze has always been fixed on you\kimi ga suki de response:	I like you
context: yuugure sawagu kaze\The sun's set, the wind's blowing,\furesouna kyouri\and we're so close that we can almost touch\kimi wo mitsumeteru zutto\My gaze has always been fixed on you\kimi ga suki de\I like you response:	kimi ga suki de
context: The sun's set, the wind's blowing,\furesouna kyouri\and we're so close that we can almost touch\kimi wo mitsumeteru zutto\My gaze has always been fixed on you\kimi ga suki de\I like you\kimi ga suki de response:	I've always liked you
context: furesouna kyouri\and we're so close that we can almost touch\kimi wo mitsumeteru zutto\My gaze has always been fixed on you\kimi ga suki de\I like you\kimi ga suki de\I've always liked you response:	kono omoi koi demo ii
context: and we're so close that we can almost touch\kimi wo mitsumeteru zutto\My gaze has always been fixed on you\kimi ga suki de\I like you\kimi ga suki de\I've always liked you\kono omoi koi demo ii response:	I don't mind if this emotion is what they call love,
context: kimi wo mitsumeteru zutto\My gaze has always been fixed on you\kimi ga suki de\I like you\kimi ga suki de\I've always liked you\kono omoi koi demo ii\I don't mind if this emotion is what they call love, response:	kizu tsuitemo ii
context: My gaze has always been fixed on you\kimi ga suki de\I like you\kimi ga suki de\I've always liked you\kono omoi koi demo ii\I don't mind if this emotion is what they call love,\kizu tsuitemo ii response:	and I don't care if I get hurt by it
context: kimi ga suki de\I like you\kimi ga suki de\I've always liked you\kono omoi koi demo ii\I don't mind if this emotion is what they call love,\kizu tsuitemo ii\and I don't care if I get hurt by it response:	nando demo tsutaetai
context: I like you\kimi ga suki de\I've always liked you\kono omoi koi demo ii\I don't mind if this emotion is what they call love,\kizu tsuitemo ii\and I don't care if I get hurt by it\nando demo tsutaetai response:	I just want to tell you, over and over again
context: kimi ga suki de\I've always liked you\kono omoi koi demo ii\I don't mind if this emotion is what they call love,\kizu tsuitemo ii\and I don't care if I get hurt by it\nando demo tsutaetai\I just want to tell you, over and over again response:	kimi ni todoke
context: I've always liked you\kono omoi koi demo ii\I don't mind if this emotion is what they call love,\kizu tsuitemo ii\and I don't care if I get hurt by it\nando demo tsutaetai\I just want to tell you, over and over again\kimi ni todoke response:	I want to reach you
context: kono omoi koi demo ii\I don't mind if this emotion is what they call love,\kizu tsuitemo ii\and I don't care if I get hurt by it\nando demo tsutaetai\I just want to tell you, over and over again\kimi ni todoke\I want to reach you response:	Preview
context: I don't mind if this emotion is what they call love,\kizu tsuitemo ii\and I don't care if I get hurt by it\nando demo tsutaetai\I just want to tell you, over and over again\kimi ni todoke\I want to reach you\Preview response:	valentine's day
context: kizu tsuitemo ii\and I don't care if I get hurt by it\nando demo tsutaetai\I just want to tell you, over and over again\kimi ni todoke\I want to reach you\Preview\valentine's day response:	I want to give them to him.
context: and I don't care if I get hurt by it\nando demo tsutaetai\I just want to tell you, over and over again\kimi ni todoke\I want to reach you\Preview\valentine's day\I want to give them to him. response:	But I can't.
context: nando demo tsutaetai\I just want to tell you, over and over again\kimi ni todoke\I want to reach you\Preview\valentine's day\I want to give them to him.\But I can't. response:	I can't stop hesitating.
context: I just want to tell you, over and over again\kimi ni todoke\I want to reach you\Preview\valentine's day\I want to give them to him.\But I can't.\I can't stop hesitating. response:	Next time: Valentine's Day.
