context: I wasn't prepared for any of this. response:	It's so lame I could die.
context: Hurry!\Sake from the Heavens is not so bad after all.\What's the matter, Shinjurou? The bottle isn't empty yet.\So how are you feeling now, Brother? Good?\Of course.\Were you planning to get me drunk so you could exact some sort of pathetic revenge?\This must come as a disappointment.\Unlike your feeble spirit, I am not one to be corrupted by mere alcohol. response:	Inebriation is just another sad form of weakness.
context: Sake from the Heavens is not so bad after all.\What's the matter, Shinjurou? The bottle isn't empty yet.\So how are you feeling now, Brother? Good?\Of course.\Were you planning to get me drunk so you could exact some sort of pathetic revenge?\This must come as a disappointment.\Unlike your feeble spirit, I am not one to be corrupted by mere alcohol.\Inebriation is just another sad form of weakness. response:	You're the one who insisted we drink.
context: What's the matter, Shinjurou? The bottle isn't empty yet.\So how are you feeling now, Brother? Good?\Of course.\Were you planning to get me drunk so you could exact some sort of pathetic revenge?\This must come as a disappointment.\Unlike your feeble spirit, I am not one to be corrupted by mere alcohol.\Inebriation is just another sad form of weakness.\You're the one who insisted we drink. response:	You will finish this bottle with me.
context: So how are you feeling now, Brother? Good?\Of course.\Were you planning to get me drunk so you could exact some sort of pathetic revenge?\This must come as a disappointment.\Unlike your feeble spirit, I am not one to be corrupted by mere alcohol.\Inebriation is just another sad form of weakness.\You're the one who insisted we drink.\You will finish this bottle with me. response:	This has gone far enough, Master Jirou.
context: Of course.\Were you planning to get me drunk so you could exact some sort of pathetic revenge?\This must come as a disappointment.\Unlike your feeble spirit, I am not one to be corrupted by mere alcohol.\Inebriation is just another sad form of weakness.\You're the one who insisted we drink.\You will finish this bottle with me.\This has gone far enough, Master Jirou. response:	In lieu of my lord and master, I, Tomoe, will keep you company.
context: Were you planning to get me drunk so you could exact some sort of pathetic revenge?\This must come as a disappointment.\Unlike your feeble spirit, I am not one to be corrupted by mere alcohol.\Inebriation is just another sad form of weakness.\You're the one who insisted we drink.\You will finish this bottle with me.\This has gone far enough, Master Jirou.\In lieu of my lord and master, I, Tomoe, will keep you company. response:	In deference to your wishes...
context: This must come as a disappointment.\Unlike your feeble spirit, I am not one to be corrupted by mere alcohol.\Inebriation is just another sad form of weakness.\You're the one who insisted we drink.\You will finish this bottle with me.\This has gone far enough, Master Jirou.\In lieu of my lord and master, I, Tomoe, will keep you company.\In deference to your wishes... response:	Why not let a celestial nymph pour for you?
context: Unlike your feeble spirit, I am not one to be corrupted by mere alcohol.\Inebriation is just another sad form of weakness.\You're the one who insisted we drink.\You will finish this bottle with me.\This has gone far enough, Master Jirou.\In lieu of my lord and master, I, Tomoe, will keep you company.\In deference to your wishes...\Why not let a celestial nymph pour for you? response:	Wobble
context: Inebriation is just another sad form of weakness.\You're the one who insisted we drink.\You will finish this bottle with me.\This has gone far enough, Master Jirou.\In lieu of my lord and master, I, Tomoe, will keep you company.\In deference to your wishes...\Why not let a celestial nymph pour for you?\Wobble response:	Wobble
context: You're the one who insisted we drink.\You will finish this bottle with me.\This has gone far enough, Master Jirou.\In lieu of my lord and master, I, Tomoe, will keep you company.\In deference to your wishes...\Why not let a celestial nymph pour for you?\Wobble\Wobble response:	What?!
context: You will finish this bottle with me.\This has gone far enough, Master Jirou.\In lieu of my lord and master, I, Tomoe, will keep you company.\In deference to your wishes...\Why not let a celestial nymph pour for you?\Wobble\Wobble\What?! response:	The barrier wavered!
context: This has gone far enough, Master Jirou.\In lieu of my lord and master, I, Tomoe, will keep you company.\In deference to your wishes...\Why not let a celestial nymph pour for you?\Wobble\Wobble\What?!\The barrier wavered! response:	The caster just lost his focus!
context: In lieu of my lord and master, I, Tomoe, will keep you company.\In deference to your wishes...\Why not let a celestial nymph pour for you?\Wobble\Wobble\What?!\The barrier wavered!\The caster just lost his focus! response:	But why?
context: In deference to your wishes...\Why not let a celestial nymph pour for you?\Wobble\Wobble\What?!\The barrier wavered!\The caster just lost his focus!\But why? response:	Who cares? Let's get going while we can.
context: Why not let a celestial nymph pour for you?\Wobble\Wobble\What?!\The barrier wavered!\The caster just lost his focus!\But why?\Who cares? Let's get going while we can. response:	What is the matter, Master Jirou?
context: Wobble\Wobble\What?!\The barrier wavered!\The caster just lost his focus!\But why?\Who cares? Let's get going while we can.\What is the matter, Master Jirou? response:	You were speaking so eloquently earlier.
context: Wobble\What?!\The barrier wavered!\The caster just lost his focus!\But why?\Who cares? Let's get going while we can.\What is the matter, Master Jirou?\You were speaking so eloquently earlier. response:	Was it you beneath the eternal cherry blossom tree, fox?
context: What?!\The barrier wavered!\The caster just lost his focus!\But why?\Who cares? Let's get going while we can.\What is the matter, Master Jirou?\You were speaking so eloquently earlier.\Was it you beneath the eternal cherry blossom tree, fox? response:	I was afraid my arm was going to break that time.
context: The barrier wavered!\The caster just lost his focus!\But why?\Who cares? Let's get going while we can.\What is the matter, Master Jirou?\You were speaking so eloquently earlier.\Was it you beneath the eternal cherry blossom tree, fox?\I was afraid my arm was going to break that time. response:	You are so rough, even in your treatment of women.
context: The caster just lost his focus!\But why?\Who cares? Let's get going while we can.\What is the matter, Master Jirou?\You were speaking so eloquently earlier.\Was it you beneath the eternal cherry blossom tree, fox?\I was afraid my arm was going to break that time.\You are so rough, even in your treatment of women. response:	You?! A woman?!
context: But why?\Who cares? Let's get going while we can.\What is the matter, Master Jirou?\You were speaking so eloquently earlier.\Was it you beneath the eternal cherry blossom tree, fox?\I was afraid my arm was going to break that time.\You are so rough, even in your treatment of women.\You?! A woman?! response:	My!
context: Who cares? Let's get going while we can.\What is the matter, Master Jirou?\You were speaking so eloquently earlier.\Was it you beneath the eternal cherry blossom tree, fox?\I was afraid my arm was going to break that time.\You are so rough, even in your treatment of women.\You?! A woman?!\My! response:	You're merely disguised as a woman! You're no woman!
context: What is the matter, Master Jirou?\You were speaking so eloquently earlier.\Was it you beneath the eternal cherry blossom tree, fox?\I was afraid my arm was going to break that time.\You are so rough, even in your treatment of women.\You?! A woman?!\My!\You're merely disguised as a woman! You're no woman! response:	Oh, you are awful!
context: You were speaking so eloquently earlier.\Was it you beneath the eternal cherry blossom tree, fox?\I was afraid my arm was going to break that time.\You are so rough, even in your treatment of women.\You?! A woman?!\My!\You're merely disguised as a woman! You're no woman!\Oh, you are awful! response:	If you have such strong suspicions,
context: Was it you beneath the eternal cherry blossom tree, fox?\I was afraid my arm was going to break that time.\You are so rough, even in your treatment of women.\You?! A woman?!\My!\You're merely disguised as a woman! You're no woman!\Oh, you are awful!\If you have such strong suspicions, response:	ascertain for yourself whether I am man or woman.
context: I was afraid my arm was going to break that time.\You are so rough, even in your treatment of women.\You?! A woman?!\My!\You're merely disguised as a woman! You're no woman!\Oh, you are awful!\If you have such strong suspicions,\ascertain for yourself whether I am man or woman. response:	Jirou...
context: You are so rough, even in your treatment of women.\You?! A woman?!\My!\You're merely disguised as a woman! You're no woman!\Oh, you are awful!\If you have such strong suspicions,\ascertain for yourself whether I am man or woman.\Jirou... response:	As I suspected, this man is...
context: You?! A woman?!\My!\You're merely disguised as a woman! You're no woman!\Oh, you are awful!\If you have such strong suspicions,\ascertain for yourself whether I am man or woman.\Jirou...\As I suspected, this man is... response:	Amazing!
context: My!\You're merely disguised as a woman! You're no woman!\Oh, you are awful!\If you have such strong suspicions,\ascertain for yourself whether I am man or woman.\Jirou...\As I suspected, this man is...\Amazing! response:	The webbing of the barrier was all over the place before, but it's disappeared.
context: You're merely disguised as a woman! You're no woman!\Oh, you are awful!\If you have such strong suspicions,\ascertain for yourself whether I am man or woman.\Jirou...\As I suspected, this man is...\Amazing!\The webbing of the barrier was all over the place before, but it's disappeared. response:	Now's our chance. Let's go.
context: Oh, you are awful!\If you have such strong suspicions,\ascertain for yourself whether I am man or woman.\Jirou...\As I suspected, this man is...\Amazing!\The webbing of the barrier was all over the place before, but it's disappeared.\Now's our chance. Let's go. response:	Yes, quietly so that no one notices us.
context: If you have such strong suspicions,\ascertain for yourself whether I am man or woman.\Jirou...\As I suspected, this man is...\Amazing!\The webbing of the barrier was all over the place before, but it's disappeared.\Now's our chance. Let's go.\Yes, quietly so that no one notices us. response:	I have a bad feeling about this.
context: ascertain for yourself whether I am man or woman.\Jirou...\As I suspected, this man is...\Amazing!\The webbing of the barrier was all over the place before, but it's disappeared.\Now's our chance. Let's go.\Yes, quietly so that no one notices us.\I have a bad feeling about this. response:	What in the world might Master Jirou be doing?
context: Jirou...\As I suspected, this man is...\Amazing!\The webbing of the barrier was all over the place before, but it's disappeared.\Now's our chance. Let's go.\Yes, quietly so that no one notices us.\I have a bad feeling about this.\What in the world might Master Jirou be doing? response:	Soujoubou!
context: As I suspected, this man is...\Amazing!\The webbing of the barrier was all over the place before, but it's disappeared.\Now's our chance. Let's go.\Yes, quietly so that no one notices us.\I have a bad feeling about this.\What in the world might Master Jirou be doing?\Soujoubou! response:	Master Soujoubou!
context: Amazing!\The webbing of the barrier was all over the place before, but it's disappeared.\Now's our chance. Let's go.\Yes, quietly so that no one notices us.\I have a bad feeling about this.\What in the world might Master Jirou be doing?\Soujoubou!\Master Soujoubou! response:	That's him?
context: The webbing of the barrier was all over the place before, but it's disappeared.\Now's our chance. Let's go.\Yes, quietly so that no one notices us.\I have a bad feeling about this.\What in the world might Master Jirou be doing?\Soujoubou!\Master Soujoubou!\That's him? response:	He looks kind of frozen.
context: Now's our chance. Let's go.\Yes, quietly so that no one notices us.\I have a bad feeling about this.\What in the world might Master Jirou be doing?\Soujoubou!\Master Soujoubou!\That's him?\He looks kind of frozen. response:	Land god! The Peach Pills! Quick!
context: Yes, quietly so that no one notices us.\I have a bad feeling about this.\What in the world might Master Jirou be doing?\Soujoubou!\Master Soujoubou!\That's him?\He looks kind of frozen.\Land god! The Peach Pills! Quick! response:	Oh, right...
context: I have a bad feeling about this.\What in the world might Master Jirou be doing?\Soujoubou!\Master Soujoubou!\That's him?\He looks kind of frozen.\Land god! The Peach Pills! Quick!\Oh, right... response:	Hurry! Hurry! Hurry! Hurry!
context: What in the world might Master Jirou be doing?\Soujoubou!\Master Soujoubou!\That's him?\He looks kind of frozen.\Land god! The Peach Pills! Quick!\Oh, right...\Hurry! Hurry! Hurry! Hurry! response:	Peach Pills... Peach Pills...
context: Soujoubou!\Master Soujoubou!\That's him?\He looks kind of frozen.\Land god! The Peach Pills! Quick!\Oh, right...\Hurry! Hurry! Hurry! Hurry!\Peach Pills... Peach Pills... response:	Hurry! Hurry! Hurry! Hurry... Hurr...
context: Master Soujoubou!\That's him?\He looks kind of frozen.\Land god! The Peach Pills! Quick!\Oh, right...\Hurry! Hurry! Hurry! Hurry!\Peach Pills... Peach Pills...\Hurry! Hurry! Hurry! Hurry... Hurr... response:	Peach Pills won't make him better.
context: That's him?\He looks kind of frozen.\Land god! The Peach Pills! Quick!\Oh, right...\Hurry! Hurry! Hurry! Hurry!\Peach Pills... Peach Pills...\Hurry! Hurry! Hurry! Hurry... Hurr...\Peach Pills won't make him better. response:	The crow boss's soul was extracted.
context: He looks kind of frozen.\Land god! The Peach Pills! Quick!\Oh, right...\Hurry! Hurry! Hurry! Hurry!\Peach Pills... Peach Pills...\Hurry! Hurry! Hurry! Hurry... Hurr...\Peach Pills won't make him better.\The crow boss's soul was extracted. response:	I don't think he'll wake up until his soul is restored to his body.
context: Land god! The Peach Pills! Quick!\Oh, right...\Hurry! Hurry! Hurry! Hurry!\Peach Pills... Peach Pills...\Hurry! Hurry! Hurry! Hurry... Hurr...\Peach Pills won't make him better.\The crow boss's soul was extracted.\I don't think he'll wake up until his soul is restored to his body. response:	His soul?
context: Oh, right...\Hurry! Hurry! Hurry! Hurry!\Peach Pills... Peach Pills...\Hurry! Hurry! Hurry! Hurry... Hurr...\Peach Pills won't make him better.\The crow boss's soul was extracted.\I don't think he'll wake up until his soul is restored to his body.\His soul? response:	But who would do such a thing?
context: Hurry! Hurry! Hurry! Hurry!\Peach Pills... Peach Pills...\Hurry! Hurry! Hurry! Hurry... Hurr...\Peach Pills won't make him better.\The crow boss's soul was extracted.\I don't think he'll wake up until his soul is restored to his body.\His soul?\But who would do such a thing? response:	17 years since descending the mountain.
context: Peach Pills... Peach Pills...\Hurry! Hurry! Hurry! Hurry... Hurr...\Peach Pills won't make him better.\The crow boss's soul was extracted.\I don't think he'll wake up until his soul is restored to his body.\His soul?\But who would do such a thing?\17 years since descending the mountain. response:	See how I have grown.
context: Hurry! Hurry! Hurry! Hurry... Hurr...\Peach Pills won't make him better.\The crow boss's soul was extracted.\I don't think he'll wake up until his soul is restored to his body.\His soul?\But who would do such a thing?\17 years since descending the mountain.\See how I have grown. response:	A large black feather...
context: Peach Pills won't make him better.\The crow boss's soul was extracted.\I don't think he'll wake up until his soul is restored to his body.\His soul?\But who would do such a thing?\17 years since descending the mountain.\See how I have grown.\A large black feather... response:	This size...
context: The crow boss's soul was extracted.\I don't think he'll wake up until his soul is restored to his body.\His soul?\But who would do such a thing?\17 years since descending the mountain.\See how I have grown.\A large black feather...\This size... response:	Jirou?!
context: I don't think he'll wake up until his soul is restored to his body.\His soul?\But who would do such a thing?\17 years since descending the mountain.\See how I have grown.\A large black feather...\This size...\Jirou?! response:	My gut was right.
context: His soul?\But who would do such a thing?\17 years since descending the mountain.\See how I have grown.\A large black feather...\This size...\Jirou?!\My gut was right. response:	It is as I thought, Master Jirou.
context: But who would do such a thing?\17 years since descending the mountain.\See how I have grown.\A large black feather...\This size...\Jirou?!\My gut was right.\It is as I thought, Master Jirou. response:	What?
context: 17 years since descending the mountain.\See how I have grown.\A large black feather...\This size...\Jirou?!\My gut was right.\It is as I thought, Master Jirou.\What? response:	For all that you said earlier, you fancy me, do you not?
context: See how I have grown.\A large black feather...\This size...\Jirou?!\My gut was right.\It is as I thought, Master Jirou.\What?\For all that you said earlier, you fancy me, do you not? response:	What?!
context: A large black feather...\This size...\Jirou?!\My gut was right.\It is as I thought, Master Jirou.\What?\For all that you said earlier, you fancy me, do you not?\What?! response:	Women are forbidden, and I am violating that prohibition and yet not a word of condemnation.
context: This size...\Jirou?!\My gut was right.\It is as I thought, Master Jirou.\What?\For all that you said earlier, you fancy me, do you not?\What?!\Women are forbidden, and I am violating that prohibition and yet not a word of condemnation. response:	Don't be ridiculous!
context: Jirou?!\My gut was right.\It is as I thought, Master Jirou.\What?\For all that you said earlier, you fancy me, do you not?\What?!\Women are forbidden, and I am violating that prohibition and yet not a word of condemnation.\Don't be ridiculous! response:	What about you would I even fancy?!
context: My gut was right.\It is as I thought, Master Jirou.\What?\For all that you said earlier, you fancy me, do you not?\What?!\Women are forbidden, and I am violating that prohibition and yet not a word of condemnation.\Don't be ridiculous!\What about you would I even fancy?! response:	Ah... This man is infuriating.
context: It is as I thought, Master Jirou.\What?\For all that you said earlier, you fancy me, do you not?\What?!\Women are forbidden, and I am violating that prohibition and yet not a word of condemnation.\Don't be ridiculous!\What about you would I even fancy?!\Ah... This man is infuriating. response:	As if I, Jirou, would be led astray by some woman!
context: What?\For all that you said earlier, you fancy me, do you not?\What?!\Women are forbidden, and I am violating that prohibition and yet not a word of condemnation.\Don't be ridiculous!\What about you would I even fancy?!\Ah... This man is infuriating.\As if I, Jirou, would be led astray by some woman! response:	Then why not look me in the eye and condemn me more harshly?
context: For all that you said earlier, you fancy me, do you not?\What?!\Women are forbidden, and I am violating that prohibition and yet not a word of condemnation.\Don't be ridiculous!\What about you would I even fancy?!\Ah... This man is infuriating.\As if I, Jirou, would be led astray by some woman!\Then why not look me in the eye and condemn me more harshly? response:	When you saw that slip of a girl and saw a celestial nymph,
context: What?!\Women are forbidden, and I am violating that prohibition and yet not a word of condemnation.\Don't be ridiculous!\What about you would I even fancy?!\Ah... This man is infuriating.\As if I, Jirou, would be led astray by some woman!\Then why not look me in the eye and condemn me more harshly?\When you saw that slip of a girl and saw a celestial nymph, response:	that was already checkmate for you.
context: Women are forbidden, and I am violating that prohibition and yet not a word of condemnation.\Don't be ridiculous!\What about you would I even fancy?!\Ah... This man is infuriating.\As if I, Jirou, would be led astray by some woman!\Then why not look me in the eye and condemn me more harshly?\When you saw that slip of a girl and saw a celestial nymph,\that was already checkmate for you. response:	That's ridiculous...
context: Don't be ridiculous!\What about you would I even fancy?!\Ah... This man is infuriating.\As if I, Jirou, would be led astray by some woman!\Then why not look me in the eye and condemn me more harshly?\When you saw that slip of a girl and saw a celestial nymph,\that was already checkmate for you.\That's ridiculous... response:	Why would I...
context: What about you would I even fancy?!\Ah... This man is infuriating.\As if I, Jirou, would be led astray by some woman!\Then why not look me in the eye and condemn me more harshly?\When you saw that slip of a girl and saw a celestial nymph,\that was already checkmate for you.\That's ridiculous...\Why would I... response:	Why, you! Are you trying to dupe me while I'm drunk?!
context: Ah... This man is infuriating.\As if I, Jirou, would be led astray by some woman!\Then why not look me in the eye and condemn me more harshly?\When you saw that slip of a girl and saw a celestial nymph,\that was already checkmate for you.\That's ridiculous...\Why would I...\Why, you! Are you trying to dupe me while I'm drunk?! response:	Dammit! You are disgraceful!
context: As if I, Jirou, would be led astray by some woman!\Then why not look me in the eye and condemn me more harshly?\When you saw that slip of a girl and saw a celestial nymph,\that was already checkmate for you.\That's ridiculous...\Why would I...\Why, you! Are you trying to dupe me while I'm drunk?!\Dammit! You are disgraceful! response:	If you're such a tough guy,
context: Then why not look me in the eye and condemn me more harshly?\When you saw that slip of a girl and saw a celestial nymph,\that was already checkmate for you.\That's ridiculous...\Why would I...\Why, you! Are you trying to dupe me while I'm drunk?!\Dammit! You are disgraceful!\If you're such a tough guy, response:	why don't you man up and confess your true feelings to Nanami?
context: When you saw that slip of a girl and saw a celestial nymph,\that was already checkmate for you.\That's ridiculous...\Why would I...\Why, you! Are you trying to dupe me while I'm drunk?!\Dammit! You are disgraceful!\If you're such a tough guy,\why don't you man up and confess your true feelings to Nanami? response:	Watching you...
context: that was already checkmate for you.\That's ridiculous...\Why would I...\Why, you! Are you trying to dupe me while I'm drunk?!\Dammit! You are disgraceful!\If you're such a tough guy,\why don't you man up and confess your true feelings to Nanami?\Watching you... response:	is like looking in a mirror, and it infuriates me.
context: That's ridiculous...\Why would I...\Why, you! Are you trying to dupe me while I'm drunk?!\Dammit! You are disgraceful!\If you're such a tough guy,\why don't you man up and confess your true feelings to Nanami?\Watching you...\is like looking in a mirror, and it infuriates me. response:	Nanami...
context: Why would I...\Why, you! Are you trying to dupe me while I'm drunk?!\Dammit! You are disgraceful!\If you're such a tough guy,\why don't you man up and confess your true feelings to Nanami?\Watching you...\is like looking in a mirror, and it infuriates me.\Nanami... response:	So that is the girl's name.
context: Why, you! Are you trying to dupe me while I'm drunk?!\Dammit! You are disgraceful!\If you're such a tough guy,\why don't you man up and confess your true feelings to Nanami?\Watching you...\is like looking in a mirror, and it infuriates me.\Nanami...\So that is the girl's name. response:	Master Jirou.
context: Dammit! You are disgraceful!\If you're such a tough guy,\why don't you man up and confess your true feelings to Nanami?\Watching you...\is like looking in a mirror, and it infuriates me.\Nanami...\So that is the girl's name.\Master Jirou. response:	What in the world are you doing?
context: If you're such a tough guy,\why don't you man up and confess your true feelings to Nanami?\Watching you...\is like looking in a mirror, and it infuriates me.\Nanami...\So that is the girl's name.\Master Jirou.\What in the world are you doing? response:	Your protective barrier has been compromised.
context: why don't you man up and confess your true feelings to Nanami?\Watching you...\is like looking in a mirror, and it infuriates me.\Nanami...\So that is the girl's name.\Master Jirou.\What in the world are you doing?\Your protective barrier has been compromised. response:	Yatori!
context: Watching you...\is like looking in a mirror, and it infuriates me.\Nanami...\So that is the girl's name.\Master Jirou.\What in the world are you doing?\Your protective barrier has been compromised.\Yatori! response:	This is why I warned you.
context: is like looking in a mirror, and it infuriates me.\Nanami...\So that is the girl's name.\Master Jirou.\What in the world are you doing?\Your protective barrier has been compromised.\Yatori!\This is why I warned you. response:	And sure enough, a couple rats had snuck their way in.
context: Nanami...\So that is the girl's name.\Master Jirou.\What in the world are you doing?\Your protective barrier has been compromised.\Yatori!\This is why I warned you.\And sure enough, a couple rats had snuck their way in. response:	Two crows and one monkey.
context: So that is the girl's name.\Master Jirou.\What in the world are you doing?\Your protective barrier has been compromised.\Yatori!\This is why I warned you.\And sure enough, a couple rats had snuck their way in.\Two crows and one monkey. response:	They seemed pretty shady to me.
context: Master Jirou.\What in the world are you doing?\Your protective barrier has been compromised.\Yatori!\This is why I warned you.\And sure enough, a couple rats had snuck their way in.\Two crows and one monkey.\They seemed pretty shady to me. response:	I locked them up in the basement for now, though.
context: What in the world are you doing?\Your protective barrier has been compromised.\Yatori!\This is why I warned you.\And sure enough, a couple rats had snuck their way in.\Two crows and one monkey.\They seemed pretty shady to me.\I locked them up in the basement for now, though. response:	If we work them over a little, I bet they'll spill the beans that they're co-conspirators.
context: Your protective barrier has been compromised.\Yatori!\This is why I warned you.\And sure enough, a couple rats had snuck their way in.\Two crows and one monkey.\They seemed pretty shady to me.\I locked them up in the basement for now, though.\If we work them over a little, I bet they'll spill the beans that they're co-conspirators. response:	Stop, Tomoe!
context: Yatori!\This is why I warned you.\And sure enough, a couple rats had snuck their way in.\Two crows and one monkey.\They seemed pretty shady to me.\I locked them up in the basement for now, though.\If we work them over a little, I bet they'll spill the beans that they're co-conspirators.\Stop, Tomoe! response:	I beg your pardon, but I really don't have the slightest idea of what you might be accusing us of.
context: This is why I warned you.\And sure enough, a couple rats had snuck their way in.\Two crows and one monkey.\They seemed pretty shady to me.\I locked them up in the basement for now, though.\If we work them over a little, I bet they'll spill the beans that they're co-conspirators.\Stop, Tomoe!\I beg your pardon, but I really don't have the slightest idea of what you might be accusing us of. response:	For my familiar's misconduct,
context: And sure enough, a couple rats had snuck their way in.\Two crows and one monkey.\They seemed pretty shady to me.\I locked them up in the basement for now, though.\If we work them over a little, I bet they'll spill the beans that they're co-conspirators.\Stop, Tomoe!\I beg your pardon, but I really don't have the slightest idea of what you might be accusing us of.\For my familiar's misconduct, response:	I offer you my sincere apologies.
context: Two crows and one monkey.\They seemed pretty shady to me.\I locked them up in the basement for now, though.\If we work them over a little, I bet they'll spill the beans that they're co-conspirators.\Stop, Tomoe!\I beg your pardon, but I really don't have the slightest idea of what you might be accusing us of.\For my familiar's misconduct,\I offer you my sincere apologies. response:	After all, he was once a lowly wild fox, so he doesn't know any better.
context: They seemed pretty shady to me.\I locked them up in the basement for now, though.\If we work them over a little, I bet they'll spill the beans that they're co-conspirators.\Stop, Tomoe!\I beg your pardon, but I really don't have the slightest idea of what you might be accusing us of.\For my familiar's misconduct,\I offer you my sincere apologies.\After all, he was once a lowly wild fox, so he doesn't know any better. response:	If you see fit to punish him, you have my permission.
context: I locked them up in the basement for now, though.\If we work them over a little, I bet they'll spill the beans that they're co-conspirators.\Stop, Tomoe!\I beg your pardon, but I really don't have the slightest idea of what you might be accusing us of.\For my familiar's misconduct,\I offer you my sincere apologies.\After all, he was once a lowly wild fox, so he doesn't know any better.\If you see fit to punish him, you have my permission. response:	Beat him, torture him, it matters not. You can do whatever you please.
context: If we work them over a little, I bet they'll spill the beans that they're co-conspirators.\Stop, Tomoe!\I beg your pardon, but I really don't have the slightest idea of what you might be accusing us of.\For my familiar's misconduct,\I offer you my sincere apologies.\After all, he was once a lowly wild fox, so he doesn't know any better.\If you see fit to punish him, you have my permission.\Beat him, torture him, it matters not. You can do whatever you please. response:	Wait!
context: Stop, Tomoe!\I beg your pardon, but I really don't have the slightest idea of what you might be accusing us of.\For my familiar's misconduct,\I offer you my sincere apologies.\After all, he was once a lowly wild fox, so he doesn't know any better.\If you see fit to punish him, you have my permission.\Beat him, torture him, it matters not. You can do whatever you please.\Wait! response:	You damn idiot! Stinking fox!
context: I beg your pardon, but I really don't have the slightest idea of what you might be accusing us of.\For my familiar's misconduct,\I offer you my sincere apologies.\After all, he was once a lowly wild fox, so he doesn't know any better.\If you see fit to punish him, you have my permission.\Beat him, torture him, it matters not. You can do whatever you please.\Wait!\You damn idiot! Stinking fox! response:	Argh
context: For my familiar's misconduct,\I offer you my sincere apologies.\After all, he was once a lowly wild fox, so he doesn't know any better.\If you see fit to punish him, you have my permission.\Beat him, torture him, it matters not. You can do whatever you please.\Wait!\You damn idiot! Stinking fox!\Argh response:	Argh
context: I offer you my sincere apologies.\After all, he was once a lowly wild fox, so he doesn't know any better.\If you see fit to punish him, you have my permission.\Beat him, torture him, it matters not. You can do whatever you please.\Wait!\You damn idiot! Stinking fox!\Argh\Argh response:	Argh
context: After all, he was once a lowly wild fox, so he doesn't know any better.\If you see fit to punish him, you have my permission.\Beat him, torture him, it matters not. You can do whatever you please.\Wait!\You damn idiot! Stinking fox!\Argh\Argh\Argh response:	Argh
context: If you see fit to punish him, you have my permission.\Beat him, torture him, it matters not. You can do whatever you please.\Wait!\You damn idiot! Stinking fox!\Argh\Argh\Argh\Argh response:	Argh
context: Beat him, torture him, it matters not. You can do whatever you please.\Wait!\You damn idiot! Stinking fox!\Argh\Argh\Argh\Argh\Argh response:	Argh
context: Wait!\You damn idiot! Stinking fox!\Argh\Argh\Argh\Argh\Argh\Argh response:	Argh
context: You damn idiot! Stinking fox!\Argh\Argh\Argh\Argh\Argh\Argh\Argh response:	Argh
context: Argh\Argh\Argh\Argh\Argh\Argh\Argh\Argh response:	Argh
context: Argh\Argh\Argh\Argh\Argh\Argh\Argh\Argh response:	Argh
context: Argh\Argh\Argh\Argh\Argh\Argh\Argh\Argh response:	Argh
context: Argh\Argh\Argh\Argh\Argh\Argh\Argh\Argh response:	Argh
context: Argh\Argh\Argh\Argh\Argh\Argh\Argh\Argh response:	Argh
context: Argh\Argh\Argh\Argh\Argh\Argh\Argh\Argh response:	Argh
context: Argh\Argh\Argh\Argh\Argh\Argh\Argh\Argh response:	Argh
context: Argh\Argh\Argh\Argh\Argh\Argh\Argh\Argh response:	Argh
context: Argh\Argh\Argh\Argh\Argh\Argh\Argh\Argh response:	Argh
context: Argh\Argh\Argh\Argh\Argh\Argh\Argh\Argh response:	Argh
context: Argh\Argh\Argh\Argh\Argh\Argh\Argh\Argh response:	We got captured, thanks to you!
context: Argh\Argh\Argh\Argh\Argh\Argh\Argh\We got captured, thanks to you! response:	What kind of goof was that, you nincompoop?!
context: Argh\Argh\Argh\Argh\Argh\Argh\We got captured, thanks to you!\What kind of goof was that, you nincompoop?! response:	If you had not stopped me,
context: Argh\Argh\Argh\Argh\Argh\We got captured, thanks to you!\What kind of goof was that, you nincompoop?!\If you had not stopped me, response:	Grr
context: Argh\Argh\Argh\Argh\We got captured, thanks to you!\What kind of goof was that, you nincompoop?!\If you had not stopped me,\Grr response:	Grr
context: Argh\Argh\Argh\We got captured, thanks to you!\What kind of goof was that, you nincompoop?!\If you had not stopped me,\Grr\Grr response:	Grr
context: Argh\Argh\We got captured, thanks to you!\What kind of goof was that, you nincompoop?!\If you had not stopped me,\Grr\Grr\Grr response:	Guard
context: Argh\We got captured, thanks to you!\What kind of goof was that, you nincompoop?!\If you had not stopped me,\Grr\Grr\Grr\Guard response:	Guard
context: We got captured, thanks to you!\What kind of goof was that, you nincompoop?!\If you had not stopped me,\Grr\Grr\Grr\Guard\Guard response:	I would have beat that bear-man to a pulp, and that would have been that!
context: What kind of goof was that, you nincompoop?!\If you had not stopped me,\Grr\Grr\Grr\Guard\Guard\I would have beat that bear-man to a pulp, and that would have been that! response:	Beating people to a pulp isn't part of the plan! How many times do I have to tell you, you moron?!
context: If you had not stopped me,\Grr\Grr\Grr\Guard\Guard\I would have beat that bear-man to a pulp, and that would have been that!\Beating people to a pulp isn't part of the plan! How many times do I have to tell you, you moron?! response:	If Nanami has been caught, that changes the plan!
context: Grr\Grr\Grr\Guard\Guard\I would have beat that bear-man to a pulp, and that would have been that!\Beating people to a pulp isn't part of the plan! How many times do I have to tell you, you moron?!\If Nanami has been caught, that changes the plan! response:	At any rate, I am going to Nanami.
