context: Would you go to Europe together with me? response:	Why do I have to study to the point of doing all those things?
context: Of course, because it's my favorite piece!\Passionate, lively, dynamic!\I think it's a piece that suits Kiyora's violin extremely well.\It's a piece that fits our last performance!\Let's surely make it a success!\Yes.\Yes\I'll do my very best! response:	Yes
context: Passionate, lively, dynamic!\I think it's a piece that suits Kiyora's violin extremely well.\It's a piece that fits our last performance!\Let's surely make it a success!\Yes.\Yes\I'll do my very best!\Yes response:	Then someday..
context: I think it's a piece that suits Kiyora's violin extremely well.\It's a piece that fits our last performance!\Let's surely make it a success!\Yes.\Yes\I'll do my very best!\Yes\Then someday.. response:	when you return to Japan,
context: It's a piece that fits our last performance!\Let's surely make it a success!\Yes.\Yes\I'll do my very best!\Yes\Then someday..\when you return to Japan, response:	at that time,
context: Let's surely make it a success!\Yes.\Yes\I'll do my very best!\Yes\Then someday..\when you return to Japan,\at that time, response:	I'll compete with you for the Concert Master!!
context: Yes.\Yes\I'll do my very best!\Yes\Then someday..\when you return to Japan,\at that time,\I'll compete with you for the Concert Master!! response:	Be prepared!
context: Yes\I'll do my very best!\Yes\Then someday..\when you return to Japan,\at that time,\I'll compete with you for the Concert Master!!\Be prepared! response:	Yes!
context: I'll do my very best!\Yes\Then someday..\when you return to Japan,\at that time,\I'll compete with you for the Concert Master!!\Be prepared!\Yes! response:	Ah, Senpai! Grandma said breakfast was ready.
context: Yes\Then someday..\when you return to Japan,\at that time,\I'll compete with you for the Concert Master!!\Be prepared!\Yes!\Ah, Senpai! Grandma said breakfast was ready. response:	OK..
context: Then someday..\when you return to Japan,\at that time,\I'll compete with you for the Concert Master!!\Be prepared!\Yes!\Ah, Senpai! Grandma said breakfast was ready.\OK.. response:	Why did you enter Nodame's room by yourself? It's embarrassing, isn't it?
context: when you return to Japan,\at that time,\I'll compete with you for the Concert Master!!\Be prepared!\Yes!\Ah, Senpai! Grandma said breakfast was ready.\OK..\Why did you enter Nodame's room by yourself? It's embarrassing, isn't it? response:	Ack, Senpai, which country are you going to go? ?
context: at that time,\I'll compete with you for the Concert Master!!\Be prepared!\Yes!\Ah, Senpai! Grandma said breakfast was ready.\OK..\Why did you enter Nodame's room by yourself? It's embarrassing, isn't it?\Ack, Senpai, which country are you going to go? ? response:	Ack, Senpai, which country are you going to go?
context: I'll compete with you for the Concert Master!!\Be prepared!\Yes!\Ah, Senpai! Grandma said breakfast was ready.\OK..\Why did you enter Nodame's room by yourself? It's embarrassing, isn't it?\Ack, Senpai, which country are you going to go? ?\Ack, Senpai, which country are you going to go? response:	Prague.
context: Be prepared!\Yes!\Ah, Senpai! Grandma said breakfast was ready.\OK..\Why did you enter Nodame's room by yourself? It's embarrassing, isn't it?\Ack, Senpai, which country are you going to go? ?\Ack, Senpai, which country are you going to go?\Prague. response:	We have a house there in which we used to live in the past.
context: Yes!\Ah, Senpai! Grandma said breakfast was ready.\OK..\Why did you enter Nodame's room by yourself? It's embarrassing, isn't it?\Ack, Senpai, which country are you going to go? ?\Ack, Senpai, which country are you going to go?\Prague.\We have a house there in which we used to live in the past. response:	Actually, I was thinking either Prague or Paris,
context: Ah, Senpai! Grandma said breakfast was ready.\OK..\Why did you enter Nodame's room by yourself? It's embarrassing, isn't it?\Ack, Senpai, which country are you going to go? ?\Ack, Senpai, which country are you going to go?\Prague.\We have a house there in which we used to live in the past.\Actually, I was thinking either Prague or Paris, response:	either one of them.
context: OK..\Why did you enter Nodame's room by yourself? It's embarrassing, isn't it?\Ack, Senpai, which country are you going to go? ?\Ack, Senpai, which country are you going to go?\Prague.\We have a house there in which we used to live in the past.\Actually, I was thinking either Prague or Paris,\either one of them. response:	Because I didn't know that you were going to go to Paris...
context: Why did you enter Nodame's room by yourself? It's embarrassing, isn't it?\Ack, Senpai, which country are you going to go? ?\Ack, Senpai, which country are you going to go?\Prague.\We have a house there in which we used to live in the past.\Actually, I was thinking either Prague or Paris,\either one of them.\Because I didn't know that you were going to go to Paris... response:	Is Prague near to Paris?
context: Ack, Senpai, which country are you going to go? ?\Ack, Senpai, which country are you going to go?\Prague.\We have a house there in which we used to live in the past.\Actually, I was thinking either Prague or Paris,\either one of them.\Because I didn't know that you were going to go to Paris...\Is Prague near to Paris? response:	Huh?
context: Ack, Senpai, which country are you going to go?\Prague.\We have a house there in which we used to live in the past.\Actually, I was thinking either Prague or Paris,\either one of them.\Because I didn't know that you were going to go to Paris...\Is Prague near to Paris?\Huh? response:	Is it a distance I can go to your place to eat after school is over?
context: Prague.\We have a house there in which we used to live in the past.\Actually, I was thinking either Prague or Paris,\either one of them.\Because I didn't know that you were going to go to Paris...\Is Prague near to Paris?\Huh?\Is it a distance I can go to your place to eat after school is over? response:	To eat???
context: We have a house there in which we used to live in the past.\Actually, I was thinking either Prague or Paris,\either one of them.\Because I didn't know that you were going to go to Paris...\Is Prague near to Paris?\Huh?\Is it a distance I can go to your place to eat after school is over?\To eat??? response:	It's out of the question!
context: Actually, I was thinking either Prague or Paris,\either one of them.\Because I didn't know that you were going to go to Paris...\Is Prague near to Paris?\Huh?\Is it a distance I can go to your place to eat after school is over?\To eat???\It's out of the question! response:	If it's Japan, it's like from Tokyo to Saga, you know!
context: either one of them.\Because I didn't know that you were going to go to Paris...\Is Prague near to Paris?\Huh?\Is it a distance I can go to your place to eat after school is over?\To eat???\It's out of the question!\If it's Japan, it's like from Tokyo to Saga, you know! response:	How long do you think it will take by train??
context: Because I didn't know that you were going to go to Paris...\Is Prague near to Paris?\Huh?\Is it a distance I can go to your place to eat after school is over?\To eat???\It's out of the question!\If it's Japan, it's like from Tokyo to Saga, you know!\How long do you think it will take by train?? response:	Well, then what about making it halfway between Tokyo and Saga...
context: Is Prague near to Paris?\Huh?\Is it a distance I can go to your place to eat after school is over?\To eat???\It's out of the question!\If it's Japan, it's like from Tokyo to Saga, you know!\How long do you think it will take by train??\Well, then what about making it halfway between Tokyo and Saga... response:	and the two of us living in Osaka?
context: Huh?\Is it a distance I can go to your place to eat after school is over?\To eat???\It's out of the question!\If it's Japan, it's like from Tokyo to Saga, you know!\How long do you think it will take by train??\Well, then what about making it halfway between Tokyo and Saga...\and the two of us living in Osaka? response:	What are you thinking about?
context: Is it a distance I can go to your place to eat after school is over?\To eat???\It's out of the question!\If it's Japan, it's like from Tokyo to Saga, you know!\How long do you think it will take by train??\Well, then what about making it halfway between Tokyo and Saga...\and the two of us living in Osaka?\What are you thinking about? response:	As I thought, let's plan the path for the two of us to live together!
context: To eat???\It's out of the question!\If it's Japan, it's like from Tokyo to Saga, you know!\How long do you think it will take by train??\Well, then what about making it halfway between Tokyo and Saga...\and the two of us living in Osaka?\What are you thinking about?\As I thought, let's plan the path for the two of us to live together! response:	Because it's from now on that we'll pass the happy time together...
context: It's out of the question!\If it's Japan, it's like from Tokyo to Saga, you know!\How long do you think it will take by train??\Well, then what about making it halfway between Tokyo and Saga...\and the two of us living in Osaka?\What are you thinking about?\As I thought, let's plan the path for the two of us to live together!\Because it's from now on that we'll pass the happy time together... response:	Not good, not good!!
context: If it's Japan, it's like from Tokyo to Saga, you know!\How long do you think it will take by train??\Well, then what about making it halfway between Tokyo and Saga...\and the two of us living in Osaka?\What are you thinking about?\As I thought, let's plan the path for the two of us to live together!\Because it's from now on that we'll pass the happy time together...\Not good, not good!! response:	In any case you'll soon miss me, you know!
context: How long do you think it will take by train??\Well, then what about making it halfway between Tokyo and Saga...\and the two of us living in Osaka?\What are you thinking about?\As I thought, let's plan the path for the two of us to live together!\Because it's from now on that we'll pass the happy time together...\Not good, not good!!\In any case you'll soon miss me, you know! response:	Moreover when we were apart, we already nurtured our love quite enough...
context: Well, then what about making it halfway between Tokyo and Saga...\and the two of us living in Osaka?\What are you thinking about?\As I thought, let's plan the path for the two of us to live together!\Because it's from now on that we'll pass the happy time together...\Not good, not good!!\In any case you'll soon miss me, you know!\Moreover when we were apart, we already nurtured our love quite enough... response:	I didn't nurture anything!
context: and the two of us living in Osaka?\What are you thinking about?\As I thought, let's plan the path for the two of us to live together!\Because it's from now on that we'll pass the happy time together...\Not good, not good!!\In any case you'll soon miss me, you know!\Moreover when we were apart, we already nurtured our love quite enough...\I didn't nurture anything! response:	Then why did Senpai come here??
context: What are you thinking about?\As I thought, let's plan the path for the two of us to live together!\Because it's from now on that we'll pass the happy time together...\Not good, not good!!\In any case you'll soon miss me, you know!\Moreover when we were apart, we already nurtured our love quite enough...\I didn't nurture anything!\Then why did Senpai come here?? response:	To cheer for Fukuoka Daiei Hawks... (ex-baseball team from Fukuoka)
context: As I thought, let's plan the path for the two of us to live together!\Because it's from now on that we'll pass the happy time together...\Not good, not good!!\In any case you'll soon miss me, you know!\Moreover when we were apart, we already nurtured our love quite enough...\I didn't nurture anything!\Then why did Senpai come here??\To cheer for Fukuoka Daiei Hawks... (ex-baseball team from Fukuoka) response:	Mukyaa! It's Softbank Hawks now!
context: Because it's from now on that we'll pass the happy time together...\Not good, not good!!\In any case you'll soon miss me, you know!\Moreover when we were apart, we already nurtured our love quite enough...\I didn't nurture anything!\Then why did Senpai come here??\To cheer for Fukuoka Daiei Hawks... (ex-baseball team from Fukuoka)\Mukyaa! It's Softbank Hawks now! response:	Moreover, they are not having any match anymore!
context: Not good, not good!!\In any case you'll soon miss me, you know!\Moreover when we were apart, we already nurtured our love quite enough...\I didn't nurture anything!\Then why did Senpai come here??\To cheer for Fukuoka Daiei Hawks... (ex-baseball team from Fukuoka)\Mukyaa! It's Softbank Hawks now!\Moreover, they are not having any match anymore! response:	Then...to cheer for (Softbank) Camp!
context: In any case you'll soon miss me, you know!\Moreover when we were apart, we already nurtured our love quite enough...\I didn't nurture anything!\Then why did Senpai come here??\To cheer for Fukuoka Daiei Hawks... (ex-baseball team from Fukuoka)\Mukyaa! It's Softbank Hawks now!\Moreover, they are not having any match anymore!\Then...to cheer for (Softbank) Camp! response:	No Camp right now!
context: Moreover when we were apart, we already nurtured our love quite enough...\I didn't nurture anything!\Then why did Senpai come here??\To cheer for Fukuoka Daiei Hawks... (ex-baseball team from Fukuoka)\Mukyaa! It's Softbank Hawks now!\Moreover, they are not having any match anymore!\Then...to cheer for (Softbank) Camp!\No Camp right now! response:	You..
context: I didn't nurture anything!\Then why did Senpai come here??\To cheer for Fukuoka Daiei Hawks... (ex-baseball team from Fukuoka)\Mukyaa! It's Softbank Hawks now!\Moreover, they are not having any match anymore!\Then...to cheer for (Softbank) Camp!\No Camp right now!\You.. response:	Rather than that, piano!
context: Then why did Senpai come here??\To cheer for Fukuoka Daiei Hawks... (ex-baseball team from Fukuoka)\Mukyaa! It's Softbank Hawks now!\Moreover, they are not having any match anymore!\Then...to cheer for (Softbank) Camp!\No Camp right now!\You..\Rather than that, piano! response:	Eh?
context: To cheer for Fukuoka Daiei Hawks... (ex-baseball team from Fukuoka)\Mukyaa! It's Softbank Hawks now!\Moreover, they are not having any match anymore!\Then...to cheer for (Softbank) Camp!\No Camp right now!\You..\Rather than that, piano!\Eh? response:	Did you really practice well?
context: Mukyaa! It's Softbank Hawks now!\Moreover, they are not having any match anymore!\Then...to cheer for (Softbank) Camp!\No Camp right now!\You..\Rather than that, piano!\Eh?\Did you really practice well? response:	If you don't pass the exam, you can't go anywhere, you know!
context: Moreover, they are not having any match anymore!\Then...to cheer for (Softbank) Camp!\No Camp right now!\You..\Rather than that, piano!\Eh?\Did you really practice well?\If you don't pass the exam, you can't go anywhere, you know! response:	I know...I have to take the exam..
context: Then...to cheer for (Softbank) Camp!\No Camp right now!\You..\Rather than that, piano!\Eh?\Did you really practice well?\If you don't pass the exam, you can't go anywhere, you know!\I know...I have to take the exam.. response:	Then play a little now!
context: No Camp right now!\You..\Rather than that, piano!\Eh?\Did you really practice well?\If you don't pass the exam, you can't go anywhere, you know!\I know...I have to take the exam..\Then play a little now! response:	Play the piece for that previous Competition!
context: You..\Rather than that, piano!\Eh?\Did you really practice well?\If you don't pass the exam, you can't go anywhere, you know!\I know...I have to take the exam..\Then play a little now!\Play the piece for that previous Competition! response:	Well...okay, Chopin's Etudes.
context: Rather than that, piano!\Eh?\Did you really practice well?\If you don't pass the exam, you can't go anywhere, you know!\I know...I have to take the exam..\Then play a little now!\Play the piece for that previous Competition!\Well...okay, Chopin's Etudes. response:	You! Your fingers are not moving properly!
context: Eh?\Did you really practice well?\If you don't pass the exam, you can't go anywhere, you know!\I know...I have to take the exam..\Then play a little now!\Play the piece for that previous Competition!\Well...okay, Chopin's Etudes.\You! Your fingers are not moving properly! response:	Eh, strange...
context: Did you really practice well?\If you don't pass the exam, you can't go anywhere, you know!\I know...I have to take the exam..\Then play a little now!\Play the piece for that previous Competition!\Well...okay, Chopin's Etudes.\You! Your fingers are not moving properly!\Eh, strange... response:	I could play Schubert well last time...
context: If you don't pass the exam, you can't go anywhere, you know!\I know...I have to take the exam..\Then play a little now!\Play the piece for that previous Competition!\Well...okay, Chopin's Etudes.\You! Your fingers are not moving properly!\Eh, strange...\I could play Schubert well last time... response:	They are as if not my own hands...
context: I know...I have to take the exam..\Then play a little now!\Play the piece for that previous Competition!\Well...okay, Chopin's Etudes.\You! Your fingers are not moving properly!\Eh, strange...\I could play Schubert well last time...\They are as if not my own hands... response:	Ack, game callus!
context: Then play a little now!\Play the piece for that previous Competition!\Well...okay, Chopin's Etudes.\You! Your fingers are not moving properly!\Eh, strange...\I could play Schubert well last time...\They are as if not my own hands...\Ack, game callus! response:	You're completely lazing around, aren't you?!
context: Play the piece for that previous Competition!\Well...okay, Chopin's Etudes.\You! Your fingers are not moving properly!\Eh, strange...\I could play Schubert well last time...\They are as if not my own hands...\Ack, game callus!\You're completely lazing around, aren't you?! response:	Gyabo!!
context: Well...okay, Chopin's Etudes.\You! Your fingers are not moving properly!\Eh, strange...\I could play Schubert well last time...\They are as if not my own hands...\Ack, game callus!\You're completely lazing around, aren't you?!\Gyabo!! response:	Let's go home!
context: You! Your fingers are not moving properly!\Eh, strange...\I could play Schubert well last time...\They are as if not my own hands...\Ack, game callus!\You're completely lazing around, aren't you?!\Gyabo!!\Let's go home! response:	Mukyaa!!
context: Eh, strange...\I could play Schubert well last time...\They are as if not my own hands...\Ack, game callus!\You're completely lazing around, aren't you?!\Gyabo!!\Let's go home!\Mukyaa!! response:	Back to Tokyo and have crash training!
context: I could play Schubert well last time...\They are as if not my own hands...\Ack, game callus!\You're completely lazing around, aren't you?!\Gyabo!!\Let's go home!\Mukyaa!!\Back to Tokyo and have crash training! response:	This is really no good!
context: They are as if not my own hands...\Ack, game callus!\You're completely lazing around, aren't you?!\Gyabo!!\Let's go home!\Mukyaa!!\Back to Tokyo and have crash training!\This is really no good! response:	A person who played the piano everyday for long hours..
context: Ack, game callus!\You're completely lazing around, aren't you?!\Gyabo!!\Let's go home!\Mukyaa!!\Back to Tokyo and have crash training!\This is really no good!\A person who played the piano everyday for long hours.. response:	hasn't played anymore for days since that Competition...
context: You're completely lazing around, aren't you?!\Gyabo!!\Let's go home!\Mukyaa!!\Back to Tokyo and have crash training!\This is really no good!\A person who played the piano everyday for long hours..\hasn't played anymore for days since that Competition... response:	Where are you going?
context: Gyabo!!\Let's go home!\Mukyaa!!\Back to Tokyo and have crash training!\This is really no good!\A person who played the piano everyday for long hours..\hasn't played anymore for days since that Competition...\Where are you going? response:	Ah, seabream??!
context: Let's go home!\Mukyaa!!\Back to Tokyo and have crash training!\This is really no good!\A person who played the piano everyday for long hours..\hasn't played anymore for days since that Competition...\Where are you going?\Ah, seabream??! response:	Otsukare!
context: Mukyaa!!\Back to Tokyo and have crash training!\This is really no good!\A person who played the piano everyday for long hours..\hasn't played anymore for days since that Competition...\Where are you going?\Ah, seabream??!\Otsukare! response:	It's big, isn't it?
context: Back to Tokyo and have crash training!\This is really no good!\A person who played the piano everyday for long hours..\hasn't played anymore for days since that Competition...\Where are you going?\Ah, seabream??!\Otsukare!\It's big, isn't it? response:	(seabream is for celebration)
context: This is really no good!\A person who played the piano everyday for long hours..\hasn't played anymore for days since that Competition...\Where are you going?\Ah, seabream??!\Otsukare!\It's big, isn't it?\(seabream is for celebration) response:	Why, even when there's no time left for the exam!
context: A person who played the piano everyday for long hours..\hasn't played anymore for days since that Competition...\Where are you going?\Ah, seabream??!\Otsukare!\It's big, isn't it?\(seabream is for celebration)\Why, even when there's no time left for the exam! response:	Well, don't hurry to go back!
context: hasn't played anymore for days since that Competition...\Where are you going?\Ah, seabream??!\Otsukare!\It's big, isn't it?\(seabream is for celebration)\Why, even when there's no time left for the exam!\Well, don't hurry to go back! response:	I'll show you around in Okawa!
context: Where are you going?\Ah, seabream??!\Otsukare!\It's big, isn't it?\(seabream is for celebration)\Why, even when there's no time left for the exam!\Well, don't hurry to go back!\I'll show you around in Okawa! response:	No, it's OK, Okawa the best furniture maker in Japan
context: Ah, seabream??!\Otsukare!\It's big, isn't it?\(seabream is for celebration)\Why, even when there's no time left for the exam!\Well, don't hurry to go back!\I'll show you around in Okawa!\No, it's OK, Okawa the best furniture maker in Japan response:	your daughter is in critical condition. Okawa Furniture Hall
context: Otsukare!\It's big, isn't it?\(seabream is for celebration)\Why, even when there's no time left for the exam!\Well, don't hurry to go back!\I'll show you around in Okawa!\No, it's OK, Okawa the best furniture maker in Japan\your daughter is in critical condition. Okawa Furniture Hall response:	Then just one place! Koga Masao Memorial Hall
context: It's big, isn't it?\(seabream is for celebration)\Why, even when there's no time left for the exam!\Well, don't hurry to go back!\I'll show you around in Okawa!\No, it's OK, Okawa the best furniture maker in Japan\your daughter is in critical condition. Okawa Furniture Hall\Then just one place! Koga Masao Memorial Hall response:	Ack, Beethoven! (Karaoke Pub Beethoven)
context: (seabream is for celebration)\Why, even when there's no time left for the exam!\Well, don't hurry to go back!\I'll show you around in Okawa!\No, it's OK, Okawa the best furniture maker in Japan\your daughter is in critical condition. Okawa Furniture Hall\Then just one place! Koga Masao Memorial Hall\Ack, Beethoven! (Karaoke Pub Beethoven) response:	Waaah...mud land! It's the first time I came here!
context: Why, even when there's no time left for the exam!\Well, don't hurry to go back!\I'll show you around in Okawa!\No, it's OK, Okawa the best furniture maker in Japan\your daughter is in critical condition. Okawa Furniture Hall\Then just one place! Koga Masao Memorial Hall\Ack, Beethoven! (Karaoke Pub Beethoven)\Waaah...mud land! It's the first time I came here! response:	I wonder if there are mudskippers?
context: Well, don't hurry to go back!\I'll show you around in Okawa!\No, it's OK, Okawa the best furniture maker in Japan\your daughter is in critical condition. Okawa Furniture Hall\Then just one place! Koga Masao Memorial Hall\Ack, Beethoven! (Karaoke Pub Beethoven)\Waaah...mud land! It's the first time I came here!\I wonder if there are mudskippers? response:	I'll go take a look!
context: I'll show you around in Okawa!\No, it's OK, Okawa the best furniture maker in Japan\your daughter is in critical condition. Okawa Furniture Hall\Then just one place! Koga Masao Memorial Hall\Ack, Beethoven! (Karaoke Pub Beethoven)\Waaah...mud land! It's the first time I came here!\I wonder if there are mudskippers?\I'll go take a look! response:	Oi! We don't have time!
context: No, it's OK, Okawa the best furniture maker in Japan\your daughter is in critical condition. Okawa Furniture Hall\Then just one place! Koga Masao Memorial Hall\Ack, Beethoven! (Karaoke Pub Beethoven)\Waaah...mud land! It's the first time I came here!\I wonder if there are mudskippers?\I'll go take a look!\Oi! We don't have time! response:	Ah, Chiaki-kun, Chiaki-kun!
context: your daughter is in critical condition. Okawa Furniture Hall\Then just one place! Koga Masao Memorial Hall\Ack, Beethoven! (Karaoke Pub Beethoven)\Waaah...mud land! It's the first time I came here!\I wonder if there are mudskippers?\I'll go take a look!\Oi! We don't have time!\Ah, Chiaki-kun, Chiaki-kun! response:	There's a telescope here! I'll take a look!
context: Then just one place! Koga Masao Memorial Hall\Ack, Beethoven! (Karaoke Pub Beethoven)\Waaah...mud land! It's the first time I came here!\I wonder if there are mudskippers?\I'll go take a look!\Oi! We don't have time!\Ah, Chiaki-kun, Chiaki-kun!\There's a telescope here! I'll take a look! response:	Hai
context: Ack, Beethoven! (Karaoke Pub Beethoven)\Waaah...mud land! It's the first time I came here!\I wonder if there are mudskippers?\I'll go take a look!\Oi! We don't have time!\Ah, Chiaki-kun, Chiaki-kun!\There's a telescope here! I'll take a look!\Hai response:	We take our seaweeds over there!
context: Waaah...mud land! It's the first time I came here!\I wonder if there are mudskippers?\I'll go take a look!\Oi! We don't have time!\Ah, Chiaki-kun, Chiaki-kun!\There's a telescope here! I'll take a look!\Hai\We take our seaweeds over there! response:	Come here, take a look!
context: I wonder if there are mudskippers?\I'll go take a look!\Oi! We don't have time!\Ah, Chiaki-kun, Chiaki-kun!\There's a telescope here! I'll take a look!\Hai\We take our seaweeds over there!\Come here, take a look! response:	Please don't say: Musume wo tanomu (Take good care of my daughter, meaning to marry her)
context: I'll go take a look!\Oi! We don't have time!\Ah, Chiaki-kun, Chiaki-kun!\There's a telescope here! I'll take a look!\Hai\We take our seaweeds over there!\Come here, take a look!\Please don't say: Musume wo tanomu (Take good care of my daughter, meaning to marry her) response:	No, it's not that...
context: Oi! We don't have time!\Ah, Chiaki-kun, Chiaki-kun!\There's a telescope here! I'll take a look!\Hai\We take our seaweeds over there!\Come here, take a look!\Please don't say: Musume wo tanomu (Take good care of my daughter, meaning to marry her)\No, it's not that... response:	Will she be really alright? Studying abroad?
context: Ah, Chiaki-kun, Chiaki-kun!\There's a telescope here! I'll take a look!\Hai\We take our seaweeds over there!\Come here, take a look!\Please don't say: Musume wo tanomu (Take good care of my daughter, meaning to marry her)\No, it's not that...\Will she be really alright? Studying abroad? response:	Huh?
context: There's a telescope here! I'll take a look!\Hai\We take our seaweeds over there!\Come here, take a look!\Please don't say: Musume wo tanomu (Take good care of my daughter, meaning to marry her)\No, it's not that...\Will she be really alright? Studying abroad?\Huh? response:	Megumi started learning the piano when she was 5 year old.
context: Hai\We take our seaweeds over there!\Come here, take a look!\Please don't say: Musume wo tanomu (Take good care of my daughter, meaning to marry her)\No, it's not that...\Will she be really alright? Studying abroad?\Huh?\Megumi started learning the piano when she was 5 year old. response:	It was when I was still working in an office in Tokyo
context: We take our seaweeds over there!\Come here, take a look!\Please don't say: Musume wo tanomu (Take good care of my daughter, meaning to marry her)\No, it's not that...\Will she be really alright? Studying abroad?\Huh?\Megumi started learning the piano when she was 5 year old.\It was when I was still working in an office in Tokyo response:	There was a music academy ojousan in the neighbourhood,
context: Come here, take a look!\Please don't say: Musume wo tanomu (Take good care of my daughter, meaning to marry her)\No, it's not that...\Will she be really alright? Studying abroad?\Huh?\Megumi started learning the piano when she was 5 year old.\It was when I was still working in an office in Tokyo\There was a music academy ojousan in the neighbourhood, response:	We could always hear the sounds of the piano...
context: Please don't say: Musume wo tanomu (Take good care of my daughter, meaning to marry her)\No, it's not that...\Will she be really alright? Studying abroad?\Huh?\Megumi started learning the piano when she was 5 year old.\It was when I was still working in an office in Tokyo\There was a music academy ojousan in the neighbourhood,\We could always hear the sounds of the piano... response:	Megumi loves the piano very much
context: No, it's not that...\Will she be really alright? Studying abroad?\Huh?\Megumi started learning the piano when she was 5 year old.\It was when I was still working in an office in Tokyo\There was a music academy ojousan in the neighbourhood,\We could always hear the sounds of the piano...\Megumi loves the piano very much response:	so she often visited her house.
context: Will she be really alright? Studying abroad?\Huh?\Megumi started learning the piano when she was 5 year old.\It was when I was still working in an office in Tokyo\There was a music academy ojousan in the neighbourhood,\We could always hear the sounds of the piano...\Megumi loves the piano very much\so she often visited her house. response:	In just a short time,
context: Huh?\Megumi started learning the piano when she was 5 year old.\It was when I was still working in an office in Tokyo\There was a music academy ojousan in the neighbourhood,\We could always hear the sounds of the piano...\Megumi loves the piano very much\so she often visited her house.\In just a short time, response:	that ojousan came with her face turning pale,
context: Megumi started learning the piano when she was 5 year old.\It was when I was still working in an office in Tokyo\There was a music academy ojousan in the neighbourhood,\We could always hear the sounds of the piano...\Megumi loves the piano very much\so she often visited her house.\In just a short time,\that ojousan came with her face turning pale, response:	Okasan!
context: It was when I was still working in an office in Tokyo\There was a music academy ojousan in the neighbourhood,\We could always hear the sounds of the piano...\Megumi loves the piano very much\so she often visited her house.\In just a short time,\that ojousan came with her face turning pale,\Okasan! response:	It's better to have this child learn piano from a proper teacher!
context: There was a music academy ojousan in the neighbourhood,\We could always hear the sounds of the piano...\Megumi loves the piano very much\so she often visited her house.\In just a short time,\that ojousan came with her face turning pale,\Okasan!\It's better to have this child learn piano from a proper teacher! response:	Therefore, we enrolled her to a piano classroom taught by a famous piano teacher in our neighbourhood. Hanasakura Piano Classroom
context: We could always hear the sounds of the piano...\Megumi loves the piano very much\so she often visited her house.\In just a short time,\that ojousan came with her face turning pale,\Okasan!\It's better to have this child learn piano from a proper teacher!\Therefore, we enrolled her to a piano classroom taught by a famous piano teacher in our neighbourhood. Hanasakura Piano Classroom response:	Then..again very soon...
context: Megumi loves the piano very much\so she often visited her house.\In just a short time,\that ojousan came with her face turning pale,\Okasan!\It's better to have this child learn piano from a proper teacher!\Therefore, we enrolled her to a piano classroom taught by a famous piano teacher in our neighbourhood. Hanasakura Piano Classroom\Then..again very soon... response:	Let's take this child as soon as possible abroad!
context: so she often visited her house.\In just a short time,\that ojousan came with her face turning pale,\Okasan!\It's better to have this child learn piano from a proper teacher!\Therefore, we enrolled her to a piano classroom taught by a famous piano teacher in our neighbourhood. Hanasakura Piano Classroom\Then..again very soon...\Let's take this child as soon as possible abroad! response:	However, around that time...
context: In just a short time,\that ojousan came with her face turning pale,\Okasan!\It's better to have this child learn piano from a proper teacher!\Therefore, we enrolled her to a piano classroom taught by a famous piano teacher in our neighbourhood. Hanasakura Piano Classroom\Then..again very soon...\Let's take this child as soon as possible abroad!\However, around that time... response:	Megumi's condition began to become strange...
context: that ojousan came with her face turning pale,\Okasan!\It's better to have this child learn piano from a proper teacher!\Therefore, we enrolled her to a piano classroom taught by a famous piano teacher in our neighbourhood. Hanasakura Piano Classroom\Then..again very soon...\Let's take this child as soon as possible abroad!\However, around that time...\Megumi's condition began to become strange... response:	The teacher gave extremely strict lesson
context: Okasan!\It's better to have this child learn piano from a proper teacher!\Therefore, we enrolled her to a piano classroom taught by a famous piano teacher in our neighbourhood. Hanasakura Piano Classroom\Then..again very soon...\Let's take this child as soon as possible abroad!\However, around that time...\Megumi's condition began to become strange...\The teacher gave extremely strict lesson response:	Megumi didn't like going to the piano classroom anymore.
context: It's better to have this child learn piano from a proper teacher!\Therefore, we enrolled her to a piano classroom taught by a famous piano teacher in our neighbourhood. Hanasakura Piano Classroom\Then..again very soon...\Let's take this child as soon as possible abroad!\However, around that time...\Megumi's condition began to become strange...\The teacher gave extremely strict lesson\Megumi didn't like going to the piano classroom anymore. response:	One day that incident happened...
context: Therefore, we enrolled her to a piano classroom taught by a famous piano teacher in our neighbourhood. Hanasakura Piano Classroom\Then..again very soon...\Let's take this child as soon as possible abroad!\However, around that time...\Megumi's condition began to become strange...\The teacher gave extremely strict lesson\Megumi didn't like going to the piano classroom anymore.\One day that incident happened... response:	This hand is wrong! This hand!!
context: Then..again very soon...\Let's take this child as soon as possible abroad!\However, around that time...\Megumi's condition began to become strange...\The teacher gave extremely strict lesson\Megumi didn't like going to the piano classroom anymore.\One day that incident happened...\This hand is wrong! This hand!! response:	This hand is bad!..
context: Let's take this child as soon as possible abroad!\However, around that time...\Megumi's condition began to become strange...\The teacher gave extremely strict lesson\Megumi didn't like going to the piano classroom anymore.\One day that incident happened...\This hand is wrong! This hand!!\This hand is bad!.. response:	Ouch!!
context: However, around that time...\Megumi's condition began to become strange...\The teacher gave extremely strict lesson\Megumi didn't like going to the piano classroom anymore.\One day that incident happened...\This hand is wrong! This hand!!\This hand is bad!..\Ouch!! response:	Although the teacher apologized many many times,
