context: Self-practice response:	*softball soccer (baseball team ex-member)
context: You want to borrow the soccer ball?\Yes.\Please.\Can't do that.\It's not for personal use.\Can't you make an exception?\I'll bring it back, I swear.\I said no. response:	So much for that plan.
context: Yes.\Please.\Can't do that.\It's not for personal use.\Can't you make an exception?\I'll bring it back, I swear.\I said no.\So much for that plan. response:	I guess I'll have to buy my own ball.
context: Please.\Can't do that.\It's not for personal use.\Can't you make an exception?\I'll bring it back, I swear.\I said no.\So much for that plan.\I guess I'll have to buy my own ball. response:	I'll use my New Year's gift money.
context: Can't do that.\It's not for personal use.\Can't you make an exception?\I'll bring it back, I swear.\I said no.\So much for that plan.\I guess I'll have to buy my own ball.\I'll use my New Year's gift money. response:	Is this good?
context: It's not for personal use.\Can't you make an exception?\I'll bring it back, I swear.\I said no.\So much for that plan.\I guess I'll have to buy my own ball.\I'll use my New Year's gift money.\Is this good? response:	I think so.
context: Can't you make an exception?\I'll bring it back, I swear.\I said no.\So much for that plan.\I guess I'll have to buy my own ball.\I'll use my New Year's gift money.\Is this good?\I think so. response:	This is where I first talked to Kazehaya-kun.
context: I'll bring it back, I swear.\I said no.\So much for that plan.\I guess I'll have to buy my own ball.\I'll use my New Year's gift money.\Is this good?\I think so.\This is where I first talked to Kazehaya-kun. response:	Huh, you're a committee member too?
context: I said no.\So much for that plan.\I guess I'll have to buy my own ball.\I'll use my New Year's gift money.\Is this good?\I think so.\This is where I first talked to Kazehaya-kun.\Huh, you're a committee member too? response:	Oh, you too?
context: So much for that plan.\I guess I'll have to buy my own ball.\I'll use my New Year's gift money.\Is this good?\I think so.\This is where I first talked to Kazehaya-kun.\Huh, you're a committee member too?\Oh, you too? response:	Let's make the best of it.
context: I guess I'll have to buy my own ball.\I'll use my New Year's gift money.\Is this good?\I think so.\This is where I first talked to Kazehaya-kun.\Huh, you're a committee member too?\Oh, you too?\Let's make the best of it. response:	Tough luck, huh?
context: I'll use my New Year's gift money.\Is this good?\I think so.\This is where I first talked to Kazehaya-kun.\Huh, you're a committee member too?\Oh, you too?\Let's make the best of it.\Tough luck, huh? response:	This seat's empty.
context: Is this good?\I think so.\This is where I first talked to Kazehaya-kun.\Huh, you're a committee member too?\Oh, you too?\Let's make the best of it.\Tough luck, huh?\This seat's empty. response:	Thanks.
context: I think so.\This is where I first talked to Kazehaya-kun.\Huh, you're a committee member too?\Oh, you too?\Let's make the best of it.\Tough luck, huh?\This seat's empty.\Thanks. response:	Oh yeah, thanks for the CD.
context: This is where I first talked to Kazehaya-kun.\Huh, you're a committee member too?\Oh, you too?\Let's make the best of it.\Tough luck, huh?\This seat's empty.\Thanks.\Oh yeah, thanks for the CD. response:	There's one I want to borrow off of you too.
context: Huh, you're a committee member too?\Oh, you too?\Let's make the best of it.\Tough luck, huh?\This seat's empty.\Thanks.\Oh yeah, thanks for the CD.\There's one I want to borrow off of you too. response:	Sure, I'll bring it here.
context: Oh, you too?\Let's make the best of it.\Tough luck, huh?\This seat's empty.\Thanks.\Oh yeah, thanks for the CD.\There's one I want to borrow off of you too.\Sure, I'll bring it here. response:	Yay!
context: Let's make the best of it.\Tough luck, huh?\This seat's empty.\Thanks.\Oh yeah, thanks for the CD.\There's one I want to borrow off of you too.\Sure, I'll bring it here.\Yay! response:	That album I lent you before the last one
context: Tough luck, huh?\This seat's empty.\Thanks.\Oh yeah, thanks for the CD.\There's one I want to borrow off of you too.\Sure, I'll bring it here.\Yay!\That album I lent you before the last one response:	Are you listening, Kazehaya?
context: This seat's empty.\Thanks.\Oh yeah, thanks for the CD.\There's one I want to borrow off of you too.\Sure, I'll bring it here.\Yay!\That album I lent you before the last one\Are you listening, Kazehaya? response:	My bad, what were you saying?
context: Thanks.\Oh yeah, thanks for the CD.\There's one I want to borrow off of you too.\Sure, I'll bring it here.\Yay!\That album I lent you before the last one\Are you listening, Kazehaya?\My bad, what were you saying? response:	That CD before the one I lent you.
context: Oh yeah, thanks for the CD.\There's one I want to borrow off of you too.\Sure, I'll bring it here.\Yay!\That album I lent you before the last one\Are you listening, Kazehaya?\My bad, what were you saying?\That CD before the one I lent you. response:	Okay, I'll bring it next time.
context: There's one I want to borrow off of you too.\Sure, I'll bring it here.\Yay!\That album I lent you before the last one\Are you listening, Kazehaya?\My bad, what were you saying?\That CD before the one I lent you.\Okay, I'll bring it next time. response:	Where the heck are you going?
context: Sure, I'll bring it here.\Yay!\That album I lent you before the last one\Are you listening, Kazehaya?\My bad, what were you saying?\That CD before the one I lent you.\Okay, I'll bring it next time.\Where the heck are you going? response:	Huh, what time is it?
context: Yay!\That album I lent you before the last one\Are you listening, Kazehaya?\My bad, what were you saying?\That CD before the one I lent you.\Okay, I'll bring it next time.\Where the heck are you going?\Huh, what time is it? response:	This way.
context: That album I lent you before the last one\Are you listening, Kazehaya?\My bad, what were you saying?\That CD before the one I lent you.\Okay, I'll bring it next time.\Where the heck are you going?\Huh, what time is it?\This way. response:	I don't get it.
context: Are you listening, Kazehaya?\My bad, what were you saying?\That CD before the one I lent you.\Okay, I'll bring it next time.\Where the heck are you going?\Huh, what time is it?\This way.\I don't get it. response:	I can't really smile.
context: My bad, what were you saying?\That CD before the one I lent you.\Okay, I'll bring it next time.\Where the heck are you going?\Huh, what time is it?\This way.\I don't get it.\I can't really smile. response:	Something's different about the wind.
context: That CD before the one I lent you.\Okay, I'll bring it next time.\Where the heck are you going?\Huh, what time is it?\This way.\I don't get it.\I can't really smile.\Something's different about the wind. response:	So reach him,
context: Okay, I'll bring it next time.\Where the heck are you going?\Huh, what time is it?\This way.\I don't get it.\I can't really smile.\Something's different about the wind.\So reach him, response:	in place of my smile.
context: Where the heck are you going?\Huh, what time is it?\This way.\I don't get it.\I can't really smile.\Something's different about the wind.\So reach him,\in place of my smile. response:	I don't get it.
context: Huh, what time is it?\This way.\I don't get it.\I can't really smile.\Something's different about the wind.\So reach him,\in place of my smile.\I don't get it. response:	Why does my heart ache?
context: This way.\I don't get it.\I can't really smile.\Something's different about the wind.\So reach him,\in place of my smile.\I don't get it.\Why does my heart ache? response:	Next episode: New Friends
