context: Don't! It's a whalesquid! Leave it alone! response:	Targeting accuracy is lower due to undersea conditions.
context: Please leave us be!\Fleet Commander!\Turn off the siren.\Yes, sir!\I'll take command. If you don't mind?\N-No, of course not.\But...\This is Fleet Commander Fairlock. I want you all to listen to me. response:	A pod of whalesquid is approaching the fleet.
context: Fleet Commander!\Turn off the siren.\Yes, sir!\I'll take command. If you don't mind?\N-No, of course not.\But...\This is Fleet Commander Fairlock. I want you all to listen to me.\A pod of whalesquid is approaching the fleet. response:	There is a substantial number of them,
context: Turn off the siren.\Yes, sir!\I'll take command. If you don't mind?\N-No, of course not.\But...\This is Fleet Commander Fairlock. I want you all to listen to me.\A pod of whalesquid is approaching the fleet.\There is a substantial number of them, response:	but as long as we don't make a mistake, there is no danger.
context: Yes, sir!\I'll take command. If you don't mind?\N-No, of course not.\But...\This is Fleet Commander Fairlock. I want you all to listen to me.\A pod of whalesquid is approaching the fleet.\There is a substantial number of them,\but as long as we don't make a mistake, there is no danger. response:	As much as possible, do not stimulate the pod.
context: I'll take command. If you don't mind?\N-No, of course not.\But...\This is Fleet Commander Fairlock. I want you all to listen to me.\A pod of whalesquid is approaching the fleet.\There is a substantial number of them,\but as long as we don't make a mistake, there is no danger.\As much as possible, do not stimulate the pod. response:	From this moment on, Gargantia is going to power down completely.
context: N-No, of course not.\But...\This is Fleet Commander Fairlock. I want you all to listen to me.\A pod of whalesquid is approaching the fleet.\There is a substantial number of them,\but as long as we don't make a mistake, there is no danger.\As much as possible, do not stimulate the pod.\From this moment on, Gargantia is going to power down completely. response:	Ridget, relay this instruction to all of the ships.
context: But...\This is Fleet Commander Fairlock. I want you all to listen to me.\A pod of whalesquid is approaching the fleet.\There is a substantial number of them,\but as long as we don't make a mistake, there is no danger.\As much as possible, do not stimulate the pod.\From this moment on, Gargantia is going to power down completely.\Ridget, relay this instruction to all of the ships. response:	There are to be no lights or sounds.
context: This is Fleet Commander Fairlock. I want you all to listen to me.\A pod of whalesquid is approaching the fleet.\There is a substantial number of them,\but as long as we don't make a mistake, there is no danger.\As much as possible, do not stimulate the pod.\From this moment on, Gargantia is going to power down completely.\Ridget, relay this instruction to all of the ships.\There are to be no lights or sounds. response:	Y-Yes, sir!
context: A pod of whalesquid is approaching the fleet.\There is a substantial number of them,\but as long as we don't make a mistake, there is no danger.\As much as possible, do not stimulate the pod.\From this moment on, Gargantia is going to power down completely.\Ridget, relay this instruction to all of the ships.\There are to be no lights or sounds.\Y-Yes, sir! response:	After we power down, all citizens standby right where you are.
context: There is a substantial number of them,\but as long as we don't make a mistake, there is no danger.\As much as possible, do not stimulate the pod.\From this moment on, Gargantia is going to power down completely.\Ridget, relay this instruction to all of the ships.\There are to be no lights or sounds.\Y-Yes, sir!\After we power down, all citizens standby right where you are. response:	Don't make any unnecessary sounds!
context: but as long as we don't make a mistake, there is no danger.\As much as possible, do not stimulate the pod.\From this moment on, Gargantia is going to power down completely.\Ridget, relay this instruction to all of the ships.\There are to be no lights or sounds.\Y-Yes, sir!\After we power down, all citizens standby right where you are.\Don't make any unnecessary sounds! response:	Help!
context: As much as possible, do not stimulate the pod.\From this moment on, Gargantia is going to power down completely.\Ridget, relay this instruction to all of the ships.\There are to be no lights or sounds.\Y-Yes, sir!\After we power down, all citizens standby right where you are.\Don't make any unnecessary sounds!\Help! response:	Main power turning off!
context: From this moment on, Gargantia is going to power down completely.\Ridget, relay this instruction to all of the ships.\There are to be no lights or sounds.\Y-Yes, sir!\After we power down, all citizens standby right where you are.\Don't make any unnecessary sounds!\Help!\Main power turning off! response:	Get out of my way.
context: Ridget, relay this instruction to all of the ships.\There are to be no lights or sounds.\Y-Yes, sir!\After we power down, all citizens standby right where you are.\Don't make any unnecessary sounds!\Help!\Main power turning off!\Get out of my way. response:	No!
context: There are to be no lights or sounds.\Y-Yes, sir!\After we power down, all citizens standby right where you are.\Don't make any unnecessary sounds!\Help!\Main power turning off!\Get out of my way.\No! response:	Then I have no choice.
context: Y-Yes, sir!\After we power down, all citizens standby right where you are.\Don't make any unnecessary sounds!\Help!\Main power turning off!\Get out of my way.\No!\Then I have no choice. response:	No! Don't go! Please!
context: After we power down, all citizens standby right where you are.\Don't make any unnecessary sounds!\Help!\Main power turning off!\Get out of my way.\No!\Then I have no choice.\No! Don't go! Please! response:	Let go of me!
context: Don't make any unnecessary sounds!\Help!\Main power turning off!\Get out of my way.\No!\Then I have no choice.\No! Don't go! Please!\Let go of me! response:	Why?! My battle has nothing to do with you people!
context: Help!\Main power turning off!\Get out of my way.\No!\Then I have no choice.\No! Don't go! Please!\Let go of me!\Why?! My battle has nothing to do with you people! response:	It does have to do with us!
context: Main power turning off!\Get out of my way.\No!\Then I have no choice.\No! Don't go! Please!\Let go of me!\Why?! My battle has nothing to do with you people!\It does have to do with us! response:	You mean the fleet?
context: Get out of my way.\No!\Then I have no choice.\No! Don't go! Please!\Let go of me!\Why?! My battle has nothing to do with you people!\It does have to do with us!\You mean the fleet? response:	Then I will not make trouble for you. I will leave.
context: No!\Then I have no choice.\No! Don't go! Please!\Let go of me!\Why?! My battle has nothing to do with you people!\It does have to do with us!\You mean the fleet?\Then I will not make trouble for you. I will leave. response:	I will fight alone!
context: Then I have no choice.\No! Don't go! Please!\Let go of me!\Why?! My battle has nothing to do with you people!\It does have to do with us!\You mean the fleet?\Then I will not make trouble for you. I will leave.\I will fight alone! response:	That's not it!
context: No! Don't go! Please!\Let go of me!\Why?! My battle has nothing to do with you people!\It does have to do with us!\You mean the fleet?\Then I will not make trouble for you. I will leave.\I will fight alone!\That's not it! response:	I don't want you to do something this dangerous! I...
context: Let go of me!\Why?! My battle has nothing to do with you people!\It does have to do with us!\You mean the fleet?\Then I will not make trouble for you. I will leave.\I will fight alone!\That's not it!\I don't want you to do something this dangerous! I... response:	Ridget...
context: Why?! My battle has nothing to do with you people!\It does have to do with us!\You mean the fleet?\Then I will not make trouble for you. I will leave.\I will fight alone!\That's not it!\I don't want you to do something this dangerous! I...\Ridget... response:	I told you before. Comply with our policies.
context: It does have to do with us!\You mean the fleet?\Then I will not make trouble for you. I will leave.\I will fight alone!\That's not it!\I don't want you to do something this dangerous! I...\Ridget...\I told you before. Comply with our policies. response:	I refuse!
context: You mean the fleet?\Then I will not make trouble for you. I will leave.\I will fight alone!\That's not it!\I don't want you to do something this dangerous! I...\Ridget...\I told you before. Comply with our policies.\I refuse! response:	I can't allow that.
context: Then I will not make trouble for you. I will leave.\I will fight alone!\That's not it!\I don't want you to do something this dangerous! I...\Ridget...\I told you before. Comply with our policies.\I refuse!\I can't allow that. response:	If the whalesquid attack the fleet, you can do as you like.
context: I will fight alone!\That's not it!\I don't want you to do something this dangerous! I...\Ridget...\I told you before. Comply with our policies.\I refuse!\I can't allow that.\If the whalesquid attack the fleet, you can do as you like. response:	But as long as they don't, I'm keeping you on a short leash.
context: That's not it!\I don't want you to do something this dangerous! I...\Ridget...\I told you before. Comply with our policies.\I refuse!\I can't allow that.\If the whalesquid attack the fleet, you can do as you like.\But as long as they don't, I'm keeping you on a short leash. response:	They're directly under the fleet right now.
context: I don't want you to do something this dangerous! I...\Ridget...\I told you before. Comply with our policies.\I refuse!\I can't allow that.\If the whalesquid attack the fleet, you can do as you like.\But as long as they don't, I'm keeping you on a short leash.\They're directly under the fleet right now. response:	Ledo...
context: Ridget...\I told you before. Comply with our policies.\I refuse!\I can't allow that.\If the whalesquid attack the fleet, you can do as you like.\But as long as they don't, I'm keeping you on a short leash.\They're directly under the fleet right now.\Ledo... response:	Don't touch me!
context: I told you before. Comply with our policies.\I refuse!\I can't allow that.\If the whalesquid attack the fleet, you can do as you like.\But as long as they don't, I'm keeping you on a short leash.\They're directly under the fleet right now.\Ledo...\Don't touch me! response:	As long as I am here, I cannot carry out my mission.
context: I refuse!\I can't allow that.\If the whalesquid attack the fleet, you can do as you like.\But as long as they don't, I'm keeping you on a short leash.\They're directly under the fleet right now.\Ledo...\Don't touch me!\As long as I am here, I cannot carry out my mission. response:	I am a soldier.
context: I can't allow that.\If the whalesquid attack the fleet, you can do as you like.\But as long as they don't, I'm keeping you on a short leash.\They're directly under the fleet right now.\Ledo...\Don't touch me!\As long as I am here, I cannot carry out my mission.\I am a soldier. response:	Ledo. No...
context: If the whalesquid attack the fleet, you can do as you like.\But as long as they don't, I'm keeping you on a short leash.\They're directly under the fleet right now.\Ledo...\Don't touch me!\As long as I am here, I cannot carry out my mission.\I am a soldier.\Ledo. No... response:	I want Ledo and Chamber to work for me.
context: But as long as they don't, I'm keeping you on a short leash.\They're directly under the fleet right now.\Ledo...\Don't touch me!\As long as I am here, I cannot carry out my mission.\I am a soldier.\Ledo. No...\I want Ledo and Chamber to work for me. response:	If we team up, I'll be able to salvage from whalesquid territory.
context: They're directly under the fleet right now.\Ledo...\Don't touch me!\As long as I am here, I cannot carry out my mission.\I am a soldier.\Ledo. No...\I want Ledo and Chamber to work for me.\If we team up, I'll be able to salvage from whalesquid territory. response:	Are you serious?!
context: Ledo...\Don't touch me!\As long as I am here, I cannot carry out my mission.\I am a soldier.\Ledo. No...\I want Ledo and Chamber to work for me.\If we team up, I'll be able to salvage from whalesquid territory.\Are you serious?! response:	Would I be able to joke about somethin' like this?
context: Don't touch me!\As long as I am here, I cannot carry out my mission.\I am a soldier.\Ledo. No...\I want Ledo and Chamber to work for me.\If we team up, I'll be able to salvage from whalesquid territory.\Are you serious?!\Would I be able to joke about somethin' like this? response:	They've already agreed.
context: As long as I am here, I cannot carry out my mission.\I am a soldier.\Ledo. No...\I want Ledo and Chamber to work for me.\If we team up, I'll be able to salvage from whalesquid territory.\Are you serious?!\Would I be able to joke about somethin' like this?\They've already agreed. response:	We'll be apart from Gargantia.
context: I am a soldier.\Ledo. No...\I want Ledo and Chamber to work for me.\If we team up, I'll be able to salvage from whalesquid territory.\Are you serious?!\Would I be able to joke about somethin' like this?\They've already agreed.\We'll be apart from Gargantia. response:	So sign it already.
context: Ledo. No...\I want Ledo and Chamber to work for me.\If we team up, I'll be able to salvage from whalesquid territory.\Are you serious?!\Would I be able to joke about somethin' like this?\They've already agreed.\We'll be apart from Gargantia.\So sign it already. response:	Fleet Commander, I also seek permission to accompany them with my ships.
context: I want Ledo and Chamber to work for me.\If we team up, I'll be able to salvage from whalesquid territory.\Are you serious?!\Would I be able to joke about somethin' like this?\They've already agreed.\We'll be apart from Gargantia.\So sign it already.\Fleet Commander, I also seek permission to accompany them with my ships. response:	Flange...
context: If we team up, I'll be able to salvage from whalesquid territory.\Are you serious?!\Would I be able to joke about somethin' like this?\They've already agreed.\We'll be apart from Gargantia.\So sign it already.\Fleet Commander, I also seek permission to accompany them with my ships.\Flange... response:	You too? Why?!
context: Are you serious?!\Would I be able to joke about somethin' like this?\They've already agreed.\We'll be apart from Gargantia.\So sign it already.\Fleet Commander, I also seek permission to accompany them with my ships.\Flange...\You too? Why?! response:	If a major ship owner like you leaves, the fleet's defensive capability drops sharply!
context: Would I be able to joke about somethin' like this?\They've already agreed.\We'll be apart from Gargantia.\So sign it already.\Fleet Commander, I also seek permission to accompany them with my ships.\Flange...\You too? Why?!\If a major ship owner like you leaves, the fleet's defensive capability drops sharply! response:	The legacy of a once-great age is lying on the ocean floor.
context: They've already agreed.\We'll be apart from Gargantia.\So sign it already.\Fleet Commander, I also seek permission to accompany them with my ships.\Flange...\You too? Why?!\If a major ship owner like you leaves, the fleet's defensive capability drops sharply!\The legacy of a once-great age is lying on the ocean floor. response:	If we can reclaim even a small amount of it...
context: We'll be apart from Gargantia.\So sign it already.\Fleet Commander, I also seek permission to accompany them with my ships.\Flange...\You too? Why?!\If a major ship owner like you leaves, the fleet's defensive capability drops sharply!\The legacy of a once-great age is lying on the ocean floor.\If we can reclaim even a small amount of it... response:	I don't want any hard feelings over this.
context: So sign it already.\Fleet Commander, I also seek permission to accompany them with my ships.\Flange...\You too? Why?!\If a major ship owner like you leaves, the fleet's defensive capability drops sharply!\The legacy of a once-great age is lying on the ocean floor.\If we can reclaim even a small amount of it...\I don't want any hard feelings over this. response:	This is unbelievable...
context: Fleet Commander, I also seek permission to accompany them with my ships.\Flange...\You too? Why?!\If a major ship owner like you leaves, the fleet's defensive capability drops sharply!\The legacy of a once-great age is lying on the ocean floor.\If we can reclaim even a small amount of it...\I don't want any hard feelings over this.\This is unbelievable... response:	Never. I won't let the narrow interests of the few
context: Flange...\You too? Why?!\If a major ship owner like you leaves, the fleet's defensive capability drops sharply!\The legacy of a once-great age is lying on the ocean floor.\If we can reclaim even a small amount of it...\I don't want any hard feelings over this.\This is unbelievable...\Never. I won't let the narrow interests of the few response:	jeopardize all of Gargantia! My answer is...
context: You too? Why?!\If a major ship owner like you leaves, the fleet's defensive capability drops sharply!\The legacy of a once-great age is lying on the ocean floor.\If we can reclaim even a small amount of it...\I don't want any hard feelings over this.\This is unbelievable...\Never. I won't let the narrow interests of the few\jeopardize all of Gargantia! My answer is... response:	Fleet Commander!
context: If a major ship owner like you leaves, the fleet's defensive capability drops sharply!\The legacy of a once-great age is lying on the ocean floor.\If we can reclaim even a small amount of it...\I don't want any hard feelings over this.\This is unbelievable...\Never. I won't let the narrow interests of the few\jeopardize all of Gargantia! My answer is...\Fleet Commander! response:	Fleet Commander!
context: The legacy of a once-great age is lying on the ocean floor.\If we can reclaim even a small amount of it...\I don't want any hard feelings over this.\This is unbelievable...\Never. I won't let the narrow interests of the few\jeopardize all of Gargantia! My answer is...\Fleet Commander!\Fleet Commander! response:	Oh, no! Call Dr. Oldham!
context: If we can reclaim even a small amount of it...\I don't want any hard feelings over this.\This is unbelievable...\Never. I won't let the narrow interests of the few\jeopardize all of Gargantia! My answer is...\Fleet Commander!\Fleet Commander!\Oh, no! Call Dr. Oldham! response:	Fleet Commander!
