context: During our battle with Oracion Seis, Happy and Wendy were captured! response:	To cure the poisoned, suffering Erza, we need the power of the Sky Dragon Slayer, Wendy!
context: Damn trash...\It's him again!\It is time.\Don't do it, Wendy!\The Lost Magic, Healing Magic... If you won't use it now, when would you?\Do it!\Jellal...\I'll handle things here. You hurry and go, Natsu! response:	Right!
context: It's him again!\It is time.\Don't do it, Wendy!\The Lost Magic, Healing Magic... If you won't use it now, when would you?\Do it!\Jellal...\I'll handle things here. You hurry and go, Natsu!\Right! response:	You think I'll let you go?
context: It is time.\Don't do it, Wendy!\The Lost Magic, Healing Magic... If you won't use it now, when would you?\Do it!\Jellal...\I'll handle things here. You hurry and go, Natsu!\Right!\You think I'll let you go? response:	Charles, now's our chance! Wings!
context: Don't do it, Wendy!\The Lost Magic, Healing Magic... If you won't use it now, when would you?\Do it!\Jellal...\I'll handle things here. You hurry and go, Natsu!\Right!\You think I'll let you go?\Charles, now's our chance! Wings! response:	Oh, well... Get going on this!
context: The Lost Magic, Healing Magic... If you won't use it now, when would you?\Do it!\Jellal...\I'll handle things here. You hurry and go, Natsu!\Right!\You think I'll let you go?\Charles, now's our chance! Wings!\Oh, well... Get going on this! response:	Here we go!
context: Do it!\Jellal...\I'll handle things here. You hurry and go, Natsu!\Right!\You think I'll let you go?\Charles, now's our chance! Wings!\Oh, well... Get going on this!\Here we go! response:	W-What?
context: Jellal...\I'll handle things here. You hurry and go, Natsu!\Right!\You think I'll let you go?\Charles, now's our chance! Wings!\Oh, well... Get going on this!\Here we go!\W-What? response:	Why, you...
context: I'll handle things here. You hurry and go, Natsu!\Right!\You think I'll let you go?\Charles, now's our chance! Wings!\Oh, well... Get going on this!\Here we go!\W-What?\Why, you... response:	You stopped my running.
context: Right!\You think I'll let you go?\Charles, now's our chance! Wings!\Oh, well... Get going on this!\Here we go!\W-What?\Why, you...\You stopped my running. response:	It looked more like you tripped and fell to me...
context: You think I'll let you go?\Charles, now's our chance! Wings!\Oh, well... Get going on this!\Here we go!\W-What?\Why, you...\You stopped my running.\It looked more like you tripped and fell to me... response:	Are you motion sick?
context: Charles, now's our chance! Wings!\Oh, well... Get going on this!\Here we go!\W-What?\Why, you...\You stopped my running.\It looked more like you tripped and fell to me...\Are you motion sick? response:	Happy!
context: Oh, well... Get going on this!\Here we go!\W-What?\Why, you...\You stopped my running.\It looked more like you tripped and fell to me...\Are you motion sick?\Happy! response:	Wendy!
context: Here we go!\W-What?\Why, you...\You stopped my running.\It looked more like you tripped and fell to me...\Are you motion sick?\Happy!\Wendy! response:	Happy!
context: W-What?\Why, you...\You stopped my running.\It looked more like you tripped and fell to me...\Are you motion sick?\Happy!\Wendy!\Happy! response:	Wendy!
context: Why, you...\You stopped my running.\It looked more like you tripped and fell to me...\Are you motion sick?\Happy!\Wendy!\Happy!\Wendy! response:	Natsu!
context: You stopped my running.\It looked more like you tripped and fell to me...\Are you motion sick?\Happy!\Wendy!\Happy!\Wendy!\Natsu! response:	Happy!
context: It looked more like you tripped and fell to me...\Are you motion sick?\Happy!\Wendy!\Happy!\Wendy!\Natsu!\Happy! response:	Natsu!
context: Are you motion sick?\Happy!\Wendy!\Happy!\Wendy!\Natsu!\Happy!\Natsu! response:	They're inside!
context: Happy!\Wendy!\Happy!\Wendy!\Natsu!\Happy!\Natsu!\They're inside! response:	I can handle you all by myself.
context: Wendy!\Happy!\Wendy!\Natsu!\Happy!\Natsu!\They're inside!\I can handle you all by myself. response:	Here I come!
context: Happy!\Wendy!\Natsu!\Happy!\Natsu!\They're inside!\I can handle you all by myself.\Here I come! response:	That's...
context: Wendy!\Natsu!\Happy!\Natsu!\They're inside!\I can handle you all by myself.\Here I come!\That's... response:	What the...
context: Natsu!\Happy!\Natsu!\They're inside!\I can handle you all by myself.\Here I come!\That's...\What the... response:	Natsu...
context: Happy!\Natsu!\They're inside!\I can handle you all by myself.\Here I come!\That's...\What the...\Natsu... response:	I'm sorry...
context: Natsu!\They're inside!\I can handle you all by myself.\Here I come!\That's...\What the...\Natsu...\I'm sorry... response:	Jellal...
context: They're inside!\I can handle you all by myself.\Here I come!\That's...\What the...\Natsu...\I'm sorry...\Jellal... response:	Erza...
context: I can handle you all by myself.\Here I come!\That's...\What the...\Natsu...\I'm sorry...\Jellal...\Erza... response:	This is bad. The poison seems to be spreading more and more...
context: Here I come!\That's...\What the...\Natsu...\I'm sorry...\Jellal...\Erza...\This is bad. The poison seems to be spreading more and more... response:	Hibiki, have they found Wendy yet?
context: That's...\What the...\Natsu...\I'm sorry...\Jellal...\Erza...\This is bad. The poison seems to be spreading more and more...\Hibiki, have they found Wendy yet? response:	Actually, I can't contact anyone.
context: What the...\Natsu...\I'm sorry...\Jellal...\Erza...\This is bad. The poison seems to be spreading more and more...\Hibiki, have they found Wendy yet?\Actually, I can't contact anyone. response:	But...
context: Natsu...\I'm sorry...\Jellal...\Erza...\This is bad. The poison seems to be spreading more and more...\Hibiki, have they found Wendy yet?\Actually, I can't contact anyone.\But... response:	Don't worry.
context: I'm sorry...\Jellal...\Erza...\This is bad. The poison seems to be spreading more and more...\Hibiki, have they found Wendy yet?\Actually, I can't contact anyone.\But...\Don't worry. response:	I'll contact them... I swear.
context: Jellal...\Erza...\This is bad. The poison seems to be spreading more and more...\Hibiki, have they found Wendy yet?\Actually, I can't contact anyone.\But...\Don't worry.\I'll contact them... I swear. response:	We're counting on you.
context: Erza...\This is bad. The poison seems to be spreading more and more...\Hibiki, have they found Wendy yet?\Actually, I can't contact anyone.\But...\Don't worry.\I'll contact them... I swear.\We're counting on you. response:	Hang in there, Erza!
context: This is bad. The poison seems to be spreading more and more...\Hibiki, have they found Wendy yet?\Actually, I can't contact anyone.\But...\Don't worry.\I'll contact them... I swear.\We're counting on you.\Hang in there, Erza! response:	I'm sorry...
context: Hibiki, have they found Wendy yet?\Actually, I can't contact anyone.\But...\Don't worry.\I'll contact them... I swear.\We're counting on you.\Hang in there, Erza!\I'm sorry... response:	I'm... sorry!
context: Actually, I can't contact anyone.\But...\Don't worry.\I'll contact them... I swear.\We're counting on you.\Hang in there, Erza!\I'm sorry...\I'm... sorry! response:	This person... saved my life...
context: But...\Don't worry.\I'll contact them... I swear.\We're counting on you.\Hang in there, Erza!\I'm sorry...\I'm... sorry!\This person... saved my life... response:	Wendy! You used Healing Magic?
context: Don't worry.\I'll contact them... I swear.\We're counting on you.\Hang in there, Erza!\I'm sorry...\I'm... sorry!\This person... saved my life...\Wendy! You used Healing Magic? response:	What are you thinking? If you use that power recklessly...
context: I'll contact them... I swear.\We're counting on you.\Hang in there, Erza!\I'm sorry...\I'm... sorry!\This person... saved my life...\Wendy! You used Healing Magic?\What are you thinking? If you use that power recklessly... response:	Wendy!
context: We're counting on you.\Hang in there, Erza!\I'm sorry...\I'm... sorry!\This person... saved my life...\Wendy! You used Healing Magic?\What are you thinking? If you use that power recklessly...\Wendy! response:	Why are you here?
context: Hang in there, Erza!\I'm sorry...\I'm... sorry!\This person... saved my life...\Wendy! You used Healing Magic?\What are you thinking? If you use that power recklessly...\Wendy!\Why are you here? response:	Jellal!
context: I'm sorry...\I'm... sorry!\This person... saved my life...\Wendy! You used Healing Magic?\What are you thinking? If you use that power recklessly...\Wendy!\Why are you here?\Jellal! response:	Natsu!
context: I'm... sorry!\This person... saved my life...\Wendy! You used Healing Magic?\What are you thinking? If you use that power recklessly...\Wendy!\Why are you here?\Jellal!\Natsu! response:	Tremendous magical power as always, I see.
context: This person... saved my life...\Wendy! You used Healing Magic?\What are you thinking? If you use that power recklessly...\Wendy!\Why are you here?\Jellal!\Natsu!\Tremendous magical power as always, I see. response:	What?
context: Wendy! You used Healing Magic?\What are you thinking? If you use that power recklessly...\Wendy!\Why are you here?\Jellal!\Natsu!\Tremendous magical power as always, I see.\What? response:	Natsu!
context: What are you thinking? If you use that power recklessly...\Wendy!\Why are you here?\Jellal!\Natsu!\Tremendous magical power as always, I see.\What?\Natsu! response:	Natsu, wake up!
context: Wendy!\Why are you here?\Jellal!\Natsu!\Tremendous magical power as always, I see.\What?\Natsu!\Natsu, wake up! response:	Where'd Jellal go?
context: Why are you here?\Jellal!\Natsu!\Tremendous magical power as always, I see.\What?\Natsu!\Natsu, wake up!\Where'd Jellal go? response:	He left.
context: Jellal!\Natsu!\Tremendous magical power as always, I see.\What?\Natsu!\Natsu, wake up!\Where'd Jellal go?\He left. response:	That bastard!
context: Natsu!\Tremendous magical power as always, I see.\What?\Natsu!\Natsu, wake up!\Where'd Jellal go?\He left.\That bastard! response:	I don't know who that guy is...
context: Tremendous magical power as always, I see.\What?\Natsu!\Natsu, wake up!\Where'd Jellal go?\He left.\That bastard!\I don't know who that guy is... response:	But isn't bringing Wendy back with you more important right now?
context: What?\Natsu!\Natsu, wake up!\Where'd Jellal go?\He left.\That bastard!\I don't know who that guy is...\But isn't bringing Wendy back with you more important right now? response:	You want to save Erza, right?
context: Natsu!\Natsu, wake up!\Where'd Jellal go?\He left.\That bastard!\I don't know who that guy is...\But isn't bringing Wendy back with you more important right now?\You want to save Erza, right? response:	Natsu...
context: Natsu, wake up!\Where'd Jellal go?\He left.\That bastard!\I don't know who that guy is...\But isn't bringing Wendy back with you more important right now?\You want to save Erza, right?\Natsu... response:	I know that!
context: Where'd Jellal go?\He left.\That bastard!\I don't know who that guy is...\But isn't bringing Wendy back with you more important right now?\You want to save Erza, right?\Natsu...\I know that! response:	Why, that...
context: He left.\That bastard!\I don't know who that guy is...\But isn't bringing Wendy back with you more important right now?\You want to save Erza, right?\Natsu...\I know that!\Why, that... response:	Let's go, Happy!
context: That bastard!\I don't know who that guy is...\But isn't bringing Wendy back with you more important right now?\You want to save Erza, right?\Natsu...\I know that!\Why, that...\Let's go, Happy! response:	Aye, sir!
context: I don't know who that guy is...\But isn't bringing Wendy back with you more important right now?\You want to save Erza, right?\Natsu...\I know that!\Why, that...\Let's go, Happy!\Aye, sir! response:	That did not go as planned.
context: But isn't bringing Wendy back with you more important right now?\You want to save Erza, right?\Natsu...\I know that!\Why, that...\Let's go, Happy!\Aye, sir!\That did not go as planned. response:	Well, it is my mistake for releasing him from the restraints.
context: You want to save Erza, right?\Natsu...\I know that!\Why, that...\Let's go, Happy!\Aye, sir!\That did not go as planned.\Well, it is my mistake for releasing him from the restraints. response:	But he's never been hostile toward me before.
context: Natsu...\I know that!\Why, that...\Let's go, Happy!\Aye, sir!\That did not go as planned.\Well, it is my mistake for releasing him from the restraints.\But he's never been hostile toward me before. response:	Could he have overheard the discussions about Nirvana, even as he was sleeping?
context: I know that!\Why, that...\Let's go, Happy!\Aye, sir!\That did not go as planned.\Well, it is my mistake for releasing him from the restraints.\But he's never been hostile toward me before.\Could he have overheard the discussions about Nirvana, even as he was sleeping? response:	Damn that Jellal!
context: Why, that...\Let's go, Happy!\Aye, sir!\That did not go as planned.\Well, it is my mistake for releasing him from the restraints.\But he's never been hostile toward me before.\Could he have overheard the discussions about Nirvana, even as he was sleeping?\Damn that Jellal! response:	Does Jellal intend to take Nirvana for himself?!
context: Let's go, Happy!\Aye, sir!\That did not go as planned.\Well, it is my mistake for releasing him from the restraints.\But he's never been hostile toward me before.\Could he have overheard the discussions about Nirvana, even as he was sleeping?\Damn that Jellal!\Does Jellal intend to take Nirvana for himself?! response:	I will not allow it!
context: Aye, sir!\That did not go as planned.\Well, it is my mistake for releasing him from the restraints.\But he's never been hostile toward me before.\Could he have overheard the discussions about Nirvana, even as he was sleeping?\Damn that Jellal!\Does Jellal intend to take Nirvana for himself?!\I will not allow it! response:	It is ours!
context: That did not go as planned.\Well, it is my mistake for releasing him from the restraints.\But he's never been hostile toward me before.\Could he have overheard the discussions about Nirvana, even as he was sleeping?\Damn that Jellal!\Does Jellal intend to take Nirvana for himself?!\I will not allow it!\It is ours! response:	We will not hand it over to anyone!
context: Well, it is my mistake for releasing him from the restraints.\But he's never been hostile toward me before.\Could he have overheard the discussions about Nirvana, even as he was sleeping?\Damn that Jellal!\Does Jellal intend to take Nirvana for himself?!\I will not allow it!\It is ours!\We will not hand it over to anyone! response:	Cobra! Can you hear me?
context: But he's never been hostile toward me before.\Could he have overheard the discussions about Nirvana, even as he was sleeping?\Damn that Jellal!\Does Jellal intend to take Nirvana for himself?!\I will not allow it!\It is ours!\We will not hand it over to anyone!\Cobra! Can you hear me? response:	Jellal has escaped! After him!
context: Could he have overheard the discussions about Nirvana, even as he was sleeping?\Damn that Jellal!\Does Jellal intend to take Nirvana for himself?!\I will not allow it!\It is ours!\We will not hand it over to anyone!\Cobra! Can you hear me?\Jellal has escaped! After him! response:	Nirvana should be where he is heading!
context: Damn that Jellal!\Does Jellal intend to take Nirvana for himself?!\I will not allow it!\It is ours!\We will not hand it over to anyone!\Cobra! Can you hear me?\Jellal has escaped! After him!\Nirvana should be where he is heading! response:	OK. I heard ya.
context: Does Jellal intend to take Nirvana for himself?!\I will not allow it!\It is ours!\We will not hand it over to anyone!\Cobra! Can you hear me?\Jellal has escaped! After him!\Nirvana should be where he is heading!\OK. I heard ya. response:	And I've already heard Jellal's footsteps.
context: I will not allow it!\It is ours!\We will not hand it over to anyone!\Cobra! Can you hear me?\Jellal has escaped! After him!\Nirvana should be where he is heading!\OK. I heard ya.\And I've already heard Jellal's footsteps. response:	What incredible speed this bastard has.
context: It is ours!\We will not hand it over to anyone!\Cobra! Can you hear me?\Jellal has escaped! After him!\Nirvana should be where he is heading!\OK. I heard ya.\And I've already heard Jellal's footsteps.\What incredible speed this bastard has. response:	My codename is Racer.
context: We will not hand it over to anyone!\Cobra! Can you hear me?\Jellal has escaped! After him!\Nirvana should be where he is heading!\OK. I heard ya.\And I've already heard Jellal's footsteps.\What incredible speed this bastard has.\My codename is Racer. response:	Faster than anyone. Faster than anything.
context: Cobra! Can you hear me?\Jellal has escaped! After him!\Nirvana should be where he is heading!\OK. I heard ya.\And I've already heard Jellal's footsteps.\What incredible speed this bastard has.\My codename is Racer.\Faster than anyone. Faster than anything. response:	And all I do is run!
context: Jellal has escaped! After him!\Nirvana should be where he is heading!\OK. I heard ya.\And I've already heard Jellal's footsteps.\What incredible speed this bastard has.\My codename is Racer.\Faster than anyone. Faster than anything.\And all I do is run! response:	He saved them?
context: Nirvana should be where he is heading!\OK. I heard ya.\And I've already heard Jellal's footsteps.\What incredible speed this bastard has.\My codename is Racer.\Faster than anyone. Faster than anything.\And all I do is run!\He saved them? response:	Impossible! Brain should have been inside!
context: OK. I heard ya.\And I've already heard Jellal's footsteps.\What incredible speed this bastard has.\My codename is Racer.\Faster than anyone. Faster than anything.\And all I do is run!\He saved them?\Impossible! Brain should have been inside! response:	How did he...
context: And I've already heard Jellal's footsteps.\What incredible speed this bastard has.\My codename is Racer.\Faster than anyone. Faster than anything.\And all I do is run!\He saved them?\Impossible! Brain should have been inside!\How did he... response:	By beating him up, obviously!
context: What incredible speed this bastard has.\My codename is Racer.\Faster than anyone. Faster than anything.\And all I do is run!\He saved them?\Impossible! Brain should have been inside!\How did he...\By beating him up, obviously! response:	Crap! You're not getting away!
context: My codename is Racer.\Faster than anyone. Faster than anything.\And all I do is run!\He saved them?\Impossible! Brain should have been inside!\How did he...\By beating him up, obviously!\Crap! You're not getting away! response:	Natsu, dodge!
context: Faster than anyone. Faster than anything.\And all I do is run!\He saved them?\Impossible! Brain should have been inside!\How did he...\By beating him up, obviously!\Crap! You're not getting away!\Natsu, dodge! response:	Happy! Charles!
context: And all I do is run!\He saved them?\Impossible! Brain should have been inside!\How did he...\By beating him up, obviously!\Crap! You're not getting away!\Natsu, dodge!\Happy! Charles! response:	I said you're not getting away!
context: He saved them?\Impossible! Brain should have been inside!\How did he...\By beating him up, obviously!\Crap! You're not getting away!\Natsu, dodge!\Happy! Charles!\I said you're not getting away! response:	Ice Make Rampart!
context: Impossible! Brain should have been inside!\How did he...\By beating him up, obviously!\Crap! You're not getting away!\Natsu, dodge!\Happy! Charles!\I said you're not getting away!\Ice Make Rampart! response:	Gray...
context: How did he...\By beating him up, obviously!\Crap! You're not getting away!\Natsu, dodge!\Happy! Charles!\I said you're not getting away!\Ice Make Rampart!\Gray... response:	Go!
context: By beating him up, obviously!\Crap! You're not getting away!\Natsu, dodge!\Happy! Charles!\I said you're not getting away!\Ice Make Rampart!\Gray...\Go! response:	I told you... I'd get this guy.
context: Crap! You're not getting away!\Natsu, dodge!\Happy! Charles!\I said you're not getting away!\Ice Make Rampart!\Gray...\Go!\I told you... I'd get this guy. response:	But you just used too much magic power!
context: Natsu, dodge!\Happy! Charles!\I said you're not getting away!\Ice Make Rampart!\Gray...\Go!\I told you... I'd get this guy.\But you just used too much magic power! response:	Whatever, get going!
context: Happy! Charles!\I said you're not getting away!\Ice Make Rampart!\Gray...\Go!\I told you... I'd get this guy.\But you just used too much magic power!\Whatever, get going! response:	Gray...
context: I said you're not getting away!\Ice Make Rampart!\Gray...\Go!\I told you... I'd get this guy.\But you just used too much magic power!\Whatever, get going!\Gray... response:	He isn't getting past here, not even over my dead body!
context: Ice Make Rampart!\Gray...\Go!\I told you... I'd get this guy.\But you just used too much magic power!\Whatever, get going!\Gray...\He isn't getting past here, not even over my dead body! response:	Go! To where Erza is!
context: Gray...\Go!\I told you... I'd get this guy.\But you just used too much magic power!\Whatever, get going!\Gray...\He isn't getting past here, not even over my dead body!\Go! To where Erza is! response:	I'm gonna save Erza, you bet!
context: Go!\I told you... I'd get this guy.\But you just used too much magic power!\Whatever, get going!\Gray...\He isn't getting past here, not even over my dead body!\Go! To where Erza is!\I'm gonna save Erza, you bet! response:	Damn straight you are.
context: I told you... I'd get this guy.\But you just used too much magic power!\Whatever, get going!\Gray...\He isn't getting past here, not even over my dead body!\Go! To where Erza is!\I'm gonna save Erza, you bet!\Damn straight you are. response:	You bastard.
context: But you just used too much magic power!\Whatever, get going!\Gray...\He isn't getting past here, not even over my dead body!\Go! To where Erza is!\I'm gonna save Erza, you bet!\Damn straight you are.\You bastard. response:	You stopped my running twice now.
context: Whatever, get going!\Gray...\He isn't getting past here, not even over my dead body!\Go! To where Erza is!\I'm gonna save Erza, you bet!\Damn straight you are.\You bastard.\You stopped my running twice now. response:	And it won't be the last time, either.
context: Gray...\He isn't getting past here, not even over my dead body!\Go! To where Erza is!\I'm gonna save Erza, you bet!\Damn straight you are.\You bastard.\You stopped my running twice now.\And it won't be the last time, either. response:	Ice can even stop the time of life itself.
context: He isn't getting past here, not even over my dead body!\Go! To where Erza is!\I'm gonna save Erza, you bet!\Damn straight you are.\You bastard.\You stopped my running twice now.\And it won't be the last time, either.\Ice can even stop the time of life itself. response:	So you'll never be able to catch up, for eternity.
context: Go! To where Erza is!\I'm gonna save Erza, you bet!\Damn straight you are.\You bastard.\You stopped my running twice now.\And it won't be the last time, either.\Ice can even stop the time of life itself.\So you'll never be able to catch up, for eternity. response:	You'll always be eating the dust of Fairy Tail.
context: I'm gonna save Erza, you bet!\Damn straight you are.\You bastard.\You stopped my running twice now.\And it won't be the last time, either.\Ice can even stop the time of life itself.\So you'll never be able to catch up, for eternity.\You'll always be eating the dust of Fairy Tail. response:	Erza...
context: Damn straight you are.\You bastard.\You stopped my running twice now.\And it won't be the last time, either.\Ice can even stop the time of life itself.\So you'll never be able to catch up, for eternity.\You'll always be eating the dust of Fairy Tail.\Erza... response:	Damn that Gray! He's totally hogging all the cool parts!
context: You bastard.\You stopped my running twice now.\And it won't be the last time, either.\Ice can even stop the time of life itself.\So you'll never be able to catch up, for eternity.\You'll always be eating the dust of Fairy Tail.\Erza...\Damn that Gray! He's totally hogging all the cool parts! response:	I won't let him get away with it!
context: You stopped my running twice now.\And it won't be the last time, either.\Ice can even stop the time of life itself.\So you'll never be able to catch up, for eternity.\You'll always be eating the dust of Fairy Tail.\Erza...\Damn that Gray! He's totally hogging all the cool parts!\I won't let him get away with it! response:	That's not the issue here!
context: And it won't be the last time, either.\Ice can even stop the time of life itself.\So you'll never be able to catch up, for eternity.\You'll always be eating the dust of Fairy Tail.\Erza...\Damn that Gray! He's totally hogging all the cool parts!\I won't let him get away with it!\That's not the issue here! response:	Gray was thinking about us when he stayed behind!
context: Ice can even stop the time of life itself.\So you'll never be able to catch up, for eternity.\You'll always be eating the dust of Fairy Tail.\Erza...\Damn that Gray! He's totally hogging all the cool parts!\I won't let him get away with it!\That's not the issue here!\Gray was thinking about us when he stayed behind! response:	I'm sick and tired of him acting all cool!
context: So you'll never be able to catch up, for eternity.\You'll always be eating the dust of Fairy Tail.\Erza...\Damn that Gray! He's totally hogging all the cool parts!\I won't let him get away with it!\That's not the issue here!\Gray was thinking about us when he stayed behind!\I'm sick and tired of him acting all cool! response:	Let's hurry up, Happy!
context: You'll always be eating the dust of Fairy Tail.\Erza...\Damn that Gray! He's totally hogging all the cool parts!\I won't let him get away with it!\That's not the issue here!\Gray was thinking about us when he stayed behind!\I'm sick and tired of him acting all cool!\Let's hurry up, Happy! response:	Does he even listen to a word I say?
context: Erza...\Damn that Gray! He's totally hogging all the cool parts!\I won't let him get away with it!\That's not the issue here!\Gray was thinking about us when he stayed behind!\I'm sick and tired of him acting all cool!\Let's hurry up, Happy!\Does he even listen to a word I say? response:	Next time: Dead Grand Prix
context: Damn that Gray! He's totally hogging all the cool parts!\I won't let him get away with it!\That's not the issue here!\Gray was thinking about us when he stayed behind!\I'm sick and tired of him acting all cool!\Let's hurry up, Happy!\Does he even listen to a word I say?\Next time: Dead Grand Prix response:	And what if it's over by the time we get back?
context: I won't let him get away with it!\That's not the issue here!\Gray was thinking about us when he stayed behind!\I'm sick and tired of him acting all cool!\Let's hurry up, Happy!\Does he even listen to a word I say?\Next time: Dead Grand Prix\And what if it's over by the time we get back? response:	In that case I guess I'll just have to fight Gray.
context: That's not the issue here!\Gray was thinking about us when he stayed behind!\I'm sick and tired of him acting all cool!\Let's hurry up, Happy!\Does he even listen to a word I say?\Next time: Dead Grand Prix\And what if it's over by the time we get back?\In that case I guess I'll just have to fight Gray. response:	Why do you have to always be that way?
