context: A long, long time ago, we gods came down to this world response:	the world of you, our children
context: You're that adventurer!\You came!\Yes.\I haven't introduced myself.\My name is Syr Flover.\So you're Syr's friend?\You're pretty cute, for an adventurer.\Please leave me alone. response:	This is 300 valis,
context: You came!\Yes.\I haven't introduced myself.\My name is Syr Flover.\So you're Syr's friend?\You're pretty cute, for an adventurer.\Please leave me alone.\This is 300 valis, response:	and the drink is 200 valis...
context: Yes.\I haven't introduced myself.\My name is Syr Flover.\So you're Syr's friend?\You're pretty cute, for an adventurer.\Please leave me alone.\This is 300 valis,\and the drink is 200 valis... response:	Thanks to that drop item I have 4400 valis,
context: I haven't introduced myself.\My name is Syr Flover.\So you're Syr's friend?\You're pretty cute, for an adventurer.\Please leave me alone.\This is 300 valis,\and the drink is 200 valis...\Thanks to that drop item I have 4400 valis, response:	but I really want to save money for the Familia.
context: My name is Syr Flover.\So you're Syr's friend?\You're pretty cute, for an adventurer.\Please leave me alone.\This is 300 valis,\and the drink is 200 valis...\Thanks to that drop item I have 4400 valis,\but I really want to save money for the Familia. response:	It's not enough, right?
context: So you're Syr's friend?\You're pretty cute, for an adventurer.\Please leave me alone.\This is 300 valis,\and the drink is 200 valis...\Thanks to that drop item I have 4400 valis,\but I really want to save money for the Familia.\It's not enough, right? response:	Here's today's special!
context: You're pretty cute, for an adventurer.\Please leave me alone.\This is 300 valis,\and the drink is 200 valis...\Thanks to that drop item I have 4400 valis,\but I really want to save money for the Familia.\It's not enough, right?\Here's today's special! response:	I didn't order that!
context: Please leave me alone.\This is 300 valis,\and the drink is 200 valis...\Thanks to that drop item I have 4400 valis,\but I really want to save money for the Familia.\It's not enough, right?\Here's today's special!\I didn't order that! response:	Don't hold back! You're still young.
context: This is 300 valis,\and the drink is 200 valis...\Thanks to that drop item I have 4400 valis,\but I really want to save money for the Familia.\It's not enough, right?\Here's today's special!\I didn't order that!\Don't hold back! You're still young. response:	Today's special...
context: and the drink is 200 valis...\Thanks to that drop item I have 4400 valis,\but I really want to save money for the Familia.\It's not enough, right?\Here's today's special!\I didn't order that!\Don't hold back! You're still young.\Today's special... response:	It's 850 valis?!
context: Thanks to that drop item I have 4400 valis,\but I really want to save money for the Familia.\It's not enough, right?\Here's today's special!\I didn't order that!\Don't hold back! You're still young.\Today's special...\It's 850 valis?! response:	Well?
context: but I really want to save money for the Familia.\It's not enough, right?\Here's today's special!\I didn't order that!\Don't hold back! You're still young.\Today's special...\It's 850 valis?!\Well? response:	Are you having fun?
context: It's not enough, right?\Here's today's special!\I didn't order that!\Don't hold back! You're still young.\Today's special...\It's 850 valis?!\Well?\Are you having fun? response:	I'm a little overwhelmed...
context: Here's today's special!\I didn't order that!\Don't hold back! You're still young.\Today's special...\It's 850 valis?!\Well?\Are you having fun?\I'm a little overwhelmed... response:	Sorry.
context: I didn't order that!\Don't hold back! You're still young.\Today's special...\It's 850 valis?!\Well?\Are you having fun?\I'm a little overwhelmed...\Sorry. response:	It looks like I'll be able to count on getting paid a lot tonight.
context: Don't hold back! You're still young.\Today's special...\It's 850 valis?!\Well?\Are you having fun?\I'm a little overwhelmed...\Sorry.\It looks like I'll be able to count on getting paid a lot tonight. response:	I'm glad for you.
context: Today's special...\It's 850 valis?!\Well?\Are you having fun?\I'm a little overwhelmed...\Sorry.\It looks like I'll be able to count on getting paid a lot tonight.\I'm glad for you. response:	Isn't it great how many different kinds of people come here?
context: It's 850 valis?!\Well?\Are you having fun?\I'm a little overwhelmed...\Sorry.\It looks like I'll be able to count on getting paid a lot tonight.\I'm glad for you.\Isn't it great how many different kinds of people come here? response:	When there's so many people, there's so many things to discover...
context: Well?\Are you having fun?\I'm a little overwhelmed...\Sorry.\It looks like I'll be able to count on getting paid a lot tonight.\I'm glad for you.\Isn't it great how many different kinds of people come here?\When there's so many people, there's so many things to discover... response:	I can't help but get excited.
context: Are you having fun?\I'm a little overwhelmed...\Sorry.\It looks like I'll be able to count on getting paid a lot tonight.\I'm glad for you.\Isn't it great how many different kinds of people come here?\When there's so many people, there's so many things to discover...\I can't help but get excited. response:	You could say that my hobby is meeting new people...
context: I'm a little overwhelmed...\Sorry.\It looks like I'll be able to count on getting paid a lot tonight.\I'm glad for you.\Isn't it great how many different kinds of people come here?\When there's so many people, there's so many things to discover...\I can't help but get excited.\You could say that my hobby is meeting new people... response:	It makes my heart pound.
context: Sorry.\It looks like I'll be able to count on getting paid a lot tonight.\I'm glad for you.\Isn't it great how many different kinds of people come here?\When there's so many people, there's so many things to discover...\I can't help but get excited.\You could say that my hobby is meeting new people...\It makes my heart pound. response:	That's a pretty amazing thing to say.
context: It looks like I'll be able to count on getting paid a lot tonight.\I'm glad for you.\Isn't it great how many different kinds of people come here?\When there's so many people, there's so many things to discover...\I can't help but get excited.\You could say that my hobby is meeting new people...\It makes my heart pound.\That's a pretty amazing thing to say. response:	Nya!
context: I'm glad for you.\Isn't it great how many different kinds of people come here?\When there's so many people, there's so many things to discover...\I can't help but get excited.\You could say that my hobby is meeting new people...\It makes my heart pound.\That's a pretty amazing thing to say.\Nya! response:	The customers with reservations have arrived!
context: Isn't it great how many different kinds of people come here?\When there's so many people, there's so many things to discover...\I can't help but get excited.\You could say that my hobby is meeting new people...\It makes my heart pound.\That's a pretty amazing thing to say.\Nya!\The customers with reservations have arrived! response:	Hey, she's gorgeous!
context: When there's so many people, there's so many things to discover...\I can't help but get excited.\You could say that my hobby is meeting new people...\It makes my heart pound.\That's a pretty amazing thing to say.\Nya!\The customers with reservations have arrived!\Hey, she's gorgeous! response:	Idiot! Look at that emblem!
context: I can't help but get excited.\You could say that my hobby is meeting new people...\It makes my heart pound.\That's a pretty amazing thing to say.\Nya!\The customers with reservations have arrived!\Hey, she's gorgeous!\Idiot! Look at that emblem! response:	That's the Loki Familia!
context: You could say that my hobby is meeting new people...\It makes my heart pound.\That's a pretty amazing thing to say.\Nya!\The customers with reservations have arrived!\Hey, she's gorgeous!\Idiot! Look at that emblem!\That's the Loki Familia! response:	The Giant-Killing Familia?
context: It makes my heart pound.\That's a pretty amazing thing to say.\Nya!\The customers with reservations have arrived!\Hey, she's gorgeous!\Idiot! Look at that emblem!\That's the Loki Familia!\The Giant-Killing Familia? response:	So that's the Sword Princess?
context: That's a pretty amazing thing to say.\Nya!\The customers with reservations have arrived!\Hey, she's gorgeous!\Idiot! Look at that emblem!\That's the Loki Familia!\The Giant-Killing Familia?\So that's the Sword Princess? response:	Mister Bell?
context: Nya!\The customers with reservations have arrived!\Hey, she's gorgeous!\Idiot! Look at that emblem!\That's the Loki Familia!\The Giant-Killing Familia?\So that's the Sword Princess?\Mister Bell? response:	Mister Bell?
context: The customers with reservations have arrived!\Hey, she's gorgeous!\Idiot! Look at that emblem!\That's the Loki Familia!\The Giant-Killing Familia?\So that's the Sword Princess?\Mister Bell?\Mister Bell? response:	Good work out there in the dungeon, guys!
context: Hey, she's gorgeous!\Idiot! Look at that emblem!\That's the Loki Familia!\The Giant-Killing Familia?\So that's the Sword Princess?\Mister Bell?\Mister Bell?\Good work out there in the dungeon, guys! response:	We're having a feast tonight!
context: Idiot! Look at that emblem!\That's the Loki Familia!\The Giant-Killing Familia?\So that's the Sword Princess?\Mister Bell?\Mister Bell?\Good work out there in the dungeon, guys!\We're having a feast tonight! response:	Drink up!
context: That's the Loki Familia!\The Giant-Killing Familia?\So that's the Sword Princess?\Mister Bell?\Mister Bell?\Good work out there in the dungeon, guys!\We're having a feast tonight!\Drink up! response:	Okay, let's get drunk!
context: The Giant-Killing Familia?\So that's the Sword Princess?\Mister Bell?\Mister Bell?\Good work out there in the dungeon, guys!\We're having a feast tonight!\Drink up!\Okay, let's get drunk! response:	Cheers.
context: So that's the Sword Princess?\Mister Bell?\Mister Bell?\Good work out there in the dungeon, guys!\We're having a feast tonight!\Drink up!\Okay, let's get drunk!\Cheers. response:	Cheers.
context: Mister Bell?\Mister Bell?\Good work out there in the dungeon, guys!\We're having a feast tonight!\Drink up!\Okay, let's get drunk!\Cheers.\Cheers. response:	The Loki Familia are regular customers.
context: Mister Bell?\Good work out there in the dungeon, guys!\We're having a feast tonight!\Drink up!\Okay, let's get drunk!\Cheers.\Cheers.\The Loki Familia are regular customers. response:	It seems their goddess, Lady Loki, really likes this place.
context: Good work out there in the dungeon, guys!\We're having a feast tonight!\Drink up!\Okay, let's get drunk!\Cheers.\Cheers.\The Loki Familia are regular customers.\It seems their goddess, Lady Loki, really likes this place. response:	That hurts, Aiz-tan.
context: We're having a feast tonight!\Drink up!\Okay, let's get drunk!\Cheers.\Cheers.\The Loki Familia are regular customers.\It seems their goddess, Lady Loki, really likes this place.\That hurts, Aiz-tan. response:	You brought it on yourself.
context: Drink up!\Okay, let's get drunk!\Cheers.\Cheers.\The Loki Familia are regular customers.\It seems their goddess, Lady Loki, really likes this place.\That hurts, Aiz-tan.\You brought it on yourself. response:	Then if I come here...
context: Okay, let's get drunk!\Cheers.\Cheers.\The Loki Familia are regular customers.\It seems their goddess, Lady Loki, really likes this place.\That hurts, Aiz-tan.\You brought it on yourself.\Then if I come here... response:	Thank you!
context: Cheers.\Cheers.\The Loki Familia are regular customers.\It seems their goddess, Lady Loki, really likes this place.\That hurts, Aiz-tan.\You brought it on yourself.\Then if I come here...\Thank you! response:	I'll be back!
context: Cheers.\The Loki Familia are regular customers.\It seems their goddess, Lady Loki, really likes this place.\That hurts, Aiz-tan.\You brought it on yourself.\Then if I come here...\Thank you!\I'll be back! response:	Okay!
context: The Loki Familia are regular customers.\It seems their goddess, Lady Loki, really likes this place.\That hurts, Aiz-tan.\You brought it on yourself.\Then if I come here...\Thank you!\I'll be back!\Okay! response:	Aiz, let's tell them all about that thing.
context: It seems their goddess, Lady Loki, really likes this place.\That hurts, Aiz-tan.\You brought it on yourself.\Then if I come here...\Thank you!\I'll be back!\Okay!\Aiz, let's tell them all about that thing. response:	That thing?
context: That hurts, Aiz-tan.\You brought it on yourself.\Then if I come here...\Thank you!\I'll be back!\Okay!\Aiz, let's tell them all about that thing.\That thing? response:	You know!
context: You brought it on yourself.\Then if I come here...\Thank you!\I'll be back!\Okay!\Aiz, let's tell them all about that thing.\That thing?\You know! response:	We let a bunch of minotaurs escape on our way back.
context: Then if I come here...\Thank you!\I'll be back!\Okay!\Aiz, let's tell them all about that thing.\That thing?\You know!\We let a bunch of minotaurs escape on our way back. response:	You took out the last one on the fifth floor, right?
context: Thank you!\I'll be back!\Okay!\Aiz, let's tell them all about that thing.\That thing?\You know!\We let a bunch of minotaurs escape on our way back.\You took out the last one on the fifth floor, right? response:	And you remember that tomato dork who was there, right?
context: I'll be back!\Okay!\Aiz, let's tell them all about that thing.\That thing?\You know!\We let a bunch of minotaurs escape on our way back.\You took out the last one on the fifth floor, right?\And you remember that tomato dork who was there, right? response:	A wimpy little kid who'd obviously just started adventuring
context: Okay!\Aiz, let's tell them all about that thing.\That thing?\You know!\We let a bunch of minotaurs escape on our way back.\You took out the last one on the fifth floor, right?\And you remember that tomato dork who was there, right?\A wimpy little kid who'd obviously just started adventuring response:	got cornered by one of the minotaurs who ran from us.
context: Aiz, let's tell them all about that thing.\That thing?\You know!\We let a bunch of minotaurs escape on our way back.\You took out the last one on the fifth floor, right?\And you remember that tomato dork who was there, right?\A wimpy little kid who'd obviously just started adventuring\got cornered by one of the minotaurs who ran from us. response:	When Aiz cleaved the minotaur apart, its stinky blood got all over him,
context: That thing?\You know!\We let a bunch of minotaurs escape on our way back.\You took out the last one on the fifth floor, right?\And you remember that tomato dork who was there, right?\A wimpy little kid who'd obviously just started adventuring\got cornered by one of the minotaurs who ran from us.\When Aiz cleaved the minotaur apart, its stinky blood got all over him, response:	and he looked like a bright red tomato!
context: You know!\We let a bunch of minotaurs escape on our way back.\You took out the last one on the fifth floor, right?\And you remember that tomato dork who was there, right?\A wimpy little kid who'd obviously just started adventuring\got cornered by one of the minotaurs who ran from us.\When Aiz cleaved the minotaur apart, its stinky blood got all over him,\and he looked like a bright red tomato! response:	And get this!
context: We let a bunch of minotaurs escape on our way back.\You took out the last one on the fifth floor, right?\And you remember that tomato dork who was there, right?\A wimpy little kid who'd obviously just started adventuring\got cornered by one of the minotaurs who ran from us.\When Aiz cleaved the minotaur apart, its stinky blood got all over him,\and he looked like a bright red tomato!\And get this! response:	The tomato dork ran off screaming.
context: You took out the last one on the fifth floor, right?\And you remember that tomato dork who was there, right?\A wimpy little kid who'd obviously just started adventuring\got cornered by one of the minotaurs who ran from us.\When Aiz cleaved the minotaur apart, its stinky blood got all over him,\and he looked like a bright red tomato!\And get this!\The tomato dork ran off screaming. response:	Our princess saved him and he ran away from her!
context: And you remember that tomato dork who was there, right?\A wimpy little kid who'd obviously just started adventuring\got cornered by one of the minotaurs who ran from us.\When Aiz cleaved the minotaur apart, its stinky blood got all over him,\and he looked like a bright red tomato!\And get this!\The tomato dork ran off screaming.\Our princess saved him and he ran away from her! response:	How pathetic is that?
context: A wimpy little kid who'd obviously just started adventuring\got cornered by one of the minotaurs who ran from us.\When Aiz cleaved the minotaur apart, its stinky blood got all over him,\and he looked like a bright red tomato!\And get this!\The tomato dork ran off screaming.\Our princess saved him and he ran away from her!\How pathetic is that? response:	I think in that situation, he can hardly be blamed.
context: got cornered by one of the minotaurs who ran from us.\When Aiz cleaved the minotaur apart, its stinky blood got all over him,\and he looked like a bright red tomato!\And get this!\The tomato dork ran off screaming.\Our princess saved him and he ran away from her!\How pathetic is that?\I think in that situation, he can hardly be blamed. response:	Enough, Bete.
context: When Aiz cleaved the minotaur apart, its stinky blood got all over him,\and he looked like a bright red tomato!\And get this!\The tomato dork ran off screaming.\Our princess saved him and he ran away from her!\How pathetic is that?\I think in that situation, he can hardly be blamed.\Enough, Bete. response:	It was our fault for letting the minotaurs escape from the seventeenth floor.
context: and he looked like a bright red tomato!\And get this!\The tomato dork ran off screaming.\Our princess saved him and he ran away from her!\How pathetic is that?\I think in that situation, he can hardly be blamed.\Enough, Bete.\It was our fault for letting the minotaurs escape from the seventeenth floor. response:	You should be ashamed.
context: And get this!\The tomato dork ran off screaming.\Our princess saved him and he ran away from her!\How pathetic is that?\I think in that situation, he can hardly be blamed.\Enough, Bete.\It was our fault for letting the minotaurs escape from the seventeenth floor.\You should be ashamed. response:	What's wrong with saying trash is trash?
context: The tomato dork ran off screaming.\Our princess saved him and he ran away from her!\How pathetic is that?\I think in that situation, he can hardly be blamed.\Enough, Bete.\It was our fault for letting the minotaurs escape from the seventeenth floor.\You should be ashamed.\What's wrong with saying trash is trash? response:	What do you think, Aiz?
context: Our princess saved him and he ran away from her!\How pathetic is that?\I think in that situation, he can hardly be blamed.\Enough, Bete.\It was our fault for letting the minotaurs escape from the seventeenth floor.\You should be ashamed.\What's wrong with saying trash is trash?\What do you think, Aiz? response:	Just hypothetically,
context: How pathetic is that?\I think in that situation, he can hardly be blamed.\Enough, Bete.\It was our fault for letting the minotaurs escape from the seventeenth floor.\You should be ashamed.\What's wrong with saying trash is trash?\What do you think, Aiz?\Just hypothetically, response:	who would you choose?
context: I think in that situation, he can hardly be blamed.\Enough, Bete.\It was our fault for letting the minotaurs escape from the seventeenth floor.\You should be ashamed.\What's wrong with saying trash is trash?\What do you think, Aiz?\Just hypothetically,\who would you choose? response:	Me? Or the tomato dork?
context: Enough, Bete.\It was our fault for letting the minotaurs escape from the seventeenth floor.\You should be ashamed.\What's wrong with saying trash is trash?\What do you think, Aiz?\Just hypothetically,\who would you choose?\Me? Or the tomato dork? response:	Bete, you're drunk, aren't you?
context: It was our fault for letting the minotaurs escape from the seventeenth floor.\You should be ashamed.\What's wrong with saying trash is trash?\What do you think, Aiz?\Just hypothetically,\who would you choose?\Me? Or the tomato dork?\Bete, you're drunk, aren't you? response:	I'm talking to you, Aiz!
context: You should be ashamed.\What's wrong with saying trash is trash?\What do you think, Aiz?\Just hypothetically,\who would you choose?\Me? Or the tomato dork?\Bete, you're drunk, aren't you?\I'm talking to you, Aiz! response:	If that kid asked you out, would you say yes?
context: What's wrong with saying trash is trash?\What do you think, Aiz?\Just hypothetically,\who would you choose?\Me? Or the tomato dork?\Bete, you're drunk, aren't you?\I'm talking to you, Aiz!\If that kid asked you out, would you say yes? response:	No way, right?
context: What do you think, Aiz?\Just hypothetically,\who would you choose?\Me? Or the tomato dork?\Bete, you're drunk, aren't you?\I'm talking to you, Aiz!\If that kid asked you out, would you say yes?\No way, right? response:	A wimp who's weaker than you has no right to stand beside you.
context: Just hypothetically,\who would you choose?\Me? Or the tomato dork?\Bete, you're drunk, aren't you?\I'm talking to you, Aiz!\If that kid asked you out, would you say yes?\No way, right?\A wimp who's weaker than you has no right to stand beside you. response:	You yourself would never allow that!
context: who would you choose?\Me? Or the tomato dork?\Bete, you're drunk, aren't you?\I'm talking to you, Aiz!\If that kid asked you out, would you say yes?\No way, right?\A wimp who's weaker than you has no right to stand beside you.\You yourself would never allow that! response:	A wimp isn't good enough for you.
context: Me? Or the tomato dork?\Bete, you're drunk, aren't you?\I'm talking to you, Aiz!\If that kid asked you out, would you say yes?\No way, right?\A wimp who's weaker than you has no right to stand beside you.\You yourself would never allow that!\A wimp isn't good enough for you. response:	Not for Aiz Wallenstein.
context: Bete, you're drunk, aren't you?\I'm talking to you, Aiz!\If that kid asked you out, would you say yes?\No way, right?\A wimp who's weaker than you has no right to stand beside you.\You yourself would never allow that!\A wimp isn't good enough for you.\Not for Aiz Wallenstein. response:	Mister Bell!
context: I'm talking to you, Aiz!\If that kid asked you out, would you say yes?\No way, right?\A wimp who's weaker than you has no right to stand beside you.\You yourself would never allow that!\A wimp isn't good enough for you.\Not for Aiz Wallenstein.\Mister Bell! response:	What? A dine-and-dash?
context: If that kid asked you out, would you say yes?\No way, right?\A wimp who's weaker than you has no right to stand beside you.\You yourself would never allow that!\A wimp isn't good enough for you.\Not for Aiz Wallenstein.\Mister Bell!\What? A dine-and-dash? response:	Miss Aiz?
context: No way, right?\A wimp who's weaker than you has no right to stand beside you.\You yourself would never allow that!\A wimp isn't good enough for you.\Not for Aiz Wallenstein.\Mister Bell!\What? A dine-and-dash?\Miss Aiz? response:	He's got guts, trying to pull that at Mama Mia's house!
context: A wimp who's weaker than you has no right to stand beside you.\You yourself would never allow that!\A wimp isn't good enough for you.\Not for Aiz Wallenstein.\Mister Bell!\What? A dine-and-dash?\Miss Aiz?\He's got guts, trying to pull that at Mama Mia's house! response:	Was that...?
context: You yourself would never allow that!\A wimp isn't good enough for you.\Not for Aiz Wallenstein.\Mister Bell!\What? A dine-and-dash?\Miss Aiz?\He's got guts, trying to pull that at Mama Mia's house!\Was that...? response:	Why is this happening to me?
context: A wimp isn't good enough for you.\Not for Aiz Wallenstein.\Mister Bell!\What? A dine-and-dash?\Miss Aiz?\He's got guts, trying to pull that at Mama Mia's house!\Was that...?\Why is this happening to me? response:	You're drunk.
context: Not for Aiz Wallenstein.\Mister Bell!\What? A dine-and-dash?\Miss Aiz?\He's got guts, trying to pull that at Mama Mia's house!\Was that...?\Why is this happening to me?\You're drunk. response:	Cool off for a bit.
context: Mister Bell!\What? A dine-and-dash?\Miss Aiz?\He's got guts, trying to pull that at Mama Mia's house!\Was that...?\Why is this happening to me?\You're drunk.\Cool off for a bit. response:	Damn it!
context: What? A dine-and-dash?\Miss Aiz?\He's got guts, trying to pull that at Mama Mia's house!\Was that...?\Why is this happening to me?\You're drunk.\Cool off for a bit.\Damn it! response:	Damn it!
context: Miss Aiz?\He's got guts, trying to pull that at Mama Mia's house!\Was that...?\Why is this happening to me?\You're drunk.\Cool off for a bit.\Damn it!\Damn it! response:	Damn it!
context: He's got guts, trying to pull that at Mama Mia's house!\Was that...?\Why is this happening to me?\You're drunk.\Cool off for a bit.\Damn it!\Damn it!\Damn it! response:	I can't forgive myself...
context: Was that...?\Why is this happening to me?\You're drunk.\Cool off for a bit.\Damn it!\Damn it!\Damn it!\I can't forgive myself... response:	I wanted something to happen without doing anything myself!
context: Why is this happening to me?\You're drunk.\Cool off for a bit.\Damn it!\Damn it!\Damn it!\I can't forgive myself...\I wanted something to happen without doing anything myself! response:	I have to do it...
context: You're drunk.\Cool off for a bit.\Damn it!\Damn it!\Damn it!\I can't forgive myself...\I wanted something to happen without doing anything myself!\I have to do it... response:	I have to do it all...
context: Cool off for a bit.\Damn it!\Damn it!\Damn it!\I can't forgive myself...\I wanted something to happen without doing anything myself!\I have to do it...\I have to do it all... response:	Or I can't even stand by her side!
context: Damn it!\Damn it!\Damn it!\I can't forgive myself...\I wanted something to happen without doing anything myself!\I have to do it...\I have to do it all...\Or I can't even stand by her side! response:	War Shadows?
context: Damn it!\Damn it!\I can't forgive myself...\I wanted something to happen without doing anything myself!\I have to do it...\I have to do it all...\Or I can't even stand by her side!\War Shadows? response:	Gotta do it!
context: Damn it!\I can't forgive myself...\I wanted something to happen without doing anything myself!\I have to do it...\I have to do it all...\Or I can't even stand by her side!\War Shadows?\Gotta do it! response:	Gotta do it!
context: I can't forgive myself...\I wanted something to happen without doing anything myself!\I have to do it...\I have to do it all...\Or I can't even stand by her side!\War Shadows?\Gotta do it!\Gotta do it! response:	Gotta do it!
context: I wanted something to happen without doing anything myself!\I have to do it...\I have to do it all...\Or I can't even stand by her side!\War Shadows?\Gotta do it!\Gotta do it!\Gotta do it! response:	Gotta do it!
context: I have to do it...\I have to do it all...\Or I can't even stand by her side!\War Shadows?\Gotta do it!\Gotta do it!\Gotta do it!\Gotta do it! response:	Gotta do it!
context: I have to do it all...\Or I can't even stand by her side!\War Shadows?\Gotta do it!\Gotta do it!\Gotta do it!\Gotta do it!\Gotta do it! response:	Gotta do it!
context: Or I can't even stand by her side!\War Shadows?\Gotta do it!\Gotta do it!\Gotta do it!\Gotta do it!\Gotta do it!\Gotta do it! response:	If you want to get there...
context: War Shadows?\Gotta do it!\Gotta do it!\Gotta do it!\Gotta do it!\Gotta do it!\Gotta do it!\If you want to get there... response:	Where did Bell go?
context: Gotta do it!\Gotta do it!\Gotta do it!\Gotta do it!\Gotta do it!\Gotta do it!\If you want to get there...\Where did Bell go? response:	He never came home last night.
context: Gotta do it!\Gotta do it!\Gotta do it!\Gotta do it!\Gotta do it!\If you want to get there...\Where did Bell go?\He never came home last night. response:	Maybe he's never...
context: Gotta do it!\Gotta do it!\Gotta do it!\Gotta do it!\If you want to get there...\Where did Bell go?\He never came home last night.\Maybe he's never... response:	Bell?
context: Gotta do it!\Gotta do it!\Gotta do it!\If you want to get there...\Where did Bell go?\He never came home last night.\Maybe he's never...\Bell? response:	Bell!
context: Gotta do it!\Gotta do it!\If you want to get there...\Where did Bell go?\He never came home last night.\Maybe he's never...\Bell?\Bell! response:	Goddess...
context: Gotta do it!\If you want to get there...\Where did Bell go?\He never came home last night.\Maybe he's never...\Bell?\Bell!\Goddess... response:	I want to get stronger.
context: If you want to get there...\Where did Bell go?\He never came home last night.\Maybe he's never...\Bell?\Bell!\Goddess...\I want to get stronger. response:	Okay.
context: Where did Bell go?\He never came home last night.\Maybe he's never...\Bell?\Bell!\Goddess...\I want to get stronger.\Okay. response:	Is It Wrong to Try to Pick Up Girls in a Dungeon?
context: He never came home last night.\Maybe he's never...\Bell?\Bell!\Goddess...\I want to get stronger.\Okay.\Is It Wrong to Try to Pick Up Girls in a Dungeon? response:	Listen, Bell.
context: Maybe he's never...\Bell?\Bell!\Goddess...\I want to get stronger.\Okay.\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Listen, Bell. response:	You're sleeping on the bed, not the sofa, today.
context: Bell?\Bell!\Goddess...\I want to get stronger.\Okay.\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Listen, Bell.\You're sleeping on the bed, not the sofa, today. response:	You're hurt, so don't worry about it, okay?
context: Bell!\Goddess...\I want to get stronger.\Okay.\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Listen, Bell.\You're sleeping on the bed, not the sofa, today.\You're hurt, so don't worry about it, okay? response:	Sorry, Goddess...
context: Goddess...\I want to get stronger.\Okay.\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Listen, Bell.\You're sleeping on the bed, not the sofa, today.\You're hurt, so don't worry about it, okay?\Sorry, Goddess... response:	I'm so tired...
context: I want to get stronger.\Okay.\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Listen, Bell.\You're sleeping on the bed, not the sofa, today.\You're hurt, so don't worry about it, okay?\Sorry, Goddess...\I'm so tired... response:	Maybe I'll sleep next to you in exchange.
context: Okay.\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Listen, Bell.\You're sleeping on the bed, not the sofa, today.\You're hurt, so don't worry about it, okay?\Sorry, Goddess...\I'm so tired...\Maybe I'll sleep next to you in exchange. response:	That's fine.
context: Is It Wrong to Try to Pick Up Girls in a Dungeon?\Listen, Bell.\You're sleeping on the bed, not the sofa, today.\You're hurt, so don't worry about it, okay?\Sorry, Goddess...\I'm so tired...\Maybe I'll sleep next to you in exchange.\That's fine. response:	Let's sleep together.
context: Listen, Bell.\You're sleeping on the bed, not the sofa, today.\You're hurt, so don't worry about it, okay?\Sorry, Goddess...\I'm so tired...\Maybe I'll sleep next to you in exchange.\That's fine.\Let's sleep together. response:	What?
context: You're sleeping on the bed, not the sofa, today.\You're hurt, so don't worry about it, okay?\Sorry, Goddess...\I'm so tired...\Maybe I'll sleep next to you in exchange.\That's fine.\Let's sleep together.\What? response:	Wait, Bell!
context: You're hurt, so don't worry about it, okay?\Sorry, Goddess...\I'm so tired...\Maybe I'll sleep next to you in exchange.\That's fine.\Let's sleep together.\What?\Wait, Bell! response:	Normally, you'd freak out.
context: Sorry, Goddess...\I'm so tired...\Maybe I'll sleep next to you in exchange.\That's fine.\Let's sleep together.\What?\Wait, Bell!\Normally, you'd freak out. response:	That's what I was hoping for when I said it!
context: I'm so tired...\Maybe I'll sleep next to you in exchange.\That's fine.\Let's sleep together.\What?\Wait, Bell!\Normally, you'd freak out.\That's what I was hoping for when I said it! response:	So basically, you see...
context: Maybe I'll sleep next to you in exchange.\That's fine.\Let's sleep together.\What?\Wait, Bell!\Normally, you'd freak out.\That's what I was hoping for when I said it!\So basically, you see... response:	He's already asleep!
context: That's fine.\Let's sleep together.\What?\Wait, Bell!\Normally, you'd freak out.\That's what I was hoping for when I said it!\So basically, you see...\He's already asleep! response:	Monsterphilia Monster Festival
context: Let's sleep together.\What?\Wait, Bell!\Normally, you'd freak out.\That's what I was hoping for when I said it!\So basically, you see...\He's already asleep!\Monsterphilia Monster Festival response:	Next Time
context: What?\Wait, Bell!\Normally, you'd freak out.\That's what I was hoping for when I said it!\So basically, you see...\He's already asleep!\Monsterphilia Monster Festival\Next Time response:	Next time: Monsterphilia.
