context: What is this? response:	It's a statement from the group responsible for the attacks.
context: Sorry for the late notice, but we won't be able to work for three nights, starting today.\What happened?\Construction work. Remember the problems we were having with the bathroom?\Oh, I see.\You'll be on paid leave while the construction's going on.\That's very kind of you.\A-Aniki, what did you just say?\I said I'm going to divide the organization. response:	The organization...
context: What happened?\Construction work. Remember the problems we were having with the bathroom?\Oh, I see.\You'll be on paid leave while the construction's going on.\That's very kind of you.\A-Aniki, what did you just say?\I said I'm going to divide the organization.\The organization... response:	I'm indebted to the boss, but he's become senile.
context: Construction work. Remember the problems we were having with the bathroom?\Oh, I see.\You'll be on paid leave while the construction's going on.\That's very kind of you.\A-Aniki, what did you just say?\I said I'm going to divide the organization.\The organization...\I'm indebted to the boss, but he's become senile. response:	A gangster in need of stability isn't much of a gangster.
context: Oh, I see.\You'll be on paid leave while the construction's going on.\That's very kind of you.\A-Aniki, what did you just say?\I said I'm going to divide the organization.\The organization...\I'm indebted to the boss, but he's become senile.\A gangster in need of stability isn't much of a gangster. response:	Why are you telling me this?
context: You'll be on paid leave while the construction's going on.\That's very kind of you.\A-Aniki, what did you just say?\I said I'm going to divide the organization.\The organization...\I'm indebted to the boss, but he's become senile.\A gangster in need of stability isn't much of a gangster.\Why are you telling me this? response:	I have a job for you.
context: That's very kind of you.\A-Aniki, what did you just say?\I said I'm going to divide the organization.\The organization...\I'm indebted to the boss, but he's become senile.\A gangster in need of stability isn't much of a gangster.\Why are you telling me this?\I have a job for you. response:	Kenji, come with me.
context: A-Aniki, what did you just say?\I said I'm going to divide the organization.\The organization...\I'm indebted to the boss, but he's become senile.\A gangster in need of stability isn't much of a gangster.\Why are you telling me this?\I have a job for you.\Kenji, come with me. response:	A-Aniki, what is this?
context: I said I'm going to divide the organization.\The organization...\I'm indebted to the boss, but he's become senile.\A gangster in need of stability isn't much of a gangster.\Why are you telling me this?\I have a job for you.\Kenji, come with me.\A-Aniki, what is this? response:	It can't be...
context: The organization...\I'm indebted to the boss, but he's become senile.\A gangster in need of stability isn't much of a gangster.\Why are you telling me this?\I have a job for you.\Kenji, come with me.\A-Aniki, what is this?\It can't be... response:	Hey.
context: I'm indebted to the boss, but he's become senile.\A gangster in need of stability isn't much of a gangster.\Why are you telling me this?\I have a job for you.\Kenji, come with me.\A-Aniki, what is this?\It can't be...\Hey. response:	Are you surprised?
context: A gangster in need of stability isn't much of a gangster.\Why are you telling me this?\I have a job for you.\Kenji, come with me.\A-Aniki, what is this?\It can't be...\Hey.\Are you surprised? response:	Aniki!
context: Why are you telling me this?\I have a job for you.\Kenji, come with me.\A-Aniki, what is this?\It can't be...\Hey.\Are you surprised?\Aniki! response:	Wake up.
context: I have a job for you.\Kenji, come with me.\A-Aniki, what is this?\It can't be...\Hey.\Are you surprised?\Aniki!\Wake up. response:	A-Aniki, this is...
context: Kenji, come with me.\A-Aniki, what is this?\It can't be...\Hey.\Are you surprised?\Aniki!\Wake up.\A-Aniki, this is... response:	A doll.
context: A-Aniki, what is this?\It can't be...\Hey.\Are you surprised?\Aniki!\Wake up.\A-Aniki, this is...\A doll. response:	Doll? She's human!
context: It can't be...\Hey.\Are you surprised?\Aniki!\Wake up.\A-Aniki, this is...\A doll.\Doll? She's human! response:	Wrong.
context: Hey.\Are you surprised?\Aniki!\Wake up.\A-Aniki, this is...\A doll.\Doll? She's human!\Wrong. response:	It's a state-of-the-art doll that will do anything it's told to do.
context: Are you surprised?\Aniki!\Wake up.\A-Aniki, this is...\A doll.\Doll? She's human!\Wrong.\It's a state-of-the-art doll that will do anything it's told to do. response:	There are rich people out there who want these kinds of toys.
context: Aniki!\Wake up.\A-Aniki, this is...\A doll.\Doll? She's human!\Wrong.\It's a state-of-the-art doll that will do anything it's told to do.\There are rich people out there who want these kinds of toys. response:	Take care of her for the next two or three days.
context: Wake up.\A-Aniki, this is...\A doll.\Doll? She's human!\Wrong.\It's a state-of-the-art doll that will do anything it's told to do.\There are rich people out there who want these kinds of toys.\Take care of her for the next two or three days. response:	If you don't feed her, she'll die.
context: A-Aniki, this is...\A doll.\Doll? She's human!\Wrong.\It's a state-of-the-art doll that will do anything it's told to do.\There are rich people out there who want these kinds of toys.\Take care of her for the next two or three days.\If you don't feed her, she'll die. response:	You'll have to take care of her excretions, too.
context: A doll.\Doll? She's human!\Wrong.\It's a state-of-the-art doll that will do anything it's told to do.\There are rich people out there who want these kinds of toys.\Take care of her for the next two or three days.\If you don't feed her, she'll die.\You'll have to take care of her excretions, too. response:	She's precious merchandise.
context: Doll? She's human!\Wrong.\It's a state-of-the-art doll that will do anything it's told to do.\There are rich people out there who want these kinds of toys.\Take care of her for the next two or three days.\If you don't feed her, she'll die.\You'll have to take care of her excretions, too.\She's precious merchandise. response:	Make sure you keep her clean.
context: Wrong.\It's a state-of-the-art doll that will do anything it's told to do.\There are rich people out there who want these kinds of toys.\Take care of her for the next two or three days.\If you don't feed her, she'll die.\You'll have to take care of her excretions, too.\She's precious merchandise.\Make sure you keep her clean. response:	Merchandise...
context: It's a state-of-the-art doll that will do anything it's told to do.\There are rich people out there who want these kinds of toys.\Take care of her for the next two or three days.\If you don't feed her, she'll die.\You'll have to take care of her excretions, too.\She's precious merchandise.\Make sure you keep her clean.\Merchandise... response:	I'm counting on you.
context: There are rich people out there who want these kinds of toys.\Take care of her for the next two or three days.\If you don't feed her, she'll die.\You'll have to take care of her excretions, too.\She's precious merchandise.\Make sure you keep her clean.\Merchandise...\I'm counting on you. response:	Don't get caught up with dirty thoughts.
context: Take care of her for the next two or three days.\If you don't feed her, she'll die.\You'll have to take care of her excretions, too.\She's precious merchandise.\Make sure you keep her clean.\Merchandise...\I'm counting on you.\Don't get caught up with dirty thoughts. response:	Um...
context: If you don't feed her, she'll die.\You'll have to take care of her excretions, too.\She's precious merchandise.\Make sure you keep her clean.\Merchandise...\I'm counting on you.\Don't get caught up with dirty thoughts.\Um... response:	Why did you get him involved?
context: You'll have to take care of her excretions, too.\She's precious merchandise.\Make sure you keep her clean.\Merchandise...\I'm counting on you.\Don't get caught up with dirty thoughts.\Um...\Why did you get him involved? response:	The merchandise might become tainted unless an idiot like him takes care of it.
context: She's precious merchandise.\Make sure you keep her clean.\Merchandise...\I'm counting on you.\Don't get caught up with dirty thoughts.\Um...\Why did you get him involved?\The merchandise might become tainted unless an idiot like him takes care of it. response:	Don't worry. He doesn't have the balls to betray me.
context: Make sure you keep her clean.\Merchandise...\I'm counting on you.\Don't get caught up with dirty thoughts.\Um...\Why did you get him involved?\The merchandise might become tainted unless an idiot like him takes care of it.\Don't worry. He doesn't have the balls to betray me. response:	I thought I'd have to kill someone since he said he had a job for me.
context: Merchandise...\I'm counting on you.\Don't get caught up with dirty thoughts.\Um...\Why did you get him involved?\The merchandise might become tainted unless an idiot like him takes care of it.\Don't worry. He doesn't have the balls to betray me.\I thought I'd have to kill someone since he said he had a job for me. response:	Hey, you. Where did you come from?
context: I'm counting on you.\Don't get caught up with dirty thoughts.\Um...\Why did you get him involved?\The merchandise might become tainted unless an idiot like him takes care of it.\Don't worry. He doesn't have the balls to betray me.\I thought I'd have to kill someone since he said he had a job for me.\Hey, you. Where did you come from? response:	What's your name?
context: Don't get caught up with dirty thoughts.\Um...\Why did you get him involved?\The merchandise might become tainted unless an idiot like him takes care of it.\Don't worry. He doesn't have the balls to betray me.\I thought I'd have to kill someone since he said he had a job for me.\Hey, you. Where did you come from?\What's your name? response:	You don't understand Japanese, do you?
context: Um...\Why did you get him involved?\The merchandise might become tainted unless an idiot like him takes care of it.\Don't worry. He doesn't have the balls to betray me.\I thought I'd have to kill someone since he said he had a job for me.\Hey, you. Where did you come from?\What's your name?\You don't understand Japanese, do you? response:	Don't look at me like that.
context: Why did you get him involved?\The merchandise might become tainted unless an idiot like him takes care of it.\Don't worry. He doesn't have the balls to betray me.\I thought I'd have to kill someone since he said he had a job for me.\Hey, you. Where did you come from?\What's your name?\You don't understand Japanese, do you?\Don't look at me like that. response:	What are they going to do with you?
context: The merchandise might become tainted unless an idiot like him takes care of it.\Don't worry. He doesn't have the balls to betray me.\I thought I'd have to kill someone since he said he had a job for me.\Hey, you. Where did you come from?\What's your name?\You don't understand Japanese, do you?\Don't look at me like that.\What are they going to do with you? response:	BK201-related information? I already told you everything I know.
context: Don't worry. He doesn't have the balls to betray me.\I thought I'd have to kill someone since he said he had a job for me.\Hey, you. Where did you come from?\What's your name?\You don't understand Japanese, do you?\Don't look at me like that.\What are they going to do with you?\BK201-related information? I already told you everything I know. response:	I'm sure you have, but it still doesn't make sense for some reason.
context: I thought I'd have to kill someone since he said he had a job for me.\Hey, you. Where did you come from?\What's your name?\You don't understand Japanese, do you?\Don't look at me like that.\What are they going to do with you?\BK201-related information? I already told you everything I know.\I'm sure you have, but it still doesn't make sense for some reason. response:	The mysterious group that calls itself E.P.R., their statement,
context: Hey, you. Where did you come from?\What's your name?\You don't understand Japanese, do you?\Don't look at me like that.\What are they going to do with you?\BK201-related information? I already told you everything I know.\I'm sure you have, but it still doesn't make sense for some reason.\The mysterious group that calls itself E.P.R., their statement, response:	and BK201.
context: What's your name?\You don't understand Japanese, do you?\Don't look at me like that.\What are they going to do with you?\BK201-related information? I already told you everything I know.\I'm sure you have, but it still doesn't make sense for some reason.\The mysterious group that calls itself E.P.R., their statement,\and BK201. response:	Are they enemies or are they working independently?
context: You don't understand Japanese, do you?\Don't look at me like that.\What are they going to do with you?\BK201-related information? I already told you everything I know.\I'm sure you have, but it still doesn't make sense for some reason.\The mysterious group that calls itself E.P.R., their statement,\and BK201.\Are they enemies or are they working independently? response:	What's his objective in the first place?
context: Don't look at me like that.\What are they going to do with you?\BK201-related information? I already told you everything I know.\I'm sure you have, but it still doesn't make sense for some reason.\The mysterious group that calls itself E.P.R., their statement,\and BK201.\Are they enemies or are they working independently?\What's his objective in the first place? response:	We don't know anything,
context: What are they going to do with you?\BK201-related information? I already told you everything I know.\I'm sure you have, but it still doesn't make sense for some reason.\The mysterious group that calls itself E.P.R., their statement,\and BK201.\Are they enemies or are they working independently?\What's his objective in the first place?\We don't know anything, response:	yet they're telling us to go after them.
context: BK201-related information? I already told you everything I know.\I'm sure you have, but it still doesn't make sense for some reason.\The mysterious group that calls itself E.P.R., their statement,\and BK201.\Are they enemies or are they working independently?\What's his objective in the first place?\We don't know anything,\yet they're telling us to go after them. response:	Say, did Hoshimi-sama say anything else?
context: I'm sure you have, but it still doesn't make sense for some reason.\The mysterious group that calls itself E.P.R., their statement,\and BK201.\Are they enemies or are they working independently?\What's his objective in the first place?\We don't know anything,\yet they're telling us to go after them.\Say, did Hoshimi-sama say anything else? response:	Any new analytical data...
context: The mysterious group that calls itself E.P.R., their statement,\and BK201.\Are they enemies or are they working independently?\What's his objective in the first place?\We don't know anything,\yet they're telling us to go after them.\Say, did Hoshimi-sama say anything else?\Any new analytical data... response:	Hey, that's enough.
context: and BK201.\Are they enemies or are they working independently?\What's his objective in the first place?\We don't know anything,\yet they're telling us to go after them.\Say, did Hoshimi-sama say anything else?\Any new analytical data...\Hey, that's enough. response:	I was pulling all-nighters until a little while ago.
context: Are they enemies or are they working independently?\What's his objective in the first place?\We don't know anything,\yet they're telling us to go after them.\Say, did Hoshimi-sama say anything else?\Any new analytical data...\Hey, that's enough.\I was pulling all-nighters until a little while ago. response:	I don't want to talk about work while I'm home.
context: What's his objective in the first place?\We don't know anything,\yet they're telling us to go after them.\Say, did Hoshimi-sama say anything else?\Any new analytical data...\Hey, that's enough.\I was pulling all-nighters until a little while ago.\I don't want to talk about work while I'm home. response:	Sorry.
context: We don't know anything,\yet they're telling us to go after them.\Say, did Hoshimi-sama say anything else?\Any new analytical data...\Hey, that's enough.\I was pulling all-nighters until a little while ago.\I don't want to talk about work while I'm home.\Sorry. response:	Misaki, aren't you off-duty tomorrow, too?
context: yet they're telling us to go after them.\Say, did Hoshimi-sama say anything else?\Any new analytical data...\Hey, that's enough.\I was pulling all-nighters until a little while ago.\I don't want to talk about work while I'm home.\Sorry.\Misaki, aren't you off-duty tomorrow, too? response:	Yeah, why?
context: Say, did Hoshimi-sama say anything else?\Any new analytical data...\Hey, that's enough.\I was pulling all-nighters until a little while ago.\I don't want to talk about work while I'm home.\Sorry.\Misaki, aren't you off-duty tomorrow, too?\Yeah, why? response:	You're probably not doing anything, so why don't you come with me?
context: Any new analytical data...\Hey, that's enough.\I was pulling all-nighters until a little while ago.\I don't want to talk about work while I'm home.\Sorry.\Misaki, aren't you off-duty tomorrow, too?\Yeah, why?\You're probably not doing anything, so why don't you come with me? response:	What the...
context: Hey, that's enough.\I was pulling all-nighters until a little while ago.\I don't want to talk about work while I'm home.\Sorry.\Misaki, aren't you off-duty tomorrow, too?\Yeah, why?\You're probably not doing anything, so why don't you come with me?\What the... response:	Are you sure you weren't noticed?
context: I was pulling all-nighters until a little while ago.\I don't want to talk about work while I'm home.\Sorry.\Misaki, aren't you off-duty tomorrow, too?\Yeah, why?\You're probably not doing anything, so why don't you come with me?\What the...\Are you sure you weren't noticed? response:	We're not that careless.
context: I don't want to talk about work while I'm home.\Sorry.\Misaki, aren't you off-duty tomorrow, too?\Yeah, why?\You're probably not doing anything, so why don't you come with me?\What the...\Are you sure you weren't noticed?\We're not that careless. response:	Why's the doll missing?
context: Sorry.\Misaki, aren't you off-duty tomorrow, too?\Yeah, why?\You're probably not doing anything, so why don't you come with me?\What the...\Are you sure you weren't noticed?\We're not that careless.\Why's the doll missing? response:	Who knows? It was probably stolen from them, I bet.
context: Misaki, aren't you off-duty tomorrow, too?\Yeah, why?\You're probably not doing anything, so why don't you come with me?\What the...\Are you sure you weren't noticed?\We're not that careless.\Why's the doll missing?\Who knows? It was probably stolen from them, I bet. response:	Stolen, huh?
context: Yeah, why?\You're probably not doing anything, so why don't you come with me?\What the...\Are you sure you weren't noticed?\We're not that careless.\Why's the doll missing?\Who knows? It was probably stolen from them, I bet.\Stolen, huh? response:	You might be right.
context: You're probably not doing anything, so why don't you come with me?\What the...\Are you sure you weren't noticed?\We're not that careless.\Why's the doll missing?\Who knows? It was probably stolen from them, I bet.\Stolen, huh?\You might be right. response:	What do you mean?
context: What the...\Are you sure you weren't noticed?\We're not that careless.\Why's the doll missing?\Who knows? It was probably stolen from them, I bet.\Stolen, huh?\You might be right.\What do you mean? response:	There's been internal conflict within the Nakazawa family recently.
context: Are you sure you weren't noticed?\We're not that careless.\Why's the doll missing?\Who knows? It was probably stolen from them, I bet.\Stolen, huh?\You might be right.\What do you mean?\There's been internal conflict within the Nakazawa family recently. response:	Yin, can you find it?
context: We're not that careless.\Why's the doll missing?\Who knows? It was probably stolen from them, I bet.\Stolen, huh?\You might be right.\What do you mean?\There's been internal conflict within the Nakazawa family recently.\Yin, can you find it? response:	Damn.
context: Why's the doll missing?\Who knows? It was probably stolen from them, I bet.\Stolen, huh?\You might be right.\What do you mean?\There's been internal conflict within the Nakazawa family recently.\Yin, can you find it?\Damn. response:	What are you going to do?
context: Who knows? It was probably stolen from them, I bet.\Stolen, huh?\You might be right.\What do you mean?\There's been internal conflict within the Nakazawa family recently.\Yin, can you find it?\Damn.\What are you going to do? response:	Let's back off.
context: Stolen, huh?\You might be right.\What do you mean?\There's been internal conflict within the Nakazawa family recently.\Yin, can you find it?\Damn.\What are you going to do?\Let's back off. response:	It's best not to look into it too much.
context: You might be right.\What do you mean?\There's been internal conflict within the Nakazawa family recently.\Yin, can you find it?\Damn.\What are you going to do?\Let's back off.\It's best not to look into it too much. response:	Whether we continue the mission or not isn't a decision we can make.
context: What do you mean?\There's been internal conflict within the Nakazawa family recently.\Yin, can you find it?\Damn.\What are you going to do?\Let's back off.\It's best not to look into it too much.\Whether we continue the mission or not isn't a decision we can make. response:	I'm going to submit a request, so everything's on hold until then.
context: There's been internal conflict within the Nakazawa family recently.\Yin, can you find it?\Damn.\What are you going to do?\Let's back off.\It's best not to look into it too much.\Whether we continue the mission or not isn't a decision we can make.\I'm going to submit a request, so everything's on hold until then. response:	Li-san...
context: Yin, can you find it?\Damn.\What are you going to do?\Let's back off.\It's best not to look into it too much.\Whether we continue the mission or not isn't a decision we can make.\I'm going to submit a request, so everything's on hold until then.\Li-san... response:	I'm sorry!
context: Damn.\What are you going to do?\Let's back off.\It's best not to look into it too much.\Whether we continue the mission or not isn't a decision we can make.\I'm going to submit a request, so everything's on hold until then.\Li-san...\I'm sorry! response:	Can we use your place as a hideout?
context: What are you going to do?\Let's back off.\It's best not to look into it too much.\Whether we continue the mission or not isn't a decision we can make.\I'm going to submit a request, so everything's on hold until then.\Li-san...\I'm sorry!\Can we use your place as a hideout? response:	The jewel in hand gives off a clear, uncolored glow,
context: Let's back off.\It's best not to look into it too much.\Whether we continue the mission or not isn't a decision we can make.\I'm going to submit a request, so everything's on hold until then.\Li-san...\I'm sorry!\Can we use your place as a hideout?\The jewel in hand gives off a clear, uncolored glow, response:	its purity calling near the specter of devastation.
context: It's best not to look into it too much.\Whether we continue the mission or not isn't a decision we can make.\I'm going to submit a request, so everything's on hold until then.\Li-san...\I'm sorry!\Can we use your place as a hideout?\The jewel in hand gives off a clear, uncolored glow,\its purity calling near the specter of devastation. response:	Their two worlds were never supposed to have crossed.
context: Whether we continue the mission or not isn't a decision we can make.\I'm going to submit a request, so everything's on hold until then.\Li-san...\I'm sorry!\Can we use your place as a hideout?\The jewel in hand gives off a clear, uncolored glow,\its purity calling near the specter of devastation.\Their two worlds were never supposed to have crossed. response:	They have nowhere to go, and their flight will continue without end.
context: I'm going to submit a request, so everything's on hold until then.\Li-san...\I'm sorry!\Can we use your place as a hideout?\The jewel in hand gives off a clear, uncolored glow,\its purity calling near the specter of devastation.\Their two worlds were never supposed to have crossed.\They have nowhere to go, and their flight will continue without end. response:	They didn't even want to know what lies ahead of them.
context: Li-san...\I'm sorry!\Can we use your place as a hideout?\The jewel in hand gives off a clear, uncolored glow,\its purity calling near the specter of devastation.\Their two worlds were never supposed to have crossed.\They have nowhere to go, and their flight will continue without end.\They didn't even want to know what lies ahead of them. response:	And so, the boy lies down in the trash heap.
context: I'm sorry!\Can we use your place as a hideout?\The jewel in hand gives off a clear, uncolored glow,\its purity calling near the specter of devastation.\Their two worlds were never supposed to have crossed.\They have nowhere to go, and their flight will continue without end.\They didn't even want to know what lies ahead of them.\And so, the boy lies down in the trash heap. response:	Episode Eighteen A Love Song Sung from a Trash Heap... (Part Two)
