context: Listen up, everyone. response:	I'm putting Chihaya in the number three position.
context: Komano-senpai's first game today comes in the semifinal.\Ayase-senpai is up against the opponent's ace\and just lost two cards in a row.\It's usually up to the ace to set the tone...\Outbox To: Mom Re: Nationals Your brother the ace has led the team to the semifinals! The championship is within sight!\Your brother the ace has led the team to the semifinals!\That's our Bro So cool\The championship is within sight! response:	Inbox From: Mom Re: Re: Nationals That's our Bro! Good luck! Take a picture when you win!
context: Ayase-senpai is up against the opponent's ace\and just lost two cards in a row.\It's usually up to the ace to set the tone...\Outbox To: Mom Re: Nationals Your brother the ace has led the team to the semifinals! The championship is within sight!\Your brother the ace has led the team to the semifinals!\That's our Bro So cool\The championship is within sight!\Inbox From: Mom Re: Re: Nationals That's our Bro! Good luck! Take a picture when you win! response:	I can always say that I jammed my finger.
context: and just lost two cards in a row.\It's usually up to the ace to set the tone...\Outbox To: Mom Re: Nationals Your brother the ace has led the team to the semifinals! The championship is within sight!\Your brother the ace has led the team to the semifinals!\That's our Bro So cool\The championship is within sight!\Inbox From: Mom Re: Re: Nationals That's our Bro! Good luck! Take a picture when you win!\I can always say that I jammed my finger. response:	Do I attack?
context: It's usually up to the ace to set the tone...\Outbox To: Mom Re: Nationals Your brother the ace has led the team to the semifinals! The championship is within sight!\Your brother the ace has led the team to the semifinals!\That's our Bro So cool\The championship is within sight!\Inbox From: Mom Re: Re: Nationals That's our Bro! Good luck! Take a picture when you win!\I can always say that I jammed my finger.\Do I attack? response:	Defend?
context: Outbox To: Mom Re: Nationals Your brother the ace has led the team to the semifinals! The championship is within sight!\Your brother the ace has led the team to the semifinals!\That's our Bro So cool\The championship is within sight!\Inbox From: Mom Re: Re: Nationals That's our Bro! Good luck! Take a picture when you win!\I can always say that I jammed my finger.\Do I attack?\Defend? response:	Don't doubt myself.
context: Your brother the ace has led the team to the semifinals!\That's our Bro So cool\The championship is within sight!\Inbox From: Mom Re: Re: Nationals That's our Bro! Good luck! Take a picture when you win!\I can always say that I jammed my finger.\Do I attack?\Defend?\Don't doubt myself. response:	Don't doubt myself.
context: That's our Bro So cool\The championship is within sight!\Inbox From: Mom Re: Re: Nationals That's our Bro! Good luck! Take a picture when you win!\I can always say that I jammed my finger.\Do I attack?\Defend?\Don't doubt myself.\Don't doubt myself. response:	Don't doubt myself.
context: The championship is within sight!\Inbox From: Mom Re: Re: Nationals That's our Bro! Good luck! Take a picture when you win!\I can always say that I jammed my finger.\Do I attack?\Defend?\Don't doubt myself.\Don't doubt myself.\Don't doubt myself. response:	Chihaya-chan, when in trouble, go lower right!
context: Inbox From: Mom Re: Re: Nationals That's our Bro! Good luck! Take a picture when you win!\I can always say that I jammed my finger.\Do I attack?\Defend?\Don't doubt myself.\Don't doubt myself.\Don't doubt myself.\Chihaya-chan, when in trouble, go lower right! response:	Always go to the lower right!
context: I can always say that I jammed my finger.\Do I attack?\Defend?\Don't doubt myself.\Don't doubt myself.\Don't doubt myself.\Chihaya-chan, when in trouble, go lower right!\Always go to the lower right! response:	Make sure you check their names.
context: Do I attack?\Defend?\Don't doubt myself.\Don't doubt myself.\Don't doubt myself.\Chihaya-chan, when in trouble, go lower right!\Always go to the lower right!\Make sure you check their names. response:	In Ousaka Megumu's case,
context: Defend?\Don't doubt myself.\Don't doubt myself.\Don't doubt myself.\Chihaya-chan, when in trouble, go lower right!\Always go to the lower right!\Make sure you check their names.\In Ousaka Megumu's case, response:	she's probably good at While it pains, While it may, While it brings, and Long,
context: Don't doubt myself.\Don't doubt myself.\Don't doubt myself.\Chihaya-chan, when in trouble, go lower right!\Always go to the lower right!\Make sure you check their names.\In Ousaka Megumu's case,\she's probably good at While it pains, While it may, While it brings, and Long, response:	the cards with the starting sounds of her name.
context: Don't doubt myself.\Don't doubt myself.\Chihaya-chan, when in trouble, go lower right!\Always go to the lower right!\Make sure you check their names.\In Ousaka Megumu's case,\she's probably good at While it pains, While it may, While it brings, and Long,\the cards with the starting sounds of her name. response:	Me (Long)
context: Don't doubt myself.\Chihaya-chan, when in trouble, go lower right!\Always go to the lower right!\Make sure you check their names.\In Ousaka Megumu's case,\she's probably good at While it pains, While it may, While it brings, and Long,\the cards with the starting sounds of her name.\Me (Long) response:	Her best card is at her lower right.
context: Chihaya-chan, when in trouble, go lower right!\Always go to the lower right!\Make sure you check their names.\In Ousaka Megumu's case,\she's probably good at While it pains, While it may, While it brings, and Long,\the cards with the starting sounds of her name.\Me (Long)\Her best card is at her lower right. response:	I beseech them to wait for the Emperor's return before falling
context: Always go to the lower right!\Make sure you check their names.\In Ousaka Megumu's case,\she's probably good at While it pains, While it may, While it brings, and Long,\the cards with the starting sounds of her name.\Me (Long)\Her best card is at her lower right.\I beseech them to wait for the Emperor's return before falling response:	Long last we meet, only for me to leave hurriedly,
context: Make sure you check their names.\In Ousaka Megumu's case,\she's probably good at While it pains, While it may, While it brings, and Long,\the cards with the starting sounds of her name.\Me (Long)\Her best card is at her lower right.\I beseech them to wait for the Emperor's return before falling\Long last we meet, only for me to leave hurriedly, response:	She knew to pay extra attention to Long last we meet...
context: In Ousaka Megumu's case,\she's probably good at While it pains, While it may, While it brings, and Long,\the cards with the starting sounds of her name.\Me (Long)\Her best card is at her lower right.\I beseech them to wait for the Emperor's return before falling\Long last we meet, only for me to leave hurriedly,\She knew to pay extra attention to Long last we meet... response:	She couldn't get it.
context: she's probably good at While it pains, While it may, While it brings, and Long,\the cards with the starting sounds of her name.\Me (Long)\Her best card is at her lower right.\I beseech them to wait for the Emperor's return before falling\Long last we meet, only for me to leave hurriedly,\She knew to pay extra attention to Long last we meet...\She couldn't get it. response:	No need to look.
context: the cards with the starting sounds of her name.\Me (Long)\Her best card is at her lower right.\I beseech them to wait for the Emperor's return before falling\Long last we meet, only for me to leave hurriedly,\She knew to pay extra attention to Long last we meet...\She couldn't get it.\No need to look. response:	Megumu-senpai would never lose Long.
context: Me (Long)\Her best card is at her lower right.\I beseech them to wait for the Emperor's return before falling\Long last we meet, only for me to leave hurriedly,\She knew to pay extra attention to Long last we meet...\She couldn't get it.\No need to look.\Megumu-senpai would never lose Long. response:	My opponent's card in the lower right was read right when I set my eye on it.
context: Her best card is at her lower right.\I beseech them to wait for the Emperor's return before falling\Long last we meet, only for me to leave hurriedly,\She knew to pay extra attention to Long last we meet...\She couldn't get it.\No need to look.\Megumu-senpai would never lose Long.\My opponent's card in the lower right was read right when I set my eye on it. response:	This is the West representative.
context: I beseech them to wait for the Emperor's return before falling\Long last we meet, only for me to leave hurriedly,\She knew to pay extra attention to Long last we meet...\She couldn't get it.\No need to look.\Megumu-senpai would never lose Long.\My opponent's card in the lower right was read right when I set my eye on it.\This is the West representative. response:	No...
context: Long last we meet, only for me to leave hurriedly,\She knew to pay extra attention to Long last we meet...\She couldn't get it.\No need to look.\Megumu-senpai would never lose Long.\My opponent's card in the lower right was read right when I set my eye on it.\This is the West representative.\No... response:	She's much faster than she was that day.
context: She knew to pay extra attention to Long last we meet...\She couldn't get it.\No need to look.\Megumu-senpai would never lose Long.\My opponent's card in the lower right was read right when I set my eye on it.\This is the West representative.\No...\She's much faster than she was that day. response:	She has the potential to become Queen.
context: She couldn't get it.\No need to look.\Megumu-senpai would never lose Long.\My opponent's card in the lower right was read right when I set my eye on it.\This is the West representative.\No...\She's much faster than she was that day.\She has the potential to become Queen. response:	Hey,
context: No need to look.\Megumu-senpai would never lose Long.\My opponent's card in the lower right was read right when I set my eye on it.\This is the West representative.\No...\She's much faster than she was that day.\She has the potential to become Queen.\Hey, response:	that's mine.
context: Megumu-senpai would never lose Long.\My opponent's card in the lower right was read right when I set my eye on it.\This is the West representative.\No...\She's much faster than she was that day.\She has the potential to become Queen.\Hey,\that's mine. response:	You got mine, too.
context: My opponent's card in the lower right was read right when I set my eye on it.\This is the West representative.\No...\She's much faster than she was that day.\She has the potential to become Queen.\Hey,\that's mine.\You got mine, too. response:	Why are you holding three of the same card?
context: This is the West representative.\No...\She's much faster than she was that day.\She has the potential to become Queen.\Hey,\that's mine.\You got mine, too.\Why are you holding three of the same card? response:	Huh?
context: No...\She's much faster than she was that day.\She has the potential to become Queen.\Hey,\that's mine.\You got mine, too.\Why are you holding three of the same card?\Huh? response:	Swoon!
context: She's much faster than she was that day.\She has the potential to become Queen.\Hey,\that's mine.\You got mine, too.\Why are you holding three of the same card?\Huh?\Swoon! response:	Okay, one more card.
context: She has the potential to become Queen.\Hey,\that's mine.\You got mine, too.\Why are you holding three of the same card?\Huh?\Swoon!\Okay, one more card. response:	Yes!
context: Hey,\that's mine.\You got mine, too.\Why are you holding three of the same card?\Huh?\Swoon!\Okay, one more card.\Yes! response:	There's a saying that boys grow up very fast,
context: that's mine.\You got mine, too.\Why are you holding three of the same card?\Huh?\Swoon!\Okay, one more card.\Yes!\There's a saying that boys grow up very fast, response:	but the same applies to girls.
context: You got mine, too.\Why are you holding three of the same card?\Huh?\Swoon!\Okay, one more card.\Yes!\There's a saying that boys grow up very fast,\but the same applies to girls. response:	You should all get serious about karuta!
context: Why are you holding three of the same card?\Huh?\Swoon!\Okay, one more card.\Yes!\There's a saying that boys grow up very fast,\but the same applies to girls.\You should all get serious about karuta! response:	The Kyoto tournament is in May!
context: Huh?\Swoon!\Okay, one more card.\Yes!\There's a saying that boys grow up very fast,\but the same applies to girls.\You should all get serious about karuta!\The Kyoto tournament is in May! response:	Any application fees will be paid by the club!
context: Swoon!\Okay, one more card.\Yes!\There's a saying that boys grow up very fast,\but the same applies to girls.\You should all get serious about karuta!\The Kyoto tournament is in May!\Any application fees will be paid by the club! response:	You're such a pain, Daigoro!
context: Okay, one more card.\Yes!\There's a saying that boys grow up very fast,\but the same applies to girls.\You should all get serious about karuta!\The Kyoto tournament is in May!\Any application fees will be paid by the club!\You're such a pain, Daigoro! response:	Use your energy on the volleyball team.
context: Yes!\There's a saying that boys grow up very fast,\but the same applies to girls.\You should all get serious about karuta!\The Kyoto tournament is in May!\Any application fees will be paid by the club!\You're such a pain, Daigoro!\Use your energy on the volleyball team. response:	The karuta club had plenty of history,
context: There's a saying that boys grow up very fast,\but the same applies to girls.\You should all get serious about karuta!\The Kyoto tournament is in May!\Any application fees will be paid by the club!\You're such a pain, Daigoro!\Use your energy on the volleyball team.\The karuta club had plenty of history, response:	but it wasn't particularly strong.
context: but the same applies to girls.\You should all get serious about karuta!\The Kyoto tournament is in May!\Any application fees will be paid by the club!\You're such a pain, Daigoro!\Use your energy on the volleyball team.\The karuta club had plenty of history,\but it wasn't particularly strong. response:	Ousaka practiced all the time at her karuta society,
context: You should all get serious about karuta!\The Kyoto tournament is in May!\Any application fees will be paid by the club!\You're such a pain, Daigoro!\Use your energy on the volleyball team.\The karuta club had plenty of history,\but it wasn't particularly strong.\Ousaka practiced all the time at her karuta society, response:	but she never tried very hard during club practice.
context: The Kyoto tournament is in May!\Any application fees will be paid by the club!\You're such a pain, Daigoro!\Use your energy on the volleyball team.\The karuta club had plenty of history,\but it wasn't particularly strong.\Ousaka practiced all the time at her karuta society,\but she never tried very hard during club practice. response:	Everything changed after the Queen challenger final in October.
context: Any application fees will be paid by the club!\You're such a pain, Daigoro!\Use your energy on the volleyball team.\The karuta club had plenty of history,\but it wasn't particularly strong.\Ousaka practiced all the time at her karuta society,\but she never tried very hard during club practice.\Everything changed after the Queen challenger final in October. response:	The West representative is Ousaka Megumu from
context: You're such a pain, Daigoro!\Use your energy on the volleyball team.\The karuta club had plenty of history,\but it wasn't particularly strong.\Ousaka practiced all the time at her karuta society,\but she never tried very hard during club practice.\Everything changed after the Queen challenger final in October.\The West representative is Ousaka Megumu from response:	the Akashi Karuta Society!
context: Use your energy on the volleyball team.\The karuta club had plenty of history,\but it wasn't particularly strong.\Ousaka practiced all the time at her karuta society,\but she never tried very hard during club practice.\Everything changed after the Queen challenger final in October.\The West representative is Ousaka Megumu from\the Akashi Karuta Society! response:	She'd always had the talent, but this time she was also lucky.
context: The karuta club had plenty of history,\but it wasn't particularly strong.\Ousaka practiced all the time at her karuta society,\but she never tried very hard during club practice.\Everything changed after the Queen challenger final in October.\The West representative is Ousaka Megumu from\the Akashi Karuta Society!\She'd always had the talent, but this time she was also lucky. response:	That was great, Megumu!
context: but it wasn't particularly strong.\Ousaka practiced all the time at her karuta society,\but she never tried very hard during club practice.\Everything changed after the Queen challenger final in October.\The West representative is Ousaka Megumu from\the Akashi Karuta Society!\She'd always had the talent, but this time she was also lucky.\That was great, Megumu! response:	Next up is the challenger final?!
context: Ousaka practiced all the time at her karuta society,\but she never tried very hard during club practice.\Everything changed after the Queen challenger final in October.\The West representative is Ousaka Megumu from\the Akashi Karuta Society!\She'd always had the talent, but this time she was also lucky.\That was great, Megumu!\Next up is the challenger final?! response:	If you win that, you get to play the Queen?!
context: but she never tried very hard during club practice.\Everything changed after the Queen challenger final in October.\The West representative is Ousaka Megumu from\the Akashi Karuta Society!\She'd always had the talent, but this time she was also lucky.\That was great, Megumu!\Next up is the challenger final?!\If you win that, you get to play the Queen?! response:	Her classmates and friends...
context: Everything changed after the Queen challenger final in October.\The West representative is Ousaka Megumu from\the Akashi Karuta Society!\She'd always had the talent, but this time she was also lucky.\That was great, Megumu!\Next up is the challenger final?!\If you win that, you get to play the Queen?!\Her classmates and friends... response:	Good luck, Megumu
context: The West representative is Ousaka Megumu from\the Akashi Karuta Society!\She'd always had the talent, but this time she was also lucky.\That was great, Megumu!\Next up is the challenger final?!\If you win that, you get to play the Queen?!\Her classmates and friends...\Good luck, Megumu response:	It's too bad for Ousaka-san.
context: the Akashi Karuta Society!\She'd always had the talent, but this time she was also lucky.\That was great, Megumu!\Next up is the challenger final?!\If you win that, you get to play the Queen?!\Her classmates and friends...\Good luck, Megumu\It's too bad for Ousaka-san. response:	She made it this far on beginner's luck,
context: She'd always had the talent, but this time she was also lucky.\That was great, Megumu!\Next up is the challenger final?!\If you win that, you get to play the Queen?!\Her classmates and friends...\Good luck, Megumu\It's too bad for Ousaka-san.\She made it this far on beginner's luck, response:	but that's not enough to face the Queen.
context: That was great, Megumu!\Next up is the challenger final?!\If you win that, you get to play the Queen?!\Her classmates and friends...\Good luck, Megumu\It's too bad for Ousaka-san.\She made it this far on beginner's luck,\but that's not enough to face the Queen. response:	Yamamoto Yumi-san had more dedication and motivation.
context: Next up is the challenger final?!\If you win that, you get to play the Queen?!\Her classmates and friends...\Good luck, Megumu\It's too bad for Ousaka-san.\She made it this far on beginner's luck,\but that's not enough to face the Queen.\Yamamoto Yumi-san had more dedication and motivation. response:	Megumu, are you upset?
context: If you win that, you get to play the Queen?!\Her classmates and friends...\Good luck, Megumu\It's too bad for Ousaka-san.\She made it this far on beginner's luck,\but that's not enough to face the Queen.\Yamamoto Yumi-san had more dedication and motivation.\Megumu, are you upset? response:	No, not really...
context: Her classmates and friends...\Good luck, Megumu\It's too bad for Ousaka-san.\She made it this far on beginner's luck,\but that's not enough to face the Queen.\Yamamoto Yumi-san had more dedication and motivation.\Megumu, are you upset?\No, not really... response:	I definitely wasn't as good as she was.
context: Good luck, Megumu\It's too bad for Ousaka-san.\She made it this far on beginner's luck,\but that's not enough to face the Queen.\Yamamoto Yumi-san had more dedication and motivation.\Megumu, are you upset?\No, not really...\I definitely wasn't as good as she was. response:	We'll help you.
context: It's too bad for Ousaka-san.\She made it this far on beginner's luck,\but that's not enough to face the Queen.\Yamamoto Yumi-san had more dedication and motivation.\Megumu, are you upset?\No, not really...\I definitely wasn't as good as she was.\We'll help you. response:	Huh?
context: She made it this far on beginner's luck,\but that's not enough to face the Queen.\Yamamoto Yumi-san had more dedication and motivation.\Megumu, are you upset?\No, not really...\I definitely wasn't as good as she was.\We'll help you.\Huh? response:	We'll help, so let's practice until you're invested enough to get upset.
context: but that's not enough to face the Queen.\Yamamoto Yumi-san had more dedication and motivation.\Megumu, are you upset?\No, not really...\I definitely wasn't as good as she was.\We'll help you.\Huh?\We'll help, so let's practice until you're invested enough to get upset. response:	Let's make you Queen.
context: Yamamoto Yumi-san had more dedication and motivation.\Megumu, are you upset?\No, not really...\I definitely wasn't as good as she was.\We'll help you.\Huh?\We'll help, so let's practice until you're invested enough to get upset.\Let's make you Queen. response:	Everyone is working together to make Ousaka Megumu the Queen.
context: Megumu, are you upset?\No, not really...\I definitely wasn't as good as she was.\We'll help you.\Huh?\We'll help, so let's practice until you're invested enough to get upset.\Let's make you Queen.\Everyone is working together to make Ousaka Megumu the Queen. response:	I tear up when I think
context: No, not really...\I definitely wasn't as good as she was.\We'll help you.\Huh?\We'll help, so let's practice until you're invested enough to get upset.\Let's make you Queen.\Everyone is working together to make Ousaka Megumu the Queen.\I tear up when I think response:	of how hard they've been working ever since.
context: I definitely wasn't as good as she was.\We'll help you.\Huh?\We'll help, so let's practice until you're invested enough to get upset.\Let's make you Queen.\Everyone is working together to make Ousaka Megumu the Queen.\I tear up when I think\of how hard they've been working ever since. response:	And I'm a grown man!
context: We'll help you.\Huh?\We'll help, so let's practice until you're invested enough to get upset.\Let's make you Queen.\Everyone is working together to make Ousaka Megumu the Queen.\I tear up when I think\of how hard they've been working ever since.\And I'm a grown man! response:	She got used to all the attention
context: Huh?\We'll help, so let's practice until you're invested enough to get upset.\Let's make you Queen.\Everyone is working together to make Ousaka Megumu the Queen.\I tear up when I think\of how hard they've been working ever since.\And I'm a grown man!\She got used to all the attention response:	Ignoring...
context: We'll help, so let's practice until you're invested enough to get upset.\Let's make you Queen.\Everyone is working together to make Ousaka Megumu the Queen.\I tear up when I think\of how hard they've been working ever since.\And I'm a grown man!\She got used to all the attention\Ignoring... response:	she draws as the last West Representative.
context: Let's make you Queen.\Everyone is working together to make Ousaka Megumu the Queen.\I tear up when I think\of how hard they've been working ever since.\And I'm a grown man!\She got used to all the attention\Ignoring...\she draws as the last West Representative. response:	This proves that circumstances can change a person!
context: Everyone is working together to make Ousaka Megumu the Queen.\I tear up when I think\of how hard they've been working ever since.\And I'm a grown man!\She got used to all the attention\Ignoring...\she draws as the last West Representative.\This proves that circumstances can change a person! response:	The ace usually plays in the third position.
context: I tear up when I think\of how hard they've been working ever since.\And I'm a grown man!\She got used to all the attention\Ignoring...\she draws as the last West Representative.\This proves that circumstances can change a person!\The ace usually plays in the third position. response:	We'll put Megumu in the third position every match.
context: of how hard they've been working ever since.\And I'm a grown man!\She got used to all the attention\Ignoring...\she draws as the last West Representative.\This proves that circumstances can change a person!\The ace usually plays in the third position.\We'll put Megumu in the third position every match. response:	Our goal is to get Megumu more experience, not win!
context: And I'm a grown man!\She got used to all the attention\Ignoring...\she draws as the last West Representative.\This proves that circumstances can change a person!\The ace usually plays in the third position.\We'll put Megumu in the third position every match.\Our goal is to get Megumu more experience, not win! response:	Said night was young when the false rooster's crow,
context: She got used to all the attention\Ignoring...\she draws as the last West Representative.\This proves that circumstances can change a person!\The ace usually plays in the third position.\We'll put Megumu in the third position every match.\Our goal is to get Megumu more experience, not win!\Said night was young when the false rooster's crow, response:	I hadn't marked that one.
context: Ignoring...\she draws as the last West Representative.\This proves that circumstances can change a person!\The ace usually plays in the third position.\We'll put Megumu in the third position every match.\Our goal is to get Megumu more experience, not win!\Said night was young when the false rooster's crow,\I hadn't marked that one. response:	This is no good.
context: she draws as the last West Representative.\This proves that circumstances can change a person!\The ace usually plays in the third position.\We'll put Megumu in the third position every match.\Our goal is to get Megumu more experience, not win!\Said night was young when the false rooster's crow,\I hadn't marked that one.\This is no good. response:	She's taken four cards in a row.
context: This proves that circumstances can change a person!\The ace usually plays in the third position.\We'll put Megumu in the third position every match.\Our goal is to get Megumu more experience, not win!\Said night was young when the false rooster's crow,\I hadn't marked that one.\This is no good.\She's taken four cards in a row. response:	I need my first card.
context: The ace usually plays in the third position.\We'll put Megumu in the third position every match.\Our goal is to get Megumu more experience, not win!\Said night was young when the false rooster's crow,\I hadn't marked that one.\This is no good.\She's taken four cards in a row.\I need my first card. response:	My first card...
context: We'll put Megumu in the third position every match.\Our goal is to get Megumu more experience, not win!\Said night was young when the false rooster's crow,\I hadn't marked that one.\This is no good.\She's taken four cards in a row.\I need my first card.\My first card... response:	banish any lingering memories of the past
context: Our goal is to get Megumu more experience, not win!\Said night was young when the false rooster's crow,\I hadn't marked that one.\This is no good.\She's taken four cards in a row.\I need my first card.\My first card...\banish any lingering memories of the past response:	but the gates of Afusaka remained shut
context: Said night was young when the false rooster's crow,\I hadn't marked that one.\This is no good.\She's taken four cards in a row.\I need my first card.\My first card...\banish any lingering memories of the past\but the gates of Afusaka remained shut response:	When winds blow oak leaves in the twilight,
context: I hadn't marked that one.\This is no good.\She's taken four cards in a row.\I need my first card.\My first card...\banish any lingering memories of the past\but the gates of Afusaka remained shut\When winds blow oak leaves in the twilight, response:	There!
context: This is no good.\She's taken four cards in a row.\I need my first card.\My first card...\banish any lingering memories of the past\but the gates of Afusaka remained shut\When winds blow oak leaves in the twilight,\There! response:	I finally got a card.
context: She's taken four cards in a row.\I need my first card.\My first card...\banish any lingering memories of the past\but the gates of Afusaka remained shut\When winds blow oak leaves in the twilight,\There!\I finally got a card. response:	This is just the beginning!
context: I need my first card.\My first card...\banish any lingering memories of the past\but the gates of Afusaka remained shut\When winds blow oak leaves in the twilight,\There!\I finally got a card.\This is just the beginning! response:	I can catch up!
context: My first card...\banish any lingering memories of the past\but the gates of Afusaka remained shut\When winds blow oak leaves in the twilight,\There!\I finally got a card.\This is just the beginning!\I can catch up! response:	Attack...
context: banish any lingering memories of the past\but the gates of Afusaka remained shut\When winds blow oak leaves in the twilight,\There!\I finally got a card.\This is just the beginning!\I can catch up!\Attack... response:	Attack...
context: but the gates of Afusaka remained shut\When winds blow oak leaves in the twilight,\There!\I finally got a card.\This is just the beginning!\I can catch up!\Attack...\Attack... response:	Attack!
context: When winds blow oak leaves in the twilight,\There!\I finally got a card.\This is just the beginning!\I can catch up!\Attack...\Attack...\Attack! response:	When winds blow, Chihaya-chan.
context: There!\I finally got a card.\This is just the beginning!\I can catch up!\Attack...\Attack...\Attack!\When winds blow, Chihaya-chan. response:	The rain...
context: I finally got a card.\This is just the beginning!\I can catch up!\Attack...\Attack...\Attack!\When winds blow, Chihaya-chan.\The rain... response:	When winds blow oak leaves in the twilight,
context: This is just the beginning!\I can catch up!\Attack...\Attack...\Attack!\When winds blow, Chihaya-chan.\The rain...\When winds blow oak leaves in the twilight, response:	the only sign of summer is the ritual purification in the waters
context: I can catch up!\Attack...\Attack...\Attack!\When winds blow, Chihaya-chan.\The rain...\When winds blow oak leaves in the twilight,\the only sign of summer is the ritual purification in the waters response:	Stopped...
context: Attack...\Attack...\Attack!\When winds blow, Chihaya-chan.\The rain...\When winds blow oak leaves in the twilight,\the only sign of summer is the ritual purification in the waters\Stopped... response:	This poem by Junii Ietaka
context: Attack...\Attack!\When winds blow, Chihaya-chan.\The rain...\When winds blow oak leaves in the twilight,\the only sign of summer is the ritual purification in the waters\Stopped...\This poem by Junii Ietaka response:	describes a comfortable last day of summer.
context: Attack!\When winds blow, Chihaya-chan.\The rain...\When winds blow oak leaves in the twilight,\the only sign of summer is the ritual purification in the waters\Stopped...\This poem by Junii Ietaka\describes a comfortable last day of summer. response:	This day will define our entire summer.
context: When winds blow, Chihaya-chan.\The rain...\When winds blow oak leaves in the twilight,\the only sign of summer is the ritual purification in the waters\Stopped...\This poem by Junii Ietaka\describes a comfortable last day of summer.\This day will define our entire summer. response:	Oe-senpai is leading by 4 cards!
context: The rain...\When winds blow oak leaves in the twilight,\the only sign of summer is the ritual purification in the waters\Stopped...\This poem by Junii Ietaka\describes a comfortable last day of summer.\This day will define our entire summer.\Oe-senpai is leading by 4 cards! response:	She's probably tired! Exhausted, even!
context: When winds blow oak leaves in the twilight,\the only sign of summer is the ritual purification in the waters\Stopped...\This poem by Junii Ietaka\describes a comfortable last day of summer.\This day will define our entire summer.\Oe-senpai is leading by 4 cards!\She's probably tired! Exhausted, even! response:	That card is more than When wind blows...
context: the only sign of summer is the ritual purification in the waters\Stopped...\This poem by Junii Ietaka\describes a comfortable last day of summer.\This day will define our entire summer.\Oe-senpai is leading by 4 cards!\She's probably tired! Exhausted, even!\That card is more than When wind blows... response:	More than three syllables...
context: Stopped...\This poem by Junii Ietaka\describes a comfortable last day of summer.\This day will define our entire summer.\Oe-senpai is leading by 4 cards!\She's probably tired! Exhausted, even!\That card is more than When wind blows...\More than three syllables... response:	Chihaya-chan, when this poem was written 800 years ago,
context: This poem by Junii Ietaka\describes a comfortable last day of summer.\This day will define our entire summer.\Oe-senpai is leading by 4 cards!\She's probably tired! Exhausted, even!\That card is more than When wind blows...\More than three syllables...\Chihaya-chan, when this poem was written 800 years ago, response:	they must have felt very refreshed.
context: describes a comfortable last day of summer.\This day will define our entire summer.\Oe-senpai is leading by 4 cards!\She's probably tired! Exhausted, even!\That card is more than When wind blows...\More than three syllables...\Chihaya-chan, when this poem was written 800 years ago,\they must have felt very refreshed. response:	the only sign of summer is the ritual purification in the waters
context: This day will define our entire summer.\Oe-senpai is leading by 4 cards!\She's probably tired! Exhausted, even!\That card is more than When wind blows...\More than three syllables...\Chihaya-chan, when this poem was written 800 years ago,\they must have felt very refreshed.\the only sign of summer is the ritual purification in the waters response:	They could
context: Oe-senpai is leading by 4 cards!\She's probably tired! Exhausted, even!\That card is more than When wind blows...\More than three syllables...\Chihaya-chan, when this poem was written 800 years ago,\they must have felt very refreshed.\the only sign of summer is the ritual purification in the waters\They could response:	probably hear the wind blow.
context: She's probably tired! Exhausted, even!\That card is more than When wind blows...\More than three syllables...\Chihaya-chan, when this poem was written 800 years ago,\they must have felt very refreshed.\the only sign of summer is the ritual purification in the waters\They could\probably hear the wind blow. response:	Silent waves creep closer to the Suminoe shore, and when night falls,
context: That card is more than When wind blows...\More than three syllables...\Chihaya-chan, when this poem was written 800 years ago,\they must have felt very refreshed.\the only sign of summer is the ritual purification in the waters\They could\probably hear the wind blow.\Silent waves creep closer to the Suminoe shore, and when night falls, response:	Got it!
context: More than three syllables...\Chihaya-chan, when this poem was written 800 years ago,\they must have felt very refreshed.\the only sign of summer is the ritual purification in the waters\They could\probably hear the wind blow.\Silent waves creep closer to the Suminoe shore, and when night falls,\Got it! response:	What?!
context: Chihaya-chan, when this poem was written 800 years ago,\they must have felt very refreshed.\the only sign of summer is the ritual purification in the waters\They could\probably hear the wind blow.\Silent waves creep closer to the Suminoe shore, and when night falls,\Got it!\What?! response:	Megumu?!
context: they must have felt very refreshed.\the only sign of summer is the ritual purification in the waters\They could\probably hear the wind blow.\Silent waves creep closer to the Suminoe shore, and when night falls,\Got it!\What?!\Megumu?! response:	Kana-chan,
context: the only sign of summer is the ritual purification in the waters\They could\probably hear the wind blow.\Silent waves creep closer to the Suminoe shore, and when night falls,\Got it!\What?!\Megumu?!\Kana-chan, response:	I remember.
context: They could\probably hear the wind blow.\Silent waves creep closer to the Suminoe shore, and when night falls,\Got it!\What?!\Megumu?!\Kana-chan,\I remember. response:	Speaking of dreams, there's Silent waves!
context: probably hear the wind blow.\Silent waves creep closer to the Suminoe shore, and when night falls,\Got it!\What?!\Megumu?!\Kana-chan,\I remember.\Speaking of dreams, there's Silent waves! response:	in my dreams, I creep closer to you
context: Silent waves creep closer to the Suminoe shore, and when night falls,\Got it!\What?!\Megumu?!\Kana-chan,\I remember.\Speaking of dreams, there's Silent waves!\in my dreams, I creep closer to you response:	Megumu-chan...
context: Got it!\What?!\Megumu?!\Kana-chan,\I remember.\Speaking of dreams, there's Silent waves!\in my dreams, I creep closer to you\Megumu-chan... response:	Let's...
context: What?!\Megumu?!\Kana-chan,\I remember.\Speaking of dreams, there's Silent waves!\in my dreams, I creep closer to you\Megumu-chan...\Let's... response:	have a good match!
