context: An asteroid named VR-1 is approaching Earth. response:	It is approximately two kilometers in diameter.
context: Turtle Man, huh?\Turtle Man?\Ito and Muhi are both gone.\Come to think of it, Ito was acting weird yesterday.\Huh?\Necromancer\My spirit power level went up?\Wh-What is this? response:	Turtle Man?
context: Turtle Man?\Ito and Muhi are both gone.\Come to think of it, Ito was acting weird yesterday.\Huh?\Necromancer\My spirit power level went up?\Wh-What is this?\Turtle Man? response:	That's such an unimaginative name.
context: Ito and Muhi are both gone.\Come to think of it, Ito was acting weird yesterday.\Huh?\Necromancer\My spirit power level went up?\Wh-What is this?\Turtle Man?\That's such an unimaginative name. response:	What are you doing?
context: Come to think of it, Ito was acting weird yesterday.\Huh?\Necromancer\My spirit power level went up?\Wh-What is this?\Turtle Man?\That's such an unimaginative name.\What are you doing? response:	Shh.
context: Huh?\Necromancer\My spirit power level went up?\Wh-What is this?\Turtle Man?\That's such an unimaginative name.\What are you doing?\Shh. response:	Meika's playing Strange Juice's wife.
context: Necromancer\My spirit power level went up?\Wh-What is this?\Turtle Man?\That's such an unimaginative name.\What are you doing?\Shh.\Meika's playing Strange Juice's wife. response:	Remember? We talked about it at last night's party.
context: My spirit power level went up?\Wh-What is this?\Turtle Man?\That's such an unimaginative name.\What are you doing?\Shh.\Meika's playing Strange Juice's wife.\Remember? We talked about it at last night's party. response:	Yeah.
context: Wh-What is this?\Turtle Man?\That's such an unimaginative name.\What are you doing?\Shh.\Meika's playing Strange Juice's wife.\Remember? We talked about it at last night's party.\Yeah. response:	Code Name Pumpkin Chair, or whatever.
context: Turtle Man?\That's such an unimaginative name.\What are you doing?\Shh.\Meika's playing Strange Juice's wife.\Remember? We talked about it at last night's party.\Yeah.\Code Name Pumpkin Chair, or whatever. response:	Don't you want to know what they're talking about?
context: That's such an unimaginative name.\What are you doing?\Shh.\Meika's playing Strange Juice's wife.\Remember? We talked about it at last night's party.\Yeah.\Code Name Pumpkin Chair, or whatever.\Don't you want to know what they're talking about? response:	Is Mikatan next door, too?
context: What are you doing?\Shh.\Meika's playing Strange Juice's wife.\Remember? We talked about it at last night's party.\Yeah.\Code Name Pumpkin Chair, or whatever.\Don't you want to know what they're talking about?\Is Mikatan next door, too? response:	I think so, but she's far away.
context: Shh.\Meika's playing Strange Juice's wife.\Remember? We talked about it at last night's party.\Yeah.\Code Name Pumpkin Chair, or whatever.\Don't you want to know what they're talking about?\Is Mikatan next door, too?\I think so, but she's far away. response:	I can't hear her clearly.
context: Meika's playing Strange Juice's wife.\Remember? We talked about it at last night's party.\Yeah.\Code Name Pumpkin Chair, or whatever.\Don't you want to know what they're talking about?\Is Mikatan next door, too?\I think so, but she's far away.\I can't hear her clearly. response:	Hey, why've you been so grumpy?
context: Remember? We talked about it at last night's party.\Yeah.\Code Name Pumpkin Chair, or whatever.\Don't you want to know what they're talking about?\Is Mikatan next door, too?\I think so, but she's far away.\I can't hear her clearly.\Hey, why've you been so grumpy? response:	Maybe because it hasn't arrived.
context: Yeah.\Code Name Pumpkin Chair, or whatever.\Don't you want to know what they're talking about?\Is Mikatan next door, too?\I think so, but she's far away.\I can't hear her clearly.\Hey, why've you been so grumpy?\Maybe because it hasn't arrived. response:	It?
context: Code Name Pumpkin Chair, or whatever.\Don't you want to know what they're talking about?\Is Mikatan next door, too?\I think so, but she's far away.\I can't hear her clearly.\Hey, why've you been so grumpy?\Maybe because it hasn't arrived.\It? response:	You know, the thing that comes once a month.
context: Don't you want to know what they're talking about?\Is Mikatan next door, too?\I think so, but she's far away.\I can't hear her clearly.\Hey, why've you been so grumpy?\Maybe because it hasn't arrived.\It?\You know, the thing that comes once a month. response:	What's wrong?
context: Is Mikatan next door, too?\I think so, but she's far away.\I can't hear her clearly.\Hey, why've you been so grumpy?\Maybe because it hasn't arrived.\It?\You know, the thing that comes once a month.\What's wrong? response:	Meika's you-know-what hasn't arrived.
context: I think so, but she's far away.\I can't hear her clearly.\Hey, why've you been so grumpy?\Maybe because it hasn't arrived.\It?\You know, the thing that comes once a month.\What's wrong?\Meika's you-know-what hasn't arrived. response:	The once-a-month thing.
context: I can't hear her clearly.\Hey, why've you been so grumpy?\Maybe because it hasn't arrived.\It?\You know, the thing that comes once a month.\What's wrong?\Meika's you-know-what hasn't arrived.\The once-a-month thing. response:	Huh?
context: Hey, why've you been so grumpy?\Maybe because it hasn't arrived.\It?\You know, the thing that comes once a month.\What's wrong?\Meika's you-know-what hasn't arrived.\The once-a-month thing.\Huh? response:	Oh, this?
context: Maybe because it hasn't arrived.\It?\You know, the thing that comes once a month.\What's wrong?\Meika's you-know-what hasn't arrived.\The once-a-month thing.\Huh?\Oh, this? response:	Handstand Beginners Monthly.
context: It?\You know, the thing that comes once a month.\What's wrong?\Meika's you-know-what hasn't arrived.\The once-a-month thing.\Huh?\Oh, this?\Handstand Beginners Monthly. response:	You have a subscription, don't you?
context: You know, the thing that comes once a month.\What's wrong?\Meika's you-know-what hasn't arrived.\The once-a-month thing.\Huh?\Oh, this?\Handstand Beginners Monthly.\You have a subscription, don't you? response:	Yeah.
context: What's wrong?\Meika's you-know-what hasn't arrived.\The once-a-month thing.\Huh?\Oh, this?\Handstand Beginners Monthly.\You have a subscription, don't you?\Yeah. response:	It hasn't arrived.
context: Meika's you-know-what hasn't arrived.\The once-a-month thing.\Huh?\Oh, this?\Handstand Beginners Monthly.\You have a subscription, don't you?\Yeah.\It hasn't arrived. response:	So you can't do handstands yet?
context: The once-a-month thing.\Huh?\Oh, this?\Handstand Beginners Monthly.\You have a subscription, don't you?\Yeah.\It hasn't arrived.\So you can't do handstands yet? response:	Actually...
context: Huh?\Oh, this?\Handstand Beginners Monthly.\You have a subscription, don't you?\Yeah.\It hasn't arrived.\So you can't do handstands yet?\Actually... response:	See? Positive result.
context: Oh, this?\Handstand Beginners Monthly.\You have a subscription, don't you?\Yeah.\It hasn't arrived.\So you can't do handstands yet?\Actually...\See? Positive result. response:	No way!
context: Handstand Beginners Monthly.\You have a subscription, don't you?\Yeah.\It hasn't arrived.\So you can't do handstands yet?\Actually...\See? Positive result.\No way! response:	She really is expecting!
context: You have a subscription, don't you?\Yeah.\It hasn't arrived.\So you can't do handstands yet?\Actually...\See? Positive result.\No way!\She really is expecting! response:	Wow, congratulations!
context: Yeah.\It hasn't arrived.\So you can't do handstands yet?\Actually...\See? Positive result.\No way!\She really is expecting!\Wow, congratulations! response:	Thanks.
context: It hasn't arrived.\So you can't do handstands yet?\Actually...\See? Positive result.\No way!\She really is expecting!\Wow, congratulations!\Thanks. response:	How much did you practice?
context: So you can't do handstands yet?\Actually...\See? Positive result.\No way!\She really is expecting!\Wow, congratulations!\Thanks.\How much did you practice? response:	About three months, I think.
context: Actually...\See? Positive result.\No way!\She really is expecting!\Wow, congratulations!\Thanks.\How much did you practice?\About three months, I think. response:	Three months?!
context: See? Positive result.\No way!\She really is expecting!\Wow, congratulations!\Thanks.\How much did you practice?\About three months, I think.\Three months?! response:	Isn't that when you have to get the most rest?
context: No way!\She really is expecting!\Wow, congratulations!\Thanks.\How much did you practice?\About three months, I think.\Three months?!\Isn't that when you have to get the most rest? response:	I feel sick. I think I'm gonna puke.
context: She really is expecting!\Wow, congratulations!\Thanks.\How much did you practice?\About three months, I think.\Three months?!\Isn't that when you have to get the most rest?\I feel sick. I think I'm gonna puke. response:	Could that be...
context: Wow, congratulations!\Thanks.\How much did you practice?\About three months, I think.\Three months?!\Isn't that when you have to get the most rest?\I feel sick. I think I'm gonna puke.\Could that be... response:	Morning sickness?!
context: Thanks.\How much did you practice?\About three months, I think.\Three months?!\Isn't that when you have to get the most rest?\I feel sick. I think I'm gonna puke.\Could that be...\Morning sickness?! response:	S-Stop it already!
context: How much did you practice?\About three months, I think.\Three months?!\Isn't that when you have to get the most rest?\I feel sick. I think I'm gonna puke.\Could that be...\Morning sickness?!\S-Stop it already! response:	You forgot to put this on again, didn't you?
context: About three months, I think.\Three months?!\Isn't that when you have to get the most rest?\I feel sick. I think I'm gonna puke.\Could that be...\Morning sickness?!\S-Stop it already!\You forgot to put this on again, didn't you? response:	Jeez, why don't you learn?
context: Three months?!\Isn't that when you have to get the most rest?\I feel sick. I think I'm gonna puke.\Could that be...\Morning sickness?!\S-Stop it already!\You forgot to put this on again, didn't you?\Jeez, why don't you learn? response:	That's what happens when you put it in without the rubber.
context: Isn't that when you have to get the most rest?\I feel sick. I think I'm gonna puke.\Could that be...\Morning sickness?!\S-Stop it already!\You forgot to put this on again, didn't you?\Jeez, why don't you learn?\That's what happens when you put it in without the rubber. response:	Without the rubber?!
context: I feel sick. I think I'm gonna puke.\Could that be...\Morning sickness?!\S-Stop it already!\You forgot to put this on again, didn't you?\Jeez, why don't you learn?\That's what happens when you put it in without the rubber.\Without the rubber?! response:	P-Put it in...
context: Could that be...\Morning sickness?!\S-Stop it already!\You forgot to put this on again, didn't you?\Jeez, why don't you learn?\That's what happens when you put it in without the rubber.\Without the rubber?!\P-Put it in... response:	I can't just sit here!
context: Morning sickness?!\S-Stop it already!\You forgot to put this on again, didn't you?\Jeez, why don't you learn?\That's what happens when you put it in without the rubber.\Without the rubber?!\P-Put it in...\I can't just sit here! response:	Let's go, Ito!
context: S-Stop it already!\You forgot to put this on again, didn't you?\Jeez, why don't you learn?\That's what happens when you put it in without the rubber.\Without the rubber?!\P-Put it in...\I can't just sit here!\Let's go, Ito! response:	Io Ruka (17)
context: You forgot to put this on again, didn't you?\Jeez, why don't you learn?\That's what happens when you put it in without the rubber.\Without the rubber?!\P-Put it in...\I can't just sit here!\Let's go, Ito!\Io Ruka (17) response:	Hikiotani Ito (17)
context: Jeez, why don't you learn?\That's what happens when you put it in without the rubber.\Without the rubber?!\P-Put it in...\I can't just sit here!\Let's go, Ito!\Io Ruka (17)\Hikiotani Ito (17) response:	Those are this year's victims.
context: That's what happens when you put it in without the rubber.\Without the rubber?!\P-Put it in...\I can't just sit here!\Let's go, Ito!\Io Ruka (17)\Hikiotani Ito (17)\Those are this year's victims. response:	This year's victims?
context: Without the rubber?!\P-Put it in...\I can't just sit here!\Let's go, Ito!\Io Ruka (17)\Hikiotani Ito (17)\Those are this year's victims.\This year's victims? response:	Rabura-san's dead!
context: P-Put it in...\I can't just sit here!\Let's go, Ito!\Io Ruka (17)\Hikiotani Ito (17)\Those are this year's victims.\This year's victims?\Rabura-san's dead! response:	Wh-What do we do?!
context: I can't just sit here!\Let's go, Ito!\Io Ruka (17)\Hikiotani Ito (17)\Those are this year's victims.\This year's victims?\Rabura-san's dead!\Wh-What do we do?! response:	Meika-emon, don't you have something to bring her back?
context: Let's go, Ito!\Io Ruka (17)\Hikiotani Ito (17)\Those are this year's victims.\This year's victims?\Rabura-san's dead!\Wh-What do we do?!\Meika-emon, don't you have something to bring her back? response:	I see.
context: Io Ruka (17)\Hikiotani Ito (17)\Those are this year's victims.\This year's victims?\Rabura-san's dead!\Wh-What do we do?!\Meika-emon, don't you have something to bring her back?\I see. response:	Professor Daihatsu Tenga?
context: Hikiotani Ito (17)\Those are this year's victims.\This year's victims?\Rabura-san's dead!\Wh-What do we do?!\Meika-emon, don't you have something to bring her back?\I see.\Professor Daihatsu Tenga? response:	Of course I know of him.
context: Those are this year's victims.\This year's victims?\Rabura-san's dead!\Wh-What do we do?!\Meika-emon, don't you have something to bring her back?\I see.\Professor Daihatsu Tenga?\Of course I know of him. response:	He's a world-renowned genius inventor.
context: This year's victims?\Rabura-san's dead!\Wh-What do we do?!\Meika-emon, don't you have something to bring her back?\I see.\Professor Daihatsu Tenga?\Of course I know of him.\He's a world-renowned genius inventor. response:	But eight years ago, he...
context: Rabura-san's dead!\Wh-What do we do?!\Meika-emon, don't you have something to bring her back?\I see.\Professor Daihatsu Tenga?\Of course I know of him.\He's a world-renowned genius inventor.\But eight years ago, he... response:	Yeah, he passed away.
context: Wh-What do we do?!\Meika-emon, don't you have something to bring her back?\I see.\Professor Daihatsu Tenga?\Of course I know of him.\He's a world-renowned genius inventor.\But eight years ago, he...\Yeah, he passed away. response:	He left me and this Korai House behind.
context: Meika-emon, don't you have something to bring her back?\I see.\Professor Daihatsu Tenga?\Of course I know of him.\He's a world-renowned genius inventor.\But eight years ago, he...\Yeah, he passed away.\He left me and this Korai House behind. response:	And Meika inherited the professor's fortune.
context: I see.\Professor Daihatsu Tenga?\Of course I know of him.\He's a world-renowned genius inventor.\But eight years ago, he...\Yeah, he passed away.\He left me and this Korai House behind.\And Meika inherited the professor's fortune. response:	Inherited? But...
context: Professor Daihatsu Tenga?\Of course I know of him.\He's a world-renowned genius inventor.\But eight years ago, he...\Yeah, he passed away.\He left me and this Korai House behind.\And Meika inherited the professor's fortune.\Inherited? But... response:	My census registrations?
context: Of course I know of him.\He's a world-renowned genius inventor.\But eight years ago, he...\Yeah, he passed away.\He left me and this Korai House behind.\And Meika inherited the professor's fortune.\Inherited? But...\My census registrations? response:	That's easy to deal with.
context: He's a world-renowned genius inventor.\But eight years ago, he...\Yeah, he passed away.\He left me and this Korai House behind.\And Meika inherited the professor's fortune.\Inherited? But...\My census registrations?\That's easy to deal with. response:	She hacked into the public office and rewrote the data.
context: But eight years ago, he...\Yeah, he passed away.\He left me and this Korai House behind.\And Meika inherited the professor's fortune.\Inherited? But...\My census registrations?\That's easy to deal with.\She hacked into the public office and rewrote the data. response:	You can do that?
context: Yeah, he passed away.\He left me and this Korai House behind.\And Meika inherited the professor's fortune.\Inherited? But...\My census registrations?\That's easy to deal with.\She hacked into the public office and rewrote the data.\You can do that? response:	It's a piece of cake.
context: He left me and this Korai House behind.\And Meika inherited the professor's fortune.\Inherited? But...\My census registrations?\That's easy to deal with.\She hacked into the public office and rewrote the data.\You can do that?\It's a piece of cake. response:	Meika has godly hacking skills.
context: And Meika inherited the professor's fortune.\Inherited? But...\My census registrations?\That's easy to deal with.\She hacked into the public office and rewrote the data.\You can do that?\It's a piece of cake.\Meika has godly hacking skills. response:	If she wanted to, she could even launch every nuke in the world.
context: Inherited? But...\My census registrations?\That's easy to deal with.\She hacked into the public office and rewrote the data.\You can do that?\It's a piece of cake.\Meika has godly hacking skills.\If she wanted to, she could even launch every nuke in the world. response:	Hey, you're exaggerating.
context: My census registrations?\That's easy to deal with.\She hacked into the public office and rewrote the data.\You can do that?\It's a piece of cake.\Meika has godly hacking skills.\If she wanted to, she could even launch every nuke in the world.\Hey, you're exaggerating. response:	Then Professor Tenga made all these machines?
context: That's easy to deal with.\She hacked into the public office and rewrote the data.\You can do that?\It's a piece of cake.\Meika has godly hacking skills.\If she wanted to, she could even launch every nuke in the world.\Hey, you're exaggerating.\Then Professor Tenga made all these machines? response:	No, Grandpa's inventions are mostly kept in storage.
context: She hacked into the public office and rewrote the data.\You can do that?\It's a piece of cake.\Meika has godly hacking skills.\If she wanted to, she could even launch every nuke in the world.\Hey, you're exaggerating.\Then Professor Tenga made all these machines?\No, Grandpa's inventions are mostly kept in storage. response:	There are only two things here.
context: You can do that?\It's a piece of cake.\Meika has godly hacking skills.\If she wanted to, she could even launch every nuke in the world.\Hey, you're exaggerating.\Then Professor Tenga made all these machines?\No, Grandpa's inventions are mostly kept in storage.\There are only two things here. response:	Reizoukou
context: It's a piece of cake.\Meika has godly hacking skills.\If she wanted to, she could even launch every nuke in the world.\Hey, you're exaggerating.\Then Professor Tenga made all these machines?\No, Grandpa's inventions are mostly kept in storage.\There are only two things here.\Reizoukou response:	One is the Reizoukou in the kitchen.
context: Meika has godly hacking skills.\If she wanted to, she could even launch every nuke in the world.\Hey, you're exaggerating.\Then Professor Tenga made all these machines?\No, Grandpa's inventions are mostly kept in storage.\There are only two things here.\Reizoukou\One is the Reizoukou in the kitchen. response:	The other is me.
context: If she wanted to, she could even launch every nuke in the world.\Hey, you're exaggerating.\Then Professor Tenga made all these machines?\No, Grandpa's inventions are mostly kept in storage.\There are only two things here.\Reizoukou\One is the Reizoukou in the kitchen.\The other is me. response:	I was born here in Korai House.
context: Hey, you're exaggerating.\Then Professor Tenga made all these machines?\No, Grandpa's inventions are mostly kept in storage.\There are only two things here.\Reizoukou\One is the Reizoukou in the kitchen.\The other is me.\I was born here in Korai House. response:	Here, twenty years ago.
context: Then Professor Tenga made all these machines?\No, Grandpa's inventions are mostly kept in storage.\There are only two things here.\Reizoukou\One is the Reizoukou in the kitchen.\The other is me.\I was born here in Korai House.\Here, twenty years ago. response:	Twenty years ago...
context: No, Grandpa's inventions are mostly kept in storage.\There are only two things here.\Reizoukou\One is the Reizoukou in the kitchen.\The other is me.\I was born here in Korai House.\Here, twenty years ago.\Twenty years ago... response:	Over the next few years, Grandpa taught me all kinds of things.
context: There are only two things here.\Reizoukou\One is the Reizoukou in the kitchen.\The other is me.\I was born here in Korai House.\Here, twenty years ago.\Twenty years ago...\Over the next few years, Grandpa taught me all kinds of things. response:	Academic knowledge, cooking, all kinds of things.
context: Reizoukou\One is the Reizoukou in the kitchen.\The other is me.\I was born here in Korai House.\Here, twenty years ago.\Twenty years ago...\Over the next few years, Grandpa taught me all kinds of things.\Academic knowledge, cooking, all kinds of things. response:	But no matter how much he taught me, there was one thing I couldn't do.
context: One is the Reizoukou in the kitchen.\The other is me.\I was born here in Korai House.\Here, twenty years ago.\Twenty years ago...\Over the next few years, Grandpa taught me all kinds of things.\Academic knowledge, cooking, all kinds of things.\But no matter how much he taught me, there was one thing I couldn't do. response:	Hey, Grandpa, why can't I do handstands?
context: The other is me.\I was born here in Korai House.\Here, twenty years ago.\Twenty years ago...\Over the next few years, Grandpa taught me all kinds of things.\Academic knowledge, cooking, all kinds of things.\But no matter how much he taught me, there was one thing I couldn't do.\Hey, Grandpa, why can't I do handstands? response:	No, it's not just handstands.
context: I was born here in Korai House.\Here, twenty years ago.\Twenty years ago...\Over the next few years, Grandpa taught me all kinds of things.\Academic knowledge, cooking, all kinds of things.\But no matter how much he taught me, there was one thing I couldn't do.\Hey, Grandpa, why can't I do handstands?\No, it's not just handstands. response:	I'm not good at anything athletic...
context: Here, twenty years ago.\Twenty years ago...\Over the next few years, Grandpa taught me all kinds of things.\Academic knowledge, cooking, all kinds of things.\But no matter how much he taught me, there was one thing I couldn't do.\Hey, Grandpa, why can't I do handstands?\No, it's not just handstands.\I'm not good at anything athletic... response:	Meika, don't think that just because you're a robot, you can do anything.
context: Twenty years ago...\Over the next few years, Grandpa taught me all kinds of things.\Academic knowledge, cooking, all kinds of things.\But no matter how much he taught me, there was one thing I couldn't do.\Hey, Grandpa, why can't I do handstands?\No, it's not just handstands.\I'm not good at anything athletic...\Meika, don't think that just because you're a robot, you can do anything. response:	Robots all have their own roles and duties.
context: Over the next few years, Grandpa taught me all kinds of things.\Academic knowledge, cooking, all kinds of things.\But no matter how much he taught me, there was one thing I couldn't do.\Hey, Grandpa, why can't I do handstands?\No, it's not just handstands.\I'm not good at anything athletic...\Meika, don't think that just because you're a robot, you can do anything.\Robots all have their own roles and duties. response:	A robot is made to be adept at their duties.
context: Academic knowledge, cooking, all kinds of things.\But no matter how much he taught me, there was one thing I couldn't do.\Hey, Grandpa, why can't I do handstands?\No, it's not just handstands.\I'm not good at anything athletic...\Meika, don't think that just because you're a robot, you can do anything.\Robots all have their own roles and duties.\A robot is made to be adept at their duties. response:	Then what's my duty?
context: But no matter how much he taught me, there was one thing I couldn't do.\Hey, Grandpa, why can't I do handstands?\No, it's not just handstands.\I'm not good at anything athletic...\Meika, don't think that just because you're a robot, you can do anything.\Robots all have their own roles and duties.\A robot is made to be adept at their duties.\Then what's my duty? response:	A few years from now, you'll meet a certain girl.
context: Hey, Grandpa, why can't I do handstands?\No, it's not just handstands.\I'm not good at anything athletic...\Meika, don't think that just because you're a robot, you can do anything.\Robots all have their own roles and duties.\A robot is made to be adept at their duties.\Then what's my duty?\A few years from now, you'll meet a certain girl. response:	A member of Justice Punch, the secret force that will one day save the world.
context: No, it's not just handstands.\I'm not good at anything athletic...\Meika, don't think that just because you're a robot, you can do anything.\Robots all have their own roles and duties.\A robot is made to be adept at their duties.\Then what's my duty?\A few years from now, you'll meet a certain girl.\A member of Justice Punch, the secret force that will one day save the world. response:	Justice Punch?
context: I'm not good at anything athletic...\Meika, don't think that just because you're a robot, you can do anything.\Robots all have their own roles and duties.\A robot is made to be adept at their duties.\Then what's my duty?\A few years from now, you'll meet a certain girl.\A member of Justice Punch, the secret force that will one day save the world.\Justice Punch? response:	Yes.
context: Meika, don't think that just because you're a robot, you can do anything.\Robots all have their own roles and duties.\A robot is made to be adept at their duties.\Then what's my duty?\A few years from now, you'll meet a certain girl.\A member of Justice Punch, the secret force that will one day save the world.\Justice Punch?\Yes. response:	Your duty is to protect her, raise her, and assist her.
context: Robots all have their own roles and duties.\A robot is made to be adept at their duties.\Then what's my duty?\A few years from now, you'll meet a certain girl.\A member of Justice Punch, the secret force that will one day save the world.\Justice Punch?\Yes.\Your duty is to protect her, raise her, and assist her. response:	In fact, maybe I should say it's Heaven's will.
context: A robot is made to be adept at their duties.\Then what's my duty?\A few years from now, you'll meet a certain girl.\A member of Justice Punch, the secret force that will one day save the world.\Justice Punch?\Yes.\Your duty is to protect her, raise her, and assist her.\In fact, maybe I should say it's Heaven's will. response:	Are you saying that girl is...
context: Then what's my duty?\A few years from now, you'll meet a certain girl.\A member of Justice Punch, the secret force that will one day save the world.\Justice Punch?\Yes.\Your duty is to protect her, raise her, and assist her.\In fact, maybe I should say it's Heaven's will.\Are you saying that girl is... response:	I never knew Korai House held such a secret.
context: A few years from now, you'll meet a certain girl.\A member of Justice Punch, the secret force that will one day save the world.\Justice Punch?\Yes.\Your duty is to protect her, raise her, and assist her.\In fact, maybe I should say it's Heaven's will.\Are you saying that girl is...\I never knew Korai House held such a secret. response:	Yu-tan, don't look!
context: A member of Justice Punch, the secret force that will one day save the world.\Justice Punch?\Yes.\Your duty is to protect her, raise her, and assist her.\In fact, maybe I should say it's Heaven's will.\Are you saying that girl is...\I never knew Korai House held such a secret.\Yu-tan, don't look! response:	What? It's just a kid.
context: Justice Punch?\Yes.\Your duty is to protect her, raise her, and assist her.\In fact, maybe I should say it's Heaven's will.\Are you saying that girl is...\I never knew Korai House held such a secret.\Yu-tan, don't look!\What? It's just a kid. response:	Even I'm not gonna
context: Yes.\Your duty is to protect her, raise her, and assist her.\In fact, maybe I should say it's Heaven's will.\Are you saying that girl is...\I never knew Korai House held such a secret.\Yu-tan, don't look!\What? It's just a kid.\Even I'm not gonna response:	Seriously?
