context: Do you know what it means to dis Sabertooth? response:	I'm going to teach you with her body!
context: He's got the same face as me!\In other words...\Looks to me like he's dead!\It can't be!\Four... Time to stop messin' around...\For us, it's now or never,\so we're gonna win this.\Suddenly the revealed identity of the bunny is down! response:	That makes it two against one.
context: In other words...\Looks to me like he's dead!\It can't be!\Four... Time to stop messin' around...\For us, it's now or never,\so we're gonna win this.\Suddenly the revealed identity of the bunny is down!\That makes it two against one. response:	Game over, then?
context: Looks to me like he's dead!\It can't be!\Four... Time to stop messin' around...\For us, it's now or never,\so we're gonna win this.\Suddenly the revealed identity of the bunny is down!\That makes it two against one.\Game over, then? response:	Thank you very much!
context: It can't be!\Four... Time to stop messin' around...\For us, it's now or never,\so we're gonna win this.\Suddenly the revealed identity of the bunny is down!\That makes it two against one.\Game over, then?\Thank you very much! response:	Hold on, you two!
context: Four... Time to stop messin' around...\For us, it's now or never,\so we're gonna win this.\Suddenly the revealed identity of the bunny is down!\That makes it two against one.\Game over, then?\Thank you very much!\Hold on, you two! response:	Drilling rock for you!
context: For us, it's now or never,\so we're gonna win this.\Suddenly the revealed identity of the bunny is down!\That makes it two against one.\Game over, then?\Thank you very much!\Hold on, you two!\Drilling rock for you! response:	Drunken Cleaving Hook Palm, Under the Moon!
context: so we're gonna win this.\Suddenly the revealed identity of the bunny is down!\That makes it two against one.\Game over, then?\Thank you very much!\Hold on, you two!\Drilling rock for you!\Drunken Cleaving Hook Palm, Under the Moon! response:	Men!
context: Suddenly the revealed identity of the bunny is down!\That makes it two against one.\Game over, then?\Thank you very much!\Hold on, you two!\Drilling rock for you!\Drunken Cleaving Hook Palm, Under the Moon!\Men! response:	Ichiya...
context: That makes it two against one.\Game over, then?\Thank you very much!\Hold on, you two!\Drilling rock for you!\Drunken Cleaving Hook Palm, Under the Moon!\Men!\Ichiya... response:	Nichi...ya...
context: Game over, then?\Thank you very much!\Hold on, you two!\Drilling rock for you!\Drunken Cleaving Hook Palm, Under the Moon!\Men!\Ichiya...\Nichi...ya... response:	It's gonna be over now!
context: Thank you very much!\Hold on, you two!\Drilling rock for you!\Drunken Cleaving Hook Palm, Under the Moon!\Men!\Ichiya...\Nichi...ya...\It's gonna be over now! response:	Eat this!
context: Hold on, you two!\Drilling rock for you!\Drunken Cleaving Hook Palm, Under the Moon!\Men!\Ichiya...\Nichi...ya...\It's gonna be over now!\Eat this! response:	I got you involved in this battle...
context: Drilling rock for you!\Drunken Cleaving Hook Palm, Under the Moon!\Men!\Ichiya...\Nichi...ya...\It's gonna be over now!\Eat this!\I got you involved in this battle... response:	I didn't realize you were a gentleman who couldn't fight...
context: Drunken Cleaving Hook Palm, Under the Moon!\Men!\Ichiya...\Nichi...ya...\It's gonna be over now!\Eat this!\I got you involved in this battle...\I didn't realize you were a gentleman who couldn't fight... response:	Drilling rock for you!
context: Men!\Ichiya...\Nichi...ya...\It's gonna be over now!\Eat this!\I got you involved in this battle...\I didn't realize you were a gentleman who couldn't fight...\Drilling rock for you! response:	And yet,
context: Ichiya...\Nichi...ya...\It's gonna be over now!\Eat this!\I got you involved in this battle...\I didn't realize you were a gentleman who couldn't fight...\Drilling rock for you!\And yet, response:	you chose the path of fighting alongside us.
context: Nichi...ya...\It's gonna be over now!\Eat this!\I got you involved in this battle...\I didn't realize you were a gentleman who couldn't fight...\Drilling rock for you!\And yet,\you chose the path of fighting alongside us. response:	And you're incredibly handsome...
context: It's gonna be over now!\Eat this!\I got you involved in this battle...\I didn't realize you were a gentleman who couldn't fight...\Drilling rock for you!\And yet,\you chose the path of fighting alongside us.\And you're incredibly handsome... response:	Why are you on the ground?
context: Eat this!\I got you involved in this battle...\I didn't realize you were a gentleman who couldn't fight...\Drilling rock for you!\And yet,\you chose the path of fighting alongside us.\And you're incredibly handsome...\Why are you on the ground? response:	Why are you hurt?!
context: I got you involved in this battle...\I didn't realize you were a gentleman who couldn't fight...\Drilling rock for you!\And yet,\you chose the path of fighting alongside us.\And you're incredibly handsome...\Why are you on the ground?\Why are you hurt?! response:	Oh, boy! Is this the end of the match?!
context: I didn't realize you were a gentleman who couldn't fight...\Drilling rock for you!\And yet,\you chose the path of fighting alongside us.\And you're incredibly handsome...\Why are you on the ground?\Why are you hurt?!\Oh, boy! Is this the end of the match?! response:	First the cat in the bunny suit, now Blue Pegasus's Ichiya is down!
context: Drilling rock for you!\And yet,\you chose the path of fighting alongside us.\And you're incredibly handsome...\Why are you on the ground?\Why are you hurt?!\Oh, boy! Is this the end of the match?!\First the cat in the bunny suit, now Blue Pegasus's Ichiya is down! response:	Wild...
context: And yet,\you chose the path of fighting alongside us.\And you're incredibly handsome...\Why are you on the ground?\Why are you hurt?!\Oh, boy! Is this the end of the match?!\First the cat in the bunny suit, now Blue Pegasus's Ichiya is down!\Wild... response:	Wait, not yet!
context: you chose the path of fighting alongside us.\And you're incredibly handsome...\Why are you on the ground?\Why are you hurt?!\Oh, boy! Is this the end of the match?!\First the cat in the bunny suit, now Blue Pegasus's Ichiya is down!\Wild...\Wait, not yet! response:	It looks like Ichiya of Blue Pegasus is going to stand up!
context: And you're incredibly handsome...\Why are you on the ground?\Why are you hurt?!\Oh, boy! Is this the end of the match?!\First the cat in the bunny suit, now Blue Pegasus's Ichiya is down!\Wild...\Wait, not yet!\It looks like Ichiya of Blue Pegasus is going to stand up! response:	I won't let your feelings go to waste!
context: Why are you on the ground?\Why are you hurt?!\Oh, boy! Is this the end of the match?!\First the cat in the bunny suit, now Blue Pegasus's Ichiya is down!\Wild...\Wait, not yet!\It looks like Ichiya of Blue Pegasus is going to stand up!\I won't let your feelings go to waste! response:	Handsomeness is justice!
context: Why are you hurt?!\Oh, boy! Is this the end of the match?!\First the cat in the bunny suit, now Blue Pegasus's Ichiya is down!\Wild...\Wait, not yet!\It looks like Ichiya of Blue Pegasus is going to stand up!\I won't let your feelings go to waste!\Handsomeness is justice! response:	Muscle-men!
context: Oh, boy! Is this the end of the match?!\First the cat in the bunny suit, now Blue Pegasus's Ichiya is down!\Wild...\Wait, not yet!\It looks like Ichiya of Blue Pegasus is going to stand up!\I won't let your feelings go to waste!\Handsomeness is justice!\Muscle-men! response:	Men-men-muscle-men!
context: First the cat in the bunny suit, now Blue Pegasus's Ichiya is down!\Wild...\Wait, not yet!\It looks like Ichiya of Blue Pegasus is going to stand up!\I won't let your feelings go to waste!\Handsomeness is justice!\Muscle-men!\Men-men-muscle-men! response:	Muscle-men-men!
context: Wild...\Wait, not yet!\It looks like Ichiya of Blue Pegasus is going to stand up!\I won't let your feelings go to waste!\Handsomeness is justice!\Muscle-men!\Men-men-muscle-men!\Muscle-men-men! response:	H-How'd he suddenly turn wild...?
context: Wait, not yet!\It looks like Ichiya of Blue Pegasus is going to stand up!\I won't let your feelings go to waste!\Handsomeness is justice!\Muscle-men!\Men-men-muscle-men!\Muscle-men-men!\H-How'd he suddenly turn wild...? response:	That's the power of parfum!
context: It looks like Ichiya of Blue Pegasus is going to stand up!\I won't let your feelings go to waste!\Handsomeness is justice!\Muscle-men!\Men-men-muscle-men!\Muscle-men-men!\H-How'd he suddenly turn wild...?\That's the power of parfum! response:	I dedicate this to you...
context: I won't let your feelings go to waste!\Handsomeness is justice!\Muscle-men!\Men-men-muscle-men!\Muscle-men-men!\H-How'd he suddenly turn wild...?\That's the power of parfum!\I dedicate this to you... response:	The parfum called victory!
context: Handsomeness is justice!\Muscle-men!\Men-men-muscle-men!\Muscle-men-men!\H-How'd he suddenly turn wild...?\That's the power of parfum!\I dedicate this to you...\The parfum called victory! response:	Ichiya-san?!
context: Muscle-men!\Men-men-muscle-men!\Muscle-men-men!\H-How'd he suddenly turn wild...?\That's the power of parfum!\I dedicate this to you...\The parfum called victory!\Ichiya-san?! response:	This is kind of touching...
context: Men-men-muscle-men!\Muscle-men-men!\H-How'd he suddenly turn wild...?\That's the power of parfum!\I dedicate this to you...\The parfum called victory!\Ichiya-san?!\This is kind of touching... response:	Wild Four!
context: Muscle-men-men!\H-How'd he suddenly turn wild...?\That's the power of parfum!\I dedicate this to you...\The parfum called victory!\Ichiya-san?!\This is kind of touching...\Wild Four! response:	Drilling rock for you!
context: H-How'd he suddenly turn wild...?\That's the power of parfum!\I dedicate this to you...\The parfum called victory!\Ichiya-san?!\This is kind of touching...\Wild Four!\Drilling rock for you! response:	My soul is quivering!
context: That's the power of parfum!\I dedicate this to you...\The parfum called victory!\Ichiya-san?!\This is kind of touching...\Wild Four!\Drilling rock for you!\My soul is quivering! response:	Drunken Cleaving Hook Palm!
context: I dedicate this to you...\The parfum called victory!\Ichiya-san?!\This is kind of touching...\Wild Four!\Drilling rock for you!\My soul is quivering!\Drunken Cleaving Hook Palm! response:	Take this! It's my...
context: The parfum called victory!\Ichiya-san?!\This is kind of touching...\Wild Four!\Drilling rock for you!\My soul is quivering!\Drunken Cleaving Hook Palm!\Take this! It's my... response:	Smile!
context: Ichiya-san?!\This is kind of touching...\Wild Four!\Drilling rock for you!\My soul is quivering!\Drunken Cleaving Hook Palm!\Take this! It's my...\Smile! response:	Smash!
context: This is kind of touching...\Wild Four!\Drilling rock for you!\My soul is quivering!\Drunken Cleaving Hook Palm!\Take this! It's my...\Smile!\Smash! response:	Down! Quatro Puppy is down!
context: Wild Four!\Drilling rock for you!\My soul is quivering!\Drunken Cleaving Hook Palm!\Take this! It's my...\Smile!\Smash!\Down! Quatro Puppy is down! response:	The winner is Blue Pegasus!
context: Drilling rock for you!\My soul is quivering!\Drunken Cleaving Hook Palm!\Take this! It's my...\Smile!\Smash!\Down! Quatro Puppy is down!\The winner is Blue Pegasus! response:	Men!
context: My soul is quivering!\Drunken Cleaving Hook Palm!\Take this! It's my...\Smile!\Smash!\Down! Quatro Puppy is down!\The winner is Blue Pegasus!\Men! response:	Against Bacchus...
context: Drunken Cleaving Hook Palm!\Take this! It's my...\Smile!\Smash!\Down! Quatro Puppy is down!\The winner is Blue Pegasus!\Men!\Against Bacchus... response:	He won, two against one...
context: Take this! It's my...\Smile!\Smash!\Down! Quatro Puppy is down!\The winner is Blue Pegasus!\Men!\Against Bacchus...\He won, two against one... response:	It looks like he's not just an idiot.
context: Smile!\Smash!\Down! Quatro Puppy is down!\The winner is Blue Pegasus!\Men!\Against Bacchus...\He won, two against one...\It looks like he's not just an idiot. response:	Nah, he's awesome!
context: Smash!\Down! Quatro Puppy is down!\The winner is Blue Pegasus!\Men!\Against Bacchus...\He won, two against one...\It looks like he's not just an idiot.\Nah, he's awesome! response:	How handsome can you get?
context: Down! Quatro Puppy is down!\The winner is Blue Pegasus!\Men!\Against Bacchus...\He won, two against one...\It looks like he's not just an idiot.\Nah, he's awesome!\How handsome can you get? response:	That's our blue angel.
context: The winner is Blue Pegasus!\Men!\Against Bacchus...\He won, two against one...\It looks like he's not just an idiot.\Nah, he's awesome!\How handsome can you get?\That's our blue angel. response:	He's so cool!
context: Men!\Against Bacchus...\He won, two against one...\It looks like he's not just an idiot.\Nah, he's awesome!\How handsome can you get?\That's our blue angel.\He's so cool! response:	I knew Ichiya-san could do it!
context: Against Bacchus...\He won, two against one...\It looks like he's not just an idiot.\Nah, he's awesome!\How handsome can you get?\That's our blue angel.\He's so cool!\I knew Ichiya-san could do it! response:	Are you okay, Nichiya?
context: He won, two against one...\It looks like he's not just an idiot.\Nah, he's awesome!\How handsome can you get?\That's our blue angel.\He's so cool!\I knew Ichiya-san could do it!\Are you okay, Nichiya? response:	Wasn't very... Men... of me...
context: It looks like he's not just an idiot.\Nah, he's awesome!\How handsome can you get?\That's our blue angel.\He's so cool!\I knew Ichiya-san could do it!\Are you okay, Nichiya?\Wasn't very... Men... of me... response:	Wow, what a great match, huh?
context: Nah, he's awesome!\How handsome can you get?\That's our blue angel.\He's so cool!\I knew Ichiya-san could do it!\Are you okay, Nichiya?\Wasn't very... Men... of me...\Wow, what a great match, huh? response:	I-I suppose...?
context: How handsome can you get?\That's our blue angel.\He's so cool!\I knew Ichiya-san could do it!\Are you okay, Nichiya?\Wasn't very... Men... of me...\Wow, what a great match, huh?\I-I suppose...? response:	It was extremely disgusting. Thank you very much.
context: That's our blue angel.\He's so cool!\I knew Ichiya-san could do it!\Are you okay, Nichiya?\Wasn't very... Men... of me...\Wow, what a great match, huh?\I-I suppose...?\It was extremely disgusting. Thank you very much. response:	Alright, on to the second match!
context: He's so cool!\I knew Ichiya-san could do it!\Are you okay, Nichiya?\Wasn't very... Men... of me...\Wow, what a great match, huh?\I-I suppose...?\It was extremely disgusting. Thank you very much.\Alright, on to the second match! response:	Lyon and Yuka from Lamia Scale!
context: I knew Ichiya-san could do it!\Are you okay, Nichiya?\Wasn't very... Men... of me...\Wow, what a great match, huh?\I-I suppose...?\It was extremely disgusting. Thank you very much.\Alright, on to the second match!\Lyon and Yuka from Lamia Scale! response:	Versus Kagura and Millianna from Mermaid Heel!
context: Are you okay, Nichiya?\Wasn't very... Men... of me...\Wow, what a great match, huh?\I-I suppose...?\It was extremely disgusting. Thank you very much.\Alright, on to the second match!\Lyon and Yuka from Lamia Scale!\Versus Kagura and Millianna from Mermaid Heel! response:	Lyon and Kagura, huh? This should be interesting.
context: Wasn't very... Men... of me...\Wow, what a great match, huh?\I-I suppose...?\It was extremely disgusting. Thank you very much.\Alright, on to the second match!\Lyon and Yuka from Lamia Scale!\Versus Kagura and Millianna from Mermaid Heel!\Lyon and Kagura, huh? This should be interesting. response:	Alright, on to the second match.
context: Wow, what a great match, huh?\I-I suppose...?\It was extremely disgusting. Thank you very much.\Alright, on to the second match!\Lyon and Yuka from Lamia Scale!\Versus Kagura and Millianna from Mermaid Heel!\Lyon and Kagura, huh? This should be interesting.\Alright, on to the second match. response:	Commentator Natsu-san, what do you have to say about this match-up?
context: I-I suppose...?\It was extremely disgusting. Thank you very much.\Alright, on to the second match!\Lyon and Yuka from Lamia Scale!\Versus Kagura and Millianna from Mermaid Heel!\Lyon and Kagura, huh? This should be interesting.\Alright, on to the second match.\Commentator Natsu-san, what do you have to say about this match-up? response:	Lyon often picks fights with Gray, so he's okay in my book!
context: It was extremely disgusting. Thank you very much.\Alright, on to the second match!\Lyon and Yuka from Lamia Scale!\Versus Kagura and Millianna from Mermaid Heel!\Lyon and Kagura, huh? This should be interesting.\Alright, on to the second match.\Commentator Natsu-san, what do you have to say about this match-up?\Lyon often picks fights with Gray, so he's okay in my book! response:	Regarding Yuka, back when we were on Galuna Island,
context: Alright, on to the second match!\Lyon and Yuka from Lamia Scale!\Versus Kagura and Millianna from Mermaid Heel!\Lyon and Kagura, huh? This should be interesting.\Alright, on to the second match.\Commentator Natsu-san, what do you have to say about this match-up?\Lyon often picks fights with Gray, so he's okay in my book!\Regarding Yuka, back when we were on Galuna Island, response:	he shot me with that shocking thing.
context: Lyon and Yuka from Lamia Scale!\Versus Kagura and Millianna from Mermaid Heel!\Lyon and Kagura, huh? This should be interesting.\Alright, on to the second match.\Commentator Natsu-san, what do you have to say about this match-up?\Lyon often picks fights with Gray, so he's okay in my book!\Regarding Yuka, back when we were on Galuna Island,\he shot me with that shocking thing. response:	Uh-huh...
context: Versus Kagura and Millianna from Mermaid Heel!\Lyon and Kagura, huh? This should be interesting.\Alright, on to the second match.\Commentator Natsu-san, what do you have to say about this match-up?\Lyon often picks fights with Gray, so he's okay in my book!\Regarding Yuka, back when we were on Galuna Island,\he shot me with that shocking thing.\Uh-huh... response:	I don't know about Kagura!
context: Lyon and Kagura, huh? This should be interesting.\Alright, on to the second match.\Commentator Natsu-san, what do you have to say about this match-up?\Lyon often picks fights with Gray, so he's okay in my book!\Regarding Yuka, back when we were on Galuna Island,\he shot me with that shocking thing.\Uh-huh...\I don't know about Kagura! response:	Millianna's easy to beat,'cause all you gotta do is dress like a cat
context: Alright, on to the second match.\Commentator Natsu-san, what do you have to say about this match-up?\Lyon often picks fights with Gray, so he's okay in my book!\Regarding Yuka, back when we were on Galuna Island,\he shot me with that shocking thing.\Uh-huh...\I don't know about Kagura!\Millianna's easy to beat,'cause all you gotta do is dress like a cat response:	and she goes gooey-eyed!
context: Commentator Natsu-san, what do you have to say about this match-up?\Lyon often picks fights with Gray, so he's okay in my book!\Regarding Yuka, back when we were on Galuna Island,\he shot me with that shocking thing.\Uh-huh...\I don't know about Kagura!\Millianna's easy to beat,'cause all you gotta do is dress like a cat\and she goes gooey-eyed! response:	Next time: Battle of the Dragon Slayers!
context: Lyon often picks fights with Gray, so he's okay in my book!\Regarding Yuka, back when we were on Galuna Island,\he shot me with that shocking thing.\Uh-huh...\I don't know about Kagura!\Millianna's easy to beat,'cause all you gotta do is dress like a cat\and she goes gooey-eyed!\Next time: Battle of the Dragon Slayers! response:	Thank you, Natsu-san! I knew you would explain in a way that's easy to understand.
context: Regarding Yuka, back when we were on Galuna Island,\he shot me with that shocking thing.\Uh-huh...\I don't know about Kagura!\Millianna's easy to beat,'cause all you gotta do is dress like a cat\and she goes gooey-eyed!\Next time: Battle of the Dragon Slayers!\Thank you, Natsu-san! I knew you would explain in a way that's easy to understand. response:	It was nothin'!
