context: No, that's not true. response:	Yeah, I know it's not.
context: Jintan.\Hey.\Hey, my stress. Give me a break already.\When I'm with you, I remember...\I remember things I don't want to.\And I get pissed off.\Jintan.\Back then. response:	That summer back then.
context: Hey.\Hey, my stress. Give me a break already.\When I'm with you, I remember...\I remember things I don't want to.\And I get pissed off.\Jintan.\Back then.\That summer back then. response:	It wasn't like this.
context: Hey, my stress. Give me a break already.\When I'm with you, I remember...\I remember things I don't want to.\And I get pissed off.\Jintan.\Back then.\That summer back then.\It wasn't like this. response:	I've got it!
context: When I'm with you, I remember...\I remember things I don't want to.\And I get pissed off.\Jintan.\Back then.\That summer back then.\It wasn't like this.\I've got it! response:	What?
context: I remember things I don't want to.\And I get pissed off.\Jintan.\Back then.\That summer back then.\It wasn't like this.\I've got it!\What? response:	We'll be the Super Peace Busters!
context: And I get pissed off.\Jintan.\Back then.\That summer back then.\It wasn't like this.\I've got it!\What?\We'll be the Super Peace Busters! response:	Wow! That's so cool!
context: Jintan.\Back then.\That summer back then.\It wasn't like this.\I've got it!\What?\We'll be the Super Peace Busters!\Wow! That's so cool! response:	What's'busters?'
context: Back then.\That summer back then.\It wasn't like this.\I've got it!\What?\We'll be the Super Peace Busters!\Wow! That's so cool!\What's'busters?' response:	It's like a group of strong people.
context: That summer back then.\It wasn't like this.\I've got it!\What?\We'll be the Super Peace Busters!\Wow! That's so cool!\What's'busters?'\It's like a group of strong people. response:	We'll protect the peace!
context: It wasn't like this.\I've got it!\What?\We'll be the Super Peace Busters!\Wow! That's so cool!\What's'busters?'\It's like a group of strong people.\We'll protect the peace! response:	Awesome!
context: I've got it!\What?\We'll be the Super Peace Busters!\Wow! That's so cool!\What's'busters?'\It's like a group of strong people.\We'll protect the peace!\Awesome! response:	What peace are we going to protect?
context: What?\We'll be the Super Peace Busters!\Wow! That's so cool!\What's'busters?'\It's like a group of strong people.\We'll protect the peace!\Awesome!\What peace are we going to protect? response:	The peace here, there, and everywhere!
context: We'll be the Super Peace Busters!\Wow! That's so cool!\What's'busters?'\It's like a group of strong people.\We'll protect the peace!\Awesome!\What peace are we going to protect?\The peace here, there, and everywhere! response:	Then Jintan will be the leader, right?
context: Wow! That's so cool!\What's'busters?'\It's like a group of strong people.\We'll protect the peace!\Awesome!\What peace are we going to protect?\The peace here, there, and everywhere!\Then Jintan will be the leader, right? response:	Yeah!
context: What's'busters?'\It's like a group of strong people.\We'll protect the peace!\Awesome!\What peace are we going to protect?\The peace here, there, and everywhere!\Then Jintan will be the leader, right?\Yeah! response:	Everyone followed me.
context: It's like a group of strong people.\We'll protect the peace!\Awesome!\What peace are we going to protect?\The peace here, there, and everywhere!\Then Jintan will be the leader, right?\Yeah!\Everyone followed me. response:	That's right.
context: We'll protect the peace!\Awesome!\What peace are we going to protect?\The peace here, there, and everywhere!\Then Jintan will be the leader, right?\Yeah!\Everyone followed me.\That's right. response:	On that day.
context: Awesome!\What peace are we going to protect?\The peace here, there, and everywhere!\Then Jintan will be the leader, right?\Yeah!\Everyone followed me.\That's right.\On that day. response:	Even on that day.
context: What peace are we going to protect?\The peace here, there, and everywhere!\Then Jintan will be the leader, right?\Yeah!\Everyone followed me.\That's right.\On that day.\Even on that day. response:	Hey, Jintan.
context: The peace here, there, and everywhere!\Then Jintan will be the leader, right?\Yeah!\Everyone followed me.\That's right.\On that day.\Even on that day.\Hey, Jintan. response:	Huh?
context: Then Jintan will be the leader, right?\Yeah!\Everyone followed me.\That's right.\On that day.\Even on that day.\Hey, Jintan.\Huh? response:	You like Menma, don't you?
context: Yeah!\Everyone followed me.\That's right.\On that day.\Even on that day.\Hey, Jintan.\Huh?\You like Menma, don't you? response:	What are you talking about?
context: Everyone followed me.\That's right.\On that day.\Even on that day.\Hey, Jintan.\Huh?\You like Menma, don't you?\What are you talking about? response:	Be honest about it.
context: That's right.\On that day.\Even on that day.\Hey, Jintan.\Huh?\You like Menma, don't you?\What are you talking about?\Be honest about it. response:	There aren't any secrets among the Super Peace Busters.
context: On that day.\Even on that day.\Hey, Jintan.\Huh?\You like Menma, don't you?\What are you talking about?\Be honest about it.\There aren't any secrets among the Super Peace Busters. response:	Yukiatsu.
context: Even on that day.\Hey, Jintan.\Huh?\You like Menma, don't you?\What are you talking about?\Be honest about it.\There aren't any secrets among the Super Peace Busters.\Yukiatsu. response:	Say it, say it, say it!
context: Hey, Jintan.\Huh?\You like Menma, don't you?\What are you talking about?\Be honest about it.\There aren't any secrets among the Super Peace Busters.\Yukiatsu.\Say it, say it, say it! response:	Just let it go already.
context: Huh?\You like Menma, don't you?\What are you talking about?\Be honest about it.\There aren't any secrets among the Super Peace Busters.\Yukiatsu.\Say it, say it, say it!\Just let it go already. response:	Who...
context: You like Menma, don't you?\What are you talking about?\Be honest about it.\There aren't any secrets among the Super Peace Busters.\Yukiatsu.\Say it, say it, say it!\Just let it go already.\Who... response:	Who'd like an ugly girl like...
context: What are you talking about?\Be honest about it.\There aren't any secrets among the Super Peace Busters.\Yukiatsu.\Say it, say it, say it!\Just let it go already.\Who...\Who'd like an ugly girl like... response:	I thought she'd cry.
context: Be honest about it.\There aren't any secrets among the Super Peace Busters.\Yukiatsu.\Say it, say it, say it!\Just let it go already.\Who...\Who'd like an ugly girl like...\I thought she'd cry. response:	Because she's such a crybaby.
context: There aren't any secrets among the Super Peace Busters.\Yukiatsu.\Say it, say it, say it!\Just let it go already.\Who...\Who'd like an ugly girl like...\I thought she'd cry.\Because she's such a crybaby. response:	But...
context: Yukiatsu.\Say it, say it, say it!\Just let it go already.\Who...\Who'd like an ugly girl like...\I thought she'd cry.\Because she's such a crybaby.\But... response:	Wait, Jintan!
context: Say it, say it, say it!\Just let it go already.\Who...\Who'd like an ugly girl like...\I thought she'd cry.\Because she's such a crybaby.\But...\Wait, Jintan! response:	Jintan!
context: Just let it go already.\Who...\Who'd like an ugly girl like...\I thought she'd cry.\Because she's such a crybaby.\But...\Wait, Jintan!\Jintan! response:	Oh, you're back already?
context: Who...\Who'd like an ugly girl like...\I thought she'd cry.\Because she's such a crybaby.\But...\Wait, Jintan!\Jintan!\Oh, you're back already? response:	I'm going to see your mom for a bit.
context: Who'd like an ugly girl like...\I thought she'd cry.\Because she's such a crybaby.\But...\Wait, Jintan!\Jintan!\Oh, you're back already?\I'm going to see your mom for a bit. response:	Microwave the food I left you before you eat it.
context: I thought she'd cry.\Because she's such a crybaby.\But...\Wait, Jintan!\Jintan!\Oh, you're back already?\I'm going to see your mom for a bit.\Microwave the food I left you before you eat it. response:	That smile tore at my heart.
context: Because she's such a crybaby.\But...\Wait, Jintan!\Jintan!\Oh, you're back already?\I'm going to see your mom for a bit.\Microwave the food I left you before you eat it.\That smile tore at my heart. response:	I thought I should just apologize tomorrow.
context: But...\Wait, Jintan!\Jintan!\Oh, you're back already?\I'm going to see your mom for a bit.\Microwave the food I left you before you eat it.\That smile tore at my heart.\I thought I should just apologize tomorrow. response:	Gross.
context: Wait, Jintan!\Jintan!\Oh, you're back already?\I'm going to see your mom for a bit.\Microwave the food I left you before you eat it.\That smile tore at my heart.\I thought I should just apologize tomorrow.\Gross. response:	But that tomorrow...
context: Jintan!\Oh, you're back already?\I'm going to see your mom for a bit.\Microwave the food I left you before you eat it.\That smile tore at my heart.\I thought I should just apologize tomorrow.\Gross.\But that tomorrow... response:	Curry.
context: Oh, you're back already?\I'm going to see your mom for a bit.\Microwave the food I left you before you eat it.\That smile tore at my heart.\I thought I should just apologize tomorrow.\Gross.\But that tomorrow...\Curry. response:	The door's open.
context: I'm going to see your mom for a bit.\Microwave the food I left you before you eat it.\That smile tore at my heart.\I thought I should just apologize tomorrow.\Gross.\But that tomorrow...\Curry.\The door's open. response:	Then you should close it.
context: Microwave the food I left you before you eat it.\That smile tore at my heart.\I thought I should just apologize tomorrow.\Gross.\But that tomorrow...\Curry.\The door's open.\Then you should close it. response:	Wow, it's Saa! You've gotten so big.
context: That smile tore at my heart.\I thought I should just apologize tomorrow.\Gross.\But that tomorrow...\Curry.\The door's open.\Then you should close it.\Wow, it's Saa! You've gotten so big. response:	And dad's got lots of gray hair.
context: I thought I should just apologize tomorrow.\Gross.\But that tomorrow...\Curry.\The door's open.\Then you should close it.\Wow, it's Saa! You've gotten so big.\And dad's got lots of gray hair. response:	Mama.
context: Gross.\But that tomorrow...\Curry.\The door's open.\Then you should close it.\Wow, it's Saa! You've gotten so big.\And dad's got lots of gray hair.\Mama. response:	Just stop doing that already.
context: But that tomorrow...\Curry.\The door's open.\Then you should close it.\Wow, it's Saa! You've gotten so big.\And dad's got lots of gray hair.\Mama.\Just stop doing that already. response:	Saa?
context: Curry.\The door's open.\Then you should close it.\Wow, it's Saa! You've gotten so big.\And dad's got lots of gray hair.\Mama.\Just stop doing that already.\Saa? response:	You always offer a bowl to Sis whenever we have curry.
context: The door's open.\Then you should close it.\Wow, it's Saa! You've gotten so big.\And dad's got lots of gray hair.\Mama.\Just stop doing that already.\Saa?\You always offer a bowl to Sis whenever we have curry. response:	It's an eyesore.
context: Then you should close it.\Wow, it's Saa! You've gotten so big.\And dad's got lots of gray hair.\Mama.\Just stop doing that already.\Saa?\You always offer a bowl to Sis whenever we have curry.\It's an eyesore. response:	That's because it was her favorite food.
context: Wow, it's Saa! You've gotten so big.\And dad's got lots of gray hair.\Mama.\Just stop doing that already.\Saa?\You always offer a bowl to Sis whenever we have curry.\It's an eyesore.\That's because it was her favorite food. response:	Dead people don't eat.
context: And dad's got lots of gray hair.\Mama.\Just stop doing that already.\Saa?\You always offer a bowl to Sis whenever we have curry.\It's an eyesore.\That's because it was her favorite food.\Dead people don't eat. response:	Don't say that.
context: Mama.\Just stop doing that already.\Saa?\You always offer a bowl to Sis whenever we have curry.\It's an eyesore.\That's because it was her favorite food.\Dead people don't eat.\Don't say that. response:	Your sister was a bit of an airhead, so maybe she hasn't even realized that she died.
context: Just stop doing that already.\Saa?\You always offer a bowl to Sis whenever we have curry.\It's an eyesore.\That's because it was her favorite food.\Dead people don't eat.\Don't say that.\Your sister was a bit of an airhead, so maybe she hasn't even realized that she died. response:	I know.
context: Saa?\You always offer a bowl to Sis whenever we have curry.\It's an eyesore.\That's because it was her favorite food.\Dead people don't eat.\Don't say that.\Your sister was a bit of an airhead, so maybe she hasn't even realized that she died.\I know. response:	I know that I died.
context: You always offer a bowl to Sis whenever we have curry.\It's an eyesore.\That's because it was her favorite food.\Dead people don't eat.\Don't say that.\Your sister was a bit of an airhead, so maybe she hasn't even realized that she died.\I know.\I know that I died. response:	What the heck are you doing?
context: It's an eyesore.\That's because it was her favorite food.\Dead people don't eat.\Don't say that.\Your sister was a bit of an airhead, so maybe she hasn't even realized that she died.\I know.\I know that I died.\What the heck are you doing? response:	I don't know. The cup moved on its own.
context: That's because it was her favorite food.\Dead people don't eat.\Don't say that.\Your sister was a bit of an airhead, so maybe she hasn't even realized that she died.\I know.\I know that I died.\What the heck are you doing?\I don't know. The cup moved on its own. response:	Menma?
context: Dead people don't eat.\Don't say that.\Your sister was a bit of an airhead, so maybe she hasn't even realized that she died.\I know.\I know that I died.\What the heck are you doing?\I don't know. The cup moved on its own.\Menma? response:	Just clean it up.
context: Don't say that.\Your sister was a bit of an airhead, so maybe she hasn't even realized that she died.\I know.\I know that I died.\What the heck are you doing?\I don't know. The cup moved on its own.\Menma?\Just clean it up. response:	I didn't even do it.
context: Your sister was a bit of an airhead, so maybe she hasn't even realized that she died.\I know.\I know that I died.\What the heck are you doing?\I don't know. The cup moved on its own.\Menma?\Just clean it up.\I didn't even do it. response:	Completely empty.
context: I know.\I know that I died.\What the heck are you doing?\I don't know. The cup moved on its own.\Menma?\Just clean it up.\I didn't even do it.\Completely empty. response:	Dang it, dad.
context: I know that I died.\What the heck are you doing?\I don't know. The cup moved on its own.\Menma?\Just clean it up.\I didn't even do it.\Completely empty.\Dang it, dad. response:	And then...
context: What the heck are you doing?\I don't know. The cup moved on its own.\Menma?\Just clean it up.\I didn't even do it.\Completely empty.\Dang it, dad.\And then... response:	I want egg soup, egg soup!
context: I don't know. The cup moved on its own.\Menma?\Just clean it up.\I didn't even do it.\Completely empty.\Dang it, dad.\And then...\I want egg soup, egg soup! response:	That girl...
context: Menma?\Just clean it up.\I didn't even do it.\Completely empty.\Dang it, dad.\And then...\I want egg soup, egg soup!\That girl... response:	-ED-
context: Just clean it up.\I didn't even do it.\Completely empty.\Dang it, dad.\And then...\I want egg soup, egg soup!\That girl...\-ED- response:	I've always wanted...
context: I didn't even do it.\Completely empty.\Dang it, dad.\And then...\I want egg soup, egg soup!\That girl...\-ED-\I've always wanted... response:	Where could she have gone?
context: Completely empty.\Dang it, dad.\And then...\I want egg soup, egg soup!\That girl...\-ED-\I've always wanted...\Where could she have gone? response:	I've always wanted...
context: Dang it, dad.\And then...\I want egg soup, egg soup!\That girl...\-ED-\I've always wanted...\Where could she have gone?\I've always wanted... response:	Menma.
context: And then...\I want egg soup, egg soup!\That girl...\-ED-\I've always wanted...\Where could she have gone?\I've always wanted...\Menma. response:	My stress.
context: I want egg soup, egg soup!\That girl...\-ED-\I've always wanted...\Where could she have gone?\I've always wanted...\Menma.\My stress. response:	My trauma.
context: That girl...\-ED-\I've always wanted...\Where could she have gone?\I've always wanted...\Menma.\My stress.\My trauma. response:	That's right. I'm sure of it.
context: -ED-\I've always wanted...\Where could she have gone?\I've always wanted...\Menma.\My stress.\My trauma.\That's right. I'm sure of it. response:	I conjured Menma up so that I could apologize to her.
context: I've always wanted...\Where could she have gone?\I've always wanted...\Menma.\My stress.\My trauma.\That's right. I'm sure of it.\I conjured Menma up so that I could apologize to her. response:	If that's the case, then I have to...
context: Where could she have gone?\I've always wanted...\Menma.\My stress.\My trauma.\That's right. I'm sure of it.\I conjured Menma up so that I could apologize to her.\If that's the case, then I have to... response:	Men...
context: I've always wanted...\Menma.\My stress.\My trauma.\That's right. I'm sure of it.\I conjured Menma up so that I could apologize to her.\If that's the case, then I have to...\Men... response:	What's all this?
context: Menma.\My stress.\My trauma.\That's right. I'm sure of it.\I conjured Menma up so that I could apologize to her.\If that's the case, then I have to...\Men...\What's all this? response:	This is one specific fetish.
context: My stress.\My trauma.\That's right. I'm sure of it.\I conjured Menma up so that I could apologize to her.\If that's the case, then I have to...\Men...\What's all this?\This is one specific fetish. response:	You fool!
context: My trauma.\That's right. I'm sure of it.\I conjured Menma up so that I could apologize to her.\If that's the case, then I have to...\Men...\What's all this?\This is one specific fetish.\You fool! response:	The romance lies in the impossibility!
context: That's right. I'm sure of it.\I conjured Menma up so that I could apologize to her.\If that's the case, then I have to...\Men...\What's all this?\This is one specific fetish.\You fool!\The romance lies in the impossibility! response:	What? You're Jintan, right?
context: I conjured Menma up so that I could apologize to her.\If that's the case, then I have to...\Men...\What's all this?\This is one specific fetish.\You fool!\The romance lies in the impossibility!\What? You're Jintan, right? response:	Poppo?
context: If that's the case, then I have to...\Men...\What's all this?\This is one specific fetish.\You fool!\The romance lies in the impossibility!\What? You're Jintan, right?\Poppo? response:	Let's carve our name here.
context: Men...\What's all this?\This is one specific fetish.\You fool!\The romance lies in the impossibility!\What? You're Jintan, right?\Poppo?\Let's carve our name here. response:	How do you write'super?'
context: What's all this?\This is one specific fetish.\You fool!\The romance lies in the impossibility!\What? You're Jintan, right?\Poppo?\Let's carve our name here.\How do you write'super?' response:	You haven't learned it yet?
context: This is one specific fetish.\You fool!\The romance lies in the impossibility!\What? You're Jintan, right?\Poppo?\Let's carve our name here.\How do you write'super?'\You haven't learned it yet? response:	Write the radical for'run' to the left...
context: You fool!\The romance lies in the impossibility!\What? You're Jintan, right?\Poppo?\Let's carve our name here.\How do you write'super?'\You haven't learned it yet?\Write the radical for'run' to the left... response:	So how do you write'run?'
context: The romance lies in the impossibility!\What? You're Jintan, right?\Poppo?\Let's carve our name here.\How do you write'super?'\You haven't learned it yet?\Write the radical for'run' to the left...\So how do you write'run?' response:	What are you doing here?
context: What? You're Jintan, right?\Poppo?\Let's carve our name here.\How do you write'super?'\You haven't learned it yet?\Write the radical for'run' to the left...\So how do you write'run?'\What are you doing here? response:	The time that stopped on that day has started moving again.
context: Poppo?\Let's carve our name here.\How do you write'super?'\You haven't learned it yet?\Write the radical for'run' to the left...\So how do you write'run?'\What are you doing here?\The time that stopped on that day has started moving again. response:	Where should I go?
context: Let's carve our name here.\How do you write'super?'\You haven't learned it yet?\Write the radical for'run' to the left...\So how do you write'run?'\What are you doing here?\The time that stopped on that day has started moving again.\Where should I go? response:	Jinta
context: How do you write'super?'\You haven't learned it yet?\Write the radical for'run' to the left...\So how do you write'run?'\What are you doing here?\The time that stopped on that day has started moving again.\Where should I go?\Jinta response:	We still don't know the name of the flower we saw that day.
context: You haven't learned it yet?\Write the radical for'run' to the left...\So how do you write'run?'\What are you doing here?\The time that stopped on that day has started moving again.\Where should I go?\Jinta\We still don't know the name of the flower we saw that day. response:	Episode 1
context: Write the radical for'run' to the left...\So how do you write'run?'\What are you doing here?\The time that stopped on that day has started moving again.\Where should I go?\Jinta\We still don't know the name of the flower we saw that day.\Episode 1 response:	Super Peace Busters
context: So how do you write'run?'\What are you doing here?\The time that stopped on that day has started moving again.\Where should I go?\Jinta\We still don't know the name of the flower we saw that day.\Episode 1\Super Peace Busters response:	We want to support you! No matter how small the issue, please talk to us!
context: What are you doing here?\The time that stopped on that day has started moving again.\Where should I go?\Jinta\We still don't know the name of the flower we saw that day.\Episode 1\Super Peace Busters\We want to support you! No matter how small the issue, please talk to us! response:	Wash and dry your hands before you eat. - Dad
context: The time that stopped on that day has started moving again.\Where should I go?\Jinta\We still don't know the name of the flower we saw that day.\Episode 1\Super Peace Busters\We want to support you! No matter how small the issue, please talk to us!\Wash and dry your hands before you eat. - Dad response:	Super Peace Busters
context: Where should I go?\Jinta\We still don't know the name of the flower we saw that day.\Episode 1\Super Peace Busters\We want to support you! No matter how small the issue, please talk to us!\Wash and dry your hands before you eat. - Dad\Super Peace Busters response:	Mourning Gown Housewives
context: Jinta\We still don't know the name of the flower we saw that day.\Episode 1\Super Peace Busters\We want to support you! No matter how small the issue, please talk to us!\Wash and dry your hands before you eat. - Dad\Super Peace Busters\Mourning Gown Housewives response:	Mourning Gown Housewives
context: We still don't know the name of the flower we saw that day.\Episode 1\Super Peace Busters\We want to support you! No matter how small the issue, please talk to us!\Wash and dry your hands before you eat. - Dad\Super Peace Busters\Mourning Gown Housewives\Mourning Gown Housewives response:	I will never forget the hopes and dreams we shared during that one summer's end.
context: Episode 1\Super Peace Busters\We want to support you! No matter how small the issue, please talk to us!\Wash and dry your hands before you eat. - Dad\Super Peace Busters\Mourning Gown Housewives\Mourning Gown Housewives\I will never forget the hopes and dreams we shared during that one summer's end. response:	I'm sure we will meet again in another August, in maybe ten years time.
context: Super Peace Busters\We want to support you! No matter how small the issue, please talk to us!\Wash and dry your hands before you eat. - Dad\Super Peace Busters\Mourning Gown Housewives\Mourning Gown Housewives\I will never forget the hopes and dreams we shared during that one summer's end.\I'm sure we will meet again in another August, in maybe ten years time. response:	But those are my best memories.
context: We want to support you! No matter how small the issue, please talk to us!\Wash and dry your hands before you eat. - Dad\Super Peace Busters\Mourning Gown Housewives\Mourning Gown Housewives\I will never forget the hopes and dreams we shared during that one summer's end.\I'm sure we will meet again in another August, in maybe ten years time.\But those are my best memories. response:	We met in an unexpected moment
context: Wash and dry your hands before you eat. - Dad\Super Peace Busters\Mourning Gown Housewives\Mourning Gown Housewives\I will never forget the hopes and dreams we shared during that one summer's end.\I'm sure we will meet again in another August, in maybe ten years time.\But those are my best memories.\We met in an unexpected moment response:	when you called out to me at the crosswalk,
context: Super Peace Busters\Mourning Gown Housewives\Mourning Gown Housewives\I will never forget the hopes and dreams we shared during that one summer's end.\I'm sure we will meet again in another August, in maybe ten years time.\But those are my best memories.\We met in an unexpected moment\when you called out to me at the crosswalk, response:	Let's walk home together.
context: Mourning Gown Housewives\Mourning Gown Housewives\I will never forget the hopes and dreams we shared during that one summer's end.\I'm sure we will meet again in another August, in maybe ten years time.\But those are my best memories.\We met in an unexpected moment\when you called out to me at the crosswalk,\Let's walk home together. response:	I might've hidden shyly behind my bag,
context: Mourning Gown Housewives\I will never forget the hopes and dreams we shared during that one summer's end.\I'm sure we will meet again in another August, in maybe ten years time.\But those are my best memories.\We met in an unexpected moment\when you called out to me at the crosswalk,\Let's walk home together.\I might've hidden shyly behind my bag, response:	but the truth is, I was really, really happy.
context: I will never forget the hopes and dreams we shared during that one summer's end.\I'm sure we will meet again in another August, in maybe ten years time.\But those are my best memories.\We met in an unexpected moment\when you called out to me at the crosswalk,\Let's walk home together.\I might've hidden shyly behind my bag,\but the truth is, I was really, really happy. response:	The fireworks blossomed heartrendingly beautiful across the night sky,
context: I'm sure we will meet again in another August, in maybe ten years time.\But those are my best memories.\We met in an unexpected moment\when you called out to me at the crosswalk,\Let's walk home together.\I might've hidden shyly behind my bag,\but the truth is, I was really, really happy.\The fireworks blossomed heartrendingly beautiful across the night sky, response:	and time passed as swiftly as the wind.
context: But those are my best memories.\We met in an unexpected moment\when you called out to me at the crosswalk,\Let's walk home together.\I might've hidden shyly behind my bag,\but the truth is, I was really, really happy.\The fireworks blossomed heartrendingly beautiful across the night sky,\and time passed as swiftly as the wind. response:	We shared so many happy times and trilling adventures
context: We met in an unexpected moment\when you called out to me at the crosswalk,\Let's walk home together.\I might've hidden shyly behind my bag,\but the truth is, I was really, really happy.\The fireworks blossomed heartrendingly beautiful across the night sky,\and time passed as swiftly as the wind.\We shared so many happy times and trilling adventures response:	together in our secret base.
context: when you called out to me at the crosswalk,\Let's walk home together.\I might've hidden shyly behind my bag,\but the truth is, I was really, really happy.\The fireworks blossomed heartrendingly beautiful across the night sky,\and time passed as swiftly as the wind.\We shared so many happy times and trilling adventures\together in our secret base. response:	I will never forget the hopes and dreams we shared during that one summer's end.
context: Let's walk home together.\I might've hidden shyly behind my bag,\but the truth is, I was really, really happy.\The fireworks blossomed heartrendingly beautiful across the night sky,\and time passed as swiftly as the wind.\We shared so many happy times and trilling adventures\together in our secret base.\I will never forget the hopes and dreams we shared during that one summer's end. response:	I'm sure we will meet again in another August, in maybe ten years time.
context: I might've hidden shyly behind my bag,\but the truth is, I was really, really happy.\The fireworks blossomed heartrendingly beautiful across the night sky,\and time passed as swiftly as the wind.\We shared so many happy times and trilling adventures\together in our secret base.\I will never forget the hopes and dreams we shared during that one summer's end.\I'm sure we will meet again in another August, in maybe ten years time. response:	I could feel your heartfelt thanks all the way until the end.
context: but the truth is, I was really, really happy.\The fireworks blossomed heartrendingly beautiful across the night sky,\and time passed as swiftly as the wind.\We shared so many happy times and trilling adventures\together in our secret base.\I will never forget the hopes and dreams we shared during that one summer's end.\I'm sure we will meet again in another August, in maybe ten years time.\I could feel your heartfelt thanks all the way until the end. response:	And I know it must've been painful to hold back your tears and say goodbye with a smile.
context: The fireworks blossomed heartrendingly beautiful across the night sky,\and time passed as swiftly as the wind.\We shared so many happy times and trilling adventures\together in our secret base.\I will never forget the hopes and dreams we shared during that one summer's end.\I'm sure we will meet again in another August, in maybe ten years time.\I could feel your heartfelt thanks all the way until the end.\And I know it must've been painful to hold back your tears and say goodbye with a smile. response:	But those are my best memories.
context: and time passed as swiftly as the wind.\We shared so many happy times and trilling adventures\together in our secret base.\I will never forget the hopes and dreams we shared during that one summer's end.\I'm sure we will meet again in another August, in maybe ten years time.\I could feel your heartfelt thanks all the way until the end.\And I know it must've been painful to hold back your tears and say goodbye with a smile.\But those are my best memories. response:	nanpeeji mo tsuiyashite
context: We shared so many happy times and trilling adventures\together in our secret base.\I will never forget the hopes and dreams we shared during that one summer's end.\I'm sure we will meet again in another August, in maybe ten years time.\I could feel your heartfelt thanks all the way until the end.\And I know it must've been painful to hold back your tears and say goodbye with a smile.\But those are my best memories.\nanpeeji mo tsuiyashite response:	tuzurareta bokura no kibun
context: together in our secret base.\I will never forget the hopes and dreams we shared during that one summer's end.\I'm sure we will meet again in another August, in maybe ten years time.\I could feel your heartfelt thanks all the way until the end.\And I know it must've been painful to hold back your tears and say goodbye with a smile.\But those are my best memories.\nanpeeji mo tsuiyashite\tuzurareta bokura no kibun response:	doushiteka ichigyou no
context: I will never forget the hopes and dreams we shared during that one summer's end.\I'm sure we will meet again in another August, in maybe ten years time.\I could feel your heartfelt thanks all the way until the end.\And I know it must've been painful to hold back your tears and say goodbye with a smile.\But those are my best memories.\nanpeeji mo tsuiyashite\tuzurareta bokura no kibun\doushiteka ichigyou no response:	kuuhaku wo umerarenai
context: I'm sure we will meet again in another August, in maybe ten years time.\I could feel your heartfelt thanks all the way until the end.\And I know it must've been painful to hold back your tears and say goodbye with a smile.\But those are my best memories.\nanpeeji mo tsuiyashite\tuzurareta bokura no kibun\doushiteka ichigyou no\kuuhaku wo umerarenai response:	oshibana no shiori hasande
context: I could feel your heartfelt thanks all the way until the end.\And I know it must've been painful to hold back your tears and say goodbye with a smile.\But those are my best memories.\nanpeeji mo tsuiyashite\tuzurareta bokura no kibun\doushiteka ichigyou no\kuuhaku wo umerarenai\oshibana no shiori hasande response:	kimi to korogasu tsukaisute no jitensha
context: And I know it must've been painful to hold back your tears and say goodbye with a smile.\But those are my best memories.\nanpeeji mo tsuiyashite\tuzurareta bokura no kibun\doushiteka ichigyou no\kuuhaku wo umerarenai\oshibana no shiori hasande\kimi to korogasu tsukaisute no jitensha response:	wasurekake no renga wo
context: But those are my best memories.\nanpeeji mo tsuiyashite\tuzurareta bokura no kibun\doushiteka ichigyou no\kuuhaku wo umerarenai\oshibana no shiori hasande\kimi to korogasu tsukaisute no jitensha\wasurekake no renga wo response:	tsumiageta basho ni yukou
context: nanpeeji mo tsuiyashite\tuzurareta bokura no kibun\doushiteka ichigyou no\kuuhaku wo umerarenai\oshibana no shiori hasande\kimi to korogasu tsukaisute no jitensha\wasurekake no renga wo\tsumiageta basho ni yukou response:	umi wo miwatasu saka wo kakenobotte
context: tuzurareta bokura no kibun\doushiteka ichigyou no\kuuhaku wo umerarenai\oshibana no shiori hasande\kimi to korogasu tsukaisute no jitensha\wasurekake no renga wo\tsumiageta basho ni yukou\umi wo miwatasu saka wo kakenobotte response:	kowaikurai ni aoi sora to
context: doushiteka ichigyou no\kuuhaku wo umerarenai\oshibana no shiori hasande\kimi to korogasu tsukaisute no jitensha\wasurekake no renga wo\tsumiageta basho ni yukou\umi wo miwatasu saka wo kakenobotte\kowaikurai ni aoi sora to response:	migite ni saidaa hidarite wa
context: kuuhaku wo umerarenai\oshibana no shiori hasande\kimi to korogasu tsukaisute no jitensha\wasurekake no renga wo\tsumiageta basho ni yukou\umi wo miwatasu saka wo kakenobotte\kowaikurai ni aoi sora to\migite ni saidaa hidarite wa response:	zutto kimi wo sagashiteiru
context: oshibana no shiori hasande\kimi to korogasu tsukaisute no jitensha\wasurekake no renga wo\tsumiageta basho ni yukou\umi wo miwatasu saka wo kakenobotte\kowaikurai ni aoi sora to\migite ni saidaa hidarite wa\zutto kimi wo sagashiteiru response:	souyatte ima wa boku no hou e
context: kimi to korogasu tsukaisute no jitensha\wasurekake no renga wo\tsumiageta basho ni yukou\umi wo miwatasu saka wo kakenobotte\kowaikurai ni aoi sora to\migite ni saidaa hidarite wa\zutto kimi wo sagashiteiru\souyatte ima wa boku no hou e response:	toitsumeru koto mo nakute
context: wasurekake no renga wo\tsumiageta basho ni yukou\umi wo miwatasu saka wo kakenobotte\kowaikurai ni aoi sora to\migite ni saidaa hidarite wa\zutto kimi wo sagashiteiru\souyatte ima wa boku no hou e\toitsumeru koto mo nakute response:	mada futari wa sugu soko ni irunoni
