context: The Old Year response:	After all my matches were over for the year,
context: Chairman of the Japan Shogi Association, Takanori Jinguuji, 16th Grandmaster,\Chairman... Um... What about shogi?\Sailfish? Malaysia?\Who is that person?\- Looks like he did it. - A fisherman?\I'll say this. He was a strong player.\Although he's always been a bit strange.\But still, he served as a master for seven seasons. response:	Wait, why am I defending him?
context: Chairman... Um... What about shogi?\Sailfish? Malaysia?\Who is that person?\- Looks like he did it. - A fisherman?\I'll say this. He was a strong player.\Although he's always been a bit strange.\But still, he served as a master for seven seasons.\Wait, why am I defending him? response:	Hello!
context: Sailfish? Malaysia?\Who is that person?\- Looks like he did it. - A fisherman?\I'll say this. He was a strong player.\Although he's always been a bit strange.\But still, he served as a master for seven seasons.\Wait, why am I defending him?\Hello! response:	Happy New Year! It's me, Aunt Misaki.
context: Who is that person?\- Looks like he did it. - A fisherman?\I'll say this. He was a strong player.\Although he's always been a bit strange.\But still, he served as a master for seven seasons.\Wait, why am I defending him?\Hello!\Happy New Year! It's me, Aunt Misaki. response:	Bam!
context: - Looks like he did it. - A fisherman?\I'll say this. He was a strong player.\Although he's always been a bit strange.\But still, he served as a master for seven seasons.\Wait, why am I defending him?\Hello!\Happy New Year! It's me, Aunt Misaki.\Bam! response:	It's good to be home.
context: I'll say this. He was a strong player.\Although he's always been a bit strange.\But still, he served as a master for seven seasons.\Wait, why am I defending him?\Hello!\Happy New Year! It's me, Aunt Misaki.\Bam!\It's good to be home. response:	Going to my husband's parents' house makes my shoulders stiff.
context: Although he's always been a bit strange.\But still, he served as a master for seven seasons.\Wait, why am I defending him?\Hello!\Happy New Year! It's me, Aunt Misaki.\Bam!\It's good to be home.\Going to my husband's parents' house makes my shoulders stiff. response:	Now I can relax!
context: But still, he served as a master for seven seasons.\Wait, why am I defending him?\Hello!\Happy New Year! It's me, Aunt Misaki.\Bam!\It's good to be home.\Going to my husband's parents' house makes my shoulders stiff.\Now I can relax! response:	Aunt Misaki, look at Momo's New Year's postcards!
context: Wait, why am I defending him?\Hello!\Happy New Year! It's me, Aunt Misaki.\Bam!\It's good to be home.\Going to my husband's parents' house makes my shoulders stiff.\Now I can relax!\Aunt Misaki, look at Momo's New Year's postcards! response:	That's because you're pretending.
context: Hello!\Happy New Year! It's me, Aunt Misaki.\Bam!\It's good to be home.\Going to my husband's parents' house makes my shoulders stiff.\Now I can relax!\Aunt Misaki, look at Momo's New Year's postcards!\That's because you're pretending. response:	Have some tea, Aunty.
context: Happy New Year! It's me, Aunt Misaki.\Bam!\It's good to be home.\Going to my husband's parents' house makes my shoulders stiff.\Now I can relax!\Aunt Misaki, look at Momo's New Year's postcards!\That's because you're pretending.\Have some tea, Aunty. response:	You've always been preoccupied with outward appearance.
context: Bam!\It's good to be home.\Going to my husband's parents' house makes my shoulders stiff.\Now I can relax!\Aunt Misaki, look at Momo's New Year's postcards!\That's because you're pretending.\Have some tea, Aunty.\You've always been preoccupied with outward appearance. response:	Oh, thank you, Hina. You're very thoughtful.
context: It's good to be home.\Going to my husband's parents' house makes my shoulders stiff.\Now I can relax!\Aunt Misaki, look at Momo's New Year's postcards!\That's because you're pretending.\Have some tea, Aunty.\You've always been preoccupied with outward appearance.\Oh, thank you, Hina. You're very thoughtful. response:	And you're good at it.
context: Going to my husband's parents' house makes my shoulders stiff.\Now I can relax!\Aunt Misaki, look at Momo's New Year's postcards!\That's because you're pretending.\Have some tea, Aunty.\You've always been preoccupied with outward appearance.\Oh, thank you, Hina. You're very thoughtful.\And you're good at it. response:	That's right.
context: Now I can relax!\Aunt Misaki, look at Momo's New Year's postcards!\That's because you're pretending.\Have some tea, Aunty.\You've always been preoccupied with outward appearance.\Oh, thank you, Hina. You're very thoughtful.\And you're good at it.\That's right. response:	New Year's money. Here you are, Hina and Momo.
context: Aunt Misaki, look at Momo's New Year's postcards!\That's because you're pretending.\Have some tea, Aunty.\You've always been preoccupied with outward appearance.\Oh, thank you, Hina. You're very thoughtful.\And you're good at it.\That's right.\New Year's money. Here you are, Hina and Momo. response:	Thank you very much!
context: That's because you're pretending.\Have some tea, Aunty.\You've always been preoccupied with outward appearance.\Oh, thank you, Hina. You're very thoughtful.\And you're good at it.\That's right.\New Year's money. Here you are, Hina and Momo.\Thank you very much! response:	Yay! What should I buy?
context: Have some tea, Aunty.\You've always been preoccupied with outward appearance.\Oh, thank you, Hina. You're very thoughtful.\And you're good at it.\That's right.\New Year's money. Here you are, Hina and Momo.\Thank you very much!\Yay! What should I buy? response:	Thank you!
context: You've always been preoccupied with outward appearance.\Oh, thank you, Hina. You're very thoughtful.\And you're good at it.\That's right.\New Year's money. Here you are, Hina and Momo.\Thank you very much!\Yay! What should I buy?\Thank you! response:	Here, for you, Dad.
context: Oh, thank you, Hina. You're very thoughtful.\And you're good at it.\That's right.\New Year's money. Here you are, Hina and Momo.\Thank you very much!\Yay! What should I buy?\Thank you!\Here, for you, Dad. response:	Me too? Are you sure?
context: And you're good at it.\That's right.\New Year's money. Here you are, Hina and Momo.\Thank you very much!\Yay! What should I buy?\Thank you!\Here, for you, Dad.\Me too? Are you sure? response:	And Akari, too.
context: That's right.\New Year's money. Here you are, Hina and Momo.\Thank you very much!\Yay! What should I buy?\Thank you!\Here, for you, Dad.\Me too? Are you sure?\And Akari, too. response:	Oh, are you sure, Aunty?
context: New Year's money. Here you are, Hina and Momo.\Thank you very much!\Yay! What should I buy?\Thank you!\Here, for you, Dad.\Me too? Are you sure?\And Akari, too.\Oh, are you sure, Aunty? response:	And...
context: Thank you very much!\Yay! What should I buy?\Thank you!\Here, for you, Dad.\Me too? Are you sure?\And Akari, too.\Oh, are you sure, Aunty?\And... response:	Here. For you too...
context: Yay! What should I buy?\Thank you!\Here, for you, Dad.\Me too? Are you sure?\And Akari, too.\Oh, are you sure, Aunty?\And...\Here. For you too... response:	It's not much,
context: Thank you!\Here, for you, Dad.\Me too? Are you sure?\And Akari, too.\Oh, are you sure, Aunty?\And...\Here. For you too...\It's not much, response:	but I hear Akari kidnapped you after you got sick on New Year's Eve?
context: Here, for you, Dad.\Me too? Are you sure?\And Akari, too.\Oh, are you sure, Aunty?\And...\Here. For you too...\It's not much,\but I hear Akari kidnapped you after you got sick on New Year's Eve? response:	Even me? But I can't accept it.
context: Me too? Are you sure?\And Akari, too.\Oh, are you sure, Aunty?\And...\Here. For you too...\It's not much,\but I hear Akari kidnapped you after you got sick on New Year's Eve?\Even me? But I can't accept it. response:	It's okay. It was a while ago, but you brought Issa and Smith to my bar.
context: And Akari, too.\Oh, are you sure, Aunty?\And...\Here. For you too...\It's not much,\but I hear Akari kidnapped you after you got sick on New Year's Eve?\Even me? But I can't accept it.\It's okay. It was a while ago, but you brought Issa and Smith to my bar. response:	Heh-heh heh-heh
context: Oh, are you sure, Aunty?\And...\Here. For you too...\It's not much,\but I hear Akari kidnapped you after you got sick on New Year's Eve?\Even me? But I can't accept it.\It's okay. It was a while ago, but you brought Issa and Smith to my bar.\Heh-heh heh-heh response:	Glare
context: And...\Here. For you too...\It's not much,\but I hear Akari kidnapped you after you got sick on New Year's Eve?\Even me? But I can't accept it.\It's okay. It was a while ago, but you brought Issa and Smith to my bar.\Heh-heh heh-heh\Glare response:	I'll be counting on you again.
context: Here. For you too...\It's not much,\but I hear Akari kidnapped you after you got sick on New Year's Eve?\Even me? But I can't accept it.\It's okay. It was a while ago, but you brought Issa and Smith to my bar.\Heh-heh heh-heh\Glare\I'll be counting on you again. response:	And this...
context: It's not much,\but I hear Akari kidnapped you after you got sick on New Year's Eve?\Even me? But I can't accept it.\It's okay. It was a while ago, but you brought Issa and Smith to my bar.\Heh-heh heh-heh\Glare\I'll be counting on you again.\And this... response:	Here, Mom. Mikako. Misaki's here.
context: but I hear Akari kidnapped you after you got sick on New Year's Eve?\Even me? But I can't accept it.\It's okay. It was a while ago, but you brought Issa and Smith to my bar.\Heh-heh heh-heh\Glare\I'll be counting on you again.\And this...\Here, Mom. Mikako. Misaki's here. response:	Happy New Year.
context: Even me? But I can't accept it.\It's okay. It was a while ago, but you brought Issa and Smith to my bar.\Heh-heh heh-heh\Glare\I'll be counting on you again.\And this...\Here, Mom. Mikako. Misaki's here.\Happy New Year. response:	Please take care of me this year, too.
context: It's okay. It was a while ago, but you brought Issa and Smith to my bar.\Heh-heh heh-heh\Glare\I'll be counting on you again.\And this...\Here, Mom. Mikako. Misaki's here.\Happy New Year.\Please take care of me this year, too. response:	Hey, Misaki.
context: Heh-heh heh-heh\Glare\I'll be counting on you again.\And this...\Here, Mom. Mikako. Misaki's here.\Happy New Year.\Please take care of me this year, too.\Hey, Misaki. response:	Is Akari going to work there again this year?
context: Glare\I'll be counting on you again.\And this...\Here, Mom. Mikako. Misaki's here.\Happy New Year.\Please take care of me this year, too.\Hey, Misaki.\Is Akari going to work there again this year? response:	Stop using your relatives and get a new girl in there.
context: I'll be counting on you again.\And this...\Here, Mom. Mikako. Misaki's here.\Happy New Year.\Please take care of me this year, too.\Hey, Misaki.\Is Akari going to work there again this year?\Stop using your relatives and get a new girl in there. response:	I never agreed to it.
context: And this...\Here, Mom. Mikako. Misaki's here.\Happy New Year.\Please take care of me this year, too.\Hey, Misaki.\Is Akari going to work there again this year?\Stop using your relatives and get a new girl in there.\I never agreed to it. response:	Don't put Akari in danger.
context: Here, Mom. Mikako. Misaki's here.\Happy New Year.\Please take care of me this year, too.\Hey, Misaki.\Is Akari going to work there again this year?\Stop using your relatives and get a new girl in there.\I never agreed to it.\Don't put Akari in danger. response:	Dad. My bar is not a dangerous place.
context: Happy New Year.\Please take care of me this year, too.\Hey, Misaki.\Is Akari going to work there again this year?\Stop using your relatives and get a new girl in there.\I never agreed to it.\Don't put Akari in danger.\Dad. My bar is not a dangerous place. response:	It's small, but it's refined and mainly caters to regular customers. It's my treasured palace.
context: Please take care of me this year, too.\Hey, Misaki.\Is Akari going to work there again this year?\Stop using your relatives and get a new girl in there.\I never agreed to it.\Don't put Akari in danger.\Dad. My bar is not a dangerous place.\It's small, but it's refined and mainly caters to regular customers. It's my treasured palace. response:	Even so...
context: Hey, Misaki.\Is Akari going to work there again this year?\Stop using your relatives and get a new girl in there.\I never agreed to it.\Don't put Akari in danger.\Dad. My bar is not a dangerous place.\It's small, but it's refined and mainly caters to regular customers. It's my treasured palace.\Even so... response:	Do you intend to keep Akari at home, doing all the housework and childcare until she gets old?
context: Is Akari going to work there again this year?\Stop using your relatives and get a new girl in there.\I never agreed to it.\Don't put Akari in danger.\Dad. My bar is not a dangerous place.\It's small, but it's refined and mainly caters to regular customers. It's my treasured palace.\Even so...\Do you intend to keep Akari at home, doing all the housework and childcare until she gets old? response:	She's a serious girl, so she'll just commit herself to becoming a mother figure.
context: Stop using your relatives and get a new girl in there.\I never agreed to it.\Don't put Akari in danger.\Dad. My bar is not a dangerous place.\It's small, but it's refined and mainly caters to regular customers. It's my treasured palace.\Even so...\Do you intend to keep Akari at home, doing all the housework and childcare until she gets old?\She's a serious girl, so she'll just commit herself to becoming a mother figure. response:	Twice a week, even if forced to,
context: I never agreed to it.\Don't put Akari in danger.\Dad. My bar is not a dangerous place.\It's small, but it's refined and mainly caters to regular customers. It's my treasured palace.\Even so...\Do you intend to keep Akari at home, doing all the housework and childcare until she gets old?\She's a serious girl, so she'll just commit herself to becoming a mother figure.\Twice a week, even if forced to, response:	she should put on makeup, wear a pretty outfit, and go outside.
context: Don't put Akari in danger.\Dad. My bar is not a dangerous place.\It's small, but it's refined and mainly caters to regular customers. It's my treasured palace.\Even so...\Do you intend to keep Akari at home, doing all the housework and childcare until she gets old?\She's a serious girl, so she'll just commit herself to becoming a mother figure.\Twice a week, even if forced to,\she should put on makeup, wear a pretty outfit, and go outside. response:	She's a beautiful girl, so what will you do if she becomes weary
context: Dad. My bar is not a dangerous place.\It's small, but it's refined and mainly caters to regular customers. It's my treasured palace.\Even so...\Do you intend to keep Akari at home, doing all the housework and childcare until she gets old?\She's a serious girl, so she'll just commit herself to becoming a mother figure.\Twice a week, even if forced to,\she should put on makeup, wear a pretty outfit, and go outside.\She's a beautiful girl, so what will you do if she becomes weary response:	from house chores and misses her chance to get married?
context: It's small, but it's refined and mainly caters to regular customers. It's my treasured palace.\Even so...\Do you intend to keep Akari at home, doing all the housework and childcare until she gets old?\She's a serious girl, so she'll just commit herself to becoming a mother figure.\Twice a week, even if forced to,\she should put on makeup, wear a pretty outfit, and go outside.\She's a beautiful girl, so what will you do if she becomes weary\from house chores and misses her chance to get married? response:	It's all right.
context: Even so...\Do you intend to keep Akari at home, doing all the housework and childcare until she gets old?\She's a serious girl, so she'll just commit herself to becoming a mother figure.\Twice a week, even if forced to,\she should put on makeup, wear a pretty outfit, and go outside.\She's a beautiful girl, so what will you do if she becomes weary\from house chores and misses her chance to get married?\It's all right. response:	I won't let anyone lay a finger on Akari at the bar.
context: Do you intend to keep Akari at home, doing all the housework and childcare until she gets old?\She's a serious girl, so she'll just commit herself to becoming a mother figure.\Twice a week, even if forced to,\she should put on makeup, wear a pretty outfit, and go outside.\She's a beautiful girl, so what will you do if she becomes weary\from house chores and misses her chance to get married?\It's all right.\I won't let anyone lay a finger on Akari at the bar. response:	No, rather, I'll simply take their money without letting them touch her.
context: She's a serious girl, so she'll just commit herself to becoming a mother figure.\Twice a week, even if forced to,\she should put on makeup, wear a pretty outfit, and go outside.\She's a beautiful girl, so what will you do if she becomes weary\from house chores and misses her chance to get married?\It's all right.\I won't let anyone lay a finger on Akari at the bar.\No, rather, I'll simply take their money without letting them touch her. response:	I mean... It's like...
context: Twice a week, even if forced to,\she should put on makeup, wear a pretty outfit, and go outside.\She's a beautiful girl, so what will you do if she becomes weary\from house chores and misses her chance to get married?\It's all right.\I won't let anyone lay a finger on Akari at the bar.\No, rather, I'll simply take their money without letting them touch her.\I mean... It's like... response:	Because they can't touch her, they'll get worked up
context: she should put on makeup, wear a pretty outfit, and go outside.\She's a beautiful girl, so what will you do if she becomes weary\from house chores and misses her chance to get married?\It's all right.\I won't let anyone lay a finger on Akari at the bar.\No, rather, I'll simply take their money without letting them touch her.\I mean... It's like...\Because they can't touch her, they'll get worked up response:	and men's habits of spending money...
context: She's a beautiful girl, so what will you do if she becomes weary\from house chores and misses her chance to get married?\It's all right.\I won't let anyone lay a finger on Akari at the bar.\No, rather, I'll simply take their money without letting them touch her.\I mean... It's like...\Because they can't touch her, they'll get worked up\and men's habits of spending money... response:	Shine
context: from house chores and misses her chance to get married?\It's all right.\I won't let anyone lay a finger on Akari at the bar.\No, rather, I'll simply take their money without letting them touch her.\I mean... It's like...\Because they can't touch her, they'll get worked up\and men's habits of spending money...\Shine response:	Black pearl from the South Seas
context: It's all right.\I won't let anyone lay a finger on Akari at the bar.\No, rather, I'll simply take their money without letting them touch her.\I mean... It's like...\Because they can't touch her, they'll get worked up\and men's habits of spending money...\Shine\Black pearl from the South Seas response:	Grandma! Your daughter is a demon!
context: I won't let anyone lay a finger on Akari at the bar.\No, rather, I'll simply take their money without letting them touch her.\I mean... It's like...\Because they can't touch her, they'll get worked up\and men's habits of spending money...\Shine\Black pearl from the South Seas\Grandma! Your daughter is a demon! response:	You gave birth to a demon!
context: No, rather, I'll simply take their money without letting them touch her.\I mean... It's like...\Because they can't touch her, they'll get worked up\and men's habits of spending money...\Shine\Black pearl from the South Seas\Grandma! Your daughter is a demon!\You gave birth to a demon! response:	Aunty, what about dinner?
context: I mean... It's like...\Because they can't touch her, they'll get worked up\and men's habits of spending money...\Shine\Black pearl from the South Seas\Grandma! Your daughter is a demon!\You gave birth to a demon!\Aunty, what about dinner? response:	Would you stay to eat Hina's and my labor of love?
context: Because they can't touch her, they'll get worked up\and men's habits of spending money...\Shine\Black pearl from the South Seas\Grandma! Your daughter is a demon!\You gave birth to a demon!\Aunty, what about dinner?\Would you stay to eat Hina's and my labor of love? response:	Oh, well. Then, sure, I'll have dinner here.
context: and men's habits of spending money...\Shine\Black pearl from the South Seas\Grandma! Your daughter is a demon!\You gave birth to a demon!\Aunty, what about dinner?\Would you stay to eat Hina's and my labor of love?\Oh, well. Then, sure, I'll have dinner here. response:	Besides, your uncle went to see a soccer game anyway.
context: Shine\Black pearl from the South Seas\Grandma! Your daughter is a demon!\You gave birth to a demon!\Aunty, what about dinner?\Would you stay to eat Hina's and my labor of love?\Oh, well. Then, sure, I'll have dinner here.\Besides, your uncle went to see a soccer game anyway. response:	Oh, amazing!
context: Black pearl from the South Seas\Grandma! Your daughter is a demon!\You gave birth to a demon!\Aunty, what about dinner?\Would you stay to eat Hina's and my labor of love?\Oh, well. Then, sure, I'll have dinner here.\Besides, your uncle went to see a soccer game anyway.\Oh, amazing! response:	Ta-daaa!
context: Grandma! Your daughter is a demon!\You gave birth to a demon!\Aunty, what about dinner?\Would you stay to eat Hina's and my labor of love?\Oh, well. Then, sure, I'll have dinner here.\Besides, your uncle went to see a soccer game anyway.\Oh, amazing!\Ta-daaa! response:	You are diligent! You made traditional New Year's food?
context: You gave birth to a demon!\Aunty, what about dinner?\Would you stay to eat Hina's and my labor of love?\Oh, well. Then, sure, I'll have dinner here.\Besides, your uncle went to see a soccer game anyway.\Oh, amazing!\Ta-daaa!\You are diligent! You made traditional New Year's food? response:	And in a modern style! It looks delicious!
context: Aunty, what about dinner?\Would you stay to eat Hina's and my labor of love?\Oh, well. Then, sure, I'll have dinner here.\Besides, your uncle went to see a soccer game anyway.\Oh, amazing!\Ta-daaa!\You are diligent! You made traditional New Year's food?\And in a modern style! It looks delicious! response:	Hina and I planned it.
context: Would you stay to eat Hina's and my labor of love?\Oh, well. Then, sure, I'll have dinner here.\Besides, your uncle went to see a soccer game anyway.\Oh, amazing!\Ta-daaa!\You are diligent! You made traditional New Year's food?\And in a modern style! It looks delicious!\Hina and I planned it. response:	We thought about it and packed it with auspicious food items.
context: Oh, well. Then, sure, I'll have dinner here.\Besides, your uncle went to see a soccer game anyway.\Oh, amazing!\Ta-daaa!\You are diligent! You made traditional New Year's food?\And in a modern style! It looks delicious!\Hina and I planned it.\We thought about it and packed it with auspicious food items. response:	But aimed to make traditional New Year's food that's delicious.
context: Besides, your uncle went to see a soccer game anyway.\Oh, amazing!\Ta-daaa!\You are diligent! You made traditional New Year's food?\And in a modern style! It looks delicious!\Hina and I planned it.\We thought about it and packed it with auspicious food items.\But aimed to make traditional New Year's food that's delicious. response:	If we bought red and white fish cake, we wouldn't finish it,
context: Oh, amazing!\Ta-daaa!\You are diligent! You made traditional New Year's food?\And in a modern style! It looks delicious!\Hina and I planned it.\We thought about it and packed it with auspicious food items.\But aimed to make traditional New Year's food that's delicious.\If we bought red and white fish cake, we wouldn't finish it, response:	so instead we used red and white pounded fish cake balls, and put them on skewers.
context: Ta-daaa!\You are diligent! You made traditional New Year's food?\And in a modern style! It looks delicious!\Hina and I planned it.\We thought about it and packed it with auspicious food items.\But aimed to make traditional New Year's food that's delicious.\If we bought red and white fish cake, we wouldn't finish it,\so instead we used red and white pounded fish cake balls, and put them on skewers. response:	Pork and beans, so we can all live hearty lives.
context: You are diligent! You made traditional New Year's food?\And in a modern style! It looks delicious!\Hina and I planned it.\We thought about it and packed it with auspicious food items.\But aimed to make traditional New Year's food that's delicious.\If we bought red and white fish cake, we wouldn't finish it,\so instead we used red and white pounded fish cake balls, and put them on skewers.\Pork and beans, so we can all live hearty lives. response:	Golden mashed, sweetened chestnuts to increase luck with money.
context: And in a modern style! It looks delicious!\Hina and I planned it.\We thought about it and packed it with auspicious food items.\But aimed to make traditional New Year's food that's delicious.\If we bought red and white fish cake, we wouldn't finish it,\so instead we used red and white pounded fish cake balls, and put them on skewers.\Pork and beans, so we can all live hearty lives.\Golden mashed, sweetened chestnuts to increase luck with money. response:	Lotus root burdock, so we can see through things.
context: Hina and I planned it.\We thought about it and packed it with auspicious food items.\But aimed to make traditional New Year's food that's delicious.\If we bought red and white fish cake, we wouldn't finish it,\so instead we used red and white pounded fish cake balls, and put them on skewers.\Pork and beans, so we can all live hearty lives.\Golden mashed, sweetened chestnuts to increase luck with money.\Lotus root burdock, so we can see through things. response:	Burdock root meat rolls, to stay firmly rooted.
context: We thought about it and packed it with auspicious food items.\But aimed to make traditional New Year's food that's delicious.\If we bought red and white fish cake, we wouldn't finish it,\so instead we used red and white pounded fish cake balls, and put them on skewers.\Pork and beans, so we can all live hearty lives.\Golden mashed, sweetened chestnuts to increase luck with money.\Lotus root burdock, so we can see through things.\Burdock root meat rolls, to stay firmly rooted. response:	Mini hamburger turtles to pray that Grandpa has a long life.
context: But aimed to make traditional New Year's food that's delicious.\If we bought red and white fish cake, we wouldn't finish it,\so instead we used red and white pounded fish cake balls, and put them on skewers.\Pork and beans, so we can all live hearty lives.\Golden mashed, sweetened chestnuts to increase luck with money.\Lotus root burdock, so we can see through things.\Burdock root meat rolls, to stay firmly rooted.\Mini hamburger turtles to pray that Grandpa has a long life. response:	Long life
context: If we bought red and white fish cake, we wouldn't finish it,\so instead we used red and white pounded fish cake balls, and put them on skewers.\Pork and beans, so we can all live hearty lives.\Golden mashed, sweetened chestnuts to increase luck with money.\Lotus root burdock, so we can see through things.\Burdock root meat rolls, to stay firmly rooted.\Mini hamburger turtles to pray that Grandpa has a long life.\Long life response:	And of course, rolled omelette mixed with fish paste, sweet egg strips...
context: so instead we used red and white pounded fish cake balls, and put them on skewers.\Pork and beans, so we can all live hearty lives.\Golden mashed, sweetened chestnuts to increase luck with money.\Lotus root burdock, so we can see through things.\Burdock root meat rolls, to stay firmly rooted.\Mini hamburger turtles to pray that Grandpa has a long life.\Long life\And of course, rolled omelette mixed with fish paste, sweet egg strips... response:	I tried cutting little hot dogs into the shape of a fish.
context: Pork and beans, so we can all live hearty lives.\Golden mashed, sweetened chestnuts to increase luck with money.\Lotus root burdock, so we can see through things.\Burdock root meat rolls, to stay firmly rooted.\Mini hamburger turtles to pray that Grandpa has a long life.\Long life\And of course, rolled omelette mixed with fish paste, sweet egg strips...\I tried cutting little hot dogs into the shape of a fish. response:	Right?
context: Golden mashed, sweetened chestnuts to increase luck with money.\Lotus root burdock, so we can see through things.\Burdock root meat rolls, to stay firmly rooted.\Mini hamburger turtles to pray that Grandpa has a long life.\Long life\And of course, rolled omelette mixed with fish paste, sweet egg strips...\I tried cutting little hot dogs into the shape of a fish.\Right? response:	Person who mainly ate
context: Lotus root burdock, so we can see through things.\Burdock root meat rolls, to stay firmly rooted.\Mini hamburger turtles to pray that Grandpa has a long life.\Long life\And of course, rolled omelette mixed with fish paste, sweet egg strips...\I tried cutting little hot dogs into the shape of a fish.\Right?\Person who mainly ate response:	Well done, you two.
context: Burdock root meat rolls, to stay firmly rooted.\Mini hamburger turtles to pray that Grandpa has a long life.\Long life\And of course, rolled omelette mixed with fish paste, sweet egg strips...\I tried cutting little hot dogs into the shape of a fish.\Right?\Person who mainly ate\Well done, you two. response:	Proud
context: Mini hamburger turtles to pray that Grandpa has a long life.\Long life\And of course, rolled omelette mixed with fish paste, sweet egg strips...\I tried cutting little hot dogs into the shape of a fish.\Right?\Person who mainly ate\Well done, you two.\Proud response:	Mikako and your grandmother would always make the traditional New Year's food.
context: Long life\And of course, rolled omelette mixed with fish paste, sweet egg strips...\I tried cutting little hot dogs into the shape of a fish.\Right?\Person who mainly ate\Well done, you two.\Proud\Mikako and your grandmother would always make the traditional New Year's food. response:	Put in spaghetti, too. And gum. Gum, too!
context: And of course, rolled omelette mixed with fish paste, sweet egg strips...\I tried cutting little hot dogs into the shape of a fish.\Right?\Person who mainly ate\Well done, you two.\Proud\Mikako and your grandmother would always make the traditional New Year's food.\Put in spaghetti, too. And gum. Gum, too! response:	Meowmm!
context: I tried cutting little hot dogs into the shape of a fish.\Right?\Person who mainly ate\Well done, you two.\Proud\Mikako and your grandmother would always make the traditional New Year's food.\Put in spaghetti, too. And gum. Gum, too!\Meowmm! response:	New Year's food... I see...
context: Right?\Person who mainly ate\Well done, you two.\Proud\Mikako and your grandmother would always make the traditional New Year's food.\Put in spaghetti, too. And gum. Gum, too!\Meowmm!\New Year's food... I see... response:	They express wishes...
context: Person who mainly ate\Well done, you two.\Proud\Mikako and your grandmother would always make the traditional New Year's food.\Put in spaghetti, too. And gum. Gum, too!\Meowmm!\New Year's food... I see...\They express wishes... response:	When I look at this nest of boxes...
context: Well done, you two.\Proud\Mikako and your grandmother would always make the traditional New Year's food.\Put in spaghetti, too. And gum. Gum, too!\Meowmm!\New Year's food... I see...\They express wishes...\When I look at this nest of boxes... response:	And when we do fill it, the sense of achievement is absolutely wonderful.
context: Proud\Mikako and your grandmother would always make the traditional New Year's food.\Put in spaghetti, too. And gum. Gum, too!\Meowmm!\New Year's food... I see...\They express wishes...\When I look at this nest of boxes...\And when we do fill it, the sense of achievement is absolutely wonderful. response:	It was like, Mission accomplished! Like, Wow! It felt good.
context: Mikako and your grandmother would always make the traditional New Year's food.\Put in spaghetti, too. And gum. Gum, too!\Meowmm!\New Year's food... I see...\They express wishes...\When I look at this nest of boxes...\And when we do fill it, the sense of achievement is absolutely wonderful.\It was like, Mission accomplished! Like, Wow! It felt good. response:	Yahooey!
context: Put in spaghetti, too. And gum. Gum, too!\Meowmm!\New Year's food... I see...\They express wishes...\When I look at this nest of boxes...\And when we do fill it, the sense of achievement is absolutely wonderful.\It was like, Mission accomplished! Like, Wow! It felt good.\Yahooey! response:	We did it!
context: Meowmm!\New Year's food... I see...\They express wishes...\When I look at this nest of boxes...\And when we do fill it, the sense of achievement is absolutely wonderful.\It was like, Mission accomplished! Like, Wow! It felt good.\Yahooey!\We did it! response:	Certainly, it's extremely important to cultivate that energy
context: New Year's food... I see...\They express wishes...\When I look at this nest of boxes...\And when we do fill it, the sense of achievement is absolutely wonderful.\It was like, Mission accomplished! Like, Wow! It felt good.\Yahooey!\We did it!\Certainly, it's extremely important to cultivate that energy response:	from a sense of achievement in your everyday life.
context: They express wishes...\When I look at this nest of boxes...\And when we do fill it, the sense of achievement is absolutely wonderful.\It was like, Mission accomplished! Like, Wow! It felt good.\Yahooey!\We did it!\Certainly, it's extremely important to cultivate that energy\from a sense of achievement in your everyday life. response:	I know that. I know that, but...
context: When I look at this nest of boxes...\And when we do fill it, the sense of achievement is absolutely wonderful.\It was like, Mission accomplished! Like, Wow! It felt good.\Yahooey!\We did it!\Certainly, it's extremely important to cultivate that energy\from a sense of achievement in your everyday life.\I know that. I know that, but... response:	I know. Sense of achievement and pain in the neck go hand in hand.
context: And when we do fill it, the sense of achievement is absolutely wonderful.\It was like, Mission accomplished! Like, Wow! It felt good.\Yahooey!\We did it!\Certainly, it's extremely important to cultivate that energy\from a sense of achievement in your everyday life.\I know that. I know that, but...\I know. Sense of achievement and pain in the neck go hand in hand. response:	But you get the sense of achievement by overcoming that.
context: It was like, Mission accomplished! Like, Wow! It felt good.\Yahooey!\We did it!\Certainly, it's extremely important to cultivate that energy\from a sense of achievement in your everyday life.\I know that. I know that, but...\I know. Sense of achievement and pain in the neck go hand in hand.\But you get the sense of achievement by overcoming that. response:	Well, thank you for dinner.
context: Yahooey!\We did it!\Certainly, it's extremely important to cultivate that energy\from a sense of achievement in your everyday life.\I know that. I know that, but...\I know. Sense of achievement and pain in the neck go hand in hand.\But you get the sense of achievement by overcoming that.\Well, thank you for dinner. response:	I'll come again. Let's have another great year together.
context: We did it!\Certainly, it's extremely important to cultivate that energy\from a sense of achievement in your everyday life.\I know that. I know that, but...\I know. Sense of achievement and pain in the neck go hand in hand.\But you get the sense of achievement by overcoming that.\Well, thank you for dinner.\I'll come again. Let's have another great year together. response:	Oh no, it's this late already?
