context: He is perfect. response:	He worked hard to stay that way.
context: You can let me take care of you, too.\I was thinking that all those years up through middle school...\But maybe that's not true.\Maybe all the hard work\has given me the strength to support you.\Then those years will be redeemed.\You don't have to tough it out.\It gets tiring to stand by yourself. response:	You want someone who'll support you.
context: I was thinking that all those years up through middle school...\But maybe that's not true.\Maybe all the hard work\has given me the strength to support you.\Then those years will be redeemed.\You don't have to tough it out.\It gets tiring to stand by yourself.\You want someone who'll support you. response:	Suddenly memory goes back to the past.
context: But maybe that's not true.\Maybe all the hard work\has given me the strength to support you.\Then those years will be redeemed.\You don't have to tough it out.\It gets tiring to stand by yourself.\You want someone who'll support you.\Suddenly memory goes back to the past. response:	Memory returns to the past. Before they met.
context: Maybe all the hard work\has given me the strength to support you.\Then those years will be redeemed.\You don't have to tough it out.\It gets tiring to stand by yourself.\You want someone who'll support you.\Suddenly memory goes back to the past.\Memory returns to the past. Before they met. response:	She strove to be perfect, for vanity, for glory, to be the best.
context: has given me the strength to support you.\Then those years will be redeemed.\You don't have to tough it out.\It gets tiring to stand by yourself.\You want someone who'll support you.\Suddenly memory goes back to the past.\Memory returns to the past. Before they met.\She strove to be perfect, for vanity, for glory, to be the best. response:	He strove to be perfect,
context: Then those years will be redeemed.\You don't have to tough it out.\It gets tiring to stand by yourself.\You want someone who'll support you.\Suddenly memory goes back to the past.\Memory returns to the past. Before they met.\She strove to be perfect, for vanity, for glory, to be the best.\He strove to be perfect, response:	because of his birth...
context: You don't have to tough it out.\It gets tiring to stand by yourself.\You want someone who'll support you.\Suddenly memory goes back to the past.\Memory returns to the past. Before they met.\She strove to be perfect, for vanity, for glory, to be the best.\He strove to be perfect,\because of his birth... response:	for the family who scorned him.
context: It gets tiring to stand by yourself.\You want someone who'll support you.\Suddenly memory goes back to the past.\Memory returns to the past. Before they met.\She strove to be perfect, for vanity, for glory, to be the best.\He strove to be perfect,\because of his birth...\for the family who scorned him. response:	You're amazing, Miyazawa!
context: You want someone who'll support you.\Suddenly memory goes back to the past.\Memory returns to the past. Before they met.\She strove to be perfect, for vanity, for glory, to be the best.\He strove to be perfect,\because of his birth...\for the family who scorned him.\You're amazing, Miyazawa! response:	I hear you came in first during finals again!
context: Suddenly memory goes back to the past.\Memory returns to the past. Before they met.\She strove to be perfect, for vanity, for glory, to be the best.\He strove to be perfect,\because of his birth...\for the family who scorned him.\You're amazing, Miyazawa!\I hear you came in first during finals again! response:	You've always been number one.
context: Memory returns to the past. Before they met.\She strove to be perfect, for vanity, for glory, to be the best.\He strove to be perfect,\because of his birth...\for the family who scorned him.\You're amazing, Miyazawa!\I hear you came in first during finals again!\You've always been number one. response:	There's no one who can beat you.
context: She strove to be perfect, for vanity, for glory, to be the best.\He strove to be perfect,\because of his birth...\for the family who scorned him.\You're amazing, Miyazawa!\I hear you came in first during finals again!\You've always been number one.\There's no one who can beat you. response:	Sis, there's something really neat on TV.
context: He strove to be perfect,\because of his birth...\for the family who scorned him.\You're amazing, Miyazawa!\I hear you came in first during finals again!\You've always been number one.\There's no one who can beat you.\Sis, there's something really neat on TV. response:	Come and watch with us.
context: because of his birth...\for the family who scorned him.\You're amazing, Miyazawa!\I hear you came in first during finals again!\You've always been number one.\There's no one who can beat you.\Sis, there's something really neat on TV.\Come and watch with us. response:	I want to finish this study guide, so I'll pass.
context: for the family who scorned him.\You're amazing, Miyazawa!\I hear you came in first during finals again!\You've always been number one.\There's no one who can beat you.\Sis, there's something really neat on TV.\Come and watch with us.\I want to finish this study guide, so I'll pass. response:	Again? Is it that much fun to come in 1st place?
context: You're amazing, Miyazawa!\I hear you came in first during finals again!\You've always been number one.\There's no one who can beat you.\Sis, there's something really neat on TV.\Come and watch with us.\I want to finish this study guide, so I'll pass.\Again? Is it that much fun to come in 1st place? response:	Ha Ha Ha...
context: I hear you came in first during finals again!\You've always been number one.\There's no one who can beat you.\Sis, there's something really neat on TV.\Come and watch with us.\I want to finish this study guide, so I'll pass.\Again? Is it that much fun to come in 1st place?\Ha Ha Ha... response:	But
context: You've always been number one.\There's no one who can beat you.\Sis, there's something really neat on TV.\Come and watch with us.\I want to finish this study guide, so I'll pass.\Again? Is it that much fun to come in 1st place?\Ha Ha Ha...\But response:	there's nothing else
context: There's no one who can beat you.\Sis, there's something really neat on TV.\Come and watch with us.\I want to finish this study guide, so I'll pass.\Again? Is it that much fun to come in 1st place?\Ha Ha Ha...\But\there's nothing else response:	that feels fun to me.
context: Sis, there's something really neat on TV.\Come and watch with us.\I want to finish this study guide, so I'll pass.\Again? Is it that much fun to come in 1st place?\Ha Ha Ha...\But\there's nothing else\that feels fun to me. response:	You're amazing, Arima! I hear you came in first during finals again!
context: Come and watch with us.\I want to finish this study guide, so I'll pass.\Again? Is it that much fun to come in 1st place?\Ha Ha Ha...\But\there's nothing else\that feels fun to me.\You're amazing, Arima! I hear you came in first during finals again! response:	You've always been number one. There's no one who can beat you.
context: I want to finish this study guide, so I'll pass.\Again? Is it that much fun to come in 1st place?\Ha Ha Ha...\But\there's nothing else\that feels fun to me.\You're amazing, Arima! I hear you came in first during finals again!\You've always been number one. There's no one who can beat you. response:	Um, please take this.
context: Again? Is it that much fun to come in 1st place?\Ha Ha Ha...\But\there's nothing else\that feels fun to me.\You're amazing, Arima! I hear you came in first during finals again!\You've always been number one. There's no one who can beat you.\Um, please take this. response:	I'm sorry. I can't accept it.
context: Ha Ha Ha...\But\there's nothing else\that feels fun to me.\You're amazing, Arima! I hear you came in first during finals again!\You've always been number one. There's no one who can beat you.\Um, please take this.\I'm sorry. I can't accept it. response:	Are you going out with someone?
context: But\there's nothing else\that feels fun to me.\You're amazing, Arima! I hear you came in first during finals again!\You've always been number one. There's no one who can beat you.\Um, please take this.\I'm sorry. I can't accept it.\Are you going out with someone? response:	Is there someone you love?
context: there's nothing else\that feels fun to me.\You're amazing, Arima! I hear you came in first during finals again!\You've always been number one. There's no one who can beat you.\Um, please take this.\I'm sorry. I can't accept it.\Are you going out with someone?\Is there someone you love? response:	I'm sorry.
context: that feels fun to me.\You're amazing, Arima! I hear you came in first during finals again!\You've always been number one. There's no one who can beat you.\Um, please take this.\I'm sorry. I can't accept it.\Are you going out with someone?\Is there someone you love?\I'm sorry. response:	I had never loved anybody.
context: You're amazing, Arima! I hear you came in first during finals again!\You've always been number one. There's no one who can beat you.\Um, please take this.\I'm sorry. I can't accept it.\Are you going out with someone?\Is there someone you love?\I'm sorry.\I had never loved anybody. response:	There had been nothing that stirred my heart.
context: You've always been number one. There's no one who can beat you.\Um, please take this.\I'm sorry. I can't accept it.\Are you going out with someone?\Is there someone you love?\I'm sorry.\I had never loved anybody.\There had been nothing that stirred my heart. response:	But that was okay.
context: Um, please take this.\I'm sorry. I can't accept it.\Are you going out with someone?\Is there someone you love?\I'm sorry.\I had never loved anybody.\There had been nothing that stirred my heart.\But that was okay. response:	I'll become a decent person.
context: I'm sorry. I can't accept it.\Are you going out with someone?\Is there someone you love?\I'm sorry.\I had never loved anybody.\There had been nothing that stirred my heart.\But that was okay.\I'll become a decent person. response:	I'll become a decent person my father and mother can be proud of.
context: Are you going out with someone?\Is there someone you love?\I'm sorry.\I had never loved anybody.\There had been nothing that stirred my heart.\But that was okay.\I'll become a decent person.\I'll become a decent person my father and mother can be proud of. response:	As long as my parents are happy, I'm happy.
context: Is there someone you love?\I'm sorry.\I had never loved anybody.\There had been nothing that stirred my heart.\But that was okay.\I'll become a decent person.\I'll become a decent person my father and mother can be proud of.\As long as my parents are happy, I'm happy. response:	Both of their worlds changed greatly upon entering high school.
context: I'm sorry.\I had never loved anybody.\There had been nothing that stirred my heart.\But that was okay.\I'll become a decent person.\I'll become a decent person my father and mother can be proud of.\As long as my parents are happy, I'm happy.\Both of their worlds changed greatly upon entering high school. response:	I know why
context: I had never loved anybody.\There had been nothing that stirred my heart.\But that was okay.\I'll become a decent person.\I'll become a decent person my father and mother can be proud of.\As long as my parents are happy, I'm happy.\Both of their worlds changed greatly upon entering high school.\I know why response:	I love you so much.
context: There had been nothing that stirred my heart.\But that was okay.\I'll become a decent person.\I'll become a decent person my father and mother can be proud of.\As long as my parents are happy, I'm happy.\Both of their worlds changed greatly upon entering high school.\I know why\I love you so much. response:	You always change me.
context: But that was okay.\I'll become a decent person.\I'll become a decent person my father and mother can be proud of.\As long as my parents are happy, I'm happy.\Both of their worlds changed greatly upon entering high school.\I know why\I love you so much.\You always change me. response:	We can support each other.
context: I'll become a decent person.\I'll become a decent person my father and mother can be proud of.\As long as my parents are happy, I'm happy.\Both of their worlds changed greatly upon entering high school.\I know why\I love you so much.\You always change me.\We can support each other. response:	Miyazawa holds the key to unlock the door to my heart.
context: I'll become a decent person my father and mother can be proud of.\As long as my parents are happy, I'm happy.\Both of their worlds changed greatly upon entering high school.\I know why\I love you so much.\You always change me.\We can support each other.\Miyazawa holds the key to unlock the door to my heart. response:	Yo! Asaba! Hallo!
context: As long as my parents are happy, I'm happy.\Both of their worlds changed greatly upon entering high school.\I know why\I love you so much.\You always change me.\We can support each other.\Miyazawa holds the key to unlock the door to my heart.\Yo! Asaba! Hallo! response:	Hallo!
context: Both of their worlds changed greatly upon entering high school.\I know why\I love you so much.\You always change me.\We can support each other.\Miyazawa holds the key to unlock the door to my heart.\Yo! Asaba! Hallo!\Hallo! response:	You got tanned again.
context: I know why\I love you so much.\You always change me.\We can support each other.\Miyazawa holds the key to unlock the door to my heart.\Yo! Asaba! Hallo!\Hallo!\You got tanned again. response:	You're a real stallion, aren't you?
context: I love you so much.\You always change me.\We can support each other.\Miyazawa holds the key to unlock the door to my heart.\Yo! Asaba! Hallo!\Hallo!\You got tanned again.\You're a real stallion, aren't you? response:	Maybe I should use a UV treatment.
context: You always change me.\We can support each other.\Miyazawa holds the key to unlock the door to my heart.\Yo! Asaba! Hallo!\Hallo!\You got tanned again.\You're a real stallion, aren't you?\Maybe I should use a UV treatment. response:	I'll get freckles.
context: We can support each other.\Miyazawa holds the key to unlock the door to my heart.\Yo! Asaba! Hallo!\Hallo!\You got tanned again.\You're a real stallion, aren't you?\Maybe I should use a UV treatment.\I'll get freckles. response:	Wasn't that lightning last night really loud?
context: Miyazawa holds the key to unlock the door to my heart.\Yo! Asaba! Hallo!\Hallo!\You got tanned again.\You're a real stallion, aren't you?\Maybe I should use a UV treatment.\I'll get freckles.\Wasn't that lightning last night really loud? response:	Yeah. You going on another date this Sunday?
context: Yo! Asaba! Hallo!\Hallo!\You got tanned again.\You're a real stallion, aren't you?\Maybe I should use a UV treatment.\I'll get freckles.\Wasn't that lightning last night really loud?\Yeah. You going on another date this Sunday? response:	I hope it'll be sunny.
context: Hallo!\You got tanned again.\You're a real stallion, aren't you?\Maybe I should use a UV treatment.\I'll get freckles.\Wasn't that lightning last night really loud?\Yeah. You going on another date this Sunday?\I hope it'll be sunny. response:	No problemo! It'll be just fine, rain or shine.
context: You got tanned again.\You're a real stallion, aren't you?\Maybe I should use a UV treatment.\I'll get freckles.\Wasn't that lightning last night really loud?\Yeah. You going on another date this Sunday?\I hope it'll be sunny.\No problemo! It'll be just fine, rain or shine. response:	Yo, Hideaki.
context: You're a real stallion, aren't you?\Maybe I should use a UV treatment.\I'll get freckles.\Wasn't that lightning last night really loud?\Yeah. You going on another date this Sunday?\I hope it'll be sunny.\No problemo! It'll be just fine, rain or shine.\Yo, Hideaki. response:	Arima!
context: Maybe I should use a UV treatment.\I'll get freckles.\Wasn't that lightning last night really loud?\Yeah. You going on another date this Sunday?\I hope it'll be sunny.\No problemo! It'll be just fine, rain or shine.\Yo, Hideaki.\Arima! response:	You got tanned again?! What about studying?
context: I'll get freckles.\Wasn't that lightning last night really loud?\Yeah. You going on another date this Sunday?\I hope it'll be sunny.\No problemo! It'll be just fine, rain or shine.\Yo, Hideaki.\Arima!\You got tanned again?! What about studying? response:	But, hey, wasn't that lightning Last night really loud?
context: Wasn't that lightning last night really loud?\Yeah. You going on another date this Sunday?\I hope it'll be sunny.\No problemo! It'll be just fine, rain or shine.\Yo, Hideaki.\Arima!\You got tanned again?! What about studying?\But, hey, wasn't that lightning Last night really loud? response:	Don't change the subject.
context: Yeah. You going on another date this Sunday?\I hope it'll be sunny.\No problemo! It'll be just fine, rain or shine.\Yo, Hideaki.\Arima!\You got tanned again?! What about studying?\But, hey, wasn't that lightning Last night really loud?\Don't change the subject. response:	You going on another date this Sunday?
context: I hope it'll be sunny.\No problemo! It'll be just fine, rain or shine.\Yo, Hideaki.\Arima!\You got tanned again?! What about studying?\But, hey, wasn't that lightning Last night really loud?\Don't change the subject.\You going on another date this Sunday? response:	I hope it'll be sunny.
context: No problemo! It'll be just fine, rain or shine.\Yo, Hideaki.\Arima!\You got tanned again?! What about studying?\But, hey, wasn't that lightning Last night really loud?\Don't change the subject.\You going on another date this Sunday?\I hope it'll be sunny. response:	No problemo! It'll be just fine, rain or shine.
context: Yo, Hideaki.\Arima!\You got tanned again?! What about studying?\But, hey, wasn't that lightning Last night really loud?\Don't change the subject.\You going on another date this Sunday?\I hope it'll be sunny.\No problemo! It'll be just fine, rain or shine. response:	Hmn!?
context: Arima!\You got tanned again?! What about studying?\But, hey, wasn't that lightning Last night really loud?\Don't change the subject.\You going on another date this Sunday?\I hope it'll be sunny.\No problemo! It'll be just fine, rain or shine.\Hmn!? response:	That's right. It'll be just fine, rain or shine.
context: You got tanned again?! What about studying?\But, hey, wasn't that lightning Last night really loud?\Don't change the subject.\You going on another date this Sunday?\I hope it'll be sunny.\No problemo! It'll be just fine, rain or shine.\Hmn!?\That's right. It'll be just fine, rain or shine. response:	We've got a lot ahead of us.
context: But, hey, wasn't that lightning Last night really loud?\Don't change the subject.\You going on another date this Sunday?\I hope it'll be sunny.\No problemo! It'll be just fine, rain or shine.\Hmn!?\That's right. It'll be just fine, rain or shine.\We've got a lot ahead of us. response:	What'll happen next!
context: Don't change the subject.\You going on another date this Sunday?\I hope it'll be sunny.\No problemo! It'll be just fine, rain or shine.\Hmn!?\That's right. It'll be just fine, rain or shine.\We've got a lot ahead of us.\What'll happen next! response:	Sis gets in the habit of going on a LOT of dates and is in a state of perfect happiness once again.
context: You going on another date this Sunday?\I hope it'll be sunny.\No problemo! It'll be just fine, rain or shine.\Hmn!?\That's right. It'll be just fine, rain or shine.\We've got a lot ahead of us.\What'll happen next!\Sis gets in the habit of going on a LOT of dates and is in a state of perfect happiness once again. response:	But a deep, yawning gulf was awaiting them!
context: I hope it'll be sunny.\No problemo! It'll be just fine, rain or shine.\Hmn!?\That's right. It'll be just fine, rain or shine.\We've got a lot ahead of us.\What'll happen next!\Sis gets in the habit of going on a LOT of dates and is in a state of perfect happiness once again.\But a deep, yawning gulf was awaiting them! response:	There are pitfalls everywhere in life!
context: No problemo! It'll be just fine, rain or shine.\Hmn!?\That's right. It'll be just fine, rain or shine.\We've got a lot ahead of us.\What'll happen next!\Sis gets in the habit of going on a LOT of dates and is in a state of perfect happiness once again.\But a deep, yawning gulf was awaiting them!\There are pitfalls everywhere in life! response:	Next time on KareKano,
context: Hmn!?\That's right. It'll be just fine, rain or shine.\We've got a lot ahead of us.\What'll happen next!\Sis gets in the habit of going on a LOT of dates and is in a state of perfect happiness once again.\But a deep, yawning gulf was awaiting them!\There are pitfalls everywhere in life!\Next time on KareKano, response:	The Couple's Estrangement!
