context: I always wanted to try that! response:	No manners at all...
context: Big kiss for you, for you.\For our life.\Just all-out like that all the time.\I know you are hero in your life.\I know I am hero in my life.\Let's go have fun!\Look at all these viewers!\We're being accessed from ARUS, too. response:	There's really no such thing as a lost lamb.
context: For our life.\Just all-out like that all the time.\I know you are hero in your life.\I know I am hero in my life.\Let's go have fun!\Look at all these viewers!\We're being accessed from ARUS, too.\There's really no such thing as a lost lamb. response:	Fighting spirit, Sprint flat out, Sakimori Sports Club
context: Just all-out like that all the time.\I know you are hero in your life.\I know I am hero in my life.\Let's go have fun!\Look at all these viewers!\We're being accessed from ARUS, too.\There's really no such thing as a lost lamb.\Fighting spirit, Sprint flat out, Sakimori Sports Club response:	Everyone has nights that wreck their self-confidence.
context: I know you are hero in your life.\I know I am hero in my life.\Let's go have fun!\Look at all these viewers!\We're being accessed from ARUS, too.\There's really no such thing as a lost lamb.\Fighting spirit, Sprint flat out, Sakimori Sports Club\Everyone has nights that wreck their self-confidence. response:	Haggard faces on the weekend from night after night of no sleep.
context: I know I am hero in my life.\Let's go have fun!\Look at all these viewers!\We're being accessed from ARUS, too.\There's really no such thing as a lost lamb.\Fighting spirit, Sprint flat out, Sakimori Sports Club\Everyone has nights that wreck their self-confidence.\Haggard faces on the weekend from night after night of no sleep. response:	JIOR Spirit!
context: Let's go have fun!\Look at all these viewers!\We're being accessed from ARUS, too.\There's really no such thing as a lost lamb.\Fighting spirit, Sprint flat out, Sakimori Sports Club\Everyone has nights that wreck their self-confidence.\Haggard faces on the weekend from night after night of no sleep.\JIOR Spirit! response:	You're here with me and will take me to the sun!
context: Look at all these viewers!\We're being accessed from ARUS, too.\There's really no such thing as a lost lamb.\Fighting spirit, Sprint flat out, Sakimori Sports Club\Everyone has nights that wreck their self-confidence.\Haggard faces on the weekend from night after night of no sleep.\JIOR Spirit!\You're here with me and will take me to the sun! response:	Good luck for you, for you.
context: We're being accessed from ARUS, too.\There's really no such thing as a lost lamb.\Fighting spirit, Sprint flat out, Sakimori Sports Club\Everyone has nights that wreck their self-confidence.\Haggard faces on the weekend from night after night of no sleep.\JIOR Spirit!\You're here with me and will take me to the sun!\Good luck for you, for you. response:	For happiness.
context: There's really no such thing as a lost lamb.\Fighting spirit, Sprint flat out, Sakimori Sports Club\Everyone has nights that wreck their self-confidence.\Haggard faces on the weekend from night after night of no sleep.\JIOR Spirit!\You're here with me and will take me to the sun!\Good luck for you, for you.\For happiness. response:	Big kiss for you, for you.
context: Fighting spirit, Sprint flat out, Sakimori Sports Club\Everyone has nights that wreck their self-confidence.\Haggard faces on the weekend from night after night of no sleep.\JIOR Spirit!\You're here with me and will take me to the sun!\Good luck for you, for you.\For happiness.\Big kiss for you, for you. response:	For our life.
context: Everyone has nights that wreck their self-confidence.\Haggard faces on the weekend from night after night of no sleep.\JIOR Spirit!\You're here with me and will take me to the sun!\Good luck for you, for you.\For happiness.\Big kiss for you, for you.\For our life. response:	I can't keep on smiling,
context: Haggard faces on the weekend from night after night of no sleep.\JIOR Spirit!\You're here with me and will take me to the sun!\Good luck for you, for you.\For happiness.\Big kiss for you, for you.\For our life.\I can't keep on smiling, response:	but that's okay.
context: JIOR Spirit!\You're here with me and will take me to the sun!\Good luck for you, for you.\For happiness.\Big kiss for you, for you.\For our life.\I can't keep on smiling,\but that's okay. response:	I know you are hero in your life.
context: You're here with me and will take me to the sun!\Good luck for you, for you.\For happiness.\Big kiss for you, for you.\For our life.\I can't keep on smiling,\but that's okay.\I know you are hero in your life. response:	I know I am hero in my life.
context: Good luck for you, for you.\For happiness.\Big kiss for you, for you.\For our life.\I can't keep on smiling,\but that's okay.\I know you are hero in your life.\I know I am hero in my life. response:	In this life that's full of thrills, let's go have fun!
context: For happiness.\Big kiss for you, for you.\For our life.\I can't keep on smiling,\but that's okay.\I know you are hero in your life.\I know I am hero in my life.\In this life that's full of thrills, let's go have fun! response:	People of JIOR! We're all fine!
context: Big kiss for you, for you.\For our life.\I can't keep on smiling,\but that's okay.\I know you are hero in your life.\I know I am hero in my life.\In this life that's full of thrills, let's go have fun!\People of JIOR! We're all fine! response:	If this song reaches you, I know we'll meet again one day!
context: For our life.\I can't keep on smiling,\but that's okay.\I know you are hero in your life.\I know I am hero in my life.\In this life that's full of thrills, let's go have fun!\People of JIOR! We're all fine!\If this song reaches you, I know we'll meet again one day! response:	Let's believe in that!
context: I can't keep on smiling,\but that's okay.\I know you are hero in your life.\I know I am hero in my life.\In this life that's full of thrills, let's go have fun!\People of JIOR! We're all fine!\If this song reaches you, I know we'll meet again one day!\Let's believe in that! response:	Fight!
context: but that's okay.\I know you are hero in your life.\I know I am hero in my life.\In this life that's full of thrills, let's go have fun!\People of JIOR! We're all fine!\If this song reaches you, I know we'll meet again one day!\Let's believe in that!\Fight! response:	Let's do it!
context: I know you are hero in your life.\I know I am hero in my life.\In this life that's full of thrills, let's go have fun!\People of JIOR! We're all fine!\If this song reaches you, I know we'll meet again one day!\Let's believe in that!\Fight!\Let's do it! response:	Mom, are you watching?
context: I know I am hero in my life.\In this life that's full of thrills, let's go have fun!\People of JIOR! We're all fine!\If this song reaches you, I know we'll meet again one day!\Let's believe in that!\Fight!\Let's do it!\Mom, are you watching? response:	The plan was for that song to reach our families, but it looks like it reached the people of ARUS, too!
context: In this life that's full of thrills, let's go have fun!\People of JIOR! We're all fine!\If this song reaches you, I know we'll meet again one day!\Let's believe in that!\Fight!\Let's do it!\Mom, are you watching?\The plan was for that song to reach our families, but it looks like it reached the people of ARUS, too! response:	I'm sure it's reached the people of JIOR, too!
context: People of JIOR! We're all fine!\If this song reaches you, I know we'll meet again one day!\Let's believe in that!\Fight!\Let's do it!\Mom, are you watching?\The plan was for that song to reach our families, but it looks like it reached the people of ARUS, too!\I'm sure it's reached the people of JIOR, too! response:	Yeah!
context: If this song reaches you, I know we'll meet again one day!\Let's believe in that!\Fight!\Let's do it!\Mom, are you watching?\The plan was for that song to reach our families, but it looks like it reached the people of ARUS, too!\I'm sure it's reached the people of JIOR, too!\Yeah! response:	Right! Let's get Haruto to write a thank-you post!
context: Let's believe in that!\Fight!\Let's do it!\Mom, are you watching?\The plan was for that song to reach our families, but it looks like it reached the people of ARUS, too!\I'm sure it's reached the people of JIOR, too!\Yeah!\Right! Let's get Haruto to write a thank-you post! response:	Where is he?
context: Fight!\Let's do it!\Mom, are you watching?\The plan was for that song to reach our families, but it looks like it reached the people of ARUS, too!\I'm sure it's reached the people of JIOR, too!\Yeah!\Right! Let's get Haruto to write a thank-you post!\Where is he? response:	With the exploration party.
context: Let's do it!\Mom, are you watching?\The plan was for that song to reach our families, but it looks like it reached the people of ARUS, too!\I'm sure it's reached the people of JIOR, too!\Yeah!\Right! Let's get Haruto to write a thank-you post!\Where is he?\With the exploration party. response:	He said we should know this Module inside and out.
context: Mom, are you watching?\The plan was for that song to reach our families, but it looks like it reached the people of ARUS, too!\I'm sure it's reached the people of JIOR, too!\Yeah!\Right! Let's get Haruto to write a thank-you post!\Where is he?\With the exploration party.\He said we should know this Module inside and out. response:	We'll leave that part to you!
context: The plan was for that song to reach our families, but it looks like it reached the people of ARUS, too!\I'm sure it's reached the people of JIOR, too!\Yeah!\Right! Let's get Haruto to write a thank-you post!\Where is he?\With the exploration party.\He said we should know this Module inside and out.\We'll leave that part to you! response:	Good luck!
context: I'm sure it's reached the people of JIOR, too!\Yeah!\Right! Let's get Haruto to write a thank-you post!\Where is he?\With the exploration party.\He said we should know this Module inside and out.\We'll leave that part to you!\Good luck! response:	Thanks for all the help.
context: Yeah!\Right! Let's get Haruto to write a thank-you post!\Where is he?\With the exploration party.\He said we should know this Module inside and out.\We'll leave that part to you!\Good luck!\Thanks for all the help. response:	Coming along as record-keeper, you mean?
context: Right! Let's get Haruto to write a thank-you post!\Where is he?\With the exploration party.\He said we should know this Module inside and out.\We'll leave that part to you!\Good luck!\Thanks for all the help.\Coming along as record-keeper, you mean? response:	No, I meant the song.
context: Where is he?\With the exploration party.\He said we should know this Module inside and out.\We'll leave that part to you!\Good luck!\Thanks for all the help.\Coming along as record-keeper, you mean?\No, I meant the song. response:	I thought you hated doing that kind of thing.
context: With the exploration party.\He said we should know this Module inside and out.\We'll leave that part to you!\Good luck!\Thanks for all the help.\Coming along as record-keeper, you mean?\No, I meant the song.\I thought you hated doing that kind of thing. response:	I do.
context: He said we should know this Module inside and out.\We'll leave that part to you!\Good luck!\Thanks for all the help.\Coming along as record-keeper, you mean?\No, I meant the song.\I thought you hated doing that kind of thing.\I do. response:	But at the same time, I'm grateful.
context: We'll leave that part to you!\Good luck!\Thanks for all the help.\Coming along as record-keeper, you mean?\No, I meant the song.\I thought you hated doing that kind of thing.\I do.\But at the same time, I'm grateful. response:	I hadn't done any singing since I got into this school.
context: Good luck!\Thanks for all the help.\Coming along as record-keeper, you mean?\No, I meant the song.\I thought you hated doing that kind of thing.\I do.\But at the same time, I'm grateful.\I hadn't done any singing since I got into this school. response:	What is it?!
context: Thanks for all the help.\Coming along as record-keeper, you mean?\No, I meant the song.\I thought you hated doing that kind of thing.\I do.\But at the same time, I'm grateful.\I hadn't done any singing since I got into this school.\What is it?! response:	This is...
context: Coming along as record-keeper, you mean?\No, I meant the song.\I thought you hated doing that kind of thing.\I do.\But at the same time, I'm grateful.\I hadn't done any singing since I got into this school.\What is it?!\This is... response:	There are more curses...
context: No, I meant the song.\I thought you hated doing that kind of thing.\I do.\But at the same time, I'm grateful.\I hadn't done any singing since I got into this school.\What is it?!\This is...\There are more curses... response:	It's like a rainbow!
context: I thought you hated doing that kind of thing.\I do.\But at the same time, I'm grateful.\I hadn't done any singing since I got into this school.\What is it?!\This is...\There are more curses...\It's like a rainbow! response:	Wait!
context: I do.\But at the same time, I'm grateful.\I hadn't done any singing since I got into this school.\What is it?!\This is...\There are more curses...\It's like a rainbow!\Wait! response:	Would you mind keeping this a secret just between us?
context: But at the same time, I'm grateful.\I hadn't done any singing since I got into this school.\What is it?!\This is...\There are more curses...\It's like a rainbow!\Wait!\Would you mind keeping this a secret just between us? response:	I don't want there to be any more people like me.
context: I hadn't done any singing since I got into this school.\What is it?!\This is...\There are more curses...\It's like a rainbow!\Wait!\Would you mind keeping this a secret just between us?\I don't want there to be any more people like me. response:	Fine.
context: What is it?!\This is...\There are more curses...\It's like a rainbow!\Wait!\Would you mind keeping this a secret just between us?\I don't want there to be any more people like me.\Fine. response:	But in return, let's be lonely together.
context: This is...\There are more curses...\It's like a rainbow!\Wait!\Would you mind keeping this a secret just between us?\I don't want there to be any more people like me.\Fine.\But in return, let's be lonely together. response:	Is this sex?
context: There are more curses...\It's like a rainbow!\Wait!\Would you mind keeping this a secret just between us?\I don't want there to be any more people like me.\Fine.\But in return, let's be lonely together.\Is this sex? response:	Next time, episode 6, Saki, Come Back!
context: It's like a rainbow!\Wait!\Would you mind keeping this a secret just between us?\I don't want there to be any more people like me.\Fine.\But in return, let's be lonely together.\Is this sex?\Next time, episode 6, Saki, Come Back! response:	Valvrave the Liberator...
context: Wait!\Would you mind keeping this a secret just between us?\I don't want there to be any more people like me.\Fine.\But in return, let's be lonely together.\Is this sex?\Next time, episode 6, Saki, Come Back!\Valvrave the Liberator... response:	The system that will expose the truth of the world.
