context: It's me. response:	I see. Good work.
context: I see.\What's wrong, Hei?\Nothing.\There was a response from BK201?\Y-Yes, but it was really faint.\Time and location?\Several minutes, starting from 19:12 last night.\The exact location hasn't been confirmed, but it was probably Shinjuku. response:	He was in the vicinity after all.
context: What's wrong, Hei?\Nothing.\There was a response from BK201?\Y-Yes, but it was really faint.\Time and location?\Several minutes, starting from 19:12 last night.\The exact location hasn't been confirmed, but it was probably Shinjuku.\He was in the vicinity after all. response:	Was there any other news worth mentioning during that time?
context: Nothing.\There was a response from BK201?\Y-Yes, but it was really faint.\Time and location?\Several minutes, starting from 19:12 last night.\The exact location hasn't been confirmed, but it was probably Shinjuku.\He was in the vicinity after all.\Was there any other news worth mentioning during that time? response:	It occurred a little later,
context: There was a response from BK201?\Y-Yes, but it was really faint.\Time and location?\Several minutes, starting from 19:12 last night.\The exact location hasn't been confirmed, but it was probably Shinjuku.\He was in the vicinity after all.\Was there any other news worth mentioning during that time?\It occurred a little later, response:	but there was a shooting incident at Shinjuku Station's south exit, believed to be part of a gang war.
context: Y-Yes, but it was really faint.\Time and location?\Several minutes, starting from 19:12 last night.\The exact location hasn't been confirmed, but it was probably Shinjuku.\He was in the vicinity after all.\Was there any other news worth mentioning during that time?\It occurred a little later,\but there was a shooting incident at Shinjuku Station's south exit, believed to be part of a gang war. response:	A mob official was killed.
context: Time and location?\Several minutes, starting from 19:12 last night.\The exact location hasn't been confirmed, but it was probably Shinjuku.\He was in the vicinity after all.\Was there any other news worth mentioning during that time?\It occurred a little later,\but there was a shooting incident at Shinjuku Station's south exit, believed to be part of a gang war.\A mob official was killed. response:	Shooting incident?
context: Several minutes, starting from 19:12 last night.\The exact location hasn't been confirmed, but it was probably Shinjuku.\He was in the vicinity after all.\Was there any other news worth mentioning during that time?\It occurred a little later,\but there was a shooting incident at Shinjuku Station's south exit, believed to be part of a gang war.\A mob official was killed.\Shooting incident? response:	Anything else?
context: The exact location hasn't been confirmed, but it was probably Shinjuku.\He was in the vicinity after all.\Was there any other news worth mentioning during that time?\It occurred a little later,\but there was a shooting incident at Shinjuku Station's south exit, believed to be part of a gang war.\A mob official was killed.\Shooting incident?\Anything else? response:	Nothing else has been reported.
context: He was in the vicinity after all.\Was there any other news worth mentioning during that time?\It occurred a little later,\but there was a shooting incident at Shinjuku Station's south exit, believed to be part of a gang war.\A mob official was killed.\Shooting incident?\Anything else?\Nothing else has been reported. response:	I see.
context: Was there any other news worth mentioning during that time?\It occurred a little later,\but there was a shooting incident at Shinjuku Station's south exit, believed to be part of a gang war.\A mob official was killed.\Shooting incident?\Anything else?\Nothing else has been reported.\I see. response:	All right. Thanks.
context: It occurred a little later,\but there was a shooting incident at Shinjuku Station's south exit, believed to be part of a gang war.\A mob official was killed.\Shooting incident?\Anything else?\Nothing else has been reported.\I see.\All right. Thanks. response:	When will you make your next appearance, BK201?
context: but there was a shooting incident at Shinjuku Station's south exit, believed to be part of a gang war.\A mob official was killed.\Shooting incident?\Anything else?\Nothing else has been reported.\I see.\All right. Thanks.\When will you make your next appearance, BK201? response:	Coming!
context: A mob official was killed.\Shooting incident?\Anything else?\Nothing else has been reported.\I see.\All right. Thanks.\When will you make your next appearance, BK201?\Coming! response:	Sorry for all the trouble.
context: Shooting incident?\Anything else?\Nothing else has been reported.\I see.\All right. Thanks.\When will you make your next appearance, BK201?\Coming!\Sorry for all the trouble. response:	Don't worry about it. It's part of my job as a landlord.
context: Anything else?\Nothing else has been reported.\I see.\All right. Thanks.\When will you make your next appearance, BK201?\Coming!\Sorry for all the trouble.\Don't worry about it. It's part of my job as a landlord. response:	Kiritanpo?
context: Nothing else has been reported.\I see.\All right. Thanks.\When will you make your next appearance, BK201?\Coming!\Sorry for all the trouble.\Don't worry about it. It's part of my job as a landlord.\Kiritanpo? response:	Don't you know what that is? It's an Akita dish.
context: I see.\All right. Thanks.\When will you make your next appearance, BK201?\Coming!\Sorry for all the trouble.\Don't worry about it. It's part of my job as a landlord.\Kiritanpo?\Don't you know what that is? It's an Akita dish. response:	Is that boy in Akita?
context: All right. Thanks.\When will you make your next appearance, BK201?\Coming!\Sorry for all the trouble.\Don't worry about it. It's part of my job as a landlord.\Kiritanpo?\Don't you know what that is? It's an Akita dish.\Is that boy in Akita? response:	Yes.
context: When will you make your next appearance, BK201?\Coming!\Sorry for all the trouble.\Don't worry about it. It's part of my job as a landlord.\Kiritanpo?\Don't you know what that is? It's an Akita dish.\Is that boy in Akita?\Yes. response:	This is a lot for one person.
context: Coming!\Sorry for all the trouble.\Don't worry about it. It's part of my job as a landlord.\Kiritanpo?\Don't you know what that is? It's an Akita dish.\Is that boy in Akita?\Yes.\This is a lot for one person. response:	I think he wanted to share this with everybody.
context: Sorry for all the trouble.\Don't worry about it. It's part of my job as a landlord.\Kiritanpo?\Don't you know what that is? It's an Akita dish.\Is that boy in Akita?\Yes.\This is a lot for one person.\I think he wanted to share this with everybody. response:	Can you distribute it to everyone?
context: Don't worry about it. It's part of my job as a landlord.\Kiritanpo?\Don't you know what that is? It's an Akita dish.\Is that boy in Akita?\Yes.\This is a lot for one person.\I think he wanted to share this with everybody.\Can you distribute it to everyone? response:	What are you saying? Hand it out yourself.
context: Kiritanpo?\Don't you know what that is? It's an Akita dish.\Is that boy in Akita?\Yes.\This is a lot for one person.\I think he wanted to share this with everybody.\Can you distribute it to everyone?\What are you saying? Hand it out yourself. response:	What's with that face? That's common courtesy, you know.
context: Don't you know what that is? It's an Akita dish.\Is that boy in Akita?\Yes.\This is a lot for one person.\I think he wanted to share this with everybody.\Can you distribute it to everyone?\What are you saying? Hand it out yourself.\What's with that face? That's common courtesy, you know. response:	The faces of those who are gone float beyond the bubble that glitters of gold.
context: Is that boy in Akita?\Yes.\This is a lot for one person.\I think he wanted to share this with everybody.\Can you distribute it to everyone?\What are you saying? Hand it out yourself.\What's with that face? That's common courtesy, you know.\The faces of those who are gone float beyond the bubble that glitters of gold. response:	The woman who lost her memory serves a smile.
context: Yes.\This is a lot for one person.\I think he wanted to share this with everybody.\Can you distribute it to everyone?\What are you saying? Hand it out yourself.\What's with that face? That's common courtesy, you know.\The faces of those who are gone float beyond the bubble that glitters of gold.\The woman who lost her memory serves a smile. response:	The man who lost his love drinks a glass of despair.
context: This is a lot for one person.\I think he wanted to share this with everybody.\Can you distribute it to everyone?\What are you saying? Hand it out yourself.\What's with that face? That's common courtesy, you know.\The faces of those who are gone float beyond the bubble that glitters of gold.\The woman who lost her memory serves a smile.\The man who lost his love drinks a glass of despair. response:	His unabated indignity won't melt away,
context: I think he wanted to share this with everybody.\Can you distribute it to everyone?\What are you saying? Hand it out yourself.\What's with that face? That's common courtesy, you know.\The faces of those who are gone float beyond the bubble that glitters of gold.\The woman who lost her memory serves a smile.\The man who lost his love drinks a glass of despair.\His unabated indignity won't melt away, response:	so he continues to drink.
context: Can you distribute it to everyone?\What are you saying? Hand it out yourself.\What's with that face? That's common courtesy, you know.\The faces of those who are gone float beyond the bubble that glitters of gold.\The woman who lost her memory serves a smile.\The man who lost his love drinks a glass of despair.\His unabated indignity won't melt away,\so he continues to drink. response:	However, he cannot get drunk.
context: What are you saying? Hand it out yourself.\What's with that face? That's common courtesy, you know.\The faces of those who are gone float beyond the bubble that glitters of gold.\The woman who lost her memory serves a smile.\The man who lost his love drinks a glass of despair.\His unabated indignity won't melt away,\so he continues to drink.\However, he cannot get drunk. response:	Episode Nineteen Dreaming Shallow, Uninebriated... (Part One)
