context: The news was not of some severe situation response:	that would cause people to frown, or at all serious in nature.
context: that will dish out the most money for production and advertising.\I'm sure there are a number of things you're not satisfied about, but...\Lately, my life's been full of things I'm not satisfied with.\Then you must've figured it out by now.\Justice doesn't always prevail in this world.\If you don't wanna lose, you've gotta be tough.\You've gotta be more cunning.\If you can't do that, go back to Terashima Inn. response:	When I turned on the TV, the afternoon talk show was on.
context: I'm sure there are a number of things you're not satisfied about, but...\Lately, my life's been full of things I'm not satisfied with.\Then you must've figured it out by now.\Justice doesn't always prevail in this world.\If you don't wanna lose, you've gotta be tough.\You've gotta be more cunning.\If you can't do that, go back to Terashima Inn.\When I turned on the TV, the afternoon talk show was on. response:	Ren was surrounded by reporters.
context: Lately, my life's been full of things I'm not satisfied with.\Then you must've figured it out by now.\Justice doesn't always prevail in this world.\If you don't wanna lose, you've gotta be tough.\You've gotta be more cunning.\If you can't do that, go back to Terashima Inn.\When I turned on the TV, the afternoon talk show was on.\Ren was surrounded by reporters. response:	Watching him in the lobby of the international airport walking quickly
context: Then you must've figured it out by now.\Justice doesn't always prevail in this world.\If you don't wanna lose, you've gotta be tough.\You've gotta be more cunning.\If you can't do that, go back to Terashima Inn.\When I turned on the TV, the afternoon talk show was on.\Ren was surrounded by reporters.\Watching him in the lobby of the international airport walking quickly response:	and without saying a word, I feel a bit left behind again.
context: Justice doesn't always prevail in this world.\If you don't wanna lose, you've gotta be tough.\You've gotta be more cunning.\If you can't do that, go back to Terashima Inn.\When I turned on the TV, the afternoon talk show was on.\Ren was surrounded by reporters.\Watching him in the lobby of the international airport walking quickly\and without saying a word, I feel a bit left behind again. response:	I have no idea where Ren was going.
context: If you don't wanna lose, you've gotta be tough.\You've gotta be more cunning.\If you can't do that, go back to Terashima Inn.\When I turned on the TV, the afternoon talk show was on.\Ren was surrounded by reporters.\Watching him in the lobby of the international airport walking quickly\and without saying a word, I feel a bit left behind again.\I have no idea where Ren was going. response:	I don't even know what he is aiming for.
context: You've gotta be more cunning.\If you can't do that, go back to Terashima Inn.\When I turned on the TV, the afternoon talk show was on.\Ren was surrounded by reporters.\Watching him in the lobby of the international airport walking quickly\and without saying a word, I feel a bit left behind again.\I have no idea where Ren was going.\I don't even know what he is aiming for. response:	I remembered us talking about living together in that warehouse again,
context: If you can't do that, go back to Terashima Inn.\When I turned on the TV, the afternoon talk show was on.\Ren was surrounded by reporters.\Watching him in the lobby of the international airport walking quickly\and without saying a word, I feel a bit left behind again.\I have no idea where Ren was going.\I don't even know what he is aiming for.\I remembered us talking about living together in that warehouse again, response:	and began to think that it was even less likely to come true
context: When I turned on the TV, the afternoon talk show was on.\Ren was surrounded by reporters.\Watching him in the lobby of the international airport walking quickly\and without saying a word, I feel a bit left behind again.\I have no idea where Ren was going.\I don't even know what he is aiming for.\I remembered us talking about living together in that warehouse again,\and began to think that it was even less likely to come true response:	than my dream of making it as a singer.
context: Ren was surrounded by reporters.\Watching him in the lobby of the international airport walking quickly\and without saying a word, I feel a bit left behind again.\I have no idea where Ren was going.\I don't even know what he is aiming for.\I remembered us talking about living together in that warehouse again,\and began to think that it was even less likely to come true\than my dream of making it as a singer. response:	Hey, Jun-chan, I wonder where Ren flew to.
context: Watching him in the lobby of the international airport walking quickly\and without saying a word, I feel a bit left behind again.\I have no idea where Ren was going.\I don't even know what he is aiming for.\I remembered us talking about living together in that warehouse again,\and began to think that it was even less likely to come true\than my dream of making it as a singer.\Hey, Jun-chan, I wonder where Ren flew to. response:	Leaving Nana behind.
context: and without saying a word, I feel a bit left behind again.\I have no idea where Ren was going.\I don't even know what he is aiming for.\I remembered us talking about living together in that warehouse again,\and began to think that it was even less likely to come true\than my dream of making it as a singer.\Hey, Jun-chan, I wonder where Ren flew to.\Leaving Nana behind. response:	What I wanna know is how long do you plan on staying here?
context: I have no idea where Ren was going.\I don't even know what he is aiming for.\I remembered us talking about living together in that warehouse again,\and began to think that it was even less likely to come true\than my dream of making it as a singer.\Hey, Jun-chan, I wonder where Ren flew to.\Leaving Nana behind.\What I wanna know is how long do you plan on staying here? response:	If Ren went overseas, does that mean that Takumi went too?
context: I don't even know what he is aiming for.\I remembered us talking about living together in that warehouse again,\and began to think that it was even less likely to come true\than my dream of making it as a singer.\Hey, Jun-chan, I wonder where Ren flew to.\Leaving Nana behind.\What I wanna know is how long do you plan on staying here?\If Ren went overseas, does that mean that Takumi went too? response:	Without me?
context: I remembered us talking about living together in that warehouse again,\and began to think that it was even less likely to come true\than my dream of making it as a singer.\Hey, Jun-chan, I wonder where Ren flew to.\Leaving Nana behind.\What I wanna know is how long do you plan on staying here?\If Ren went overseas, does that mean that Takumi went too?\Without me? response:	Kyosuke tells you to come here, and then flees off to school.
context: and began to think that it was even less likely to come true\than my dream of making it as a singer.\Hey, Jun-chan, I wonder where Ren flew to.\Leaving Nana behind.\What I wanna know is how long do you plan on staying here?\If Ren went overseas, does that mean that Takumi went too?\Without me?\Kyosuke tells you to come here, and then flees off to school. response:	Men can be so selfish.
context: than my dream of making it as a singer.\Hey, Jun-chan, I wonder where Ren flew to.\Leaving Nana behind.\What I wanna know is how long do you plan on staying here?\If Ren went overseas, does that mean that Takumi went too?\Without me?\Kyosuke tells you to come here, and then flees off to school.\Men can be so selfish. response:	When's he coming back? We haven't made up yet after that fight.
context: Hey, Jun-chan, I wonder where Ren flew to.\Leaving Nana behind.\What I wanna know is how long do you plan on staying here?\If Ren went overseas, does that mean that Takumi went too?\Without me?\Kyosuke tells you to come here, and then flees off to school.\Men can be so selfish.\When's he coming back? We haven't made up yet after that fight. response:	What should I do?
context: Leaving Nana behind.\What I wanna know is how long do you plan on staying here?\If Ren went overseas, does that mean that Takumi went too?\Without me?\Kyosuke tells you to come here, and then flees off to school.\Men can be so selfish.\When's he coming back? We haven't made up yet after that fight.\What should I do? response:	Nana, you should go back to your parents.
context: What I wanna know is how long do you plan on staying here?\If Ren went overseas, does that mean that Takumi went too?\Without me?\Kyosuke tells you to come here, and then flees off to school.\Men can be so selfish.\When's he coming back? We haven't made up yet after that fight.\What should I do?\Nana, you should go back to your parents. response:	That would be the best for everyone.
context: If Ren went overseas, does that mean that Takumi went too?\Without me?\Kyosuke tells you to come here, and then flees off to school.\Men can be so selfish.\When's he coming back? We haven't made up yet after that fight.\What should I do?\Nana, you should go back to your parents.\That would be the best for everyone. response:	No way! Not after Nana sent me that beautiful message of encouragement!
context: Without me?\Kyosuke tells you to come here, and then flees off to school.\Men can be so selfish.\When's he coming back? We haven't made up yet after that fight.\What should I do?\Nana, you should go back to your parents.\That would be the best for everyone.\No way! Not after Nana sent me that beautiful message of encouragement! response:	Was that a message of encouragement?
context: Kyosuke tells you to come here, and then flees off to school.\Men can be so selfish.\When's he coming back? We haven't made up yet after that fight.\What should I do?\Nana, you should go back to your parents.\That would be the best for everyone.\No way! Not after Nana sent me that beautiful message of encouragement!\Was that a message of encouragement? response:	HACHIKO
context: Men can be so selfish.\When's he coming back? We haven't made up yet after that fight.\What should I do?\Nana, you should go back to your parents.\That would be the best for everyone.\No way! Not after Nana sent me that beautiful message of encouragement!\Was that a message of encouragement?\HACHIKO response:	HACHIKO Nana's hanging in there,
context: When's he coming back? We haven't made up yet after that fight.\What should I do?\Nana, you should go back to your parents.\That would be the best for everyone.\No way! Not after Nana sent me that beautiful message of encouragement!\Was that a message of encouragement?\HACHIKO\HACHIKO Nana's hanging in there, response:	HACHIKO no matter how tough things are for her,
context: What should I do?\Nana, you should go back to your parents.\That would be the best for everyone.\No way! Not after Nana sent me that beautiful message of encouragement!\Was that a message of encouragement?\HACHIKO\HACHIKO Nana's hanging in there,\HACHIKO no matter how tough things are for her, response:	HACHIKO so I've gotta gather myself and do my best too.
context: Nana, you should go back to your parents.\That would be the best for everyone.\No way! Not after Nana sent me that beautiful message of encouragement!\Was that a message of encouragement?\HACHIKO\HACHIKO Nana's hanging in there,\HACHIKO no matter how tough things are for her,\HACHIKO so I've gotta gather myself and do my best too. response:	HACHIKO
context: That would be the best for everyone.\No way! Not after Nana sent me that beautiful message of encouragement!\Was that a message of encouragement?\HACHIKO\HACHIKO Nana's hanging in there,\HACHIKO no matter how tough things are for her,\HACHIKO so I've gotta gather myself and do my best too.\HACHIKO response:	HACHIKO No, in your case, the more you try
context: No way! Not after Nana sent me that beautiful message of encouragement!\Was that a message of encouragement?\HACHIKO\HACHIKO Nana's hanging in there,\HACHIKO no matter how tough things are for her,\HACHIKO so I've gotta gather myself and do my best too.\HACHIKO\HACHIKO No, in your case, the more you try response:	HACHIKO the more you cause problems to those around you.
context: Was that a message of encouragement?\HACHIKO\HACHIKO Nana's hanging in there,\HACHIKO no matter how tough things are for her,\HACHIKO so I've gotta gather myself and do my best too.\HACHIKO\HACHIKO No, in your case, the more you try\HACHIKO the more you cause problems to those around you. response:	HACHIKO
context: HACHIKO\HACHIKO Nana's hanging in there,\HACHIKO no matter how tough things are for her,\HACHIKO so I've gotta gather myself and do my best too.\HACHIKO\HACHIKO No, in your case, the more you try\HACHIKO the more you cause problems to those around you.\HACHIKO response:	HACHIKO You'd do better quietly starting from square one.
context: HACHIKO Nana's hanging in there,\HACHIKO no matter how tough things are for her,\HACHIKO so I've gotta gather myself and do my best too.\HACHIKO\HACHIKO No, in your case, the more you try\HACHIKO the more you cause problems to those around you.\HACHIKO\HACHIKO You'd do better quietly starting from square one. response:	HACHIKO
context: HACHIKO no matter how tough things are for her,\HACHIKO so I've gotta gather myself and do my best too.\HACHIKO\HACHIKO No, in your case, the more you try\HACHIKO the more you cause problems to those around you.\HACHIKO\HACHIKO You'd do better quietly starting from square one.\HACHIKO response:	Can I reach him on his cell while he's overseas?
context: HACHIKO so I've gotta gather myself and do my best too.\HACHIKO\HACHIKO No, in your case, the more you try\HACHIKO the more you cause problems to those around you.\HACHIKO\HACHIKO You'd do better quietly starting from square one.\HACHIKO\Can I reach him on his cell while he's overseas? response:	Maybe I can still catch him.
context: HACHIKO\HACHIKO No, in your case, the more you try\HACHIKO the more you cause problems to those around you.\HACHIKO\HACHIKO You'd do better quietly starting from square one.\HACHIKO\Can I reach him on his cell while he's overseas?\Maybe I can still catch him. response:	She's not listening one bit.
context: HACHIKO No, in your case, the more you try\HACHIKO the more you cause problems to those around you.\HACHIKO\HACHIKO You'd do better quietly starting from square one.\HACHIKO\Can I reach him on his cell while he's overseas?\Maybe I can still catch him.\She's not listening one bit. response:	I'm looking forward to London. I wonder how Stella is doing.
context: HACHIKO the more you cause problems to those around you.\HACHIKO\HACHIKO You'd do better quietly starting from square one.\HACHIKO\Can I reach him on his cell while he's overseas?\Maybe I can still catch him.\She's not listening one bit.\I'm looking forward to London. I wonder how Stella is doing. response:	Who's Stella?
context: HACHIKO\HACHIKO You'd do better quietly starting from square one.\HACHIKO\Can I reach him on his cell while he's overseas?\Maybe I can still catch him.\She's not listening one bit.\I'm looking forward to London. I wonder how Stella is doing.\Who's Stella? response:	Takumi's lover in London.
context: HACHIKO You'd do better quietly starting from square one.\HACHIKO\Can I reach him on his cell while he's overseas?\Maybe I can still catch him.\She's not listening one bit.\I'm looking forward to London. I wonder how Stella is doing.\Who's Stella?\Takumi's lover in London. response:	- Lover in London? - Lover in London?
context: HACHIKO\Can I reach him on his cell while he's overseas?\Maybe I can still catch him.\She's not listening one bit.\I'm looking forward to London. I wonder how Stella is doing.\Who's Stella?\Takumi's lover in London.\- Lover in London? - Lover in London? response:	Wow. He's even got one overseas.
context: Can I reach him on his cell while he's overseas?\Maybe I can still catch him.\She's not listening one bit.\I'm looking forward to London. I wonder how Stella is doing.\Who's Stella?\Takumi's lover in London.\- Lover in London? - Lover in London?\Wow. He's even got one overseas. response:	I ENVY HIM Wow. He's even got one overseas.
context: Maybe I can still catch him.\She's not listening one bit.\I'm looking forward to London. I wonder how Stella is doing.\Who's Stella?\Takumi's lover in London.\- Lover in London? - Lover in London?\Wow. He's even got one overseas.\I ENVY HIM Wow. He's even got one overseas. response:	I ENVY HIM
context: She's not listening one bit.\I'm looking forward to London. I wonder how Stella is doing.\Who's Stella?\Takumi's lover in London.\- Lover in London? - Lover in London?\Wow. He's even got one overseas.\I ENVY HIM Wow. He's even got one overseas.\I ENVY HIM response:	I ENVY HIM And she's blonde.
context: I'm looking forward to London. I wonder how Stella is doing.\Who's Stella?\Takumi's lover in London.\- Lover in London? - Lover in London?\Wow. He's even got one overseas.\I ENVY HIM Wow. He's even got one overseas.\I ENVY HIM\I ENVY HIM And she's blonde. response:	I ENVY HIM - She's blonde? - A blonde?
context: Who's Stella?\Takumi's lover in London.\- Lover in London? - Lover in London?\Wow. He's even got one overseas.\I ENVY HIM Wow. He's even got one overseas.\I ENVY HIM\I ENVY HIM And she's blonde.\I ENVY HIM - She's blonde? - A blonde? response:	- She's blonde? - A blonde?
context: Takumi's lover in London.\- Lover in London? - Lover in London?\Wow. He's even got one overseas.\I ENVY HIM Wow. He's even got one overseas.\I ENVY HIM\I ENVY HIM And she's blonde.\I ENVY HIM - She's blonde? - A blonde?\- She's blonde? - A blonde? response:	He not only has one in England.
context: - Lover in London? - Lover in London?\Wow. He's even got one overseas.\I ENVY HIM Wow. He's even got one overseas.\I ENVY HIM\I ENVY HIM And she's blonde.\I ENVY HIM - She's blonde? - A blonde?\- She's blonde? - A blonde?\He not only has one in England. response:	He also has...
context: Wow. He's even got one overseas.\I ENVY HIM Wow. He's even got one overseas.\I ENVY HIM\I ENVY HIM And she's blonde.\I ENVY HIM - She's blonde? - A blonde?\- She's blonde? - A blonde?\He not only has one in England.\He also has... response:	Oh, Takumi! Thank goodness I got through!
context: I ENVY HIM Wow. He's even got one overseas.\I ENVY HIM\I ENVY HIM And she's blonde.\I ENVY HIM - She's blonde? - A blonde?\- She's blonde? - A blonde?\He not only has one in England.\He also has...\Oh, Takumi! Thank goodness I got through! response:	- The U.S., China... - What? Really? Awesome!
context: I ENVY HIM\I ENVY HIM And she's blonde.\I ENVY HIM - She's blonde? - A blonde?\- She's blonde? - A blonde?\He not only has one in England.\He also has...\Oh, Takumi! Thank goodness I got through!\- The U.S., China... - What? Really? Awesome! response:	- Oh, hello. Sorry we're late. - What's the matter?
context: I ENVY HIM And she's blonde.\I ENVY HIM - She's blonde? - A blonde?\- She's blonde? - A blonde?\He not only has one in England.\He also has...\Oh, Takumi! Thank goodness I got through!\- The U.S., China... - What? Really? Awesome!\- Oh, hello. Sorry we're late. - What's the matter? response:	Um, I-I'm sorry. I said some horrible things this morning.
context: I ENVY HIM - She's blonde? - A blonde?\- She's blonde? - A blonde?\He not only has one in England.\He also has...\Oh, Takumi! Thank goodness I got through!\- The U.S., China... - What? Really? Awesome!\- Oh, hello. Sorry we're late. - What's the matter?\Um, I-I'm sorry. I said some horrible things this morning. response:	This morning?
context: - She's blonde? - A blonde?\He not only has one in England.\He also has...\Oh, Takumi! Thank goodness I got through!\- The U.S., China... - What? Really? Awesome!\- Oh, hello. Sorry we're late. - What's the matter?\Um, I-I'm sorry. I said some horrible things this morning.\This morning? response:	What do you mean troublesome?
context: He not only has one in England.\He also has...\Oh, Takumi! Thank goodness I got through!\- The U.S., China... - What? Really? Awesome!\- Oh, hello. Sorry we're late. - What's the matter?\Um, I-I'm sorry. I said some horrible things this morning.\This morning?\What do you mean troublesome? response:	Outsiders like you need to shut up!
context: He also has...\Oh, Takumi! Thank goodness I got through!\- The U.S., China... - What? Really? Awesome!\- Oh, hello. Sorry we're late. - What's the matter?\Um, I-I'm sorry. I said some horrible things this morning.\This morning?\What do you mean troublesome?\Outsiders like you need to shut up! response:	Oh.
context: Oh, Takumi! Thank goodness I got through!\- The U.S., China... - What? Really? Awesome!\- Oh, hello. Sorry we're late. - What's the matter?\Um, I-I'm sorry. I said some horrible things this morning.\This morning?\What do you mean troublesome?\Outsiders like you need to shut up!\Oh. response:	That's all.
context: - The U.S., China... - What? Really? Awesome!\- Oh, hello. Sorry we're late. - What's the matter?\Um, I-I'm sorry. I said some horrible things this morning.\This morning?\What do you mean troublesome?\Outsiders like you need to shut up!\Oh.\That's all. response:	Sorry.
context: - Oh, hello. Sorry we're late. - What's the matter?\Um, I-I'm sorry. I said some horrible things this morning.\This morning?\What do you mean troublesome?\Outsiders like you need to shut up!\Oh.\That's all.\Sorry. response:	I know an outsider like me shouldn't be calling you at such a busy time.
context: Um, I-I'm sorry. I said some horrible things this morning.\This morning?\What do you mean troublesome?\Outsiders like you need to shut up!\Oh.\That's all.\Sorry.\I know an outsider like me shouldn't be calling you at such a busy time. response:	SO SAD...
context: This morning?\What do you mean troublesome?\Outsiders like you need to shut up!\Oh.\That's all.\Sorry.\I know an outsider like me shouldn't be calling you at such a busy time.\SO SAD... response:	Hello?
context: What do you mean troublesome?\Outsiders like you need to shut up!\Oh.\That's all.\Sorry.\I know an outsider like me shouldn't be calling you at such a busy time.\SO SAD...\Hello? response:	Listen, I'm going to England tomorrow.
context: Outsiders like you need to shut up!\Oh.\That's all.\Sorry.\I know an outsider like me shouldn't be calling you at such a busy time.\SO SAD...\Hello?\Listen, I'm going to England tomorrow. response:	I'll email you the hotel's number,
context: Oh.\That's all.\Sorry.\I know an outsider like me shouldn't be calling you at such a busy time.\SO SAD...\Hello?\Listen, I'm going to England tomorrow.\I'll email you the hotel's number, response:	so call me there if you need to reach me.
context: That's all.\Sorry.\I know an outsider like me shouldn't be calling you at such a busy time.\SO SAD...\Hello?\Listen, I'm going to England tomorrow.\I'll email you the hotel's number,\so call me there if you need to reach me. response:	They have Japanese speaking staff at the front desk.
context: Sorry.\I know an outsider like me shouldn't be calling you at such a busy time.\SO SAD...\Hello?\Listen, I'm going to England tomorrow.\I'll email you the hotel's number,\so call me there if you need to reach me.\They have Japanese speaking staff at the front desk. response:	From tomorrow? For how long?
context: I know an outsider like me shouldn't be calling you at such a busy time.\SO SAD...\Hello?\Listen, I'm going to England tomorrow.\I'll email you the hotel's number,\so call me there if you need to reach me.\They have Japanese speaking staff at the front desk.\From tomorrow? For how long? response:	Hmm... Probably about half a month.
context: SO SAD...\Hello?\Listen, I'm going to England tomorrow.\I'll email you the hotel's number,\so call me there if you need to reach me.\They have Japanese speaking staff at the front desk.\From tomorrow? For how long?\Hmm... Probably about half a month. response:	Half a month?!
context: Hello?\Listen, I'm going to England tomorrow.\I'll email you the hotel's number,\so call me there if you need to reach me.\They have Japanese speaking staff at the front desk.\From tomorrow? For how long?\Hmm... Probably about half a month.\Half a month?! response:	It's only half a month.
context: Listen, I'm going to England tomorrow.\I'll email you the hotel's number,\so call me there if you need to reach me.\They have Japanese speaking staff at the front desk.\From tomorrow? For how long?\Hmm... Probably about half a month.\Half a month?!\It's only half a month. response:	Even if I was here,
context: I'll email you the hotel's number,\so call me there if you need to reach me.\They have Japanese speaking staff at the front desk.\From tomorrow? For how long?\Hmm... Probably about half a month.\Half a month?!\It's only half a month.\Even if I was here, response:	I wouldn't be able to see you in this commotion, so it's the same.
context: so call me there if you need to reach me.\They have Japanese speaking staff at the front desk.\From tomorrow? For how long?\Hmm... Probably about half a month.\Half a month?!\It's only half a month.\Even if I was here,\I wouldn't be able to see you in this commotion, so it's the same. response:	It's not the same! It's totally different!
context: They have Japanese speaking staff at the front desk.\From tomorrow? For how long?\Hmm... Probably about half a month.\Half a month?!\It's only half a month.\Even if I was here,\I wouldn't be able to see you in this commotion, so it's the same.\It's not the same! It's totally different! response:	STUPID... STUPID It's not the same! It's totally different!
context: From tomorrow? For how long?\Hmm... Probably about half a month.\Half a month?!\It's only half a month.\Even if I was here,\I wouldn't be able to see you in this commotion, so it's the same.\It's not the same! It's totally different!\STUPID... STUPID It's not the same! It's totally different! response:	It's not the same! It's totally different!
context: Hmm... Probably about half a month.\Half a month?!\It's only half a month.\Even if I was here,\I wouldn't be able to see you in this commotion, so it's the same.\It's not the same! It's totally different!\STUPID... STUPID It's not the same! It's totally different!\It's not the same! It's totally different! response:	Really?
context: Half a month?!\It's only half a month.\Even if I was here,\I wouldn't be able to see you in this commotion, so it's the same.\It's not the same! It's totally different!\STUPID... STUPID It's not the same! It's totally different!\It's not the same! It's totally different!\Really? response:	Anyway that's how it is.
context: It's only half a month.\Even if I was here,\I wouldn't be able to see you in this commotion, so it's the same.\It's not the same! It's totally different!\STUPID... STUPID It's not the same! It's totally different!\It's not the same! It's totally different!\Really?\Anyway that's how it is. response:	I won't be able to go see your parents for a while.
context: Even if I was here,\I wouldn't be able to see you in this commotion, so it's the same.\It's not the same! It's totally different!\STUPID... STUPID It's not the same! It's totally different!\It's not the same! It's totally different!\Really?\Anyway that's how it is.\I won't be able to go see your parents for a while. response:	Please explain the situation to them and apologize for me.
context: I wouldn't be able to see you in this commotion, so it's the same.\It's not the same! It's totally different!\STUPID... STUPID It's not the same! It's totally different!\It's not the same! It's totally different!\Really?\Anyway that's how it is.\I won't be able to go see your parents for a while.\Please explain the situation to them and apologize for me. response:	Then maybe I'll go back to my parents while you're in England.
context: It's not the same! It's totally different!\STUPID... STUPID It's not the same! It's totally different!\It's not the same! It's totally different!\Really?\Anyway that's how it is.\I won't be able to go see your parents for a while.\Please explain the situation to them and apologize for me.\Then maybe I'll go back to my parents while you're in England. response:	It would be lonely staying here.
context: STUPID... STUPID It's not the same! It's totally different!\It's not the same! It's totally different!\Really?\Anyway that's how it is.\I won't be able to go see your parents for a while.\Please explain the situation to them and apologize for me.\Then maybe I'll go back to my parents while you're in England.\It would be lonely staying here. response:	Yeah, why don't you do that?
context: It's not the same! It's totally different!\Really?\Anyway that's how it is.\I won't be able to go see your parents for a while.\Please explain the situation to them and apologize for me.\Then maybe I'll go back to my parents while you're in England.\It would be lonely staying here.\Yeah, why don't you do that? response:	So, what have you decided to do?
context: Really?\Anyway that's how it is.\I won't be able to go see your parents for a while.\Please explain the situation to them and apologize for me.\Then maybe I'll go back to my parents while you're in England.\It would be lonely staying here.\Yeah, why don't you do that?\So, what have you decided to do? response:	Will you raise the child at your parents' place?
context: Anyway that's how it is.\I won't be able to go see your parents for a while.\Please explain the situation to them and apologize for me.\Then maybe I'll go back to my parents while you're in England.\It would be lonely staying here.\Yeah, why don't you do that?\So, what have you decided to do?\Will you raise the child at your parents' place? response:	No way! I want my own family.
context: I won't be able to go see your parents for a while.\Please explain the situation to them and apologize for me.\Then maybe I'll go back to my parents while you're in England.\It would be lonely staying here.\Yeah, why don't you do that?\So, what have you decided to do?\Will you raise the child at your parents' place?\No way! I want my own family. response:	I've decided that, no matter what happens,
context: Please explain the situation to them and apologize for me.\Then maybe I'll go back to my parents while you're in England.\It would be lonely staying here.\Yeah, why don't you do that?\So, what have you decided to do?\Will you raise the child at your parents' place?\No way! I want my own family.\I've decided that, no matter what happens, response:	you and I and the baby will live happily together.
context: Then maybe I'll go back to my parents while you're in England.\It would be lonely staying here.\Yeah, why don't you do that?\So, what have you decided to do?\Will you raise the child at your parents' place?\No way! I want my own family.\I've decided that, no matter what happens,\you and I and the baby will live happily together. response:	Just the three of us? We can have more.
context: It would be lonely staying here.\Yeah, why don't you do that?\So, what have you decided to do?\Will you raise the child at your parents' place?\No way! I want my own family.\I've decided that, no matter what happens,\you and I and the baby will live happily together.\Just the three of us? We can have more. response:	Come on. We don't need to have more for no reason.
context: Yeah, why don't you do that?\So, what have you decided to do?\Will you raise the child at your parents' place?\No way! I want my own family.\I've decided that, no matter what happens,\you and I and the baby will live happily together.\Just the three of us? We can have more.\Come on. We don't need to have more for no reason. response:	Just help me raise a good kid.
context: So, what have you decided to do?\Will you raise the child at your parents' place?\No way! I want my own family.\I've decided that, no matter what happens,\you and I and the baby will live happily together.\Just the three of us? We can have more.\Come on. We don't need to have more for no reason.\Just help me raise a good kid. response:	I got it.
context: Will you raise the child at your parents' place?\No way! I want my own family.\I've decided that, no matter what happens,\you and I and the baby will live happily together.\Just the three of us? We can have more.\Come on. We don't need to have more for no reason.\Just help me raise a good kid.\I got it. response:	I'll buy you a gift from England. Is there anything you want?
context: No way! I want my own family.\I've decided that, no matter what happens,\you and I and the baby will live happily together.\Just the three of us? We can have more.\Come on. We don't need to have more for no reason.\Just help me raise a good kid.\I got it.\I'll buy you a gift from England. Is there anything you want? response:	A diamond ring!
context: I've decided that, no matter what happens,\you and I and the baby will live happily together.\Just the three of us? We can have more.\Come on. We don't need to have more for no reason.\Just help me raise a good kid.\I got it.\I'll buy you a gift from England. Is there anything you want?\A diamond ring! response:	Right. Come to think of it, I didn't get you an engagement ring yet.
context: you and I and the baby will live happily together.\Just the three of us? We can have more.\Come on. We don't need to have more for no reason.\Just help me raise a good kid.\I got it.\I'll buy you a gift from England. Is there anything you want?\A diamond ring!\Right. Come to think of it, I didn't get you an engagement ring yet. response:	What size?
context: Just the three of us? We can have more.\Come on. We don't need to have more for no reason.\Just help me raise a good kid.\I got it.\I'll buy you a gift from England. Is there anything you want?\A diamond ring!\Right. Come to think of it, I didn't get you an engagement ring yet.\What size? response:	Seven.
context: Come on. We don't need to have more for no reason.\Just help me raise a good kid.\I got it.\I'll buy you a gift from England. Is there anything you want?\A diamond ring!\Right. Come to think of it, I didn't get you an engagement ring yet.\What size?\Seven. response:	Roger.
context: Just help me raise a good kid.\I got it.\I'll buy you a gift from England. Is there anything you want?\A diamond ring!\Right. Come to think of it, I didn't get you an engagement ring yet.\What size?\Seven.\Roger. response:	Jun-chan! He's getting me an engagement ring as a present!
context: I got it.\I'll buy you a gift from England. Is there anything you want?\A diamond ring!\Right. Come to think of it, I didn't get you an engagement ring yet.\What size?\Seven.\Roger.\Jun-chan! He's getting me an engagement ring as a present! response:	Congratulations.
context: I'll buy you a gift from England. Is there anything you want?\A diamond ring!\Right. Come to think of it, I didn't get you an engagement ring yet.\What size?\Seven.\Roger.\Jun-chan! He's getting me an engagement ring as a present!\Congratulations. response:	Our dreams are finally coming true.
context: A diamond ring!\Right. Come to think of it, I didn't get you an engagement ring yet.\What size?\Seven.\Roger.\Jun-chan! He's getting me an engagement ring as a present!\Congratulations.\Our dreams are finally coming true. response:	But the ideals we want and the reality that presses against us
context: Right. Come to think of it, I didn't get you an engagement ring yet.\What size?\Seven.\Roger.\Jun-chan! He's getting me an engagement ring as a present!\Congratulations.\Our dreams are finally coming true.\But the ideals we want and the reality that presses against us response:	always stand staring at each other and things don't quite work out.
context: What size?\Seven.\Roger.\Jun-chan! He's getting me an engagement ring as a present!\Congratulations.\Our dreams are finally coming true.\But the ideals we want and the reality that presses against us\always stand staring at each other and things don't quite work out. response:	Let's drink.
context: Seven.\Roger.\Jun-chan! He's getting me an engagement ring as a present!\Congratulations.\Our dreams are finally coming true.\But the ideals we want and the reality that presses against us\always stand staring at each other and things don't quite work out.\Let's drink. response:	Nana...
context: Roger.\Jun-chan! He's getting me an engagement ring as a present!\Congratulations.\Our dreams are finally coming true.\But the ideals we want and the reality that presses against us\always stand staring at each other and things don't quite work out.\Let's drink.\Nana... response:	You said something about Hachi on TV, didn't you?
context: Jun-chan! He's getting me an engagement ring as a present!\Congratulations.\Our dreams are finally coming true.\But the ideals we want and the reality that presses against us\always stand staring at each other and things don't quite work out.\Let's drink.\Nana...\You said something about Hachi on TV, didn't you? response:	I just sent her a secret message.
context: Congratulations.\Our dreams are finally coming true.\But the ideals we want and the reality that presses against us\always stand staring at each other and things don't quite work out.\Let's drink.\Nana...\You said something about Hachi on TV, didn't you?\I just sent her a secret message. response:	I'm getting all kinds of email
context: Our dreams are finally coming true.\But the ideals we want and the reality that presses against us\always stand staring at each other and things don't quite work out.\Let's drink.\Nana...\You said something about Hachi on TV, didn't you?\I just sent her a secret message.\I'm getting all kinds of email response:	from people wanting to know what Hachiko is.
