context: Operation: Ares response:	Did you call for me?
context: are capable of free thought.\Those of the soldier class do not possess wills of their own.\That's horrible...! Aren't they living beings?\What would you do when a machine breaks?\I'd fix it.\And if you couldn't?\I'd throw it away.\Exactly. response:	That is precisely how the Wulgaru view the soldier class.
context: Those of the soldier class do not possess wills of their own.\That's horrible...! Aren't they living beings?\What would you do when a machine breaks?\I'd fix it.\And if you couldn't?\I'd throw it away.\Exactly.\That is precisely how the Wulgaru view the soldier class. response:	Those who lack wills of their own are naught but robots.
context: That's horrible...! Aren't they living beings?\What would you do when a machine breaks?\I'd fix it.\And if you couldn't?\I'd throw it away.\Exactly.\That is precisely how the Wulgaru view the soldier class.\Those who lack wills of their own are naught but robots. response:	It would seem that this does not sit well with you.
context: What would you do when a machine breaks?\I'd fix it.\And if you couldn't?\I'd throw it away.\Exactly.\That is precisely how the Wulgaru view the soldier class.\Those who lack wills of their own are naught but robots.\It would seem that this does not sit well with you. response:	Right...
context: I'd fix it.\And if you couldn't?\I'd throw it away.\Exactly.\That is precisely how the Wulgaru view the soldier class.\Those who lack wills of their own are naught but robots.\It would seem that this does not sit well with you.\Right... response:	That is what Lady Teoria said as well when she defected.
context: And if you couldn't?\I'd throw it away.\Exactly.\That is precisely how the Wulgaru view the soldier class.\Those who lack wills of their own are naught but robots.\It would seem that this does not sit well with you.\Right...\That is what Lady Teoria said as well when she defected. response:	She said, Is a life not a life?
context: I'd throw it away.\Exactly.\That is precisely how the Wulgaru view the soldier class.\Those who lack wills of their own are naught but robots.\It would seem that this does not sit well with you.\Right...\That is what Lady Teoria said as well when she defected.\She said, Is a life not a life? response:	It would seem that the ship is deteriorating faster than anticipated.
context: Exactly.\That is precisely how the Wulgaru view the soldier class.\Those who lack wills of their own are naught but robots.\It would seem that this does not sit well with you.\Right...\That is what Lady Teoria said as well when she defected.\She said, Is a life not a life?\It would seem that the ship is deteriorating faster than anticipated. response:	Let us hurry.
context: That is precisely how the Wulgaru view the soldier class.\Those who lack wills of their own are naught but robots.\It would seem that this does not sit well with you.\Right...\That is what Lady Teoria said as well when she defected.\She said, Is a life not a life?\It would seem that the ship is deteriorating faster than anticipated.\Let us hurry. response:	Is this the bridge?
context: Those who lack wills of their own are naught but robots.\It would seem that this does not sit well with you.\Right...\That is what Lady Teoria said as well when she defected.\She said, Is a life not a life?\It would seem that the ship is deteriorating faster than anticipated.\Let us hurry.\Is this the bridge? response:	Correct.
context: It would seem that this does not sit well with you.\Right...\That is what Lady Teoria said as well when she defected.\She said, Is a life not a life?\It would seem that the ship is deteriorating faster than anticipated.\Let us hurry.\Is this the bridge?\Correct. response:	Daneel, will you be all right without a suit?
context: Right...\That is what Lady Teoria said as well when she defected.\She said, Is a life not a life?\It would seem that the ship is deteriorating faster than anticipated.\Let us hurry.\Is this the bridge?\Correct.\Daneel, will you be all right without a suit? response:	My body has been refortified.
context: That is what Lady Teoria said as well when she defected.\She said, Is a life not a life?\It would seem that the ship is deteriorating faster than anticipated.\Let us hurry.\Is this the bridge?\Correct.\Daneel, will you be all right without a suit?\My body has been refortified. response:	Wait!
context: She said, Is a life not a life?\It would seem that the ship is deteriorating faster than anticipated.\Let us hurry.\Is this the bridge?\Correct.\Daneel, will you be all right without a suit?\My body has been refortified.\Wait! response:	I'm going in first!
context: It would seem that the ship is deteriorating faster than anticipated.\Let us hurry.\Is this the bridge?\Correct.\Daneel, will you be all right without a suit?\My body has been refortified.\Wait!\I'm going in first! response:	What are you doing?
context: Let us hurry.\Is this the bridge?\Correct.\Daneel, will you be all right without a suit?\My body has been refortified.\Wait!\I'm going in first!\What are you doing? response:	Could you please keep your distance?
context: Is this the bridge?\Correct.\Daneel, will you be all right without a suit?\My body has been refortified.\Wait!\I'm going in first!\What are you doing?\Could you please keep your distance? response:	I am going to memorize this; you are distracting me.
context: Correct.\Daneel, will you be all right without a suit?\My body has been refortified.\Wait!\I'm going in first!\What are you doing?\Could you please keep your distance?\I am going to memorize this; you are distracting me. response:	You're memorizing it...?
context: Daneel, will you be all right without a suit?\My body has been refortified.\Wait!\I'm going in first!\What are you doing?\Could you please keep your distance?\I am going to memorize this; you are distracting me.\You're memorizing it...? response:	Yes. Sheer quantity will not prove to be problematic,
context: My body has been refortified.\Wait!\I'm going in first!\What are you doing?\Could you please keep your distance?\I am going to memorize this; you are distracting me.\You're memorizing it...?\Yes. Sheer quantity will not prove to be problematic, response:	although this may take some time.
context: Wait!\I'm going in first!\What are you doing?\Could you please keep your distance?\I am going to memorize this; you are distracting me.\You're memorizing it...?\Yes. Sheer quantity will not prove to be problematic,\although this may take some time. response:	Changes sighted in the target!
context: I'm going in first!\What are you doing?\Could you please keep your distance?\I am going to memorize this; you are distracting me.\You're memorizing it...?\Yes. Sheer quantity will not prove to be problematic,\although this may take some time.\Changes sighted in the target! response:	Zoom in!
context: What are you doing?\Could you please keep your distance?\I am going to memorize this; you are distracting me.\You're memorizing it...?\Yes. Sheer quantity will not prove to be problematic,\although this may take some time.\Changes sighted in the target!\Zoom in! response:	Its deterioration has begun to accelerate?
context: Could you please keep your distance?\I am going to memorize this; you are distracting me.\You're memorizing it...?\Yes. Sheer quantity will not prove to be problematic,\although this may take some time.\Changes sighted in the target!\Zoom in!\Its deterioration has begun to accelerate? response:	It is worse than we had anticipated.
context: I am going to memorize this; you are distracting me.\You're memorizing it...?\Yes. Sheer quantity will not prove to be problematic,\although this may take some time.\Changes sighted in the target!\Zoom in!\Its deterioration has begun to accelerate?\It is worse than we had anticipated. response:	This is bad. Tell them to hurry!
context: You're memorizing it...?\Yes. Sheer quantity will not prove to be problematic,\although this may take some time.\Changes sighted in the target!\Zoom in!\Its deterioration has begun to accelerate?\It is worse than we had anticipated.\This is bad. Tell them to hurry! response:	Roger.
context: Yes. Sheer quantity will not prove to be problematic,\although this may take some time.\Changes sighted in the target!\Zoom in!\Its deterioration has begun to accelerate?\It is worse than we had anticipated.\This is bad. Tell them to hurry!\Roger. response:	This is Guiliano.
context: although this may take some time.\Changes sighted in the target!\Zoom in!\Its deterioration has begun to accelerate?\It is worse than we had anticipated.\This is bad. Tell them to hurry!\Roger.\This is Guiliano. response:	Kitty, can you hear me? It's me, Guiliano.
context: Changes sighted in the target!\Zoom in!\Its deterioration has begun to accelerate?\It is worse than we had anticipated.\This is bad. Tell them to hurry!\Roger.\This is Guiliano.\Kitty, can you hear me? It's me, Guiliano. response:	Why don't you just say her name?
context: Zoom in!\Its deterioration has begun to accelerate?\It is worse than we had anticipated.\This is bad. Tell them to hurry!\Roger.\This is Guiliano.\Kitty, can you hear me? It's me, Guiliano.\Why don't you just say her name? response:	We received a report from the medical clinic that this is
context: Its deterioration has begun to accelerate?\It is worse than we had anticipated.\This is bad. Tell them to hurry!\Roger.\This is Guiliano.\Kitty, can you hear me? It's me, Guiliano.\Why don't you just say her name?\We received a report from the medical clinic that this is response:	better for that pilot's mental state of being.
context: It is worse than we had anticipated.\This is bad. Tell them to hurry!\Roger.\This is Guiliano.\Kitty, can you hear me? It's me, Guiliano.\Why don't you just say her name?\We received a report from the medical clinic that this is\better for that pilot's mental state of being. response:	Seriously?
context: This is bad. Tell them to hurry!\Roger.\This is Guiliano.\Kitty, can you hear me? It's me, Guiliano.\Why don't you just say her name?\We received a report from the medical clinic that this is\better for that pilot's mental state of being.\Seriously? response:	You're the only one we can count on, Kitty.
context: Roger.\This is Guiliano.\Kitty, can you hear me? It's me, Guiliano.\Why don't you just say her name?\We received a report from the medical clinic that this is\better for that pilot's mental state of being.\Seriously?\You're the only one we can count on, Kitty. response:	Could you relay that to the other team members on the surface?
context: This is Guiliano.\Kitty, can you hear me? It's me, Guiliano.\Why don't you just say her name?\We received a report from the medical clinic that this is\better for that pilot's mental state of being.\Seriously?\You're the only one we can count on, Kitty.\Could you relay that to the other team members on the surface? response:	Mew!
context: Kitty, can you hear me? It's me, Guiliano.\Why don't you just say her name?\We received a report from the medical clinic that this is\better for that pilot's mental state of being.\Seriously?\You're the only one we can count on, Kitty.\Could you relay that to the other team members on the surface?\Mew! response:	I'm counting on you.
context: Why don't you just say her name?\We received a report from the medical clinic that this is\better for that pilot's mental state of being.\Seriously?\You're the only one we can count on, Kitty.\Could you relay that to the other team members on the surface?\Mew!\I'm counting on you. response:	Rose 3's Harmonic Levels are increasing.
context: We received a report from the medical clinic that this is\better for that pilot's mental state of being.\Seriously?\You're the only one we can count on, Kitty.\Could you relay that to the other team members on the surface?\Mew!\I'm counting on you.\Rose 3's Harmonic Levels are increasing. response:	It's legit!
context: better for that pilot's mental state of being.\Seriously?\You're the only one we can count on, Kitty.\Could you relay that to the other team members on the surface?\Mew!\I'm counting on you.\Rose 3's Harmonic Levels are increasing.\It's legit! response:	I'm amazed she can move around like that in this environment.
context: Seriously?\You're the only one we can count on, Kitty.\Could you relay that to the other team members on the surface?\Mew!\I'm counting on you.\Rose 3's Harmonic Levels are increasing.\It's legit!\I'm amazed she can move around like that in this environment. response:	But her unit can't take much more of this!
context: You're the only one we can count on, Kitty.\Could you relay that to the other team members on the surface?\Mew!\I'm counting on you.\Rose 3's Harmonic Levels are increasing.\It's legit!\I'm amazed she can move around like that in this environment.\But her unit can't take much more of this! response:	Kei, do you copy?
context: Could you relay that to the other team members on the surface?\Mew!\I'm counting on you.\Rose 3's Harmonic Levels are increasing.\It's legit!\I'm amazed she can move around like that in this environment.\But her unit can't take much more of this!\Kei, do you copy? response:	Sure do. What is the situation?
context: Mew!\I'm counting on you.\Rose 3's Harmonic Levels are increasing.\It's legit!\I'm amazed she can move around like that in this environment.\But her unit can't take much more of this!\Kei, do you copy?\Sure do. What is the situation? response:	Master Daneel is in danger! We have to hurry and let him know!
context: I'm counting on you.\Rose 3's Harmonic Levels are increasing.\It's legit!\I'm amazed she can move around like that in this environment.\But her unit can't take much more of this!\Kei, do you copy?\Sure do. What is the situation?\Master Daneel is in danger! We have to hurry and let him know! response:	How about Izuru and Asagi?
context: Rose 3's Harmonic Levels are increasing.\It's legit!\I'm amazed she can move around like that in this environment.\But her unit can't take much more of this!\Kei, do you copy?\Sure do. What is the situation?\Master Daneel is in danger! We have to hurry and let him know!\How about Izuru and Asagi? response:	A transmission from the transponder?
context: It's legit!\I'm amazed she can move around like that in this environment.\But her unit can't take much more of this!\Kei, do you copy?\Sure do. What is the situation?\Master Daneel is in danger! We have to hurry and let him know!\How about Izuru and Asagi?\A transmission from the transponder? response:	What's she say?
context: I'm amazed she can move around like that in this environment.\But her unit can't take much more of this!\Kei, do you copy?\Sure do. What is the situation?\Master Daneel is in danger! We have to hurry and let him know!\How about Izuru and Asagi?\A transmission from the transponder?\What's she say? response:	The target's deterioration is accelerating.
context: But her unit can't take much more of this!\Kei, do you copy?\Sure do. What is the situation?\Master Daneel is in danger! We have to hurry and let him know!\How about Izuru and Asagi?\A transmission from the transponder?\What's she say?\The target's deterioration is accelerating. response:	Hurry and pull out!
context: Kei, do you copy?\Sure do. What is the situation?\Master Daneel is in danger! We have to hurry and let him know!\How about Izuru and Asagi?\A transmission from the transponder?\What's she say?\The target's deterioration is accelerating.\Hurry and pull out! response:	We can't move yet. Wait a bit!
context: Sure do. What is the situation?\Master Daneel is in danger! We have to hurry and let him know!\How about Izuru and Asagi?\A transmission from the transponder?\What's she say?\The target's deterioration is accelerating.\Hurry and pull out!\We can't move yet. Wait a bit! response:	Get out as soon as you can!
context: Master Daneel is in danger! We have to hurry and let him know!\How about Izuru and Asagi?\A transmission from the transponder?\What's she say?\The target's deterioration is accelerating.\Hurry and pull out!\We can't move yet. Wait a bit!\Get out as soon as you can! response:	Roger!
context: How about Izuru and Asagi?\A transmission from the transponder?\What's she say?\The target's deterioration is accelerating.\Hurry and pull out!\We can't move yet. Wait a bit!\Get out as soon as you can!\Roger! response:	I'll admit this doesn't look good.
context: A transmission from the transponder?\What's she say?\The target's deterioration is accelerating.\Hurry and pull out!\We can't move yet. Wait a bit!\Get out as soon as you can!\Roger!\I'll admit this doesn't look good. response:	Look out!
context: What's she say?\The target's deterioration is accelerating.\Hurry and pull out!\We can't move yet. Wait a bit!\Get out as soon as you can!\Roger!\I'll admit this doesn't look good.\Look out! response:	We'll have to protect him until he's done.
context: The target's deterioration is accelerating.\Hurry and pull out!\We can't move yet. Wait a bit!\Get out as soon as you can!\Roger!\I'll admit this doesn't look good.\Look out!\We'll have to protect him until he's done. response:	It could cause problems if we hit some of the stuff in here.
context: Hurry and pull out!\We can't move yet. Wait a bit!\Get out as soon as you can!\Roger!\I'll admit this doesn't look good.\Look out!\We'll have to protect him until he's done.\It could cause problems if we hit some of the stuff in here. response:	Only hit the debris that is falling down!
context: We can't move yet. Wait a bit!\Get out as soon as you can!\Roger!\I'll admit this doesn't look good.\Look out!\We'll have to protect him until he's done.\It could cause problems if we hit some of the stuff in here.\Only hit the debris that is falling down! response:	Talk about a pain...
context: Get out as soon as you can!\Roger!\I'll admit this doesn't look good.\Look out!\We'll have to protect him until he's done.\It could cause problems if we hit some of the stuff in here.\Only hit the debris that is falling down!\Talk about a pain... response:	What area caved in?!
context: Roger!\I'll admit this doesn't look good.\Look out!\We'll have to protect him until he's done.\It could cause problems if we hit some of the stuff in here.\Only hit the debris that is falling down!\Talk about a pain...\What area caved in?! response:	The passageway!
context: I'll admit this doesn't look good.\Look out!\We'll have to protect him until he's done.\It could cause problems if we hit some of the stuff in here.\Only hit the debris that is falling down!\Talk about a pain...\What area caved in?!\The passageway! response:	It's no use! This route has been completely buried!
context: Look out!\We'll have to protect him until he's done.\It could cause problems if we hit some of the stuff in here.\Only hit the debris that is falling down!\Talk about a pain...\What area caved in?!\The passageway!\It's no use! This route has been completely buried! response:	How about the other passageways?
context: We'll have to protect him until he's done.\It could cause problems if we hit some of the stuff in here.\Only hit the debris that is falling down!\Talk about a pain...\What area caved in?!\The passageway!\It's no use! This route has been completely buried!\How about the other passageways? response:	I can't say! Let's take a look!
context: It could cause problems if we hit some of the stuff in here.\Only hit the debris that is falling down!\Talk about a pain...\What area caved in?!\The passageway!\It's no use! This route has been completely buried!\How about the other passageways?\I can't say! Let's take a look! response:	The target...!
context: Only hit the debris that is falling down!\Talk about a pain...\What area caved in?!\The passageway!\It's no use! This route has been completely buried!\How about the other passageways?\I can't say! Let's take a look!\The target...! response:	It collapsed!
context: Talk about a pain...\What area caved in?!\The passageway!\It's no use! This route has been completely buried!\How about the other passageways?\I can't say! Let's take a look!\The target...!\It collapsed! response:	The target has reached dangerous levels.
context: What area caved in?!\The passageway!\It's no use! This route has been completely buried!\How about the other passageways?\I can't say! Let's take a look!\The target...!\It collapsed!\The target has reached dangerous levels. response:	Pull out immediately!
context: The passageway!\It's no use! This route has been completely buried!\How about the other passageways?\I can't say! Let's take a look!\The target...!\It collapsed!\The target has reached dangerous levels.\Pull out immediately! response:	Infiltration Team, pull out!
context: It's no use! This route has been completely buried!\How about the other passageways?\I can't say! Let's take a look!\The target...!\It collapsed!\The target has reached dangerous levels.\Pull out immediately!\Infiltration Team, pull out! response:	I repeat: Infiltration Team, pull out!
context: How about the other passageways?\I can't say! Let's take a look!\The target...!\It collapsed!\The target has reached dangerous levels.\Pull out immediately!\Infiltration Team, pull out!\I repeat: Infiltration Team, pull out! response:	The transponder is not receiving our transmissions!
context: I can't say! Let's take a look!\The target...!\It collapsed!\The target has reached dangerous levels.\Pull out immediately!\Infiltration Team, pull out!\I repeat: Infiltration Team, pull out!\The transponder is not receiving our transmissions! response:	What is the Infiltration Team's status?
context: The target...!\It collapsed!\The target has reached dangerous levels.\Pull out immediately!\Infiltration Team, pull out!\I repeat: Infiltration Team, pull out!\The transponder is not receiving our transmissions!\What is the Infiltration Team's status? response:	This is Tamaki! Please respond.
context: It collapsed!\The target has reached dangerous levels.\Pull out immediately!\Infiltration Team, pull out!\I repeat: Infiltration Team, pull out!\The transponder is not receiving our transmissions!\What is the Infiltration Team's status?\This is Tamaki! Please respond. response:	This is Godinion. Please update us on the situation.
context: The target has reached dangerous levels.\Pull out immediately!\Infiltration Team, pull out!\I repeat: Infiltration Team, pull out!\The transponder is not receiving our transmissions!\What is the Infiltration Team's status?\This is Tamaki! Please respond.\This is Godinion. Please update us on the situation. response:	The capital ship collapsed!
context: Pull out immediately!\Infiltration Team, pull out!\I repeat: Infiltration Team, pull out!\The transponder is not receiving our transmissions!\What is the Infiltration Team's status?\This is Tamaki! Please respond.\This is Godinion. Please update us on the situation.\The capital ship collapsed! response:	That's what I saw.
context: Infiltration Team, pull out!\I repeat: Infiltration Team, pull out!\The transponder is not receiving our transmissions!\What is the Infiltration Team's status?\This is Tamaki! Please respond.\This is Godinion. Please update us on the situation.\The capital ship collapsed!\That's what I saw. response:	Kitty, your unit is about to reach its limit.
context: I repeat: Infiltration Team, pull out!\The transponder is not receiving our transmissions!\What is the Infiltration Team's status?\This is Tamaki! Please respond.\This is Godinion. Please update us on the situation.\The capital ship collapsed!\That's what I saw.\Kitty, your unit is about to reach its limit. response:	Please pull back.
context: The transponder is not receiving our transmissions!\What is the Infiltration Team's status?\This is Tamaki! Please respond.\This is Godinion. Please update us on the situation.\The capital ship collapsed!\That's what I saw.\Kitty, your unit is about to reach its limit.\Please pull back. response:	But-!
context: What is the Infiltration Team's status?\This is Tamaki! Please respond.\This is Godinion. Please update us on the situation.\The capital ship collapsed!\That's what I saw.\Kitty, your unit is about to reach its limit.\Please pull back.\But-! response:	This is Izuru! This is Izuru!
context: This is Tamaki! Please respond.\This is Godinion. Please update us on the situation.\The capital ship collapsed!\That's what I saw.\Kitty, your unit is about to reach its limit.\Please pull back.\But-!\This is Izuru! This is Izuru! response:	Someone, anyone, please respond!
context: This is Godinion. Please update us on the situation.\The capital ship collapsed!\That's what I saw.\Kitty, your unit is about to reach its limit.\Please pull back.\But-!\This is Izuru! This is Izuru!\Someone, anyone, please respond! response:	Izuru!
context: The capital ship collapsed!\That's what I saw.\Kitty, your unit is about to reach its limit.\Please pull back.\But-!\This is Izuru! This is Izuru!\Someone, anyone, please respond!\Izuru! response:	Send this information to Suruga immediately.
context: That's what I saw.\Kitty, your unit is about to reach its limit.\Please pull back.\But-!\This is Izuru! This is Izuru!\Someone, anyone, please respond!\Izuru!\Send this information to Suruga immediately. response:	Please have him fire at the indicated coordinates!
context: Kitty, your unit is about to reach its limit.\Please pull back.\But-!\This is Izuru! This is Izuru!\Someone, anyone, please respond!\Izuru!\Send this information to Suruga immediately.\Please have him fire at the indicated coordinates! response:	Did you hear that, Kei?
context: Please pull back.\But-!\This is Izuru! This is Izuru!\Someone, anyone, please respond!\Izuru!\Send this information to Suruga immediately.\Please have him fire at the indicated coordinates!\Did you hear that, Kei? response:	Sure did! Send over the data.
context: But-!\This is Izuru! This is Izuru!\Someone, anyone, please respond!\Izuru!\Send this information to Suruga immediately.\Please have him fire at the indicated coordinates!\Did you hear that, Kei?\Sure did! Send over the data. response:	Confirming the coordinates.
context: This is Izuru! This is Izuru!\Someone, anyone, please respond!\Izuru!\Send this information to Suruga immediately.\Please have him fire at the indicated coordinates!\Did you hear that, Kei?\Sure did! Send over the data.\Confirming the coordinates. response:	Preparing to fire at full power!
context: Someone, anyone, please respond!\Izuru!\Send this information to Suruga immediately.\Please have him fire at the indicated coordinates!\Did you hear that, Kei?\Sure did! Send over the data.\Confirming the coordinates.\Preparing to fire at full power! response:	5, 4, 3, 2, 1, fire!
context: Izuru!\Send this information to Suruga immediately.\Please have him fire at the indicated coordinates!\Did you hear that, Kei?\Sure did! Send over the data.\Confirming the coordinates.\Preparing to fire at full power!\5, 4, 3, 2, 1, fire! response:	The beam didn't work!
context: Send this information to Suruga immediately.\Please have him fire at the indicated coordinates!\Did you hear that, Kei?\Sure did! Send over the data.\Confirming the coordinates.\Preparing to fire at full power!\5, 4, 3, 2, 1, fire!\The beam didn't work! response:	It's because of the ferric oxide storm.
context: Please have him fire at the indicated coordinates!\Did you hear that, Kei?\Sure did! Send over the data.\Confirming the coordinates.\Preparing to fire at full power!\5, 4, 3, 2, 1, fire!\The beam didn't work!\It's because of the ferric oxide storm. response:	We won't make it in time!
context: Did you hear that, Kei?\Sure did! Send over the data.\Confirming the coordinates.\Preparing to fire at full power!\5, 4, 3, 2, 1, fire!\The beam didn't work!\It's because of the ferric oxide storm.\We won't make it in time! response:	Just leave this to me!
context: Sure did! Send over the data.\Confirming the coordinates.\Preparing to fire at full power!\5, 4, 3, 2, 1, fire!\The beam didn't work!\It's because of the ferric oxide storm.\We won't make it in time!\Just leave this to me! response:	The storm is...
context: Confirming the coordinates.\Preparing to fire at full power!\5, 4, 3, 2, 1, fire!\The beam didn't work!\It's because of the ferric oxide storm.\We won't make it in time!\Just leave this to me!\The storm is... response:	It's going blinky blink!
context: Preparing to fire at full power!\5, 4, 3, 2, 1, fire!\The beam didn't work!\It's because of the ferric oxide storm.\We won't make it in time!\Just leave this to me!\The storm is...\It's going blinky blink! response:	What's that supposed to mean?
context: 5, 4, 3, 2, 1, fire!\The beam didn't work!\It's because of the ferric oxide storm.\We won't make it in time!\Just leave this to me!\The storm is...\It's going blinky blink!\What's that supposed to mean? response:	Can you hear me, Tamaki?
context: The beam didn't work!\It's because of the ferric oxide storm.\We won't make it in time!\Just leave this to me!\The storm is...\It's going blinky blink!\What's that supposed to mean?\Can you hear me, Tamaki? response:	Izuru and Asagi are about to come out, so please retrieve their units.
context: It's because of the ferric oxide storm.\We won't make it in time!\Just leave this to me!\The storm is...\It's going blinky blink!\What's that supposed to mean?\Can you hear me, Tamaki?\Izuru and Asagi are about to come out, so please retrieve their units. response:	You got it! Master Daneel is with them,
context: We won't make it in time!\Just leave this to me!\The storm is...\It's going blinky blink!\What's that supposed to mean?\Can you hear me, Tamaki?\Izuru and Asagi are about to come out, so please retrieve their units.\You got it! Master Daneel is with them, response:	so I've just gotta save them!
context: Just leave this to me!\The storm is...\It's going blinky blink!\What's that supposed to mean?\Can you hear me, Tamaki?\Izuru and Asagi are about to come out, so please retrieve their units.\You got it! Master Daneel is with them,\so I've just gotta save them! response:	I'm transferring the targets' coordinates.
context: The storm is...\It's going blinky blink!\What's that supposed to mean?\Can you hear me, Tamaki?\Izuru and Asagi are about to come out, so please retrieve their units.\You got it! Master Daneel is with them,\so I've just gotta save them!\I'm transferring the targets' coordinates. response:	They should emerge from the long hole.
context: It's going blinky blink!\What's that supposed to mean?\Can you hear me, Tamaki?\Izuru and Asagi are about to come out, so please retrieve their units.\You got it! Master Daneel is with them,\so I've just gotta save them!\I'm transferring the targets' coordinates.\They should emerge from the long hole. response:	'Kay!
context: What's that supposed to mean?\Can you hear me, Tamaki?\Izuru and Asagi are about to come out, so please retrieve their units.\You got it! Master Daneel is with them,\so I've just gotta save them!\I'm transferring the targets' coordinates.\They should emerge from the long hole.\'Kay! response:	They followed their orders until they died...
context: Can you hear me, Tamaki?\Izuru and Asagi are about to come out, so please retrieve their units.\You got it! Master Daneel is with them,\so I've just gotta save them!\I'm transferring the targets' coordinates.\They should emerge from the long hole.\'Kay!\They followed their orders until they died... response:	Sounds just like us.
context: Izuru and Asagi are about to come out, so please retrieve their units.\You got it! Master Daneel is with them,\so I've just gotta save them!\I'm transferring the targets' coordinates.\They should emerge from the long hole.\'Kay!\They followed their orders until they died...\Sounds just like us. response:	You're wrong.
context: You got it! Master Daneel is with them,\so I've just gotta save them!\I'm transferring the targets' coordinates.\They should emerge from the long hole.\'Kay!\They followed their orders until they died...\Sounds just like us.\You're wrong. response:	We're clones made to follow orders and fight, just like them.
context: so I've just gotta save them!\I'm transferring the targets' coordinates.\They should emerge from the long hole.\'Kay!\They followed their orders until they died...\Sounds just like us.\You're wrong.\We're clones made to follow orders and fight, just like them. response:	How are we any different from those soldiers?
context: I'm transferring the targets' coordinates.\They should emerge from the long hole.\'Kay!\They followed their orders until they died...\Sounds just like us.\You're wrong.\We're clones made to follow orders and fight, just like them.\How are we any different from those soldiers? response:	We aren't blindly obeying orders.
context: They should emerge from the long hole.\'Kay!\They followed their orders until they died...\Sounds just like us.\You're wrong.\We're clones made to follow orders and fight, just like them.\How are we any different from those soldiers?\We aren't blindly obeying orders. response:	Even if we were made to fight,
context: 'Kay!\They followed their orders until they died...\Sounds just like us.\You're wrong.\We're clones made to follow orders and fight, just like them.\How are we any different from those soldiers?\We aren't blindly obeying orders.\Even if we were made to fight, response:	we're currently fighting because we felt that it was necessary, right?
context: They followed their orders until they died...\Sounds just like us.\You're wrong.\We're clones made to follow orders and fight, just like them.\How are we any different from those soldiers?\We aren't blindly obeying orders.\Even if we were made to fight,\we're currently fighting because we felt that it was necessary, right? response:	What's going on?
context: Sounds just like us.\You're wrong.\We're clones made to follow orders and fight, just like them.\How are we any different from those soldiers?\We aren't blindly obeying orders.\Even if we were made to fight,\we're currently fighting because we felt that it was necessary, right?\What's going on? response:	Keep calm, Kitty. I'm on my way.
context: You're wrong.\We're clones made to follow orders and fight, just like them.\How are we any different from those soldiers?\We aren't blindly obeying orders.\Even if we were made to fight,\we're currently fighting because we felt that it was necessary, right?\What's going on?\Keep calm, Kitty. I'm on my way. response:	Maintain your current course, speed and angle of climb.
context: We're clones made to follow orders and fight, just like them.\How are we any different from those soldiers?\We aren't blindly obeying orders.\Even if we were made to fight,\we're currently fighting because we felt that it was necessary, right?\What's going on?\Keep calm, Kitty. I'm on my way.\Maintain your current course, speed and angle of climb. response:	Mew-kay!
context: How are we any different from those soldiers?\We aren't blindly obeying orders.\Even if we were made to fight,\we're currently fighting because we felt that it was necessary, right?\What's going on?\Keep calm, Kitty. I'm on my way.\Maintain your current course, speed and angle of climb.\Mew-kay! response:	We've collected all of the units.
context: We aren't blindly obeying orders.\Even if we were made to fight,\we're currently fighting because we felt that it was necessary, right?\What's going on?\Keep calm, Kitty. I'm on my way.\Maintain your current course, speed and angle of climb.\Mew-kay!\We've collected all of the units. response:	And the data?
context: Even if we were made to fight,\we're currently fighting because we felt that it was necessary, right?\What's going on?\Keep calm, Kitty. I'm on my way.\Maintain your current course, speed and angle of climb.\Mew-kay!\We've collected all of the units.\And the data? response:	I memorized everything.
context: we're currently fighting because we felt that it was necessary, right?\What's going on?\Keep calm, Kitty. I'm on my way.\Maintain your current course, speed and angle of climb.\Mew-kay!\We've collected all of the units.\And the data?\I memorized everything. response:	Thank goodness...
context: What's going on?\Keep calm, Kitty. I'm on my way.\Maintain your current course, speed and angle of climb.\Mew-kay!\We've collected all of the units.\And the data?\I memorized everything.\Thank goodness... response:	Not everything turned out great.
context: Keep calm, Kitty. I'm on my way.\Maintain your current course, speed and angle of climb.\Mew-kay!\We've collected all of the units.\And the data?\I memorized everything.\Thank goodness...\Not everything turned out great. response:	Huh?
context: Maintain your current course, speed and angle of climb.\Mew-kay!\We've collected all of the units.\And the data?\I memorized everything.\Thank goodness...\Not everything turned out great.\Huh? response:	What's the situation?!
context: Mew-kay!\We've collected all of the units.\And the data?\I memorized everything.\Thank goodness...\Not everything turned out great.\Huh?\What's the situation?! response:	The power reactor is melting down!
context: We've collected all of the units.\And the data?\I memorized everything.\Thank goodness...\Not everything turned out great.\Huh?\What's the situation?!\The power reactor is melting down! response:	It'll go critical in five minutes!
context: And the data?\I memorized everything.\Thank goodness...\Not everything turned out great.\Huh?\What's the situation?!\The power reactor is melting down!\It'll go critical in five minutes! response:	The cockpit hatch's release bolts have been rendered inoperable.
context: I memorized everything.\Thank goodness...\Not everything turned out great.\Huh?\What's the situation?!\The power reactor is melting down!\It'll go critical in five minutes!\The cockpit hatch's release bolts have been rendered inoperable. response:	The emergency hatch is broken!
context: Thank goodness...\Not everything turned out great.\Huh?\What's the situation?!\The power reactor is melting down!\It'll go critical in five minutes!\The cockpit hatch's release bolts have been rendered inoperable.\The emergency hatch is broken! response:	Damn it! We're in Condition: Triple Red!
