context: Long ago, there was a warrior. response:	In order to protect his friend, the warrior took his friend's life.
context: Who are you?\That is the prince's sword!\What?\So, you're Kraehe.\Do not address me so familiarly, you filth!\Are you a manifestation of the raven?!\Who am I?\The shard! response:	It's no use.
context: That is the prince's sword!\What?\So, you're Kraehe.\Do not address me so familiarly, you filth!\Are you a manifestation of the raven?!\Who am I?\The shard!\It's no use. response:	Princess Tutu.
context: What?\So, you're Kraehe.\Do not address me so familiarly, you filth!\Are you a manifestation of the raven?!\Who am I?\The shard!\It's no use.\Princess Tutu. response:	Who...
context: So, you're Kraehe.\Do not address me so familiarly, you filth!\Are you a manifestation of the raven?!\Who am I?\The shard!\It's no use.\Princess Tutu.\Who... response:	Fakir!
context: Do not address me so familiarly, you filth!\Are you a manifestation of the raven?!\Who am I?\The shard!\It's no use.\Princess Tutu.\Who...\Fakir! response:	I'm sorry you had to wait so long, Mytho.
context: Are you a manifestation of the raven?!\Who am I?\The shard!\It's no use.\Princess Tutu.\Who...\Fakir!\I'm sorry you had to wait so long, Mytho. response:	It'll be all right now. You won't have to suffer.
context: Who am I?\The shard!\It's no use.\Princess Tutu.\Who...\Fakir!\I'm sorry you had to wait so long, Mytho.\It'll be all right now. You won't have to suffer. response:	What are you going to do?
context: The shard!\It's no use.\Princess Tutu.\Who...\Fakir!\I'm sorry you had to wait so long, Mytho.\It'll be all right now. You won't have to suffer.\What are you going to do? response:	Sit down.
context: It's no use.\Princess Tutu.\Who...\Fakir!\I'm sorry you had to wait so long, Mytho.\It'll be all right now. You won't have to suffer.\What are you going to do?\Sit down. response:	I'll shatter your heart for you once again.
context: Princess Tutu.\Who...\Fakir!\I'm sorry you had to wait so long, Mytho.\It'll be all right now. You won't have to suffer.\What are you going to do?\Sit down.\I'll shatter your heart for you once again. response:	What?!
context: Who...\Fakir!\I'm sorry you had to wait so long, Mytho.\It'll be all right now. You won't have to suffer.\What are you going to do?\Sit down.\I'll shatter your heart for you once again.\What?! response:	It's no use now, Princess Tutu!
context: Fakir!\I'm sorry you had to wait so long, Mytho.\It'll be all right now. You won't have to suffer.\What are you going to do?\Sit down.\I'll shatter your heart for you once again.\What?!\It's no use now, Princess Tutu! response:	Mytho!
context: I'm sorry you had to wait so long, Mytho.\It'll be all right now. You won't have to suffer.\What are you going to do?\Sit down.\I'll shatter your heart for you once again.\What?!\It's no use now, Princess Tutu!\Mytho! response:	YOU shattered Mytho's heart?
context: It'll be all right now. You won't have to suffer.\What are you going to do?\Sit down.\I'll shatter your heart for you once again.\What?!\It's no use now, Princess Tutu!\Mytho!\YOU shattered Mytho's heart? response:	Why did you do such a terrible thing?
context: What are you going to do?\Sit down.\I'll shatter your heart for you once again.\What?!\It's no use now, Princess Tutu!\Mytho!\YOU shattered Mytho's heart?\Why did you do such a terrible thing? response:	This would never have happened if you hadn't shown up.
context: Sit down.\I'll shatter your heart for you once again.\What?!\It's no use now, Princess Tutu!\Mytho!\YOU shattered Mytho's heart?\Why did you do such a terrible thing?\This would never have happened if you hadn't shown up. response:	Tutu...
context: I'll shatter your heart for you once again.\What?!\It's no use now, Princess Tutu!\Mytho!\YOU shattered Mytho's heart?\Why did you do such a terrible thing?\This would never have happened if you hadn't shown up.\Tutu... response:	Stop it, Fakir!
context: What?!\It's no use now, Princess Tutu!\Mytho!\YOU shattered Mytho's heart?\Why did you do such a terrible thing?\This would never have happened if you hadn't shown up.\Tutu...\Stop it, Fakir! response:	Prince!
context: It's no use now, Princess Tutu!\Mytho!\YOU shattered Mytho's heart?\Why did you do such a terrible thing?\This would never have happened if you hadn't shown up.\Tutu...\Stop it, Fakir!\Prince! response:	Is it my fault?
context: Mytho!\YOU shattered Mytho's heart?\Why did you do such a terrible thing?\This would never have happened if you hadn't shown up.\Tutu...\Stop it, Fakir!\Prince!\Is it my fault? response:	If I pierce my heart with this sword, will that satisfy you, Fakir?
context: YOU shattered Mytho's heart?\Why did you do such a terrible thing?\This would never have happened if you hadn't shown up.\Tutu...\Stop it, Fakir!\Prince!\Is it my fault?\If I pierce my heart with this sword, will that satisfy you, Fakir? response:	That's right. Then, you'll return to your old self.
context: Why did you do such a terrible thing?\This would never have happened if you hadn't shown up.\Tutu...\Stop it, Fakir!\Prince!\Is it my fault?\If I pierce my heart with this sword, will that satisfy you, Fakir?\That's right. Then, you'll return to your old self. response:	All right.
context: This would never have happened if you hadn't shown up.\Tutu...\Stop it, Fakir!\Prince!\Is it my fault?\If I pierce my heart with this sword, will that satisfy you, Fakir?\That's right. Then, you'll return to your old self.\All right. response:	What?
context: Tutu...\Stop it, Fakir!\Prince!\Is it my fault?\If I pierce my heart with this sword, will that satisfy you, Fakir?\That's right. Then, you'll return to your old self.\All right.\What? response:	No!
context: Stop it, Fakir!\Prince!\Is it my fault?\If I pierce my heart with this sword, will that satisfy you, Fakir?\That's right. Then, you'll return to your old self.\All right.\What?\No! response:	Don't do it!
context: Prince!\Is it my fault?\If I pierce my heart with this sword, will that satisfy you, Fakir?\That's right. Then, you'll return to your old self.\All right.\What?\No!\Don't do it! response:	Mytho!
context: Is it my fault?\If I pierce my heart with this sword, will that satisfy you, Fakir?\That's right. Then, you'll return to your old self.\All right.\What?\No!\Don't do it!\Mytho! response:	You'd rather be without a heart?!
context: If I pierce my heart with this sword, will that satisfy you, Fakir?\That's right. Then, you'll return to your old self.\All right.\What?\No!\Don't do it!\Mytho!\You'd rather be without a heart?! response:	Don't listen to her! Quickly, just pierce your heart!
context: That's right. Then, you'll return to your old self.\All right.\What?\No!\Don't do it!\Mytho!\You'd rather be without a heart?!\Don't listen to her! Quickly, just pierce your heart! response:	Mytho, please!
context: All right.\What?\No!\Don't do it!\Mytho!\You'd rather be without a heart?!\Don't listen to her! Quickly, just pierce your heart!\Mytho, please! response:	Now, do it!
context: What?\No!\Don't do it!\Mytho!\You'd rather be without a heart?!\Don't listen to her! Quickly, just pierce your heart!\Mytho, please!\Now, do it! response:	No!
context: No!\Don't do it!\Mytho!\You'd rather be without a heart?!\Don't listen to her! Quickly, just pierce your heart!\Mytho, please!\Now, do it!\No! response:	Do it!
context: Don't do it!\Mytho!\You'd rather be without a heart?!\Don't listen to her! Quickly, just pierce your heart!\Mytho, please!\Now, do it!\No!\Do it! response:	No!
context: Mytho!\You'd rather be without a heart?!\Don't listen to her! Quickly, just pierce your heart!\Mytho, please!\Now, do it!\No!\Do it!\No! response:	The other day, you smiled just a little, remember?
context: You'd rather be without a heart?!\Don't listen to her! Quickly, just pierce your heart!\Mytho, please!\Now, do it!\No!\Do it!\No!\The other day, you smiled just a little, remember? response:	That time, I thought that must be the real you.
context: Don't listen to her! Quickly, just pierce your heart!\Mytho, please!\Now, do it!\No!\Do it!\No!\The other day, you smiled just a little, remember?\That time, I thought that must be the real you. response:	I think if your heart is full, you'll show even more of yourself!
context: Mytho, please!\Now, do it!\No!\Do it!\No!\The other day, you smiled just a little, remember?\That time, I thought that must be the real you.\I think if your heart is full, you'll show even more of yourself! response:	Because that's the real you!
context: Now, do it!\No!\Do it!\No!\The other day, you smiled just a little, remember?\That time, I thought that must be the real you.\I think if your heart is full, you'll show even more of yourself!\Because that's the real you! response:	I'm sorry.
context: No!\Do it!\No!\The other day, you smiled just a little, remember?\That time, I thought that must be the real you.\I think if your heart is full, you'll show even more of yourself!\Because that's the real you!\I'm sorry. response:	I can't save you from the suffering, because all I can do is restore your heart to you.
context: Do it!\No!\The other day, you smiled just a little, remember?\That time, I thought that must be the real you.\I think if your heart is full, you'll show even more of yourself!\Because that's the real you!\I'm sorry.\I can't save you from the suffering, because all I can do is restore your heart to you. response:	Mytho...
context: No!\The other day, you smiled just a little, remember?\That time, I thought that must be the real you.\I think if your heart is full, you'll show even more of yourself!\Because that's the real you!\I'm sorry.\I can't save you from the suffering, because all I can do is restore your heart to you.\Mytho... response:	I see. So that is the answer you've chosen.
context: The other day, you smiled just a little, remember?\That time, I thought that must be the real you.\I think if your heart is full, you'll show even more of yourself!\Because that's the real you!\I'm sorry.\I can't save you from the suffering, because all I can do is restore your heart to you.\Mytho...\I see. So that is the answer you've chosen. response:	Tutu, restore my heart shard.
context: That time, I thought that must be the real you.\I think if your heart is full, you'll show even more of yourself!\Because that's the real you!\I'm sorry.\I can't save you from the suffering, because all I can do is restore your heart to you.\Mytho...\I see. So that is the answer you've chosen.\Tutu, restore my heart shard. response:	Princess Tutu.
context: I think if your heart is full, you'll show even more of yourself!\Because that's the real you!\I'm sorry.\I can't save you from the suffering, because all I can do is restore your heart to you.\Mytho...\I see. So that is the answer you've chosen.\Tutu, restore my heart shard.\Princess Tutu. response:	I want to know.
context: Because that's the real you!\I'm sorry.\I can't save you from the suffering, because all I can do is restore your heart to you.\Mytho...\I see. So that is the answer you've chosen.\Tutu, restore my heart shard.\Princess Tutu.\I want to know. response:	What?
context: I'm sorry.\I can't save you from the suffering, because all I can do is restore your heart to you.\Mytho...\I see. So that is the answer you've chosen.\Tutu, restore my heart shard.\Princess Tutu.\I want to know.\What? response:	I want to know what you think of me.
context: I can't save you from the suffering, because all I can do is restore your heart to you.\Mytho...\I see. So that is the answer you've chosen.\Tutu, restore my heart shard.\Princess Tutu.\I want to know.\What?\I want to know what you think of me. response:	Wait.
context: Mytho...\I see. So that is the answer you've chosen.\Tutu, restore my heart shard.\Princess Tutu.\I want to know.\What?\I want to know what you think of me.\Wait. response:	Tutu...
context: I see. So that is the answer you've chosen.\Tutu, restore my heart shard.\Princess Tutu.\I want to know.\What?\I want to know what you think of me.\Wait.\Tutu... response:	Why, Tutu?
context: Tutu, restore my heart shard.\Princess Tutu.\I want to know.\What?\I want to know what you think of me.\Wait.\Tutu...\Why, Tutu? response:	I'm a duck.
context: Princess Tutu.\I want to know.\What?\I want to know what you think of me.\Wait.\Tutu...\Why, Tutu?\I'm a duck. response:	I'm really only a bird.
context: I want to know.\What?\I want to know what you think of me.\Wait.\Tutu...\Why, Tutu?\I'm a duck.\I'm really only a bird. response:	But what the prince sees is Princess Tutu in her beautiful dress.
context: What?\I want to know what you think of me.\Wait.\Tutu...\Why, Tutu?\I'm a duck.\I'm really only a bird.\But what the prince sees is Princess Tutu in her beautiful dress. response:	It's not me.
context: I want to know what you think of me.\Wait.\Tutu...\Why, Tutu?\I'm a duck.\I'm really only a bird.\But what the prince sees is Princess Tutu in her beautiful dress.\It's not me. response:	Was what the sword pierced the prince's heart?
context: Wait.\Tutu...\Why, Tutu?\I'm a duck.\I'm really only a bird.\But what the prince sees is Princess Tutu in her beautiful dress.\It's not me.\Was what the sword pierced the prince's heart? response:	Or someone's feelings?
context: Tutu...\Why, Tutu?\I'm a duck.\I'm really only a bird.\But what the prince sees is Princess Tutu in her beautiful dress.\It's not me.\Was what the sword pierced the prince's heart?\Or someone's feelings? response:	I am Rue.
context: Why, Tutu?\I'm a duck.\I'm really only a bird.\But what the prince sees is Princess Tutu in her beautiful dress.\It's not me.\Was what the sword pierced the prince's heart?\Or someone's feelings?\I am Rue. response:	I am not anyone else.
context: I'm a duck.\I'm really only a bird.\But what the prince sees is Princess Tutu in her beautiful dress.\It's not me.\Was what the sword pierced the prince's heart?\Or someone's feelings?\I am Rue.\I am not anyone else. response:	That's who I've always been.
context: I'm really only a bird.\But what the prince sees is Princess Tutu in her beautiful dress.\It's not me.\Was what the sword pierced the prince's heart?\Or someone's feelings?\I am Rue.\I am not anyone else.\That's who I've always been. response:	Rue, maybe I'm actually...
context: But what the prince sees is Princess Tutu in her beautiful dress.\It's not me.\Was what the sword pierced the prince's heart?\Or someone's feelings?\I am Rue.\I am not anyone else.\That's who I've always been.\Rue, maybe I'm actually... response:	Once again, Princess Tutu will change Mytho.
context: It's not me.\Was what the sword pierced the prince's heart?\Or someone's feelings?\I am Rue.\I am not anyone else.\That's who I've always been.\Rue, maybe I'm actually...\Once again, Princess Tutu will change Mytho. response:	Kraehe, why are you in such pain?
context: Was what the sword pierced the prince's heart?\Or someone's feelings?\I am Rue.\I am not anyone else.\That's who I've always been.\Rue, maybe I'm actually...\Once again, Princess Tutu will change Mytho.\Kraehe, why are you in such pain? response:	Be gone, you ugly crow!
context: Or someone's feelings?\I am Rue.\I am not anyone else.\That's who I've always been.\Rue, maybe I'm actually...\Once again, Princess Tutu will change Mytho.\Kraehe, why are you in such pain?\Be gone, you ugly crow! response:	That's right, I am a crow.
context: I am Rue.\I am not anyone else.\That's who I've always been.\Rue, maybe I'm actually...\Once again, Princess Tutu will change Mytho.\Kraehe, why are you in such pain?\Be gone, you ugly crow!\That's right, I am a crow. response:	And I am the TRUE prima donna, Princess Kraehe.
context: I am not anyone else.\That's who I've always been.\Rue, maybe I'm actually...\Once again, Princess Tutu will change Mytho.\Kraehe, why are you in such pain?\Be gone, you ugly crow!\That's right, I am a crow.\And I am the TRUE prima donna, Princess Kraehe. response:	All you children who love stories, come gather around.
context: That's who I've always been.\Rue, maybe I'm actually...\Once again, Princess Tutu will change Mytho.\Kraehe, why are you in such pain?\Be gone, you ugly crow!\That's right, I am a crow.\And I am the TRUE prima donna, Princess Kraehe.\All you children who love stories, come gather around. response:	The Black Shoes
context: Rue, maybe I'm actually...\Once again, Princess Tutu will change Mytho.\Kraehe, why are you in such pain?\Be gone, you ugly crow!\That's right, I am a crow.\And I am the TRUE prima donna, Princess Kraehe.\All you children who love stories, come gather around.\The Black Shoes response:	The voice calling, come now, wake up
context: Once again, Princess Tutu will change Mytho.\Kraehe, why are you in such pain?\Be gone, you ugly crow!\That's right, I am a crow.\And I am the TRUE prima donna, Princess Kraehe.\All you children who love stories, come gather around.\The Black Shoes\The voice calling, come now, wake up response:	Wiping a tearstained face
context: Kraehe, why are you in such pain?\Be gone, you ugly crow!\That's right, I am a crow.\And I am the TRUE prima donna, Princess Kraehe.\All you children who love stories, come gather around.\The Black Shoes\The voice calling, come now, wake up\Wiping a tearstained face response:	The brilliant light and the dew on trees are born
context: Be gone, you ugly crow!\That's right, I am a crow.\And I am the TRUE prima donna, Princess Kraehe.\All you children who love stories, come gather around.\The Black Shoes\The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born response:	By the secret water's edge that no one knows of
context: That's right, I am a crow.\And I am the TRUE prima donna, Princess Kraehe.\All you children who love stories, come gather around.\The Black Shoes\The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of response:	Dance the pas de deux of life
context: And I am the TRUE prima donna, Princess Kraehe.\All you children who love stories, come gather around.\The Black Shoes\The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life response:	Dreaming again today
context: All you children who love stories, come gather around.\The Black Shoes\The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today response:	It is a gentle, yet fierce current
context: The Black Shoes\The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current response:	How far does the labyrinth stretch?
context: The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch? response:	I shall go
context: Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go response:	The dream I hold tight
context: The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go\The dream I hold tight response:	I loved like I was dreaming
context: By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go\The dream I hold tight\I loved like I was dreaming response:	It swells... My heart swells
context: Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go\The dream I hold tight\I loved like I was dreaming\It swells... My heart swells response:	I thought how wonderful it was to be alive
context: Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go\The dream I hold tight\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive response:	I can't wait for tomorrow
context: It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go\The dream I hold tight\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow response:	I want to be there for you
context: How far does the labyrinth stretch?\I shall go\The dream I hold tight\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you response:	At all times
context: I shall go\The dream I hold tight\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you\At all times response:	Wait, it won't wait
context: The dream I hold tight\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you\At all times\Wait, it won't wait response:	Running, running along
context: I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you\At all times\Wait, it won't wait\Running, running along response:	Passing by even the wind and the rain clouds
context: It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you\At all times\Wait, it won't wait\Running, running along\Passing by even the wind and the rain clouds response:	Just beating my own wings
