context: All of the various economic response:	powers are hastily preparing to launch their forces.
context: What's the matter?\Anna has gone missing!\She's gone missing?\We can't bring her with us on this upcoming operation.\And since all civilians have been ordered to evacuate Star Rose,\we tried to send her down to Earth.\After she threw a tantrum saying she wouldn't go,\she ran off somewhere. response:	Anna!
context: Anna has gone missing!\She's gone missing?\We can't bring her with us on this upcoming operation.\And since all civilians have been ordered to evacuate Star Rose,\we tried to send her down to Earth.\After she threw a tantrum saying she wouldn't go,\she ran off somewhere.\Anna! response:	Anna dear!
context: She's gone missing?\We can't bring her with us on this upcoming operation.\And since all civilians have been ordered to evacuate Star Rose,\we tried to send her down to Earth.\After she threw a tantrum saying she wouldn't go,\she ran off somewhere.\Anna!\Anna dear! response:	Anna!
context: We can't bring her with us on this upcoming operation.\And since all civilians have been ordered to evacuate Star Rose,\we tried to send her down to Earth.\After she threw a tantrum saying she wouldn't go,\she ran off somewhere.\Anna!\Anna dear!\Anna! response:	Anna!
context: And since all civilians have been ordered to evacuate Star Rose,\we tried to send her down to Earth.\After she threw a tantrum saying she wouldn't go,\she ran off somewhere.\Anna!\Anna dear!\Anna!\Anna! response:	The Shopping Arcade that Floats in Space: Star Rose Galaxy
context: we tried to send her down to Earth.\After she threw a tantrum saying she wouldn't go,\she ran off somewhere.\Anna!\Anna dear!\Anna!\Anna!\The Shopping Arcade that Floats in Space: Star Rose Galaxy response:	She isn't here, is she?
context: After she threw a tantrum saying she wouldn't go,\she ran off somewhere.\Anna!\Anna dear!\Anna!\Anna!\The Shopping Arcade that Floats in Space: Star Rose Galaxy\She isn't here, is she? response:	This place is a total ghost town, huh?
context: she ran off somewhere.\Anna!\Anna dear!\Anna!\Anna!\The Shopping Arcade that Floats in Space: Star Rose Galaxy\She isn't here, is she?\This place is a total ghost town, huh? response:	It seems rather forlorn, doesn't it?
context: Anna!\Anna dear!\Anna!\Anna!\The Shopping Arcade that Floats in Space: Star Rose Galaxy\She isn't here, is she?\This place is a total ghost town, huh?\It seems rather forlorn, doesn't it? response:	We can't find her after all of this.
context: Anna dear!\Anna!\Anna!\The Shopping Arcade that Floats in Space: Star Rose Galaxy\She isn't here, is she?\This place is a total ghost town, huh?\It seems rather forlorn, doesn't it?\We can't find her after all of this. response:	I bet she must have taken the last pod down.
context: Anna!\Anna!\The Shopping Arcade that Floats in Space: Star Rose Galaxy\She isn't here, is she?\This place is a total ghost town, huh?\It seems rather forlorn, doesn't it?\We can't find her after all of this.\I bet she must have taken the last pod down. response:	I'll check the list of passengers, so please make your way to the Godinion!
context: Anna!\The Shopping Arcade that Floats in Space: Star Rose Galaxy\She isn't here, is she?\This place is a total ghost town, huh?\It seems rather forlorn, doesn't it?\We can't find her after all of this.\I bet she must have taken the last pod down.\I'll check the list of passengers, so please make your way to the Godinion! response:	Asagi, do you have any idea where she might have gone?
context: The Shopping Arcade that Floats in Space: Star Rose Galaxy\She isn't here, is she?\This place is a total ghost town, huh?\It seems rather forlorn, doesn't it?\We can't find her after all of this.\I bet she must have taken the last pod down.\I'll check the list of passengers, so please make your way to the Godinion!\Asagi, do you have any idea where she might have gone? response:	Star Rose Galaxy Rest Area
context: She isn't here, is she?\This place is a total ghost town, huh?\It seems rather forlorn, doesn't it?\We can't find her after all of this.\I bet she must have taken the last pod down.\I'll check the list of passengers, so please make your way to the Godinion!\Asagi, do you have any idea where she might have gone?\Star Rose Galaxy Rest Area response:	Hey!
context: This place is a total ghost town, huh?\It seems rather forlorn, doesn't it?\We can't find her after all of this.\I bet she must have taken the last pod down.\I'll check the list of passengers, so please make your way to the Godinion!\Asagi, do you have any idea where she might have gone?\Star Rose Galaxy Rest Area\Hey! response:	What do you think you're doing?
context: It seems rather forlorn, doesn't it?\We can't find her after all of this.\I bet she must have taken the last pod down.\I'll check the list of passengers, so please make your way to the Godinion!\Asagi, do you have any idea where she might have gone?\Star Rose Galaxy Rest Area\Hey!\What do you think you're doing? response:	I wanted one last ice cream cone.
context: We can't find her after all of this.\I bet she must have taken the last pod down.\I'll check the list of passengers, so please make your way to the Godinion!\Asagi, do you have any idea where she might have gone?\Star Rose Galaxy Rest Area\Hey!\What do you think you're doing?\I wanted one last ice cream cone. response:	Come on. We're going.
context: I bet she must have taken the last pod down.\I'll check the list of passengers, so please make your way to the Godinion!\Asagi, do you have any idea where she might have gone?\Star Rose Galaxy Rest Area\Hey!\What do you think you're doing?\I wanted one last ice cream cone.\Come on. We're going. response:	No!
context: I'll check the list of passengers, so please make your way to the Godinion!\Asagi, do you have any idea where she might have gone?\Star Rose Galaxy Rest Area\Hey!\What do you think you're doing?\I wanted one last ice cream cone.\Come on. We're going.\No! response:	Anna!
context: Asagi, do you have any idea where she might have gone?\Star Rose Galaxy Rest Area\Hey!\What do you think you're doing?\I wanted one last ice cream cone.\Come on. We're going.\No!\Anna! response:	I wanna stay with Papa and Grandpa!
context: Star Rose Galaxy Rest Area\Hey!\What do you think you're doing?\I wanted one last ice cream cone.\Come on. We're going.\No!\Anna!\I wanna stay with Papa and Grandpa! response:	Even if I went down to Earth, I'd be all alone.
context: Hey!\What do you think you're doing?\I wanted one last ice cream cone.\Come on. We're going.\No!\Anna!\I wanna stay with Papa and Grandpa!\Even if I went down to Earth, I'd be all alone. response:	You still can't come.
context: What do you think you're doing?\I wanted one last ice cream cone.\Come on. We're going.\No!\Anna!\I wanna stay with Papa and Grandpa!\Even if I went down to Earth, I'd be all alone.\You still can't come. response:	We can't take you with us.
context: I wanted one last ice cream cone.\Come on. We're going.\No!\Anna!\I wanna stay with Papa and Grandpa!\Even if I went down to Earth, I'd be all alone.\You still can't come.\We can't take you with us. response:	Your dad and grandpa don't want to put you in harm's way.
context: Come on. We're going.\No!\Anna!\I wanna stay with Papa and Grandpa!\Even if I went down to Earth, I'd be all alone.\You still can't come.\We can't take you with us.\Your dad and grandpa don't want to put you in harm's way. response:	I know how they feel.
context: No!\Anna!\I wanna stay with Papa and Grandpa!\Even if I went down to Earth, I'd be all alone.\You still can't come.\We can't take you with us.\Your dad and grandpa don't want to put you in harm's way.\I know how they feel. response:	This is what it means to be family.
context: Anna!\I wanna stay with Papa and Grandpa!\Even if I went down to Earth, I'd be all alone.\You still can't come.\We can't take you with us.\Your dad and grandpa don't want to put you in harm's way.\I know how they feel.\This is what it means to be family. response:	I don't want to see him get hurt, either.
context: I wanna stay with Papa and Grandpa!\Even if I went down to Earth, I'd be all alone.\You still can't come.\We can't take you with us.\Your dad and grandpa don't want to put you in harm's way.\I know how they feel.\This is what it means to be family.\I don't want to see him get hurt, either. response:	My family, I mean.
context: Even if I went down to Earth, I'd be all alone.\You still can't come.\We can't take you with us.\Your dad and grandpa don't want to put you in harm's way.\I know how they feel.\This is what it means to be family.\I don't want to see him get hurt, either.\My family, I mean. response:	I wonder why...
context: You still can't come.\We can't take you with us.\Your dad and grandpa don't want to put you in harm's way.\I know how they feel.\This is what it means to be family.\I don't want to see him get hurt, either.\My family, I mean.\I wonder why... response:	It's so strange!
context: We can't take you with us.\Your dad and grandpa don't want to put you in harm's way.\I know how they feel.\This is what it means to be family.\I don't want to see him get hurt, either.\My family, I mean.\I wonder why...\It's so strange! response:	We merely share the same DNA, so why do I feel this way...?
context: Your dad and grandpa don't want to put you in harm's way.\I know how they feel.\This is what it means to be family.\I don't want to see him get hurt, either.\My family, I mean.\I wonder why...\It's so strange!\We merely share the same DNA, so why do I feel this way...? response:	Asagi, you have a family of your own?
context: I know how they feel.\This is what it means to be family.\I don't want to see him get hurt, either.\My family, I mean.\I wonder why...\It's so strange!\We merely share the same DNA, so why do I feel this way...?\Asagi, you have a family of your own? response:	Yeah, I do.
context: This is what it means to be family.\I don't want to see him get hurt, either.\My family, I mean.\I wonder why...\It's so strange!\We merely share the same DNA, so why do I feel this way...?\Asagi, you have a family of your own?\Yeah, I do. response:	When I heard that he wouldn't be participating in operation,
context: I don't want to see him get hurt, either.\My family, I mean.\I wonder why...\It's so strange!\We merely share the same DNA, so why do I feel this way...?\Asagi, you have a family of your own?\Yeah, I do.\When I heard that he wouldn't be participating in operation, response:	I felt relieved... big time.
context: My family, I mean.\I wonder why...\It's so strange!\We merely share the same DNA, so why do I feel this way...?\Asagi, you have a family of your own?\Yeah, I do.\When I heard that he wouldn't be participating in operation,\I felt relieved... big time. response:	So let's go.
context: I wonder why...\It's so strange!\We merely share the same DNA, so why do I feel this way...?\Asagi, you have a family of your own?\Yeah, I do.\When I heard that he wouldn't be participating in operation,\I felt relieved... big time.\So let's go. response:	Uh-huh.
context: It's so strange!\We merely share the same DNA, so why do I feel this way...?\Asagi, you have a family of your own?\Yeah, I do.\When I heard that he wouldn't be participating in operation,\I felt relieved... big time.\So let's go.\Uh-huh. response:	Big Brother, fight!
context: We merely share the same DNA, so why do I feel this way...?\Asagi, you have a family of your own?\Yeah, I do.\When I heard that he wouldn't be participating in operation,\I felt relieved... big time.\So let's go.\Uh-huh.\Big Brother, fight! response:	Fight!
context: Asagi, you have a family of your own?\Yeah, I do.\When I heard that he wouldn't be participating in operation,\I felt relieved... big time.\So let's go.\Uh-huh.\Big Brother, fight!\Fight! response:	Lady Teoria, I will protect you.
context: Yeah, I do.\When I heard that he wouldn't be participating in operation,\I felt relieved... big time.\So let's go.\Uh-huh.\Big Brother, fight!\Fight!\Lady Teoria, I will protect you. response:	Please protect Izuru and the others instead of me.
context: When I heard that he wouldn't be participating in operation,\I felt relieved... big time.\So let's go.\Uh-huh.\Big Brother, fight!\Fight!\Lady Teoria, I will protect you.\Please protect Izuru and the others instead of me. response:	Why do we allow genetics to have such a strong hold over us?
context: I felt relieved... big time.\So let's go.\Uh-huh.\Big Brother, fight!\Fight!\Lady Teoria, I will protect you.\Please protect Izuru and the others instead of me.\Why do we allow genetics to have such a strong hold over us? response:	It feels as though we are slaves to our genes.
context: So let's go.\Uh-huh.\Big Brother, fight!\Fight!\Lady Teoria, I will protect you.\Please protect Izuru and the others instead of me.\Why do we allow genetics to have such a strong hold over us?\It feels as though we are slaves to our genes. response:	Lady Teoria...
context: Uh-huh.\Big Brother, fight!\Fight!\Lady Teoria, I will protect you.\Please protect Izuru and the others instead of me.\Why do we allow genetics to have such a strong hold over us?\It feels as though we are slaves to our genes.\Lady Teoria... response:	But I cannot help but wonder, Why was I drawn to Earth?
context: Big Brother, fight!\Fight!\Lady Teoria, I will protect you.\Please protect Izuru and the others instead of me.\Why do we allow genetics to have such a strong hold over us?\It feels as though we are slaves to our genes.\Lady Teoria...\But I cannot help but wonder, Why was I drawn to Earth? response:	I believe that while humans are slaves to their genes,
context: Fight!\Lady Teoria, I will protect you.\Please protect Izuru and the others instead of me.\Why do we allow genetics to have such a strong hold over us?\It feels as though we are slaves to our genes.\Lady Teoria...\But I cannot help but wonder, Why was I drawn to Earth?\I believe that while humans are slaves to their genes, response:	they are also capable of surpassing their genetics.
context: Lady Teoria, I will protect you.\Please protect Izuru and the others instead of me.\Why do we allow genetics to have such a strong hold over us?\It feels as though we are slaves to our genes.\Lady Teoria...\But I cannot help but wonder, Why was I drawn to Earth?\I believe that while humans are slaves to their genes,\they are also capable of surpassing their genetics. response:	Genetics are what connects families,
context: Please protect Izuru and the others instead of me.\Why do we allow genetics to have such a strong hold over us?\It feels as though we are slaves to our genes.\Lady Teoria...\But I cannot help but wonder, Why was I drawn to Earth?\I believe that while humans are slaves to their genes,\they are also capable of surpassing their genetics.\Genetics are what connects families, response:	clans and nations and allows them to survive,
context: Why do we allow genetics to have such a strong hold over us?\It feels as though we are slaves to our genes.\Lady Teoria...\But I cannot help but wonder, Why was I drawn to Earth?\I believe that while humans are slaves to their genes,\they are also capable of surpassing their genetics.\Genetics are what connects families,\clans and nations and allows them to survive, response:	but occasionally people are able
context: It feels as though we are slaves to our genes.\Lady Teoria...\But I cannot help but wonder, Why was I drawn to Earth?\I believe that while humans are slaves to their genes,\they are also capable of surpassing their genetics.\Genetics are what connects families,\clans and nations and allows them to survive,\but occasionally people are able response:	to protect others due to love and friendship.
context: Lady Teoria...\But I cannot help but wonder, Why was I drawn to Earth?\I believe that while humans are slaves to their genes,\they are also capable of surpassing their genetics.\Genetics are what connects families,\clans and nations and allows them to survive,\but occasionally people are able\to protect others due to love and friendship. response:	That is true.
context: But I cannot help but wonder, Why was I drawn to Earth?\I believe that while humans are slaves to their genes,\they are also capable of surpassing their genetics.\Genetics are what connects families,\clans and nations and allows them to survive,\but occasionally people are able\to protect others due to love and friendship.\That is true. response:	Sometimes the humans defy their genetics and follow their hearts.
context: I believe that while humans are slaves to their genes,\they are also capable of surpassing their genetics.\Genetics are what connects families,\clans and nations and allows them to survive,\but occasionally people are able\to protect others due to love and friendship.\That is true.\Sometimes the humans defy their genetics and follow their hearts. response:	It was worth abandoning the Wulgaru simply to learn that.
context: they are also capable of surpassing their genetics.\Genetics are what connects families,\clans and nations and allows them to survive,\but occasionally people are able\to protect others due to love and friendship.\That is true.\Sometimes the humans defy their genetics and follow their hearts.\It was worth abandoning the Wulgaru simply to learn that. response:	I appreciate everything you've done, Daneel.
context: Genetics are what connects families,\clans and nations and allows them to survive,\but occasionally people are able\to protect others due to love and friendship.\That is true.\Sometimes the humans defy their genetics and follow their hearts.\It was worth abandoning the Wulgaru simply to learn that.\I appreciate everything you've done, Daneel. response:	Ninety-five percent of Star Rose has been evacuated.
context: clans and nations and allows them to survive,\but occasionally people are able\to protect others due to love and friendship.\That is true.\Sometimes the humans defy their genetics and follow their hearts.\It was worth abandoning the Wulgaru simply to learn that.\I appreciate everything you've done, Daneel.\Ninety-five percent of Star Rose has been evacuated. response:	Is that right? Thank you.
context: but occasionally people are able\to protect others due to love and friendship.\That is true.\Sometimes the humans defy their genetics and follow their hearts.\It was worth abandoning the Wulgaru simply to learn that.\I appreciate everything you've done, Daneel.\Ninety-five percent of Star Rose has been evacuated.\Is that right? Thank you. response:	Why did we need to clear out Star Rose?
context: to protect others due to love and friendship.\That is true.\Sometimes the humans defy their genetics and follow their hearts.\It was worth abandoning the Wulgaru simply to learn that.\I appreciate everything you've done, Daneel.\Ninety-five percent of Star Rose has been evacuated.\Is that right? Thank you.\Why did we need to clear out Star Rose? response:	The Supreme Commander issued that order.
context: That is true.\Sometimes the humans defy their genetics and follow their hearts.\It was worth abandoning the Wulgaru simply to learn that.\I appreciate everything you've done, Daneel.\Ninety-five percent of Star Rose has been evacuated.\Is that right? Thank you.\Why did we need to clear out Star Rose?\The Supreme Commander issued that order. response:	The Supreme Commander?
context: Sometimes the humans defy their genetics and follow their hearts.\It was worth abandoning the Wulgaru simply to learn that.\I appreciate everything you've done, Daneel.\Ninety-five percent of Star Rose has been evacuated.\Is that right? Thank you.\Why did we need to clear out Star Rose?\The Supreme Commander issued that order.\The Supreme Commander? response:	Not the GDF's Commander-in-Chief?
context: It was worth abandoning the Wulgaru simply to learn that.\I appreciate everything you've done, Daneel.\Ninety-five percent of Star Rose has been evacuated.\Is that right? Thank you.\Why did we need to clear out Star Rose?\The Supreme Commander issued that order.\The Supreme Commander?\Not the GDF's Commander-in-Chief? response:	Right. He is finally making his move.
context: I appreciate everything you've done, Daneel.\Ninety-five percent of Star Rose has been evacuated.\Is that right? Thank you.\Why did we need to clear out Star Rose?\The Supreme Commander issued that order.\The Supreme Commander?\Not the GDF's Commander-in-Chief?\Right. He is finally making his move. response:	They said that this is the last pod going down to Earth.
context: Ninety-five percent of Star Rose has been evacuated.\Is that right? Thank you.\Why did we need to clear out Star Rose?\The Supreme Commander issued that order.\The Supreme Commander?\Not the GDF's Commander-in-Chief?\Right. He is finally making his move.\They said that this is the last pod going down to Earth. response:	I'm glad we made it in time!
context: Is that right? Thank you.\Why did we need to clear out Star Rose?\The Supreme Commander issued that order.\The Supreme Commander?\Not the GDF's Commander-in-Chief?\Right. He is finally making his move.\They said that this is the last pod going down to Earth.\I'm glad we made it in time! response:	Yeah. Anna's dad and grandpa were able to
context: Why did we need to clear out Star Rose?\The Supreme Commander issued that order.\The Supreme Commander?\Not the GDF's Commander-in-Chief?\Right. He is finally making his move.\They said that this is the last pod going down to Earth.\I'm glad we made it in time!\Yeah. Anna's dad and grandpa were able to response:	put their minds at ease and return to the Pit.
context: The Supreme Commander issued that order.\The Supreme Commander?\Not the GDF's Commander-in-Chief?\Right. He is finally making his move.\They said that this is the last pod going down to Earth.\I'm glad we made it in time!\Yeah. Anna's dad and grandpa were able to\put their minds at ease and return to the Pit. response:	Now we can finally head on out to the Godinion!
context: The Supreme Commander?\Not the GDF's Commander-in-Chief?\Right. He is finally making his move.\They said that this is the last pod going down to Earth.\I'm glad we made it in time!\Yeah. Anna's dad and grandpa were able to\put their minds at ease and return to the Pit.\Now we can finally head on out to the Godinion! response:	Yep! Please hurry on over!
context: Not the GDF's Commander-in-Chief?\Right. He is finally making his move.\They said that this is the last pod going down to Earth.\I'm glad we made it in time!\Yeah. Anna's dad and grandpa were able to\put their minds at ease and return to the Pit.\Now we can finally head on out to the Godinion!\Yep! Please hurry on over! response:	Asagi!
context: Right. He is finally making his move.\They said that this is the last pod going down to Earth.\I'm glad we made it in time!\Yeah. Anna's dad and grandpa were able to\put their minds at ease and return to the Pit.\Now we can finally head on out to the Godinion!\Yep! Please hurry on over!\Asagi! response:	Hey, kid!
context: They said that this is the last pod going down to Earth.\I'm glad we made it in time!\Yeah. Anna's dad and grandpa were able to\put their minds at ease and return to the Pit.\Now we can finally head on out to the Godinion!\Yep! Please hurry on over!\Asagi!\Hey, kid! response:	What were you thinking?!
context: I'm glad we made it in time!\Yeah. Anna's dad and grandpa were able to\put their minds at ease and return to the Pit.\Now we can finally head on out to the Godinion!\Yep! Please hurry on over!\Asagi!\Hey, kid!\What were you thinking?! response:	I'm going with you after all!
context: Yeah. Anna's dad and grandpa were able to\put their minds at ease and return to the Pit.\Now we can finally head on out to the Godinion!\Yep! Please hurry on over!\Asagi!\Hey, kid!\What were you thinking?!\I'm going with you after all! response:	What are you talking about?
context: put their minds at ease and return to the Pit.\Now we can finally head on out to the Godinion!\Yep! Please hurry on over!\Asagi!\Hey, kid!\What were you thinking?!\I'm going with you after all!\What are you talking about? response:	How am I supposed to explain this to your dad?
context: Now we can finally head on out to the Godinion!\Yep! Please hurry on over!\Asagi!\Hey, kid!\What were you thinking?!\I'm going with you after all!\What are you talking about?\How am I supposed to explain this to your dad? response:	I'm going anyway!
context: Yep! Please hurry on over!\Asagi!\Hey, kid!\What were you thinking?!\I'm going with you after all!\What are you talking about?\How am I supposed to explain this to your dad?\I'm going anyway! response:	Hey!
context: Asagi!\Hey, kid!\What were you thinking?!\I'm going with you after all!\What are you talking about?\How am I supposed to explain this to your dad?\I'm going anyway!\Hey! response:	I don't... want to wait...
context: Hey, kid!\What were you thinking?!\I'm going with you after all!\What are you talking about?\How am I supposed to explain this to your dad?\I'm going anyway!\Hey!\I don't... want to wait... response:	alone on Earth worrying about everyone!
context: What were you thinking?!\I'm going with you after all!\What are you talking about?\How am I supposed to explain this to your dad?\I'm going anyway!\Hey!\I don't... want to wait...\alone on Earth worrying about everyone! response:	You win.
context: I'm going with you after all!\What are you talking about?\How am I supposed to explain this to your dad?\I'm going anyway!\Hey!\I don't... want to wait...\alone on Earth worrying about everyone!\You win. response:	But let's beat those Wulgaru!
context: What are you talking about?\How am I supposed to explain this to your dad?\I'm going anyway!\Hey!\I don't... want to wait...\alone on Earth worrying about everyone!\You win.\But let's beat those Wulgaru! response:	Yeah!
context: How am I supposed to explain this to your dad?\I'm going anyway!\Hey!\I don't... want to wait...\alone on Earth worrying about everyone!\You win.\But let's beat those Wulgaru!\Yeah! response:	I'm sorry...
context: I'm going anyway!\Hey!\I don't... want to wait...\alone on Earth worrying about everyone!\You win.\But let's beat those Wulgaru!\Yeah!\I'm sorry... response:	C'mon! We're down to the last lap!
context: Hey!\I don't... want to wait...\alone on Earth worrying about everyone!\You win.\But let's beat those Wulgaru!\Yeah!\I'm sorry...\C'mon! We're down to the last lap! response:	Let's give it all we've got!
context: I don't... want to wait...\alone on Earth worrying about everyone!\You win.\But let's beat those Wulgaru!\Yeah!\I'm sorry...\C'mon! We're down to the last lap!\Let's give it all we've got! response:	Miss, we have her running perfectly for you.
context: alone on Earth worrying about everyone!\You win.\But let's beat those Wulgaru!\Yeah!\I'm sorry...\C'mon! We're down to the last lap!\Let's give it all we've got!\Miss, we have her running perfectly for you. response:	Thank you.
context: You win.\But let's beat those Wulgaru!\Yeah!\I'm sorry...\C'mon! We're down to the last lap!\Let's give it all we've got!\Miss, we have her running perfectly for you.\Thank you. response:	Um... I made this for you!
context: But let's beat those Wulgaru!\Yeah!\I'm sorry...\C'mon! We're down to the last lap!\Let's give it all we've got!\Miss, we have her running perfectly for you.\Thank you.\Um... I made this for you! response:	Let's eat it together...
context: Yeah!\I'm sorry...\C'mon! We're down to the last lap!\Let's give it all we've got!\Miss, we have her running perfectly for you.\Thank you.\Um... I made this for you!\Let's eat it together... response:	What is that?
context: I'm sorry...\C'mon! We're down to the last lap!\Let's give it all we've got!\Miss, we have her running perfectly for you.\Thank you.\Um... I made this for you!\Let's eat it together...\What is that? response:	It's a cake...
context: C'mon! We're down to the last lap!\Let's give it all we've got!\Miss, we have her running perfectly for you.\Thank you.\Um... I made this for you!\Let's eat it together...\What is that?\It's a cake... response:	Is it edible?
context: Let's give it all we've got!\Miss, we have her running perfectly for you.\Thank you.\Um... I made this for you!\Let's eat it together...\What is that?\It's a cake...\Is it edible? response:	It might be a bit sweet.
context: Miss, we have her running perfectly for you.\Thank you.\Um... I made this for you!\Let's eat it together...\What is that?\It's a cake...\Is it edible?\It might be a bit sweet. response:	All right. We'll give it a try.
context: Thank you.\Um... I made this for you!\Let's eat it together...\What is that?\It's a cake...\Is it edible?\It might be a bit sweet.\All right. We'll give it a try. response:	Too sweet!
context: Um... I made this for you!\Let's eat it together...\What is that?\It's a cake...\Is it edible?\It might be a bit sweet.\All right. We'll give it a try.\Too sweet! response:	This is awful!
context: Let's eat it together...\What is that?\It's a cake...\Is it edible?\It might be a bit sweet.\All right. We'll give it a try.\Too sweet!\This is awful! response:	I'll teach you how to bake a cake once this mission is over.
context: What is that?\It's a cake...\Is it edible?\It might be a bit sweet.\All right. We'll give it a try.\Too sweet!\This is awful!\I'll teach you how to bake a cake once this mission is over. response:	I'll kick their butts, so lend me a hand!
context: It's a cake...\Is it edible?\It might be a bit sweet.\All right. We'll give it a try.\Too sweet!\This is awful!\I'll teach you how to bake a cake once this mission is over.\I'll kick their butts, so lend me a hand! response:	Huh?!
context: Is it edible?\It might be a bit sweet.\All right. We'll give it a try.\Too sweet!\This is awful!\I'll teach you how to bake a cake once this mission is over.\I'll kick their butts, so lend me a hand!\Huh?! response:	We heard that you're lookin' for a big brother.
context: It might be a bit sweet.\All right. We'll give it a try.\Too sweet!\This is awful!\I'll teach you how to bake a cake once this mission is over.\I'll kick their butts, so lend me a hand!\Huh?!\We heard that you're lookin' for a big brother. response:	Nah, I'm cool...
context: All right. We'll give it a try.\Too sweet!\This is awful!\I'll teach you how to bake a cake once this mission is over.\I'll kick their butts, so lend me a hand!\Huh?!\We heard that you're lookin' for a big brother.\Nah, I'm cool... response:	Let's hear it!
context: Too sweet!\This is awful!\I'll teach you how to bake a cake once this mission is over.\I'll kick their butts, so lend me a hand!\Huh?!\We heard that you're lookin' for a big brother.\Nah, I'm cool...\Let's hear it! response:	Say it nice and loud!
context: This is awful!\I'll teach you how to bake a cake once this mission is over.\I'll kick their butts, so lend me a hand!\Huh?!\We heard that you're lookin' for a big brother.\Nah, I'm cool...\Let's hear it!\Say it nice and loud! response:	No, I'll pass! I don't need any brothers!
context: I'll teach you how to bake a cake once this mission is over.\I'll kick their butts, so lend me a hand!\Huh?!\We heard that you're lookin' for a big brother.\Nah, I'm cool...\Let's hear it!\Say it nice and loud!\No, I'll pass! I don't need any brothers! response:	I need to watch what I say when I'm piloting you...
context: I'll kick their butts, so lend me a hand!\Huh?!\We heard that you're lookin' for a big brother.\Nah, I'm cool...\Let's hear it!\Say it nice and loud!\No, I'll pass! I don't need any brothers!\I need to watch what I say when I'm piloting you... response:	Otherwise all of Earth will hear my potty mouth.
context: Huh?!\We heard that you're lookin' for a big brother.\Nah, I'm cool...\Let's hear it!\Say it nice and loud!\No, I'll pass! I don't need any brothers!\I need to watch what I say when I'm piloting you...\Otherwise all of Earth will hear my potty mouth. response:	You locked it?
context: We heard that you're lookin' for a big brother.\Nah, I'm cool...\Let's hear it!\Say it nice and loud!\No, I'll pass! I don't need any brothers!\I need to watch what I say when I'm piloting you...\Otherwise all of Earth will hear my potty mouth.\You locked it? response:	Sorry'bout that!
context: Nah, I'm cool...\Let's hear it!\Say it nice and loud!\No, I'll pass! I don't need any brothers!\I need to watch what I say when I'm piloting you...\Otherwise all of Earth will hear my potty mouth.\You locked it?\Sorry'bout that! response:	I heard those were Captain Suzukaze's orders.
context: Let's hear it!\Say it nice and loud!\No, I'll pass! I don't need any brothers!\I need to watch what I say when I'm piloting you...\Otherwise all of Earth will hear my potty mouth.\You locked it?\Sorry'bout that!\I heard those were Captain Suzukaze's orders. response:	That way you won't take off without permission, Izuru.
context: Say it nice and loud!\No, I'll pass! I don't need any brothers!\I need to watch what I say when I'm piloting you...\Otherwise all of Earth will hear my potty mouth.\You locked it?\Sorry'bout that!\I heard those were Captain Suzukaze's orders.\That way you won't take off without permission, Izuru. response:	But maintenance-wise, it's good to go.
context: No, I'll pass! I don't need any brothers!\I need to watch what I say when I'm piloting you...\Otherwise all of Earth will hear my potty mouth.\You locked it?\Sorry'bout that!\I heard those were Captain Suzukaze's orders.\That way you won't take off without permission, Izuru.\But maintenance-wise, it's good to go. response:	Everyone, all of the fleets will be launching soon!
context: I need to watch what I say when I'm piloting you...\Otherwise all of Earth will hear my potty mouth.\You locked it?\Sorry'bout that!\I heard those were Captain Suzukaze's orders.\That way you won't take off without permission, Izuru.\But maintenance-wise, it's good to go.\Everyone, all of the fleets will be launching soon! response:	Izuru, please go to the bridge.
context: Otherwise all of Earth will hear my potty mouth.\You locked it?\Sorry'bout that!\I heard those were Captain Suzukaze's orders.\That way you won't take off without permission, Izuru.\But maintenance-wise, it's good to go.\Everyone, all of the fleets will be launching soon!\Izuru, please go to the bridge. response:	Huh?
context: You locked it?\Sorry'bout that!\I heard those were Captain Suzukaze's orders.\That way you won't take off without permission, Izuru.\But maintenance-wise, it's good to go.\Everyone, all of the fleets will be launching soon!\Izuru, please go to the bridge.\Huh? response:	You are on standby.
context: Sorry'bout that!\I heard those were Captain Suzukaze's orders.\That way you won't take off without permission, Izuru.\But maintenance-wise, it's good to go.\Everyone, all of the fleets will be launching soon!\Izuru, please go to the bridge.\Huh?\You are on standby. response:	Izuru...
context: I heard those were Captain Suzukaze's orders.\That way you won't take off without permission, Izuru.\But maintenance-wise, it's good to go.\Everyone, all of the fleets will be launching soon!\Izuru, please go to the bridge.\Huh?\You are on standby.\Izuru... response:	You weren't born for the sole purpose to fight.
context: That way you won't take off without permission, Izuru.\But maintenance-wise, it's good to go.\Everyone, all of the fleets will be launching soon!\Izuru, please go to the bridge.\Huh?\You are on standby.\Izuru...\You weren't born for the sole purpose to fight. response:	The way Rin-Rin locked Red 5 shows that she feels the same way I do.
context: But maintenance-wise, it's good to go.\Everyone, all of the fleets will be launching soon!\Izuru, please go to the bridge.\Huh?\You are on standby.\Izuru...\You weren't born for the sole purpose to fight.\The way Rin-Rin locked Red 5 shows that she feels the same way I do. response:	The designated time for launch will be in 12 hours.
context: Everyone, all of the fleets will be launching soon!\Izuru, please go to the bridge.\Huh?\You are on standby.\Izuru...\You weren't born for the sole purpose to fight.\The way Rin-Rin locked Red 5 shows that she feels the same way I do.\The designated time for launch will be in 12 hours. response:	Kei?
