context: I'm doing great! They decided to serialize my manga! response:	Yes, Hattori-san just told us. Congratulations!
context: But Ashirogi-sensei might close the gap after seeing that manuscript.\Akina-kun?\Huh? Where's Miura?\I'm here by myself today.\Zoom out here!\CAW!\CAW! Like this! C-CAW!\Huh? These two... response:	Could she be going after Niizuma-kun now?
context: Akina-kun?\Huh? Where's Miura?\I'm here by myself today.\Zoom out here!\CAW!\CAW! Like this! C-CAW!\Huh? These two...\Could she be going after Niizuma-kun now? response:	You're really working hard on Crow, aren't you?
context: Huh? Where's Miura?\I'm here by myself today.\Zoom out here!\CAW!\CAW! Like this! C-CAW!\Huh? These two...\Could she be going after Niizuma-kun now?\You're really working hard on Crow, aren't you? response:	Yes!
context: I'm here by myself today.\Zoom out here!\CAW!\CAW! Like this! C-CAW!\Huh? These two...\Could she be going after Niizuma-kun now?\You're really working hard on Crow, aren't you?\Yes! response:	Do you think +Natural will be ok?
context: Zoom out here!\CAW!\CAW! Like this! C-CAW!\Huh? These two...\Could she be going after Niizuma-kun now?\You're really working hard on Crow, aren't you?\Yes!\Do you think +Natural will be ok? response:	What do you mean?
context: CAW!\CAW! Like this! C-CAW!\Huh? These two...\Could she be going after Niizuma-kun now?\You're really working hard on Crow, aren't you?\Yes!\Do you think +Natural will be ok?\What do you mean? response:	I mean, will it do better than PCP?
context: CAW! Like this! C-CAW!\Huh? These two...\Could she be going after Niizuma-kun now?\You're really working hard on Crow, aren't you?\Yes!\Do you think +Natural will be ok?\What do you mean?\I mean, will it do better than PCP? response:	I think the next chapter of PCP will beat it in the early results.
context: Huh? These two...\Could she be going after Niizuma-kun now?\You're really working hard on Crow, aren't you?\Yes!\Do you think +Natural will be ok?\What do you mean?\I mean, will it do better than PCP?\I think the next chapter of PCP will beat it in the early results. response:	But.
context: Could she be going after Niizuma-kun now?\You're really working hard on Crow, aren't you?\Yes!\Do you think +Natural will be ok?\What do you mean?\I mean, will it do better than PCP?\I think the next chapter of PCP will beat it in the early results.\But. response:	The +Natural anime starts that Tuesday,
context: You're really working hard on Crow, aren't you?\Yes!\Do you think +Natural will be ok?\What do you mean?\I mean, will it do better than PCP?\I think the next chapter of PCP will beat it in the early results.\But.\The +Natural anime starts that Tuesday, response:	So I think we'll put up a good fight in the final results.
context: Yes!\Do you think +Natural will be ok?\What do you mean?\I mean, will it do better than PCP?\I think the next chapter of PCP will beat it in the early results.\But.\The +Natural anime starts that Tuesday,\So I think we'll put up a good fight in the final results. response:	Ashirogi-sensei is changing his style bit by bit starting with chapter 8.
context: Do you think +Natural will be ok?\What do you mean?\I mean, will it do better than PCP?\I think the next chapter of PCP will beat it in the early results.\But.\The +Natural anime starts that Tuesday,\So I think we'll put up a good fight in the final results.\Ashirogi-sensei is changing his style bit by bit starting with chapter 8. response:	So this page will make Crow even better than PCP!!
context: What do you mean?\I mean, will it do better than PCP?\I think the next chapter of PCP will beat it in the early results.\But.\The +Natural anime starts that Tuesday,\So I think we'll put up a good fight in the final results.\Ashirogi-sensei is changing his style bit by bit starting with chapter 8.\So this page will make Crow even better than PCP!! response:	I definitely won't lose!
context: I mean, will it do better than PCP?\I think the next chapter of PCP will beat it in the early results.\But.\The +Natural anime starts that Tuesday,\So I think we'll put up a good fight in the final results.\Ashirogi-sensei is changing his style bit by bit starting with chapter 8.\So this page will make Crow even better than PCP!!\I definitely won't lose! response:	C-CAW!
context: I think the next chapter of PCP will beat it in the early results.\But.\The +Natural anime starts that Tuesday,\So I think we'll put up a good fight in the final results.\Ashirogi-sensei is changing his style bit by bit starting with chapter 8.\So this page will make Crow even better than PCP!!\I definitely won't lose!\C-CAW! response:	This is bad... PCP pulled ahead in the early results.
context: But.\The +Natural anime starts that Tuesday,\So I think we'll put up a good fight in the final results.\Ashirogi-sensei is changing his style bit by bit starting with chapter 8.\So this page will make Crow even better than PCP!!\I definitely won't lose!\C-CAW!\This is bad... PCP pulled ahead in the early results. response:	Even with the color pages to celebrate the anime. Crap...
context: The +Natural anime starts that Tuesday,\So I think we'll put up a good fight in the final results.\Ashirogi-sensei is changing his style bit by bit starting with chapter 8.\So this page will make Crow even better than PCP!!\I definitely won't lose!\C-CAW!\This is bad... PCP pulled ahead in the early results.\Even with the color pages to celebrate the anime. Crap... response:	PCP is in 4th, and +Natural is close behind.
context: So I think we'll put up a good fight in the final results.\Ashirogi-sensei is changing his style bit by bit starting with chapter 8.\So this page will make Crow even better than PCP!!\I definitely won't lose!\C-CAW!\This is bad... PCP pulled ahead in the early results.\Even with the color pages to celebrate the anime. Crap...\PCP is in 4th, and +Natural is close behind. response:	But...
context: Ashirogi-sensei is changing his style bit by bit starting with chapter 8.\So this page will make Crow even better than PCP!!\I definitely won't lose!\C-CAW!\This is bad... PCP pulled ahead in the early results.\Even with the color pages to celebrate the anime. Crap...\PCP is in 4th, and +Natural is close behind.\But... response:	Watch out!
context: So this page will make Crow even better than PCP!!\I definitely won't lose!\C-CAW!\This is bad... PCP pulled ahead in the early results.\Even with the color pages to celebrate the anime. Crap...\PCP is in 4th, and +Natural is close behind.\But...\Watch out! response:	It's hatching...
context: I definitely won't lose!\C-CAW!\This is bad... PCP pulled ahead in the early results.\Even with the color pages to celebrate the anime. Crap...\PCP is in 4th, and +Natural is close behind.\But...\Watch out!\It's hatching... response:	This is pretty interesting...
context: C-CAW!\This is bad... PCP pulled ahead in the early results.\Even with the color pages to celebrate the anime. Crap...\PCP is in 4th, and +Natural is close behind.\But...\Watch out!\It's hatching...\This is pretty interesting... response:	Yeah, this'll get the kids' votes for sure.
context: This is bad... PCP pulled ahead in the early results.\Even with the color pages to celebrate the anime. Crap...\PCP is in 4th, and +Natural is close behind.\But...\Watch out!\It's hatching...\This is pretty interesting...\Yeah, this'll get the kids' votes for sure. response:	Azuki could have been in this...
context: Even with the color pages to celebrate the anime. Crap...\PCP is in 4th, and +Natural is close behind.\But...\Watch out!\It's hatching...\This is pretty interesting...\Yeah, this'll get the kids' votes for sure.\Azuki could have been in this... response:	I have to get PCP an anime for her sake...
context: PCP is in 4th, and +Natural is close behind.\But...\Watch out!\It's hatching...\This is pretty interesting...\Yeah, this'll get the kids' votes for sure.\Azuki could have been in this...\I have to get PCP an anime for her sake... response:	Just like Niizuma-san said...
context: But...\Watch out!\It's hatching...\This is pretty interesting...\Yeah, this'll get the kids' votes for sure.\Azuki could have been in this...\I have to get PCP an anime for her sake...\Just like Niizuma-san said... response:	PCP can't beat this.
context: Watch out!\It's hatching...\This is pretty interesting...\Yeah, this'll get the kids' votes for sure.\Azuki could have been in this...\I have to get PCP an anime for her sake...\Just like Niizuma-san said...\PCP can't beat this. response:	Let's make +Natural even more popular!
context: It's hatching...\This is pretty interesting...\Yeah, this'll get the kids' votes for sure.\Azuki could have been in this...\I have to get PCP an anime for her sake...\Just like Niizuma-san said...\PCP can't beat this.\Let's make +Natural even more popular! response:	You're talented, we can do it!
context: This is pretty interesting...\Yeah, this'll get the kids' votes for sure.\Azuki could have been in this...\I have to get PCP an anime for her sake...\Just like Niizuma-san said...\PCP can't beat this.\Let's make +Natural even more popular!\You're talented, we can do it! response:	As I thought, this country's food is delicious!
context: Yeah, this'll get the kids' votes for sure.\Azuki could have been in this...\I have to get PCP an anime for her sake...\Just like Niizuma-san said...\PCP can't beat this.\Let's make +Natural even more popular!\You're talented, we can do it!\As I thought, this country's food is delicious! response:	I recommend this pack of clams!
context: Azuki could have been in this...\I have to get PCP an anime for her sake...\Just like Niizuma-san said...\PCP can't beat this.\Let's make +Natural even more popular!\You're talented, we can do it!\As I thought, this country's food is delicious!\I recommend this pack of clams! response:	Buy now and get this limited edition Otters gift!
context: I have to get PCP an anime for her sake...\Just like Niizuma-san said...\PCP can't beat this.\Let's make +Natural even more popular!\You're talented, we can do it!\As I thought, this country's food is delicious!\I recommend this pack of clams!\Buy now and get this limited edition Otters gift! response:	It's so cute!
context: Just like Niizuma-san said...\PCP can't beat this.\Let's make +Natural even more popular!\You're talented, we can do it!\As I thought, this country's food is delicious!\I recommend this pack of clams!\Buy now and get this limited edition Otters gift!\It's so cute! response:	Thank you, Hiramaru-sensei!
context: PCP can't beat this.\Let's make +Natural even more popular!\You're talented, we can do it!\As I thought, this country's food is delicious!\I recommend this pack of clams!\Buy now and get this limited edition Otters gift!\It's so cute!\Thank you, Hiramaru-sensei! response:	That's so great!
context: Let's make +Natural even more popular!\You're talented, we can do it!\As I thought, this country's food is delicious!\I recommend this pack of clams!\Buy now and get this limited edition Otters gift!\It's so cute!\Thank you, Hiramaru-sensei!\That's so great! response:	A limited edition figure! Just seeing one is a treat!
context: You're talented, we can do it!\As I thought, this country's food is delicious!\I recommend this pack of clams!\Buy now and get this limited edition Otters gift!\It's so cute!\Thank you, Hiramaru-sensei!\That's so great!\A limited edition figure! Just seeing one is a treat! response:	Yes!
context: As I thought, this country's food is delicious!\I recommend this pack of clams!\Buy now and get this limited edition Otters gift!\It's so cute!\Thank you, Hiramaru-sensei!\That's so great!\A limited edition figure! Just seeing one is a treat!\Yes! response:	Please forgive us...
context: I recommend this pack of clams!\Buy now and get this limited edition Otters gift!\It's so cute!\Thank you, Hiramaru-sensei!\That's so great!\A limited edition figure! Just seeing one is a treat!\Yes!\Please forgive us... response:	No! Don't worry about it!
context: Buy now and get this limited edition Otters gift!\It's so cute!\Thank you, Hiramaru-sensei!\That's so great!\A limited edition figure! Just seeing one is a treat!\Yes!\Please forgive us...\No! Don't worry about it! response:	I'm sorry.
context: It's so cute!\Thank you, Hiramaru-sensei!\That's so great!\A limited edition figure! Just seeing one is a treat!\Yes!\Please forgive us...\No! Don't worry about it!\I'm sorry. response:	I usually drink Darjeeling, so I'm not a very good judge of Earl Grey...
context: Thank you, Hiramaru-sensei!\That's so great!\A limited edition figure! Just seeing one is a treat!\Yes!\Please forgive us...\No! Don't worry about it!\I'm sorry.\I usually drink Darjeeling, so I'm not a very good judge of Earl Grey... response:	Darjeeling...
context: That's so great!\A limited edition figure! Just seeing one is a treat!\Yes!\Please forgive us...\No! Don't worry about it!\I'm sorry.\I usually drink Darjeeling, so I'm not a very good judge of Earl Grey...\Darjeeling... response:	Y-Yoshida-shi, please join me in the other room.
context: A limited edition figure! Just seeing one is a treat!\Yes!\Please forgive us...\No! Don't worry about it!\I'm sorry.\I usually drink Darjeeling, so I'm not a very good judge of Earl Grey...\Darjeeling...\Y-Yoshida-shi, please join me in the other room. response:	Yamahisa.
context: Yes!\Please forgive us...\No! Don't worry about it!\I'm sorry.\I usually drink Darjeeling, so I'm not a very good judge of Earl Grey...\Darjeeling...\Y-Yoshida-shi, please join me in the other room.\Yamahisa. response:	Isn't the citrus flavor of Earl Grey wonderful?
context: Please forgive us...\No! Don't worry about it!\I'm sorry.\I usually drink Darjeeling, so I'm not a very good judge of Earl Grey...\Darjeeling...\Y-Yoshida-shi, please join me in the other room.\Yamahisa.\Isn't the citrus flavor of Earl Grey wonderful? response:	I like Darjeeling too.
context: No! Don't worry about it!\I'm sorry.\I usually drink Darjeeling, so I'm not a very good judge of Earl Grey...\Darjeeling...\Y-Yoshida-shi, please join me in the other room.\Yamahisa.\Isn't the citrus flavor of Earl Grey wonderful?\I like Darjeeling too. response:	I drink it from time to time.
context: I'm sorry.\I usually drink Darjeeling, so I'm not a very good judge of Earl Grey...\Darjeeling...\Y-Yoshida-shi, please join me in the other room.\Yamahisa.\Isn't the citrus flavor of Earl Grey wonderful?\I like Darjeeling too.\I drink it from time to time. response:	Isn't the flavor of muscatel delightful?
context: I usually drink Darjeeling, so I'm not a very good judge of Earl Grey...\Darjeeling...\Y-Yoshida-shi, please join me in the other room.\Yamahisa.\Isn't the citrus flavor of Earl Grey wonderful?\I like Darjeeling too.\I drink it from time to time.\Isn't the flavor of muscatel delightful? response:	muscatel is the musky spice flavor in Darjeeling tea.
context: Darjeeling...\Y-Yoshida-shi, please join me in the other room.\Yamahisa.\Isn't the citrus flavor of Earl Grey wonderful?\I like Darjeeling too.\I drink it from time to time.\Isn't the flavor of muscatel delightful?\muscatel is the musky spice flavor in Darjeeling tea. response:	You're surprisingly knowledgable...
context: Y-Yoshida-shi, please join me in the other room.\Yamahisa.\Isn't the citrus flavor of Earl Grey wonderful?\I like Darjeeling too.\I drink it from time to time.\Isn't the flavor of muscatel delightful?\muscatel is the musky spice flavor in Darjeeling tea.\You're surprisingly knowledgable... response:	Oh, not especially.
context: Yamahisa.\Isn't the citrus flavor of Earl Grey wonderful?\I like Darjeeling too.\I drink it from time to time.\Isn't the flavor of muscatel delightful?\muscatel is the musky spice flavor in Darjeeling tea.\You're surprisingly knowledgable...\Oh, not especially. response:	Niizuma-kun, here is next week's issue of Jack.
context: Isn't the citrus flavor of Earl Grey wonderful?\I like Darjeeling too.\I drink it from time to time.\Isn't the flavor of muscatel delightful?\muscatel is the musky spice flavor in Darjeeling tea.\You're surprisingly knowledgable...\Oh, not especially.\Niizuma-kun, here is next week's issue of Jack. response:	Why thank you!
context: I like Darjeeling too.\I drink it from time to time.\Isn't the flavor of muscatel delightful?\muscatel is the musky spice flavor in Darjeeling tea.\You're surprisingly knowledgable...\Oh, not especially.\Niizuma-kun, here is next week's issue of Jack.\Why thank you! response:	Your drawings are amazing...
context: I drink it from time to time.\Isn't the flavor of muscatel delightful?\muscatel is the musky spice flavor in Darjeeling tea.\You're surprisingly knowledgable...\Oh, not especially.\Niizuma-kun, here is next week's issue of Jack.\Why thank you!\Your drawings are amazing... response:	But you really should do what we agree on...
context: Isn't the flavor of muscatel delightful?\muscatel is the musky spice flavor in Darjeeling tea.\You're surprisingly knowledgable...\Oh, not especially.\Niizuma-kun, here is next week's issue of Jack.\Why thank you!\Your drawings are amazing...\But you really should do what we agree on... response:	Roger!
context: muscatel is the musky spice flavor in Darjeeling tea.\You're surprisingly knowledgable...\Oh, not especially.\Niizuma-kun, here is next week's issue of Jack.\Why thank you!\Your drawings are amazing...\But you really should do what we agree on...\Roger! response:	Anyway, +Natural is in 4th place.
context: You're surprisingly knowledgable...\Oh, not especially.\Niizuma-kun, here is next week's issue of Jack.\Why thank you!\Your drawings are amazing...\But you really should do what we agree on...\Roger!\Anyway, +Natural is in 4th place. response:	When the anime started, it passed PCP.
context: Oh, not especially.\Niizuma-kun, here is next week's issue of Jack.\Why thank you!\Your drawings are amazing...\But you really should do what we agree on...\Roger!\Anyway, +Natural is in 4th place.\When the anime started, it passed PCP. response:	Did Miura already tell you?
context: Niizuma-kun, here is next week's issue of Jack.\Why thank you!\Your drawings are amazing...\But you really should do what we agree on...\Roger!\Anyway, +Natural is in 4th place.\When the anime started, it passed PCP.\Did Miura already tell you? response:	Yes, It was just as I thought.
context: Why thank you!\Your drawings are amazing...\But you really should do what we agree on...\Roger!\Anyway, +Natural is in 4th place.\When the anime started, it passed PCP.\Did Miura already tell you?\Yes, It was just as I thought. response:	Is that Akina-kun again...?
context: Your drawings are amazing...\But you really should do what we agree on...\Roger!\Anyway, +Natural is in 4th place.\When the anime started, it passed PCP.\Did Miura already tell you?\Yes, It was just as I thought.\Is that Akina-kun again...? response:	Yes.
context: But you really should do what we agree on...\Roger!\Anyway, +Natural is in 4th place.\When the anime started, it passed PCP.\Did Miura already tell you?\Yes, It was just as I thought.\Is that Akina-kun again...?\Yes. response:	Has she been coming over often?
context: Roger!\Anyway, +Natural is in 4th place.\When the anime started, it passed PCP.\Did Miura already tell you?\Yes, It was just as I thought.\Is that Akina-kun again...?\Yes.\Has she been coming over often? response:	Almost every night after my assistants go home.
context: Anyway, +Natural is in 4th place.\When the anime started, it passed PCP.\Did Miura already tell you?\Yes, It was just as I thought.\Is that Akina-kun again...?\Yes.\Has she been coming over often?\Almost every night after my assistants go home. response:	Niizuma-kun, I know you're both adults.
context: When the anime started, it passed PCP.\Did Miura already tell you?\Yes, It was just as I thought.\Is that Akina-kun again...?\Yes.\Has she been coming over often?\Almost every night after my assistants go home.\Niizuma-kun, I know you're both adults. response:	And I don't mean to sound coarse but take it easy, okay?
context: Did Miura already tell you?\Yes, It was just as I thought.\Is that Akina-kun again...?\Yes.\Has she been coming over often?\Almost every night after my assistants go home.\Niizuma-kun, I know you're both adults.\And I don't mean to sound coarse but take it easy, okay? response:	Take what easy?
context: Yes, It was just as I thought.\Is that Akina-kun again...?\Yes.\Has she been coming over often?\Almost every night after my assistants go home.\Niizuma-kun, I know you're both adults.\And I don't mean to sound coarse but take it easy, okay?\Take what easy? response:	Besides, I'm an eternal boy. That's why I write shonen manga.
context: Is that Akina-kun again...?\Yes.\Has she been coming over often?\Almost every night after my assistants go home.\Niizuma-kun, I know you're both adults.\And I don't mean to sound coarse but take it easy, okay?\Take what easy?\Besides, I'm an eternal boy. That's why I write shonen manga. response:	I guess...
context: Yes.\Has she been coming over often?\Almost every night after my assistants go home.\Niizuma-kun, I know you're both adults.\And I don't mean to sound coarse but take it easy, okay?\Take what easy?\Besides, I'm an eternal boy. That's why I write shonen manga.\I guess... response:	That's practically living together!
context: Has she been coming over often?\Almost every night after my assistants go home.\Niizuma-kun, I know you're both adults.\And I don't mean to sound coarse but take it easy, okay?\Take what easy?\Besides, I'm an eternal boy. That's why I write shonen manga.\I guess...\That's practically living together! response:	Idiot! Not so loud!
context: Almost every night after my assistants go home.\Niizuma-kun, I know you're both adults.\And I don't mean to sound coarse but take it easy, okay?\Take what easy?\Besides, I'm an eternal boy. That's why I write shonen manga.\I guess...\That's practically living together!\Idiot! Not so loud! response:	S-sorry.
context: Niizuma-kun, I know you're both adults.\And I don't mean to sound coarse but take it easy, okay?\Take what easy?\Besides, I'm an eternal boy. That's why I write shonen manga.\I guess...\That's practically living together!\Idiot! Not so loud!\S-sorry. response:	But I never thought Akina-kun...
context: And I don't mean to sound coarse but take it easy, okay?\Take what easy?\Besides, I'm an eternal boy. That's why I write shonen manga.\I guess...\That's practically living together!\Idiot! Not so loud!\S-sorry.\But I never thought Akina-kun... response:	And every night... I'm jealous...
context: Take what easy?\Besides, I'm an eternal boy. That's why I write shonen manga.\I guess...\That's practically living together!\Idiot! Not so loud!\S-sorry.\But I never thought Akina-kun...\And every night... I'm jealous... response:	You're her editor, try to take this more seriously!
context: Besides, I'm an eternal boy. That's why I write shonen manga.\I guess...\That's practically living together!\Idiot! Not so loud!\S-sorry.\But I never thought Akina-kun...\And every night... I'm jealous...\You're her editor, try to take this more seriously! response:	Come on! Give me a break!
context: I guess...\That's practically living together!\Idiot! Not so loud!\S-sorry.\But I never thought Akina-kun...\And every night... I'm jealous...\You're her editor, try to take this more seriously!\Come on! Give me a break! response:	Just get over here!
context: That's practically living together!\Idiot! Not so loud!\S-sorry.\But I never thought Akina-kun...\And every night... I'm jealous...\You're her editor, try to take this more seriously!\Come on! Give me a break!\Just get over here! response:	This really does look like...
context: Idiot! Not so loud!\S-sorry.\But I never thought Akina-kun...\And every night... I'm jealous...\You're her editor, try to take this more seriously!\Come on! Give me a break!\Just get over here!\This really does look like... response:	Niizuma-san, did you tell them I was trying to persuade you?
context: S-sorry.\But I never thought Akina-kun...\And every night... I'm jealous...\You're her editor, try to take this more seriously!\Come on! Give me a break!\Just get over here!\This really does look like...\Niizuma-san, did you tell them I was trying to persuade you? response:	I didn't say a word.
context: But I never thought Akina-kun...\And every night... I'm jealous...\You're her editor, try to take this more seriously!\Come on! Give me a break!\Just get over here!\This really does look like...\Niizuma-san, did you tell them I was trying to persuade you?\I didn't say a word. response:	Here's the issue with chapter 10 of PCP.
context: And every night... I'm jealous...\You're her editor, try to take this more seriously!\Come on! Give me a break!\Just get over here!\This really does look like...\Niizuma-san, did you tell them I was trying to persuade you?\I didn't say a word.\Here's the issue with chapter 10 of PCP. response:	Thanks!
context: You're her editor, try to take this more seriously!\Come on! Give me a break!\Just get over here!\This really does look like...\Niizuma-san, did you tell them I was trying to persuade you?\I didn't say a word.\Here's the issue with chapter 10 of PCP.\Thanks! response:	By the way, take a look at Crow.
context: Come on! Give me a break!\Just get over here!\This really does look like...\Niizuma-san, did you tell them I was trying to persuade you?\I didn't say a word.\Here's the issue with chapter 10 of PCP.\Thanks!\By the way, take a look at Crow. response:	Crow?
context: Just get over here!\This really does look like...\Niizuma-san, did you tell them I was trying to persuade you?\I didn't say a word.\Here's the issue with chapter 10 of PCP.\Thanks!\By the way, take a look at Crow.\Crow? response:	There's no text!
context: This really does look like...\Niizuma-san, did you tell them I was trying to persuade you?\I didn't say a word.\Here's the issue with chapter 10 of PCP.\Thanks!\By the way, take a look at Crow.\Crow?\There's no text! response:	He's telling the story through pictures...
context: Niizuma-san, did you tell them I was trying to persuade you?\I didn't say a word.\Here's the issue with chapter 10 of PCP.\Thanks!\By the way, take a look at Crow.\Crow?\There's no text!\He's telling the story through pictures... response:	Apparently he redid this as soon as he saw chapter 8 of PCP.
context: I didn't say a word.\Here's the issue with chapter 10 of PCP.\Thanks!\By the way, take a look at Crow.\Crow?\There's no text!\He's telling the story through pictures...\Apparently he redid this as soon as he saw chapter 8 of PCP. response:	He must have noticed that I'm changing my style...
context: Here's the issue with chapter 10 of PCP.\Thanks!\By the way, take a look at Crow.\Crow?\There's no text!\He's telling the story through pictures...\Apparently he redid this as soon as he saw chapter 8 of PCP.\He must have noticed that I'm changing my style... response:	Look what I can do with just pictures... How far can you go?
context: Thanks!\By the way, take a look at Crow.\Crow?\There's no text!\He's telling the story through pictures...\Apparently he redid this as soon as he saw chapter 8 of PCP.\He must have noticed that I'm changing my style...\Look what I can do with just pictures... How far can you go? response:	I feel like that's what he's saying...
context: By the way, take a look at Crow.\Crow?\There's no text!\He's telling the story through pictures...\Apparently he redid this as soon as he saw chapter 8 of PCP.\He must have noticed that I'm changing my style...\Look what I can do with just pictures... How far can you go?\I feel like that's what he's saying... response:	B-but, will it be popular?
context: Crow?\There's no text!\He's telling the story through pictures...\Apparently he redid this as soon as he saw chapter 8 of PCP.\He must have noticed that I'm changing my style...\Look what I can do with just pictures... How far can you go?\I feel like that's what he's saying...\B-but, will it be popular? response:	It's definitely an adventure.
context: There's no text!\He's telling the story through pictures...\Apparently he redid this as soon as he saw chapter 8 of PCP.\He must have noticed that I'm changing my style...\Look what I can do with just pictures... How far can you go?\I feel like that's what he's saying...\B-but, will it be popular?\It's definitely an adventure. response:	But readers might find something lacking without the text and it might get fewer votes.
context: He's telling the story through pictures...\Apparently he redid this as soon as he saw chapter 8 of PCP.\He must have noticed that I'm changing my style...\Look what I can do with just pictures... How far can you go?\I feel like that's what he's saying...\B-but, will it be popular?\It's definitely an adventure.\But readers might find something lacking without the text and it might get fewer votes. response:	He wanted to show me this even if it meant losing popularity...
context: Apparently he redid this as soon as he saw chapter 8 of PCP.\He must have noticed that I'm changing my style...\Look what I can do with just pictures... How far can you go?\I feel like that's what he's saying...\B-but, will it be popular?\It's definitely an adventure.\But readers might find something lacking without the text and it might get fewer votes.\He wanted to show me this even if it meant losing popularity... response:	What?!
context: He must have noticed that I'm changing my style...\Look what I can do with just pictures... How far can you go?\I feel like that's what he's saying...\B-but, will it be popular?\It's definitely an adventure.\But readers might find something lacking without the text and it might get fewer votes.\He wanted to show me this even if it meant losing popularity...\What?! response:	The new Crow got even more votes than usual?
context: Look what I can do with just pictures... How far can you go?\I feel like that's what he's saying...\B-but, will it be popular?\It's definitely an adventure.\But readers might find something lacking without the text and it might get fewer votes.\He wanted to show me this even if it meant losing popularity...\What?!\The new Crow got even more votes than usual? response:	Yeah, I'm surprised too.
context: I feel like that's what he's saying...\B-but, will it be popular?\It's definitely an adventure.\But readers might find something lacking without the text and it might get fewer votes.\He wanted to show me this even if it meant losing popularity...\What?!\The new Crow got even more votes than usual?\Yeah, I'm surprised too. response:	I expected it to drop...
context: B-but, will it be popular?\It's definitely an adventure.\But readers might find something lacking without the text and it might get fewer votes.\He wanted to show me this even if it meant losing popularity...\What?!\The new Crow got even more votes than usual?\Yeah, I'm surprised too.\I expected it to drop... response:	But Niizuma was able to make readers find it novel and impressive.
context: It's definitely an adventure.\But readers might find something lacking without the text and it might get fewer votes.\He wanted to show me this even if it meant losing popularity...\What?!\The new Crow got even more votes than usual?\Yeah, I'm surprised too.\I expected it to drop...\But Niizuma was able to make readers find it novel and impressive. response:	Niizuma's above me in both talent and votes...
context: But readers might find something lacking without the text and it might get fewer votes.\He wanted to show me this even if it meant losing popularity...\What?!\The new Crow got even more votes than usual?\Yeah, I'm surprised too.\I expected it to drop...\But Niizuma was able to make readers find it novel and impressive.\Niizuma's above me in both talent and votes... response:	But +Natural isn't doing as well as I thought it would.
context: He wanted to show me this even if it meant losing popularity...\What?!\The new Crow got even more votes than usual?\Yeah, I'm surprised too.\I expected it to drop...\But Niizuma was able to make readers find it novel and impressive.\Niizuma's above me in both talent and votes...\But +Natural isn't doing as well as I thought it would. response:	It's in 4th again this week, but only 9 votes more than PCP' s 5th.
context: What?!\The new Crow got even more votes than usual?\Yeah, I'm surprised too.\I expected it to drop...\But Niizuma was able to make readers find it novel and impressive.\Niizuma's above me in both talent and votes...\But +Natural isn't doing as well as I thought it would.\It's in 4th again this week, but only 9 votes more than PCP' s 5th. response:	9 votes?!
context: The new Crow got even more votes than usual?\Yeah, I'm surprised too.\I expected it to drop...\But Niizuma was able to make readers find it novel and impressive.\Niizuma's above me in both talent and votes...\But +Natural isn't doing as well as I thought it would.\It's in 4th again this week, but only 9 votes more than PCP' s 5th.\9 votes?! response:	So close!
context: Yeah, I'm surprised too.\I expected it to drop...\But Niizuma was able to make readers find it novel and impressive.\Niizuma's above me in both talent and votes...\But +Natural isn't doing as well as I thought it would.\It's in 4th again this week, but only 9 votes more than PCP' s 5th.\9 votes?!\So close! response:	Starting next week there will be three new series.
context: I expected it to drop...\But Niizuma was able to make readers find it novel and impressive.\Niizuma's above me in both talent and votes...\But +Natural isn't doing as well as I thought it would.\It's in 4th again this week, but only 9 votes more than PCP' s 5th.\9 votes?!\So close!\Starting next week there will be three new series. response:	But after that, in issue 26...
context: But Niizuma was able to make readers find it novel and impressive.\Niizuma's above me in both talent and votes...\But +Natural isn't doing as well as I thought it would.\It's in 4th again this week, but only 9 votes more than PCP' s 5th.\9 votes?!\So close!\Starting next week there will be three new series.\But after that, in issue 26... response:	PCP' s 15th chapter will get the cover and color pages.
context: Niizuma's above me in both talent and votes...\But +Natural isn't doing as well as I thought it would.\It's in 4th again this week, but only 9 votes more than PCP' s 5th.\9 votes?!\So close!\Starting next week there will be three new series.\But after that, in issue 26...\PCP' s 15th chapter will get the cover and color pages. response:	Color pages?!
context: But +Natural isn't doing as well as I thought it would.\It's in 4th again this week, but only 9 votes more than PCP' s 5th.\9 votes?!\So close!\Starting next week there will be three new series.\But after that, in issue 26...\PCP' s 15th chapter will get the cover and color pages.\Color pages?! response:	Seriously?!
context: It's in 4th again this week, but only 9 votes more than PCP' s 5th.\9 votes?!\So close!\Starting next week there will be three new series.\But after that, in issue 26...\PCP' s 15th chapter will get the cover and color pages.\Color pages?!\Seriously?! response:	This is our chance to fight!
context: 9 votes?!\So close!\Starting next week there will be three new series.\But after that, in issue 26...\PCP' s 15th chapter will get the cover and color pages.\Color pages?!\Seriously?!\This is our chance to fight! response:	Let's surpass +Natural!
context: So close!\Starting next week there will be three new series.\But after that, in issue 26...\PCP' s 15th chapter will get the cover and color pages.\Color pages?!\Seriously?!\This is our chance to fight!\Let's surpass +Natural! response:	Okay!
context: Starting next week there will be three new series.\But after that, in issue 26...\PCP' s 15th chapter will get the cover and color pages.\Color pages?!\Seriously?!\This is our chance to fight!\Let's surpass +Natural!\Okay! response:	We have to make our manga amazing for issue 26!
context: But after that, in issue 26...\PCP' s 15th chapter will get the cover and color pages.\Color pages?!\Seriously?!\This is our chance to fight!\Let's surpass +Natural!\Okay!\We have to make our manga amazing for issue 26! response:	I'll start working on the color pages now!
