context: Right, I'll tell her later. response:	Because there are too little of clow cards that can talk.
context: I want to thank all of the cards\for always helping me out.\Later you will help me with a lot more.\I'\Before, I wanted to tell you something\What?\You are always helping us\and changing us to new cards. response:	We really would like to thank you.
context: for always helping me out.\Later you will help me with a lot more.\I'\Before, I wanted to tell you something\What?\You are always helping us\and changing us to new cards.\We really would like to thank you. response:	All of us like you a lot.
context: Later you will help me with a lot more.\I'\Before, I wanted to tell you something\What?\You are always helping us\and changing us to new cards.\We really would like to thank you.\All of us like you a lot. response:	So whenever you need our help,
context: I'\Before, I wanted to tell you something\What?\You are always helping us\and changing us to new cards.\We really would like to thank you.\All of us like you a lot.\So whenever you need our help, response:	please call on us.
context: Before, I wanted to tell you something\What?\You are always helping us\and changing us to new cards.\We really would like to thank you.\All of us like you a lot.\So whenever you need our help,\please call on us. response:	Huh? Was that ribbon there before?
context: What?\You are always helping us\and changing us to new cards.\We really would like to thank you.\All of us like you a lot.\So whenever you need our help,\please call on us.\Huh? Was that ribbon there before? response:	Sakura, can I ask you a question?
context: You are always helping us\and changing us to new cards.\We really would like to thank you.\All of us like you a lot.\So whenever you need our help,\please call on us.\Huh? Was that ribbon there before?\Sakura, can I ask you a question? response:	What, Kero-chan?
context: and changing us to new cards.\We really would like to thank you.\All of us like you a lot.\So whenever you need our help,\please call on us.\Huh? Was that ribbon there before?\Sakura, can I ask you a question?\What, Kero-chan? response:	You don't know how to play the piano.
context: We really would like to thank you.\All of us like you a lot.\So whenever you need our help,\please call on us.\Huh? Was that ribbon there before?\Sakura, can I ask you a question?\What, Kero-chan?\You don't know how to play the piano. response:	So how did you get that song?
context: All of us like you a lot.\So whenever you need our help,\please call on us.\Huh? Was that ribbon there before?\Sakura, can I ask you a question?\What, Kero-chan?\You don't know how to play the piano.\So how did you get that song? response:	Eriol-kun, will you play the piano,
context: So whenever you need our help,\please call on us.\Huh? Was that ribbon there before?\Sakura, can I ask you a question?\What, Kero-chan?\You don't know how to play the piano.\So how did you get that song?\Eriol-kun, will you play the piano, response:	I want to give that song to somebody!
context: please call on us.\Huh? Was that ribbon there before?\Sakura, can I ask you a question?\What, Kero-chan?\You don't know how to play the piano.\So how did you get that song?\Eriol-kun, will you play the piano,\I want to give that song to somebody! response:	I thought what should I get for the cards?
context: Huh? Was that ribbon there before?\Sakura, can I ask you a question?\What, Kero-chan?\You don't know how to play the piano.\So how did you get that song?\Eriol-kun, will you play the piano,\I want to give that song to somebody!\I thought what should I get for the cards? response:	But it was Eriol-kun who helped me.
context: Sakura, can I ask you a question?\What, Kero-chan?\You don't know how to play the piano.\So how did you get that song?\Eriol-kun, will you play the piano,\I want to give that song to somebody!\I thought what should I get for the cards?\But it was Eriol-kun who helped me. response:	' Oh I see!' What do you mean'Oh I see'!
context: What, Kero-chan?\You don't know how to play the piano.\So how did you get that song?\Eriol-kun, will you play the piano,\I want to give that song to somebody!\I thought what should I get for the cards?\But it was Eriol-kun who helped me.\' Oh I see!' What do you mean'Oh I see'! response:	I spent a lot of work making that!
context: You don't know how to play the piano.\So how did you get that song?\Eriol-kun, will you play the piano,\I want to give that song to somebody!\I thought what should I get for the cards?\But it was Eriol-kun who helped me.\' Oh I see!' What do you mean'Oh I see'!\I spent a lot of work making that! response:	You can't even play the piano
context: So how did you get that song?\Eriol-kun, will you play the piano,\I want to give that song to somebody!\I thought what should I get for the cards?\But it was Eriol-kun who helped me.\' Oh I see!' What do you mean'Oh I see'!\I spent a lot of work making that!\You can't even play the piano response:	but you used your heart instead.
context: Eriol-kun, will you play the piano,\I want to give that song to somebody!\I thought what should I get for the cards?\But it was Eriol-kun who helped me.\' Oh I see!' What do you mean'Oh I see'!\I spent a lot of work making that!\You can't even play the piano\but you used your heart instead. response:	Thank you.
context: I want to give that song to somebody!\I thought what should I get for the cards?\But it was Eriol-kun who helped me.\' Oh I see!' What do you mean'Oh I see'!\I spent a lot of work making that!\You can't even play the piano\but you used your heart instead.\Thank you. response:	All of us really like you,
context: I thought what should I get for the cards?\But it was Eriol-kun who helped me.\' Oh I see!' What do you mean'Oh I see'!\I spent a lot of work making that!\You can't even play the piano\but you used your heart instead.\Thank you.\All of us really like you, response:	so keep working, Sakura!!
context: But it was Eriol-kun who helped me.\' Oh I see!' What do you mean'Oh I see'!\I spent a lot of work making that!\You can't even play the piano\but you used your heart instead.\Thank you.\All of us really like you,\so keep working, Sakura!! response:	Yup!
