context: I was so worried... response:	I thought you weren't coming back anymore, Kagome.
context: Why?\Why go through all this for me?\You're my... brother.\You're my one and only little brother.\Kirara!\Kagome, watch Kohaku.\I'll stop those demons!\All right! response:	Kirara!
context: Why go through all this for me?\You're my... brother.\You're my one and only little brother.\Kirara!\Kagome, watch Kohaku.\I'll stop those demons!\All right!\Kirara! response:	Kohaku! You must live!
context: You're my... brother.\You're my one and only little brother.\Kirara!\Kagome, watch Kohaku.\I'll stop those demons!\All right!\Kirara!\Kohaku! You must live! response:	Let's go!
context: You're my one and only little brother.\Kirara!\Kagome, watch Kohaku.\I'll stop those demons!\All right!\Kirara!\Kohaku! You must live!\Let's go! response:	Uh!
context: Kirara!\Kagome, watch Kohaku.\I'll stop those demons!\All right!\Kirara!\Kohaku! You must live!\Let's go!\Uh! response:	- If this keeps up... - Don't worry!
context: Kagome, watch Kohaku.\I'll stop those demons!\All right!\Kirara!\Kohaku! You must live!\Let's go!\Uh!\- If this keeps up... - Don't worry! response:	I'm out of arrows.
context: I'll stop those demons!\All right!\Kirara!\Kohaku! You must live!\Let's go!\Uh!\- If this keeps up... - Don't worry!\I'm out of arrows. response:	We'll hide in that hole.
context: All right!\Kirara!\Kohaku! You must live!\Let's go!\Uh!\- If this keeps up... - Don't worry!\I'm out of arrows.\We'll hide in that hole. response:	We'll wait until Inuyasha comes.
context: Kirara!\Kohaku! You must live!\Let's go!\Uh!\- If this keeps up... - Don't worry!\I'm out of arrows.\We'll hide in that hole.\We'll wait until Inuyasha comes. response:	That woman...
context: Kohaku! You must live!\Let's go!\Uh!\- If this keeps up... - Don't worry!\I'm out of arrows.\We'll hide in that hole.\We'll wait until Inuyasha comes.\That woman... response:	Huh?
context: Let's go!\Uh!\- If this keeps up... - Don't worry!\I'm out of arrows.\We'll hide in that hole.\We'll wait until Inuyasha comes.\That woman...\Huh? response:	I wonder if she's all right.
context: Uh!\- If this keeps up... - Don't worry!\I'm out of arrows.\We'll hide in that hole.\We'll wait until Inuyasha comes.\That woman...\Huh?\I wonder if she's all right. response:	Oh... Sango is really strong. Don't worry about her.
context: - If this keeps up... - Don't worry!\I'm out of arrows.\We'll hide in that hole.\We'll wait until Inuyasha comes.\That woman...\Huh?\I wonder if she's all right.\Oh... Sango is really strong. Don't worry about her. response:	Kohaku... You still don't remember? That Sango is your older sister?
context: I'm out of arrows.\We'll hide in that hole.\We'll wait until Inuyasha comes.\That woman...\Huh?\I wonder if she's all right.\Oh... Sango is really strong. Don't worry about her.\Kohaku... You still don't remember? That Sango is your older sister? response:	No...
context: We'll hide in that hole.\We'll wait until Inuyasha comes.\That woman...\Huh?\I wonder if she's all right.\Oh... Sango is really strong. Don't worry about her.\Kohaku... You still don't remember? That Sango is your older sister?\No... response:	But she... She seems so familiar.
context: We'll wait until Inuyasha comes.\That woman...\Huh?\I wonder if she's all right.\Oh... Sango is really strong. Don't worry about her.\Kohaku... You still don't remember? That Sango is your older sister?\No...\But she... She seems so familiar. response:	Sango had always worried about you while you two were apart.
context: That woman...\Huh?\I wonder if she's all right.\Oh... Sango is really strong. Don't worry about her.\Kohaku... You still don't remember? That Sango is your older sister?\No...\But she... She seems so familiar.\Sango had always worried about you while you two were apart. response:	She's always so cheerful...
context: Huh?\I wonder if she's all right.\Oh... Sango is really strong. Don't worry about her.\Kohaku... You still don't remember? That Sango is your older sister?\No...\But she... She seems so familiar.\Sango had always worried about you while you two were apart.\She's always so cheerful... response:	but once in a while, she looks very sad.
context: I wonder if she's all right.\Oh... Sango is really strong. Don't worry about her.\Kohaku... You still don't remember? That Sango is your older sister?\No...\But she... She seems so familiar.\Sango had always worried about you while you two were apart.\She's always so cheerful...\but once in a while, she looks very sad. response:	So I'm glad that you've returned.
context: Oh... Sango is really strong. Don't worry about her.\Kohaku... You still don't remember? That Sango is your older sister?\No...\But she... She seems so familiar.\Sango had always worried about you while you two were apart.\She's always so cheerful...\but once in a while, she looks very sad.\So I'm glad that you've returned. response:	Is it... Is it okay to stay with her?
context: Kohaku... You still don't remember? That Sango is your older sister?\No...\But she... She seems so familiar.\Sango had always worried about you while you two were apart.\She's always so cheerful...\but once in a while, she looks very sad.\So I'm glad that you've returned.\Is it... Is it okay to stay with her? response:	Of course!
context: No...\But she... She seems so familiar.\Sango had always worried about you while you two were apart.\She's always so cheerful...\but once in a while, she looks very sad.\So I'm glad that you've returned.\Is it... Is it okay to stay with her?\Of course! response:	Then you'll start to remember about Sango.
context: But she... She seems so familiar.\Sango had always worried about you while you two were apart.\She's always so cheerful...\but once in a while, she looks very sad.\So I'm glad that you've returned.\Is it... Is it okay to stay with her?\Of course!\Then you'll start to remember about Sango. response:	Uh-huh...
context: Sango had always worried about you while you two were apart.\She's always so cheerful...\but once in a while, she looks very sad.\So I'm glad that you've returned.\Is it... Is it okay to stay with her?\Of course!\Then you'll start to remember about Sango.\Uh-huh... response:	I want to remember... about her and everything else.
context: She's always so cheerful...\but once in a while, she looks very sad.\So I'm glad that you've returned.\Is it... Is it okay to stay with her?\Of course!\Then you'll start to remember about Sango.\Uh-huh...\I want to remember... about her and everything else. response:	But...what's this feeling?
context: but once in a while, she looks very sad.\So I'm glad that you've returned.\Is it... Is it okay to stay with her?\Of course!\Then you'll start to remember about Sango.\Uh-huh...\I want to remember... about her and everything else.\But...what's this feeling? response:	I feel scared... something I don't want to remember...
context: So I'm glad that you've returned.\Is it... Is it okay to stay with her?\Of course!\Then you'll start to remember about Sango.\Uh-huh...\I want to remember... about her and everything else.\But...what's this feeling?\I feel scared... something I don't want to remember... response:	Kill her... Kill Kagome.
context: Is it... Is it okay to stay with her?\Of course!\Then you'll start to remember about Sango.\Uh-huh...\I want to remember... about her and everything else.\But...what's this feeling?\I feel scared... something I don't want to remember...\Kill her... Kill Kagome. response:	Inuyasha... He's so late.
context: Of course!\Then you'll start to remember about Sango.\Uh-huh...\I want to remember... about her and everything else.\But...what's this feeling?\I feel scared... something I don't want to remember...\Kill her... Kill Kagome.\Inuyasha... He's so late. response:	You're all out of Sacred Arrows.
context: Then you'll start to remember about Sango.\Uh-huh...\I want to remember... about her and everything else.\But...what's this feeling?\I feel scared... something I don't want to remember...\Kill her... Kill Kagome.\Inuyasha... He's so late.\You're all out of Sacred Arrows. response:	Huh?
context: Uh-huh...\I want to remember... about her and everything else.\But...what's this feeling?\I feel scared... something I don't want to remember...\Kill her... Kill Kagome.\Inuyasha... He's so late.\You're all out of Sacred Arrows.\Huh? response:	Kohaku!
context: I want to remember... about her and everything else.\But...what's this feeling?\I feel scared... something I don't want to remember...\Kill her... Kill Kagome.\Inuyasha... He's so late.\You're all out of Sacred Arrows.\Huh?\Kohaku! response:	Kohaku, who has lost his memory, is still being controlled by Naraku!
context: But...what's this feeling?\I feel scared... something I don't want to remember...\Kill her... Kill Kagome.\Inuyasha... He's so late.\You're all out of Sacred Arrows.\Huh?\Kohaku!\Kohaku, who has lost his memory, is still being controlled by Naraku! response:	He is about to carry out Naraku's order: Kill Kagome!
context: I feel scared... something I don't want to remember...\Kill her... Kill Kagome.\Inuyasha... He's so late.\You're all out of Sacred Arrows.\Huh?\Kohaku!\Kohaku, who has lost his memory, is still being controlled by Naraku!\He is about to carry out Naraku's order: Kill Kagome! response:	Sango finds out and resolves to kill Kohaku, then herself.
context: Kill her... Kill Kagome.\Inuyasha... He's so late.\You're all out of Sacred Arrows.\Huh?\Kohaku!\Kohaku, who has lost his memory, is still being controlled by Naraku!\He is about to carry out Naraku's order: Kill Kagome!\Sango finds out and resolves to kill Kohaku, then herself. response:	Miroku realizes the trap and uses his Wind Tunnel...
context: Inuyasha... He's so late.\You're all out of Sacred Arrows.\Huh?\Kohaku!\Kohaku, who has lost his memory, is still being controlled by Naraku!\He is about to carry out Naraku's order: Kill Kagome!\Sango finds out and resolves to kill Kohaku, then herself.\Miroku realizes the trap and uses his Wind Tunnel... response:	to suck in the demons, poison insects and all!
context: You're all out of Sacred Arrows.\Huh?\Kohaku!\Kohaku, who has lost his memory, is still being controlled by Naraku!\He is about to carry out Naraku's order: Kill Kagome!\Sango finds out and resolves to kill Kohaku, then herself.\Miroku realizes the trap and uses his Wind Tunnel...\to suck in the demons, poison insects and all! response:	Hurry, Inuyasha!
context: Huh?\Kohaku!\Kohaku, who has lost his memory, is still being controlled by Naraku!\He is about to carry out Naraku's order: Kill Kagome!\Sango finds out and resolves to kill Kohaku, then herself.\Miroku realizes the trap and uses his Wind Tunnel...\to suck in the demons, poison insects and all!\Hurry, Inuyasha! response:	You must stop Sango!
context: Kohaku!\Kohaku, who has lost his memory, is still being controlled by Naraku!\He is about to carry out Naraku's order: Kill Kagome!\Sango finds out and resolves to kill Kohaku, then herself.\Miroku realizes the trap and uses his Wind Tunnel...\to suck in the demons, poison insects and all!\Hurry, Inuyasha!\You must stop Sango! response:	Next on Inuyasha: That Unforgettable Face!
context: Kohaku, who has lost his memory, is still being controlled by Naraku!\He is about to carry out Naraku's order: Kill Kagome!\Sango finds out and resolves to kill Kohaku, then herself.\Miroku realizes the trap and uses his Wind Tunnel...\to suck in the demons, poison insects and all!\Hurry, Inuyasha!\You must stop Sango!\Next on Inuyasha: That Unforgettable Face! response:	Don't miss it!
